[12:44:12]	Bigdaddy has connected.
[17:01:32]	R2-Z7 has spawned 'models/props_phx/construct/metal_plate1.mdl'.
[17:01:32]	R2-Z7 has spawned 'models/props_phx/construct/metal_plate1.mdl'.
[17:01:33]	R2-Z7 has spawned 'models/props_phx/construct/metal_plate1.mdl'.
[17:01:33]	R2-Z7 has spawned 'models/props_phx/construct/metal_plate1.mdl'.
[17:01:33]	R2-Z7 has spawned 'models/props_phx/construct/metal_plate1.mdl'.
[17:01:33]	R2-Z7 has spawned 'models/props_phx/construct/metal_plate1.mdl'.
[17:01:33]	R2-Z7 has spawned 'models/props_phx/construct/metal_plate1.mdl'.
[17:01:33]	R2-Z7 has spawned 'models/props_phx/construct/metal_plate1.mdl'.
[17:01:35]	R2-Z7 has spawned 'models/props_phx/construct/metal_plate1.mdl'.
[17:01:35]	R2-Z7 has spawned 'models/props_phx/construct/metal_plate1.mdl'.
[17:01:35]	R2-Z7 has spawned 'models/props_phx/construct/metal_plate1.mdl'.
[17:01:35]	R2-Z7 has spawned 'models/props_phx/construct/metal_plate1.mdl'.
[17:01:35]	R2-Z7 has spawned 'models/props_phx/construct/metal_plate1.mdl'.
[17:01:35]	R2-Z7 has spawned 'models/props_phx/construct/metal_plate1.mdl'.
[17:01:40]	R2-Z7 has spawned 'models/props_phx/construct/metal_plate1.mdl'.
[17:01:40]	R2-Z7 has spawned 'models/props_phx/construct/metal_plate1.mdl'.
[17:01:40]	R2-Z7 has spawned 'models/props_phx/construct/metal_plate1.mdl'.
[17:01:40]	R2-Z7 has spawned 'models/props_phx/construct/metal_plate1.mdl'.
[17:01:41]	[ME] Private IN-5515: takes iyt
[17:02:04]	[LOOC] Private IN-5515: 1 and half
[17:02:16]	[ME] Private IN-5515: punches in temple
[17:02:22]	[ME] Sergeant LS-7979: dodges the punch.
[17:02:37]	[ME] Sergeant LS-7979: attempts to throw a left hook to the temple.
[17:02:49]	[ME] Private IN-5515: dodges the punch
[17:03:03]	[OOC] Private IN-5515: wait
[17:03:05]	[OOC] Private IN-5515: i rolled str
[17:03:44]	[LOOC] Private IN-5515: im eating
[17:04:13]	[OOC] Private IN-5515: i mean lightroom did it before and i let it pass
[17:04:20]	[OOC] Private IN-5515: so i think we should do same thing
[17:04:31]	[OOC] Private IN-5515: i rerolled
[17:05:13]	[ME] Private IN-5515: kicks in temple
[17:05:21]	[ME] Sergeant LS-7979: attempts to grab his leg.
[17:05:40]	[ME] Sergeant LS-7979: shoves him onto the ground with his leg.
[17:06:06]	[ME] Private IN-5515: sweeps leg
[17:06:16]	[OOC] Private IN-5515: leg
[17:06:31]	[ME] Sergeant LS-7979: attempts to jump over the sweep.
[17:06:53]	[OOC] Private IN-5515: 100
[17:06:54]	[OOC] Private IN-5515: pog
[17:07:22]	[ME] Sergeant LS-7979: attempts to roll him over onto his stomach.
[17:07:51]	[ME] Private IN-5515: trys pushing him off
[17:08:21]	[LOOC] Private IN-5515: sure
[17:08:45]	[ME] Sergeant LS-7979: attempts to push on his leg into his spine, trying to pin him so he doesn't roll over.
[17:09:11]	[ME] Private IN-5515: sits up
[17:09:33]	[ME] Sergeant LS-7979: stands up, too.
[17:09:52]	[ME] Private IN-5515: punches in temple
[17:09:59]	[ME] Sergeant LS-7979: dodges the punch by weaving his head.
[17:10:38]	[ME] Sergeant LS-7979: sends a right reverse punch to the temple.
[17:10:43]	[LOOC] Sergeant LS-7979: hook not reverse
[17:10:54]	[ME] Private IN-5515: takes it
[17:11:17]	[ME] Private IN-5515: punches in temple
[17:11:25]	[LOOC] Sergeant LS-7979: one more punch to the head until KO
[17:11:33]	[ME] Sergeant LS-7979: attempts to dodge the attack,
[17:11:54]	[LOOC] Sergeant LS-7979: 2 for me
[17:12:05]	[ME] Sergeant LS-7979: sends a right roundhouse kick to the head.
[17:12:17]	[ME] Private IN-5515: takes it
[17:12:28]	Private IN-5515 used command '/CharFallOver'.
[17:12:37]	[IT] Private IN-5515: got shit handed
[17:13:09]	R2-Z7 has taken 1 damage from door35.
[17:13:44]	Private IN-5515 has taken 50 damage from train1_brush.
[17:14:01]	R2-Z7 has taken 10 damage from lift_plat3.
[17:14:01]	lift_plat3 has killed R2-Z7.
[17:14:37]	DRD loaded the character 'Medical Crewman First Class Karissa Novar'
[17:15:03]	[LOOC] Sergeant LS-7979: why leave vc?
[17:15:11]	[LOOC] Private IN-5515: talkin to friends
[17:15:26]	[LOOC] Sergeant LS-7979: bruh
[17:15:28]	Medical Crewman First Class Karissa Novar opened the '' #82 container.
[17:15:42]	Medical Crewman First Class Karissa Novar closed the '' #82 container.
[17:16:14]	Sergeant LS-7979 has taken 1 damage from door55.
[17:16:22]	Medical Crewman First Class Karissa Novar ran 'drop' on item 'Tablet' (#702)
[17:16:22]	Medical Crewman First Class Karissa Novar has lost a 'Tablet' #702.
[17:16:23]	[LOOC] Sergeant LS-7979: stand up
[17:16:41]	Private IN-5515 used command '/CharGetUp'.
[17:16:42]	Private IN-5515 used command '/CharGetUp'.
[17:16:43]	Private IN-5515 used command '/CharGetUp'.
[17:16:43]	Private IN-5515 used command '/CharGetUp'.
[17:16:44]	Private IN-5515 used command '/CharGetUp'.
[17:17:16]	[ME] Medical Crewman First Class Karissa Novar: picks up the scanner from the table
[17:17:22]	Medical Crewman First Class Karissa Novar has spawned 'models/lt_c/sci_fi/computers/crystal_hdd.mdl'.
[17:17:38]	[ME] Medical Crewman First Class Karissa Novar: waves the scanner over the INs head
[17:17:57]	[IT] Private IN-5515: he got round house kicked how do you think he feels
[17:18:06]	[ME] Medical Crewman First Class Karissa Novar: turns on the scanner and scans again
[17:18:24]	[IT] Private IN-5515: you fial
[17:18:27]	[IT] Private IN-5515: you fail
[17:19:11]	[ME] Sergeant LS-7979: dims the lights,
[17:19:12]	[IT] Medical Crewman First Class Karissa Novar: boom lights are dim
[17:21:23]	Medical Crewman First Class Karissa Novar ran 'take' on item 'Tablet' (#702)
[17:21:23]	Medical Crewman First Class Karissa Novar has gained a 'Tablet' #702.
[17:21:29]	Medical Crewman First Class Karissa Novar opened the '' #82 container.
[17:21:29]	Medical Crewman First Class Karissa Novar closed the '' #82 container.
[17:21:31]	Medical Crewman First Class Karissa Novar opened the '' #82 container.
[17:21:35]	Medical Crewman First Class Karissa Novar closed the '' #82 container.
[17:23:05]	Sergeant LS-7979 ran 'Equip' on item 'DLT-20a Blaster' (#972)
[17:23:14]	Medical Crewman First Class Karissa Novar has spawned 'models/models/danguyen/tabscrusaderknightsword.mdl'.
[17:23:23]	Medical Crewman First Class Karissa Novar has spawned 'models/weapons/optre/energy_sword.mdl'.
[17:27:36]	[LOOC] Medical Crewman First Class Karissa Novar: stop squirming
[17:28:14]	Medical Crewman First Class Karissa Novar used command '/ToggleRaise'.
[17:28:16]	Medical Crewman First Class Karissa Novar used command '/ToggleRaise'.
[17:28:44]	Chicken (STEAM_0:0:143523274) has disconnected.
[17:29:30]	Medical Crewman First Class Karissa Novar has spawned 'models/lt_c/holograms/projector.mdl'.
[17:29:46]	Medical Crewman First Class Karissa Novar has spawned 'models/lt_c/holograms/projector.mdl'.
[17:30:00]	Medical Crewman First Class Karissa Novar has spawned 'models/lt_c/holograms/projector.mdl'.
[17:30:02]	Medical Crewman First Class Karissa Novar has spawned 'models/lt_c/holograms/projector.mdl'.
[17:30:05]	Medical Crewman First Class Karissa Novar has spawned 'models/lt_c/holograms/projector.mdl'.
[17:32:05]	Medical Crewman First Class Karissa Novar ran 'EquipUn' on item 'RK-3 Blaster' (#54)
[17:34:54]	Medical Crewman First Class Karissa Novar opened the '' #82 container.
[17:34:57]	Medical Crewman First Class Karissa Novar has gained a 'Tablet' #702.
[17:34:57]	Medical Crewman First Class Karissa Novar closed the '' #82 container.
[17:35:01]	Medical Crewman First Class Karissa Novar ran 'drop' on item 'Tablet' (#702)
[17:35:01]	Medical Crewman First Class Karissa Novar has lost a 'Tablet' #702.
[17:35:34]	Sergeant LS-7979 ran 'take' on item 'Tablet' (#702)
[17:35:34]	Sergeant LS-7979 has gained a 'Tablet' #702.
[17:35:54]	Sergeant LS-7979 ran 'drop' on item 'Tablet' (#702)
[17:35:54]	Sergeant LS-7979 has lost a 'Tablet' #702.
[17:36:06]	Medical Crewman First Class Karissa Novar ran 'take' on item 'Tablet' (#702)
[17:36:06]	Medical Crewman First Class Karissa Novar has gained a 'Tablet' #702.
[17:36:08]	Medical Crewman First Class Karissa Novar ran 'drop' on item 'Tablet' (#702)
[17:36:08]	Medical Crewman First Class Karissa Novar has lost a 'Tablet' #702.
[17:36:39]	Medical Crewman First Class Karissa Novar ran 'take' on item 'Tablet' (#702)
[17:36:39]	Medical Crewman First Class Karissa Novar has gained a 'Tablet' #702.
[17:37:14]	DRD loaded the character 'R2-Z7'
[17:42:15]	Sergeant LS-7979 ran 'use' on item 'Tibanna Cartridge' (#821)
[17:42:29]	R2-Z7 used command '/dr Hello.'.
[17:42:45]	R2-Z7 has spawned 'models/lt_c/sci_fi/light_spotlight.mdl'.
[17:42:46]	R2-Z7 has taken 10 damage from R2-Z7.
[17:42:46]	R2-Z7 has taken 5 damage from R2-Z7.
[17:42:46]	R2-Z7 has taken 5 damage from R2-Z7.
[17:43:01]	R2-Z7 has spawned 'models/lt_c/sci_fi/light_spotlight.mdl'.
[17:43:03]	R2-Z7 has spawned 'models/lt_c/sci_fi/light_spotlight.mdl'.
[17:43:03]	R2-Z7 has taken 111 damage from Sergeant LS-7979.
[17:43:03]	Sergeant LS-7979 has killed R2-Z7 with rw_sw_dlt20a.
[17:45:21]	R2-Z7 has spawned 'models/lt_c/sci_fi/light_spotlight.mdl'.
[17:45:22]	R2-Z7 has taken 10 damage from prop_physics.
[17:45:22]	R2-Z7 has taken 20 damage from prop_physics.
[17:45:23]	R2-Z7 has taken 10 damage from prop_physics.
[17:45:24]	R2-Z7 has spawned 'models/lt_c/sci_fi/light_spotlight.mdl'.
[17:45:25]	R2-Z7 has taken 50 damage from prop_physics.
[17:45:25]	R2-Z7 has taken 50 damage from prop_physics.
[17:45:25]	prop_physics has killed R2-Z7.
[17:46:45]	R2-Z7 rolled 34 out of 100.
[17:46:45]	R2-Z7 used command '/Roll'.
[17:46:47]	Sergeant LS-7979 rolled 66 out of 100.
[17:46:47]	Sergeant LS-7979 used command '/Roll'.
[17:46:51]	[ME] Sergeant LS-7979: kicks the droid over.
[17:47:28]	[ME] R2-Z7: rams into the trooper to push it over
[17:47:33]	[ME] Sergeant LS-7979: dodge
[17:47:53]	[ME] R2-Z7: undodges you
[17:48:00]	[ME] Sergeant LS-7979: dismantles droid
[17:48:08]	[ME] R2-Z7: dismantles the trooper
[17:48:23]	[ME] R2-Z7: dismantles the trooper
[17:48:23]	[ME] R2-Z7: dismantles the trooper
[17:49:53]	R2-Z7 has spawned 'models/lt_c/sci_fi/generator_portable.mdl'.
[17:49:53]	Sergeant LS-7979 has taken 10 damage from prop_physics.
[17:50:33]	R2-Z7 has spawned 'models/props_c17/furnitureStove001a.mdl'.
[17:50:34]	Sergeant LS-7979 has taken 10 damage from prop_physics.
[17:50:34]	Sergeant LS-7979 has taken 200 damage from worldspawn.
[17:50:34]	worldspawn has killed Sergeant LS-7979.
[17:50:48]	R2-Z7 has spawned 'models/props_c17/furnitureStove001a.mdl'.
[17:50:48]	R2-Z7 has taken 10 damage from prop_physics.
[17:50:48]	R2-Z7 has taken 200 damage from worldspawn.
[17:50:48]	worldspawn has killed R2-Z7.
[17:51:02]	R2-Z7 has spawned 'models/props_c17/furnitureStove001a.mdl'.
[17:51:11]	R2-Z7 has spawned 'models/props_c17/furnitureStove001a.mdl'.
[17:51:14]	R2-Z7 has spawned 'models/props_c17/furnitureStove001a.mdl'.
[17:51:35]	R2-Z7 has spawned 'models/props_c17/FurnitureDresser001a.mdl'.
[17:51:56]	Sergeant LS-7979 has taken 500 damage from R2-Z7.
[17:51:56]	R2-Z7 has killed Sergeant LS-7979 with weapon_physgun.
[17:51:56]	R2-Z7 has taken 500 damage from R2-Z7.
[17:51:56]	R2-Z7 has killed R2-Z7.
[17:52:09]	Sergeant LS-7979 used the 'Armory' vendor.
[17:52:11]	Sergeant LS-7979 has gained 0 credits.
[17:52:11]	Sergeant LS-7979 has gained a 'Tibanna Cartridge' #1043.
[17:52:11]	R2-Z7 has spawned 'models/props_c17/FurnitureDresser001a.mdl'.
[17:52:11]	Sergeant LS-7979 has gained 0 credits.
[17:52:11]	Sergeant LS-7979 has gained a 'Tibanna Cartridge' #1044.
[17:52:12]	Sergeant LS-7979 has gained 0 credits.
[17:52:12]	Sergeant LS-7979 has gained a 'Tibanna Cartridge' #1045.
[17:52:13]	Sergeant LS-7979 has gained 0 credits.
[17:52:13]	Sergeant LS-7979 has gained a 'Tibanna Cartridge' #1046.
[17:52:13]	Sergeant LS-7979 has gained 0 credits.
[17:52:13]	Sergeant LS-7979 has gained a 'Tibanna Cartridge' #1047.
[17:52:14]	Sergeant LS-7979 has gained 0 credits.
[17:52:14]	Sergeant LS-7979 has gained a 'Tibanna Cartridge' #1048.
[17:52:14]	Sergeant LS-7979 has gained 0 credits.
[17:52:14]	Sergeant LS-7979 has gained a 'Tibanna Cartridge' #1049.
[17:52:15]	Sergeant LS-7979 has gained 0 credits.
[17:52:15]	Sergeant LS-7979 has gained a 'Tibanna Cartridge' #1050.
[17:52:16]	Sergeant LS-7979 has gained 0 credits.
[17:52:16]	Sergeant LS-7979 has gained a 'Tibanna Cartridge' #1051.
[17:52:16]	Sergeant LS-7979 has gained 0 credits.
[17:52:16]	Sergeant LS-7979 has gained a 'Tibanna Cartridge' #1052.
[17:52:17]	Sergeant LS-7979 has gained 0 credits.
[17:52:17]	Sergeant LS-7979 has gained a 'Tibanna Cartridge' #1053.
[17:52:51]	R2-Z7 used command '/c Droid rights'.
[17:53:55]	Sergeant LS-7979 ran 'Equip' on item 'DLT-20a Blaster' (#972)
[17:53:58]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_curve360x2.mdl'.
[17:54:02]	Sergeant LS-7979 ran 'use' on item 'Tibanna Cartridge' (#1053)
[17:54:13]	R2-Z7 has taken 114 damage from Sergeant LS-7979.
[17:54:13]	Sergeant LS-7979 has killed R2-Z7 with rw_sw_dlt20a.
[17:54:23]	R2-Z7 has spawned 'models/props_phx/construct/wood/wood_panel1x2.mdl'.
[17:54:23]	R2-Z7 has taken 5 damage from prop_physics.
[17:54:23]	R2-Z7 has taken 10 damage from prop_physics.
[17:54:24]	R2-Z7 has spawned 'models/props_phx/construct/wood/wood_panel1x2.mdl'.
[17:54:25]	R2-Z7 has taken 5 damage from prop_physics.
[17:54:25]	R2-Z7 has taken 10 damage from prop_physics.
[17:54:26]	R2-Z7 has spawned 'models/props_phx/construct/wood/wood_panel2x2.mdl'.
[17:54:27]	R2-Z7 has taken 5 damage from prop_physics.
[17:54:27]	R2-Z7 has taken 5 damage from prop_physics.
[17:54:27]	R2-Z7 has taken 5 damage from prop_physics.
[17:54:28]	R2-Z7 has spawned 'models/props_phx/construct/wood/wood_panel1x2.mdl'.
[17:54:28]	R2-Z7 has taken 5 damage from prop_physics.
[17:54:31]	R2-Z7 has spawned 'models/props_phx/construct/plastic/plastic_panel4x4.mdl'.
[17:54:33]	R2-Z7 has spawned 'models/props_phx/construct/plastic/plastic_panel3x3.mdl'.
[17:54:35]	R2-Z7 has spawned 'models/props_phx/construct/plastic/plastic_panel2x2.mdl'.
[17:54:39]	R2-Z7 has spawned 'models/props_phx/construct/metal_plate4x4_tri.mdl'.
[17:54:40]	R2-Z7 has taken 10 damage from prop_physics.
[17:54:41]	R2-Z7 has spawned 'models/props_phx/construct/metal_plate4x4_tri.mdl'.
[17:54:41]	R2-Z7 has taken 10 damage from prop_physics.
[17:54:43]	R2-Z7 has spawned 'models/props_phx/construct/metal_plate2x2.mdl'.
[17:54:45]	R2-Z7 has spawned 'models/props_phx/construct/metal_plate2x2.mdl'.
[17:54:45]	R2-Z7 has taken 20 damage from prop_physics.
[17:54:45]	R2-Z7 has taken 20 damage from prop_physics.
[17:54:45]	prop_physics has killed R2-Z7.
[17:54:56]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_curve360x2.mdl'.
[17:55:02]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_curve360x2.mdl'.
[17:55:02]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_curve360x2.mdl'.
[17:55:02]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_curve360x2.mdl'.
[17:55:02]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_curve360x2.mdl'.
[17:55:02]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_curve360x2.mdl'.
[17:55:02]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_curve360x2.mdl'.
[17:55:02]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_curve360x2.mdl'.
[17:55:02]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_curve360x2.mdl'.
[17:55:02]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_curve360x2.mdl'.
[17:55:02]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_curve360x2.mdl'.
[17:55:02]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_curve360x2.mdl'.
[17:55:02]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_curve360x2.mdl'.
[17:55:02]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_curve360x2.mdl'.
[17:55:02]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_curve360x2.mdl'.
[17:55:02]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_curve360x2.mdl'.
[17:55:52]	R2-Z7 has taken 117 damage from Sergeant LS-7979.
[17:55:52]	Sergeant LS-7979 has killed R2-Z7 with rw_sw_dlt20a.
[17:56:53]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_curve360x2.mdl'.
[17:57:25]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_curve360x2.mdl'.
[17:57:25]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_curve360x2.mdl'.
[17:57:25]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_curve360x2.mdl'.
[17:57:25]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_curve360x2.mdl'.
[17:57:25]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_curve360x2.mdl'.
[17:57:25]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_curve360x2.mdl'.
[17:57:30]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_curve360x2.mdl'.
[17:57:30]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_curve360x2.mdl'.
[17:57:30]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_curve360x2.mdl'.
[17:58:00]	R2-Z7 has taken 114 damage from Sergeant LS-7979.
[17:58:00]	Sergeant LS-7979 has killed R2-Z7 with rw_sw_dlt20a.
[17:58:12]	Sergeant LS-7979 has taken 5 damage from prop_physics.
[17:58:12]	Sergeant LS-7979 has taken 500 damage from prop_physics.
[17:58:12]	prop_physics has killed Sergeant LS-7979.
[17:58:37]	R2-Z7 has taken 500 damage from prop_physics.
[17:58:37]	prop_physics has killed R2-Z7.
[17:59:01]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_angle360.mdl'.
[17:59:06]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_angle360.mdl'.
[17:59:06]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_angle360.mdl'.
[17:59:06]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_angle360.mdl'.
[17:59:06]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_angle360.mdl'.
[17:59:06]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_angle360.mdl'.
[17:59:06]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_angle360.mdl'.
[17:59:06]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_angle360.mdl'.
[17:59:06]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_angle360.mdl'.
[17:59:06]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_angle360.mdl'.
[17:59:06]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_angle360.mdl'.
[17:59:06]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_angle360.mdl'.
[17:59:06]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_angle360.mdl'.
[17:59:06]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_angle360.mdl'.
[17:59:06]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_angle360.mdl'.
[17:59:06]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_angle360.mdl'.
[17:59:07]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_angle360.mdl'.
[17:59:07]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_angle360.mdl'.
[17:59:08]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_angle360.mdl'.
[17:59:08]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_angle360.mdl'.
[17:59:08]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_angle360.mdl'.
[17:59:08]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_angle360.mdl'.
[17:59:08]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_angle360.mdl'.
[17:59:08]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_angle360.mdl'.
[17:59:08]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_angle360.mdl'.
[17:59:08]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_angle360.mdl'.
[17:59:08]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_angle360.mdl'.
[17:59:08]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_angle360.mdl'.
[17:59:08]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_angle360.mdl'.
[17:59:08]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_angle360.mdl'.
[17:59:08]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_angle360.mdl'.
[17:59:11]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_angle360.mdl'.
[17:59:11]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_angle360.mdl'.
[17:59:11]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_angle360.mdl'.
[17:59:11]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_angle360.mdl'.
[17:59:11]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_angle360.mdl'.
[17:59:11]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_angle360.mdl'.
[17:59:11]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_angle360.mdl'.
[17:59:11]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_angle360.mdl'.
[17:59:11]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_angle360.mdl'.
[17:59:11]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_angle360.mdl'.
[17:59:11]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_angle360.mdl'.
[17:59:11]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_angle360.mdl'.
[17:59:11]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_angle360.mdl'.
[17:59:11]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_angle360.mdl'.
[17:59:11]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_angle360.mdl'.
[18:00:53]	R2-Z7 has taken 500 damage from prop_physics.
[18:00:53]	prop_physics has killed R2-Z7.
[18:01:13]	R2-Z7 has taken 500 damage from prop_physics.
[18:01:13]	prop_physics has killed R2-Z7.
[18:03:47]	Sergeant LS-7979 has taken 5 damage from R2-Z7.
[18:04:00]	R2-Z7 has spawned 'models/phxtended/tri2x2x2solid.mdl'.
[18:04:13]	R2-Z7 has spawned 'models/props_phx/construct/wood/wood_curve360x2.mdl'.
[18:04:20]	R2-Z7 has spawned 'models/props_phx/construct/windows/window_curve360x2.mdl'.
[18:04:24]	R2-Z7 has spawned 'models/props_phx/construct/metal_plate_curve360x2.mdl'.
[18:04:32]	R2-Z7 has spawned 'models/props_phx/construct/metal_plate_curve360x2.mdl'.
[18:04:32]	R2-Z7 has spawned 'models/props_phx/construct/metal_plate_curve360x2.mdl'.
[18:04:32]	R2-Z7 has spawned 'models/props_phx/construct/metal_plate_curve360x2.mdl'.
[18:04:32]	R2-Z7 has spawned 'models/props_phx/construct/metal_plate_curve360x2.mdl'.
[18:04:32]	R2-Z7 has spawned 'models/props_phx/construct/metal_plate_curve360x2.mdl'.
[18:04:32]	R2-Z7 has spawned 'models/props_phx/construct/metal_plate_curve360x2.mdl'.
[18:04:32]	R2-Z7 has spawned 'models/props_phx/construct/metal_plate_curve360x2.mdl'.
[18:04:32]	R2-Z7 has spawned 'models/props_phx/construct/metal_plate_curve360x2.mdl'.
[18:04:32]	R2-Z7 has spawned 'models/props_phx/construct/metal_plate_curve360x2.mdl'.
[18:04:32]	R2-Z7 has spawned 'models/props_phx/construct/metal_plate_curve360x2.mdl'.
[18:04:32]	R2-Z7 has spawned 'models/props_phx/construct/metal_plate_curve360x2.mdl'.
[18:04:32]	R2-Z7 has spawned 'models/props_phx/construct/metal_plate_curve360x2.mdl'.
[18:04:32]	R2-Z7 has spawned 'models/props_phx/construct/metal_plate_curve360x2.mdl'.
[18:04:32]	R2-Z7 has spawned 'models/props_phx/construct/metal_plate_curve360x2.mdl'.
[18:04:32]	R2-Z7 has spawned 'models/props_phx/construct/metal_plate_curve360x2.mdl'.
[18:05:01]	Sergeant LS-7979 has taken 10 damage from prop_physics.
[18:05:01]	Sergeant LS-7979 has taken 5 damage from prop_physics.
[18:05:01]	Sergeant LS-7979 has taken 5 damage from prop_physics.
[18:05:01]	Sergeant LS-7979 has taken 5 damage from prop_physics.
[18:05:01]	Sergeant LS-7979 has taken 20 damage from prop_physics.
[18:05:01]	Sergeant LS-7979 has taken 20 damage from prop_physics.
[18:05:01]	Sergeant LS-7979 has taken 10 damage from prop_physics.
[18:05:02]	Sergeant LS-7979 has taken 10 damage from prop_physics.
[18:05:02]	Sergeant LS-7979 has taken 10 damage from prop_physics.
[18:05:02]	prop_physics has killed Sergeant LS-7979.
[18:06:45]	R2-Z7 has taken 20 damage from prop_physics.
[18:06:45]	R2-Z7 has taken 10 damage from prop_physics.
[18:08:08]	R2-Z7 has taken 5 damage from prop_physics.
[18:08:08]	R2-Z7 has taken 5 damage from prop_physics.
[18:08:08]	R2-Z7 has taken 5 damage from prop_physics.
[18:08:15]	R2-Z7 has taken 5 damage from prop_physics.
[18:08:17]	R2-Z7 has taken 5 damage from prop_physics.
[18:08:17]	R2-Z7 has taken 5 damage from prop_physics.
[18:08:19]	R2-Z7 has taken 5 damage from prop_physics.
[19:15:42]	Mr. Chief has connected.
[19:35:43]	Vutta has connected.
[19:36:25]	Vutta loaded the character 'Flight Sub-Lieutenant Erik Crogour'
[19:40:42]	[OOC] Sergeant LS-7979: sup
[19:40:48]	[OOC] Flight Sub-Lieutenant Erik Crogour: Howdy
[19:41:10]	Sergeant LS-7979 has taken 1 damage from door35.
[19:41:27]	[LOOC] Flight Sub-Lieutenant Erik Crogour: I'm getting my KX droid now
[19:41:30]	[LOOC] Flight Sub-Lieutenant Erik Crogour: lmaoo
[19:41:31]	[LOOC] Sergeant LS-7979: ok
[19:41:41]	Vutta loaded the character 'KX-0512'
[19:43:18]	Mr. Chief loaded the character 'Grand Admiral Mitth'raw'nuruodo'
[19:43:32]	Mr. Chief loaded the character 'K-7X1'
[19:43:35]	K-7X1 entered observer.
[19:44:06]	K-7X1 used command '/CharSetName kx K-O4S'.
[19:44:11]	[LOOC] K-O4S: Why
[19:44:13]	[OOC] K-O4S: Why
[19:44:16]	[OOC] Sergeant LS-7979: Why
