[11:16:06]	LightRinger has connected.
[14:24:44]	[LOOC] Private Blunfow Trustok: but we got busted, most likely via Meta from Zeak sigh
[14:25:04]	[LOOC] Private Blunfow Trustok: Well. I didnt wanted to PK him
[14:25:45]	[LOOC] Private Blunfow Trustok: We could but I dont really want to do that because it pisses the people off real hard, because you spent ton of time to get enlisted in your prefered division, Making Char. Story and such
[14:26:23]	[LOOC] Private Blunfow Trustok: Yeah well, We got already our return : )
[14:26:35]	[LOOC] Private Blunfow Trustok: So... What are we going to do now :) ?
[14:26:58]	[LOOC] Private Blunfow Trustok: hm, Let me go make a tea and I will try make some stuff arround
[14:27:10]	[LOOC] Private Blunfow Trustok: Maybe Weapon cleaning : ) ?
[14:27:23]	[LOOC] Private Blunfow Trustok: alright, brb in like 5 mins
[14:40:50]	[LOOC] Private Blunfow Trustok: Okay so back
[14:41:47]	Private Blunfow Trustok ran 'Equip' on item 'E-11 Blaster' (#2587)
[14:42:46]	[OOC] Private Blunfow Trustok: RP starts :)
[14:43:07]	Doughnut has connected.
[14:44:19]	Doughnut loaded the character 'Lieutenant Shunk Tump'
[14:44:29]	[ME] Private Blunfow Trustok: Would look arround, standing his guard
[14:44:30]	[OOC] Lieutenant Shunk Tump: buenos dias nerd
[14:44:33]	[OOC] Private Blunfow Trustok: HELLO
[14:45:01]	[OOC] Lieutenant Shunk Tump: lieutenant dick balls here
[14:45:11]	[OOC] Private Blunfow Trustok: oh cmon :D
[14:45:27]	[OOC] Private Blunfow Trustok: Iam in ISB if needed
[14:45:30]	[OOC] Private Blunfow Trustok: Doing some RP
[14:45:41]	[ME] Private Blunfow Trustok: would think abit
[14:48:06]	Doughnut (STEAM_0:1:127409364) has disconnected.
[14:48:12]	[OOC] Private Blunfow Trustok: bruh
[14:50:49]	LightRinger created the character 'Duncan Meltfog'
[14:50:54]	LightRinger loaded the character 'Duncan Meltfog'
[14:50:59]	[OOC] Duncan Meltfog: heh
[14:51:06]	Duncan Meltfog used the 'Supply Locker' vendor.
[14:51:09]	Duncan Meltfog has gained 0 credits.
[14:51:09]	Duncan Meltfog has gained a 'Flashlight' #2725.
[14:51:19]	Duncan Meltfog has gained 0 credits.
[14:51:19]	Duncan Meltfog has gained a 'Comlink' #2726.
[14:51:24]	Duncan Meltfog has gained 0 credits.
[14:51:24]	Duncan Meltfog has gained a 'E-10 Blaster' #2727.
[14:51:38]	Duncan Meltfog has gained 0 credits.
[14:51:38]	Duncan Meltfog has gained a 'Tibanna Cartridge' #2728.
[14:51:38]	Duncan Meltfog has gained 0 credits.
[14:51:38]	Duncan Meltfog has gained a 'Tibanna Cartridge' #2729.
[14:51:39]	Duncan Meltfog has gained 0 credits.
[14:51:39]	Duncan Meltfog has gained a 'Tibanna Cartridge' #2730.
[14:51:39]	Duncan Meltfog has gained 0 credits.
[14:51:39]	Duncan Meltfog has gained a 'Tibanna Cartridge' #2731.
[14:51:43]	Duncan Meltfog ran 'use' on item 'Tibanna Cartridge' (#2730)
[14:51:43]	Duncan Meltfog ran 'use' on item 'Tibanna Cartridge' (#2731)
[14:51:44]	Duncan Meltfog ran 'Power' on item 'Comlink' (#2726)
[14:51:44]	Duncan Meltfog ran 'use' on item 'Tibanna Cartridge' (#2728)
[14:51:45]	Duncan Meltfog ran 'Equip' on item 'E-10 Blaster' (#2727)
[14:51:46]	Duncan Meltfog ran 'use' on item 'Tibanna Cartridge' (#2729)
[14:52:34]	[OOC] Duncan Meltfog: hmmmm damn 
[14:52:41]	[OOC] Duncan Meltfog: Hows the command for Radio in ?
[14:52:59]	[OOC] Sergeant LS-7979: radio is /c
[14:53:36]	[OOC] Duncan Meltfog: Ahhh 
[14:53:41]	[OOC] Duncan Meltfog: So its restricted okay
[14:54:09]	[OOC] Sergeant LS-7979: Im going to join another server for now
[14:54:11]	[OOC] Duncan Meltfog: You can train ?
[14:54:13]	[OOC] Duncan Meltfog: oh....
[14:54:17]	[OOC] Sergeant LS-7979: shit im sorry
[14:54:27]	[OOC] Sergeant LS-7979: later?
[14:54:34]	[OOC] Duncan Meltfog: Its fine, Later is when to be exact ?
[14:54:43]	[OOC] Sergeant LS-7979: maybe tonight or even tomorrow?
[14:54:57]	[OOC] Duncan Meltfog: ah okay, maybe we will meet each other soon :D
[14:54:59]	[OOC] Duncan Meltfog: have fun
[14:55:02]	[OOC] Sergeant LS-7979: Alright thanks
[14:55:05]	[OOC] Sergeant LS-7979: have a good one
[14:55:08]	NamRm (STEAM_0:0:69476140) has disconnected.
[14:55:09]	[OOC] Duncan Meltfog: :)
[14:55:34]	Duncan Meltfog used the 'Supply Locker' vendor.
[14:55:36]	Duncan Meltfog has gained 0 credits.
[14:55:36]	Duncan Meltfog has gained a 'Tibanna Cartridge' #2728.
[14:55:36]	Duncan Meltfog has gained 0 credits.
[14:55:36]	Duncan Meltfog has gained a 'Tibanna Cartridge' #2729.
[14:55:39]	Duncan Meltfog ran 'use' on item 'Tibanna Cartridge' (#2728)
[14:55:40]	Duncan Meltfog ran 'use' on item 'Tibanna Cartridge' (#2729)
[15:01:33]	Duncan Meltfog has taken 100 damage from blastdoor7_2.
[15:01:33]	blastdoor7_2 has killed Duncan Meltfog.
[15:01:45]	Duncan Meltfog used the 'Supply Locker' vendor.
[15:01:47]	Duncan Meltfog has gained 0 credits.
[15:01:47]	Duncan Meltfog has gained a 'Tibanna Cartridge' #2728.
[15:01:48]	Duncan Meltfog has gained 0 credits.
[15:01:48]	Duncan Meltfog has gained a 'Tibanna Cartridge' #2729.
[15:01:48]	Duncan Meltfog has gained 0 credits.
[15:01:48]	Duncan Meltfog has gained a 'Tibanna Cartridge' #2730.
[15:01:48]	Duncan Meltfog has gained 0 credits.
[15:01:48]	Duncan Meltfog has gained a 'Tibanna Cartridge' #2731.
[15:01:52]	Duncan Meltfog ran 'use' on item 'Tibanna Cartridge' (#2731)
[15:01:52]	Duncan Meltfog ran 'use' on item 'Tibanna Cartridge' (#2730)
[15:01:54]	Duncan Meltfog ran 'use' on item 'Tibanna Cartridge' (#2728)
[15:01:54]	Duncan Meltfog ran 'use' on item 'Tibanna Cartridge' (#2729)
[15:01:59]	Duncan Meltfog ran 'Equip' on item 'E-10 Blaster' (#2727)
[15:02:03]	Duncan Meltfog destroyed a 'RK-3 Blaster' #2718.
[15:02:03]	Duncan Meltfog destroyed a 'RK-3 Blaster' #2716.
[15:02:04]	Duncan Meltfog destroyed a 'E-10 Blaster' #2714.
[15:02:04]	Duncan Meltfog destroyed a 'E-11 Blaster' #2713.
[15:04:24]	Duncan Meltfog opened the '' #251 container.
[15:04:26]	Duncan Meltfog closed the '' #251 container.
[15:04:28]	Duncan Meltfog opened the '' #251 container.
[15:04:34]	Duncan Meltfog has gained a 'Comlink' #1613.
[15:04:37]	Duncan Meltfog closed the '' #251 container.
[15:06:10]	LightRinger (STEAM_0:1:54101851) has disconnected.
[15:22:24]	FlatPlum has connected.
[16:04:46]	LightRinger has connected.
[16:06:11]	LightRinger loaded the character 'Duncan Meltfog'
[16:06:20]	[OOC] Duncan Meltfog: Where the FUCK is everyone
[16:13:03]	LightRinger (STEAM_0:1:54101851) has disconnected.
[16:17:07]	FlatPlum created the character 'Recruit TK-9480'
[16:17:07]	FlatPlum loaded the character 'Recruit TK-9480'
[16:18:51]	Recruit TK-9480 used the 'Supply Locker' vendor.
[16:20:47]	Recruit TK-9480 used command '/CharDesc'.
[16:21:08]	Recruit TK-9480 has taken 23 damage from worldspawn.
[16:21:36]	Recruit TK-9480 has taken 24 damage from worldspawn.
[16:22:00]	[OOC] Recruit TK-9480: anyone here 
[16:23:43]	FlatPlum (STEAM_0:1:124454133) has disconnected.
[20:19:37]	MiGHTyMaxiBLE has connected.
[20:20:42]	MiGHTyMaxiBLE (STEAM_0:1:94362945) has disconnected.
