[19:21:16]	Doughnut has connected.
[20:01:16]	Agent Carson Photin has killed Petty Officer Third Class Karissa Novar with rw_sw_m57.
[20:01:16]	Corporal TK-7886 has taken 63 damage from Agent Carson Photin.
[20:01:16]	Agent Carson Photin has killed Corporal TK-7886 with rw_sw_m57.
[20:01:26]	Petty Officer Third Class Karissa Novar used command '/ToggleRaise'.
[20:01:33]	Petty Officer Third Class Karissa Novar has taken 358 damage from Agent Carson Photin.
[20:01:33]	Agent Carson Photin has killed Petty Officer Third Class Karissa Novar with rw_sw_m57.
[20:01:40]	Petty Officer Third Class Karissa Novar used command '/ToggleRaise'.
[20:01:47]	Agent Carson Photin entered observer.
[20:01:48]	Petty Officer Third Class Karissa Novar entered observer.
[20:01:48]	Agent Carson Photin exited observer at their location.
[20:01:48]	Petty Officer Third Class Karissa Novar exited observer at their location.
[20:01:49]	Petty Officer Third Class Karissa Novar entered observer.
[20:01:49]	Petty Officer Third Class Karissa Novar exited observer at their location.
[20:01:52]	Petty Officer Third Class Karissa Novar entered observer.
[20:01:59]	Agent Carson Photin used command '/ToggleRaise'.
[20:02:01]	Agent Carson Photin used command '/ToggleRaise'.
[20:02:01]	Petty Officer Third Class Karissa Novar exited observer at their location.
[20:02:02]	Agent Carson Photin has taken 4 damage from Petty Officer Third Class Karissa Novar.
[20:02:04]	Petty Officer Third Class Karissa Novar has taken 50 damage from Agent Carson Photin.
[20:02:05]	Petty Officer Third Class Karissa Novar has taken 61 damage from Agent Carson Photin.
[20:02:05]	Agent Carson Photin has killed Petty Officer Third Class Karissa Novar with rw_sw_m57.
[20:02:09]	Corporal TK-7886 ran 'Equip' on item 'Thermal Detonator' (#1153)
[20:02:13]	Petty Officer Third Class Karissa Novar used command '/ToggleRaise'.
[20:02:22]	Corporal TK-7886 has taken 50 damage from Petty Officer Third Class Karissa Novar.
[20:02:26]	Petty Officer Third Class Karissa Novar entered observer.
[20:02:27]	Corporal TK-7886 has taken 0 damage from Petty Officer Third Class Karissa Novar.
[20:02:34]	Petty Officer Third Class Karissa Novar used command '/ToggleRaise'.
[20:02:35]	Petty Officer Third Class Karissa Novar exited observer at their location.
[20:02:38]	Agent Carson Photin has taken 13 damage from Petty Officer Third Class Karissa Novar.
[20:02:40]	Petty Officer Third Class Karissa Novar has taken 50 damage from Agent Carson Photin.
[20:02:40]	Agent Carson Photin has taken 0 damage from Petty Officer Third Class Karissa Novar.
[20:02:42]	Agent Carson Photin has taken 0 damage from Petty Officer Third Class Karissa Novar.
[20:02:43]	Petty Officer Third Class Karissa Novar has taken 6 damage from Agent Carson Photin.
[20:02:44]	Agent Carson Photin has taken 0 damage from Petty Officer Third Class Karissa Novar.
[20:02:45]	Petty Officer Third Class Karissa Novar has taken 48 damage from Agent Carson Photin.
[20:02:45]	Agent Carson Photin has killed Petty Officer Third Class Karissa Novar with rw_sw_m57.
[20:02:56]	Petty Officer Third Class Karissa Novar used command '/ToggleRaise'.
[20:02:58]	Agent Carson Photin used command '/ToggleRaise'.
[20:02:58]	Petty Officer Third Class Karissa Novar used command '/ToggleRaise'.
[20:03:02]	Agent Carson Photin has taken 4 damage from Petty Officer Third Class Karissa Novar.
[20:03:04]	Agent Carson Photin has taken 4 damage from Petty Officer Third Class Karissa Novar.
[20:03:04]	Petty Officer Third Class Karissa Novar has taken 2 damage from Agent Carson Photin.
[20:03:04]	Agent Carson Photin has taken 2 damage from Petty Officer Third Class Karissa Novar.
[20:03:04]	Agent Carson Photin has taken 4 damage from Petty Officer Third Class Karissa Novar.
[20:03:04]	Petty Officer Third Class Karissa Novar has taken 20 damage from Agent Carson Photin.
[20:03:04]	Agent Carson Photin has taken 3 damage from Petty Officer Third Class Karissa Novar.
[20:03:04]	Agent Carson Photin has taken 4 damage from Petty Officer Third Class Karissa Novar.
[20:03:05]	Agent Carson Photin has taken 2 damage from Petty Officer Third Class Karissa Novar.
[20:03:05]	Agent Carson Photin has taken 4 damage from Petty Officer Third Class Karissa Novar.
[20:03:05]	Petty Officer Third Class Karissa Novar has taken 2 damage from Agent Carson Photin.
[20:03:05]	Agent Carson Photin has taken 4 damage from Petty Officer Third Class Karissa Novar.
[20:03:05]	Agent Carson Photin has taken 4 damage from Petty Officer Third Class Karissa Novar.
[20:03:05]	Agent Carson Photin has taken 4 damage from Petty Officer Third Class Karissa Novar.
[20:03:05]	Agent Carson Photin has taken 4 damage from Petty Officer Third Class Karissa Novar.
[20:03:06]	Petty Officer Third Class Karissa Novar has taken 2 damage from Agent Carson Photin.
[20:03:06]	Agent Carson Photin has taken 4 damage from Petty Officer Third Class Karissa Novar.
[20:03:06]	Agent Carson Photin has taken 4 damage from Petty Officer Third Class Karissa Novar.
[20:03:06]	Agent Carson Photin has taken 4 damage from Petty Officer Third Class Karissa Novar.
[20:03:06]	Agent Carson Photin has taken 4 damage from Petty Officer Third Class Karissa Novar.
[20:03:06]	Agent Carson Photin has taken 4 damage from Petty Officer Third Class Karissa Novar.
[20:03:06]	Agent Carson Photin has taken 4 damage from Petty Officer Third Class Karissa Novar.
[20:03:07]	Agent Carson Photin has taken 4 damage from Petty Officer Third Class Karissa Novar.
[20:03:08]	Agent Carson Photin has taken 4 damage from Petty Officer Third Class Karissa Novar.
[20:03:08]	Agent Carson Photin has taken 4 damage from Petty Officer Third Class Karissa Novar.
[20:03:09]	Agent Carson Photin has taken 4 damage from Petty Officer Third Class Karissa Novar.
[20:03:09]	Petty Officer Third Class Karissa Novar has killed Agent Carson Photin with weapon_flechettegun.
[20:03:11]	Petty Officer Third Class Karissa Novar used command '/ToggleRaise'.
[20:03:11]	Petty Officer Third Class Karissa Novar has taken 10 damage from Corporal TK-7886.
[20:03:13]	Petty Officer Third Class Karissa Novar has taken 4 damage from npc_manhack.
[20:03:13]	Petty Officer Third Class Karissa Novar has taken 4 damage from npc_manhack.
[20:03:13]	Corporal TK-7886 has taken 4 damage from npc_manhack.
[20:03:13]	Petty Officer Third Class Karissa Novar has taken 4 damage from npc_manhack.
[20:03:13]	Petty Officer Third Class Karissa Novar has taken 4 damage from npc_manhack.
[20:03:13]	Petty Officer Third Class Karissa Novar has taken 4 damage from npc_manhack.
[20:03:13]	Petty Officer Third Class Karissa Novar has taken 4 damage from npc_manhack.
[20:03:14]	Petty Officer Third Class Karissa Novar has taken 4 damage from npc_manhack.
[20:03:14]	Petty Officer Third Class Karissa Novar has taken 4 damage from npc_manhack.
[20:03:14]	Petty Officer Third Class Karissa Novar has taken 4 damage from npc_manhack.
[20:03:14]	Corporal TK-7886 has taken 4 damage from npc_manhack.
[20:03:15]	Petty Officer Third Class Karissa Novar has taken 4 damage from npc_manhack.
[20:03:15]	Petty Officer Third Class Karissa Novar has taken 4 damage from npc_manhack.
[20:03:15]	Petty Officer Third Class Karissa Novar has taken 4 damage from npc_manhack.
[20:03:15]	Petty Officer Third Class Karissa Novar has taken 4 damage from npc_manhack.
[20:03:15]	Petty Officer Third Class Karissa Novar has taken 4 damage from npc_manhack.
[20:03:15]	Petty Officer Third Class Karissa Novar has taken 4 damage from npc_manhack.
[20:03:15]	Petty Officer Third Class Karissa Novar has taken 4 damage from npc_manhack.
[20:03:15]	Petty Officer Third Class Karissa Novar has taken 4 damage from npc_manhack.
[20:03:15]	Corporal TK-7886 has taken 4 damage from npc_manhack.
[20:03:15]	Petty Officer Third Class Karissa Novar has taken 4 damage from npc_manhack.
[20:03:15]	npc_manhack has killed Petty Officer Third Class Karissa Novar.
[20:03:15]	Corporal TK-7886 has taken 4 damage from npc_manhack.
[20:03:16]	Corporal TK-7886 has taken 4 damage from npc_manhack.
[20:03:16]	Corporal TK-7886 has taken 4 damage from npc_manhack.
[20:03:17]	Corporal TK-7886 has taken 4 damage from npc_manhack.
[20:03:25]	Agent Carson Photin used command '/ToggleRaise'.
[20:03:26]	Petty Officer Third Class Karissa Novar has taken 10 damage from Corporal TK-7886.
[20:03:27]	Petty Officer Third Class Karissa Novar has taken 10 damage from Corporal TK-7886.
[20:03:27]	Petty Officer Third Class Karissa Novar has taken 10 damage from Corporal TK-7886.
[20:03:28]	Petty Officer Third Class Karissa Novar has taken 10 damage from Corporal TK-7886.
[20:03:29]	Petty Officer Third Class Karissa Novar has taken 10 damage from Corporal TK-7886.
[20:03:30]	Petty Officer Third Class Karissa Novar has taken 10 damage from Corporal TK-7886.
[20:03:30]	Petty Officer Third Class Karissa Novar used command '/ToggleRaise'.
[20:03:31]	Petty Officer Third Class Karissa Novar has taken 10 damage from Corporal TK-7886.
[20:03:32]	Petty Officer Third Class Karissa Novar has taken 10 damage from Corporal TK-7886.
[20:03:37]	Agent Carson Photin used command '/ToggleRaise'.
[20:03:51]	Petty Officer Third Class Karissa Novar used command '/ToggleRaise'.
[20:03:54]	Agent Carson Photin used command '/ToggleRaise'.
[20:03:55]	Corporal TK-7886 has taken 149 damage from Petty Officer Third Class Karissa Novar.
[20:03:55]	Petty Officer Third Class Karissa Novar has killed Corporal TK-7886 with weapon_rpg.
[20:03:55]	Petty Officer Third Class Karissa Novar has taken 81 damage from Petty Officer Third Class Karissa Novar.
[20:03:55]	Petty Officer Third Class Karissa Novar has killed Petty Officer Third Class Karissa Novar.
[20:04:01]	Agent Carson Photin used command '/ToggleRaise'.
[20:04:02]	Petty Officer Third Class Karissa Novar used command '/ToggleRaise'.
[20:04:05]	Petty Officer Third Class Karissa Novar has taken 8 damage from Agent Carson Photin.
[20:04:11]	Corporal TK-7886 has taken 10 damage from Petty Officer Third Class Karissa Novar.
[20:04:12]	Corporal TK-7886 has taken 10 damage from Petty Officer Third Class Karissa Novar.
[20:04:12]	Agent Carson Photin used command '/ToggleRaise'.
[20:04:17]	Petty Officer Third Class Karissa Novar used command '/ToggleRaise'.
[20:04:18]	Petty Officer Third Class Karissa Novar has taken 12 damage from Agent Carson Photin.
[20:04:24]	Agent Carson Photin used command '/ToggleRaise'.
[20:04:30]	Petty Officer Third Class Karissa Novar has taken 12 damage from Agent Carson Photin.
[20:04:40]	Agent Carson Photin used command '/ToggleRaise'.
[20:04:46]	Petty Officer Third Class Karissa Novar has taken 12 damage from Agent Carson Photin.
[20:04:50]	Agent Carson Photin entered observer.
[20:04:54]	Agent Carson Photin exited observer at their location.
[20:04:55]	Petty Officer Third Class Karissa Novar has spawned 'models/kriegsyntax/imperial/stormtroopers/medics/playermodel_male_01.mdl'.
[20:04:56]	Agent Carson Photin entered observer.
[20:04:58]	Agent Carson Photin exited observer at their location.
[20:04:59]	Agent Carson Photin used command '/ToggleRaise'.
[20:05:01]	Petty Officer Third Class Karissa Novar has spawned 'models/hunter/blocks/cube1x150x1.mdl'.
[20:05:02]	Agent Carson Photin has taken 500 damage from Petty Officer Third Class Karissa Novar.
[20:05:02]	Petty Officer Third Class Karissa Novar has killed Agent Carson Photin with weapon_physcannon.
[20:05:06]	Petty Officer Third Class Karissa Novar has spawned 'models/hunter/blocks/cube1x150x1.mdl'.
[20:05:09]	Corporal TK-7886 has spawned 'models/xwing/xwingtwo1.mdl'.
[20:05:13]	Petty Officer Third Class Karissa Novar entered observer.
[20:05:16]	Petty Officer Third Class Karissa Novar exited observer at their location.
[20:05:20]	Doughnut (STEAM_0:1:127409364) has disconnected.
[20:05:28]	Petty Officer Third Class Karissa Novar has spawned 'models/props_c17/FurnitureWashingmachine001a.mdl'.
[20:05:33]	Corporal TK-7886 has spawned 'models/xwing/xwing1.mdl'.
[20:05:37]	Petty Officer Third Class Karissa Novar entered observer.
[20:05:37]	Petty Officer Third Class Karissa Novar exited observer at their location.
[20:05:38]	Petty Officer Third Class Karissa Novar entered observer.
[20:05:40]	Petty Officer Third Class Karissa Novar exited observer at their location.
[20:05:40]	Petty Officer Third Class Karissa Novar entered observer.
[20:05:41]	Petty Officer Third Class Karissa Novar exited observer at their location.
[20:05:55]	Petty Officer Third Class Karissa Novar entered observer.
[20:05:58]	Doughnut has connected.
[20:06:27]	Corporal TK-7886 has taken 17 damage from worldspawn.
[20:06:28]	Petty Officer Third Class Karissa Novar exited observer at their location.
[20:06:32]	Doughnut loaded the character 'Petty Officer Second Class Arnold Jackson'
[20:06:34]	Petty Officer Second Class Arnold Jackson entered observer.
[20:06:35]	Petty Officer Third Class Karissa Novar has spawned 'models/props_interiors/VendingMachineSoda01a.mdl'.
[20:06:37]	Corporal TK-7886 has taken 100 damage from Petty Officer Third Class Karissa Novar.
[20:06:37]	Petty Officer Third Class Karissa Novar has killed Corporal TK-7886 with weapon_physgun.
[20:06:39]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[20:06:40]	Petty Officer Second Class Arnold Jackson entered observer.
[20:06:40]	Petty Officer Third Class Karissa Novar entered observer.
[20:06:40]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[20:06:42]	Petty Officer Second Class Arnold Jackson entered observer.
[20:06:42]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[20:06:43]	Petty Officer Third Class Karissa Novar exited observer at their location.
[20:06:44]	Petty Officer Second Class Arnold Jackson entered observer.
[20:06:44]	Petty Officer Third Class Karissa Novar entered observer.
[20:06:44]	Petty Officer Third Class Karissa Novar exited observer at their location.
[20:06:45]	Petty Officer Third Class Karissa Novar entered observer.
[20:06:45]	Petty Officer Third Class Karissa Novar exited observer at their location.
[20:06:45]	Petty Officer Third Class Karissa Novar entered observer.
[20:06:46]	Petty Officer Third Class Karissa Novar exited observer at their location.
[20:06:46]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[20:06:46]	Petty Officer Third Class Karissa Novar entered observer.
[20:06:47]	Petty Officer Third Class Karissa Novar exited observer at their location.
[20:06:47]	Petty Officer Third Class Karissa Novar entered observer.
[20:06:47]	Petty Officer Second Class Arnold Jackson entered observer.
[20:06:48]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[20:06:49]	Petty Officer Second Class Arnold Jackson entered observer.
[20:06:50]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[20:06:51]	Petty Officer Second Class Arnold Jackson entered observer.
[20:06:51]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[20:06:51]	Petty Officer Third Class Karissa Novar exited observer at their location.
[20:06:51]	Petty Officer Second Class Arnold Jackson entered observer.
[20:06:51]	Petty Officer Third Class Karissa Novar entered observer.
[20:06:52]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[20:06:53]	Petty Officer Second Class Arnold Jackson entered observer.
[20:06:55]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[20:07:10]	Petty Officer Third Class Karissa Novar exited observer at their location.
[20:07:10]	Petty Officer Third Class Karissa Novar entered observer.
[20:07:11]	Petty Officer Third Class Karissa Novar exited observer at their location.
[20:07:11]	Petty Officer Third Class Karissa Novar entered observer.
[20:07:11]	Petty Officer Third Class Karissa Novar exited observer at their location.
[20:07:12]	Petty Officer Third Class Karissa Novar entered observer.
[20:07:12]	Petty Officer Third Class Karissa Novar exited observer at their location.
[20:07:13]	Petty Officer Third Class Karissa Novar entered observer.
[20:07:13]	Petty Officer Third Class Karissa Novar exited observer at their location.
[20:07:14]	Petty Officer Third Class Karissa Novar entered observer.
[20:07:14]	Petty Officer Third Class Karissa Novar exited observer at their location.
[20:07:15]	Petty Officer Third Class Karissa Novar entered observer.
[20:07:15]	Petty Officer Third Class Karissa Novar exited observer at their location.
[20:07:16]	Petty Officer Third Class Karissa Novar entered observer.
[20:07:16]	Petty Officer Third Class Karissa Novar exited observer at their location.
[20:07:17]	Petty Officer Third Class Karissa Novar entered observer.
[20:07:20]	Petty Officer Third Class Karissa Novar has spawned 'models/props_interiors/BathTub01a.mdl'.
[20:07:34]	Petty Officer Third Class Karissa Novar exited observer at their location.
[20:07:39]	Petty Officer Third Class Karissa Novar has spawned 'models/props_lab/clipboard.mdl'.
[20:07:46]	Petty Officer Third Class Karissa Novar entered observer.
[20:08:07]	Petty Officer Third Class Karissa Novar has spawned 'models/props_junk/sawblade001a.mdl'.
[20:08:23]	Petty Officer Third Class Karissa Novar exited observer at their location.
[20:08:32]	Petty Officer Third Class Karissa Novar used command '/ToggleRaise'.
[20:08:32]	Petty Officer Second Class Arnold Jackson has taken 10 damage from Corporal TK-7886.
[20:08:33]	Petty Officer Second Class Arnold Jackson has taken 10 damage from Corporal TK-7886.
[20:08:34]	Petty Officer Second Class Arnold Jackson has taken 10 damage from Corporal TK-7886.
[20:08:35]	Petty Officer Second Class Arnold Jackson has taken 10 damage from Corporal TK-7886.
[20:08:35]	Corporal TK-7886 has taken 10 damage from Petty Officer Third Class Karissa Novar.
[20:08:35]	Petty Officer Second Class Arnold Jackson has taken 10 damage from Corporal TK-7886.
[20:08:35]	Petty Officer Second Class Arnold Jackson has taken 10 damage from Petty Officer Third Class Karissa Novar.
[20:08:36]	Petty Officer Second Class Arnold Jackson has taken 10 damage from Corporal TK-7886.
[20:08:36]	Petty Officer Second Class Arnold Jackson has taken 10 damage from Petty Officer Third Class Karissa Novar.
[20:08:37]	Petty Officer Second Class Arnold Jackson has taken 10 damage from Petty Officer Third Class Karissa Novar.
[20:08:37]	Petty Officer Second Class Arnold Jackson has taken 10 damage from Corporal TK-7886.
[20:08:38]	Petty Officer Second Class Arnold Jackson has taken 10 damage from Petty Officer Third Class Karissa Novar.
[20:08:38]	Petty Officer Third Class Karissa Novar has killed Petty Officer Second Class Arnold Jackson with weapon_stunstick.
[20:08:45]	Corporal TK-7886 has taken 24 damage from worldspawn.
[20:08:47]	Petty Officer Third Class Karissa Novar entered observer.
[20:08:47]	Petty Officer Third Class Karissa Novar exited observer at their location.
[20:08:52]	Petty Officer Third Class Karissa Novar entered observer.
[20:08:52]	Petty Officer Third Class Karissa Novar exited observer at their location.
[20:08:53]	Petty Officer Third Class Karissa Novar entered observer.
[20:08:54]	Petty Officer Third Class Karissa Novar exited observer at their location.
[20:08:54]	Petty Officer Third Class Karissa Novar entered observer.
[20:08:55]	Petty Officer Third Class Karissa Novar exited observer at their location.
[20:08:57]	Petty Officer Third Class Karissa Novar entered observer.
[20:08:57]	Petty Officer Third Class Karissa Novar exited observer at their location.
[20:09:13]	Petty Officer Third Class Karissa Novar entered observer.
[20:09:22]	Petty Officer Third Class Karissa Novar exited observer at their location.
[20:09:25]	Petty Officer Third Class Karissa Novar entered observer.
[20:09:25]	Petty Officer Third Class Karissa Novar exited observer at their location.
[20:09:26]	Petty Officer Third Class Karissa Novar entered observer.
[20:09:28]	Petty Officer Third Class Karissa Novar exited observer at their location.
[20:09:41]	Petty Officer Second Class Arnold Jackson entered observer.
[20:09:51]	Petty Officer Third Class Karissa Novar entered observer.
[20:09:52]	Petty Officer Third Class Karissa Novar exited observer at their location.
[20:09:54]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[20:09:54]	Petty Officer Third Class Karissa Novar has taken 10 damage from Corporal TK-7886.
[20:09:56]	Petty Officer Third Class Karissa Novar entered observer.
[20:09:56]	Petty Officer Third Class Karissa Novar exited observer at their location.
[20:09:56]	Petty Officer Third Class Karissa Novar entered observer.
[20:09:57]	Petty Officer Third Class Karissa Novar exited observer at their location.
[20:09:57]	Petty Officer Third Class Karissa Novar entered observer.
[20:09:58]	Petty Officer Third Class Karissa Novar exited observer at their location.
[20:09:59]	Petty Officer Third Class Karissa Novar entered observer.
[20:10:00]	Petty Officer Third Class Karissa Novar has killed Petty Officer Third Class Karissa Novar.
[20:10:02]	Petty Officer Second Class Arnold Jackson entered observer.
[20:10:06]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[20:10:07]	Petty Officer Third Class Karissa Novar entered observer.
[20:10:07]	Corporal TK-7886 has taken 3 damage from npc_fastzombie.
[20:10:07]	Corporal TK-7886 has taken 3 damage from npc_fastzombie.
[20:10:10]	Corporal TK-7886 has taken 3 damage from npc_fastzombie.
[20:10:10]	Corporal TK-7886 has taken 3 damage from npc_fastzombie.
[20:10:12]	Corporal TK-7886 has taken 3 damage from npc_fastzombie.
[20:10:12]	Corporal TK-7886 has taken 3 damage from npc_fastzombie.
[20:10:27]	Corporal TK-7886 has killed Corporal TK-7886.
[20:10:36]	Petty Officer Second Class Arnold Jackson entered observer.
[20:10:46]	Corporal TK-7886 has taken 213 damage from worldspawn.
[20:10:46]	worldspawn has killed Corporal TK-7886.
[20:10:54]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[20:10:57]	FB|| light ROOM (STEAM_0:1:17219621) has disconnected.
[20:10:58]	Petty Officer Third Class Karissa Novar exited observer at their location.
[20:10:59]	Petty Officer Third Class Karissa Novar entered observer.
[20:11:03]	Petty Officer Third Class Karissa Novar exited observer at their location.
[20:11:03]	Petty Officer Third Class Karissa Novar entered observer.
[20:11:05]	Petty Officer Third Class Karissa Novar exited observer at their location.
[20:11:05]	Petty Officer Third Class Karissa Novar entered observer.
[20:11:06]	Petty Officer Third Class Karissa Novar exited observer at their location.
[20:11:08]	Petty Officer Third Class Karissa Novar entered observer.
[20:11:08]	Petty Officer Third Class Karissa Novar exited observer at their location.
[20:11:09]	Petty Officer Third Class Karissa Novar entered observer.
[20:11:10]	Petty Officer Third Class Karissa Novar exited observer at their location.
[20:11:12]	Petty Officer Third Class Karissa Novar entered observer.
[20:11:12]	Petty Officer Third Class Karissa Novar exited observer at their location.
[20:11:15]	Petty Officer Third Class Karissa Novar entered observer.
[20:11:16]	Petty Officer Third Class Karissa Novar exited observer at their location.
[20:11:16]	Petty Officer Third Class Karissa Novar entered observer.
[20:11:16]	Petty Officer Third Class Karissa Novar exited observer at their location.
[20:11:18]	Petty Officer Third Class Karissa Novar entered observer.
[20:11:20]	Petty Officer Third Class Karissa Novar exited observer at their location.
[20:11:21]	Petty Officer Third Class Karissa Novar entered observer.
[20:11:23]	Petty Officer Third Class Karissa Novar exited observer at their location.
[20:11:24]	Petty Officer Third Class Karissa Novar entered observer.
[20:11:26]	Petty Officer Third Class Karissa Novar exited observer at their location.
[20:11:27]	Petty Officer Third Class Karissa Novar entered observer.
[20:11:27]	Petty Officer Third Class Karissa Novar exited observer at their location.
[20:11:28]	Petty Officer Third Class Karissa Novar entered observer.
[20:11:28]	Petty Officer Third Class Karissa Novar exited observer at their location.
[20:11:28]	Petty Officer Third Class Karissa Novar entered observer.
[20:11:29]	Petty Officer Third Class Karissa Novar exited observer at their location.
[20:11:29]	Petty Officer Third Class Karissa Novar entered observer.
[20:11:29]	Petty Officer Third Class Karissa Novar exited observer at their location.
[20:11:30]	Petty Officer Third Class Karissa Novar entered observer.
[20:11:30]	Petty Officer Third Class Karissa Novar exited observer at their location.
[20:11:31]	Petty Officer Third Class Karissa Novar entered observer.
[20:11:31]	Petty Officer Third Class Karissa Novar exited observer at their location.
[20:11:31]	Petty Officer Third Class Karissa Novar entered observer.
[20:11:32]	Petty Officer Third Class Karissa Novar exited observer at their location.
[20:11:32]	Petty Officer Third Class Karissa Novar entered observer.
[20:11:36]	Petty Officer Third Class Karissa Novar exited observer at their location.
[20:11:37]	Petty Officer Third Class Karissa Novar entered observer.
[20:11:37]	Petty Officer Third Class Karissa Novar exited observer at their location.
[20:11:48]	Petty Officer Third Class Karissa Novar entered observer.
[20:11:51]	Petty Officer Third Class Karissa Novar exited observer at their location.
[20:13:15]	DRD (STEAM_0:0:193599766) has disconnected.
[20:13:15]	Doughnut (STEAM_0:1:127409364) has disconnected.
[20:13:58]	FB|| light ROOM has connected.
[20:14:21]	FB|| light ROOM loaded the character 'TNK Private First Class Mitchell Lazarus'
[20:16:08]	FB|| light ROOM has connected.
[20:16:39]	FB|| light ROOM loaded the character 'Lance Corporal TX-7062'
[20:17:22]	Lance Corporal TX-7062 used the 'Armory' vendor.
[20:17:24]	Lance Corporal TX-7062 has gained 0 credits.
[20:17:24]	Lance Corporal TX-7062 has gained a 'Tibanna Cartridge' #1478.
[20:17:25]	Lance Corporal TX-7062 has gained 0 credits.
[20:17:25]	Lance Corporal TX-7062 has gained a 'Tibanna Cartridge' #1479.
[20:17:29]	Lance Corporal TX-7062 ran 'Equip' on item 'SE-14c Blaster' (#60)
[20:17:30]	Lance Corporal TX-7062 ran 'use' on item 'Tibanna Cartridge' (#1479)
[20:17:31]	Lance Corporal TX-7062 ran 'use' on item 'Tibanna Cartridge' (#1478)
[20:18:51]	Doughnut has connected.
[20:19:23]	Doughnut loaded the character 'Petty Officer Second Class Arnold Jackson'
[20:19:26]	Petty Officer Second Class Arnold Jackson entered observer.
[20:19:28]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[20:19:30]	Petty Officer Second Class Arnold Jackson entered observer.
[20:19:32]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[20:19:37]	Petty Officer Second Class Arnold Jackson entered observer.
[20:19:43]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[20:19:43]	Petty Officer Second Class Arnold Jackson entered observer.
[20:22:34]	FB|| light ROOM (STEAM_0:1:17219621) has disconnected.
[20:24:25]	FB|| light ROOM has connected.
[20:24:52]	FB|| light ROOM loaded the character 'Lance Corporal TX-7062'
[20:24:58]	[OOC] Lance Corporal TX-7062: cock and balls
[20:25:18]	Lance Corporal TX-7062 used command '/dr'.
[20:25:24]	Lance Corporal TX-7062 used command '/dr cock and bgalls'.
[20:26:46]	[OOC] Lance Corporal TX-7062: 👍︎❒︎◆︎■︎♑︎●︎♏︎
[20:27:10]	[OOC] Lance Corporal TX-7062: ☞︎◆︎♍︎🙵 ⍓︎□︎◆︎ ♎︎♓︎♍︎🙵♒︎□︎●︎♏︎
[20:29:29]	[OOC] Lance Corporal TX-7062: ✌︎●︎●︎ ⬥︎♏︎🕯︎❖︎♏︎ ♌︎♏︎♏︎■︎ ♑︎♓︎❖︎♏︎■︎👌︎⍓︎ ⧫︎♒︎□︎⬧︎♏︎ ⬥︎♒︎□︎ ♍︎♋︎❍︎♏︎ ♌︎♏︎♐︎□︎❒︎♏︎❄︎♒︎♏︎ ♎︎❒︎♏︎♋︎❍︎ □︎♐︎ ♋︎ ■︎♋︎⧫︎♓︎□︎■︎🕈︎♒︎♏︎❒︎♏︎ ♐︎❒︎♏︎♏︎♎︎□︎❍︎ ⬥︎□︎◆︎●︎♎︎ ♏︎■︎♎︎◆︎❒︎♏︎❄︎♒︎♏︎ ⬥︎□︎❒︎🙵 ♋︎■︎♎︎ ◻︎❒︎♋︎⍓︎♏︎❒︎⬧︎⚐︎♐︎ ♍︎♏︎■︎⧫︎◆︎❒︎♓︎♏︎⬧︎☟︎♋︎❖︎♏︎ ♌︎❒︎□︎◆︎♑︎♒︎⧫︎ ◆︎⬧︎ ⧫︎□︎ ⧫︎♒︎♓︎⬧︎ ♎︎♋︎⍓︎🕈︎♒︎♋︎⧫︎ ⬧︎♒︎♋︎●︎●︎ ♌︎♏︎ □︎◆︎❒︎ ●︎♏︎♑︎♋︎♍︎⍓︎✍︎🕈︎♒︎♋︎⧫︎ ⬥︎♓︎●︎●︎ □︎◆︎❒︎ ♍︎♒︎♓︎●︎♎︎❒ 
