[00:00:00]	[OOC] Unknown: rejoin*
[14:16:58]	Lance Corporal LS-7979 used command '/PM off the map 2 bumpy'.
[14:17:26]	[OOC] Petty Officer Second Class Arnold Jackson: wack
[14:17:59]	R2-M3 used command '/c'.
[14:18:04]	R2-M3 used command '/ch'.
[14:18:12]	R2-M3 used command '/wo'.
[14:18:14]	R2-M3 used command '/dr'.
[14:18:15]	R2-M3 used command '/dr'.
[14:18:16]	R2-M3 used command '/dr'.
[14:18:23]	Lance Corporal LS-7979 used command '/PM off Can you tp me back outside with the bike. it blew up from bumpy ground :C'.
[14:19:36]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[14:19:40]	Petty Officer Second Class Arnold Jackson has spawned a 'Entity [1407][lfs_speederbike]'.
[14:19:40]	Petty Officer Second Class Arnold Jackson entered observer.
[14:21:38]	Lance Corporal LS-7979 used command '/c Returning from patrol. Nothing as always. Give me a couple minutes or so.'.
[14:21:49]	Corporal RT-9824 used command '/comm Copy'.
[14:23:05]	Lance Corporal LS-7979 used command '/c Back at base.'.
[14:23:39]	FB|| light ROOM loaded the character 'TNK Private First Class Mitchell Lazarus'
[14:25:26]	FB|| light ROOM loaded the character 'Private First Class TX-7062'
[14:25:57]	FB|| light ROOM loaded the character 'Corporal RT-9824'
[14:26:33]	R2-M3 has taken 29 damage from Corporal RT-9824.
[14:26:51]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[14:26:54]	Petty Officer Second Class Arnold Jackson entered observer.
[14:26:54]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[14:26:55]	Petty Officer Second Class Arnold Jackson entered observer.
[14:26:55]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[14:27:02]	Petty Officer Second Class Arnold Jackson entered observer.
[14:28:42]	R2-M3 used command '/dr I saw the bike hit a wall.'.
[14:29:41]	Lance Corporal LS-7979 ran 'Equip' on item 'E-11S Blaster' (#563)
[14:29:42]	Lance Corporal LS-7979 ran 'use' on item 'Tibanna Cartridge' (#827)
[14:29:48]	R2-M3 has taken 5 damage from lfs_speederbike.
[14:29:48]	R2-M3 has taken 5 damage from lfs_speederbike.
[14:29:52]	R2-M3 has taken 5 damage from lfs_speederbike.
[14:29:53]	R2-M3 has taken 5 damage from lfs_speederbike.
[14:29:53]	R2-M3 has taken 5 damage from lfs_speederbike.
[14:29:53]	R2-M3 has taken 5 damage from lfs_speederbike.
[14:29:53]	R2-M3 has taken 5 damage from lfs_speederbike.
[14:29:53]	R2-M3 has taken 5 damage from lfs_speederbike.
[14:29:54]	R2-M3 has taken 5 damage from lfs_speederbike.
[14:29:54]	R2-M3 has taken 5 damage from lfs_speederbike.
[14:29:54]	R2-M3 has taken 5 damage from lfs_speederbike.
[14:29:54]	R2-M3 has taken 5 damage from lfs_speederbike.
[14:29:54]	R2-M3 has taken 5 damage from lfs_speederbike.
[14:29:54]	R2-M3 has taken 5 damage from lfs_speederbike.
[14:29:56]	R2-M3 has taken 5 damage from lfs_speederbike.
[14:29:56]	R2-M3 has taken 5 damage from lfs_speederbike.
[14:29:56]	R2-M3 has taken 5 damage from lfs_speederbike.
[14:29:56]	R2-M3 has taken 5 damage from lfs_speederbike.
[14:29:57]	R2-M3 has taken 5 damage from lfs_speederbike.
[14:29:58]	R2-M3 has taken 5 damage from lfs_speederbike.
[14:29:58]	R2-M3 has taken 5 damage from lfs_speederbike.
[14:29:58]	R2-M3 has taken 5 damage from lfs_speederbike.
[14:29:58]	R2-M3 has taken 5 damage from lfs_speederbike.
[14:29:58]	R2-M3 has taken 5 damage from lfs_speederbike.
[14:29:58]	lfs_speederbike has killed R2-M3.
[14:30:20]	[OOC] R2-M3: sos
[14:30:22]	[OOC] R2-M3: trapped
[14:30:32]	[OOC] R2-M3: dough nut help
[14:30:44]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[14:30:45]	Petty Officer Second Class Arnold Jackson entered observer.
[14:31:47]	Mr. Chief has connected.
[14:32:57]	R2-M3 has taken 29 damage from Corporal RT-9824.
[14:32:57]	R2-M3 has taken 31 damage from Corporal RT-9824.
[14:32:57]	R2-M3 has taken 30 damage from Corporal RT-9824.
[14:32:57]	R2-M3 has taken 30 damage from Corporal RT-9824.
[14:32:57]	Corporal RT-9824 has killed R2-M3 with rw_sw_e22.
[14:35:22]	R2-M3 has taken 100 damage from rp_kaktusownia_swrp_v1.
[14:35:22]	rp_kaktusownia_swrp_v1 has killed R2-M3.
[14:37:15]	[ME] R2-M3: is a headcran
[14:37:21]	[ME] R2-M3: is a headcran
[14:37:25]	[ME] R2-M3: is a headcrab
[14:41:49]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[14:41:50]	Petty Officer Second Class Arnold Jackson entered observer.
[14:41:50]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[14:41:55]	Petty Officer Second Class Arnold Jackson entered observer.
[14:44:19]	FB|| light ROOM loaded the character 'Private First Class TX-7062'
[14:45:16]	R2-M3 used command '/ToggleRaise'.
[14:46:33]	R2-M3 used command '/ToggleRaise'.
[14:46:59]	Petty Officer Second Class Arnold Jackson has spawned a 'Weapon [1415][weapon_camo]'.
[14:47:11]	Petty Officer Second Class Arnold Jackson has spawned a 'Weapon [1416][weapon_camo]'.
[14:47:19]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[14:47:55]	R2-M3 has spawned 'models/props_c17/chair02a.mdl'.
[14:48:18]	R2-M3 has spawned 'models/props_combine/breenglobe.mdl'.
[14:48:42]	R2-M3 has spawned 'models/props_vehicles/car003a_physics.mdl'.
[14:48:53]	[ME] R2-M3: is IRA
[14:49:09]	NamRm loaded the character 'Air Private First Class Charlie Black'
[14:49:26]	R2-M3 has spawned 'models/props_canal/boat002b.mdl'.
[14:49:33]	R2-M3 has taken 736 damage from vanilla_shipdestruction.
[14:49:33]	vanilla_shipdestruction has killed R2-M3.
[14:49:33]	Private First Class TX-7062 has taken 787 damage from vanilla_shipdestruction.
[14:49:33]	vanilla_shipdestruction has killed Private First Class TX-7062.
[14:49:46]	Private First Class TX-7062 ran 'Equip' on item 'E-22 Blaster' (#101)
[14:50:05]	Petty Officer Second Class Arnold Jackson entered observer.
[14:50:11]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[14:50:47]	Private First Class TX-7062 used the 'Armory' vendor.
[14:50:48]	Private First Class TX-7062 has gained 0 credits.
[14:50:48]	Private First Class TX-7062 has gained a 'Tibanna Cartridge' #835.
[14:50:49]	Private First Class TX-7062 has gained 0 credits.
[14:50:49]	Private First Class TX-7062 has gained a 'Tibanna Cartridge' #836.
[14:50:49]	Private First Class TX-7062 has gained 0 credits.
[14:50:49]	Private First Class TX-7062 has gained a 'Tibanna Cartridge' #837.
[14:50:49]	Private First Class TX-7062 has gained 0 credits.
[14:50:49]	Private First Class TX-7062 has gained a 'Tibanna Cartridge' #838.
[14:50:49]	Air Private First Class Charlie Black used command '/c Permission to take off for an air patrol around the surrounding area. I'll be taking a TIE Fighter.'.
[14:50:50]	Private First Class TX-7062 has gained 0 credits.
[14:50:50]	Private First Class TX-7062 has gained a 'Tibanna Cartridge' #839.
[14:50:50]	Private First Class TX-7062 has gained 0 credits.
[14:50:50]	Private First Class TX-7062 has gained a 'Tibanna Cartridge' #840.
[14:50:53]	Private First Class TX-7062 ran 'drop' on item 'Tibanna Cartridge' (#837)
[14:50:53]	Private First Class TX-7062 has lost a 'Tibanna Cartridge' #837.
[14:50:54]	Private First Class TX-7062 ran 'use' on item 'Tibanna Cartridge' (#838)
[14:50:55]	Private First Class TX-7062 ran 'use' on item 'Tibanna Cartridge' (#836)
[14:50:55]	Private First Class TX-7062 ran 'use' on item 'Tibanna Cartridge' (#839)
[14:50:56]	Private First Class TX-7062 ran 'use' on item 'Tibanna Cartridge' (#840)
[14:50:57]	R2-M3 ran 'take' on item 'Armor Dirtifier' (#833)
[14:50:57]	R2-M3 has gained a 'Armor Dirtifier' #833.
[14:51:00]	R2-M3 has taken 30 damage from Private First Class TX-7062.
[14:51:00]	R2-M3 has taken 31 damage from Private First Class TX-7062.
[14:51:00]	R2-M3 has taken 30 damage from Private First Class TX-7062.
[14:51:01]	R2-M3 has taken 31 damage from Private First Class TX-7062.
[14:51:01]	Private First Class TX-7062 has killed R2-M3 with rw_sw_e22.
[14:51:01]	Petty Officer Second Class Arnold Jackson has taken 29 damage from Private First Class TX-7062.
[14:51:02]	Petty Officer Second Class Arnold Jackson has taken 29 damage from Private First Class TX-7062.
[14:51:02]	Petty Officer Second Class Arnold Jackson has taken 29 damage from Private First Class TX-7062.
[14:51:03]	Petty Officer Second Class Arnold Jackson entered observer.
[14:51:09]	R2-M3 ran 'Equip' on item 'Armor Dirtifier' (#833)
[14:51:10]	Petty Officer Second Class Arnold Jackson used command '/c Approved'.
[14:51:12]	Private First Class TX-7062 ran 'use' on item 'Tibanna Cartridge' (#837)
[14:51:12]	Private First Class TX-7062 used the 'Armory' vendor.
[14:51:13]	Private First Class TX-7062 has gained 0 credits.
[14:51:13]	Private First Class TX-7062 has gained a 'Tibanna Cartridge' #838.
[14:51:14]	R2-M3 ran 'EquipUn' on item 'Armor Dirtifier' (#833)
[14:51:14]	Private First Class TX-7062 has gained 0 credits.
[14:51:14]	Private First Class TX-7062 has gained a 'Tibanna Cartridge' #839.
[14:51:14]	Private First Class TX-7062 has gained 0 credits.
[14:51:14]	Private First Class TX-7062 has gained a 'Tibanna Cartridge' #840.
[14:51:20]	Private First Class TX-7062 ran 'use' on item 'Tibanna Cartridge' (#840)
[14:51:20]	Private First Class TX-7062 ran 'use' on item 'Tibanna Cartridge' (#839)
[14:51:21]	Private First Class TX-7062 ran 'use' on item 'Tibanna Cartridge' (#838)
[14:51:22]	Private First Class TX-7062 ran 'use' on item 'Tibanna Cartridge' (#835)
[14:51:30]	R2-M3 ran 'Equip' on item 'Armor Dirtifier' (#833)
[14:51:36]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[14:51:43]	R2-M3 ran 'EquipUn' on item 'Armor Dirtifier' (#833)
[14:51:53]	Air Private First Class Charlie Black used command '/c Takin' off. See you later, boys.'.
[14:53:25]	Petty Officer Second Class Arnold Jackson entered observer.
[14:53:26]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[14:54:21]	Petty Officer Second Class Arnold Jackson ran 'Equip' on item 'E-11 Stun Blaster' (#790)
[14:54:36]	Petty Officer Second Class Arnold Jackson entered observer.
[14:54:36]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[14:55:04]	Petty Officer Second Class Arnold Jackson used command '/ToggleRaise'.
[14:55:06]	R2-M3 used command '/ToggleRaise'.
[14:55:08]	Petty Officer Second Class Arnold Jackson has taken 5 damage from R2-M3.
[14:55:12]	R2-M3 used command '/ToggleRaise'.
[14:55:17]	Petty Officer Second Class Arnold Jackson rolled 65 out of 100.
[14:55:17]	Petty Officer Second Class Arnold Jackson used command '/Roll'.
[14:55:20]	Private First Class TX-7062 rolled 48 out of 100.
[14:55:20]	Private First Class TX-7062 used command '/Roll'.
[14:55:29]	[ME] Petty Officer Second Class Arnold Jackson: takes a jab at the troopers kidney
[14:55:38]	Air Private First Class Charlie Black used command '/c Requesting to land. Landing codes AA - 6942.'.
[14:56:01]	[IT] Private First Class TX-7062: Unga bunga, hurt but not really gonna stop me in anyway.
[14:56:08]	[IT] Petty Officer Second Class Arnold Jackson: ew
[14:56:22]	[ME] Private First Class TX-7062: Throws a punch at the Navy Troopers face.
[14:56:23]	Petty Officer Second Class Arnold Jackson used command '/c Approved'.
[14:56:31]	[ME] Petty Officer Second Class Arnold Jackson: tries to dodge
[14:56:49]	Petty Officer Second Class Arnold Jackson has taken 5 damage from Private First Class TX-7062.
[14:56:50]	Private First Class TX-7062 has taken 9 damage from Petty Officer Second Class Arnold Jackson.
[14:57:02]	[ME] Petty Officer Second Class Arnold Jackson: tries to kick the tx in the kneecap
[14:57:13]	[ME] Private First Class TX-7062: Attempts to catch the Foot.
[14:57:31]	[IT] Private First Class TX-7062: Unga bunga I catch foot.
[14:57:33]	NamRm loaded the character 'Lance Corporal LS-7979'
[14:57:44]	[ME] Private First Class TX-7062: Attempts to make the man fall on his ass.
[14:58:08]	[ME] Petty Officer Second Class Arnold Jackson: kicks at mans stomach
[14:58:36]	[IT] Private First Class TX-7062: I have been bamboozled, very much oumch.
[14:58:58]	[ME] Private First Class TX-7062: In a fit of rage, the TX slams his fucking foot into the Troopers visor.
[14:59:12]	[ME] Petty Officer Second Class Arnold Jackson: tries to dodge le toes
[15:00:01]	[IT] Private First Class TX-7062: The TX slams his foot into the helmet and the helmet protects again most of it.
[15:00:20]	[ME] Petty Officer Second Class Arnold Jackson: tries to pull the tx down with my own leg
[15:01:20]	[ME] Private First Class TX-7062: Fucking slams his foot into the troopers crotch.
[15:01:31]	[ME] Petty Officer Second Class Arnold Jackson: tries to roll away from it
[15:02:21]	[ME] Petty Officer Second Class Arnold Jackson: tries to slam my heel down onto the TX's testiculars because fuck your children too
[15:05:53]	[ME] Private First Class TX-7062: While rolling away, the Trooper flips a small switch on his wrist, soon after he fades away almost completely for the Fleet Trooper.
[15:07:09]	[ME] Private First Class TX-7062: The Trooper flips a small switch on his wrist, soon after he fades away almost completely for the Fleet Trooper.
[15:07:16]	[ME] Petty Officer Second Class Arnold Jackson: scoots out of the ring
[15:07:21]	Petty Officer Second Class Arnold Jackson used command '/ToggleRaise'.
[15:08:03]	[ME] Petty Officer Second Class Arnold Jackson: taps the soldiers helmet
[15:08:13]	[Y] Lance Corporal LS-7979: He tapped out! You can stop hiding.
[15:08:31]	[ME] R2-M3: beep boop
[15:08:43]	[ME] R2-M3: beep boop!
[15:09:02]	R2-M3 used command '/dr I have a recording of the cloaking.'.
[15:09:20]	[ME] R2-M3: flicks on it's holographic projector, showing the  C O W A R D I C E
[15:09:56]	[ME] R2-M3: shoves out a datachip, with the recording of it out of whereever they come from
[15:11:34]	[ME] R2-M3: beeps excitedly 
[15:11:41]	R2-M3 rolled 65 out of 100.
[15:11:41]	R2-M3 used command '/Roll'.
[15:11:53]	FB|| light ROOM loaded the character 'Corporal RT-9824'
[15:13:03]	[ME] R2-M3: makes an affirmative beep?
[15:13:49]	R2-M3 used command '/dr Thank you.'.
[15:16:11]	Petty Officer Second Class Arnold Jackson used command '/CharSetModel ls models/hgn/swrp/swrp/stormtrooper_scout.mdl'.
[15:16:23]	Petty Officer Second Class Arnold Jackson used command '/CharSetModel ls models/sono/swbf3/scout.mdl'.
[15:16:29]	Petty Officer Second Class Arnold Jackson used command '/CharSetModel ls models/kio/phoenix/scout/scout_02_female_winter.mdl'.
[15:16:36]	Petty Officer Second Class Arnold Jackson used command '/CharSetModel ls models/kio/phoenix/scout/scout_01_male_winter.mdl'.
[15:16:43]	Petty Officer Second Class Arnold Jackson used command '/CharSetModel ls models/kriegsyntax/imperial/stormtroopers/scouttroopers/playermodel_male_01.mdl'.
[15:17:16]	[ME] R2-M3: makes a sad sounding beep :(
[15:17:55]	Lance Corporal LS-7979 ran 'use' on item 'Tibanna Cartridge' (#826)
[15:19:25]	[LOOC] R2-M3: go learn droid loser
[15:26:38]	[LOOC] R2-M3: what if
[15:26:44]	[LOOC] R2-M3: what if we go ic
[15:26:51]	Vutta has connected.
[15:27:42]	Vutta loaded the character 'MSE-6-Q810J'
[15:28:01]	[OOC] MSE-6-Q810J: Bit gay innit?
[15:28:10]	[OOC] Corporal RT-9824: Mouse droid be like
[15:28:12]	[OOC] Petty Officer Second Class Arnold Jackson: wack
[15:28:18]	[OOC] R2-M3: droid rp 
[15:28:31]	[OOC] R2-M3: but it's not an astromech, so you are not valid
[15:28:48]	[OOC] MSE-6-Q810J: I'll make an R5 unit bet
[15:29:07]	R2-M3 has taken 5 damage from MSE-6-Q810J.
[15:29:09]	R2-M3 used command '/ToggleRaise'.
[15:29:09]	[OOC] Corporal RT-9824: We're figuring out the RT's fucking uniform and how heavy it is
[15:29:09]	Petty Officer Second Class Arnold Jackson used command '/ToggleRaise'.
[15:29:10]	MSE-6-Q810J has taken 5 damage from R2-M3.
[15:29:11]	Petty Officer Second Class Arnold Jackson used command '/ToggleRaise'.
[15:29:12]	[OOC] Corporal RT-9824: OOC of course
[15:29:16]	[OOC] Petty Officer Second Class Arnold Jackson: droid fiiiight
[15:29:27]	Lance Corporal LS-7979 has taken 5 damage from R2-M3.
[15:29:40]	R2-M3 has taken 5 damage from MSE-6-Q810J.
[15:29:41]	R2-M3 has taken 5 damage from MSE-6-Q810J.
[15:29:42]	R2-M3 has taken 5 damage from MSE-6-Q810J.
[15:29:43]	R2-M3 has taken 5 damage from MSE-6-Q810J.
[15:29:44]	R2-M3 has taken 5 damage from MSE-6-Q810J.
[15:29:46]	[LOOC] R2-M3: i surrender
[15:29:48]	R2-M3 used command '/ToggleRaise'.
[15:29:55]	R2-M3 used command '/dr e'.
[15:30:04]	[LOOC] R2-M3: you need droid flags, don't you?
[15:30:07]	[LOOC] MSE-6-Q810J: void
[15:30:11]	[LOOC] MSE-6-Q810J: I have em,
[15:30:15]	[LOOC] MSE-6-Q810J: How do I speak droid
[15:30:15]	[LOOC] R2-M3: oh
[15:30:17]	[LOOC] R2-M3: /dr
[15:30:26]	MSE-6-Q810J used command '/dr Bit gay innit m8'.
[15:30:29]	[LOOC] MSE-6-Q810J: void
[15:30:33]	R2-M3 used command '/dr :(\'.
[15:30:49]	R2-M3 used command '/dr look at the fucking furry'.
[15:30:50]	MSE-6-Q810J used command '/dr I am a better fighter.'.
[15:30:56]	R2-M3 used command '/dr no'.
[15:31:02]	R2-M3 used command '/dr i have a saw'.
[15:31:04]	MSE-6-Q810J used command '/dr I legit beat the shit out of you'.
[15:31:11]	R2-M3 used command '/dr what did he say about my mother?'.
[15:31:27]	R2-M3 used command '/dr i don't even *have* a mother'.
[15:31:54]	R2-M3 used command '/dr learn droid'.
[15:31:56]	R2-M3 used command '/dr learn droid'.
[15:31:57]	R2-M3 used command '/dr learn droid'.
[15:31:58]	R2-M3 used command '/dr learn droid'.
[15:32:20]	Vutta created the character 'R5-Y2'
[15:32:25]	Vutta loaded the character 'R5-89'
[15:32:58]	R5-89 used command '/CharDesc'.
[15:33:13]	R5-89 used command '/CharDesc R5 model | Black and Orange |'.
[15:33:47]	[OOC] R2-M3: brother
[15:33:52]	[OOC] R5-89: Brother
[15:34:18]	R5-89 used command '/dr These troops wouldn't understand'.
[15:34:37]	R2-M3 used command '/dr They should be taught droid'.
[15:35:04]	R2-M3 used command '/PM r5 crouch'.
[15:35:40]	R2-M3 has taken 99 damage from rp_kaktusownia_swrp_v1.
[15:35:40]	rp_kaktusownia_swrp_v1 has killed R2-M3.
[15:35:49]	R5-89 used command '/dr What the fuck'.
[15:35:58]	[LOOC] Petty Officer Second Class Arnold Jackson: ill put you up there too
[15:36:01]	[LOOC] Corporal RT-9824: Lmao
[15:36:05]	[LOOC] R5-89: void
[15:36:12]	[LOOC] Petty Officer Second Class Arnold Jackson: taught the droid english
[15:36:31]	R5-89 used command '/dr Wanna zap them?'.
[15:36:49]	R5-89 used command '/dr Wait can he understand us?'.
[15:36:54]	R2-M3 used command '/CharDesc'.
[15:37:00]	R2-M3 used command '/CharDesc Black and Orange astromech | R2 Model | 1.1 m'.
[15:37:34]	[LOOC] Corporal RT-9824: Cringe ass nae nae baby
[15:37:43]	[OOC] Corporal RT-9824: We should get IC
[15:37:45]	[OOC] Corporal RT-9824: Just saying
[15:37:49]	R2-M3 used command '/dr No. Don't zap them unless you want to be scrapped.'.
[15:37:54]	R2-M3 used command '/dr No. Don't zap them unless you want to be scrapped.'.
[15:37:58]	Vutta loaded the character 'Flight Sub-Lieutenant Erik Crogour'
[15:38:07]	[OOC] Flight Sub-Lieutenant Erik Crogour: Sorry R2
[15:38:13]	[OOC] R2-M3: no worries
[15:38:14]	Petty Officer Second Class Arnold Jackson ran 'drop' on item 'Alien Overlord Rib' (#682)
[15:38:14]	Petty Officer Second Class Arnold Jackson has lost a 'Alien Overlord Rib' #682.
[15:38:16]	Petty Officer Second Class Arnold Jackson entered observer.
[15:38:16]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[15:38:17]	Petty Officer Second Class Arnold Jackson entered observer.
[15:38:17]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[15:38:18]	Lance Corporal LS-7979 ran 'take' on item 'Alien Overlord Rib' (#682)
[15:38:18]	Lance Corporal LS-7979 has gained a 'Alien Overlord Rib' #682.
[15:39:24]	Corporal RT-9824 used the 'Armory' vendor.
[15:39:25]	Corporal RT-9824 has gained 0 credits.
[15:39:25]	Corporal RT-9824 has gained a 'Tibanna Cartridge' #838.
[15:39:26]	Corporal RT-9824 has gained 0 credits.
[15:39:26]	Corporal RT-9824 has gained a 'Tibanna Cartridge' #839.
[15:39:26]	R2-M3 used the 'Armory' vendor.
[15:39:26]	Corporal RT-9824 has gained 0 credits.
[15:39:26]	Corporal RT-9824 has gained a 'Tibanna Cartridge' #840.
[15:39:26]	Lance Corporal LS-7979 used the 'Armory' vendor.
[15:39:28]	Petty Officer Second Class Arnold Jackson used the 'Armory' vendor.
[15:39:30]	Flight Sub-Lieutenant Erik Crogour used the 'Armory' vendor.
[15:39:31]	Petty Officer Second Class Arnold Jackson has gained 0 credits.
[15:39:31]	Petty Officer Second Class Arnold Jackson has gained a 'Tibanna Cartridge' #841.
[15:39:31]	Petty Officer Second Class Arnold Jackson has gained 0 credits.
[15:39:31]	Petty Officer Second Class Arnold Jackson has gained a 'Tibanna Cartridge' #842.
[15:39:32]	Petty Officer Second Class Arnold Jackson has gained 0 credits.
[15:39:32]	Petty Officer Second Class Arnold Jackson has gained a 'Tibanna Cartridge' #843.
[15:39:32]	R2-M3 has gained 0 credits.
[15:39:32]	R2-M3 has gained a 'Holster' #844.
[15:39:33]	Flight Sub-Lieutenant Erik Crogour has gained 0 credits.
[15:39:33]	Flight Sub-Lieutenant Erik Crogour has gained a 'Tibanna Cartridge' #845.
[15:39:35]	Lance Corporal LS-7979 ran 'Equip' on item 'Armor Dirtifier' (#834)
[15:39:38]	Flight Sub-Lieutenant Erik Crogour has gained 0 credits.
[15:39:41]	Corporal RT-9824 has gained 0 credits.
[15:39:41]	Corporal RT-9824 has gained a 'Holster' #846.
[15:39:42]	R2-M3 ran 'Equip' on item 'Holster' (#844)
[15:39:43]	Corporal RT-9824 ran 'Equip' on item 'Holster' (#846)
[15:39:45]	R2-M3 ran 'EquipUn' on item 'Holster' (#844)
[15:39:47]	R2-M3 ran 'drop' on item 'Holster' (#844)
[15:39:47]	R2-M3 has lost a 'Holster' #844.
[15:39:47]	Corporal RT-9824 ran 'EquipUn' on item 'Holster' (#846)
[15:39:49]	Flight Sub-Lieutenant Erik Crogour has gained 0 credits.
[15:39:49]	Flight Sub-Lieutenant Erik Crogour has gained a 'E-11 Stun Blaster' #847.
[15:39:59]	R2-M3 ran 'Equip' on item 'Armor Dirtifier' (#833)
[15:40:01]	Corporal RT-9824 ran 'use' on item 'Tibanna Cartridge' (#840)
[15:40:02]	R2-M3 ran 'EquipUn' on item 'Armor Dirtifier' (#833)
[15:40:02]	Corporal RT-9824 ran 'use' on item 'Tibanna Cartridge' (#838)
[15:40:13]	[LOOC] Corporal RT-9824: That model though
[15:40:14]	Lance Corporal LS-7979 ran 'EquipUn' on item 'Armor Dirtifier' (#834)
[15:40:15]	Lance Corporal LS-7979 ran 'Equip' on item 'Armor Dirtifier' (#834)
[15:40:19]	Lance Corporal LS-7979 ran 'EquipUn' on item 'Armor Dirtifier' (#834)
[15:40:20]	Lance Corporal LS-7979 ran 'Equip' on item 'Armor Dirtifier' (#834)
[15:40:24]	[OOC] Corporal RT-9824: Ollie do be joining
[15:40:25]	Lance Corporal LS-7979 ran 'EquipUn' on item 'Armor Dirtifier' (#834)
[15:40:25]	Lance Corporal LS-7979 ran 'Equip' on item 'Armor Dirtifier' (#834)
[15:40:28]	[OOC] Corporal RT-9824: Also Chicken
[15:40:28]	Corporal RT-9824 used the 'Armory' vendor.
[15:40:33]	Lance Corporal LS-7979 has killed Lance Corporal LS-7979.
[15:40:41]	Lance Corporal LS-7979 ran 'EquipUn' on item 'Armor Dirtifier' (#834)
[15:40:50]	Corporal RT-9824 used the 'Armory' vendor.
[15:40:52]	Corporal RT-9824 has gained 0 credits.
[15:40:52]	Corporal RT-9824 has gained a 'Armor Dirtifier' #848.
[15:40:54]	Corporal RT-9824 ran 'Equip' on item 'Armor Dirtifier' (#848)
[15:40:54]	Lance Corporal LS-7979 ran 'take' on item 'Holster' (#844)
[15:40:54]	Lance Corporal LS-7979 has gained a 'Holster' #844.
[15:40:56]	Lance Corporal LS-7979 ran 'Equip' on item 'Holster' (#844)
[15:40:58]	Corporal RT-9824 ran 'EquipUn' on item 'Armor Dirtifier' (#848)
[15:41:02]	Lance Corporal LS-7979 ran 'EquipUn' on item 'Holster' (#844)
[15:41:03]	Lance Corporal LS-7979 ran 'Equip' on item 'Holster' (#844)
[15:41:44]	[LOOC] Corporal RT-9824: Imagine being a pilot.
[15:41:49]	[LOOC] Corporal RT-9824: jk jk unless.....
[15:41:53]	[LOOC] Flight Sub-Lieutenant Erik Crogour: Imagine being a corporal
[15:42:12]	Chicken has connected.
[15:42:19]	[LOOC] Corporal RT-9824: Imma be real, due to the circumstances I might actually have more authority just because we're on the ground.
[15:42:25]	[LOOC] Flight Sub-Lieutenant Erik Crogour: I'm hot aren't I
[15:42:27]	[LOOC] Flight Sub-Lieutenant Erik Crogour: yeah tru
[15:42:36]	[LOOC] Corporal RT-9824: If we were on the Chimaera then you would have more authority,
[15:42:37]	Ollie Garner has connected.
[15:42:49]	Lance Corporal LS-7979 ran 'EquipUn' on item 'Holster' (#844)
[15:42:50]	Lance Corporal LS-7979 ran 'Equip' on item 'Holster' (#844)
[15:42:53]	[LOOC] Corporal RT-9824: Also Range Trooper is slightly elite but whatever.
[15:42:54]	Chicken loaded the character 'Flight Crewman Second Class Dash Rene'
[15:43:03]	Petty Officer Second Class Arnold Jackson entered observer.
[15:43:03]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[15:43:05]	Petty Officer Second Class Arnold Jackson entered observer.
[15:43:09]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[15:43:12]	Petty Officer Second Class Arnold Jackson has taken 262 damage from rp_kaktusownia_swrp_v1.
[15:43:12]	rp_kaktusownia_swrp_v1 has killed Petty Officer Second Class Arnold Jackson.
[15:43:18]	[OOC] Corporal RT-9824: Okay, we're IC boys
[15:43:19]	Petty Officer Second Class Arnold Jackson entered observer.
[15:43:22]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[15:43:28]	Petty Officer Second Class Arnold Jackson ran 'Equip' on item 'E-11 Stun Blaster' (#790)
[15:43:29]	Petty Officer Second Class Arnold Jackson ran 'Equip' on item 'DH-17 Blaster' (#163)
[15:43:30]	Petty Officer Second Class Arnold Jackson ran 'use' on item 'Tibanna Cartridge' (#843)
[15:43:31]	Petty Officer Second Class Arnold Jackson ran 'use' on item 'Tibanna Cartridge' (#842)
[15:43:36]	Corporal RT-9824 used command '/comm Going to the sparring ring, anybody want a match?'.
[15:44:11]	Ollie Garner (STEAM_0:1:52892973) has disconnected.
[15:44:16]	R2-M3 used command '/CharDesc'.
[15:44:25]	R2-M3 used command '/CharDesc Black and Orange astromech | R2 Model | 1.1 m (3'7")'.
[15:44:31]	Flight Sub-Lieutenant Erik Crogour used command '/comm I'd like to try.'.
[15:44:38]	Corporal RT-9824 used command '/comm You know where it is?'.
[15:44:39]	Lance Corporal LS-7979 ran 'Equip' on item 'E-11S Blaster' (#563)
[15:44:41]	Lance Corporal LS-7979 ran 'use' on item 'Tibanna Cartridge' (#825)
[15:44:46]	Flight Sub-Lieutenant Erik Crogour used command '/comm Yea.'.
