[00:00:04]	[OOC] Sergeant PT-9823: crungle
[00:42:03]	R4-K5 has gained a 'Trooper plushie' #1252.
[00:42:13]	R4-K5 ran 'drop' on item 'Trooper plushie' (#1252)
[00:42:13]	R4-K5 has lost a 'Trooper plushie' #1252.
[00:44:05]	[ME] Private HA-1248 ''Jenny'': takes the plushie back in her utility belt
[00:44:07]	Private HA-1248 ''Jenny'' ran 'take' on item 'Trooper plushie' (#1252)
[00:44:07]	Private HA-1248 ''Jenny'' has gained a 'Trooper plushie' #1252.
[00:44:16]	[ME] Private HA-1248 ''Jenny'': sighs for a moment reminding herself 
[00:45:53]	TNK Private Humphry Stanton used command '/CharSetAttribute sergeant strength 3'.
[00:49:03]	[ME] Sergeant RT-9824 ''Bulwark'': Sits down and places his E-22 down onto the table.
[00:52:37]	FB|| light ROOM (STEAM_0:1:17219621) has disconnected.
[00:53:48]	TNK Private Humphry Stanton exited observer at their location.
[00:54:08]	[ME] Private HA-1248 ''Jenny'': would just be sitting waiting before spoting the tank trooper that yelled "Army"
[00:54:22]	[W] Private HA-1248 ''Jenny'': Army?
[00:54:25]	[Y] TNK Private Humphry Stanton: Army!!!!
[00:54:30]	R4-K5 used command '/dr Army.'.
[00:54:32]	[Y] TNK Private Humphry Stanton: Army!!!!
[00:54:36]	R4-K5 used command '/dr Army!!!!!!!!!'.
[00:54:51]	[ME] Private HA-1248 ''Jenny'': joins the tank trooper before increasing the volume
[00:55:06]	[ME] R4-K5: beeps extremely loud
[00:55:09]	R4-K5 used command '/dr ARMY!'.
[00:55:32]	R4-K5 has spawned 'models/props_interiors/pot01a.mdl'.
[00:56:22]	[W] R4-K5: UwU~.
[00:57:40]	DRD loaded the character 'Private First Class HA-1617'
[00:58:18]	[ME] Private HA-1248 ''Jenny'': spots the other sky trooper joining them, noding as a hi
[01:04:55]	DRD (STEAM_0:0:193599766) has disconnected.
[01:05:54]	[LOOC] Private HA-1248 ''Jenny'': done->down
[01:17:28]	[ME] Private HA-1248 ''Jenny'': mumbles to herself for a moment
[01:25:47]	matt saton (STEAM_0:1:53097688) has disconnected (timed out).
[01:34:38]	[OOC] TNK Private Humphry Stanton: magic time
[01:34:40]	Doughnut (STEAM_0:1:127409364) has disconnected.
[02:53:25]	MilkyWay (STEAM_0:1:118336892) has disconnected.
[15:52:13]	FB|| light ROOM has connected.
[15:53:42]	FB|| light ROOM loaded the character 'Sergeant RT-9824 ''Bulwark'''
[15:59:56]	Sergeant RT-9824 ''Bulwark'' ran 'drop' on item 'Flashlight' (#51)
[15:59:56]	Sergeant RT-9824 ''Bulwark'' has lost a 'Flashlight' #51.
[15:59:59]	Sergeant RT-9824 ''Bulwark'' ran 'take' on item 'Flashlight' (#51)
[15:59:59]	Sergeant RT-9824 ''Bulwark'' has gained a 'Flashlight' #51.
[16:05:37]	FB|| light ROOM loaded the character 'Lance Corporal TX-7062'
[16:09:08]	FB|| light ROOM (STEAM_0:1:17219621) has disconnected.
[16:30:55]	FB|| light ROOM has connected.
[16:31:25]	FB|| light ROOM loaded the character 'Lance Corporal TX-7062'
[16:47:35]	FB|| light ROOM (STEAM_0:1:17219621) has disconnected.
[17:48:31]	FB|| light ROOM has connected.
[17:49:45]	FB|| light ROOM loaded the character 'Sergeant RT-9824 ''Bulwark'''
[17:51:04]	FB|| light ROOM (STEAM_0:1:17219621) has disconnected.
[17:51:28]	DRD has connected.
[17:55:12]	DRD loaded the character 'R4-K5'
[17:56:26]	[OOC] R4-K5: e09w
[17:56:31]	DRD (STEAM_0:0:193599766) has disconnected.
[17:57:36]	FB|| light ROOM has connected.
[17:58:12]	FB|| light ROOM loaded the character 'Lance Corporal TX-7062'
[17:59:16]	DRD has connected.
[18:02:45]	DRD loaded the character 'R4-K5'
[18:06:25]	Lance Corporal TX-7062 used command '/dr Hello there.'.
[18:07:25]	R4-K5 used command '/dr Hello.'.
[18:08:40]	R4-K5 used command '/dr I am functioning.'.
[18:10:01]	R4-K5 used command '/dr Good, adjectove, to be desired or approved of. Noun, benefit or advantage to someone or something.'.
[18:10:06]	[LOOC] R4-K5: adjective
[18:12:26]	[LOOC] Lance Corporal TX-7062: ?
[18:12:41]	R4-K5 used command '/dr Mystic forces.'.
[18:23:13]	FB|| light ROOM loaded the character 'Sergeant RT-9824 ''Bulwark'''
[18:23:20]	Sergeant RT-9824 ''Bulwark'' used the 'Armory' vendor.
[18:23:21]	Sergeant RT-9824 ''Bulwark'' has gained 0 credits.
[18:23:21]	Sergeant RT-9824 ''Bulwark'' has gained a 'Comlink' #1410.
[18:24:32]	[OOC] Sergeant RT-9824 ''Bulwark'': Go to the mess hall smh.
[18:24:42]	[OOC] R4-K5: i need you to buy me a commlink
[18:24:44]	[OOC] Sergeant RT-9824 ''Bulwark'': I did
[18:24:57]	[OOC] R4-K5: coming
[18:24:58]	[OOC] Sergeant RT-9824 ''Bulwark'': Go to the mess hall and you shall recieve.
[18:25:51]	Sergeant RT-9824 ''Bulwark'' ran 'drop' on item 'Comlink' (#1410)
[18:25:51]	Sergeant RT-9824 ''Bulwark'' has lost a 'Comlink' #1410.
[18:25:55]	R4-K5 ran 'take' on item 'Comlink' (#1410)
[18:25:55]	R4-K5 has gained a 'Comlink' #1410.
[18:26:15]	[OOC] R4-K5: im making it ic that R2-Z7 found an escape pod and drifted to this star destroyer
[18:26:36]	R4-K5 ran 'Power' on item 'Comlink' (#1410)
[18:26:37]	R4-K5 used command '/c'.
[18:26:43]	Sergeant RT-9824 ''Bulwark'' used command '/c'.
[18:26:50]	R4-K5 used command '/c'.
[18:26:51]	R4-K5 used command '/c'.
[18:26:51]	R4-K5 used command '/c'.
[18:26:52]	R4-K5 used command '/c'.
[18:26:54]	R4-K5 used command '/c'.
[18:26:55]	R4-K5 used command '/c'.
[18:26:56]	R4-K5 used command '/c'.
[18:26:56]	R4-K5 used command '/c'.
[18:26:57]	R4-K5 used command '/c'.
[18:26:57]	R4-K5 used command '/c'.
[18:26:58]	R4-K5 used command '/c'.
[18:26:59]	R4-K5 used command '/c'.
[18:26:59]	R4-K5 used command '/c'.
[18:27:00]	R4-K5 used command '/c'.
[18:27:01]	R4-K5 used command '/c'.
[18:27:02]	R4-K5 used command '/c'.
[18:29:33]	R4-K5 has taken 31 damage from Sergeant RT-9824 ''Bulwark''.
[18:29:33]	R4-K5 has taken 29 damage from Sergeant RT-9824 ''Bulwark''.
[18:29:35]	R4-K5 has taken 31 damage from Sergeant RT-9824 ''Bulwark''.
[18:29:35]	Sergeant RT-9824 ''Bulwark'' has killed R4-K5 with rw_sw_e22.
[18:30:17]	DRD loaded the character 'Threva'
[18:30:55]	FB|| light ROOM loaded the character 'Corporal TK-7886'
[18:32:26]	FB|| light ROOM loaded the character 'Sergeant PT-9823'
[18:32:45]	DRD loaded the character 'Private PT-2932'
[18:33:43]	FB|| light ROOM (STEAM_0:1:17219621) has disconnected.
[18:33:57]	DRD (STEAM_0:0:193599766) has disconnected.
[21:38:29]	FB|| light ROOM has connected.
[21:39:34]	Doughnut has connected.
[21:39:40]	FB|| light ROOM (STEAM_0:1:17219621) has disconnected.
[21:39:40]	Doughnut (STEAM_0:1:127409364) has disconnected (timed out).
[21:40:32]	Doughnut has connected.
[21:40:49]	FB|| light ROOM has connected.
[21:40:59]	Doughnut loaded the character 'Petty Officer Second Class Arnold Jackson'
[21:41:47]	FB|| light ROOM loaded the character 'Sergeant RT-9824 ''Bulwark'''
[21:41:52]	Petty Officer Second Class Arnold Jackson entered observer.
[21:41:59]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[21:42:02]	Petty Officer Second Class Arnold Jackson entered observer.
[21:42:02]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[21:42:04]	Petty Officer Second Class Arnold Jackson entered observer.
[21:42:05]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[21:42:06]	Petty Officer Second Class Arnold Jackson entered observer.
[21:42:06]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[21:42:11]	Petty Officer Second Class Arnold Jackson used command '/CharFallOver 0'.
[21:42:14]	FB|| light ROOM (STEAM_0:1:17219621) has disconnected.
[21:43:57]	DRD has connected.
[21:44:33]	FB|| light ROOM has connected.
[21:45:36]	FB|| light ROOM loaded the character 'Sergeant RT-9824 ''Bulwark'''
[21:46:16]	Petty Officer Second Class Arnold Jackson has taken 183 damage from Sergeant RT-9824 ''Bulwark''.
[21:46:17]	Petty Officer Second Class Arnold Jackson has taken 172 damage from Sergeant RT-9824 ''Bulwark''.
[21:46:18]	Petty Officer Second Class Arnold Jackson has taken 181 damage from Sergeant RT-9824 ''Bulwark''.
[21:46:18]	Sergeant RT-9824 ''Bulwark'' has killed Petty Officer Second Class Arnold Jackson with rw_sw_e22.
[21:46:32]	Petty Officer Second Class Arnold Jackson entered observer.
[21:46:33]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[21:47:29]	Petty Officer Second Class Arnold Jackson has taken 31 damage from Sergeant RT-9824 ''Bulwark''.
[21:47:29]	Petty Officer Second Class Arnold Jackson has taken 29 damage from Sergeant RT-9824 ''Bulwark''.
[21:47:30]	Petty Officer Second Class Arnold Jackson has taken 31 damage from Sergeant RT-9824 ''Bulwark''.
[21:47:33]	Petty Officer Second Class Arnold Jackson has taken 3 damage from Sergeant RT-9824 ''Bulwark''.
[21:47:37]	Petty Officer Second Class Arnold Jackson has taken 31 damage from Sergeant RT-9824 ''Bulwark''.
[21:47:37]	Sergeant RT-9824 ''Bulwark'' has killed Petty Officer Second Class Arnold Jackson with rw_sw_e22.
[21:47:37]	Sergeant RT-9824 ''Bulwark'' has taken 3 damage from npc_fastzombie.
[21:47:37]	Sergeant RT-9824 ''Bulwark'' has taken 3 damage from npc_fastzombie.
[21:47:37]	Sergeant RT-9824 ''Bulwark'' has taken 3 damage from npc_fastzombie.
[21:47:38]	Sergeant RT-9824 ''Bulwark'' has taken 3 damage from npc_fastzombie.
[21:47:38]	Sergeant RT-9824 ''Bulwark'' has taken 3 damage from npc_fastzombie.
[21:47:38]	Sergeant RT-9824 ''Bulwark'' has taken 3 damage from npc_fastzombie.
[21:47:40]	Sergeant RT-9824 ''Bulwark'' has taken 3 damage from npc_fastzombie.
[21:47:40]	Sergeant RT-9824 ''Bulwark'' has taken 3 damage from npc_fastzombie.
[21:47:40]	Sergeant RT-9824 ''Bulwark'' has taken 3 damage from npc_fastzombie.
[21:47:41]	Sergeant RT-9824 ''Bulwark'' has taken 3 damage from npc_fastzombie.
[21:47:41]	Sergeant RT-9824 ''Bulwark'' has taken 3 damage from npc_fastzombie.
[21:47:42]	Sergeant RT-9824 ''Bulwark'' has taken 3 damage from npc_fastzombie.
[21:47:42]	Sergeant RT-9824 ''Bulwark'' has taken 3 damage from npc_fastzombie.
[21:47:45]	Sergeant RT-9824 ''Bulwark'' has taken 3 damage from npc_fastzombie.
[21:47:45]	Sergeant RT-9824 ''Bulwark'' has taken 3 damage from npc_fastzombie.
[21:47:46]	Sergeant RT-9824 ''Bulwark'' has taken 3 damage from npc_fastzombie.
[21:47:46]	Sergeant RT-9824 ''Bulwark'' has taken 3 damage from npc_fastzombie.
[21:47:47]	Sergeant RT-9824 ''Bulwark'' has taken 3 damage from npc_fastzombie.
[21:47:47]	Sergeant RT-9824 ''Bulwark'' has taken 3 damage from npc_fastzombie.
[21:47:48]	Sergeant RT-9824 ''Bulwark'' has taken 3 damage from npc_fastzombie.
[21:47:48]	Sergeant RT-9824 ''Bulwark'' has taken 3 damage from npc_fastzombie.
[21:47:49]	Sergeant RT-9824 ''Bulwark'' has taken 3 damage from npc_fastzombie.
[21:47:49]	npc_fastzombie has killed Sergeant RT-9824 ''Bulwark''.
[21:47:55]	Petty Officer Second Class Arnold Jackson entered observer.
[21:47:56]	FB|| light ROOM loaded the character 'Lance Corporal TX-7062'
[21:47:56]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[21:47:57]	Petty Officer Second Class Arnold Jackson entered observer.
[21:48:03]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[21:48:21]	Petty Officer Second Class Arnold Jackson entered observer.
[21:48:26]	FB|| light ROOM loaded the character 'Corporal TK-7886'
[21:48:32]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[21:48:32]	Petty Officer Second Class Arnold Jackson entered observer.
[21:48:33]	FB|| light ROOM loaded the character 'Lance Corporal TX-7062'
[21:48:35]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[21:48:36]	Petty Officer Second Class Arnold Jackson entered observer.
[21:48:38]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[21:48:38]	Petty Officer Second Class Arnold Jackson entered observer.
[21:48:39]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[21:48:39]	Petty Officer Second Class Arnold Jackson entered observer.
[21:48:41]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[21:48:43]	Petty Officer Second Class Arnold Jackson used command '/ToggleRaise'.
[21:48:46]	Lance Corporal TX-7062 has taken 9 damage from Petty Officer Second Class Arnold Jackson.
[21:48:46]	Petty Officer Second Class Arnold Jackson entered observer.
[21:48:48]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[21:48:48]	Petty Officer Second Class Arnold Jackson entered observer.
[21:48:49]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[21:48:49]	Lance Corporal TX-7062 has taken 9 damage from Petty Officer Second Class Arnold Jackson.
[21:48:49]	Petty Officer Second Class Arnold Jackson entered observer.
[21:48:51]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[21:48:51]	Petty Officer Second Class Arnold Jackson entered observer.
[21:48:52]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[21:48:52]	Petty Officer Second Class Arnold Jackson has taken 25 damage from Lance Corporal TX-7062.
[21:48:53]	Petty Officer Second Class Arnold Jackson entered observer.
[21:48:57]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[21:48:57]	Lance Corporal TX-7062 has taken 9 damage from Petty Officer Second Class Arnold Jackson.
[21:48:57]	Petty Officer Second Class Arnold Jackson entered observer.
[21:49:00]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[21:49:00]	Petty Officer Second Class Arnold Jackson entered observer.
[21:49:03]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[21:49:03]	Petty Officer Second Class Arnold Jackson entered observer.
[21:49:04]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[21:49:04]	Petty Officer Second Class Arnold Jackson entered observer.
[21:49:05]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[21:49:05]	Petty Officer Second Class Arnold Jackson entered observer.
[21:49:06]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[21:49:07]	Petty Officer Second Class Arnold Jackson entered observer.
[21:49:07]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[21:49:08]	Petty Officer Second Class Arnold Jackson entered observer.
[21:49:08]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[21:49:08]	Petty Officer Second Class Arnold Jackson entered observer.
[21:49:10]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[21:49:10]	Petty Officer Second Class Arnold Jackson entered observer.
[21:49:11]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[21:49:11]	Petty Officer Second Class Arnold Jackson entered observer.
[21:49:11]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[21:49:11]	Petty Officer Second Class Arnold Jackson has taken 25 damage from Lance Corporal TX-7062.
[21:49:11]	Petty Officer Second Class Arnold Jackson entered observer.
[21:49:13]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[21:49:13]	Petty Officer Second Class Arnold Jackson entered observer.
[21:49:14]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[21:49:14]	Petty Officer Second Class Arnold Jackson entered observer.
[21:49:15]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[21:49:15]	Petty Officer Second Class Arnold Jackson entered observer.
[21:49:16]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[21:49:16]	Petty Officer Second Class Arnold Jackson has taken 3 damage from Lance Corporal TX-7062.
[21:49:16]	Petty Officer Second Class Arnold Jackson entered observer.
[21:49:20]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[21:49:21]	Lance Corporal TX-7062 has taken 9 damage from Petty Officer Second Class Arnold Jackson.
[21:49:21]	Petty Officer Second Class Arnold Jackson entered observer.
[21:49:25]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[21:49:25]	Petty Officer Second Class Arnold Jackson entered observer.
[21:49:27]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[21:49:27]	Petty Officer Second Class Arnold Jackson entered observer.
[21:49:29]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[21:49:29]	Petty Officer Second Class Arnold Jackson entered observer.
[21:49:30]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[21:49:31]	Petty Officer Second Class Arnold Jackson entered observer.
[21:49:32]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[21:49:32]	Petty Officer Second Class Arnold Jackson entered observer.
[21:49:32]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[21:49:34]	Petty Officer Second Class Arnold Jackson entered observer.
[21:49:35]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[21:49:36]	Petty Officer Second Class Arnold Jackson entered observer.
[21:49:38]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[21:49:38]	Petty Officer Second Class Arnold Jackson entered observer.
[21:49:40]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[21:49:40]	Petty Officer Second Class Arnold Jackson entered observer.
[21:49:42]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[21:49:42]	Petty Officer Second Class Arnold Jackson entered observer.
[21:49:43]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[21:49:44]	Petty Officer Second Class Arnold Jackson entered observer.
[21:49:44]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[21:49:45]	Petty Officer Second Class Arnold Jackson entered observer.
[21:49:45]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[21:49:46]	Petty Officer Second Class Arnold Jackson entered observer.
[21:49:46]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[21:49:47]	Petty Officer Second Class Arnold Jackson entered observer.
[21:49:48]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[21:49:49]	Petty Officer Second Class Arnold Jackson entered observer.
[21:49:50]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[21:49:50]	Petty Officer Second Class Arnold Jackson entered observer.
[21:49:51]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[21:49:51]	Petty Officer Second Class Arnold Jackson entered observer.
[21:49:51]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[21:49:52]	Petty Officer Second Class Arnold Jackson entered observer.
[21:49:54]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[21:49:56]	Petty Officer Second Class Arnold Jackson has taken 3 damage from Lance Corporal TX-7062.
[21:49:56]	Petty Officer Second Class Arnold Jackson entered observer.
[21:49:57]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[21:49:59]	Petty Officer Second Class Arnold Jackson has taken 30 damage from Lance Corporal TX-7062.
[21:50:00]	Petty Officer Second Class Arnold Jackson entered observer.
[21:50:10]	FB|| light ROOM loaded the character 'Sergeant PT-9823'
[21:50:19]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:19]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:19]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:19]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:20]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:20]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:20]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:20]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:20]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:21]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:21]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:21]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:21]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:22]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:22]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:22]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:22]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:22]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:22]	Petty Officer Second Class Arnold Jackson used command '/ToggleRaise'.
[21:50:23]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:23]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:23]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:23]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:23]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:24]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:24]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:24]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:24]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:25]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:25]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:25]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:25]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:25]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:26]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:26]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:26]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:26]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:26]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:27]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:27]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:27]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:27]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:27]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:28]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:28]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:28]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:28]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:29]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:29]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:29]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:29]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:29]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:30]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:30]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:30]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:30]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:30]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:31]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:31]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:31]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:31]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:32]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:32]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:32]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:32]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:32]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:33]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:33]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:33]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:33]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:33]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:34]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:34]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:34]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:34]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:34]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:35]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:35]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:35]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:35]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:36]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:36]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:36]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:36]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:36]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:37]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:37]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:37]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:37]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:37]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:38]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:38]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:38]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:38]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:39]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:39]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:39]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:39]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:39]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:40]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:40]	Sergeant PT-9823 has taken 1 damage from entityflame.
[21:50:40]	entityflame has killed Sergeant PT-9823.
[21:50:41]	DRD loaded the character 'R4-K5'
[21:50:58]	FB|| light ROOM loaded the character 'Lance Corporal TX-7062'
[21:51:00]	DRD (STEAM_0:0:193599766) has disconnected.
[21:51:45]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[21:51:46]	Petty Officer Second Class Arnold Jackson entered observer.
[21:51:47]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[21:51:51]	Petty Officer Second Class Arnold Jackson used command '/CharFallOver 0'.
[21:52:26]	Petty Officer Second Class Arnold Jackson has taken 184 damage from Lance Corporal TX-7062.
[21:52:26]	Lance Corporal TX-7062 has killed Petty Officer Second Class Arnold Jackson with rw_sw_e22.
[21:53:33]	FB|| light ROOM (STEAM_0:1:17219621) has disconnected.
[21:53:41]	Doughnut (STEAM_0:1:127409364) has disconnected.
