[00:10:52]	_--Ashley--_ has connected.
[01:41:00]	Alex Palovichov ran 'drop' on item 'Rusty Can' (#24000)
[01:41:00]	[LOOC] Denford F. MacMillian: L.
[01:41:01]	[LOOC] Ashley Adams: Man Im winnin.
[01:41:01]	[LOOC] Denford F. MacMillian: L.
[01:41:01]	Alex Palovichov ran 'drop' on item 'Light Bulb' (#25963)
[01:41:02]	Alex Palovichov ran 'drop' on item 'Empty Milk Gallon' (#26071)
[01:41:03]	Alex Palovichov ran 'drop' on item 'Boot' (#25783)
[01:41:03]	Alex Palovichov ran 'drop' on item 'Light Bulb' (#26161)
[01:41:04]	Alex Palovichov ran 'drop' on item 'Light Bulb' (#25941)
[01:41:05]	Alex Palovichov ran 'drop' on item 'Empty Tin Can' (#26663)
[01:41:05]	Alex Palovichov ran 'drop' on item 'Old Newspaper' (#25243)
[01:41:06]	Alex Palovichov closed the '' #253 container.
[01:41:09]	Alex Palovichov destroyed a 'Rubber Tire' #26083.
[01:41:09]	Alex Palovichov destroyed a 'Corrugated Hose' #26133.
[01:41:12]	Alex Palovichov destroyed a 'Light Bulb' #26161.
[01:41:12]	Alex Palovichov destroyed a 'Empty Tin Can' #26663.
[01:41:13]	Alex Palovichov destroyed a 'Scrap Glass' #26101.
[01:41:13]	[LOOC] Anastasia Ivanovich: stfu I am being nice by not powergaming typical ana
[01:41:13]	Alex Palovichov destroyed a 'Empty Milk Gallon' #26071.
[01:41:14]	Alex Palovichov destroyed a 'Empty Pill Bottle' #26295.
[01:41:15]	Alex Palovichov destroyed a 'Empty Tin Can' #26085.
[01:41:15]	Alex Palovichov destroyed a 'Empty Paint Can' #26160.
[01:41:16]	Alex Palovichov destroyed a 'Empty Cooking Oil Bottle' #25308.
[01:41:16]	Alex Palovichov destroyed a 'Rusty Can' #24000.
[01:41:17]	[LOOC] Anastasia Ivanovich: :sunglasses:
[01:41:18]	Alex Palovichov destroyed a 'Empty Cooking Oil Bottle' #26102.
[01:41:19]	Alex Palovichov destroyed a 'Light Bulb' #25941.
[01:41:22]	Alex Palovichov destroyed a 'Light Bulb' #25963.
[01:41:23]	Alex Palovichov destroyed a 'Empty Soda Bottle' #25680.
[01:41:23]	Alex Palovichov destroyed a 'Boot' #25783.
[01:41:23]	[LOOC] Ashley Adams: hmmmmmmm
[01:41:24]	Alex Palovichov destroyed a 'Old Newspaper' #25243.
[01:41:28]	Alex Palovichov ran 'drop' on item 'Broken Keyboard' (#27155)
[01:41:28]	Alex Palovichov has lost a 'Broken Keyboard' #27155.
[01:41:30]	Alex Palovichov destroyed a 'Broken Keyboard' #27155.
[01:41:32]	Alex Palovichov ran 'combine' on item 'Documents Case' (#24746)
[01:41:51]	Alex Palovichov opened the '' #239 container.
[01:41:55]	Alex Palovichov ran 'drop' on item 'Empty Milk Gallon' (#25940)
[01:41:55]	Alex Palovichov ran 'drop' on item 'Old Newspaper' (#26134)
[01:41:57]	Alex Palovichov ran 'drop' on item 'Corrugated Hose' (#26593)
[01:41:58]	Alex Palovichov ran 'drop' on item 'Empty Sparkling Consulate Water Can' (#27025)
[01:41:59]	Alex Palovichov ran 'drop' on item 'Light Bulb' (#26806)
[01:42:01]	Alex Palovichov ran 'drop' on item 'Old Newspaper' (#25960)
[01:42:02]	Alex Palovichov ran 'drop' on item 'Empty Glass Bottle' (#27146)
[01:42:03]	Alex Palovichov ran 'drop' on item 'Empty Milk Gallon' (#25773)
[01:42:04]	Alex Palovichov ran 'drop' on item 'Empty Bleach Bottle' (#25793)
[01:42:04]	Alex Palovichov ran 'drop' on item 'Silicone Tube' (#26805)
[01:42:06]	Alex Palovichov closed the '' #239 container.
[01:42:09]	Alex Palovichov destroyed a 'Silicone Tube' #26805.
[01:42:10]	Alex Palovichov destroyed a 'Corrugated Hose' #26593.
[01:42:10]	Alex Palovichov destroyed a 'Old Newspaper' #25960.
[01:42:10]	Alex Palovichov destroyed a 'Old Newspaper' #26134.
[01:42:11]	Alex Palovichov destroyed a 'Empty Bleach Bottle' #25793.
[01:42:12]	Alex Palovichov destroyed a 'Empty Sparkling Consulate Water Can' #27025.
[01:42:12]	Alex Palovichov destroyed a 'Empty Milk Gallon' #25773.
[01:42:13]	Alex Palovichov destroyed a 'Empty Milk Gallon' #25940.
[01:42:13]	Alex Palovichov destroyed a 'Empty Glass Bottle' #27146.
[01:42:14]	Alex Palovichov destroyed a 'Light Bulb' #26806.
[01:42:20]	Alex Palovichov destroyed a 'Empty Chinese Takeout' #26833.
[01:42:22]	Alex Palovichov destroyed a 'Scrap Plastic' #27012.
[01:42:23]	[ME] Anastasia Ivanovich: backs up a bit. She goes to re-evaluate her opponent. But she kept herself at a defensive stance.
[01:42:23]	Alex Palovichov destroyed a 'Light Bulb' #26827.
[01:42:25]	Alex Palovichov destroyed a 'Scrap Glass' #27013.
[01:42:26]	Alex Palovichov ran 'take' on item 'Silicone Tube' (#27023)
[01:42:26]	Alex Palovichov has gained a 'Silicone Tube' #27023.
[01:42:29]	Alex Palovichov has gained a 'Scrap Metal' #27155.
[01:42:30]	[LOOC] Anastasia Ivanovich: Anything I'd notice?
[01:42:31]	Alex Palovichov has gained a 'A Roll of Toilet Paper' #27156.
[01:42:34]	Alex Palovichov destroyed a 'Cinderblock' #27130.
[01:42:35]	Alex Palovichov ran 'drop' on item 'Scrap Metal' (#27155)
[01:42:35]	Alex Palovichov has lost a 'Scrap Metal' #27155.
[01:42:36]	Alex Palovichov ran 'drop' on item 'A Roll of Toilet Paper' (#27156)
[01:42:36]	Alex Palovichov has lost a 'A Roll of Toilet Paper' #27156.
[01:42:36]	Alex Palovichov destroyed a 'A Roll of Toilet Paper' #27156.
[01:42:37]	Alex Palovichov destroyed a 'Scrap Metal' #27155.
[01:42:50]	[ME] Ashley Adams: ashley is still holding a pretty strong defensive stance.
[01:43:01]	[ME] Ashley Adams: no physical bleeding.
[01:43:31]	Alex Palovichov has gained a 'Circuit Board' #27155.
[01:43:35]	Alex Palovichov ran 'drop' on item 'Circuit Board' (#27155)
[01:43:35]	Alex Palovichov has lost a 'Circuit Board' #27155.
[01:43:36]	Alex Palovichov destroyed a 'Circuit Board' #27155.
[01:43:43]	Alex Palovichov destroyed a 'Capacitors' #27133.
[01:43:52]	Alex Palovichov destroyed a 'Scrap Glass' #27148.
[01:43:57]	Alex Palovichov destroyed a 'Empty Glass Bottle' #4835.
[01:44:07]	Alex Palovichov has gained a 'Light Bulb' #27155.
[01:44:22]	Alex Palovichov destroyed a 'Empty Chinese Takeout' #26818.
[01:44:22]	[ME] Anastasia Ivanovich: wasn't going to cause physical bleeds. Regardless. She decided to aggressively push towards Ashley and rapidly hook into her. She was getting faster and harder with her hits. Even if Ashley dodged or tanked most of her shots. They definitely were painful hits.
[01:44:29]	Alex Palovichov opened the '' #252 container.
[01:44:31]	Alex Palovichov ran 'drop' on item 'Empty Chinese Takeout' (#25439)
[01:44:31]	Alex Palovichov ran 'drop' on item 'Notepad' (#25748)
[01:44:32]	Alex Palovichov ran 'drop' on item 'Empty Cooking Oil Bottle' (#26119)
[01:44:33]	Alex Palovichov ran 'drop' on item 'Rope' (#25742)
[01:44:34]	Alex Palovichov ran 'drop' on item 'Broken LCD Monitor' (#25659)
[01:44:35]	Alex Palovichov ran 'drop' on item 'Empty Milk Gallon' (#25825)
[01:44:35]	Alex Palovichov ran 'drop' on item 'Empty Chinese Takeout' (#25475)
[01:44:36]	Alex Palovichov ran 'drop' on item 'Empty Chinese Takeout' (#25353)
[01:44:37]	Ashley Adams rolled 43 out of 100.
[01:44:37]	Ashley Adams used command '/Roll'.
[01:44:39]	Alex Palovichov ran 'drop' on item 'Screw Nuts' (#25805)
[01:44:39]	Alex Palovichov ran 'drop' on item 'Empty Flavored Consulate Water Can' (#25474)
[01:44:40]	Alex Palovichov ran 'drop' on item 'Empty Chinese Takeout' (#25359)
[01:44:41]	Alex Palovichov ran 'drop' on item 'Pan' (#24969)
[01:44:41]	Alex Palovichov ran 'drop' on item 'AA Battery' (#25767)
[01:44:42]	Alex Palovichov ran 'drop' on item 'Empty Pill Bottle' (#25499)
[01:44:42]	Anastasia Ivanovich rolled 62 out of 100.
[01:44:42]	Anastasia Ivanovich used command '/Roll'.
[01:44:42]	Alex Palovichov ran 'drop' on item 'Empty Pill Bottle' (#25473)
[01:44:43]	Alex Palovichov ran 'drop' on item 'Empty Pill Bottle' (#25766)
[01:44:44]	Alex Palovichov ran 'drop' on item 'Empty Consulate Water Can' (#25675)
[01:44:45]	Alex Palovichov closed the '' #252 container.
[01:44:46]	Alex Palovichov destroyed a 'Pan' #24969.
[01:44:46]	Alex Palovichov destroyed a 'Empty Chinese Takeout' #25359.
[01:44:47]	Alex Palovichov destroyed a 'Notepad' #25748.
[01:44:47]	Alex Palovichov destroyed a 'Broken LCD Monitor' #25659.
[01:44:48]	Alex Palovichov destroyed a 'Empty Pill Bottle' #25766.
[01:44:48]	Alex Palovichov destroyed a 'Empty Milk Gallon' #25825.
[01:44:49]	Alex Palovichov destroyed a 'Empty Chinese Takeout' #25439.
[01:44:49]	Alex Palovichov destroyed a 'Empty Chinese Takeout' #25475.
[01:44:50]	Alex Palovichov destroyed a 'Rope' #25742.
[01:44:50]	Alex Palovichov destroyed a 'Empty Chinese Takeout' #25353.
[01:44:52]	Alex Palovichov destroyed a 'Empty Consulate Water Can' #25675.
[01:44:54]	Alex Palovichov destroyed a 'Empty Pill Bottle' #25473.
[01:44:54]	Alex Palovichov destroyed a 'Empty Cooking Oil Bottle' #26119.
[01:44:55]	[LOOC] Ashley Adams: bro i rolled a 43 again.
[01:44:55]	Alex Palovichov destroyed a 'Empty Pill Bottle' #25499.
[01:44:56]	Alex Palovichov destroyed a 'Empty Flavored Consulate Water Can' #25474.
[01:44:57]	Alex Palovichov destroyed a 'AA Battery' #25767.
[01:44:58]	Alex Palovichov opened the '' #2548 container.
[01:45:00]	Alex Palovichov ran 'drop' on item 'Broken Keyboard' (#25503)
[01:45:01]	Alex Palovichov ran 'drop' on item 'Powercord' (#25369)
[01:45:02]	Alex Palovichov ran 'drop' on item 'Broken LCD Monitor' (#25506)
[01:45:03]	Alex Palovichov ran 'combine' on item 'Thermobag' (#25180)
[01:45:03]	Alex Palovichov has gained a 'Insulating Tape' #25504.
[01:45:04]	Alex Palovichov ran 'drop' on item 'Scrap Electronics' (#25460)
[01:45:04]	Alex Palovichov ran 'drop' on item 'Empty Tin Can' (#26132)
[01:45:07]	Alex Palovichov has gained a 'Empty Tin Can' #26523.
[01:45:08]	Alex Palovichov has gained a 'Silicone Tube' #25824.
[01:45:09]	Alex Palovichov ran 'drop' on item 'Green Citizen Suit' (#25689)
[01:45:09]	Alex Palovichov ran 'drop' on item 'Empty Flavored Consulate Water Can' (#25515)
[01:45:10]	Alex Palovichov ran 'drop' on item 'Empty Flavored Consulate Water Can' (#25672)
[01:45:10]	Alex Palovichov ran 'drop' on item 'Empty Sparkling Consulate Water Can' (#25510)
[01:45:11]	Alex Palovichov ran 'drop' on item 'Pin' (#25395)
[01:45:11]	Alex Palovichov ran 'drop' on item 'Empty Glass Bottle' (#26103)
[01:45:12]	Alex Palovichov ran 'drop' on item 'Scrap Metal' (#25683)
[01:45:13]	Alex Palovichov ran 'drop' on item 'Light Bulb' (#27155)
[01:45:13]	Alex Palovichov has lost a 'Light Bulb' #27155.
[01:45:14]	Alex Palovichov closed the '' #2548 container.
[01:45:15]	Alex Palovichov destroyed a 'Green Citizen Suit' #25689.
[01:45:15]	Alex Palovichov destroyed a 'Scrap Electronics' #25460.
[01:45:15]	Alex Palovichov destroyed a 'Broken Keyboard' #25503.
[01:45:16]	Alex Palovichov destroyed a 'Scrap Metal' #25683.
[01:45:16]	Alex Palovichov destroyed a 'Broken LCD Monitor' #25506.
[01:45:17]	Alex Palovichov destroyed a 'Empty Glass Bottle' #26103.
[01:45:17]	Alex Palovichov destroyed a 'Empty Flavored Consulate Water Can' #25672.
[01:45:18]	Alex Palovichov destroyed a 'Empty Sparkling Consulate Water Can' #25510.
[01:45:19]	Alex Palovichov destroyed a 'Powercord' #25369.
[01:45:20]	Alex Palovichov destroyed a 'Light Bulb' #27155.
[01:45:21]	Alex Palovichov destroyed a 'Empty Tin Can' #26132.
[01:45:21]	Alex Palovichov destroyed a 'Pin' #25395.
[01:45:23]	Alex Palovichov destroyed a 'Empty Flavored Consulate Water Can' #25515.
[01:45:32]	Alex Palovichov ran 'drop' on item 'Empty Tin Can' (#26523)
[01:45:32]	Alex Palovichov has lost a 'Empty Tin Can' #26523.
[01:45:34]	Alex Palovichov destroyed a 'Empty Tin Can' #26523.
[01:45:34]	[ME] Ashley Adams: ashley tankes the hit stumbaling but on the next hit she grabs anas arm and slams her into the ground like her instructors back in the USMC tought her.
[01:45:36]	Ashley Adams rolled 100 out of 100.
[01:45:36]	Ashley Adams used command '/Roll'.
[01:45:42]	[LOOC] Ashley Adams: OOHH!
[01:45:50]	[LOOC] Anastasia Ivanovich: I'm going to roll for tanking dmg. I still lose
[01:45:51]	Alex Palovichov opened the '' #308 container.
[01:45:52]	Anastasia Ivanovich rolled 39 out of 100.
[01:45:52]	Anastasia Ivanovich used command '/Roll'.
[01:45:53]	Alex Palovichov closed the '' #308 container.
[01:45:55]	Alex Palovichov opened the '' #2374 container.
[01:45:57]	Alex Palovichov closed the '' #2374 container.
[01:46:24]	[ME] Anastasia Ivanovich: somehow by some unfuckinggodly luck is thrown to the ground. She sort of expected this. Grunting a bit. She...
[01:46:26]	Anastasia Ivanovich rolled 10 out of 20.
[01:46:26]	Anastasia Ivanovich used command '/Roll 20'.
[01:46:31]	[IT] Anastasia Ivanovich: Shitgrinned.
[01:46:35]	Alex Palovichov opened the '' #250 container.
[01:46:37]	Alex Palovichov closed the '' #250 container.
[01:46:40]	Alex Palovichov destroyed a 'Empty Chinese Takeout' #27016.
[01:46:40]	Alex Palovichov destroyed a 'Cloth Scrap' #26651.
[01:46:46]	Alex Palovichov has gained a 'Cloth Scrap' #27155.
[01:46:57]	Alex Palovichov destroyed a 'Scrap Metal' #27051.
[01:47:03]	Alex Palovichov destroyed a 'Pan' #27147.
[01:47:09]	Alex Palovichov has gained a 'Rock' #27156.
[01:47:12]	Alex Palovichov has gained a 'Empty Glass Bottle' #27157.
[01:47:14]	Alex Palovichov ran 'drop' on item 'Rock' (#27156)
[01:47:14]	Alex Palovichov has lost a 'Rock' #27156.
[01:47:15]	Alex Palovichov ran 'drop' on item 'Cloth Scrap' (#27155)
[01:47:15]	Alex Palovichov has lost a 'Cloth Scrap' #27155.
[01:47:15]	Alex Palovichov ran 'drop' on item 'Empty Glass Bottle' (#27157)
[01:47:15]	Alex Palovichov has lost a 'Empty Glass Bottle' #27157.
[01:47:17]	Alex Palovichov ran 'take' on item 'Cloth Scrap' (#27155)
[01:47:17]	Alex Palovichov has gained a 'Cloth Scrap' #27155.
[01:47:19]	Alex Palovichov destroyed a 'Empty Glass Bottle' #27157.
[01:47:20]	Alex Palovichov destroyed a 'Rock' #27156.
[01:47:25]	[ME] Anastasia Ivanovich: gets up now. She dusted herself off, She was bruised a bit but wasn't nowhere near ready to go down yet.
[01:47:37]	Alex Palovichov opened the '' #2551 container.
[01:47:39]	Alex Palovichov closed the '' #2551 container.
[01:47:52]	Alex Palovichov opened the '' #2549 container.
[01:47:54]	Alex Palovichov closed the '' #2549 container.
[01:47:59]	[ME] Ashley Adams: ashley re gets into her defensive state waiting to deflect a attack.
[01:48:47]	[ME] Anastasia Ivanovich: sighed. She just goes to straight up charge towards Ashley with the intent of just knocking her down with her bodyweight and large frame alone.
[01:48:49]	Anastasia Ivanovich rolled 15 out of 100.
[01:48:49]	Anastasia Ivanovich used command '/Roll'.
[01:48:53]	[LOOC] Anastasia Ivanovich: rolls be like
[01:48:57]	[LOOC] Anastasia Ivanovich: yeah this is realistic
[01:49:07]	Ashley Adams rolled 21 out of 100.
[01:49:07]	Ashley Adams used command '/Roll'.
[01:49:23]	[ME] Ashley Adams: ashley just moves out of the way letting ana fall onto her own face
[01:49:36]	[ME] Ashley Adams: triping her.
[01:49:39]	[ME] Anastasia Ivanovich: catches her footing and turned aroun-
[01:49:41]	Anastasia Ivanovich rolled 82 out of 100.
[01:49:41]	Anastasia Ivanovich used command '/Roll'.
[01:50:08]	[ME] Ashley Adams: just as ana recovers I leap in for a blow to the knee.
[01:50:14]	Ashley Adams rolled 10 out of 100.
[01:50:14]	Ashley Adams used command '/Roll'.
[01:50:41]	[ME] Anastasia Ivanovich: goes to quite literally take her knee up to Ashley and knee her in the stomach hard.
[01:50:42]	Anastasia Ivanovich rolled 40 out of 100.
[01:50:42]	Anastasia Ivanovich used command '/Roll'.
[01:50:55]	Ashley Adams rolled 87 out of 100.
[01:50:55]	Ashley Adams used command '/Roll'.
[01:51:02]	[LOOC] Anastasia Ivanovich: cuhhhhhhhhhh
[01:51:13]	[ME] Ashley Adams: ashley would quickly roll away her speed giving her the advantage.
[01:51:29]	Alex Palovichov has lost 5 tokens.
[01:51:32]	Alex Palovichov ran 'Consume' on item 'Consulate Water' (#27156)
[01:51:35]	Alex Palovichov has lost 10 tokens.
[01:51:37]	Alex Palovichov ran 'Consume' on item 'Sparkling Consulate Water' (#27157)
[01:51:45]	Alex Palovichov ran 'View' on item 'Paper' (#5259)
[01:51:58]	[ME] Anastasia Ivanovich: sighed. She kept herself in a defensive stance; annoyed by Ashley's speed. She just goes to trip Ashely with a leg sweep.
[01:51:59]	Anastasia Ivanovich rolled 52 out of 100.
[01:51:59]	Anastasia Ivanovich used command '/Roll'.
[01:52:06]	Ashley Adams rolled 58 out of 100.
[01:52:06]	Ashley Adams used command '/Roll'.
[01:52:29]	Alex Palovichov ran 'combine' on item 'Thermobag' (#25180)
[01:52:30]	Alex Palovichov ran 'combine' on item 'Thermobag' (#25180)
[01:52:31]	Alex Palovichov ran 'combine' on item 'Thermobag' (#25180)
[01:52:31]	[ME] Anastasia Ivanovich: literally watches as she nearly trips Ashley. She keeps herself calm regardless.
[01:52:53]	[ME] Ashley Adams: ashley starts to get swept but jumping ashley keeps her footing, landing on her ankle wrong ashley gets hurt just a bit.
[01:53:29]	[LOOC] Denford F. MacMillian: brb, gotta get a haircut.
[01:53:32]	[ME] Anastasia Ivanovich: does not wait for Ashley to recover, she goes to throw a hook to her stomach yet again.
[01:53:33]	Anastasia Ivanovich rolled 22 out of 100.
[01:53:33]	Anastasia Ivanovich used command '/Roll'.
[01:53:35]	[Y] Denford F. MacMillian: Shit!
[01:53:36]	Alex Palovichov ran 'take' on item 'Flavored Consulate Water' (#26620)
[01:53:36]	Alex Palovichov has gained a 'Flavored Consulate Water' #26620.
[01:53:40]	Ashley Adams rolled 5 out of 100.
[01:53:40]	Ashley Adams used command '/Roll'.
[01:53:42]	[LOOC] Anastasia Ivanovich: you keep missing my shit rolls
[01:53:48]	[OOC] Denford F. MacMillian: brb
[01:53:49]	[DG] Roach (STEAM_0:0:170921441) has disconnected.
[01:54:04]	[ME] Ashley Adams: takes the hit to the tomach but It was defiently a weak hit only pushing her back,
[01:54:09]	[OOC] Alex Palovichov: akf
[01:54:12]	[OOC] Alex Palovichov: afk*
[01:54:25]	[ME] Anastasia Ivanovich: sighed saying "I've let myself go..."
[01:54:49]	[ME] Anastasia Ivanovich: was still waiting for Ashley to make her move.
[01:55:13]	[ME] Ashley Adams: slides under her legs while shes defenceive and punches her in the back
[01:55:17]	Ashley Adams rolled 48 out of 100.
[01:55:17]	Ashley Adams used command '/Roll'.
[01:55:19]	Anastasia Ivanovich rolled 52 out of 100.
[01:55:19]	Anastasia Ivanovich used command '/Roll'.
[01:56:12]	[ME] Anastasia Ivanovich: turned around and goes to block Ashley's punch. "There really is one advantage to your height. You're hard to hit!" She says as she takes both her forearms, locked together and goes to bring them down on Ashley's head.
[01:56:14]	Anastasia Ivanovich rolled 71 out of 100.
[01:56:14]	Anastasia Ivanovich used command '/Roll'.
[01:56:30]	Ashley Adams rolled 2 out of 100.
[01:56:30]	Ashley Adams used command '/Roll'.
[01:56:34]	[OOC] Ashley Adams: XD
[01:57:04]	[ME] Anastasia Ivanovich: 's hit was ungodly strong. (If you wish to end the fight. Go ahead. If not I'm good).
[01:57:18]	[ME] Ashley Adams: quickly gets up as I stand not waiting and quickly lunging forward to hit her on her knee
[01:57:23]	Ashley Adams rolled 54 out of 100.
[01:57:23]	Ashley Adams used command '/Roll'.
[01:57:24]	Anastasia Ivanovich rolled 42 out of 100.
[01:57:24]	Anastasia Ivanovich used command '/Roll'.
[01:57:34]	[IT] Anastasia Ivanovich: How are you hitting Ana's knee?
[01:57:42]	[ME] Ashley Adams: dives
[01:57:50]	[LOOC] Anastasia Ivanovich: idk what u mean by dive
[01:58:11]	[ME] Ashley Adams: rolls and dives guarding her head to hit her knee.
[01:58:21]	[LOOC] Ashley Adams: that help?
[01:58:33]	[LOOC] Anastasia Ivanovich: odd but I'll adapt
[01:59:00]	[ME] Anastasia Ivanovich: is hit in the knee as she is presumably tackled to the floor by Ashley. She grunted massively as she goes to defend herself.
[01:59:23]	[ME] Ashley Adams: starts landing blows to her stomach and faceish area.
[01:59:26]	Ashley Adams rolled 43 out of 100.
[01:59:26]	Ashley Adams used command '/Roll'.
[01:59:30]	Anastasia Ivanovich rolled 24 out of 100.
[01:59:30]	Anastasia Ivanovich used command '/Roll'.
[01:59:39]	[ME] Anastasia Ivanovich: is punched a lot.
[01:59:42]	Anastasia Ivanovich rolled 11 out of 20.
[01:59:42]	Anastasia Ivanovich used command '/Roll 20'.
[02:00:03]	[ME] Anastasia Ivanovich: simply does not give up. She goes to hit Ashely for the collarbone.
[02:00:04]	Anastasia Ivanovich rolled 89 out of 100.
[02:00:04]	Anastasia Ivanovich used command '/Roll'.
[02:00:10]	Ashley Adams rolled 67 out of 100.
[02:00:10]	Ashley Adams used command '/Roll'.
[02:00:29]	[ME] Ashley Adams: tankes the hit but falls off of ana and lays on her back.
[02:01:08]	[ME] Anastasia Ivanovich: pushed herself back up. She was definitely beat up, but strangely still full of energy.
[02:01:23]	[ME] Ashley Adams: stand up and goes on defence.
[02:01:41]	[ME] Anastasia Ivanovich: shitgrinned.
[02:02:21]	[ME] Anastasia Ivanovich: goes towards Ashley with the intent to basically quite literally squeezing her.
[02:02:24]	Anastasia Ivanovich rolled 25 out of 100.
[02:02:24]	Anastasia Ivanovich used command '/Roll'.
[02:02:29]	[LOOC] Anastasia Ivanovich: these rolls by fucking God
[02:02:30]	Ashley Adams rolled 56 out of 100.
[02:02:30]	Ashley Adams used command '/Roll'.
[02:02:45]	[ME] Ashley Adams: kickes her off.
[02:02:57]	[ME] Anastasia Ivanovich: failed to grapple Ashley.
[02:03:25]	[ME] Ashley Adams: ashley again goes for the tackle using her training to the advantage.
[02:03:27]	Ashley Adams rolled 57 out of 100.
[02:03:27]	Ashley Adams used command '/Roll'.
[02:03:29]	Anastasia Ivanovich rolled 37 out of 100.
[02:03:29]	Anastasia Ivanovich used command '/Roll'.
[02:04:10]	[ME] Anastasia Ivanovich: is tackled yet again. She seemingly is getting used to this at this point, and immediately goes to try and push Ashley off of her.
[02:04:16]	Anastasia Ivanovich rolled 14 out of 100.
[02:04:16]	Anastasia Ivanovich used command '/Roll'.
[02:04:19]	Ashley Adams rolled 52 out of 100.
[02:04:19]	Ashley Adams used command '/Roll'.
[02:04:41]	[ME] Ashley Adams: stays ontop of ana and goes for her collar bone just like she did to ash.
[02:04:42]	Ashley Adams rolled 83 out of 100.
[02:04:42]	Ashley Adams used command '/Roll'.
[02:04:45]	Anastasia Ivanovich rolled 96 out of 100.
[02:04:45]	Anastasia Ivanovich used command '/Roll'.
[02:05:29]	[ME] Anastasia Ivanovich: despite being screwed over several times. Tanked the punch. She looked pained regardless. She quite literally grabbed onto Ashley and goes to throw her off of her.
[02:05:30]	Anastasia Ivanovich rolled 39 out of 100.
[02:05:30]	Anastasia Ivanovich used command '/Roll'.
[02:05:36]	Ashley Adams rolled 11 out of 100.
[02:05:36]	Ashley Adams used command '/Roll'.
[02:06:02]	[ME] Ashley Adams: gets thrown off and lands somehow onto her feat, her small stautre defiently helping
[02:06:32]	[ME] Anastasia Ivanovich: gets up saying "You really are invincible aren't ya?"
[02:07:37]	[ME] Anastasia Ivanovich: sighed saying "You don't look as tough as you are. Though I suspect God is cursing my every move as of lately."
[02:07:52]	[LOOC] Anastasia Ivanovich: as of late
[02:08:09]	[ME] Ashley Adams: moves to end this fight now, moving for a final one punch,
[02:08:13]	Ashley Adams rolled 12 out of 100.
[02:08:13]	Ashley Adams used command '/Roll'.
[02:08:14]	Anastasia Ivanovich rolled 21 out of 100.
[02:08:14]	Anastasia Ivanovich used command '/Roll'.
[02:08:29]	[ME] Anastasia Ivanovich: goes to grab Ashley's punch saying "Nyet."
[02:09:45]	[ME] Anastasia Ivanovich: goes to pull Ashley forward, taking her fist towards her as she takes her right foot behind Ashley's right leg and pulls on her calf aswell as taking her left hand to hook Ashley and knock her down on the ground.
[02:09:47]	Anastasia Ivanovich rolled 58 out of 100.
[02:09:47]	Anastasia Ivanovich used command '/Roll'.
[02:10:00]	Ashley Adams rolled 31 out of 100.
[02:10:00]	Ashley Adams used command '/Roll'.
[02:10:30]	[ME] Ashley Adams: stays down grabbing her arm and pulling her down face first in front of her.
[02:10:31]	Ashley Adams rolled 58 out of 100.
[02:10:31]	Ashley Adams used command '/Roll'.
[02:10:38]	Anastasia Ivanovich rolled 19 out of 100.
[02:10:38]	Anastasia Ivanovich used command '/Roll'.
[02:10:41]	[LOOC] Anastasia Ivanovich: idk
[02:10:44]	[LOOC] Anastasia Ivanovich: how you grab me
[02:10:55]	[LOOC] Anastasia Ivanovich: and also don't know how that'd benefit u
[02:11:18]	[LOOC] Ashley Adams: well your face down now,
[02:11:38]	[LOOC] Anastasia Ivanovich: wait what the fuck r u doing?
[02:11:41]	[LOOC] Anastasia Ivanovich: I'm confused now
[02:12:01]	[LOOC] Ashley Adams: I grabed your hand and kind of threw you forward, off of me
[02:12:15]	[LOOC] Anastasia Ivanovich: I didn't get on top of you. I tripped you.
[02:12:22]	[LOOC] Anastasia Ivanovich: apologizes if that was confusing
[02:12:38]	[LOOC] Ashley Adams: I dont know why I thought you triped then got on my back.
[02:12:43]	[LOOC] Anastasia Ivanovich: no
[02:12:50]	[LOOC] Ashley Adams: huh void that last part
[02:12:52]	[LOOC] Anastasia Ivanovich: you went to punch me, I grabbed your fist and just-
[02:12:53]	[LOOC] Anastasia Ivanovich: ok
[02:13:03]	[IT] Anastasia Ivanovich: Ana stands over Ashley after tripping her.
[02:13:13]	[LOOC] Anastasia Ivanovich: just keeping things clear. Do your /me
[02:13:23]	[OOC] Ashley Adams: yep.
[02:13:28]	[LOOC] Ashley Adams: yeeep
[02:13:46]	kurozael has connected.
[02:14:30]	[ME] Ashley Adams: rolls sideways using my legs to seep your legs, moving in a circle
[02:14:32]	Ashley Adams rolled 73 out of 100.
[02:14:32]	Ashley Adams used command '/Roll'.
[02:14:39]	Anastasia Ivanovich rolled 39 out of 100.
[02:14:39]	Anastasia Ivanovich used command '/Roll'.
[02:14:46]	CCTV has connected.
[02:14:53]	[ME] Anastasia Ivanovich: somehow. But regardless falls over.
[02:15:18]	[ME] Ashley Adams: gets ontop of ana pulls her right arm back and places her right boot onto her back.
[02:15:21]	Ashley Adams rolled 91 out of 100.
[02:15:21]	Ashley Adams used command '/Roll'.
[02:15:30]	Anastasia Ivanovich rolled 77 out of 100.
[02:15:30]	Anastasia Ivanovich used command '/Roll'.
[02:16:01]	Oureno Riffa has gained a 'Cyclopic Citizen Suit' #27158.
[02:16:01]	Oureno Riffa has gained a 'Citizen Filter' #27159.
[02:16:01]	kurozael created the character 'Oureno Riffa'
