[00:00:17]	[LOOC] Gregory Smith: locked
[15:20:31]	[LOOC] CCA.C14-UNION.i5.39867: supressor model is cool
[15:21:19]	[LOOC] CCA.C14-UNION.EpU.72633: of*
[15:21:23]	[OOC] CCA.C14-UNION.i5.39867: wdym
[15:21:26]	[OOC] CCA.C14-UNION.i5.39867: eow is one of the ranks in ota
[15:21:29]	[OOC] CCA.C14-UNION.i5.39867: every division has eow
[15:21:30]	[OOC] CCA.C14-UNION.i5.39867: lol
[15:21:45]	[OOC] CCA.C14-UNION.i5.39867: ows owc and eow
[15:21:53]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[15:22:25]	[OOC] CCA.C14-UNION.EpU.72633: Can you forward me the new OTA guide. Because at one point we only had normal divisions without ranks and then EOW which is only KING and MACE.
[15:22:26]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[15:22:39]	[OOC] CCA.C14-UNION.i5.39867: there literally is no new ota guide
[15:22:40]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[15:22:54]	[OOC] CCA.C14-UNION.i5.39867: on most servers every division can have an EOW
[15:22:56]	[OOC] CCA.C14-UNION.i5.39867: its just a rank
[15:22:59]	[OOC] CCA.C14-UNION.EpU.72633: Bruh, then shit hasen't changed and we only have two elite divisions my guy
[15:23:05]	[OOC] CCA.C14-UNION.EpU.72633: KING and MACE
[15:23:07]	[OOC] CCA.C14-UNION.i5.39867: elite divisions
[15:23:09]	[OOC] CCA.C14-UNION.i5.39867: and elite overwatch
[15:23:11]	[OOC] CCA.C14-UNION.i5.39867: are not the same thing
[15:23:20]	[OOC] CCA.C14-UNION.i5.39867: you can have someone in an elite division who is still an OWS
[15:23:38]	[OOC] CCA.C14-UNION.i5.39867: it is literally a rank
[15:23:43]	[OOC] CCA.C14-UNION.EpU.72633: Let me check something, wait a moment
[15:23:48]	FB|| light ROOM loaded the character 'OTA.C14-ECHO:1-58830'
[15:23:50]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[15:24:13]	[OOC] OTA.C14-ECHO:1-58830: Yeah we don't have ranks. Once you get into KING you get EOW in your name.
[15:24:21]	[OOC] OTA.C14-ECHO:1-58830: It's fucking wierd
[15:24:26]	FB|| light ROOM loaded the character 'CCA.C14-UNION.EpU.72633'
[15:24:31]	[OOC] CCA.C14-UNION.i5.39867: weird system then
[15:24:34]	[OOC] CCA.C14-UNION.EpU.72633: Yeah
[15:24:55]	[OOC] CCA.C14-UNION.i5.39867: this server does things very strangely
[15:24:57]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[15:25:34]	[OOC] CCA.C14-UNION.EpU.72633: ECHO:1 is the basic bitch rank before getting into normal ECHO or whatever division. Then if you do amazing and show that you are better than other units your put into EOW which is either KING or MACE
[15:25:39]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[15:25:41]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[15:25:51]	[OOC] CCA.C14-UNION.i5.39867: me when i5
[15:26:13]	[OOC] CCA.C14-UNION.EpU.72633: No u
[15:26:27]	[OOC] CCA.C14-UNION.i5.39867: what
[15:26:34]	[OOC] CCA.C14-UNION.EpU.72633: Words
[15:26:39]	[OOC] CCA.C14-UNION.i5.39867: no u to what lol
[15:27:01]	[OOC] CCA.C14-UNION.EpU.72633: before I answer that. Why does the "Elite" ECHO have dots on his helmet
[15:27:08]	[OOC] CCA.C14-UNION.EpU.72633: Same goes for MACE
[15:27:11]	[OOC] CCA.C14-UNION.i5.39867: dirt
[15:27:20]	Vendo Pan™ has connected.
[15:27:21]	[OOC] CCA.C14-UNION.i5.39867: the elite models fucking suck ass
[15:27:26]	[OOC] CCA.C14-UNION.i5.39867: i hate them so much
[15:27:28]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[15:27:31]	[OOC] CCA.C14-UNION.EpU.72633: That is not dirt and i will never believe it's dirt
[15:27:35]	[OOC] CCA.C14-UNION.i5.39867: i just checked, you might be right about eow
[15:27:44]	[OOC] CCA.C14-UNION.i5.39867: i think it was originally only supposed to be king
[15:27:45]	[OOC] CCA.C14-UNION.i5.39867: that had eow
[15:27:51]	[OOC] CCA.C14-UNION.i5.39867: since hl2rp wiki
[15:27:57]	[OOC] CCA.C14-UNION.i5.39867: but ive been on a bunch of other servers
[15:28:04]	[OOC] CCA.C14-UNION.i5.39867: that had eow as a rank in every division
[15:28:17]	[OOC] CCA.C14-UNION.i5.39867: like it went OWS - OWC - EOW
[15:28:22]	[OOC] CCA.C14-UNION.i5.39867: from what i remember
[15:28:33]	[OOC] CCA.C14-UNION.EpU.72633: Don't use the HL2RP wiki. The only OTA that show a different rank is the White KING bois which only come out at times of total fuckery
[15:28:41]	[OOC] James Albright: hl2rp wiki is jsut bad in general
[15:28:43]	[OOC] CCA.C14-UNION.i5.39867: hl2rp wiki fucking sucks
[15:28:48]	[OOC] CCA.C14-UNION.i5.39867: yea it has so many false information
[15:28:50]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[15:28:53]	[OOC] CCA.C14-UNION.i5.39867: shit that varies around servers
[15:28:58]	[OOC] James Albright: exactly
[15:28:59]	[OOC] CCA.C14-UNION.i5.39867: so much*
[15:29:04]	[OOC] James Albright: and some of the articles are written ust
[15:29:05]	[OOC] James Albright: so poorly
[15:29:10]	[OOC] James Albright: you can tell it was written by a kid
[15:29:12]	[OOC] CCA.C14-UNION.i5.39867: and most of them are griefed
[15:29:14]	[OOC] James Albright: so i can't s iht on it too much
[15:29:14]	[OOC] CCA.C14-UNION.i5.39867: is this ic q
[15:29:17]	[OOC] CCA.C14-UNION.EpU.72633: So it's safe to say that OTA don't really have ranks and if they do it doesn't change the clothing. Only until their in EOW is when they get a change
[15:29:21]	[OOC] James Albright: is what IC
[15:29:23]	[OOC] James Albright: the note
[15:29:24]	James Albright used command '/DoorSetHidden true'.
[15:29:25]	[OOC] James Albright: yes
[15:29:26]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[15:29:27]	[OOC] CCA.C14-UNION.i5.39867: a kid or a not english speaker
[15:29:31]	[OOC] CCA.C14-UNION.i5.39867: non english*
[15:29:40]	[OOC] James Albright: i mean at the very least they have 3 ranks, maybe 4
[15:29:45]	[OOC] James Albright: if we go exclusively off of HL2
[15:29:47]	[OOC] James Albright: which
[15:29:48]	[OOC] James Albright: yeah
[15:29:54]	[OOC] James Albright: shotgunner, elite, and regular
[15:30:04]	[OOC] CCA.C14-UNION.i5.39867: ive always seen 
[15:30:08]	[OOC] James Albright: and then you have regulars with SMGs and AR2s if you want to nitpick for 4 ranks
[15:30:10]	[OOC] CCA.C14-UNION.EpU.72633: Isn't shotgunner in HL2RP lore a EOW
[15:30:19]	[OOC] CCA.C14-UNION.i5.39867: he has an elite armband
[15:30:22]	[OOC] James Albright: depends on the server
[15:30:23]	James Albright used command '/DoorSetHidden true'.
[15:30:24]	[OOC] James Albright: but
[15:30:24]	James Albright used command '/DoorSetHidden true'.
[15:30:31]	[OOC] James Albright: yeah, in HL2 it's definitely elite
[15:30:33]	[OOC] CCA.C14-UNION.i5.39867: idk ive always seen the different types in hl2 
[15:30:35]	[OOC] James Albright: it has the skullcrusher symbol
[15:30:36]	James Albright exited observer at their location.
[15:30:39]	[OOC] CCA.C14-UNION.i5.39867: like divisions and not ranks
[15:30:44]	James Albright has spawned 'models/Combine_Soldier.mdl'.
[15:30:49]	[OOC] CCA.C14-UNION.i5.39867: NOVA, MACE, ECHO, KING
[15:30:50]	[OOC] James Albright: the system as i'm redoing it has divisions and ranks
[15:31:02]	[OOC] CCA.C14-UNION.EpU.72633: If we ever get enough people on the server to add extra divisions I really want PRESSURE ;-;
[15:31:04]	[OOC] James Albright: but the ranks are more for purpsoe than anything
[15:31:05]	James Albright entered observer.
[15:31:08]	James Albright exited observer at their location.
[15:31:14]	[OOC] James Albright: there is no if
[15:31:15]	[OOC] James Albright: only when
[15:31:19]	[OOC] CCA.C14-UNION.EpU.72633: True
[15:31:19]	[OOC] CCA.C14-UNION.i5.39867: i dont see much of a point in transferring to OTA unless you have a second CP character to carry on your legacy
[15:31:25]	[OOC] CCA.C14-UNION.i5.39867: you'll barely be allowed out of stasis
[15:31:32]	[OOC] James Albright: some people like the idea of it
[15:31:45]	[OOC] James Albright: some people like the idea of progressing their char that way
[15:31:48]	[OOC] James Albright: we allow players to choose
[15:31:57]	[OOC] CCA.C14-UNION.i5.39867: just seems boring to me
[15:31:58]	[OOC] James Albright: and have their unit be NLRed if they're transferred into OTA
[15:32:06]	[OOC] CCA.C14-UNION.i5.39867: wait what?
[15:32:08]	[OOC] James Albright: yeah
[15:32:12]	[OOC] CCA.C14-UNION.i5.39867: you can be ota and keep your cp?
[15:32:13]	[OOC] CCA.C14-UNION.i5.39867: fucking sick
[15:32:21]	[OOC] James Albright: if a player is selected for OTA, yeah, you can choose between NLRing your unit or a full transfer
[15:32:24]	Vendo Pan™ (STEAM_0:0:445640226) has disconnected (timed out).
[15:32:35]	[OOC] CCA.C14-UNION.EpU.72633: Not gonna lie that moment when i got pretty much kidnapped by the HELIX and a KING and put to sleep i thought that i was totally fucked
[15:32:41]	[OOC] James Albright: lmao
[15:32:47]	James Albright entered observer.
[15:32:47]	James Albright exited observer at their location.
[15:32:55]	[OOC] James Albright: fuck i hate the shotgunner model
[15:32:57]	[OOC] CCA.C14-UNION.i5.39867: epu why do you still have your union 02 lol
[15:32:58]	[OOC] CCA.C14-UNION.i5.39867: same
[15:33:02]	[OOC] CCA.C14-UNION.i5.39867: it is literally shit coloured
[15:33:15]	[OOC] James Albright: it's a cool idea but it looks so bad
[15:33:24]	[OOC] James Albright: and the HLA one looks bad too
[15:33:42]	[OOC] James Albright: just bad in a different way
[15:33:50]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[15:34:04]	[OOC] CCA.C14-UNION.i5.39867: isnt the shotgunner in hla not brown
[15:34:08]	[LOOC] CCA.C14-UNION.EpU.72633: If a i5 ever tries to tell a MACE what to do i'm going to fucking laugh so hard
[15:34:16]	[LOOC] James Albright: nononon
[15:34:17]	[LOOC] CCA.C14-UNION.EpU.72633: It would be so fucking funny
[15:34:19]	[LOOC] James Albright: the i5 doesn't
[15:34:19]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[15:34:21]	[LOOC] James Albright: they know their place
[15:34:25]	[LOOC] James Albright: but then they get promoted to i4
[15:34:26]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[15:34:32]	[LOOC] James Albright: and they're like "Can i get a king unit down here"
[15:34:55]	[LOOC] CCA.C14-UNION.EpU.72633: Gets promoted - "Time to slaughter the civvies"
[15:34:56]	James Albright has spawned 'models/cultist/hl_a/vannila_combine/npc/combine_soldier.mdl'.
[15:34:59]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[15:35:12]	[OOC] CCA.C14-UNION.EpU.72633: I fucking hate that they have camo even though it's totally fucking worthless
[15:35:16]	[OOC] James Albright: thisis the HL:A shotgunner
[15:35:20]	[OOC] CCA.C14-UNION.EpU.72633: It has camo patterns
[15:35:25]	[OOC] CCA.C14-UNION.EpU.72633: And i hate it so much
[15:35:49]	[LOOC] CCA.C14-UNION.EpU.72633: Words
[15:36:08]	[LOOC] James Albright: how about tihso ne
[15:36:16]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[15:36:18]	[LOOC] James Albright: that's not QZ echo
[15:36:23]	[LOOC] James Albright: that's "commander" as it's referenced i the files
[15:36:33]	[LOOC] James Albright: then this is "suppression" as referenced in the files
[15:36:39]	[LOOC] James Albright: honestly it doesn't look bad
[15:36:41]	[OOC] James Albright: yeah, the eyes look bad
[15:36:49]	[OOC] James Albright: but otherwise as a whole it doesn't look terrile
[15:37:14]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[15:37:14]	[OOC] CCA.C14-UNION.EpU.72633: I swear, the way all OTA are built makes real camo comepletely worthles and stupid
[15:37:22]	[OOC] CCA.C14-UNION.EpU.72633: Worthless*
[15:37:27]	James Albright has spawned 'models/combine_soldiers_redone_playermodels/combine_soldier_redone.mdl'.
[15:37:30]	[OOC] CCA.C14-UNION.i5.39867: why does the blue standard hl2 ota
[15:37:31]	[OOC] CCA.C14-UNION.i5.39867: have camo
[15:37:35]	[OOC] CCA.C14-UNION.EpU.72633: I don't know
[15:37:35]	[OOC] CCA.C14-UNION.i5.39867: where is it going to blend in
[15:37:44]	[OOC] CCA.C14-UNION.i5.39867: what, the fucking sea?
[15:38:14]	[OOC] CCA.C14-UNION.EpU.72633: It has glowing blue eyes. Lets just put a fucking flashlight that never turns off on their head and it would probably be less fucking bright
[15:38:26]	[OOC] CCA.C14-UNION.EpU.72633: It's stupid, same with the CCA models
[15:38:47]	[OOC] James Albright: fuck you the mask is awesome
[15:38:49]	[OOC] James Albright: not really i love you
[15:38:50]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[15:38:51]	[OOC] James Albright: but fuck you
[15:38:56]	[OOC] James Albright: the eyes are shit
[15:38:58]	[OOC] James Albright: i agree
[15:38:59]	[OOC] CCA.C14-UNION.EpU.72633: One time i had to do a stealth sweep in the sewers but we had glowing visors and filters so it doesn't matter if we're stealthy
[15:39:00]	[OOC] James Albright: they don't glow
[15:39:05]	Vendo Pan™ has connected.
[15:39:14]	[OOC] James Albright: correct
[15:39:20]	[OOC] James Albright: literally correct
[15:39:26]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[15:39:48]	[OOC] CCA.C14-UNION.EpU.72633: brb
[15:40:25]	[LOOC] James Albright: hold on
[15:40:38]	James Albright has spawned 'models/dpfilms/metropolice/rette_police.mdl'.
[15:40:57]	James Albright has spawned 'models/dpfilms/metropolice/bette_police.mdl'.
[15:41:04]	[LOOC] James Albright: i'm not a hugfe fan
[15:41:05]	[LOOC] James Albright: buit
[15:41:06]	[LOOC] James Albright: yeah
[15:41:18]	[LOOC] James Albright: i wanna use HL:A shit but htere's not enough full pcks to cover teh range of models we'd want
[15:41:34]	James Albright has spawned 'models/dpfilms/metropolice/c08te_police.mdl'.
[15:41:35]	James Albright has spawned 'models/dpfilms/metropolice/eliicetrench.mdl'.
[15:42:01]	[LOOC] James Albright: yeah
[15:42:10]	James Albright has spawned 'models/dpfilms/metropolice/eliicetrench.mdl'.
[15:42:42]	James Albright has spawned 'models/dpfilms/metropolice/playermodels/pm_police_bt.mdl'.
[15:42:47]	James Albright has spawned 'models/dpfilms/metropolice/playermodels/pm_rogue_police.mdl'.
[15:42:55]	James Albright has spawned 'models/dpfilms/metropolice/urbicetrench.mdl'.
[15:43:02]	[LOOC] James Albright: yeah
[15:43:24]	James Albright has spawned 'models/dpfilms/metropolice/playermodels/pm_elite_police.mdl'.
[15:43:43]	[LOOC] James Albright: you mena this
[15:43:50]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[15:44:02]	James Albright has spawned 'models/dpfilms/metropolice/bette_police.mdl'.
[15:44:04]	James Albright has spawned 'models/dpfilms/metropolice/medte_police.mdl'.
[15:44:08]	James Albright has spawned 'models/dpfilms/metropolice/hdite_police.mdl'.
[15:44:16]	Vendo Pan™ (STEAM_0:0:445640226) deleted character 'Elizabeth Skülberg'
[15:44:22]	Vendo Pan™ (STEAM_0:0:445640226) deleted character 'Barney Caljourney'
[15:44:25]	Vendo Pan™ loaded the character 'Gregory Smith'
[15:44:26]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[15:45:17]	James Albright has spawned 'models/dpfilms/metropolice/hl2beta_police.mdl'.
[15:45:18]	James Albright has spawned 'models/dpfilms/metropolice/hdpolice.mdl'.
[15:45:21]	[OOC] Gregory Smith: Hello
[15:45:25]	[OOC] CCA.C14-UNION.i5.39867: sup
[15:45:26]	[OOC] James Albright: hello hello
[15:45:28]	James Albright has spawned 'models/dpfilms/metropolice/hl2concept.mdl'.
[15:45:37]	James Albright has spawned 'models/dpfilms/metropolice/playermodels/pm_c08cop.mdl'.
[15:46:40]	[OOC] CCA.C14-UNION.EpU.72633: EpU go "HEHE CHAIR GO ZAP"
[15:46:44]	[OOC] Gregory Smith: If sometimes i do weird things, is because my lag
[15:46:47]	James Albright has spawned 'models/dpfilms/metropolice/blacop.mdl'.
[15:46:50]	[OOC] CCA.C14-UNION.EpU.72633: Kay
[15:47:01]	[LOOC] James Albright: it is kinda edge
[15:47:06]	[LOOC] James Albright: i wanted this for union DvL before
[15:47:22]	[LOOC] James Albright: this is good
[15:47:26]	[OOC] Gregory Smith: wtf is that in plaza?
[15:47:29]	[OOC] CCA.C14-UNION.EpU.72633: OOC
[15:47:29]	James Albright used command '/DoorSetHidden true'.
[15:47:33]	[OOC] James Albright: we're lookingat moedls
[15:47:40]	[OOC] Gregory Smith: Oh
[15:47:42]	[OOC] Gregory Smith: ok
[15:47:53]	James Albright has spawned 'models/dpfilms/metropolice/playermodels/pm_skull_police.mdl'.
[15:48:17]	James Albright has spawned 'models/dpfilms/metropolice/tribal_police.mdl'.
[15:48:24]	James Albright has spawned 'models/dpfilms/metropolice/playermodels/pm_police_fragger.mdl'.
[15:48:50]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[15:49:26]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[15:49:35]	[LOOC] James Albright: dming to you now
[15:49:41]	Vendo Pan™ created the character 'Dennis Arturius'
[15:49:41]	Dennis Arturius has gained a 'Suitcase' #25777.
[15:49:41]	Dennis Arturius has gained a 'Relocation Coupon' #25778.
[15:49:47]	Vendo Pan™ loaded the character 'Dennis Arturius'
[15:50:20]	[OOC] Dennis Arturius: I'm rixo, i'm not another person
[15:50:41]	[OOC] CCA.C14-UNION.i5.39867: ok
[15:52:00]	Dennis Arturius has taken 10 damage from npc_zombie_torso.
[15:52:21]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[15:52:41]	[LOOC] CCA.C14-UNION.EpU.72633: Transhuman*
[15:52:55]	Dennis Arturius has taken 12 damage from monster_hound_eye.
[15:52:57]	James Albright entered observer.
[15:52:57]	James Albright exited observer at their location.
[15:53:07]	Dennis Arturius has taken 15 damage from monster_hound_eye.
[15:53:50]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[15:53:51]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[15:54:10]	Dennis Arturius has taken 5 damage from npc_headcrab.
[15:54:26]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[15:57:23]	[OOC] CCA.C14-UNION.EpU.72633: Somebody made a model of the beta CP with blue eyes
[15:57:26]	[OOC] CCA.C14-UNION.EpU.72633: Icky
[15:57:28]	[OOC] James Albright: ew
[15:57:30]	James Albright entered observer.
[15:58:22]	[OOC] CCA.C14-UNION.i5.39867: are we heading ic
[15:58:27]	[OOC] CCA.C14-UNION.i5.39867: now
[15:58:29]	[OOC] James Albright: i wonder what technical name we should use for the pulse smg
[15:58:33]	[OOC] James Albright: affiramtive
[15:58:50]	[OOC] CCA.C14-UNION.i5.39867: OSIPR
[15:58:50]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[15:59:11]	CCA.C14-UNION.i5.39867 used command '/PM den if you want your LP issue resolved hop onto greg'.
[15:59:26]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[15:59:30]	[OOC] CCA.C14-UNION.EpU.72633: OPDW? "Overwatch, personal, defense, weapon"?
[15:59:44]	[OOC] CCA.C14-UNION.EpU.72633: It's a PDW and it's a overwatch weapon
[16:00:07]	[OOC] CCA.C14-UNION.EpU.72633: I say it's a PDW since it fires some big boi rounds for a small weapon 
[16:00:36]	Vendo Pan™ loaded the character 'Gregory Smith'
[16:00:47]	[OOC] Gregory Smith: sand, i can't pm you
[16:00:49]	CCA.C14-UNION.EpU.72633 used command '/Radio Updating 10-20 to the Workdesk for stand by. Report vis-con of Xenobes.'.
[16:00:53]	[OOC] CCA.C14-UNION.i5.39867: you pm i5
[16:00:55]	[OOC] CCA.C14-UNION.i5.39867: not sand
[16:01:02]	Gregory Smith used command '/PM i5 ok'.
[16:01:14]	James Albright used command '/DoorSetHidden true'.
[16:01:15]	[OOC] James Albright: lightroom
[16:01:17]	[OOC] James Albright: oh
[16:01:24]	[ME] CCA.C14-UNION.i5.39867: turns his head in the citizen's general director, wondering why he has stopped to stare
[16:01:25]	[OOC] CCA.C14-UNION.EpU.72633: hm?
[16:01:27]	[OOC] James Albright: nvm
[16:01:27]	James Albright exited observer at their location.
[16:01:30]	[OOC] James Albright: you responded
[16:01:31]	[ME] CCA.C14-UNION.i5.39867: squints behind the mask, before noticing it was a familiar face.
[16:01:36]	[OOC] James Albright: i just want a name kinda like AR2
[16:01:38]	[ME] CCA.C14-UNION.i5.39867: steps over, clipping his stunstick onto his belt.
[16:01:39]	[OOC] James Albright: like we have the AR2
[16:01:40]	James Albright entered observer.
[16:01:43]	James Albright exited observer at their location.
[16:01:46]	[OOC] James Albright: also fun fact about the AR2
[16:01:54]	[OOC] CCA.C14-UNION.EpU.72633: It used to be a flair gun
[16:01:55]	[OOC] James Albright: it actually just means assault rifle 2 and is derived from the beta
[16:01:59]	[OOC] CCA.C14-UNION.EpU.72633: Oh
[16:02:04]	James Albright entered observer.
[16:02:06]	James Albright exited observer at their location.
[16:02:12]	[OOC] James Albright: wherein, the AR2 was actually the OICW
[16:02:12]	James Albright entered observer.
[16:02:15]	James Albright exited observer at their location.
[16:02:15]	James Albright entered observer.
[16:02:16]	James Albright exited observer at their location.
[16:02:21]	[OOC] CCA.C14-UNION.EpU.72633: Imagine saying assualt rifle 2 (This post was made by not Combine gang)
[16:02:22]	[OOC] James Albright: the AR1 being the ak47
[16:02:30]	[OOC] James Albright: in episode 2 it was soldified as the technical name
[16:02:30]	James Albright entered observer.
[16:02:33]	James Albright exited observer at their location.
[16:02:46]	[OOC] CCA.C14-UNION.EpU.72633: It isn't a type one AK and anybody who says it is i don't like.
[16:02:49]	James Albright entered observer.
[16:02:50]	James Albright exited observer at their location.
[16:02:58]	[OOC] James Albright: in fact, in the game files, you can still see in the file path that the AR2 is still called the irifle
[16:03:05]	CCA.C14-UNION.i5.39867 used command '/Radio EpU, bringing 10-91 to your 10-20. He needs to speak to you about his LP not correlating. He brought it up to me a few days ago.'.
[16:03:08]	[OOC] James Albright: meaning incendiary rifle, which is what the pulse-rifle originally was
[16:03:13]	CCA.C14-UNION.EpU.72633 used command '/Radio I see'.
[16:03:31]	[OOC] James Albright: models/weapons/w_irifle.mdl
[16:03:50]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[16:04:10]	[OOC] James Albright: there are quite a few remnants of the  beta in the retail HL2 release files actually
[16:04:26]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[16:04:59]	James Albright used command '/DoorSetHidden true'.
[16:05:07]	[OOC] James Albright: there's a folder in the game files referring to the combine assassin
[16:05:19]	[OOC] James Albright: it has one sound in it, ball_zap.mp3
[16:05:22]	[OOC] James Albright: or as you all know it
[16:05:22]	[OOC] James Albright: this
[16:05:45]	[OOC] James Albright: they also have the directory waste_scanner still in the sounds folder
[16:05:52]	[OOC] James Albright: referring to the wasteland scanner, another cut combine enemy
[16:05:52]	CCA.C14-UNION.i5.39867 used command '/OldViewData gregory'.
[16:05:58]	[OOC] James Albright: with one sound, this one
[16:06:21]	[ME] Gregory Smith: grabs his ID from his pocket
[16:06:23]	Gregory Smith used command '/Apply'.
[16:06:30]	[OOC] James Albright: and also
[16:06:30]	CCA.C14-UNION.EpU.72633 used command '/OldViewData Gregory'.
[16:06:33]	[OOC] James Albright: same with the weapons
[16:06:36]	[OOC] James Albright: you have the ar1 foldewr
[16:06:38]	[OOC] James Albright: the cguard folder
[16:06:43]	[OOC] James Albright: the guass folder
[16:06:48]	[OOC] James Albright: iceaxe
[16:06:50]	[OOC] James Albright: irifle
[16:07:09]	[ME] Gregory Smith: puts his ID back in his pocket
[16:07:10]	[OOC] CCA.C14-UNION.EpU.72633: Oh OOC
[16:07:19]	[OOC] CCA.C14-UNION.EpU.72633: Void me stopping my sentence
[16:07:19]	[OOC] James Albright: well i guess the tau cannon is on the jeep so thats' why its there but
[16:07:37]	[OOC] James Albright: in fact, the cguard file is something you already know
[16:07:46]	[OOC] James Albright: it's the sound of the strider cannon charging
[16:07:54]	[ME] CCA.C14-UNION.i5.39867: rubs on the forehead of his mask, before sighing
[16:07:59]	[ME] CCA.C14-UNION.i5.39867: looks back up at the EpU
[16:08:35]	[OOC] James Albright: anyfuckinways
[16:08:36]	James Albright entered observer.
[16:08:46]	[OOC] James Albright: i'm gonna work on the ota guidef now
[16:08:49]	[OOC] James Albright: do some finishing touches
[16:08:50]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[16:08:51]	[OOC] CCA.C14-UNION.EpU.72633: Good
[16:09:26]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[16:10:25]	[ME] CCA.C14-UNION.EpU.72633: Simply opens a cabinet and takes out a small boi bucket filled with water and soap. (It has a rag tied to it)
[16:10:25]	[ME] CCA.C14-UNION.i5.39867: turns away now, surveying the plaza streets
[16:10:32]	[ME] CCA.C14-UNION.EpU.72633: Holds it out to the civvie
[16:11:07]	[ME] Gregory Smith: grabs all that is on the table
[16:11:25]	CCA.C14-UNION.EpU.72633 used command '/Radio Unit updating 10-20 to Outpost storm.'.
[16:11:40]	CCA.C14-UNION.i5.39867 used command '/Radio Posting up at Plaza Workdesk, taking 726's place.'.
[16:12:06]	[ME] Gregory Smith: puts the bucket on the floor
[16:12:36]	[OOC] CCA.C14-UNION.EpU.72633: I was really tempted to say "Fuck no I don't have other shit to do"
[16:12:44]	[OOC] CCA.C14-UNION.i5.39867: lmao
[16:12:49]	CCA.C14-UNION.EpU.72633 used command '/Radio Unit going 10-7'.
[16:12:57]	CCA.C14-UNION.i5.39867 used command '/Radio 10-4, have a good one.'.
[16:12:58]	FB|| light ROOM loaded the character 'CCA.C14-QrM.98240'
[16:13:13]	CCA.C14-QrM.98240 used command '/Radio Unit is 10-8, currently checking stock on CCA supplies and rations'.
[16:13:19]	CCA.C14-QrM.98240 used the 'Armory Supply' vendor.
[16:13:25]	[ME] Gregory Smith: grabs the rag
[16:13:34]	[ME] Gregory Smith: cleans the wall
[16:13:39]	CCA.C14-UNION.i5.39867 used command '/Radio Roger that, U-398 stationed at plaza workdesk. Green over here, nothing to report.'.
[16:13:49]	CCA.C14-QrM.98240 used command '/Radio 10-4, report if you need anything'.
[16:13:49]	CCA.C14-QrM.98240 used the 'Armory Supply' vendor.
[16:13:50]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[16:13:54]	CCA.C14-UNION.i5.39867 used command '/Radio Got it.'.
[16:14:10]	[ME] Gregory Smith: carefuly cleans the CMB propaganda
[16:14:25]	CCA.C14-UNION.i5.39867 used command '/Radio Actually,'.
[16:14:29]	CCA.C14-UNION.i5.39867 used command '/Radio Yeah, I do.'.
[16:14:34]	CCA.C14-UNION.i5.39867 used command '/Radio Got any yellow armbands in stock?'.
[16:14:41]	[ME] Gregory Smith: wets the rag into the bucket with soap
[16:14:46]	[ME] Gregory Smith: grabs the rag
[16:14:51]	[ME] Gregory Smith: carefuly cleans the CMB propaganda
[16:14:52]	CCA.C14-QrM.98240 used command '/Radio I might, give me a moment'.
[16:15:09]	CCA.C14-UNION.i5.39867 used command '/Radio Take your time.'.
[16:15:09]	CCA.C14-QrM.98240 used command '/Radio Yep I do, guessing a 10-91 needs one?'.
[16:15:13]	[ME] Gregory Smith: wets the rag into the bucket with soap
[16:15:14]	CCA.C14-QrM.98240 ran 'take' on item 'Yellow Loyalist Armband' (#21771)
[16:15:14]	CCA.C14-QrM.98240 has gained a 'Yellow Loyalist Armband' #21771.
[16:15:16]	CCA.C14-UNION.i5.39867 used command '/Radio I think.'.
