[00:13:47]	beansman67 has connected.
[12:35:05]	[OOC] Lee Maylor: wb bananvapor!
[12:35:07]	jimity used command '/Content'.
[12:35:13]	Lee Maylor used command '/PM union can you please handle that guy'.
[12:35:17]	matt saton loaded the character 'CCA.C08-UNION.i1.51023'
[12:35:25]	CCA.C08-UNION.i1.51023 used command '/PM union thank oyu'.
[12:35:29]	CCA.C08-UNION.i1.51023 used command '/PM i5 thank you'.
[12:35:33]	[OOC] jimity: a bunch of stuff is still errors
[12:35:47]	[OOC] CCA.C08-UNION.i1.51023: You have EP1, EP2, and CSS all installed and mounted?
[12:35:48]	[OOC] Chloe Cullen: Have you mounted HL2, HL2E1, HL2E2, and CSS?
[12:36:05]	[OOC] jimity: i need counter strike source?
[12:36:07]	CCA.C08-UNION.i5.99915 has gained 10 tokens.
[12:36:11]	[OOC] CCA.C08-UNION.i1.51023: unfortunately yes
[12:36:15]	[OOC] CCA.C08-UNION.i5.99915: most servers require it usally.
[12:36:54]	[OOC] jimity: why is it 10 bucks valve
[12:37:05]	[OOC] CCA.C08-UNION.i1.51023: you can just download the textures online or using steamCMD
[12:37:17]	[OOC] jimity: sweet
[12:37:48]	Andrew 'Razor' Gonzalez used command '/PM union You have CMU right?'.
[12:37:57]	CCA.C08-UNION.i1.51023 used command '/PM andrew we call it the medical corps but yeah'.
[12:38:16]	Andrew 'Razor' Gonzalez used command '/PM Union Well, is there a need for it?'.
[12:38:29]	CCA.C08-UNION.i1.51023 used command '/PM andrew always, nobody wants to medicalRP'.
[12:38:37]	[OOC] jimity: could you send me a link to get to it
[12:38:49]	Andrew 'Razor' Gonzalez used command '/PM 510 I could do it, you know'.
[12:38:56]	[OOC] CCA.C08-UNION.i1.51023: i cannot, google a tutorial online and it'll be a way better teacher than me
[12:39:17]	[OOC] Chloe Cullen: >Train station.
[12:39:30]	CCA.C08-UNION.i1.51023 used command '/PM andrew you can apply with 5 LP and then you can get into helix right off the bat if you're in medical when you apply for CCA'.
[12:39:44]	Andrew 'Razor' Gonzalez used command '/PM 510 I mean be a doctor silly'.
[12:39:47]	BananaVapor (STEAM_0:0:442351763) has disconnected.
[12:39:55]	CCA.C08-UNION.i1.51023 used command '/PM andrew yeah, i gotcha'.
[12:40:17]	CCA.C08-UNION.i1.51023 has gained 10 tokens.
[12:41:04]	Andrew 'Razor' Gonzalez used command '/PM 510 So do you need medical corps now?'.
[12:41:07]	CCA.C08-UNION.i5.99915 has gained 10 tokens.
[12:41:24]	CCA.C08-UNION.i1.51023 used command '/PM andrew they're pretty much always needed. if you head to the CWU HQ and give me some warning beforehand i can go ahead and let you apply'.
[12:42:21]	CCA.C08-UNION.i1.51023 entered observer.
[12:42:29]	Andrew 'Razor' Gonzalez used command '/PM 510 Because if my goal of having leadership in the CCA is in the toilet right now then I might as well try to lead the medical corps in the CWU'.
[12:42:55]	CCA.C08-UNION.i1.51023 used command '/PM andrew only *right now* but still point taken'.
[12:45:17]	CCA.C08-UNION.i1.51023 has gained 10 tokens.
[12:45:59]	CCA.C08-UNION.i1.51023 exited observer at their location.
[12:46:07]	CCA.C08-UNION.i5.99915 has gained 10 tokens.
[12:49:09]	CCA.C08-UNION.i1.51023 used command '/CharFallOver 0.1'.
[12:49:13]	[LOOC] CCA.C08-UNION.i1.51023: ignore that
[12:49:36]	Andrew 'Razor' Gonzalez used command '/PM 510 Fair enough'.
[12:50:17]	CCA.C08-UNION.i1.51023 has gained 10 tokens.
[12:51:07]	CCA.C08-UNION.i5.99915 has gained 10 tokens.
[12:51:43]	[LOOC] CCA.C08-UNION.i5.99915: gonna actually grab my cat, shes been big pimpin alone all day
[12:51:46]	[LOOC] CCA.C08-UNION.i1.51023: lmao
[12:51:53]	[LOOC] CCA.C08-UNION.i5.99915: my dogs been getting all the attention
[12:55:17]	CCA.C08-UNION.i1.51023 has gained 10 tokens.
[12:56:07]	CCA.C08-UNION.i5.99915 has gained 10 tokens.
[12:57:40]	Chloe Cullen ran 'Drink' on item 'Amphibious Consulate Water' (#13965)
[12:57:47]	Chloe Cullen ran 'Drink' on item 'Amphibious Consulate Water' (#13966)
[12:57:54]	[OOC] Chloe Cullen: Amphibious water, what the hell?
[12:57:59]	[OOC] Feng Yi 'Eric' Hseuh: how the fuck did you get that
[12:58:09]	[OOC] CCA.C08-UNION.i1.51023: that was an april fool's item
[12:59:19]	[ME] Feng Yi 'Eric' Hseuh: looks over either of his shoulders.
[12:59:41]	[LOOC] CCA.C08-UNION.i5.99915: this cat is pawing my keyboard
[12:59:48]	[LOOC] CCA.C08-UNION.i1.51023: pet the cat for me please
[13:00:01]	[LOOC] CCA.C08-UNION.i5.99915: i am, shes a kitty calico
[13:00:19]	[LOOC] CCA.C08-UNION.i1.51023: omg
[13:00:39]	[LOOC] Feng Yi 'Eric' Hseuh: the
[13:00:57]	[LOOC] CCA.C08-UNION.i1.51023: Fair.*
[13:01:07]	CCA.C08-UNION.i5.99915 has gained 10 tokens.
[13:03:48]	[LOOC] CCA.C08-UNION.i5.99915: sent cat pic
[13:03:59]	[LOOC] CCA.C08-UNION.i1.51023: i see, she is great
[13:04:00]	[LOOC] CCA.C08-UNION.i1.51023: or he
[13:04:01]	[LOOC] CCA.C08-UNION.i1.51023: she
[13:04:06]	[LOOC] CCA.C08-UNION.i5.99915: she
[13:04:15]	[LOOC] CCA.C08-UNION.i1.51023: We had a prime minister who went out on a boat, alone.
[13:04:18]	[LOOC] CCA.C08-UNION.i1.51023: wrong chat
[13:04:18]	[LOOC] CCA.C08-UNION.i5.99915: always assume calicos are hers, 1 in 10000 are male
[13:04:31]	[LOOC] CCA.C08-UNION.i1.51023: oh right i forgot about that
[13:04:33]	[LOOC] CCA.C08-UNION.i1.51023: so weird
[13:04:54]	[ME] Feng Yi 'Eric' Hseuh: looks over both of his shoulders.
[13:05:08]	[W] Feng Yi 'Eric' Hseuh: Not to being conspiring, but I would go if it wasn't so dangerous.
[13:05:56]	[OOC] Chloe Cullen: Q
[13:05:59]	[OOC] CCA.C08-UNION.i1.51023: yeah
[13:06:00]	[OOC] Chloe Cullen: I hate you
[13:06:03]	[OOC] CCA.C08-UNION.i1.51023: no u
[13:06:04]	[OOC] CCA.C08-UNION.i1.51023: also why
[13:06:07]	CCA.C08-UNION.i5.99915 has gained 10 tokens.
[13:06:13]	[ME] Andrew 'Razor' Gonzalez: would stand up and head out, waving
[13:06:18]	[OOC] CCA.C08-UNION.i1.51023: oh
[13:06:22]	[OOC] Chloe Cullen: why did you give me FROG WATER
[13:06:30]	[OOC] CCA.C08-UNION.i1.51023: i was trying to give you regular CONSULATE WATER
[13:06:46]	LynxQueen loaded the character 'Merissa Myers'
[13:07:18]	[OOC] Merissa Myers: why the fuckin door clooooooosed
[13:07:21]	CCA.C08-UNION.i1.51023 entered observer.
[13:07:27]	[OOC] CCA.C08-UNION.i1.51023: wtf
[13:07:35]	[OOC] CCA.C08-UNION.i1.51023: *how* the fuck
[13:07:38]	[OOC] CCA.C08-UNION.i1.51023: *who* the fuck
[13:07:42]	CCA.C08-UNION.i1.51023 exited observer at their location.
[13:07:42]	CCA.C08-UNION.i1.51023 entered observer.
[13:07:48]	CCA.C08-UNION.i1.51023 exited observer at their location.
[13:08:02]	[Y] Feng Yi 'Eric' Hseuh: Officers.
[13:08:09]	[Y] Feng Yi 'Eric' Hseuh: I can receiving an apartment?
[13:09:25]	[W] Merissa Myers: We need to talk.
[13:09:29]	[W] Feng Yi 'Eric' Hseuh: Yes?
[13:09:33]	[W] Merissa Myers: Later.
[13:10:17]	CCA.C08-UNION.i1.51023 has gained 10 tokens.
[13:11:04]	[Y] CCA.C08-UNION.i1.51023: <:: Feng! ::>
[13:11:07]	CCA.C08-UNION.i5.99915 has gained 10 tokens.
[13:11:47]	[LOOC] CCA.C08-UNION.i5.99915: cant see descrips
[13:11:48]	CCA.C08-UNION.i1.51023 used command '/Radio Find him for me while I make sure everything is alright.'.
[13:11:52]	[LOOC] Andrew 'Razor' Gonzalez: Oof
[13:12:03]	CCA.C08-UNION.i1.51023 entered observer.
[13:12:08]	CCA.C08-UNION.i1.51023 exited observer at their location.
[13:12:09]	CCA.C08-UNION.i1.51023 entered observer.
[13:12:10]	CCA.C08-UNION.i1.51023 exited observer at their location.
[13:12:28]	CCA.C08-UNION.i1.51023 entered observer.
[13:13:01]	Merissa Myers ran 'take' on item 'Citizen Filter' (#13943)
[13:13:01]	Merissa Myers has gained a 'Citizen Filter' #13943.
[13:13:02]	Merissa Myers ran 'take' on item 'Citizen Filter' (#13941)
[13:13:02]	Merissa Myers has gained a 'Citizen Filter' #13941.
[13:13:03]	CCA.C08-UNION.i1.51023 exited observer at their location.
[13:13:05]	Merissa Myers ran 'take' on item 'Citizen Filter' (#13947)
[13:13:05]	Merissa Myers has gained a 'Citizen Filter' #13947.
[13:13:07]	Merissa Myers ran 'take' on item 'Citizen Filter' (#13939)
[13:13:07]	Merissa Myers has gained a 'Citizen Filter' #13939.
[13:13:10]	Merissa Myers ran 'take' on item 'Citizen Filter' (#13942)
[13:13:10]	Merissa Myers has gained a 'Citizen Filter' #13942.
[13:13:15]	Merissa Myers ran 'take' on item 'Citizen Filter' (#13946)
[13:13:15]	Merissa Myers has gained a 'Citizen Filter' #13946.
[13:13:23]	Merissa Myers ran 'take' on item 'Citizen Filter' (#13949)
[13:13:23]	Merissa Myers has gained a 'Citizen Filter' #13949.
[13:13:30]	Merissa Myers ran 'take' on item 'Citizen Filter' (#13948)
[13:13:30]	Merissa Myers has gained a 'Citizen Filter' #13948.
[13:13:31]	[Y] CCA.C08-UNION.i1.51023: <:: Citizen. ::>
[13:13:45]	LynxQueen loaded the character 'Chloe Cullen'
[13:14:00]	[OOC] Chloe Cullen: pet flags btw pls
[13:14:06]	CCA.C08-UNION.i1.51023 used command '/CharGiveFlag chloe pet'.
[13:14:35]	Andrew 'Razor' Gonzalez used command '/Apply'.
[13:14:36]	Feng Yi 'Eric' Hseuh used command '/Apply'.
[13:14:48]	[Y] CCA.C08-UNION.i1.51023: <:: We're gonna make this a three person room, then. Makes it easier. ::>
[13:14:55]	[ME] CCA.C08-UNION.i1.51023: takes out their datapad and types a couple things in.
[13:15:02]	CCA.C08-UNION.i1.51023 used command '/ViewData gonzalez'.
[13:15:17]	CCA.C08-UNION.i1.51023 has gained 10 tokens.
[13:15:23]	CCA.C08-UNION.i1.51023 used command '/ViewData feng'.
[13:15:42]	[Y] CCA.C08-UNION.i1.51023: <:: Union, come over this way. ::>
[13:16:07]	CCA.C08-UNION.i5.99915 has gained 10 tokens.
[13:16:15]	[LOOC] CCA.C08-UNION.i1.51023: look at the door and do /addtenant [name]
[13:16:18]	[LOOC] CCA.C08-UNION.i1.51023: just do the last name
[13:16:30]	CCA.C08-UNION.i5.99915 used command '/AddTenant Hseuh'.
[13:16:36]	CCA.C08-UNION.i5.99915 used command '/AddTenant Razor'.
[13:16:41]	[LOOC] CCA.C08-UNION.i1.51023: epic
[13:16:42]	CCA.C08-UNION.i1.51023 used command '/CharFallOver 0.1'.
[13:16:42]	CCA.C08-UNION.i1.51023 has taken 50 damage from worldspawn.
[13:16:45]	[LOOC] CCA.C08-UNION.i1.51023: fuck ME
[13:16:48]	CCA.C08-UNION.i1.51023 entered observer.
[13:16:48]	CCA.C08-UNION.i1.51023 exited observer at their location.
[13:16:49]	[LOOC] Andrew 'Razor' Gonzalez: oof
[13:16:49]	CCA.C08-UNION.i1.51023 entered observer.
[13:16:49]	CCA.C08-UNION.i1.51023 exited observer at their location.
[13:17:16]	Andrew 'Razor' Gonzalez used command '/Apply'.
[13:17:24]	Chloe Cullen used command '/Apply'.
[13:17:26]	[ME] CCA.C08-UNION.i1.51023: takes out their datapad and types a couple things in.
[13:17:28]	CCA.C08-UNION.i1.51023 used command '/ViewData chloe'.
[13:17:37]	CCA.C08-UNION.i1.51023 used command '/AddTenant chloe'.
[13:17:39]	CCA.C08-UNION.i1.51023 used command '/AddTenant chloe'.
[13:18:05]	[ME] CCA.C08-UNION.i1.51023: hands a key to Feng.
[13:18:24]	[ME] CCA.C08-UNION.i1.51023: hands a key to gonzalez.
[13:18:27]	[ME] Andrew 'Razor' Gonzalez: takes the key, nodding
[13:18:36]	[LOOC] CCA.C08-UNION.i1.51023: you should all have locking access for the door.
[13:18:57]	[ME] CCA.C08-UNION.i1.51023: hands a key to Chloe.
[13:18:58]	[LOOC] Chloe Cullen: door stuck
[13:19:24]	Chloe Cullen has spawned 'models/props_junk/PlasticCrate01a.mdl'.
[13:20:17]	CCA.C08-UNION.i1.51023 has gained 10 tokens.
[13:20:27]	[LOOC] Feng Yi 'Eric' Hseuh: how do you play RPS in a server
[13:20:32]	[LOOC] Feng Yi 'Eric' Hseuh: do they have online RPS
[13:20:38]	[LOOC] Andrew 'Razor' Gonzalez: just /roll 3 honestly
[13:20:49]	[LOOC] Feng Yi 'Eric' Hseuh: i think it'd be 2 because it starts at 0 but okay
[13:20:52]	[LOOC] Feng Yi 'Eric' Hseuh: that works
[13:20:57]	[LOOC] Andrew 'Razor' Gonzalez: 1 is paper, 2 is rock, 3 is scissors
[13:20:58]	Chloe Cullen rolled 2 out of 3.
[13:20:58]	Chloe Cullen used command '/Roll 3'.
[13:21:09]	[LOOC] Feng Yi 'Eric' Hseuh: so 0 is rock, 1 is paper, 2 is scissors
[13:21:09]	Andrew 'Razor' Gonzalez rolled 1 out of 3.
[13:21:09]	Andrew 'Razor' Gonzalez used command '/Roll 3'.
[13:21:16]	[LOOC] Feng Yi 'Eric' Hseuh: hold on who are we all playing
[13:21:23]	[LOOC] Feng Yi 'Eric' Hseuh: should we just make this less complicated and all roll out of 100
[13:21:27]	[LOOC] Feng Yi 'Eric' Hseuh: and whoever gets it highest wins RPS
[13:21:33]	[LOOC] Andrew 'Razor' Gonzalez: Yeah fuck it why not
[13:21:33]	[LOOC] Feng Yi 'Eric' Hseuh: because this is kind of a headache
[13:21:36]	Feng Yi 'Eric' Hseuh rolled 75 out of 100.
[13:21:36]	Feng Yi 'Eric' Hseuh used command '/Roll'.
[13:21:39]	CCA.C08-UNION.i1.51023 entered observer.
[13:21:40]	CCA.C08-UNION.i1.51023 exited observer at their location.
[13:21:46]	[LOOC] Chloe Cullen: WE SHALL FIGHT FOR IT
[13:21:49]	Andrew 'Razor' Gonzalez rolled 17 out of 100.
[13:21:49]	Andrew 'Razor' Gonzalez used command '/Roll'.
[13:21:51]	Chloe Cullen ran 'Equip' on item 'Rock' (#13839)
[13:21:51]	[LOOC] Andrew 'Razor' Gonzalez: f
[13:21:55]	[LOOC] Feng Yi 'Eric' Hseuh: three citizens enter, one citizen gets the bed
[13:22:10]	[LOOC] Feng Yi 'Eric' Hseuh: two men enter, one man sleeps
[13:22:31]	[LOOC] Andrew 'Razor' Gonzalez: How about arbitrary
[13:22:38]	[LOOC] Andrew 'Razor' Gonzalez: CCA dictates
[13:22:41]	[LOOC] Andrew 'Razor' Gonzalez: Easy
[13:22:46]	[LOOC] Feng Yi 'Eric' Hseuh: says the guy who rolls the lowest
[13:22:56]	[LOOC] Feng Yi 'Eric' Hseuh: chloe still needs to roll
[13:22:56]	[LOOC] Andrew 'Razor' Gonzalez: Well someone hasn't rolled yet so
[13:23:03]	[LOOC] Chloe Cullen:  oh
[13:23:05]	Chloe Cullen rolled 18 out of 100.
[13:23:05]	Chloe Cullen used command '/Roll'.
[13:23:08]	[LOOC] Chloe Cullen: shi-
[13:23:09]	[LOOC] Andrew 'Razor' Gonzalez: by one
[13:23:09]	[LOOC] Feng Yi 'Eric' Hseuh: let's go
[13:23:13]	[LOOC] Andrew 'Razor' Gonzalez: Bro
[13:23:15]	[LOOC] Chloe Cullen: still higher tahn andrew
[13:23:18]	[LOOC] Andrew 'Razor' Gonzalez: Die
[13:23:21]	Feng Yi 'Eric' Hseuh has taken 13 damage from Chloe Cullen.
[13:23:25]	[LOOC] Chloe Cullen: WHAT
[13:23:33]	[LOOC] Feng Yi 'Eric' Hseuh: was that an accident
[13:23:37]	[LOOC] Chloe Cullen: Yes
[13:23:43]	[LOOC] Chloe Cullen: I turned azround mid minge swing
[13:25:03]	Feng Yi 'Eric' Hseuh has taken 1 damage from worldspawn.
[13:25:04]	Feng Yi 'Eric' Hseuh has taken 1 damage from worldspawn.
[13:25:05]	Feng Yi 'Eric' Hseuh has taken 1 damage from worldspawn.
[13:25:08]	Feng Yi 'Eric' Hseuh ran 'equip' on item 'Citizen Filter' (#13826)
[13:25:11]	[ME] Andrew 'Razor' Gonzalez: facepalms his visor, sighing in disbelief.
[13:25:17]	CCA.C08-UNION.i1.51023 has gained 10 tokens.
[13:25:21]	Chloe Cullen has spawned 'models/props/de_inferno/bed.mdl'.
[13:25:38]	Chloe Cullen has spawned 'models/props/de_inferno/bed.mdl'.
[13:25:41]	CCA.C08-UNION.i1.51023 used command '/PM feng Yep!'.
[13:25:42]	CCA.C08-UNION.i1.51023 entered observer.
[13:26:07]	CCA.C08-UNION.i5.99915 has gained 10 tokens.
[13:26:12]	dank has connected.
[13:26:17]	[ME] Andrew 'Razor' Gonzalez: would head out the door, closing it behind him.
[13:26:18]	Chloe Cullen ran 'EquipUn' on item 'Green Citizen Suit' (#13042)
[13:26:18]	[OOC] CCA.C08-UNION.i1.51023: i know that name
[13:26:42]	[ME] Feng Yi 'Eric' Hseuh: walks over, holding two rolled up sleeping bags.
[13:26:52]	Chloe Cullen has spawned 'models/props/de_inferno/bed.mdl'.
[13:27:02]	Andrew 'Razor' Gonzalez has taken 1 damage from worldspawn.
[13:27:03]	Andrew 'Razor' Gonzalez has taken 1 damage from worldspawn.
[13:27:03]	Andrew 'Razor' Gonzalez has taken 1 damage from worldspawn.
[13:27:04]	Andrew 'Razor' Gonzalez has taken 1 damage from worldspawn.
[13:27:05]	Andrew 'Razor' Gonzalez has taken 1 damage from worldspawn.
[13:27:06]	Andrew 'Razor' Gonzalez has taken 1 damage from worldspawn.
[13:27:07]	Andrew 'Razor' Gonzalez has taken 1 damage from worldspawn.
[13:27:07]	Andrew 'Razor' Gonzalez has taken 1 damage from worldspawn.
[13:27:07]	Andrew 'Razor' Gonzalez ran 'equip' on item 'Citizen Filter' (#11929)
[13:27:10]	CCA.C08-UNION.i5.99915 ran 'drop' on item 'Conscript Filter' (#12040)
[13:27:10]	CCA.C08-UNION.i5.99915 has lost a 'Conscript Filter' #12040.
[13:27:14]	[LOOC] Andrew 'Razor' Gonzalez: Ouchies
[13:27:18]	Andrew 'Razor' Gonzalez ran 'take' on item 'Conscript Filter' (#12040)
[13:27:18]	Andrew 'Razor' Gonzalez has gained a 'Conscript Filter' #12040.
[13:27:21]	CCA.C08-UNION.i1.51023 exited observer at their location.
[13:27:49]	[Y] Feng Yi 'Eric' Hseuh: Shut up camera.
[13:28:03]	CCA.C08-UNION.i1.51023 entered observer.
[13:28:14]	Feng Yi 'Eric' Hseuh ran 'EquipUn' on item 'Cyclopic Citizen Suit' (#10846)
[13:28:26]	[LOOC] CCA.C08-UNION.i1.51023: sure, ust tell me when
[13:28:40]	dank loaded the character 'John Donovan'
[13:28:51]	[LOOC] Feng Yi 'Eric' Hseuh: try the fourth one again
[13:28:59]	[LOOC] Chloe Cullen: trying to find posters.
[13:29:05]	[ME] Andrew 'Razor' Gonzalez: would take off his worn coat and uniform, rolling up his sleeves with his tattoos in almost full view.
[13:29:10]	Andrew 'Razor' Gonzalez ran 'EquipUn' on item 'Cyclopic Citizen Suit' (#13007)
[13:29:16]	[LOOC] Feng Yi 'Eric' Hseuh: that's good, ill have that one
[13:29:17]	Chloe Cullen has spawned 'models/hlvr/combine_hazardprops/combinehazardprops_warningsign.mdl'.
[13:29:20]	[LOOC] Feng Yi 'Eric' Hseuh: thank you
[13:29:26]	CCA.C08-UNION.i1.51023 used command '/CharSetSkin feng 3'.
[13:29:29]	CCA.C08-UNION.i1.51023 used command '/CharSetSkin feng 3'.
[13:29:33]	CCA.C08-UNION.i1.51023 exited observer at their location.
[13:29:34]	[OOC] CCA.C08-UNION.i5.99915: gonna be in and out of af
[13:29:35]	[LOOC] Chloe Cullen: my bed
[13:29:37]	[OOC] CCA.C08-UNION.i5.99915: k
[13:29:37]	[OOC] CCA.C08-UNION.i1.51023: welcome back dank!
[13:29:41]	[OOC] CCA.C08-UNION.i1.51023: alright
[13:29:59]	[OOC] CCA.C08-UNION.i1.51023: how's it going?
[13:30:18]	CCA.C08-UNION.i1.51023 has gained 10 tokens.
[13:30:21]	CCA.C08-UNION.i1.51023 entered observer.
[13:30:55]	Chloe Cullen has spawned 'models/props_c17/lockers001a.mdl'.
[13:30:57]	John Donovan used the 'Street Market' vendor.
[13:31:04]	[LOOC] Chloe Cullen: I cant move it
[13:31:05]	[LOOC] CCA.C08-UNION.i1.51023: oh i'll put that down for you
[13:31:07]	CCA.C08-UNION.i5.99915 has gained 10 tokens.
[13:31:14]	[LOOC] CCA.C08-UNION.i1.51023: that's because it's a storage entity
[13:31:15]	Chloe Cullen ran 'Use' on item 'Padlock' (#12913)
[13:31:32]	[ME] Andrew 'Razor' Gonzalez: would sit on the side of the bed, taking out a small metal chain with a cross being connected into it, wrapping it around his neck and tucking it inside his shirt
[13:31:36]	[LOOC] Chloe Cullen: Cna you reset the password to Burger123 please
[13:31:44]	[LOOC] Chloe Cullen: something easily remembered
[13:31:48]	[Y] John Donovan: OH FUCK!
[13:31:54]	[Y] John Donovan: THE MEXICANS ARE HERE!
[13:31:56]	[Y] John Donovan: QUICK!
[13:32:12]	[Y] Feng Yi 'Eric' Hseuh: THAT IS RACIST!
[13:32:37]	[LOOC] CCA.C08-UNION.i1.51023: alas i cannot, try writing it down on a notepad or paper
[13:32:42]	[LOOC] CCA.C08-UNION.i1.51023: and just keeping it on your person
[13:32:52]	[LOOC] Chloe Cullen: I forgot the password
[13:32:59]	[LOOC] CCA.C08-UNION.i1.51023: should still be in your console still
[13:33:10]	[LOOC] Chloe Cullen: 28753
[13:33:12]	[Y] John Donovan: CHINA BING BONG SUCKY SUCKY!
[13:33:36]	Chloe Cullen used the 'Street Market' vendor.
[13:33:38]	Chloe Cullen has lost 3 tokens.
[13:33:38]	Chloe Cullen has gained a 'Notepad' #13965.
[13:33:39]	Chloe Cullen has lost 3 tokens.
[13:33:39]	Chloe Cullen has gained a 'Notepad' #13966.
[13:33:39]	Chloe Cullen has lost 3 tokens.
[13:33:39]	Chloe Cullen has gained a 'Notepad' #13967.
[13:33:42]	Chloe Cullen has taken 1 damage from worldspawn.
[13:33:43]	Chloe Cullen has taken 1 damage from worldspawn.
[13:33:44]	Chloe Cullen has taken 1 damage from worldspawn.
[13:33:44]	Chloe Cullen has taken 1 damage from worldspawn.
[13:33:45]	Chloe Cullen has taken 1 damage from worldspawn.
[13:33:45]	Chloe Cullen ran 'Equip' on item 'Green Citizen Suit' (#13042)
[13:33:46]	Chloe Cullen ran 'Edit' on item 'Notepad' (#13965)
[13:33:52]	Chloe Cullen ran 'Edit' on item 'Notepad' (#13967)
[13:33:55]	Chloe Cullen ran 'Edit' on item 'Notepad' (#13966)
[13:33:56]	CCA.C08-UNION.i1.51023 exited observer at their location.
[13:34:05]	dank (STEAM_0:1:92343185) has disconnected.
[13:34:05]	Feng Yi 'Eric' Hseuh has taken 1 damage from worldspawn.
[13:34:06]	Feng Yi 'Eric' Hseuh has taken 1 damage from worldspawn.
[13:34:07]	Feng Yi 'Eric' Hseuh has taken 1 damage from worldspawn.
[13:34:08]	Feng Yi 'Eric' Hseuh has taken 1 damage from worldspawn.
[13:34:09]	Feng Yi 'Eric' Hseuh has taken 1 damage from worldspawn.
[13:34:09]	Feng Yi 'Eric' Hseuh has taken 1 damage from worldspawn.
[13:34:10]	Feng Yi 'Eric' Hseuh has taken 1 damage from worldspawn.
[13:34:11]	Feng Yi 'Eric' Hseuh has taken 1 damage from worldspawn.
[13:34:12]	Feng Yi 'Eric' Hseuh has taken 1 damage from worldspawn.
[13:34:12]	Feng Yi 'Eric' Hseuh has taken 1 damage from worldspawn.
[13:34:13]	Feng Yi 'Eric' Hseuh has taken 1 damage from worldspawn.
[13:34:14]	Feng Yi 'Eric' Hseuh has taken 1 damage from worldspawn.
[13:34:15]	Feng Yi 'Eric' Hseuh has taken 1 damage from worldspawn.
[13:34:15]	Feng Yi 'Eric' Hseuh has taken 1 damage from worldspawn.
[13:34:16]	Feng Yi 'Eric' Hseuh ran 'Equip' on item 'Cyclopic Citizen Suit' (#10846)
[13:34:21]	Chloe Cullen ran 'drop' on item 'Notepad' (#13967)
[13:34:21]	Chloe Cullen has lost a 'Notepad' #13967.
[13:34:25]	[OOC] CCA.C08-UNION.i1.51023: did he just leave
[13:34:34]	Feng Yi 'Eric' Hseuh ran 'View' on item 'Notepad' (#13967)
[13:34:44]	[OOC] Andrew 'Razor' Gonzalez: Yep
[13:34:55]	Feng Yi 'Eric' Hseuh used the 'Street Market' vendor.
[13:34:58]	Feng Yi 'Eric' Hseuh has lost 3 tokens.
[13:34:58]	Feng Yi 'Eric' Hseuh has gained a 'Notepad' #13968.
[13:35:04]	Feng Yi 'Eric' Hseuh ran 'Edit' on item 'Notepad' (#13968)
[13:35:07]	FB|| light ROOM has connected.
[13:35:08]	Chloe Cullen ran 'drop' on item 'Notepad' (#13966)
[13:35:08]	Chloe Cullen has lost a 'Notepad' #13966.
[13:35:18]	CCA.C08-UNION.i1.51023 has gained 10 tokens.
[13:35:18]	Andrew 'Razor' Gonzalez ran 'View' on item 'Notepad' (#13966)
[13:35:23]	Andrew 'Razor' Gonzalez ran 'View' on item 'Notepad' (#13966)
[13:35:25]	[OOC] Feng Yi 'Eric' Hseuh: should i make the item able to be picked up by others
[13:35:28]	Chloe Cullen ran 'Edit' on item 'Notepad' (#13965)
[13:35:34]	[OOC] Feng Yi 'Eric' Hseuh: the notepad with the code
[13:35:41]	[OOC] Chloe Cullen: dunno
[13:35:44]	Chloe Cullen ran 'Edit' on item 'Notepad' (#13965)
[13:35:45]	[LOOC] Andrew 'Razor' Gonzalez: got the code
[13:35:54]	Feng Yi 'Eric' Hseuh ran 'EquipUn' on item 'Cyclopic Citizen Suit' (#10846)
[13:35:58]	[ME] Andrew 'Razor' Gonzalez: would sit down fully on his bed, taking out a medium-size hard cover book, it's front cover with a yellow cross in the middle. He'd open the book to a certain page, beginning to read.
[13:36:09]	[LOOC] Feng Yi 'Eric' Hseuh: i'm gonna take some cups downstairs, brb
[13:36:11]	LynxQueen loaded the character 'Merissa Myers'
[13:36:12]	[LOOC] Feng Yi 'Eric' Hseuh: couple minutes
[13:36:22]	[OOC] CCA.C08-UNION.i1.51023: DRD is joining, 8 people WOOOT
[13:37:19]	Feng Yi 'Eric' Hseuh opened the '' #1277 container.
[13:37:21]	Feng Yi 'Eric' Hseuh closed the '' #1277 container.
[13:37:44]	FB|| light ROOM loaded the character 'Ethan King'
[13:37:45]	Ethan King entered observer.
[13:37:48]	[OOC] Ethan King: Bitch
[13:38:04]	[OOC] Ethan King: Also hi
[13:38:20]	[ME] Andrew 'Razor' Gonzalez: continues reading, humming to himself quietly.
[13:38:56]	Ethan King exited observer at their location.
[13:39:08]	Ethan King ran 'Consume' on item 'Flavored Consulate Water' (#9828)
[13:39:12]	Ethan King ran 'drop' on item 'Flavored Consulate Water' (#9828)
[13:39:12]	Ethan King has lost a 'Flavored Consulate Water' #9828.
[13:39:17]	Ethan King destroyed a 'Flavored Consulate Water' #9828.
[13:39:31]	Ethan King opened the '' #1409 container.
[13:39:34]	Ethan King closed the '' #1409 container.
[13:39:47]	[OOC] CCA.C08-UNION.i1.51023: what's up light
[13:39:55]	[OOC] Ethan King: Vibing
[13:40:18]	CCA.C08-UNION.i1.51023 has gained 10 tokens.
[13:40:27]	[ME] Andrew 'Razor' Gonzalez: would flip the page, continuing to read
