[04:54:45]	Dakoda has connected.
[13:25:20]	[ME] Alfred Langenberg: tapes his third poster the wall, corner-by-corner with his trust roll of tape.
[13:25:51]	Ryan Marnett entered observer.
[13:26:00]	Ryan Marnett exited observer at their location.
[13:26:06]	matt saton loaded the character 'CCA.C17-GRID.i3.69192'
[13:26:07]	CCA.C17-GRID.i3.69192 entered observer.
[13:26:10]	CCA.C17-GRID.i3.69192 exited observer at their location.
[13:26:23]	[ME] Alfred Langenberg: puts up a fourth poster, taping down its hatches so that it doesn't fall down in the near future. Probably easily torn off, though.
[13:26:29]	[ME] Alfred Langenberg: removes his jacket, placing it back into the void.
[13:26:31]	Alfred Langenberg ran 'EquipUn' on item 'Blue and White Coat' (#37000)
[13:26:37]	[ME] Jim Stinson: raises the cloth against the window's surface and would begin cleaning the first set of windows moving horizontally and down in repetitive motions
[13:27:04]	[ME] Alfred Langenberg: places his fifth and final poster with the group, adding to its unnecessity.
[13:27:36]	[ME] Jim Stinson: crouches down and picks up the bucket, moving it with him to the next set of windows
[13:27:50]	CCA.C14-UNION.i2.95912 has gained 10 tokens.
[13:28:25]	[ME] Jim Stinson: he places the bucket against the side of the windows, and would continue to wash them in a similar pattern with the rest 
[13:28:54]	[ME] Alfred Langenberg: holds out the roll of tape, its edge folded inwards so that the edge can be easily found in the future. But the end has to be cut off now. You can't tell if this is considerate or an asshole move.
[13:29:02]	[ME] Jim Stinson: picks up the bucket with one hand, tucking it to his side for better grip, and would then place the rag inside rincing it out swiftly
[13:29:15]	[ME] CCA.C14-UNION.i2.95912: Takes the roll of tape and slips it into his pocket.
[13:29:41]	[ME] CCA.C14-UNION.i2.95912: Takes out a PDA device and starts typing onto it.
[13:29:45]	CCA.C14-UNION.i2.95912 used command '/ViewData Alfred'.
[13:30:12]	[ME] Alfred Langenberg: scratches his nose.
[13:31:06]	CCA.C17-GRID.i3.69192 has gained 10 tokens.
[13:31:06]	[LOOC] CCA.C14-UNION.i2.95912: down*
[13:31:18]	CCA.C14-UNION.i2.95912 used command '/ViewData Alfred'.
[13:32:04]	[OOC] CCA.C17-GRID.i3.69192: i'm taking a short pbreak to add to my pac a lil
[13:32:05]	CCA.C17-GRID.i3.69192 used command '/DoorSetHidden true'.
[13:32:10]	[OOC] CCA.C17-GRID.i3.69192: and even a lil stunstick clip is badass as shit
[13:32:10]	[OOC] CCA.C14-UNION.i2.95912: Alright
[13:32:13]	[ME] Jim Stinson: he would raise the bucket he was given earlier, and offer it to the units forward, "Windows are clean, sir."
[13:32:15]	[OOC] CCA.C17-GRID.i3.69192: look
[13:32:16]	[OOC] Alfred Langenberg: me too I want to make my off-brand jefferson
[13:32:25]	[OOC] CCA.C17-GRID.i3.69192: when i have my stunstick not out, my stunstick is on my thigh
[13:32:33]	[OOC] CCA.C17-GRID.i3.69192: when i take it out
[13:32:36]	CCA.C17-GRID.i3.69192 used command '/DoorSetHidden true'.
[13:32:38]	[OOC] CCA.C17-GRID.i3.69192: boom. stunstick out
[13:32:38]	[LOOC] CCA.C14-UNION.i2.95912: I don't see it
[13:32:39]	[LOOC] CCA.C14-UNION.i2.95912: F
[13:32:41]	[OOC] CCA.C17-GRID.i3.69192: wait what
[13:32:42]	[OOC] Alfred Langenberg: ay if you need help PM me I'm a PAC-meh-ish-God
[13:32:50]	CCA.C14-UNION.i2.95912 has gained 10 tokens.
[13:32:55]	[LOOC] Alfred Langenberg: let me look
[13:32:59]	[LOOC] CCA.C17-GRID.i3.69192: you don't see a stunstick on my thigh?
[13:33:00]	[ME] CCA.C14-UNION.i2.95912: Takes the Bucket and places it down to his right.
[13:33:01]	[LOOC] Alfred Langenberg: i see it
[13:33:04]	[LOOC] CCA.C17-GRID.i3.69192: oh oaky tight
[13:33:06]	[LOOC] Alfred Langenberg: hey i got a suggestion
[13:33:09]	[LOOC] Alfred Langenberg: add a 
[13:33:09]	[LOOC] CCA.C17-GRID.i3.69192: suh
[13:33:11]	[ME] CCA.C14-UNION.i2.95912: Then takes out a PDA device.
[13:33:13]	[LOOC] Alfred Langenberg: j i g g l e b o n e
[13:33:17]	[LOOC] CCA.C17-GRID.i3.69192: holy shit yes
[13:33:18]	Jim Stinson used command '/Apply'.
[13:33:33]	[LOOC] Alfred Langenberg: I used to have the whole setup with jiggles dude
[13:33:33]	[ME] CCA.C14-UNION.i2.95912: Starts typing on the PDA device.
[13:33:37]	CCA.C14-UNION.i2.95912 used command '/ViewData Jim'.
[13:33:39]	[LOOC] Alfred Langenberg: mask on my belt, pistol, baton, backpack
[13:33:41]	[LOOC] Alfred Langenberg: shit was cash
[13:33:56]	[OOC] CCA.C17-GRID.i3.69192: never done a jiggle before, hold up
[13:34:04]	[LOOC] Alfred Langenberg: make a jiggle bone and put the model inside of it
[13:34:12]	[LOOC] Alfred Langenberg: iirc
[13:34:35]	[LOOC] Alfred Langenberg: woah
[13:34:37]	[LOOC] Alfred Langenberg: bit too slow
[13:34:40]	[LOOC] Alfred Langenberg: speed it up
[13:34:44]	[LOOC] Alfred Langenberg: it lags behind you
[13:35:30]	[LOOC] Alfred Langenberg: nice nice
[13:35:33]	FB|| light ROOM loaded the character 'CCA.C17-QrM.98240'
[13:35:38]	[LOOC] Alfred Langenberg: alright im gonna go do my thing
[13:36:06]	CCA.C17-GRID.i3.69192 has gained 10 tokens.
[13:36:10]	CCA.C17-QrM.98240 used the 'Armory' vendor.
[13:36:31]	CCA.C17-QrM.98240 has gained 0 tokens.
[13:36:31]	CCA.C17-QrM.98240 has gained a 'Green Loyalist Armband' #37721.
[13:37:37]	[ME] CCA.C17-QrM.98240: Holds out a green armband to the civvie.
[13:37:41]	CCA.C17-QrM.98240 ran 'drop' on item 'Green Loyalist Armband' (#37721)
[13:37:41]	CCA.C17-QrM.98240 has lost a 'Green Loyalist Armband' #37721.
[13:37:52]	[ME] Jim Stinson: grips the armband replacing his own
[13:37:56]	Jim Stinson ran 'EquipUn' on item 'Yellow Loyalist Armband' (#35726)
[13:37:56]	[OOC] CCA.C17-GRID.i3.69192: this is kinda cool but maybe a lil too jiggly
[13:37:56]	CCA.C17-GRID.i3.69192 entered observer.
[13:37:57]	Jim Stinson ran 'drop' on item 'Yellow Loyalist Armband' (#35726)
[13:37:57]	Jim Stinson has lost a 'Yellow Loyalist Armband' #35726.
[13:38:02]	[ME] Jim Stinson: tosses over his old armband
[13:38:03]	CCA.C17-QrM.98240 ran 'take' on item 'Yellow Loyalist Armband' (#35726)
[13:38:03]	CCA.C17-QrM.98240 has gained a 'Yellow Loyalist Armband' #35726.
[13:38:05]	CCA.C17-GRID.i3.69192 exited observer at their location.
[13:38:05]	[OOC] Alfred Langenberg: alright it's your call
[13:38:06]	Jim Stinson ran 'take' on item 'Green Loyalist Armband' (#37721)
[13:38:06]	Jim Stinson has gained a 'Green Loyalist Armband' #37721.
[13:38:13]	[OOC] CCA.C17-GRID.i3.69192: nah i just need to configure it
[13:38:18]	[ME] CCA.C17-QrM.98240: Catches it and places the armband into a small bag under his cloak.
[13:38:19]	Jim Stinson ran 'Equip' on item 'Green Loyalist Armband' (#37721)
[13:38:30]	Jim Stinson used command '/CharDesc'.
[13:38:44]	Jim Stinson used command '/CharDesc Green Armband | A middle aged male citizen standing at 5'9, wearing standard citizen attire and speaks with a North American accent | He has blue eyes and brown hair, buzz cut. | He would have a built mesomorph figure with pale skin. |'.
[13:39:09]	[OOC] CCA.C17-QrM.98240: Dilly now has 10 LP pog.
[13:39:10]	[OOC] CCA.C17-GRID.i3.69192: now it's between my legs fug
[13:39:13]	[OOC] Jim Stinson: e
[13:39:24]	[OOC] Jim Stinson: CP time reee 
[13:39:27]	[OOC] CCA.C17-QrM.98240: REEEEEEEEEEEEEEE
[13:39:32]	[OOC] CCA.C17-GRID.i3.69192: did he get his 10
[13:39:34]	CCA.C17-GRID.i3.69192 used command '/ViewData jim'.
[13:39:46]	[OOC] Alfred Langenberg: goddamnit im kleiner brb
[13:39:53]	CCA.C17-GRID.i3.69192 used command '/CharSetModel jim models/police_nemez.mdl'.
[13:40:01]	[LOOC] Jim Stinson: bruh
[13:40:02]	Methfred (STEAM_0:1:48276840) has disconnected.
[13:40:08]	[LOOC] CCA.C17-GRID.i3.69192: come hither
[13:40:21]	[LOOC] CCA.C17-GRID.i3.69192: in you go
[13:40:25]	[LOOC] Jim Stinson: I have cometh
[13:40:28]	[LOOC] CCA.C17-GRID.i3.69192: rollerino and take off your armband
[13:40:33]	CCA.C17-QrM.98240 has gained 10 tokens.
[13:40:36]	Jim Stinson ran 'EquipUn' on item 'Green Loyalist Armband' (#37721)
[13:40:37]	Jim Stinson ran 'drop' on item 'Green Loyalist Armband' (#37721)
[13:40:37]	Jim Stinson has lost a 'Green Loyalist Armband' #37721.
[13:40:42]	[LOOC] Jim Stinson: rollerino?
[13:40:45]	[LOOC] CCA.C17-GRID.i3.69192: roll 99999
[13:40:48]	FB|| light ROOM loaded the character 'CCA.C17-UNION.SqL.72633'
[13:40:53]	Jim Stinson rolled 37117 out of 99999.
[13:40:53]	Jim Stinson used command '/Roll 99999'.
[13:40:56]	[LOOC] Jim Stinson: oo
[13:41:06]	CCA.C17-GRID.i3.69192 has gained 10 tokens.
[13:41:21]	CCA.C17-GRID.i3.69192 used command '/CharSetName jim "CCA.C17-RCT.37117'.
[13:41:31]	Methfred has connected.
[13:41:32]	CCA.C17-GRID.i3.69192 used command '/CharSetName rct CCA.C17-RCT.37117'.
[13:41:40]	CCA.C17-RCT.37117 used command '/CharDesc'.
[13:41:49]	[LOOC] CCA.C17-GRID.i3.69192: i'll get around to training you at a later time, i'm taking a break from writing for a sec or two
[13:42:02]	CCA.C17-RCT.37117 used command '/CharDesc A civil protection recruit, seems in'.
[13:42:07]	[OOC] CCA.C17-RCT.37117: k
[13:42:13]	CCA.C17-RCT.37117 used command '/CharDesc'.
[13:42:28]	CCA.C17-RCT.37117 used command '/CharDesc A civil protection recruit who seems indistinguishable from his peers'.
[13:42:36]	CCA.C17-RCT.37117 used command '/CharDesc'.
[13:42:41]	[OOC] CCA.C17-UNION.SqL.72633: Gonna hop off for now
[13:42:41]	CCA.C17-RCT.37117 used command '/CharDesc A civil protection recruit who seems indistinguishable from his peers | WIP'.
[13:42:43]	[OOC] CCA.C17-UNION.SqL.72633: Sorry 
[13:42:44]	[OOC] CCA.C17-GRID.i3.69192: alright
[13:42:46]	[OOC] CCA.C17-GRID.i3.69192: you're good
[13:42:47]	FB|| light ROOM (STEAM_0:1:17219621) has disconnected.
[13:42:49]	[OOC] CCA.C17-RCT.37117: aww
[13:42:49]	[OOC] CCA.C17-GRID.i3.69192: thanks for being on-
[13:42:51]	[OOC] CCA.C17-GRID.i3.69192: f
[13:43:11]	CCA.C17-RCT.37117 used command '/CharDesc'.
[13:43:25]	CCA.C17-RCT.37117 used command '/CharDesc A Civil Protection recruit who seems indistinguishable from his peers | WIP'.
[13:43:38]	CCA.C17-RCT.37117 ran 'EquipUn' on item 'Green Beanie' (#35705)
[13:43:39]	CCA.C17-RCT.37117 ran 'EquipUn' on item 'Gloves' (#35652)
[13:43:40]	CCA.C17-RCT.37117 ran 'EquipUn' on item 'Green Shirt' (#35653)
[13:45:09]	Methfred loaded the character 'Alfred Langenberg'
[13:45:15]	[OOC] Alfred Langenberg: im back after an extra snack break
[13:45:57]	[OOC] CCA.C17-GRID.i3.69192: i wonder if i could
[13:45:59]	Dilly_ created the character 'Aldre Dorve'
[13:45:59]	Aldre Dorve has gained a 'Suitcase' #37721.
[13:45:59]	Aldre Dorve has gained a 'Relocation Coupon' #37722.
[13:46:03]	[OOC] CCA.C17-GRID.i3.69192: holy shit add aesthetic attachments to my guns
[13:46:05]	[OOC] CCA.C17-GRID.i3.69192: i won't
[13:46:06]	CCA.C17-GRID.i3.69192 has gained 10 tokens.
[13:46:08]	[OOC] CCA.C17-GRID.i3.69192: but that's possibly holy shit
[13:46:13]	[OOC] CCA.C17-RCT.37117: oo
[13:46:16]	[OOC] CCA.C17-GRID.i3.69192: ones that don't function but you can see em
[13:46:20]	[OOC] CCA.C17-GRID.i3.69192: soi you can have an HLA scope
[13:46:24]	Dilly_ loaded the character 'Aldre Dorve'
[13:46:27]	[OOC] Alfred Langenberg: Yes you can do that
[13:46:33]	[OOC] Alfred Langenberg: Even in first person though it is trickier
[13:46:36]	[OOC] CCA.C17-GRID.i3.69192: yes but thinking about it is dope
[13:47:25]	[LOOC] Alfred Langenberg: matt
[13:47:31]	[LOOC] CCA.C17-GRID.i3.69192: yuh
[13:47:31]	CCA.C17-GRID.i3.69192 entered observer.
[13:47:32]	[LOOC] Alfred Langenberg: why wont it let me load pacs again
[13:47:32]	CCA.C17-GRID.i3.69192 exited observer at their location.
[13:47:40]	[LOOC] CCA.C17-GRID.i3.69192: i don't know
[13:47:45]	[LOOC] CCA.C17-GRID.i3.69192: how'd you fix it the last time
[13:47:46]	[LOOC] Alfred Langenberg: bruh
[13:47:50]	[LOOC] Alfred Langenberg: i didnt
[13:47:53]	[LOOC] Alfred Langenberg: it just
[13:47:56]	[LOOC] Alfred Langenberg: started working
[13:48:02]	[LOOC] CCA.C17-GRID.i3.69192: try reopening the pac menu?
[13:48:21]	Dilly_ loaded the character 'Douglas Hudson'
[13:48:56]	[LOOC] Alfred Langenberg: i restarted pac and it worked
[13:49:08]	[LOOC] Alfred Langenberg: but i guess now it just automatically sets me to kleiner even if i dont modelswap
[13:49:10]	[LOOC] Alfred Langenberg: thats neat
[13:49:10]	Douglas Hudson ran 'EquipUn' on item 'Green Shirt' (#35472)
[13:49:14]	[LOOC] CCA.C17-GRID.i3.69192: fuck
[13:49:14]	Douglas Hudson ran 'Equip' on item 'Gray and Brown Coat and Sweater' (#33929)
[13:49:17]	[LOOC] CCA.C17-GRID.i3.69192: that's
[13:49:20]	[LOOC] CCA.C17-GRID.i3.69192: uhhh
[13:49:22]	[LOOC] CCA.C17-GRID.i3.69192: hm
[13:50:20]	Douglas Hudson ran 'drop' on item 'Pack of Nails' (#35701)
[13:50:20]	Douglas Hudson has lost a 'Pack of Nails' #35701.
[13:50:21]	Douglas Hudson ran 'drop' on item 'Pack of Nails' (#35687)
[13:50:21]	Douglas Hudson has lost a 'Pack of Nails' #35687.
[13:50:22]	Douglas Hudson ran 'drop' on item 'Pack of Screws' (#36188)
[13:50:22]	Douglas Hudson has lost a 'Pack of Screws' #36188.
[13:50:24]	[LOOC] CCA.C17-GRID.i3.69192: oh, yeah, does that for me too
[13:50:24]	Douglas Hudson ran 'drop' on item 'Scrap Metal' (#36109)
[13:50:24]	Douglas Hudson has lost a 'Scrap Metal' #36109.
[13:50:25]	[LOOC] CCA.C17-GRID.i3.69192: fuck
[13:50:25]	Douglas Hudson ran 'drop' on item 'AA Battery' (#35688)
[13:50:25]	Douglas Hudson has lost a 'AA Battery' #35688.
[13:50:27]	Douglas Hudson ran 'drop' on item 'Pack of Nails' (#35637)
[13:50:27]	Douglas Hudson has lost a 'Pack of Nails' #35637.
[13:50:30]	Douglas Hudson ran 'drop' on item 'Refined Metal' (#31307)
[13:50:30]	Douglas Hudson has lost a 'Refined Metal' #31307.
[13:50:40]	Douglas Hudson ran 'take' on item 'Gunpowder' (#33967)
[13:50:40]	Douglas Hudson has gained a 'Gunpowder' #33967.
[13:50:42]	Douglas Hudson ran 'take' on item 'Gunpowder' (#33954)
[13:50:42]	Douglas Hudson has gained a 'Gunpowder' #33954.
[13:50:44]	Douglas Hudson ran 'take' on item 'Gunpowder' (#33947)
[13:50:44]	Douglas Hudson has gained a 'Gunpowder' #33947.
[13:50:51]	Douglas Hudson ran 'take' on item 'Bullet Casings' (#35448)
[13:50:51]	Douglas Hudson has gained a 'Bullet Casings' #35448.
[13:51:06]	CCA.C17-GRID.i3.69192 has gained 10 tokens.
[13:51:35]	[LOOC] CCA.C17-GRID.i3.69192: uh my stunstick seems to be
[13:51:37]	[LOOC] CCA.C17-GRID.i3.69192: doing magic
[13:52:21]	Douglas Hudson ran 'take' on item 'Gunpowder' (#33953)
[13:52:21]	Douglas Hudson has gained a 'Gunpowder' #33953.
[13:52:40]	Douglas Hudson ran 'drop' on item 'Gunpowder' (#33967)
[13:52:40]	Douglas Hudson has lost a 'Gunpowder' #33967.
[13:52:41]	Douglas Hudson ran 'drop' on item 'Gunpowder' (#33954)
[13:52:41]	Douglas Hudson has lost a 'Gunpowder' #33954.
[13:52:42]	Douglas Hudson ran 'drop' on item 'Gunpowder' (#33947)
[13:52:42]	Douglas Hudson has lost a 'Gunpowder' #33947.
[13:52:43]	Douglas Hudson ran 'drop' on item 'Bullet Casings' (#35448)
[13:52:43]	Douglas Hudson has lost a 'Bullet Casings' #35448.
[13:52:44]	Douglas Hudson ran 'drop' on item 'Gunpowder' (#33953)
[13:52:44]	Douglas Hudson has lost a 'Gunpowder' #33953.
[13:52:55]	[LOOC] CCA.C17-GRID.i3.69192: which colors are what axes, do you know
[13:52:57]	[LOOC] CCA.C17-GRID.i3.69192: i mean not axes but
[13:53:00]	[LOOC] CCA.C17-GRID.i3.69192: like rotation types
[13:53:26]	[LOOC] CCA.C17-GRID.i3.69192: like it labels them?
[13:53:28]	[LOOC] CCA.C17-GRID.i3.69192: well yeah but like
[13:53:31]	[LOOC] CCA.C17-GRID.i3.69192: i don't know the names
[13:53:44]	[LOOC] CCA.C17-GRID.i3.69192: like what the blue, green, and red lines correspond to
[13:56:07]	CCA.C17-GRID.i3.69192 has gained 10 tokens.
[13:56:56]	[OOC] Douglas Hudson: brb lads
[13:56:57]	Dilly_ (STEAM_0:0:52468151) has disconnected.
[14:00:41]	CCA.C17-GRID.i3.69192 ran 'Equip' on item 'MP7' (#12861)
[14:00:42]	CCA.C17-GRID.i3.69192 ran 'Equip' on item '.9mm Pistol' (#30807)
[14:00:50]	[LOOC] CCA.C17-GRID.i3.69192: check it out
[14:00:54]	[LOOC] CCA.C17-GRID.i3.69192: SMG on my back
[14:00:57]	[ME] Alfred Langenberg: gives the Methfred seal of approval™!
[14:01:07]	CCA.C17-GRID.i3.69192 has gained 10 tokens.
[14:01:11]	[LOOC] CCA.C17-GRID.i3.69192: that's fucking dope
[14:01:13]	[LOOC] CCA.C17-GRID.i3.69192: the animation is epic
[14:01:34]	[LOOC] CCA.C17-GRID.i3.69192: both but the crab one makes it just oh so slightly better
[14:02:07]	[LOOC] CCA.C17-GRID.i3.69192: nice, nice
[14:04:01]	[OOC] CCA.C17-GRID.i3.69192: added a pistol
[14:04:11]	CCA.C17-GRID.i3.69192 used command '/ToggleRaise'.
[14:04:12]	[ME] Alfred Langenberg: gives the Methfred seal of approval™!
[14:04:12]	CCA.C17-GRID.i3.69192 used command '/ToggleRaise'.
[14:04:30]	[LOOC] CCA.C17-GRID.i3.69192: hmm what next
[14:04:40]	[LOOC] CCA.C17-GRID.i3.69192: very good
[14:05:04]	[LOOC] CCA.C17-GRID.i3.69192: it seems like it may be a little slow, can you speed it up jsuit a tad?
[14:05:09]	[LOOC] CCA.C17-GRID.i3.69192: it's only noticeable if you like
[14:05:10]	[LOOC] CCA.C17-GRID.i3.69192: look for it
[14:05:18]	[LOOC] CCA.C17-GRID.i3.69192: so if you're not super anbal it's fine
[14:05:35]	[LOOC] CCA.C17-GRID.i3.69192: nah the anim speed with the walking
[14:05:38]	[LOOC] CCA.C17-GRID.i3.69192: yeah looks good
[14:05:53]	[OOC] CCA.C17-GRID.i3.69192: lmao the fucking running
[14:06:07]	CCA.C17-GRID.i3.69192 has gained 10 tokens.
[14:06:28]	[OOC] CCA.C17-GRID.i3.69192: ah
[14:06:30]	[OOC] CCA.C17-GRID.i3.69192: nah i like it
[14:06:42]	CCA.C17-GRID.i3.69192 has spawned 'models/weapons/w_rocket_launcher.mdl'.
[14:07:23]	[LOOC] CCA.C17-GRID.i3.69192: true
[14:07:28]	[LOOC] CCA.C17-GRID.i3.69192: if you'er gonan be under a lot of spores it might fit better
[14:08:18]	CCA.C17-GRID.i3.69192 has spawned 'models/illusion/eftcontainers/sicccase.mdl'.
[14:10:53]	[OOC] CCA.C17-GRID.i3.69192: got a fuckin uh
[14:11:02]	[LOOC] CCA.C17-GRID.i3.69192: whattya call it
[14:11:05]	[LOOC] CCA.C17-GRID.i3.69192: buttpouch
[14:11:07]	CCA.C17-GRID.i3.69192 has gained 10 tokens.
[14:11:12]	[LOOC] CCA.C17-GRID.i3.69192: since i'm a gridboy
[14:11:19]	[LOOC] CCA.C17-GRID.i3.69192: danke
[14:11:24]	[LOOC] CCA.C17-GRID.i3.69192: i was considering like
[14:11:28]	[LOOC] CCA.C17-GRID.i3.69192: putting it on my upper shoulder
[14:11:33]	[LOOC] CCA.C17-GRID.i3.69192: like where the radio is type of thing
[14:11:36]	[LOOC] CCA.C17-GRID.i3.69192: but i think the back is better
[14:12:36]	[OOC] CCA.C17-GRID.i3.69192: i love how the blur is nicknamed woohoo
[14:13:24]	[LOOC] CCA.C17-GRID.i3.69192: dont' ask what's underneath
[14:13:34]	[LOOC] CCA.C17-GRID.i3.69192: just like
[14:13:38]	[LOOC] CCA.C17-GRID.i3.69192: /me takes a piss
[14:13:39]	Dilly_ has connected.
[14:13:40]	[LOOC] CCA.C17-GRID.i3.69192: change pack
[14:13:44]	[LOOC] CCA.C17-GRID.i3.69192: change pac*
[14:15:01]	Dilly_ loaded the character 'Aldre Dorve'
[14:15:22]	Dilly_ loaded the character 'Douglas Hudson'
[14:15:35]	[OOC] CCA.C17-GRID.i3.69192: the evershining light of islam has come, brother
[14:16:07]	Douglas Hudson ran 'take' on item 'Blacksmith Tongs' (#34028)
[14:16:07]	Douglas Hudson has gained a 'Blacksmith Tongs' #34028.
[14:16:07]	CCA.C17-GRID.i3.69192 has gained 10 tokens.
[14:16:11]	Douglas Hudson ran 'EquipUn' on item 'Gray and Brown Coat and Sweater' (#33929)
[14:16:12]	Douglas Hudson ran 'EquipUn' on item 'Gloves' (#35313)
[14:16:30]	Douglas Hudson ran 'take' on item 'Suitcase' (#36350)
[14:16:30]	Douglas Hudson has gained a 'Suitcase' #36350.
[14:16:30]	Douglas Hudson has gained a 'Teal and Black Coat' #33179.
[14:16:30]	Douglas Hudson has gained a 'Blue Pre-War Shirt' #35834.
[14:16:30]	Douglas Hudson has gained a 'Blue and White Coat' #31100.
[14:16:30]	Douglas Hudson has gained a 'Blue Pre-War Shirt' #35863.
[14:16:30]	Douglas Hudson has gained a 'Brown Coat and Sweater' #32985.
[14:16:39]	Douglas Hudson ran 'drop' on item 'Suitcase' (#36350)
[14:16:39]	Douglas Hudson has lost a 'Suitcase' #36350.
[14:16:39]	Douglas Hudson has lost a 'Teal and Black Coat' #33179.
[14:16:39]	Douglas Hudson has lost a 'Blue Pre-War Shirt' #35834.
[14:16:39]	Douglas Hudson has lost a 'Blue and White Coat' #31100.
[14:16:39]	Douglas Hudson has lost a 'Blue Pre-War Shirt' #35863.
[14:16:39]	Douglas Hudson has lost a 'Brown Coat and Sweater' #32985.
[14:16:42]	Douglas Hudson ran 'take' on item 'Suitcase' (#21813)
[14:16:42]	Douglas Hudson has gained a 'Suitcase' #21813.
[14:17:06]	Douglas Hudson ran 'drop' on item 'Suitcase' (#21813)
[14:17:06]	Douglas Hudson has lost a 'Suitcase' #21813.
[14:17:09]	Douglas Hudson ran 'take' on item 'Suitcase' (#35421)
[14:17:09]	Douglas Hudson has gained a 'Suitcase' #35421.
[14:17:09]	Douglas Hudson has gained a 'Cloth Scrap' #35434.
[14:17:09]	Douglas Hudson has gained a 'Blacksmith Tongs' #35447.
[14:17:09]	Douglas Hudson has gained a 'Red and Black Coat' #35423.
[14:17:09]	Douglas Hudson has gained a 'Blacksmith Tongs' #35438.
[14:17:09]	Douglas Hudson has gained a 'Cloth Scrap' #35436.
[14:17:09]	Douglas Hudson has gained a 'Blue Pre-War Shirt' #36492.
[14:17:09]	Douglas Hudson has gained a 'Cloth Scrap' #35437.
[14:17:09]	Douglas Hudson has gained a 'Paper' #35485.
[14:17:19]	Douglas Hudson ran 'drop' on item 'Suitcase' (#35421)
[14:17:19]	Douglas Hudson has lost a 'Suitcase' #35421.
[14:17:19]	Douglas Hudson has lost a 'Cloth Scrap' #35434.
[14:17:19]	Douglas Hudson has lost a 'Blacksmith Tongs' #35447.
[14:17:19]	Douglas Hudson has lost a 'Red and Black Coat' #35423.
[14:17:19]	Douglas Hudson has lost a 'Blacksmith Tongs' #35438.
[14:17:19]	Douglas Hudson has lost a 'Cloth Scrap' #35436.
[14:17:19]	Douglas Hudson has lost a 'Blue Pre-War Shirt' #36492.
[14:17:19]	Douglas Hudson has lost a 'Cloth Scrap' #35437.
[14:17:19]	Douglas Hudson has lost a 'Paper' #35485.
[14:17:28]	Douglas Hudson ran 'take' on item 'Suitcase' (#35451)
[14:17:28]	Douglas Hudson has gained a 'Suitcase' #35451.
[14:17:28]	Douglas Hudson has gained a 'Handcannon' #35446.
[14:17:28]	Douglas Hudson has gained a 'Handcannon Packing' #36299.
[14:17:28]	Douglas Hudson has gained a 'Handcannon Packing' #36298.
[14:17:29]	[OOC] CCA.C17-GRID.i3.69192: this is abusable BUT ALSO DUDE VORTIGAUNT GREEN SHIT
[14:17:36]	[OOC] CCA.C17-GRID.i3.69192: like vortigaunt magic glow
[14:17:38]	Douglas Hudson ran 'drop' on item 'Suitcase' (#35451)
[14:17:38]	Douglas Hudson has lost a 'Suitcase' #35451.
[14:17:38]	Douglas Hudson has lost a 'Handcannon' #35446.
[14:17:38]	Douglas Hudson has lost a 'Handcannon Packing' #36299.
[14:17:38]	Douglas Hudson has lost a 'Handcannon Packing' #36298.
[14:17:48]	Douglas Hudson ran 'take' on item 'Suitcase' (#36342)
[14:17:48]	Douglas Hudson has gained a 'Suitcase' #36342.
[14:17:53]	Douglas Hudson ran 'drop' on item 'Suitcase' (#36342)
[14:17:53]	Douglas Hudson has lost a 'Suitcase' #36342.
[14:18:04]	[OOC] Douglas Hudson: I've got a pretty neat vorti boi pac
[14:18:04]	[OOC] CCA.C17-GRID.i3.69192: ehh not sure how comfortable i am with that for serve rsafety
[14:18:20]	[OOC] Douglas Hudson: Most peeps have pac flags for safty n stuffs
[14:18:21]	matt saton loaded the character 'Lureh'
[14:18:22]	Lureh entered observer.
[14:18:26]	[OOC] Lureh: yeah
[14:18:31]	[OOC] Lureh: i'll keep it like this until it gets absued ernough
[14:18:33]	[OOC] Lureh: abused enough*
[14:18:34]	Lureh exited observer at their location.
[14:18:39]	[OOC] Lureh: you wanna come over?
[14:18:51]	[OOC] Douglas Hudson: ehhh nah I'm good 
[14:19:08]	[OOC] Lureh: ight
[14:19:11]	Lureh used command '/ToggleRaise'.
[14:22:25]	Douglas Hudson opened the '' #2386 container.
[14:22:27]	Douglas Hudson closed the '' #2386 container.
[14:22:28]	Douglas Hudson opened the '' #2384 container.
[14:22:30]	Douglas Hudson closed the '' #2384 container.
[14:22:30]	Douglas Hudson opened the '' #2385 container.
[14:22:32]	Douglas Hudson closed the '' #2385 container.
[14:22:33]	Douglas Hudson opened the '' #2383 container.
[14:22:34]	Douglas Hudson closed the '' #2383 container.
[14:23:15]	Lureh used command '/ToggleRaise'.
[14:23:16]	Lureh used command '/ToggleRaise'.
[14:23:22]	Lureh used command '/ToggleRaise'.
[14:23:52]	Lureh used command '/ToggleRaise'.
[14:23:53]	Lureh used command '/ToggleRaise'.
[14:23:54]	Lureh used command '/ToggleRaise'.
[14:24:00]	Douglas Hudson ran 'Equip' on item 'Gray and Brown Coat and Sweater' (#33929)
[14:24:16]	Douglas Hudson ran 'Equip' on item 'Empty Glass Bottle' (#34012)
[14:24:36]	Douglas Hudson has taken 5 damage from npc_headcrab.
[14:24:37]	Douglas Hudson has taken 5 damage from npc_headcrab.
[14:24:40]	Douglas Hudson has taken 5 damage from npc_headcrab.
