[05:11:20]	Mr.Ganar has connected.
[18:19:20]	Andrew Cloverman exited observer at their location.
[18:19:39]	matt saton loaded the character 'CCA.C17-GRID.i3.08313'
[18:19:40]	CCA.C17-GRID.i3.08313 entered observer.
[18:19:41]	CCA.C17-GRID.i3.08313 exited observer at their location.
[18:19:42]	CCA.C17-GRID.i3.08313 entered observer.
[18:19:42]	CCA.C17-GRID.i3.08313 exited observer at their location.
[18:20:34]	CCA.C17-GRID.i3.08313 used command '/ToggleRaise'.
[18:23:57]	[OOC] Jonathan Jackson: Brb bathroom real fast
[18:24:01]	CCA.C17-GRID.i3.08313 entered observer.
[18:24:02]	CCA.C17-GRID.i3.08313 exited observer at their location.
[18:24:02]	CCA.C17-GRID.i3.08313 entered observer.
[18:24:03]	CCA.C17-GRID.i3.08313 exited observer at their location.
[18:24:03]	CCA.C17-GRID.i3.08313 entered observer.
[18:24:04]	CCA.C17-GRID.i3.08313 exited observer at their location.
[18:24:05]	CCA.C17-GRID.i3.08313 entered observer.
[18:24:07]	CCA.C17-GRID.i3.08313 exited observer at their location.
[18:24:39]	CCA.C17-GRID.i3.08313 has gained 10 tokens.
[18:24:40]	CCA.C17-GRID.i3.08313 used command '/adminspawnmenu'.
[18:25:09]	CCA.C17-GRID.i3.08313 rolled 1 out of 3.
[18:25:09]	CCA.C17-GRID.i3.08313 used command '/Roll 3'.
[18:25:15]	CCA.C17-GRID.i3.08313 has gained a 'Green Shirt' #28464.
[18:25:15]	CCA.C17-GRID.i3.08313 used command '/CharGiveItem i3 green shirt'.
[18:25:20]	[OOC] Jonathan Jackson: Back
[18:25:25]	CCA.C17-GRID.i3.08313 ran 'drop' on item 'Green Shirt' (#28464)
[18:25:25]	CCA.C17-GRID.i3.08313 has lost a 'Green Shirt' #28464.
[18:25:27]	CCA.C17-GRID.i3.08313 ran 'take' on item 'Green Shirt' (#28464)
[18:25:27]	CCA.C17-GRID.i3.08313 has gained a 'Green Shirt' #28464.
[18:25:57]	CCA.C17-GRID.i3.08313 entered observer.
[18:25:58]	CCA.C17-GRID.i3.08313 exited observer at their location.
[18:26:00]	CCA.C17-GRID.i3.08313 entered observer.
[18:26:00]	CCA.C17-GRID.i3.08313 exited observer at their location.
[18:26:01]	CCA.C17-GRID.i3.08313 entered observer.
[18:26:01]	CCA.C17-GRID.i3.08313 exited observer at their location.
[18:26:05]	CCA.C17-GRID.i3.08313 entered observer.
[18:26:05]	CCA.C17-GRID.i3.08313 exited observer at their location.
[18:26:07]	CCA.C17-GRID.i3.08313 entered observer.
[18:26:09]	CCA.C17-GRID.i3.08313 exited observer at their location.
[18:26:53]	Jonathan Jackson used command '/Apply'.
[18:27:01]	CCA.C17-GRID.i3.08313 used command '/ViewData jackson'.
[18:29:09]	CCA.C17-GRID.i3.08313 ran 'drop' on item 'Green Shirt' (#28464)
[18:29:09]	CCA.C17-GRID.i3.08313 has lost a 'Green Shirt' #28464.
[18:29:37]	Jonathan Jackson ran 'take' on item 'Green Shirt' (#28464)
[18:29:37]	Jonathan Jackson has gained a 'Green Shirt' #28464.
[18:29:39]	CCA.C17-GRID.i3.08313 has gained 10 tokens.
[18:30:01]	CCA.C17-GRID.i3.08313 entered observer.
[18:31:06]	CCA.C17-GRID.i3.08313 exited observer at their location.
[18:31:06]	CCA.C17-GRID.i3.08313 entered observer.
[18:31:31]	Jonathan Jackson ran 'take' on item 'Pipe' (#25364)
[18:31:31]	Jonathan Jackson has gained a 'Pipe' #25364.
[18:31:42]	CCA.C17-GRID.i3.08313 exited observer at their location.
[18:31:43]	CCA.C17-GRID.i3.08313 entered observer.
[18:31:46]	CCA.C17-GRID.i3.08313 exited observer at their location.
[18:32:09]	CCA.C17-GRID.i3.08313 entered observer.
[18:34:39]	CCA.C17-GRID.i3.08313 has gained 10 tokens.
[18:35:00]	CCA.C17-GRID.i3.08313 exited observer at their location.
[18:35:05]	CCA.C17-GRID.i3.08313 entered observer.
[18:35:20]	CCA.C17-GRID.i3.08313 has spawned 'models/props_interiors/Furniture_Couch01a.mdl'.
[18:35:25]	[ME] Jonathan Jackson: unloads hte sofa from the box and pushes it against the wall.
[18:35:27]	[LOOC] CCA.C17-GRID.i3.08313: here good?
[18:35:32]	[LOOC] Jonathan Jackson: That's good
[18:35:51]	[LOOC] Jonathan Jackson: Thanks
[18:35:55]	[LOOC] CCA.C17-GRID.i3.08313: npnp
[18:35:56]	CCA.C17-GRID.i3.08313 exited observer at their location.
[18:35:58]	Jonathan Jackson opened the '' #2705 container.
[18:36:03]	Jonathan Jackson closed the '' #2705 container.
[18:36:04]	Jonathan Jackson opened the '' #2706 container.
[18:36:10]	Jonathan Jackson closed the '' #2706 container.
[18:36:10]	CCA.C17-GRID.i3.08313 entered observer.
[18:37:47]	Jonathan Jackson used the 'Shopkeeper' vendor.
[18:38:06]	Jonathan Jackson has lost 50 tokens.
[18:38:06]	Jonathan Jackson has gained a 'Respirator' #28465.
[18:38:22]	Jonathan Jackson ran 'EquipUn' on item 'Green Citizen Suit' (#28351)
[18:38:24]	Jonathan Jackson ran 'Equip' on item 'Respirator' (#28465)
[18:39:18]	matt saton loaded the character 'Ryan Maley'
[18:39:19]	Jonathan Jackson opened the '' #2706 container.
[18:39:19]	Ryan Maley entered observer.
[18:39:23]	Jonathan Jackson closed the '' #2706 container.
[18:39:24]	Jonathan Jackson opened the '' #2705 container.
[18:39:25]	Ryan Maley exited observer at their location.
[18:39:26]	Jonathan Jackson closed the '' #2705 container.
[18:39:27]	Jonathan Jackson opened the '' #2706 container.
[18:39:29]	Jonathan Jackson has gained a 'Bar of Soap' #24056.
[18:39:33]	Jonathan Jackson ran 'EquipUn' on item 'Respirator' (#28465)
[18:39:33]	Jonathan Jackson has taken 1 damage from worldspawn.
[18:39:33]	Jonathan Jackson has taken 1 damage from worldspawn.
[18:39:34]	Jonathan Jackson ran 'Equip' on item 'Respirator' (#28465)
[18:39:35]	Jonathan Jackson closed the '' #2706 container.
[18:39:43]	Ryan Maley ran 'EquipUn' on item 'Green Citizen Suit' (#24069)
[18:39:43]	Ryan Maley has taken 1 damage from worldspawn.
[18:39:44]	Ryan Maley has taken 1 damage from worldspawn.
[18:39:45]	Ryan Maley has taken 1 damage from worldspawn.
[18:39:45]	Ryan Maley has taken 1 damage from worldspawn.
[18:39:46]	Ryan Maley has taken 1 damage from worldspawn.
[18:39:47]	Ryan Maley ran 'Equip' on item 'Green Citizen Suit' (#24069)
[18:39:53]	Ryan Maley has spawned a 'Entity [2024][ix_airvent]'.
[18:39:59]	Ryan Maley ran 'EquipUn' on item 'Green Citizen Suit' (#24069)
[18:48:08]	Ryan Maley has taken 1 damage from worldspawn.
[18:48:09]	Ryan Maley has taken 1 damage from worldspawn.
[18:48:09]	Ryan Maley has taken 1 damage from worldspawn.
[18:48:10]	Ryan Maley has taken 1 damage from worldspawn.
[18:48:11]	Ryan Maley has taken 1 damage from worldspawn.
[18:48:12]	Ryan Maley has taken 1 damage from worldspawn.
[18:48:12]	Ryan Maley has taken 1 damage from worldspawn.
[18:48:13]	Ryan Maley has taken 1 damage from worldspawn.
[18:48:14]	Ryan Maley has taken 1 damage from worldspawn.
[18:48:15]	Ryan Maley ran 'Equip' on item 'Green Citizen Suit' (#24069)
[18:59:46]	[ME] Ryan Maley: would pull a zip tie out of his pocket.
[19:00:16]	[LOOC] Ryan Maley: brb
[19:00:20]	[LOOC] Jonathan Jackson: sure
[19:02:25]	[LOOC] Ryan Maley: back
[19:06:32]	Jonathan Jackson ran 'Equip' on item 'Green Citizen Suit' (#28351)
[19:08:17]	[ME] Ryan Maley: would gulp
[19:08:27]	[ME] Ryan Maley: would repeat something to himself quickly and somewhat quietly.
[19:09:06]	Ryan Maley has taken 2 damage from worldspawn.
[19:09:10]	[LOOC] Ryan Maley: WHORE
[19:10:26]	Ryan Maley ran 'take' on item 'Empty Paint Can' (#25389)
[19:10:26]	Ryan Maley has gained a 'Empty Paint Can' #25389.
[19:10:30]	Ryan Maley ran 'take' on item 'Pack of Nails' (#28447)
[19:10:30]	Ryan Maley has gained a 'Pack of Nails' #28447.
[19:10:47]	Ryan Maley has gained a 'Capacitors' #28466.
[19:11:11]	Jonathan Jackson has gained a 'A Roll of Toilet Paper' #28467.
[19:11:54]	Jonathan Jackson has gained a 'Old Newspaper' #28468.
[19:12:04]	Jonathan Jackson ran 'drop' on item 'Old Newspaper' (#28468)
[19:12:04]	Jonathan Jackson has lost a 'Old Newspaper' #28468.
[19:13:08]	Jonathan Jackson has gained a 'Broken LCD Monitor' #28469.
[19:13:11]	Jonathan Jackson ran 'drop' on item 'Broken LCD Monitor' (#28469)
[19:13:11]	Jonathan Jackson has lost a 'Broken LCD Monitor' #28469.
[19:13:12]	Ryan Maley has gained a 'Piece of Plexiglass' #28470.
[19:15:01]	Ryan Maley used command '/ToggleRaise'.
[19:15:04]	Ryan Maley used command '/ToggleRaise'.
[19:16:43]	Ryan Maley ran 'take' on item 'Nylon Cord' (#28387)
[19:16:43]	Ryan Maley has gained a 'Nylon Cord' #28387.
[19:16:53]	Jonathan Jackson has gained a 'Scrap Electronics' #28471.
[19:17:04]	Ryan Maley has taken 10 damage from npc_zombie.
[19:17:23]	Ryan Maley ran 'take' on item 'Bar of Soap' (#27812)
[19:17:23]	Ryan Maley has gained a 'Bar of Soap' #27812.
[19:17:44]	Ryan Maley rolled 61 (54 + 7) out of 100 on Intelligence.
[19:17:44]	Ryan Maley used command '/RollAttribute intelligence'.
[19:18:16]	Ryan Maley has gained a 'A Roll of Toilet Paper' #28472.
[19:18:24]	Ryan Maley has taken 10 damage from npc_zombie.
[19:18:30]	Jonathan Jackson ran 'Equip' on item 'Pipe' (#25364)
[19:18:45]	Jonathan Jackson has taken 10 damage from npc_zombie.
[19:18:50]	[Y] Ryan Maley: Nice.
[19:19:09]	Ryan Maley opened the '' #2418 container.
[19:19:11]	Ryan Maley closed the '' #2418 container.
[19:19:17]	Jonathan Jackson opened the '' #2418 container.
[19:19:20]	Jonathan Jackson closed the '' #2418 container.
[19:20:09]	Dilly_ has connected.
[19:20:15]	[OOC] Ryan Maley: LET'S FUCKING GOOOOOOOOOOOOO
[19:21:22]	Dilly_ loaded the character 'Douglas Hudson'
[19:21:37]	[OOC] Ryan Maley: DILYY
[19:21:41]	[OOC] Douglas Hudson: no it's not me
[19:21:45]	[OOC] Douglas Hudson: or is it
[19:21:46]	[OOC] Ryan Maley: damnit
[19:21:51]	[OOC] Ryan Maley: wait pain do you have your role
[19:21:55]	Anastasia Semenov has taken 2 damage from Anastasia Semenov.
[19:21:58]	[OOC] Jonathan Jackson: What role
[19:22:03]	[OOC] Douglas Hudson: yes
[19:22:10]	Anastasia Semenov has taken 2 damage from Anastasia Semenov.
[19:22:16]	[OOC] Ryan Maley: fixed
[19:22:22]	[OOC] Jonathan Jackson: Okay
[19:22:25]	Anastasia Semenov has taken 2 damage from Anastasia Semenov.
[19:22:26]	[OOC] Ryan Maley: haha you have the icon now
[19:22:30]	Ryan Maley has gained a 'Powercord' #28474.
[19:22:31]	[LOOC] Jonathan Jackson: Icon
[19:22:40]	Anastasia Semenov has taken 2 damage from Anastasia Semenov.
[19:22:55]	Anastasia Semenov has taken 2 damage from Anastasia Semenov.
[19:23:10]	Anastasia Semenov has taken 2 damage from Anastasia Semenov.
[19:23:24]	[ME] Jonathan Jackson: rotates the hatch and pulls
[19:23:25]	Anastasia Semenov has taken 2 damage from Anastasia Semenov.
[19:23:40]	Anastasia Semenov has taken 2 damage from Anastasia Semenov.
[19:23:48]	Jonathan Jackson ran 'take' on item '9mm Pistol Magazine' (#27968)
[19:23:48]	Jonathan Jackson has gained a '9mm Pistol Magazine' #27968.
[19:23:51]	Jonathan Jackson ran 'take' on item '9mm Pistol Magazine' (#28144)
[19:23:51]	Jonathan Jackson has gained a '9mm Pistol Magazine' #28144.
[19:23:52]	Jonathan Jackson ran 'take' on item '9mm Pistol Magazine' (#27923)
[19:23:52]	Jonathan Jackson has gained a '9mm Pistol Magazine' #27923.
[19:23:55]	Anastasia Semenov has taken 2 damage from Anastasia Semenov.
[19:23:57]	Ryan Maley used command '/ToggleRaise'.
[19:23:58]	Ryan Maley used command '/ToggleRaise'.
[19:24:10]	Anastasia Semenov has taken 2 damage from Anastasia Semenov.
[19:24:22]	[OOC] Douglas Hudson: addons go brrr
[19:24:25]	Dilly_ (STEAM_0:0:52468151) has disconnected.
[19:24:25]	Anastasia Semenov has taken 2 damage from Anastasia Semenov.
[19:24:25]	Anastasia Semenov has killed Anastasia Semenov.
[19:24:40]	Jonathan Jackson ran 'take' on item 'Reinforced Padlock' (#28132)
[19:24:40]	Jonathan Jackson has gained a 'Reinforced Padlock' #28132.
[19:24:42]	Jonathan Jackson ran 'take' on item 'Padlock' (#27944)
[19:24:42]	Jonathan Jackson has gained a 'Padlock' #27944.
[19:24:43]	Jonathan Jackson ran 'take' on item 'Padlock' (#28077)
[19:24:43]	Jonathan Jackson has gained a 'Padlock' #28077.
[19:25:14]	Ryan Maley ran 'drop' on item 'Piece of Plexiglass' (#28470)
[19:25:14]	Ryan Maley has lost a 'Piece of Plexiglass' #28470.
[19:25:14]	Ryan Maley ran 'drop' on item 'Capacitors' (#28466)
[19:25:14]	Ryan Maley has lost a 'Capacitors' #28466.
[19:25:16]	Ryan Maley ran 'drop' on item 'UU Brand Corn' (#24077)
[19:25:16]	Ryan Maley has lost a 'UU Brand Corn' #24077.
[19:25:21]	Ryan Maley ran 'drop' on item 'Car Battery' (#24649)
[19:25:21]	Ryan Maley has lost a 'Car Battery' #24649.
[19:25:25]	Ryan Maley ran 'drop' on item 'Standard Grade Food Product (Egg Flavor)' (#24646)
[19:25:25]	Ryan Maley has lost a 'Standard Grade Food Product (Egg Flavor)' #24646.
[19:25:40]	Jonathan Jackson ran 'take' on item 'Citizen Filter' (#27991)
[19:25:40]	Jonathan Jackson has gained a 'Citizen Filter' #27991.
[19:25:42]	Jonathan Jackson ran 'take' on item 'Citizen Filter' (#28017)
[19:25:42]	Jonathan Jackson has gained a 'Citizen Filter' #28017.
[19:25:47]	Ryan Maley has lost 20 tokens.
[19:25:47]	Ryan Maley used command '/DropTokens 20'.
[19:25:49]	Jonathan Jackson has lost 20 tokens.
[19:25:49]	Jonathan Jackson used command '/DropTokens 20'.
[19:25:55]	Ryan Maley ran 'Equip' on item 'Pan' (#24638)
[19:26:06]	Ryan Maley opened the '' #243 container.
[19:26:16]	Ryan Maley has gained a 'Notepad' #27815.
[19:26:17]	Ryan Maley closed the '' #243 container.
[19:27:03]	Jonathan Jackson ran 'take' on item 'Resin' (#27915)
[19:27:03]	Jonathan Jackson has gained a 'Resin' #27915.
[19:27:07]	Ryan Maley rolled 48 (41 + 7) out of 100 on Intelligence.
[19:27:07]	Ryan Maley used command '/RollAttribute intelligence'.
[19:27:07]	Jonathan Jackson ran 'take' on item '9mm Pistol Magazine' (#27893)
[19:27:07]	Jonathan Jackson has gained a '9mm Pistol Magazine' #27893.
[19:27:49]	Ryan Maley ran 'drop' on item 'Duct Tape' (#24645)
[19:27:49]	Ryan Maley has lost a 'Duct Tape' #24645.
[19:27:49]	Ryan Maley has lost a 'Powercord' #28474.
[19:27:51]	Ryan Maley ran 'drop' on item 'Raw Headcrab Meat' (#27660)
[19:27:51]	Ryan Maley has lost a 'Raw Headcrab Meat' #27660.
[19:28:15]	Jonathan Jackson ran 'drop' on item 'Scrap Electronics' (#28471)
[19:28:15]	Jonathan Jackson has lost a 'Scrap Electronics' #28471.
[19:28:16]	Jonathan Jackson ran 'drop' on item 'A Roll of Toilet Paper' (#28467)
[19:28:16]	Jonathan Jackson has lost a 'A Roll of Toilet Paper' #28467.
[19:28:45]	Ryan Maley ran 'Edit' on item 'Notepad' (#27815)
[19:30:25]	Ryan Maley has taken 1 damage from worldspawn.
[19:30:26]	Ryan Maley has taken 1 damage from worldspawn.
[19:30:27]	Ryan Maley has taken 1 damage from worldspawn.
[19:30:28]	Ryan Maley has taken 1 damage from worldspawn.
[19:30:28]	Ryan Maley has taken 1 damage from worldspawn.
[19:30:29]	Ryan Maley ran 'equip' on item 'Citizen Filter' (#28397)
[19:30:44]	[ME] Ryan Maley: would unscrew his old filter and quickly, like a tactical reload, screw a new one in
[19:31:02]	Jonathan Jackson opened the '' #243 container.
[19:31:08]	Ryan Maley ran 'Edit' on item 'Notepad' (#27815)
[19:31:11]	Jonathan Jackson has gained a 'Conscript Filter' #27845.
[19:31:12]	Jonathan Jackson has gained a 'Conscript Filter' #27818.
[19:31:14]	Jonathan Jackson closed the '' #243 container.
[19:31:16]	Jonathan Jackson opened the '' #244 container.
[19:31:21]	Jonathan Jackson closed the '' #244 container.
[19:31:27]	Jonathan Jackson ran 'Consume' on item 'Standard Grade Supplements (Bread Flavor)' (#24343)
[19:31:40]	Jonathan Jackson ran 'take' on item 'Empty Combine Air Tank' (#28158)
[19:31:41]	Ryan Maley ran 'View' on item 'Notepad' (#27815)
[19:31:44]	Jonathan Jackson ran 'take' on item 'Sewing Kit' (#27934)
[19:31:44]	Jonathan Jackson has gained a 'Sewing Kit' #27934.
[19:31:48]	Ryan Maley ran 'Edit' on item 'Notepad' (#27815)
[19:31:50]	Jonathan Jackson ran 'drop' on item 'Sewing Kit' (#27934)
[19:31:50]	Jonathan Jackson has lost a 'Sewing Kit' #27934.
[19:31:54]	Jonathan Jackson ran 'take' on item 'Armor Scraps' (#27873)
[19:31:54]	Jonathan Jackson has gained a 'Armor Scraps' #27873.
[19:31:57]	Ryan Maley ran 'drop' on item 'Notepad' (#27815)
[19:31:57]	Ryan Maley has lost a 'Notepad' #27815.
[19:31:59]	Jonathan Jackson opened the '' #244 container.
[19:32:02]	Jonathan Jackson closed the '' #244 container.
[19:32:04]	Jonathan Jackson ran 'View' on item 'Notepad' (#27815)
[19:32:08]	[ME] Ryan Maley: would put a written note down on top of one of the crates
[19:32:13]	Ryan Maley opened the '' #244 container.
[19:32:13]	Ryan Maley closed the '' #244 container.
[19:32:14]	Ryan Maley opened the '' #244 container.
[19:32:21]	Jonathan Jackson opened the '' #243 container.
[19:32:21]	Jonathan Jackson closed the '' #243 container.
[19:32:24]	Ryan Maley has gained a 'Weapon Parts' #27835.
[19:32:26]	Ryan Maley closed the '' #244 container.
[19:32:26]	Jonathan Jackson opened the '' #243 container.
[19:32:27]	Jonathan Jackson closed the '' #243 container.
[19:32:49]	[ME] Jonathan Jackson: chuckles
[19:33:26]	Jonathan Jackson has taken 2 damage from Jonathan Jackson.
[19:33:37]	Jonathan Jackson opened the '' #244 container.
[19:33:41]	Jonathan Jackson has taken 2 damage from Jonathan Jackson.
[19:33:42]	Jonathan Jackson closed the '' #244 container.
[19:33:56]	Jonathan Jackson has taken 2 damage from Jonathan Jackson.
[19:33:57]	Ryan Maley has gained a 'Empty Consulate Water Can' #28475.
[19:34:00]	Ryan Maley used command '/ToggleRaise'.
[19:34:11]	Jonathan Jackson has taken 2 damage from Jonathan Jackson.
[19:34:16]	Ryan Maley has gained a 'Axe' #28476.
[19:34:26]	Jonathan Jackson has taken 2 damage from Jonathan Jackson.
[19:34:41]	Ryan Maley ran 'Equip' on item 'Axe' (#28476)
[19:34:41]	Jonathan Jackson has taken 2 damage from Jonathan Jackson.
[19:34:44]	Ryan Maley ran 'EquipUn' on item 'Pan' (#24638)
[19:34:45]	Ryan Maley ran 'Equip' on item 'Axe' (#28476)
[19:34:47]	Ryan Maley used command '/ToggleRaise'.
[19:34:56]	Jonathan Jackson has taken 2 damage from Jonathan Jackson.
[19:35:06]	Ryan Maley used command '/ToggleRaise'.
[19:35:08]	Ryan Maley used command '/ToggleRaise'.
[19:35:11]	Jonathan Jackson has taken 2 damage from Jonathan Jackson.
[19:35:21]	Ryan Maley has gained a 'Broken Clock' #28477.
[19:35:26]	Jonathan Jackson has taken 2 damage from Jonathan Jackson.
[19:35:41]	Jonathan Jackson has taken 2 damage from Jonathan Jackson.
[19:35:56]	Jonathan Jackson has taken 2 damage from Jonathan Jackson.
[19:36:11]	Jonathan Jackson has taken 2 damage from Jonathan Jackson.
[19:36:26]	Jonathan Jackson has taken 2 damage from Jonathan Jackson.
[19:36:42]	Jonathan Jackson has taken 2 damage from Jonathan Jackson.
[19:36:57]	Jonathan Jackson has taken 2 damage from Jonathan Jackson.
[19:37:12]	Jonathan Jackson has taken 2 damage from Jonathan Jackson.
[19:37:14]	Jonathan Jackson ran 'drop' on item '9mm Pistol Magazine' (#27923)
[19:37:14]	Jonathan Jackson has lost a '9mm Pistol Magazine' #27923.
[19:37:15]	Jonathan Jackson ran 'drop' on item '9mm Pistol Magazine' (#27968)
[19:37:15]	Jonathan Jackson has lost a '9mm Pistol Magazine' #27968.
[19:37:15]	Jonathan Jackson ran 'drop' on item '9mm Pistol Magazine' (#28144)
[19:37:15]	Jonathan Jackson has lost a '9mm Pistol Magazine' #28144.
[19:37:27]	Jonathan Jackson has taken 2 damage from Jonathan Jackson.
[19:37:35]	Jonathan Jackson ran 'drop' on item '9mm Pistol Magazine' (#27893)
[19:37:35]	Jonathan Jackson has lost a '9mm Pistol Magazine' #27893.
[19:37:42]	Jonathan Jackson has taken 2 damage from Jonathan Jackson.
[19:37:46]	Ryan Maley ran 'take' on item 'Geiger Counter' (#28463)
[19:37:46]	Ryan Maley has gained a 'Geiger Counter' #28463.
[19:37:57]	Jonathan Jackson has taken 2 damage from Jonathan Jackson.
[19:37:59]	Ryan Maley ran 'drop' on item 'Suitcase' (#24071)
[19:37:59]	Ryan Maley has lost a 'Suitcase' #24071.
[19:37:59]	Ryan Maley has lost a 'Standard Grade Food Product (Mushroom Flavor)' #28394.
[19:37:59]	Ryan Maley has lost a 'Geiger Counter' #28463.
[19:37:59]	Ryan Maley has lost a 'Silicone Tube' #24277.
[19:37:59]	Ryan Maley has lost a 'Standard Grade Supplements (Onion Flavor)' #28395.
[19:37:59]	Ryan Maley has lost a 'Zip Tie' #24650.
[19:38:01]	Ryan Maley ran 'take' on item 'Suitcase' (#24071)
[19:38:01]	Ryan Maley has gained a 'Suitcase' #24071.
[19:38:01]	Ryan Maley has gained a 'Standard Grade Food Product (Mushroom Flavor)' #28394.
[19:38:01]	Ryan Maley has gained a 'Geiger Counter' #28463.
[19:38:01]	Ryan Maley has gained a 'Silicone Tube' #24277.
[19:38:01]	Ryan Maley has gained a 'Standard Grade Supplements (Onion Flavor)' #28395.
[19:38:01]	Ryan Maley has gained a 'Zip Tie' #24650.
[19:38:12]	Jonathan Jackson has taken 2 damage from Jonathan Jackson.
[19:38:21]	Ryan Maley entered observer.
[19:38:24]	Ryan Maley exited observer at their location.
[19:38:24]	Ryan Maley entered observer.
[19:38:24]	Ryan Maley exited observer at their location.
[19:38:25]	Ryan Maley entered observer.
[19:38:26]	Ryan Maley exited observer at their location.
[19:38:27]	Jonathan Jackson has taken 2 damage from Jonathan Jackson.
[19:38:31]	Jonathan Jackson ran 'EquipUn' on item 'Green Citizen Suit' (#28351)
[19:38:42]	Jonathan Jackson has taken 2 damage from Jonathan Jackson.
[19:38:57]	Jonathan Jackson has taken 2 damage from Jonathan Jackson.
[19:39:12]	Jonathan Jackson has taken 2 damage from Jonathan Jackson.
[19:39:19]	Jonathan Jackson ran 'Consume' on item 'Consulate Water' (#28453)
[19:39:26]	Jonathan Jackson ran 'Consume' on item 'Standard Grade Supplements (Mushroom Flavor)' (#28452)
[19:39:29]	Jonathan Jackson ran 'Consume' on item 'Standard Grade Food Product (Mushroom Flavor)' (#28451)
[19:39:37]	Jonathan Jackson opened the '' #2706 container.
[19:39:40]	Jonathan Jackson ran 'Consume' on item 'Consulate Water' (#28371)
[19:39:54]	Jonathan Jackson ran 'Consume' on item 'Standard Grade Supplements (Egg Flavor)' (#28370)
[19:39:57]	Jonathan Jackson closed the '' #2706 container.
[19:40:02]	Jonathan Jackson opened the '' #2705 container.
[19:40:06]	Jonathan Jackson closed the '' #2705 container.
[19:40:08]	Jonathan Jackson opened the '' #2706 container.
[19:40:16]	Jonathan Jackson closed the '' #2706 container.
[19:40:23]	Ryan Maley has spawned a 'Entity [847][ix_airvent]'.
[19:40:50]	Jonathan Jackson opened the '' #2705 container.
[19:40:55]	Jonathan Jackson closed the '' #2705 container.
[19:40:57]	Jonathan Jackson opened the '' #2706 container.
[19:41:04]	Jonathan Jackson closed the '' #2706 container.
[19:41:17]	Jonathan Jackson opened the '' #2706 container.
[19:41:22]	Jonathan Jackson closed the '' #2706 container.
[19:41:23]	Jonathan Jackson opened the '' #2705 container.
[19:41:30]	Jonathan Jackson closed the '' #2705 container.
[19:42:18]	Jonathan Jackson opened the '' #2705 container.
[19:42:20]	Jonathan Jackson closed the '' #2705 container.
[19:44:17]	Jonathan Jackson ran 'drop' on item 'Bar of Soap' (#24056)
[19:44:17]	Jonathan Jackson has lost a 'Bar of Soap' #24056.
[19:44:57]	Ryan Maley ran 'drop' on item 'Axe' (#28476)
[19:44:57]	Ryan Maley has lost a 'Axe' #28476.
[19:45:13]	Jonathan Jackson ran 'Equip' on item 'Green Citizen Suit' (#28351)
[19:45:55]	Jonathan Jackson opened the 'Reinforced Padlocked ' #235 container.
[19:46:04]	Ryan Maley has gained a 'Empty Consulate Water Can' #28478.
[19:46:04]	Jonathan Jackson ran 'drop' on item 'Cloth Scrap' (#24433)
[19:46:05]	Jonathan Jackson ran 'drop' on item 'Cloth Scrap' (#24789)
[19:46:06]	Jonathan Jackson ran 'drop' on item 'Raw Headcrab Meat' (#26612)
[19:46:08]	Jonathan Jackson ran 'drop' on item 'Scrap Electronics' (#28373)
[19:46:17]	Jonathan Jackson closed the 'Reinforced Padlocked ' #235 container.
[19:46:27]	Jonathan Jackson opened the 'Reinforced Padlocked ' #235 container.
[19:46:31]	Jonathan Jackson closed the 'Reinforced Padlocked ' #235 container.
[19:46:48]	Jonathan Jackson ran 'take' on item '9mm Pistol Magazine' (#28144)
[19:46:48]	Jonathan Jackson has gained a '9mm Pistol Magazine' #28144.
[19:46:49]	Jonathan Jackson ran 'take' on item '9mm Pistol Magazine' (#27968)
[19:46:49]	Jonathan Jackson has gained a '9mm Pistol Magazine' #27968.
[19:46:52]	Jonathan Jackson ran 'take' on item '9mm Pistol Magazine' (#27923)
[19:46:52]	Jonathan Jackson has gained a '9mm Pistol Magazine' #27923.
[19:46:56]	Jonathan Jackson opened the 'Reinforced Padlocked ' #235 container.
[19:46:56]	Jonathan Jackson closed the 'Reinforced Padlocked ' #235 container.
[19:46:57]	Jonathan Jackson opened the 'Reinforced Padlocked ' #235 container.
[19:46:57]	Jonathan Jackson closed the 'Reinforced Padlocked ' #235 container.
[19:46:58]	Jonathan Jackson opened the 'Reinforced Padlocked ' #235 container.
[19:47:06]	Jonathan Jackson closed the 'Reinforced Padlocked ' #235 container.
[19:47:19]	Jonathan Jackson ran 'take' on item '9mm Pistol Magazine' (#27893)
[19:47:19]	Jonathan Jackson has gained a '9mm Pistol Magazine' #27893.
[19:47:39]	Jonathan Jackson opened the 'Reinforced Padlocked ' #235 container.
[19:47:44]	Jonathan Jackson ran 'drop' on item 'Bolts' (#26141)
[19:47:45]	Jonathan Jackson closed the 'Reinforced Padlocked ' #235 container.
[19:47:49]	Jonathan Jackson opened the 'Reinforced Padlocked ' #235 container.
[19:48:04]	Jonathan Jackson closed the 'Reinforced Padlocked ' #235 container.
[19:49:27]	Jonathan Jackson ran 'EquipUn' on item 'Green Citizen Suit' (#28351)
[19:50:22]	[OOC] Jonathan Jackson: brb
[19:52:22]	Ryan Maley entered observer.
[19:52:30]	Ryan Maley has spawned a 'Entity [847][ix_airvent]'.
[19:52:41]	Ryan Maley exited observer at their location.
[19:53:42]	Ryan Maley ran 'Edit' on item 'Notepad' (#28281)
[19:55:22]	Ryan Maley entered observer.
