[00:20:16]	PS64 has connected.
[23:13:20]	CCA.C08-HELIX.i2.58841 has lost a 'Charred Metal' #9107.
[23:13:20]	CCA.C08-HELIX.i2.58841 has gained a 'Scrap Metal' #9123.
[23:13:20]	CCA.C08-HELIX.i2.58841 has lost a 'Charred Metal' #9100.
[23:13:20]	CCA.C08-HELIX.i2.58841 has lost a 'Charred Metal' #9090.
[23:13:20]	CCA.C08-HELIX.i2.58841 has gained a 'Scrap Metal' #9124.
[23:13:22]	CCA.C08-HELIX.i2.58841 ran 'take' on item 'Charred Metal' (#9086)
[23:13:22]	CCA.C08-HELIX.i2.58841 has gained a 'Charred Metal' #9086.
[23:13:23]	CCA.C08-HELIX.i2.58841 ran 'take' on item 'Charred Metal' (#9089)
[23:13:27]	CCA.C08-HELIX.i2.58841 ran 'drop' on item 'Scrap Metal' (#9123)
[23:13:27]	CCA.C08-HELIX.i2.58841 has lost a 'Scrap Metal' #9123.
[23:13:28]	CCA.C08-HELIX.i2.58841 ran 'take' on item 'Charred Metal' (#9087)
[23:13:28]	CCA.C08-HELIX.i2.58841 has gained a 'Charred Metal' #9087.
[23:13:32]	CCA.C08-HELIX.i2.58841 has lost a 'Charred Metal' #9087.
[23:13:36]	CCA.C08-HELIX.i2.58841 ran 'take' on item 'Scrap Metal' (#9123)
[23:13:36]	CCA.C08-HELIX.i2.58841 has gained a 'Scrap Metal' #9123.
[23:13:49]	CCA.C08-GRID.i4.69192 has gained a 'Empty Combine Air Tank' #9125.
[23:13:49]	CCA.C08-GRID.i4.69192 used command '/CharGiveItem grid empty combine air tank'.
[23:13:52]	CCA.C08-GRID.i4.69192 has gained a 'Empty Combine Air Tank' #9126.
[23:13:52]	CCA.C08-GRID.i4.69192 used command '/CharGiveItem grid empty combine air tank'.
[23:13:55]	CCA.C08-GRID.i4.69192 ran 'drop' on item 'Empty Combine Air Tank' (#9126)
[23:13:55]	CCA.C08-GRID.i4.69192 has lost a 'Empty Combine Air Tank' #9126.
[23:13:56]	CCA.C08-GRID.i4.69192 ran 'drop' on item 'Empty Combine Air Tank' (#9125)
[23:13:56]	CCA.C08-GRID.i4.69192 has lost a 'Empty Combine Air Tank' #9125.
[23:13:58]	CCA.C08-GRID.i4.69192 ran 'drop' on item 'Percocet 20mg' (#6934)
[23:13:58]	CCA.C08-GRID.i4.69192 has lost a 'Percocet 20mg' #6934.
[23:13:59]	CCA.C08-GRID.i4.69192 ran 'drop' on item 'Combine Hazmat Worker Outfit' (#7150)
[23:13:59]	CCA.C08-GRID.i4.69192 has lost a 'Combine Hazmat Worker Outfit' #7150.
[23:13:59]	CCA.C08-GRID.i4.69192 ran 'drop' on item 'Combine Hazmat Worker Outfit' (#8378)
[23:13:59]	CCA.C08-GRID.i4.69192 has lost a 'Combine Hazmat Worker Outfit' #8378.
[23:14:00]	CCA.C08-GRID.i4.69192 ran 'drop' on item 'Scrap Metal' (#9118)
[23:14:00]	CCA.C08-GRID.i4.69192 has lost a 'Scrap Metal' #9118.
[23:14:00]	CCA.C08-HELIX.i2.58841 ran 'drop' on item 'Charred Metal' (#9086)
[23:14:00]	CCA.C08-HELIX.i2.58841 has lost a 'Charred Metal' #9086.
[23:14:00]	CCA.C08-GRID.i4.69192 ran 'drop' on item 'Paper' (#6952)
[23:14:00]	CCA.C08-GRID.i4.69192 has lost a 'Paper' #6952.
[23:14:01]	CCA.C08-GRID.i4.69192 ran 'drop' on item 'Blacksmith Tongs' (#9085)
[23:14:01]	CCA.C08-GRID.i4.69192 has lost a 'Blacksmith Tongs' #9085.
[23:14:02]	CCA.C08-GRID.i4.69192 ran 'drop' on item 'Reclaimed Metal' (#9121)
[23:14:02]	CCA.C08-GRID.i4.69192 has lost a 'Reclaimed Metal' #9121.
[23:14:02]	CCA.C08-GRID.i4.69192 ran 'drop' on item 'Allen Wrench' (#6941)
[23:14:02]	CCA.C08-GRID.i4.69192 has lost a 'Allen Wrench' #6941.
[23:14:03]	CCA.C08-GRID.i4.69192 ran 'drop' on item 'Nails' (#6936)
[23:14:03]	CCA.C08-GRID.i4.69192 has lost a 'Nails' #6936.
[23:14:04]	CCA.C08-GRID.i4.69192 ran 'drop' on item 'Wrench' (#6950)
[23:14:04]	CCA.C08-GRID.i4.69192 has lost a 'Wrench' #6950.
[23:14:05]	CCA.C08-GRID.i4.69192 ran 'drop' on item '9mm Pistol Bullets' (#6947)
[23:14:05]	CCA.C08-GRID.i4.69192 has lost a '9mm Pistol Bullets' #6947.
[23:14:06]	CCA.C08-GRID.i4.69192 ran 'drop' on item 'Melon' (#6951)
[23:14:06]	CCA.C08-GRID.i4.69192 has lost a 'Melon' #6951.
[23:14:07]	CCA.C08-GRID.i4.69192 ran 'drop' on item 'Melon' (#6953)
[23:14:07]	CCA.C08-GRID.i4.69192 has lost a 'Melon' #6953.
[23:14:11]	CCA.C08-GRID.i4.69192 ran 'drop' on item 'Sparkling Breen's Water' (#7139)
[23:14:11]	CCA.C08-GRID.i4.69192 has lost a 'Sparkling Breen's Water' #7139.
[23:14:15]	CCA.C08-GRID.i4.69192 used command '/ToggleRaise'.
[23:14:21]	CCA.C08-HELIX.i2.58841 ran 'drop' on item 'Scrap Metal' (#9123)
[23:14:21]	CCA.C08-HELIX.i2.58841 has lost a 'Scrap Metal' #9123.
[23:14:22]	CCA.C08-HELIX.i2.58841 ran 'drop' on item 'Scrap Metal' (#9124)
[23:14:22]	CCA.C08-HELIX.i2.58841 has lost a 'Scrap Metal' #9124.
[23:14:23]	CCA.C08-HELIX.i2.58841 ran 'drop' on item 'Reclaimed Metal' (#9122)
[23:14:23]	CCA.C08-HELIX.i2.58841 has lost a 'Reclaimed Metal' #9122.
[23:14:24]	CCA.C08-HELIX.i2.58841 ran 'drop' on item 'Charred Metal' (#9106)
[23:14:24]	CCA.C08-HELIX.i2.58841 has lost a 'Charred Metal' #9106.
[23:14:25]	CCA.C08-HELIX.i2.58841 ran 'drop' on item 'Reclaimed Metal' (#9120)
[23:14:25]	CCA.C08-HELIX.i2.58841 has lost a 'Reclaimed Metal' #9120.
[23:14:27]	CCA.C08-HELIX.i2.58841 ran 'drop' on item 'Charred Metal' (#9093)
[23:14:27]	CCA.C08-HELIX.i2.58841 has lost a 'Charred Metal' #9093.
[23:14:39]	CCA.C08-GRID.i4.69192 used command '/ToggleRaise'.
[23:14:44]	CCA.C08-GRID.i4.69192 destroyed a 'Combine Hazmat Worker Outfit' #7150.
[23:14:44]	CCA.C08-GRID.i4.69192 destroyed a 'Nails' #6936.
[23:14:44]	CCA.C08-GRID.i4.69192 destroyed a 'Combine Hazmat Worker Outfit' #8378.
[23:14:44]	CCA.C08-GRID.i4.69192 destroyed a 'Paper' #6952.
[23:14:44]	CCA.C08-GRID.i4.69192 destroyed a 'Blacksmith Tongs' #9085.
[23:14:44]	CCA.C08-GRID.i4.69192 destroyed a 'Allen Wrench' #6941.
[23:14:44]	CCA.C08-GRID.i4.69192 destroyed a 'Wrench' #6950.
[23:14:44]	CCA.C08-GRID.i4.69192 destroyed a 'Reclaimed Metal' #9122.
[23:14:44]	CCA.C08-GRID.i4.69192 destroyed a 'Charred Metal' #9106.
[23:14:44]	CCA.C08-GRID.i4.69192 destroyed a 'Reclaimed Metal' #9120.
[23:14:44]	CCA.C08-GRID.i4.69192 destroyed a 'Charred Metal' #9093.
[23:14:44]	CCA.C08-GRID.i4.69192 destroyed a '9mm Pistol Bullets' #6947.
[23:14:44]	CCA.C08-GRID.i4.69192 destroyed a 'Melon' #6953.
[23:14:44]	CCA.C08-GRID.i4.69192 destroyed a 'Sparkling Breen's Water' #7139.
[23:14:44]	CCA.C08-GRID.i4.69192 destroyed a 'Charred Metal' #9086.
[23:14:44]	CCA.C08-GRID.i4.69192 destroyed a 'Scrap Metal' #9123.
[23:14:44]	CCA.C08-GRID.i4.69192 destroyed a 'Scrap Metal' #9124.
[23:14:44]	CCA.C08-GRID.i4.69192 destroyed a 'Melon' #6951.
[23:14:44]	CCA.C08-GRID.i4.69192 destroyed a 'Scrap Metal' #9118.
[23:14:44]	CCA.C08-HELIX.i2.58841 has taken 2 damage from CCA.C08-GRID.i4.69192.
[23:14:44]	CCA.C08-GRID.i4.69192 destroyed a 'Empty Combine Air Tank' #9125.
[23:14:45]	CCA.C08-GRID.i4.69192 destroyed a 'Empty Combine Air Tank' #9126.
[23:14:45]	CCA.C08-GRID.i4.69192 destroyed a 'Reclaimed Metal' #9121.
[23:14:45]	CCA.C08-HELIX.i2.58841 has taken 2 damage from CCA.C08-GRID.i4.69192.
[23:14:53]	CCA.C08-GRID.i4.69192 used command '/ToggleRaise'.
[23:14:55]	CCA.C08-GRID.i4.69192 destroyed a 'Percocet 20mg' #6934.
[23:15:04]	CCA.C08-GRID.i4.69192 has gained a 'Empty Combine Air Tank' #9103.
[23:15:04]	CCA.C08-GRID.i4.69192 used command '/CharGiveItem grid empty combine air tank'.
[23:15:05]	CCA.C08-GRID.i4.69192 has gained a 'Empty Combine Air Tank' #9104.
[23:15:05]	CCA.C08-GRID.i4.69192 used command '/CharGiveItem grid empty combine air tank'.
[23:15:05]	CCA.C08-GRID.i4.69192 has gained a 'Empty Combine Air Tank' #9105.
[23:15:05]	CCA.C08-GRID.i4.69192 used command '/CharGiveItem grid empty combine air tank'.
[23:15:06]	CCA.C08-GRID.i4.69192 has gained a 'Empty Combine Air Tank' #9106.
[23:15:06]	CCA.C08-GRID.i4.69192 used command '/CharGiveItem grid empty combine air tank'.
[23:15:07]	CCA.C08-GRID.i4.69192 has gained a 'Empty Combine Air Tank' #9107.
[23:15:07]	CCA.C08-GRID.i4.69192 used command '/CharGiveItem grid empty combine air tank'.
[23:15:08]	CCA.C08-GRID.i4.69192 has gained a 'Empty Combine Air Tank' #9108.
[23:15:08]	CCA.C08-GRID.i4.69192 used command '/CharGiveItem grid empty combine air tank'.
[23:15:10]	Ollie Garner loaded the character 'Normal Parasitic'
[23:15:16]	Ollie Garner loaded the character 'CCA.C08-HELIX.i2.58841'
[23:15:20]	CCA.C08-GRID.i4.69192 used command '/ToggleRaise'.
[23:15:23]	CCA.C08-GRID.i4.69192 entered observer.
[23:15:25]	CCA.C08-GRID.i4.69192 exited observer at their location.
[23:15:32]	CCA.C08-HELIX.i2.58841 opened the '' #1222 container.
[23:15:34]	CCA.C08-HELIX.i2.58841 closed the '' #1222 container.
[23:15:35]	CCA.C08-GRID.i4.69192 ran 'drop' on item 'Empty Combine Air Tank' (#9105)
[23:15:35]	CCA.C08-GRID.i4.69192 has lost a 'Empty Combine Air Tank' #9105.
[23:15:35]	CCA.C08-HELIX.i2.58841 opened the '' #1025 container.
[23:15:36]	CCA.C08-GRID.i4.69192 ran 'drop' on item 'Empty Combine Air Tank' (#9107)
[23:15:36]	CCA.C08-GRID.i4.69192 has lost a 'Empty Combine Air Tank' #9107.
[23:15:37]	CCA.C08-HELIX.i2.58841 has gained a 'Health Vial' #7772.
[23:15:38]	CCA.C08-HELIX.i2.58841 has gained a 'Health Vial' #8987.
[23:15:38]	CCA.C08-HELIX.i2.58841 has gained a 'Health Kit' #8651.
[23:15:40]	CCA.C08-HELIX.i2.58841 has gained a 'Empty Jar' #7092.
[23:15:40]	CCA.C08-HELIX.i2.58841 closed the '' #1025 container.
[23:15:49]	CCA.C08-GRID.i4.69192 has gained 10 tokens.
[23:15:52]	CCA.C08-HELIX.i2.58841 ran 'take' on item 'Empty Combine Air Tank' (#9105)
[23:16:20]	CCA.C08-GRID.i4.69192 used command '/ToggleRaise'.
[23:16:28]	Ollie Garner created the character 'Literally Shit At Engineering'
[23:16:28]	Literally Shit At Engineering has gained a 'Suitcase' #9109.
[23:16:29]	CCA.C08-GRID.i4.69192 entered observer.
[23:16:31]	CCA.C08-GRID.i4.69192 exited observer at their location.
[23:16:32]	Ollie Garner loaded the character 'Literally Shit At Engineering'
[23:16:35]	Literally Shit At Engineering entered observer.
[23:16:42]	Literally Shit At Engineering exited observer at their location.
[23:16:46]	CCA.C08-GRID.i4.69192 used command '/CharSetName shit Yugi Boyt'.
[23:16:51]	CCA.C08-GRID.i4.69192 used command '/CharSetName yugi Yugi Boy'.
[23:16:59]	Yugi Boy ran 'take' on item 'Empty Combine Air Tank' (#9107)
[23:16:59]	Yugi Boy has gained a 'Empty Combine Air Tank' #9107.
[23:17:08]	Yugi Boy has lost a 'Empty Combine Air Tank' #9107.
[23:17:08]	Yugi Boy has gained a 'Combine Air Tank' #9110.
[23:17:22]	CCA.C08-GRID.i4.69192 ran 'drop' on item 'Empty Combine Air Tank' (#9106)
[23:17:22]	CCA.C08-GRID.i4.69192 has lost a 'Empty Combine Air Tank' #9106.
[23:17:24]	Yugi Boy ran 'take' on item 'Empty Combine Air Tank' (#9106)
[23:17:24]	Yugi Boy has gained a 'Empty Combine Air Tank' #9106.
[23:17:28]	Yugi Boy has lost a 'Empty Combine Air Tank' #9106.
[23:17:28]	Yugi Boy has gained a 'Combine Air Tank' #9111.
[23:17:28]	Yugi Boy has taken 195 damage from Yugi Boy.
[23:17:28]	Yugi Boy has killed Yugi Boy.
[23:18:19]	Yugi Boy ran 'drop' on item 'Combine Air Tank' (#9111)
[23:18:19]	Yugi Boy has lost a 'Combine Air Tank' #9111.
[23:18:24]	Yugi Boy destroyed a 'Combine Air Tank' #9111.
[23:18:33]	FB|| light ROOM has connected.
[23:18:39]	CCA.C08-GRID.i4.69192 used command '/ToggleRaise'.
[23:18:43]	CCA.C08-GRID.i4.69192 used command '/ToggleRaise'.
[23:18:46]	Yugi Boy has killed Yugi Boy.
[23:18:49]	CCA.C08-GRID.i4.69192 used command '/ToggleRaise'.
[23:18:56]	Yugi Boy has taken 60 damage from weapon_barnacle.
[23:18:56]	Yugi Boy has taken 60 damage from weapon_barnacle.
[23:18:56]	weapon_barnacle has killed Yugi Boy.
[23:19:00]	CCA.C08-GRID.i4.69192 entered observer.
[23:19:01]	FB|| light ROOM loaded the character 'CCA.C08-UNION.i5.98240 [X]'
[23:19:03]	Ollie Garner loaded the character 'CCA.C08-HELIX.i2.58841'
[23:19:03]	CCA.C08-GRID.i4.69192 exited observer at their location.
[23:19:14]	CCA.C08-HELIX.i2.58841 ran 'drop' on item 'Blacksmith Tongs' (#9084)
[23:19:14]	CCA.C08-HELIX.i2.58841 has lost a 'Blacksmith Tongs' #9084.
[23:19:15]	CCA.C08-GRID.i4.69192 used command '/ToggleRaise'.
[23:19:18]	CCA.C08-GRID.i4.69192 used command '/ToggleRaise'.
[23:19:20]	CCA.C08-UNION.i5.98240 [X] has taken 5 damage from CCA.C08-GRID.i4.69192.
[23:19:25]	CCA.C08-HELIX.i2.58841 destroyed a 'Empty Combine Air Tank' #9105.
[23:19:32]	CCA.C08-GRID.i4.69192 used command '/ToggleRaise'.
[23:19:36]	[LOOC] CCA.C08-UNION.i5.98240 [X]: This is fuckin sweet
[23:19:45]	CCA.C08-UNION.i5.98240 [X] has taken 5 damage from CCA.C08-GRID.i4.69192.
[23:19:48]	[LOOC] CCA.C08-UNION.i5.98240 [X]: Oof
[23:19:57]	CCA.C08-GRID.i4.69192 used command '/ToggleRaise'.
[23:20:17]	CCA.C08-GRID.i4.69192 used command '/ToggleRaise'.
[23:20:24]	CCA.C08-HELIX.i2.58841 has taken 60 damage from weapon_barnacle.
[23:20:25]	CCA.C08-HELIX.i2.58841 has taken 60 damage from weapon_barnacle.
[23:20:25]	CCA.C08-HELIX.i2.58841 has taken 60 damage from weapon_barnacle.
[23:20:26]	CCA.C08-HELIX.i2.58841 entered observer.
[23:20:32]	CCA.C08-HELIX.i2.58841 exited observer at their location.
[23:20:36]	CCA.C08-GRID.i4.69192 used command '/ToggleRaise'.
[23:20:40]	CCA.C08-GRID.i4.69192 used command '/ToggleRaise'.
[23:20:43]	CCA.C08-GRID.i4.69192 used command '/ToggleRaise'.
[23:20:45]	CCA.C08-HELIX.i2.58841 ran 'Apply' on item 'Health Kit' (#8651)
[23:20:46]	CCA.C08-HELIX.i2.58841 ran 'Apply' on item 'Health Vial' (#7772)
[23:20:46]	CCA.C08-HELIX.i2.58841 ran 'Apply' on item 'Health Vial' (#8987)
[23:20:49]	CCA.C08-GRID.i4.69192 has gained 10 tokens.
[23:20:57]	CCA.C08-HELIX.i2.58841 entered observer.
[23:21:06]	CCA.C08-GRID.i4.69192 used command '/ToggleRaise'.
[23:21:07]	[LOOC] CCA.C08-UNION.i5.98240 [X]: Fuckin cool
[23:21:09]	CCA.C08-GRID.i4.69192 used command '/ToggleRaise'.
[23:21:24]	CCA.C08-UNION.i5.98240 [X] ran 'take' on item 'Charred Metal' (#9092)
[23:21:24]	CCA.C08-UNION.i5.98240 [X] has gained a 'Charred Metal' #9092.
[23:21:25]	CCA.C08-UNION.i5.98240 [X] ran 'take' on item 'Charred Metal' (#9101)
[23:21:25]	CCA.C08-UNION.i5.98240 [X] has gained a 'Charred Metal' #9101.
[23:21:27]	CCA.C08-UNION.i5.98240 [X] ran 'take' on item 'Charred Metal' (#9089)
[23:21:27]	CCA.C08-UNION.i5.98240 [X] has gained a 'Charred Metal' #9089.
[23:21:33]	CCA.C08-GRID.i4.69192 used command '/ToggleRaise'.
[23:21:34]	CCA.C08-UNION.i5.98240 [X] ran 'take' on item 'Blacksmith Tongs' (#9084)
[23:21:35]	CCA.C08-UNION.i5.98240 [X] ran 'take' on item 'Blacksmith Tongs' (#9084)
[23:21:45]	[LOOC] CCA.C08-UNION.i5.98240 [X]: Shit not enough space
[23:21:50]	CCA.C08-GRID.i4.69192 used command '/ToggleRaise'.
[23:21:53]	CCA.C08-UNION.i5.98240 [X] has taken 10 damage from monster_alien_snark.
[23:21:53]	CCA.C08-UNION.i5.98240 [X] ran 'use' on item '9mm Pistol Bullets' (#8847)
[23:21:54]	CCA.C08-UNION.i5.98240 [X] ran 'use' on item '9mm Pistol Bullets' (#8846)
[23:21:54]	CCA.C08-UNION.i5.98240 [X] has taken 10 damage from monster_alien_snark.
[23:21:56]	CCA.C08-UNION.i5.98240 [X] has taken 10 damage from monster_alien_snark.
[23:21:57]	CCA.C08-UNION.i5.98240 [X] has taken 10 damage from monster_alien_snark.
[23:21:58]	CCA.C08-GRID.i4.69192 used command '/ToggleRaise'.
[23:21:58]	CCA.C08-UNION.i5.98240 [X] has taken 10 damage from monster_alien_snark.
[23:21:59]	CCA.C08-UNION.i5.98240 [X] has taken 5 damage from monster_alien_snark.
[23:22:17]	[LOOC] CCA.C08-UNION.i5.98240 [X]: I try to keep Exactly three Slots
[23:22:23]	[LOOC] CCA.C08-UNION.i5.98240 [X]: Open
[23:22:27]	CCA.C08-UNION.i5.98240 [X] ran 'use' on item '9mm Pistol Bullets' (#8834)
[23:22:27]	CCA.C08-GRID.i4.69192 used command '/ToggleRaise'.
[23:22:29]	CCA.C08-HELIX.i2.58841 exited observer at their location.
[23:22:33]	CCA.C08-HELIX.i2.58841 ran 'drop' on item 'UU Brand Cigarette Pack' (#7568)
[23:22:33]	CCA.C08-HELIX.i2.58841 has lost a 'UU Brand Cigarette Pack' #7568.
[23:22:34]	CCA.C08-HELIX.i2.58841 ran 'drop' on item 'UU Brand Cigarette Pack' (#7569)
[23:22:34]	CCA.C08-HELIX.i2.58841 has lost a 'UU Brand Cigarette Pack' #7569.
[23:22:35]	CCA.C08-GRID.i4.69192 used command '/ToggleRaise'.
[23:22:35]	CCA.C08-HELIX.i2.58841 ran 'drop' on item 'UU Brand Cigarette Pack' (#7572)
[23:22:35]	CCA.C08-HELIX.i2.58841 has lost a 'UU Brand Cigarette Pack' #7572.
[23:22:36]	CCA.C08-HELIX.i2.58841 ran 'drop' on item 'UU Brand Cigarette Pack' (#7385)
[23:22:36]	CCA.C08-HELIX.i2.58841 has lost a 'UU Brand Cigarette Pack' #7385.
[23:22:37]	CCA.C08-GRID.i4.69192 used command '/ToggleRaise'.
[23:22:37]	CCA.C08-HELIX.i2.58841 ran 'drop' on item 'UU Brand Cigarette Pack' (#7571)
[23:22:37]	CCA.C08-HELIX.i2.58841 has lost a 'UU Brand Cigarette Pack' #7571.
[23:22:38]	CCA.C08-HELIX.i2.58841 ran 'drop' on item 'UU Brand Cigarette Pack' (#7570)
[23:22:38]	CCA.C08-HELIX.i2.58841 has lost a 'UU Brand Cigarette Pack' #7570.
[23:22:41]	CCA.C08-GRID.i4.69192 used command '/ToggleRaise'.
[23:22:42]	CCA.C08-UNION.i5.98240 [X] ran 'take' on item 'Charred Metal' (#6985)
[23:22:42]	CCA.C08-UNION.i5.98240 [X] has gained a 'Charred Metal' #6985.
[23:22:43]	CCA.C08-GRID.i4.69192 used command '/ToggleRaise'.
[23:22:43]	CCA.C08-HELIX.i2.58841 ran 'drop' on item 'Suitcase' (#8245)
[23:22:43]	CCA.C08-HELIX.i2.58841 has lost a 'Suitcase' #8245.
[23:22:43]	CCA.C08-HELIX.i2.58841 has lost a 'Charred Metal' #9090.
[23:22:43]	CCA.C08-UNION.i5.98240 [X] ran 'take' on item 'Charred Metal' (#9088)
[23:22:43]	CCA.C08-UNION.i5.98240 [X] has gained a 'Charred Metal' #9088.
[23:22:45]	CCA.C08-UNION.i5.98240 [X] ran 'take' on item 'Charred Metal' (#9102)
[23:22:45]	CCA.C08-UNION.i5.98240 [X] has gained a 'Charred Metal' #9102.
[23:22:46]	CCA.C08-HELIX.i2.58841 destroyed a 'Suitcase' #8245.
[23:22:48]	Zapper has connected.
[23:22:59]	CCA.C08-GRID.i4.69192 used command '/ToggleRaise'.
[23:23:00]	CCA.C08-HELIX.i2.58841 used command '/adminspawnmenu'.
[23:23:04]	CCA.C08-GRID.i4.69192 destroyed a 'UU Brand Cigarette Pack' #7568.
[23:23:04]	CCA.C08-GRID.i4.69192 destroyed a 'UU Brand Cigarette Pack' #7569.
[23:23:04]	CCA.C08-GRID.i4.69192 destroyed a 'UU Brand Cigarette Pack' #7570.
[23:23:04]	CCA.C08-GRID.i4.69192 destroyed a 'UU Brand Cigarette Pack' #7571.
[23:23:04]	CCA.C08-GRID.i4.69192 destroyed a 'UU Brand Cigarette Pack' #7385.
[23:23:04]	CCA.C08-GRID.i4.69192 destroyed a 'UU Brand Cigarette Pack' #7572.
[23:23:08]	[LOOC] CCA.C08-UNION.i5.98240 [X]: I'm gonna start keeping six slots free.
[23:23:20]	CCA.C08-HELIX.i2.58841 used command '/adminspawnmenu'.
[23:23:28]	CCA.C08-HELIX.i2.58841 used command '/adminspawnmenu'.
[23:23:35]	CCA.C08-GRID.i4.69192 used command '/ToggleRaise'.
[23:23:38]	CCA.C08-HELIX.i2.58841 has taken 60 damage from weapon_barnacle.
[23:23:38]	CCA.C08-HELIX.i2.58841 entered observer.
[23:23:43]	CCA.C08-HELIX.i2.58841 exited observer at their location.
[23:23:43]	CCA.C08-HELIX.i2.58841 has taken 60 damage from weapon_barnacle.
[23:23:51]	CCA.C08-GRID.i4.69192 entered observer.
[23:23:53]	CCA.C08-GRID.i4.69192 exited observer at their location.
[23:23:54]	CCA.C08-HELIX.i2.58841 used command '/adminspawnmenu'.
[23:23:55]	CCA.C08-HELIX.i2.58841 entered observer.
[23:23:58]	CCA.C08-HELIX.i2.58841 exited observer at their location.
[23:24:01]	CCA.C08-UNION.i5.98240 [X] has gained 10 tokens.
[23:24:03]	CCA.C08-HELIX.i2.58841 used command '/adminspawnmenu'.
[23:24:03]	CCA.C08-HELIX.i2.58841 has gained 10 tokens.
[23:24:07]	CCA.C08-GRID.i4.69192 entered observer.
[23:24:07]	CCA.C08-GRID.i4.69192 exited observer at their location.
[23:24:08]	CCA.C08-GRID.i4.69192 entered observer.
[23:24:08]	CCA.C08-GRID.i4.69192 exited observer at their location.
[23:24:08]	CCA.C08-GRID.i4.69192 entered observer.
[23:24:13]	CCA.C08-GRID.i4.69192 exited observer at their location.
[23:24:14]	CCA.C08-GRID.i4.69192 entered observer.
[23:24:14]	CCA.C08-HELIX.i2.58841 has spawned "Suitcase"
[23:24:14]	CCA.C08-GRID.i4.69192 exited observer at their location.
[23:24:14]	FB|| light ROOM (STEAM_0:1:17219621) has disconnected (timed out).
[23:24:15]	CCA.C08-HELIX.i2.58841 ran 'take' on item 'Suitcase' (#9111)
[23:24:15]	CCA.C08-HELIX.i2.58841 has gained a 'Suitcase' #9111.
[23:24:16]	CCA.C08-HELIX.i2.58841 entered observer.
[23:24:20]	CCA.C08-GRID.i4.69192 entered observer.
[23:24:21]	CCA.C08-GRID.i4.69192 exited observer at their location.
[23:24:21]	CCA.C08-GRID.i4.69192 entered observer.
[23:24:22]	CCA.C08-GRID.i4.69192 exited observer at their location.
[23:24:23]	CCA.C08-GRID.i4.69192 entered observer.
[23:24:24]	CCA.C08-HELIX.i2.58841 exited observer at their location.
[23:24:29]	CCA.C08-HELIX.i2.58841 used command '/adminspawnmenu'.
[23:24:32]	CCA.C08-HELIX.i2.58841 has spawned "UU Brand Cigarette Pack"
[23:24:33]	CCA.C08-HELIX.i2.58841 has spawned "UU Brand Cigarette Pack"
[23:24:34]	CCA.C08-GRID.i4.69192 exited observer at their location.
[23:24:39]	CCA.C08-HELIX.i2.58841 ran 'take' on item 'UU Brand Cigarette Pack' (#9113)
[23:24:39]	CCA.C08-HELIX.i2.58841 has gained a 'UU Brand Cigarette Pack' #9113.
[23:24:40]	CCA.C08-HELIX.i2.58841 ran 'View' on item 'UU Brand Cigarette Pack' (#9112)
[23:24:40]	CCA.C08-GRID.i4.69192 entered observer.
[23:24:41]	CCA.C08-GRID.i4.69192 exited observer at their location.
[23:24:41]	CCA.C08-HELIX.i2.58841 ran 'take' on item 'UU Brand Cigarette Pack' (#9112)
[23:24:41]	CCA.C08-HELIX.i2.58841 has gained a 'UU Brand Cigarette Pack' #9112.
[23:24:55]	CCA.C08-HELIX.i2.58841 entered observer.
[23:25:00]	CCA.C08-HELIX.i2.58841 exited observer at their location.
[23:25:04]	CCA.C08-HELIX.i2.58841 used command '/adminspawnmenu'.
[23:25:07]	CCA.C08-GRID.i4.69192 has spawned a 'NPC [413][monster_babyheadcrab]'.
[23:25:10]	CCA.C08-HELIX.i2.58841 has spawned "UU Brand Cigarette Pack"
[23:25:10]	CCA.C08-GRID.i4.69192 has spawned a 'NPC [416][monster_head_crab]'.
[23:25:10]	CCA.C08-HELIX.i2.58841 has spawned "UU Brand Cigarette Pack"
[23:25:11]	CCA.C08-HELIX.i2.58841 has spawned "UU Brand Cigarette Pack"
[23:25:11]	CCA.C08-HELIX.i2.58841 has spawned "UU Brand Cigarette Pack"
[23:25:14]	CCA.C08-HELIX.i2.58841 ran 'take' on item 'UU Brand Cigarette Pack' (#9116)
[23:25:14]	CCA.C08-HELIX.i2.58841 has gained a 'UU Brand Cigarette Pack' #9116.
[23:25:14]	CCA.C08-GRID.i4.69192 has taken 12 damage from monster_head_crab.
[23:25:16]	CCA.C08-HELIX.i2.58841 ran 'take' on item 'UU Brand Cigarette Pack' (#9114)
[23:25:16]	CCA.C08-HELIX.i2.58841 has gained a 'UU Brand Cigarette Pack' #9114.
[23:25:16]	CCA.C08-GRID.i4.69192 has taken 12 damage from monster_head_crab.
[23:25:16]	CCA.C08-GRID.i4.69192 entered observer.
[23:25:17]	CCA.C08-HELIX.i2.58841 ran 'take' on item 'UU Brand Cigarette Pack' (#9115)
[23:25:17]	CCA.C08-HELIX.i2.58841 has gained a 'UU Brand Cigarette Pack' #9115.
[23:25:19]	CCA.C08-GRID.i4.69192 exited observer at their location.
[23:25:19]	CCA.C08-HELIX.i2.58841 ran 'take' on item 'UU Brand Cigarette Pack' (#9117)
[23:25:19]	CCA.C08-HELIX.i2.58841 has gained a 'UU Brand Cigarette Pack' #9117.
[23:25:19]	FB|| light ROOM has connected.
[23:25:23]	CCA.C08-GRID.i4.69192 has spawned a 'NPC [420][npc_headcrab]'.
