[13:58:40]	OsoPonderoso has connected.
[18:09:55]	Sam Andrew Reeves closed the '' #1256 container.
[18:11:33]	Sam Andrew Reeves has taken 5 damage from npc_headcrab_fast.
[18:12:15]	Sam Andrew Reeves has taken 15 damage from npc_barnacle.
[18:12:17]	Sam Andrew Reeves has taken 15 damage from npc_barnacle.
[18:12:18]	Sam Andrew Reeves has taken 15 damage from npc_barnacle.
[18:12:18]	npc_barnacle has killed Sam Andrew Reeves.
[18:17:34]	Nihilanth created the character 'the the'
[18:17:34]	the the has gained a 'Suitcase' #12528.
[18:17:34]	the the has gained a 'Relocation Coupon' #12529.
[18:17:34]	the the has gained a 'Green Citizen Suit' #12530.
[18:17:34]	the the has gained a 'Citizen Filter' #12531.
[18:17:39]	Nihilanth loaded the character 'the the'
[18:17:45]	the the has taken 250 damage from trigger_hurt.
[18:17:45]	trigger_hurt has killed the the.
[18:18:04]	the the ran 'Equip' on item 'Green Citizen Suit' (#12530)
[18:18:08]	the the has taken 250 damage from trigger_hurt.
[18:18:08]	trigger_hurt has killed the the.
[18:18:41]	the the has taken 1 damage from worldspawn.
[18:18:41]	the the ran 'drop' on item 'Green Citizen Suit' (#12530)
[18:18:41]	the the has lost a 'Green Citizen Suit' #12530.
[18:18:42]	the the has taken 1 damage from worldspawn.
[18:18:43]	the the ran 'drop' on item 'Suitcase' (#12528)
[18:18:43]	the the has lost a 'Suitcase' #12528.
[18:18:43]	the the has taken 1 damage from worldspawn.
[18:18:43]	the the has taken 1 damage from worldspawn.
[18:18:44]	the the has taken 1 damage from worldspawn.
[18:18:45]	the the has taken 1 damage from worldspawn.
[18:18:46]	the the has taken 1 damage from worldspawn.
[18:18:46]	the the has taken 1 damage from worldspawn.
[18:18:47]	the the has taken 1 damage from worldspawn.
[18:18:48]	the the has taken 1 damage from worldspawn.
[18:18:48]	Nihilanth (STEAM_0:0:159680127) deleted character 'the the'
[18:18:51]	Nihilanth loaded the character 'Sam Andrew Reeves'
[18:18:56]	Sam Andrew Reeves has taken 250 damage from trigger_hurt.
[18:18:56]	trigger_hurt has killed Sam Andrew Reeves.
[18:23:51]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:23:51]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:23:52]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:23:53]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:23:54]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:23:54]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:23:55]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:23:56]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:23:57]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:23:57]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:23:58]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:23:59]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:24:00]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:24:01]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:24:01]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:24:02]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:24:03]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:24:04]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:24:04]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:24:05]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:24:06]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:24:06]	Sam Andrew Reeves ran 'EquipUn' on item 'Green Citizen Suit' (#12519)
[18:24:07]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:24:07]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:24:08]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:24:09]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:24:10]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:24:10]	Sam Andrew Reeves ran 'Equip' on item 'Green Citizen Suit' (#12519)
[18:24:10]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:24:11]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:24:12]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:24:13]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:24:13]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:24:14]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:24:15]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:25:16]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:25:16]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:25:17]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:25:18]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:25:19]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:25:19]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:25:20]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:25:21]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:25:22]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:25:22]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:25:23]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:25:24]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:25:25]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:25:26]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:25:26]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:25:27]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:25:28]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:25:29]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:25:29]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:25:30]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:26:31]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:26:32]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:26:32]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:26:33]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:26:34]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:26:35]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:26:35]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:26:36]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:26:37]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:26:38]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:26:38]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:26:39]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:26:40]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:26:46]	Sam Andrew Reeves ran 'Consume' on item 'Flavored Consulate Water' (#12520)
[18:27:10]	Nihilanth created the character '.......'
[18:27:10]	....... has gained a 'Suitcase' #12531.
[18:27:10]	....... has gained a 'Relocation Coupon' #12532.
[18:27:10]	....... has gained a 'Green Citizen Suit' #12533.
[18:27:10]	....... has gained a 'Citizen Filter' #12534.
[18:27:21]	Nihilanth loaded the character '.......'
[18:27:30]	....... ran 'Equip' on item 'Green Citizen Suit' (#12533)
[18:27:31]	....... ran 'drop' on item 'Citizen Filter' (#12534)
[18:27:31]	....... has lost a 'Citizen Filter' #12534.
[18:27:35]	....... ran 'equip' on item 'Citizen Filter' (#12534)
[18:28:08]	....... ran 'drop' on item 'Suitcase' (#12531)
[18:28:08]	....... has lost a 'Suitcase' #12531.
[18:28:09]	....... ran 'EquipUn' on item 'Green Citizen Suit' (#12533)
[18:28:12]	....... ran 'drop' on item 'Green Citizen Suit' (#12533)
[18:28:12]	....... has lost a 'Green Citizen Suit' #12533.
[18:28:18]	Nihilanth loaded the character 'Sam Andrew Reeves'
[18:32:41]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:32:41]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:32:42]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:32:43]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:32:44]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:32:44]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:32:45]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:32:46]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:32:47]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:32:48]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:32:48]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:32:49]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:32:50]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:32:51]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:32:51]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:32:51]	Sam Andrew Reeves opened the '' #1268 container.
[18:32:52]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:32:53]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:32:54]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:32:54]	Sam Andrew Reeves closed the '' #1268 container.
[18:32:54]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:32:55]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:32:56]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:32:57]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:32:57]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:32:58]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:32:59]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:33:00]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:33:00]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:33:01]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:33:02]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:33:03]	Sam Andrew Reeves has taken 1 damage from worldspawn.
[18:33:44]	Nihilanth (STEAM_0:0:159680127) has disconnected.
[19:03:01]	Andrew525600 has connected.
[19:05:04]	Andrew525600 (STEAM_0:0:542069339) has disconnected.
[23:14:31]	scientist has connected.
[23:20:37]	scientist created the character 'john'
[23:20:37]	john has gained a 'Suitcase' #12535.
[23:20:37]	john has gained a 'Relocation Coupon' #12536.
[23:20:37]	john has gained a 'Green Citizen Suit' #12537.
[23:20:37]	john has gained a 'Citizen Filter' #12538.
[23:20:37]	scientist loaded the character 'john'
[23:21:21]	john has taken 250 damage from trigger_hurt.
[23:21:21]	trigger_hurt has killed john.
[23:21:34]	john has taken 250 damage from trigger_hurt.
[23:21:34]	trigger_hurt has killed john.
[23:21:52]	john has taken 250 damage from trigger_hurt.
[23:21:52]	trigger_hurt has killed john.
[23:22:37]	john has taken 1 damage from worldspawn.
[23:22:38]	john has taken 1 damage from worldspawn.
[23:22:39]	john has taken 1 damage from worldspawn.
[23:22:40]	john has taken 1 damage from worldspawn.
[23:22:40]	john has taken 1 damage from worldspawn.
[23:22:41]	john has taken 1 damage from worldspawn.
[23:22:42]	john has taken 1 damage from worldspawn.
[23:22:43]	john has taken 1 damage from worldspawn.
[23:22:43]	john has taken 1 damage from worldspawn.
[23:22:44]	john has taken 250 damage from trigger_hurt.
[23:22:44]	trigger_hurt has killed john.
[23:23:45]	scientist (STEAM_0:1:22324926) has disconnected.
