[04:20:12]	Avi has connected.
[15:07:32]	[IT] CCA.C08-GRID.i4.69192: You splintered the wood. It's a bit weaker, and closer to being off.
[15:07:41]	[OOC] Alexei Stravolsky: ok big bruh time
[15:07:55]	Justin Bail ran 'drop' on item 'Battered Scrap' (#6629)
[15:07:55]	Justin Bail has lost a 'Battered Scrap' #6629.
[15:08:07]	Justin Bail ran 'drop' on item 'Rock' (#6633)
[15:08:07]	Justin Bail has lost a 'Rock' #6633.
[15:08:09]	Justin Bail ran 'drop' on item 'Battered Scrap' (#6630)
[15:08:09]	Justin Bail has lost a 'Battered Scrap' #6630.
[15:08:10]	Justin Bail ran 'drop' on item 'Old Syringe' (#6638)
[15:08:10]	Justin Bail has lost a 'Old Syringe' #6638.
[15:08:12]	Justin Bail ran 'drop' on item 'Nails' (#6631)
[15:08:12]	Justin Bail has lost a 'Nails' #6631.
[15:08:12]	[ME] Ethan King: Holds it out.
[15:08:13]	Justin Bail ran 'drop' on item 'Pipe' (#6636)
[15:08:13]	Justin Bail has lost a 'Pipe' #6636.
[15:08:16]	[OOC] Alexei Stravolsky: ok im gonna roll str again
[15:08:25]	Justin Bail ran 'take' on item 'Pipe' (#6636)
[15:08:25]	Justin Bail has gained a 'Pipe' #6636.
[15:08:26]	CCA.C08-GRID.i4.69192 has gained 10 tokens.
[15:08:31]	[OOC] CCA.C08-GRID.i4.69192: ight
[15:08:32]	Alexei Stravolsky used command '/RollStat str'.
[15:08:40]	[OOC] Alexei Stravolsky: ethan is holding the radio against the leg so its like
[15:08:50]	[OOC] Alexei Stravolsky: /ooc idk
[15:08:56]	[OOC] Alexei Stravolsky: im not fucking smort
[15:08:57]	[LOOC] Ethan King: This is BIG BRAIN TIME
[15:09:05]	[LOOC] Alexei Stravolsky: we are Big Brain People
[15:09:08]	[LOOC] CCA.C08-GRID.i4.69192: this is the epitome of pea brain
[15:09:09]	Ethan King ran 'take' on item 'Battered Scrap' (#6629)
[15:09:09]	Ethan King has gained a 'Battered Scrap' #6629.
[15:09:11]	Ethan King ran 'take' on item 'Battered Scrap' (#6630)
[15:09:11]	Ethan King has gained a 'Battered Scrap' #6630.
[15:09:12]	Justin Bail ran 'take' on item 'Old Syringe' (#6638)
[15:09:12]	Justin Bail has gained a 'Old Syringe' #6638.
[15:09:20]	[LOOC] Alexei Stravolsky: IM TRYING JUSTIN IS JUST FUCKING SMACKING THE FLOOR
[15:09:37]	[LOOC] CCA.C08-GRID.i4.69192: you could search around the city in the various stuff and roll to see waht stuff you find but like okay
[15:09:40]	[LOOC] CCA.C08-GRID.i4.69192: this works too
[15:09:49]	[OOC] Justin Bail: yes it dose q
[15:09:57]	[OOC] Alexei Stravolsky: oh yeah lets go through the L o c k e d D o o r with no tools to break the L o c k e d D o o r
[15:10:01]	[Y] Jimmy 'Watcher 3' John: Look through warehouses and try to make tools or something!
[15:10:18]	[ME] Justin Bail: grabs metal pipe
[15:10:19]	CCA.C08-GRID.i4.69192 used command '/adminspawnmenu'.
[15:10:24]	CCA.C08-GRID.i4.69192 has spawned "Scrap Screwdriver"
[15:10:25]	[ME] Justin Bail: goes ape shit on floor
[15:10:27]	CCA.C08-GRID.i4.69192 has spawned "Rope"
[15:10:27]	CCA.C08-GRID.i4.69192 has spawned "Rope"
[15:10:32]	Justin Bail used command '/RollStat str'.
[15:10:33]	CCA.C08-GRID.i4.69192 exited observer at their location.
[15:10:33]	[Y] Jimmy 'Watcher 3' John: YOU IDIOT! GO TO A FUCKING WAREHOUSE.
[15:10:34]	[OOC] Alexei Stravolsky: justin is a fucking gorilla
[15:10:38]	CCA.C08-GRID.i4.69192 used command '/adminspawnmenu'.
[15:10:42]	CCA.C08-GRID.i4.69192 has spawned "Nails"
[15:10:46]	Justin Bail rolled 1 out of 10.
[15:10:46]	Justin Bail used command '/Roll 10'.
[15:10:49]	Ethan King ran 'drop' on item 'Battered Scrap' (#6629)
[15:10:49]	Ethan King has lost a 'Battered Scrap' #6629.
[15:10:49]	Ethan King ran 'drop' on item 'Battered Scrap' (#6630)
[15:10:50]	Ethan King has lost a 'Battered Scrap' #6630.
[15:10:50]	[LOOC] Alexei Stravolsky: NO IT DOESNT WORK YOU FUCKING IDIOT
[15:10:56]	CCA.C08-GRID.i4.69192 has gained a 'Nails' #6859.
[15:10:56]	CCA.C08-GRID.i4.69192 used command '/CharGiveItem grid nails'.
[15:10:57]	CCA.C08-GRID.i4.69192 has gained a 'Nails' #6860.
[15:10:57]	CCA.C08-GRID.i4.69192 has gained a 'Nails' #6861.
[15:10:57]	CCA.C08-GRID.i4.69192 has gained a 'Nails' #6862.
[15:10:57]	CCA.C08-GRID.i4.69192 has gained a 'Nails' #6863.
[15:10:58]	CCA.C08-GRID.i4.69192 used command '/CharGiveItem grid nails 4'.
[15:11:00]	CCA.C08-GRID.i4.69192 ran 'drop' on item 'Nails' (#6862)
[15:11:00]	CCA.C08-GRID.i4.69192 has lost a 'Nails' #6862.
[15:11:02]	CCA.C08-GRID.i4.69192 ran 'drop' on item 'Nails' (#6860)
[15:11:02]	CCA.C08-GRID.i4.69192 has lost a 'Nails' #6860.
[15:11:05]	CCA.C08-GRID.i4.69192 ran 'drop' on item 'Nails' (#6861)
[15:11:05]	CCA.C08-GRID.i4.69192 has lost a 'Nails' #6861.
[15:11:11]	CCA.C08-GRID.i4.69192 has gained a 'Box of Screws' #6864.
[15:11:11]	CCA.C08-GRID.i4.69192 has gained a 'Box of Screws' #6865.
[15:11:11]	CCA.C08-GRID.i4.69192 has gained a 'Box of Screws' #6866.
[15:11:11]	CCA.C08-GRID.i4.69192 has gained a 'Box of Screws' #6867.
[15:11:11]	CCA.C08-GRID.i4.69192 has gained a 'Box of Screws' #6868.
[15:11:11]	CCA.C08-GRID.i4.69192 used command '/CharGiveItem grid screws 5'.
[15:11:13]	CCA.C08-GRID.i4.69192 ran 'drop' on item 'Nails' (#6863)
[15:11:13]	CCA.C08-GRID.i4.69192 has lost a 'Nails' #6863.
[15:11:16]	CCA.C08-GRID.i4.69192 ran 'drop' on item 'Box of Screws' (#6868)
[15:11:16]	CCA.C08-GRID.i4.69192 has lost a 'Box of Screws' #6868.
[15:11:19]	CCA.C08-GRID.i4.69192 has gained a 'Charred Metal' #6869.
[15:11:19]	CCA.C08-GRID.i4.69192 used command '/CharGiveItem grid charred'.
[15:11:24]	CCA.C08-GRID.i4.69192 has gained a 'Charred Metal' #6870.
[15:11:24]	CCA.C08-GRID.i4.69192 has gained a 'Charred Metal' #6871.
[15:11:24]	CCA.C08-GRID.i4.69192 has gained a 'Charred Metal' #6872.
[15:11:24]	CCA.C08-GRID.i4.69192 has gained a 'Charred Metal' #6873.
[15:11:24]	CCA.C08-GRID.i4.69192 used command '/CharGiveItem grid charred 7'.
[15:11:25]	CCA.C08-GRID.i4.69192 entered observer.
[15:11:29]	CCA.C08-GRID.i4.69192 exited observer at their location.
[15:11:31]	CCA.C08-GRID.i4.69192 ran 'drop' on item 'Box of Screws' (#6866)
[15:11:31]	CCA.C08-GRID.i4.69192 has lost a 'Box of Screws' #6866.
[15:11:32]	CCA.C08-GRID.i4.69192 ran 'drop' on item 'Nails' (#6859)
[15:11:32]	CCA.C08-GRID.i4.69192 has lost a 'Nails' #6859.
[15:11:34]	CCA.C08-GRID.i4.69192 ran 'drop' on item 'Box of Screws' (#6867)
[15:11:34]	CCA.C08-GRID.i4.69192 has lost a 'Box of Screws' #6867.
[15:11:34]	CCA.C08-GRID.i4.69192 ran 'drop' on item 'Box of Screws' (#6864)
[15:11:34]	CCA.C08-GRID.i4.69192 has lost a 'Box of Screws' #6864.
[15:11:35]	CCA.C08-GRID.i4.69192 ran 'drop' on item 'Nails' (#4985)
[15:11:35]	CCA.C08-GRID.i4.69192 has lost a 'Nails' #4985.
[15:11:37]	CCA.C08-GRID.i4.69192 ran 'drop' on item 'Nails' (#4987)
[15:11:37]	CCA.C08-GRID.i4.69192 has lost a 'Nails' #4987.
[15:11:38]	CCA.C08-GRID.i4.69192 ran 'drop' on item 'Box of Screws' (#6865)
[15:11:38]	CCA.C08-GRID.i4.69192 has lost a 'Box of Screws' #6865.
[15:11:39]	CCA.C08-GRID.i4.69192 entered observer.
[15:11:45]	[OOC] Alexei Stravolsky: le epic
[15:11:46]	Justin Bail ran 'drop' on item 'Pipe' (#6636)
[15:11:46]	Justin Bail has lost a 'Pipe' #6636.
[15:11:48]	Justin Bail ran 'drop' on item 'Old Syringe' (#6638)
[15:11:48]	Justin Bail has lost a 'Old Syringe' #6638.
[15:11:52]	Ethan King has taken 22 damage from worldspawn.
[15:11:57]	CCA.C08-GRID.i4.69192 exited observer at their location.
[15:11:59]	CCA.C08-GRID.i4.69192 ran 'drop' on item 'Charred Metal' (#6871)
[15:11:59]	CCA.C08-GRID.i4.69192 has lost a 'Charred Metal' #6871.
[15:12:00]	CCA.C08-GRID.i4.69192 ran 'drop' on item 'Charred Metal' (#6872)
[15:12:00]	CCA.C08-GRID.i4.69192 has lost a 'Charred Metal' #6872.
[15:12:01]	CCA.C08-GRID.i4.69192 ran 'drop' on item 'Charred Metal' (#6870)
[15:12:01]	CCA.C08-GRID.i4.69192 has lost a 'Charred Metal' #6870.
[15:12:01]	CCA.C08-GRID.i4.69192 ran 'drop' on item 'Charred Metal' (#6869)
[15:12:01]	CCA.C08-GRID.i4.69192 has lost a 'Charred Metal' #6869.
[15:12:02]	CCA.C08-GRID.i4.69192 ran 'drop' on item 'Charred Metal' (#6873)
[15:12:02]	CCA.C08-GRID.i4.69192 has lost a 'Charred Metal' #6873.
[15:12:06]	[OOC] Ethan King: Can't climb ladders
[15:12:07]	CCA.C08-GRID.i4.69192 entered observer.
[15:12:10]	[OOC] Alexei Stravolsky: yes you can
[15:12:12]	CCA.C08-GRID.i4.69192 exited observer at their location.
[15:12:13]	CCA.C08-GRID.i4.69192 entered observer.
[15:12:13]	CCA.C08-GRID.i4.69192 exited observer at their location.
[15:12:19]	CCA.C08-GRID.i4.69192 entered observer.
[15:12:26]	[OOC] Alexei Stravolsky: le roll to search dumpster
[15:12:26]	[OOC] Ethan King: Oh thats just fuckin error for me
[15:12:32]	Justin Bail rolled 22 out of 100.
[15:12:32]	Justin Bail used command '/Roll 100'.
[15:12:35]	[OOC] CCA.C08-GRID.i4.69192: do you have CSS?
[15:12:40]	[OOC] Ethan King: No sadly
[15:12:42]	CCA.C08-GRID.i4.69192 used command '/ToggleRaise'.
[15:12:44]	[OOC] CCA.C08-GRID.i4.69192: ah
[15:12:46]	[OOC] Alexei Stravolsky: q fuckin
[15:12:46]	CCA.C08-GRID.i4.69192 destroyed a 'Nails' #6858.
[15:12:51]	[OOC] Alexei Stravolsky: we need to roll to search this dumpster
[15:12:51]	CCA.C08-GRID.i4.69192 destroyed a 'Charred Metal' #6871.
[15:12:51]	CCA.C08-GRID.i4.69192 destroyed a 'Charred Metal' #6870.
[15:12:51]	CCA.C08-GRID.i4.69192 destroyed a 'Charred Metal' #6873.
[15:12:52]	CCA.C08-GRID.i4.69192 destroyed a 'Charred Metal' #6872.
[15:12:53]	Ethan King opened the '' #894 container.
[15:12:56]	Ethan King closed the '' #894 container.
[15:12:56]	Ethan King opened the '' #894 container.
[15:12:56]	Ethan King closed the '' #894 container.
[15:12:59]	CCA.C08-GRID.i4.69192 exited observer at their location.
[15:13:00]	CCA.C08-GRID.i4.69192 entered observer.
[15:13:02]	Justin Bail rolled 59 out of 100.
[15:13:02]	Justin Bail used command '/Roll 100'.
[15:13:04]	Ethan King has taken 20 damage from worldspawn.
[15:13:07]	Jimmy 'Watcher 3' John opened the '' #932 container.
[15:13:09]	Jimmy 'Watcher 3' John closed the '' #932 container.
[15:13:10]	CCA.C08-GRID.i4.69192 used command '/adminspawnmenu'.
[15:13:26]	CCA.C08-GRID.i4.69192 has gained 10 tokens.
[15:13:27]	CCA.C08-GRID.i4.69192 has spawned "Small Thermos"
[15:13:27]	CCA.C08-GRID.i4.69192 has spawned "Small Cooking Pot"
[15:13:29]	CCA.C08-GRID.i4.69192 has spawned "Empty Pill Bottle"
[15:13:29]	CCA.C08-GRID.i4.69192 has spawned "Empty Pill Bottle"
[15:13:30]	Justin Bail ran 'take' on item 'Small Cooking Pot' (#6871)
[15:13:30]	Justin Bail has gained a 'Small Cooking Pot' #6871.
[15:13:33]	[OOC] Ethan King: I'm about to die because of ladders lmao
[15:13:33]	Justin Bail ran 'take' on item 'Small Thermos' (#6870)
[15:13:33]	Justin Bail has gained a 'Small Thermos' #6870.
[15:13:36]	Alexei Stravolsky ran 'take' on item 'Empty Pill Bottle' (#6872)
[15:13:36]	Alexei Stravolsky has gained a 'Empty Pill Bottle' #6872.
[15:13:44]	[OOC] CCA.C08-GRID.i4.69192: holy shit you're on the verge of death
[15:13:44]	Alexei Stravolsky ran 'take' on item 'Empty Pill Bottle' (#6873)
[15:13:44]	Alexei Stravolsky has gained a 'Empty Pill Bottle' #6873.
[15:13:54]	[OOC] CCA.C08-GRID.i4.69192: but yeah for crafting jsut say what you want to make and then we'll have you rol lfor shit
[15:14:00]	Jimmy 'Watcher 3' John exited observer at their location.
[15:14:00]	CCA.C08-GRID.i4.69192 has gained a 'High School Runner' #6874.
[15:14:00]	CCA.C08-GRID.i4.69192 used command '/CharGiveItem grid runner'.
[15:14:01]	Jimmy 'Watcher 3' John entered observer.
[15:14:02]	CCA.C08-GRID.i4.69192 has gained a 'High School Runner' #6875.
[15:14:02]	CCA.C08-GRID.i4.69192 used command '/CharGiveItem grid runner'.
[15:14:04]	[LOOC] Ethan King: the fuck you think i'm doing
[15:14:10]	CCA.C08-GRID.i4.69192 has gained a 'Cars for Dummies, Vol. 1' #6876.
[15:14:10]	CCA.C08-GRID.i4.69192 used command '/CharGiveItem grid dummies'.
[15:14:49]	[OOC] Justin Bail: where did you guys go
[15:14:54]	[OOC] CCA.C08-GRID.i4.69192: chicken
[15:14:58]	[OOC] Justin Bail: what5
[15:14:59]	[OOC] Alexei Stravolsky: who is chicken
[15:15:04]	Jimmy 'Watcher 3' John exited observer at their location.
[15:15:04]	[OOC] CCA.C08-GRID.i4.69192: justin is chicken
[15:15:05]	Jimmy 'Watcher 3' John entered observer.
[15:15:10]	[OOC] Alexei Stravolsky: i agree
[15:15:11]	[OOC] Ethan King: Be back
[15:15:15]	[OOC] CCA.C08-GRID.i4.69192: no like that's his name in discord
[15:15:16]	Justin Bail has taken 8 damage from worldspawn.
[15:15:19]	[OOC] Alexei Stravolsky: bruh
[15:15:27]	CCA.C08-GRID.i4.69192 has gained a 'Wrench' #6877.
[15:15:27]	CCA.C08-GRID.i4.69192 used command '/CharGiveItem grid wrench'.
[15:15:30]	CCA.C08-GRID.i4.69192 ran 'drop' on item 'Wrench' (#6877)
[15:15:30]	CCA.C08-GRID.i4.69192 has lost a 'Wrench' #6877.
[15:15:55]	[OOC] Alexei Stravolsky: i wish to roll to search these Lockers, for i am the biggest of brains
[15:15:56]	Justin Bail opened the '' #894 container.
[15:15:56]	Justin Bail closed the '' #894 container.
[15:15:59]	Justin Bail opened the '' #894 container.
[15:16:01]	Justin Bail closed the '' #894 container.
[15:16:04]	CCA.C08-GRID.i4.69192 exited observer at their location.
[15:16:10]	Alexei Stravolsky rolled 50 out of 100.
[15:16:10]	Alexei Stravolsky used command '/Roll'.
[15:16:14]	CCA.C08-GRID.i4.69192 has gained a 'Bandage' #6878.
[15:16:14]	CCA.C08-GRID.i4.69192 used command '/CharGiveItem grid bandage'.
[15:16:16]	CCA.C08-GRID.i4.69192 ran 'drop' on item 'Bandage' (#6878)
[15:16:16]	CCA.C08-GRID.i4.69192 has lost a 'Bandage' #6878.
[15:16:16]	CCA.C08-GRID.i4.69192 entered observer.
[15:16:20]	Alexei Stravolsky ran 'take' on item 'Bandage' (#6878)
[15:16:20]	Alexei Stravolsky has gained a 'Bandage' #6878.
[15:16:49]	[LOOC] Alexei Stravolsky: this is so fucking retarded
[15:16:51]	[OOC] CCA.C08-GRID.i4.69192: shit you said lockers plural
[15:16:56]	[OOC] Alexei Stravolsky: yeah lemme go back
[15:16:59]	[OOC] CCA.C08-GRID.i4.69192: omw bvack so you can roll the other one
[15:17:15]	[OOC] Alexei Stravolsky: ok gamer im here
[15:17:27]	[OOC] Alexei Stravolsky: you here?
[15:17:32]	[OOC] Ethan King: Just end this pain.
[15:17:34]	[OOC] CCA.C08-GRID.i4.69192: i'm  here
[15:17:37]	Alexei Stravolsky rolled 9 out of 100.
[15:17:37]	Alexei Stravolsky used command '/Roll'.
[15:17:40]	[OOC] Alexei Stravolsky: OOF
[15:17:47]	CCA.C08-GRID.i4.69192 has gained a 'Empty Bleach Bottle' #6879.
[15:17:47]	CCA.C08-GRID.i4.69192 used command '/CharGiveItem grid Empty bleach'.
[15:17:48]	[OOC] Alexei Stravolsky: 9 out of 100
[15:17:49]	CCA.C08-GRID.i4.69192 ran 'drop' on item 'Empty Bleach Bottle' (#6879)
[15:17:49]	CCA.C08-GRID.i4.69192 has lost a 'Empty Bleach Bottle' #6879.
[15:17:54]	Alexei Stravolsky ran 'take' on item 'Empty Bleach Bottle' (#6879)
[15:17:54]	Alexei Stravolsky has gained a 'Empty Bleach Bottle' #6879.
[15:18:06]	Justin Bail rolled 41 out of 100.
[15:18:06]	Justin Bail used command '/Roll'.
[15:18:17]	CCA.C08-GRID.i4.69192 used command '/adminspawnmenu'.
[15:18:17]	Justin Bail rolled 18 out of 100.
[15:18:17]	Justin Bail used command '/Roll'.
[15:18:19]	[OOC] Alexei Stravolsky: what are you rolling for justin are you just doing to have fun
[15:18:26]	CCA.C08-GRID.i4.69192 has gained 10 tokens.
[15:18:39]	CCA.C08-GRID.i4.69192 has spawned "Sewing Kit"
[15:18:40]	[OOC] Alexei Stravolsky: justin is gonna use his APE BRAIN to smash open the crate with his pipe
[15:18:42]	Justin Bail ran 'take' on item 'Sewing Kit' (#6880)
[15:18:42]	Justin Bail has gained a 'Sewing Kit' #6880.
[15:18:49]	[OOC] CCA.C08-GRID.i4.69192: oo oo aa aa
[15:18:50]	Justin Bail ran 'drop' on item 'Sewing Kit' (#6880)
[15:18:50]	Justin Bail has lost a 'Sewing Kit' #6880.
[15:18:52]	Justin Bail ran 'take' on item 'Sewing Kit' (#6880)
[15:18:52]	Justin Bail has gained a 'Sewing Kit' #6880.
[15:18:55]	CCA.C08-GRID.i4.69192 used command '/adminspawnmenu'.
[15:19:00]	[OOC] Alexei Stravolsky: justin is our punching bag
[15:19:07]	Jimmy 'Watcher 3' John exited observer at their location.
[15:19:20]	CCA.C08-GRID.i4.69192 has spawned "Rope"
[15:19:21]	CCA.C08-GRID.i4.69192 has spawned "Rope"
[15:19:26]	Jimmy 'Watcher 3' John opened the '' #935 container.
[15:19:26]	Jimmy 'Watcher 3' John closed the '' #935 container.
[15:19:29]	CCA.C08-GRID.i4.69192 used command '/adminspawnmenu'.
[15:19:30]	[OOC] Alexei Stravolsky: oo oo a a dice go roll
[15:19:31]	Jimmy 'Watcher 3' John opened the '' #935 container.
[15:19:31]	Jimmy 'Watcher 3' John closed the '' #935 container.
[15:19:34]	Jimmy 'Watcher 3' John opened the '' #935 container.
[15:19:36]	Jimmy 'Watcher 3' John closed the '' #935 container.
[15:19:41]	CCA.C08-GRID.i4.69192 has spawned "Light Bulb"
[15:19:42]	CCA.C08-GRID.i4.69192 has spawned "Scrap Hammer"
[15:19:43]	[OOC] Justin Bail: oooo i am ape
[15:19:53]	CCA.C08-GRID.i4.69192 used command '/adminspawnmenu'.
[15:19:58]	[OOC] Alexei Stravolsky: how tf could we find gunpowder
[15:20:01]	[OOC] Alexei Stravolsky: that just occured to me
[15:20:05]	Jimmy 'Watcher 3' John entered observer.
[15:20:05]	CCA.C08-GRID.i4.69192 has spawned "Blowtorch"
[15:20:08]	CCA.C08-GRID.i4.69192 has spawned "Radio Case"
[15:20:09]	CCA.C08-GRID.i4.69192 has spawned "Radio Case"
[15:20:13]	CCA.C08-GRID.i4.69192 ran 'take' on item 'Radio Case' (#6886)
[15:20:13]	CCA.C08-GRID.i4.69192 has gained a 'Radio Case' #6886.
[15:20:14]	CCA.C08-GRID.i4.69192 ran 'take' on item 'Radio Case' (#6887)
[15:20:14]	CCA.C08-GRID.i4.69192 has gained a 'Radio Case' #6887.
[15:20:19]	[OOC] CCA.C08-GRID.i4.69192: now you're thinking with your noggin
[15:20:30]	[OOC] Ethan King: What noggin?
[15:20:32]	[ME] Justin Bail: punches
[15:20:37]	Justin Bail rolled 94 out of 100.
[15:20:37]	Justin Bail used command '/Roll 100'.
[15:20:47]	[OOC] Alexei Stravolsky: have fun having a broken fist 
[15:20:59]	[OOC] Ethan King: This is why we have schools
[15:21:13]	CCA.C08-GRID.i4.69192 has gained a 'Refined Electronics' #6888.
[15:21:13]	CCA.C08-GRID.i4.69192 used command '/CharGiveItem grid refined'.
[15:21:16]	CCA.C08-GRID.i4.69192 has gained a 'Refined Electronics' #6889.
[15:21:16]	CCA.C08-GRID.i4.69192 used command '/CharGiveItem grid refined'.
[15:21:18]	CCA.C08-GRID.i4.69192 ran 'drop' on item 'Refined Electronics' (#6888)
[15:21:18]	CCA.C08-GRID.i4.69192 has lost a 'Refined Electronics' #6888.
[15:21:19]	CCA.C08-GRID.i4.69192 ran 'drop' on item 'Refined Electronics' (#6889)
[15:21:19]	CCA.C08-GRID.i4.69192 has lost a 'Refined Electronics' #6889.
[15:21:23]	[ME] Justin Bail: searches
[15:21:27]	Justin Bail rolled 100 out of 100.
[15:21:27]	Justin Bail used command '/Roll 100'.
[15:21:36]	[OOC] Justin Bail: i got 100 
[15:21:36]	CCA.C08-GRID.i4.69192 has gained a 'Rope' #6890.
[15:21:36]	CCA.C08-GRID.i4.69192 has gained a 'Rope' #6891.
[15:21:36]	CCA.C08-GRID.i4.69192 has gained a 'Rope' #6892.
[15:21:36]	CCA.C08-GRID.i4.69192 has gained a 'Rope' #6893.
[15:21:36]	CCA.C08-GRID.i4.69192 has gained a 'Rope' #6894.
[15:21:36]	CCA.C08-GRID.i4.69192 used command '/CharGiveItem grid rope 5'.
[15:21:39]	CCA.C08-GRID.i4.69192 ran 'drop' on item 'Rope' (#6890)
[15:21:39]	CCA.C08-GRID.i4.69192 has lost a 'Rope' #6890.
[15:21:39]	[OOC] Justin Bail: i got 100
[15:21:41]	CCA.C08-GRID.i4.69192 ran 'drop' on item 'Rope' (#6891)
[15:21:41]	CCA.C08-GRID.i4.69192 has lost a 'Rope' #6891.
[15:21:43]	CCA.C08-GRID.i4.69192 ran 'drop' on item 'Rope' (#6893)
[15:21:43]	CCA.C08-GRID.i4.69192 has lost a 'Rope' #6893.
[15:21:43]	[OOC] Justin Bail: out of 100
[15:21:45]	[OOC] Justin Bail: yes
[15:21:45]	CCA.C08-GRID.i4.69192 ran 'drop' on item 'Rope' (#6894)
[15:21:45]	CCA.C08-GRID.i4.69192 has lost a 'Rope' #6894.
[15:21:46]	CCA.C08-GRID.i4.69192 ran 'drop' on item 'Rope' (#6892)
[15:21:46]	CCA.C08-GRID.i4.69192 has lost a 'Rope' #6892.
[15:21:47]	[OOC] Alexei Stravolsky: q wasnt there, doesnt count
[15:21:47]	[OOC] Justin Bail: q
[15:21:51]	[OOC] Justin Bail: / it dose
[15:21:53]	[OOC] Justin Bail: it dose
[15:21:57]	[OOC] Ethan King: DOES
[15:21:58]	[OOC] Justin Bail: shut
[15:22:00]	[OOC] Alexei Stravolsky: justin go back to english class
[15:22:04]	[OOC] Justin Bail: q
[15:22:18]	[OOC] Justin Bail: did he leave again
[15:22:27]	[OOC] Alexei Stravolsky: no hes just ignoring you probably
[15:22:27]	[OOC] CCA.C08-GRID.i4.69192: i'm here
[15:22:31]	[OOC] Alexei Stravolsky: as we all wish we could
[15:22:32]	[OOC] CCA.C08-GRID.i4.69192: sup
[15:22:34]	[OOC] Justin Bail: i rolled a 100
[15:22:39]	[OOC] Justin Bail: for these
[15:22:44]	[OOC] CCA.C08-GRID.i4.69192: i wasn't here
[15:22:44]	CCA.C08-GRID.i4.69192 used command '/DoorSetHidden true'.
[15:22:47]	[OOC] Justin Bail: check logs
[15:22:49]	[OOC] Alexei Stravolsky: doesnt count
[15:22:55]	[OOC] Justin Bail: i did it
[15:23:00]	[OOC] Justin Bail: cmon
[15:23:01]	CCA.C08-GRID.i4.69192 exited observer at their location.
[15:23:02]	CCA.C08-GRID.i4.69192 entered observer.
[15:23:11]	[ME] Justin Bail: searches
[15:23:17]	Justin Bail rolled 99 out of 100.
[15:23:17]	Justin Bail used command '/Roll 100'.
[15:23:20]	[OOC] Justin Bail: nice
[15:23:20]	[OOC] Ethan King: At this point i'm justing giving ideas or watching, It's pretty entertaining.
[15:23:22]	[OOC] Justin Bail: 99
[15:23:26]	CCA.C08-GRID.i4.69192 has gained 10 tokens.
[15:23:27]	[OOC] Justin Bail: i got 99
[15:23:31]	[OOC] Justin Bail: lets get it
[15:23:32]	[OOC] Alexei Stravolsky: inb4 we try ambushing a CP and beating the shit out of him, then take his bullets and break them down for gunpowder
[15:23:32]	[OOC] CCA.C08-GRID.i4.69192: ight
[15:23:32]	CCA.C08-GRID.i4.69192 exited observer at their location.
[15:23:34]	CCA.C08-GRID.i4.69192 entered observer.
[15:23:38]	CCA.C08-GRID.i4.69192 used command '/adminspawnmenu'.
[15:23:45]	[OOC] Alexei Stravolsky: like the Big Brain we are
[15:23:52]	[OOC] Alexei Stravolsky: Apes Together Smart
[15:23:52]	[OOC] Justin Bail: q what did i get
[15:24:04]	CCA.C08-GRID.i4.69192 ran 'drop' on item 'Cars for Dummies, Vol. 1' (#6876)
[15:24:04]	CCA.C08-GRID.i4.69192 has lost a 'Cars for Dummies, Vol. 1' #6876.
[15:24:06]	[OOC] Alexei Stravolsky: i hope you  get a fucking soda can because its just normal fucking trash bags
[15:24:08]	[OOC] Ethan King: I think it's funner to watch Justin try to do things.
[15:24:12]	Justin Bail ran 'take' on item 'Cars for Dummies, Vol. 1' (#6876)
[15:24:12]	Justin Bail has gained a 'Cars for Dummies, Vol. 1' #6876.
[15:24:18]	Justin Bail ran 'read' on item 'Cars for Dummies, Vol. 1' (#6876)
[15:24:27]	CCA.C08-GRID.i4.69192 ran 'drop' on item 'High School Runner' (#6875)
[15:24:27]	CCA.C08-GRID.i4.69192 has lost a 'High School Runner' #6875.
[15:24:28]	[OOC] Justin Bail: q what dose the book say]
[15:24:31]	[OOC] CCA.C08-GRID.i4.69192: read it
[15:24:33]	[OOC] Alexei Stravolsky: dose
[15:24:33]	Justin Bail ran 'read' on item 'Cars for Dummies, Vol. 1' (#6876)
[15:24:46]	[LOOC] Ethan King: lmao
[15:24:56]	CCA.C08-GRID.i4.69192 exited observer at their location.
[15:24:57]	CCA.C08-GRID.i4.69192 entered observer.
[15:24:57]	CCA.C08-GRID.i4.69192 exited observer at their location.
[15:25:00]	CCA.C08-GRID.i4.69192 entered observer.
[15:25:02]	[OOC] Alexei Stravolsky: can we do that ambush idea
[15:25:08]	CCA.C08-GRID.i4.69192 has spawned a 'Entity [2902][ix_unionlock]'.
[15:25:10]	[OOC] Alexei Stravolsky: cause that would be a LARGE think
[15:25:27]	[OOC] CCA.C08-GRID.i4.69192: but i wnat my asshole to stay intact
[15:25:35]	[OOC] Alexei Stravolsky: bich
[15:25:55]	Justin Bail ran 'read' on item 'High School Runner' (#6875)
[15:26:00]	Justin Bail ran 'read' on item 'High School Runner' (#6875)
[15:26:06]	[OOC] Justin Bail: q you should get in charecter
[15:26:11]	Justin Bail ran 'read' on item 'High School Runner' (#6875)
[15:26:14]	Justin Bail ran 'take' on item 'High School Runner' (#6875)
[15:26:14]	Justin Bail has gained a 'High School Runner' #6875.
[15:26:18]	[OOC] Alexei Stravolsky: OO OO AA AA
