[03:57:41]	PhilipIsBored has connected.
[15:48:25]	Kricuik has taken 6 damage from CCA.C14-UNION.EpU.72633.
[15:48:25]	Kricuik has taken 7 damage from CCA.C14-UNION.EpU.72633.
[15:48:25]	Kricuik has taken 5 damage from CCA.C14-UNION.EpU.72633.
[15:48:25]	Kricuik has taken 8 damage from CCA.C14-UNION.EpU.72633.
[15:48:26]	Kricuik has taken 6 damage from CCA.C14-UNION.EpU.72633.
[15:48:26]	Kricuik has taken 7 damage from CCA.C14-UNION.EpU.72633.
[15:48:26]	Kricuik has taken 6 damage from CCA.C14-UNION.EpU.72633.
[15:48:26]	Kricuik has taken 7 damage from CCA.C14-UNION.EpU.72633.
[15:48:26]	Kricuik has taken 8 damage from CCA.C14-UNION.EpU.72633.
[15:48:26]	Kricuik has taken 6 damage from CCA.C14-UNION.EpU.72633.
[15:48:26]	Kricuik has taken 8 damage from CCA.C14-UNION.EpU.72633.
[15:48:26]	Kricuik has taken 5 damage from CCA.C14-UNION.EpU.72633.
[15:48:26]	Kricuik has taken 6 damage from CCA.C14-UNION.EpU.72633.
[15:48:26]	Kricuik has taken 8 damage from CCA.C14-UNION.EpU.72633.
[15:48:26]	Kricuik has taken 8 damage from CCA.C14-UNION.EpU.72633.
[15:48:27]	Kricuik has taken 5 damage from CCA.C14-UNION.EpU.72633.
[15:48:27]	Kricuik has taken 7 damage from CCA.C14-UNION.EpU.72633.
[15:48:27]	Kricuik has taken 5 damage from CCA.C14-UNION.EpU.72633.
[15:48:27]	Kricuik has taken 6 damage from CCA.C14-UNION.EpU.72633.
[15:48:27]	Kricuik has taken 5 damage from CCA.C14-UNION.EpU.72633.
[15:48:34]	Kricuik has taken 12 damage from CCA.C14-UNION.EpU.72633.
[15:48:35]	Kricuik has taken 12 damage from CCA.C14-UNION.EpU.72633.
[15:48:35]	Kricuik has taken 12 damage from CCA.C14-UNION.EpU.72633.
[15:48:35]	Kricuik has taken 12 damage from CCA.C14-UNION.EpU.72633.
[15:48:35]	Kricuik has taken 12 damage from CCA.C14-UNION.EpU.72633.
[15:48:35]	Kricuik has taken 12 damage from CCA.C14-UNION.EpU.72633.
[15:48:36]	Kricuik has taken 12 damage from CCA.C14-UNION.EpU.72633.
[15:48:36]	Kricuik has taken 12 damage from CCA.C14-UNION.EpU.72633.
[15:48:36]	Kricuik has taken 12 damage from CCA.C14-UNION.EpU.72633.
[15:48:37]	Kricuik has taken 12 damage from CCA.C14-UNION.EpU.72633.
[15:48:37]	Kricuik has taken 12 damage from CCA.C14-UNION.EpU.72633.
[15:48:45]	Kricuik used command '/rx RUN!'.
[15:48:48]	[Y] CCA.C14-UNION.EpU.72633: <:: Viserator deployed. ::>
[15:48:51]	Kricuik entered observer.
[15:48:52]	CCA.C14-UNION.i4.36307 used command '/ToggleRaise'.
[15:48:57]	Kricuik has spawned a 'NPC [2846][npc_manhack]'.
[15:49:00]	Kricuik exited observer at their location.
[15:49:05]	[LOOC] CCA.C14-UNION.i5.39867: shit
[15:49:18]	Kricuik used command '/rx Damn, damn, damn!'.
[15:49:20]	Kricuik entered observer.
[15:49:22]	Kricuik used command '/rx Damn, damn, damn!'.
[15:49:26]	[OOC] CCA.C14-UNION.EpU.72633: can you move it itno the elevator?
[15:49:28]	CCA.C14-UNION.i4.36307 has taken 5 damage from prop_physics.
[15:49:30]	CCA.C14-UNION.i4.36307 has taken 5 damage from prop_physics.
[15:49:32]	CCA.C14-UNION.i4.36307 has taken 10 damage from prop_physics.
[15:49:32]	CCA.C14-UNION.i4.36307 has taken 5 damage from prop_physics.
[15:49:32]	CCA.C14-UNION.EpU.72633 has taken 5 damage from prop_physics.
[15:49:36]	CCA.C14-UNION.i5.39867 has taken 10 damage from prop_physics.
[15:49:36]	CCA.C14-UNION.i5.39867 has taken 5 damage from prop_physics.
[15:49:42]	[OOC] CCA.C14-UNION.i5.39867: STOP PROPDAMAGING ME
[15:49:49]	[OOC] CCA.C14-UNION.i4.36307: i got stuck in it
[15:49:52]	CCA.C14-UNION.i5.39867 has taken 10 damage from prop_physics.
[15:49:55]	Kricuik exited observer at their location.
[15:49:56]	Kricuik entered observer.
[15:49:57]	Kricuik exited observer at their location.
[15:49:58]	[OOC] CCA.C14-UNION.i5.39867: why are props being flinged into me
[15:49:58]	Kricuik entered observer.
[15:50:02]	Kricuik exited observer at their location.
[15:50:03]	[OOC] CCA.C14-UNION.i5.39867: i keep getting damaged constantly
[15:50:11]	Kricuik has taken 4 damage from npc_manhack.
[15:50:19]	Kricuik has taken 8 damage from npc_manhack.
[15:50:30]	Kricuik has taken 4 damage from npc_manhack.
[15:50:32]	Kricuik has taken 4 damage from npc_manhack.
[15:50:32]	Kricuik entered observer.
[15:50:37]	[OOC] Kricuik: ever tink about how the fucking alien is using an elevator
[15:50:37]	Kricuik exited observer at their location.
[15:50:44]	[OOC] CCA.C14-UNION.i5.39867: it has 4 arms
[15:50:46]	Kricuik has taken 4 damage from npc_manhack.
[15:50:48]	[OOC] CCA.C14-UNION.EpU.72633: Yeah, kinda big rude
[15:50:48]	Kricuik has taken 4 damage from npc_manhack.
[15:50:49]	Kricuik has taken 1024 damage from mtro_lft.
[15:50:49]	Kricuik has taken 1024 damage from mtro_lft.
[15:50:49]	Kricuik has taken 37 damage from worldspawn.
[15:50:51]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[15:50:57]	[OOC] Kricuik: that's not at all the point i'm triyng to make
[15:50:57]	Kricuik entered observer.
[15:51:38]	[LOOC] CCA.C14-UNION.i5.39867: think*
[15:51:41]	Kricuik used command '/rx'.
[15:51:41]	CCA.C14-UNION.EpU.72633 used command '/Radio Unit requesting permission to go into the sewers after a Xenobe.'.
[15:52:33]	[OOC] CCA.C14-UNION.EpU.72633: Yes or no Q?
[15:52:53]	[OOC] CCA.C14-UNION.i5.39867: epu asked for perms to go into sewers after 1 xenobe, doubt dispatch would approve
[15:53:04]	[OOC] Kricuik: he can go in with backup
[15:53:08]	Kricuik exited observer at their location.
[15:53:12]	[OOC] CCA.C14-UNION.i5.39867: aight epic
[15:53:16]	Kricuik ran 'drop' on item 'Ball packed inthe box' (#22042)
[15:53:16]	Kricuik has lost a 'Ball packed inthe box' #22042.
[15:53:18]	[OOC] CCA.C14-UNION.i5.39867: we need resupply tho
[15:53:21]	[OOC] CCA.C14-UNION.EpU.72633: We might need a resupply though
[15:53:28]	[OOC] CCA.C14-UNION.i5.39867: i lost all my ammo in prop kill
[15:53:34]	[OOC] Kricuik: take out your guns
[15:53:37]	[OOC] Kricuik: don't leave
[15:53:38]	[OOC] CCA.C14-UNION.i5.39867: k
[15:53:39]	[OOC] Kricuik: take out your guns
[15:53:40]	Kricuik entered observer.
[15:54:04]	Kricuik exited observer at their location.
[15:54:05]	[LOOC] CCA.C14-UNION.i5.39867: oof 90
[15:54:12]	[LOOC] CCA.C14-UNION.EpU.72633: I didn't get shit
[15:54:14]	[LOOC] CCA.C14-UNION.EpU.72633: SO F
[15:54:24]	Kricuik entered observer.
[15:54:26]	[OOC] CCA.C14-UNION.EpU.72633: Q I didn't get any ammo ;-;
[15:54:35]	[OOC] Kricuik: did you lose your ammo due to any bullshit
[15:54:56]	[OOC] CCA.C14-UNION.EpU.72633: No, i'll go get a resupply from a QrM
[15:55:07]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[15:55:07]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[15:55:09]	[LOOC] CCA.C14-UNION.EpU.72633: Sweep*
[15:55:20]	Kricuik has spawned a 'Entity [2860][item_ammo_ar2]'.
[15:55:22]	Kricuik has spawned a 'Entity [2860][item_ammo_ar2]'.
[15:55:24]	Kricuik has spawned a 'Entity [2861][item_ammo_ar2]'.
[15:55:25]	Kricuik has spawned a 'Entity [2862][item_ammo_ar2]'.
[15:55:26]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[15:55:27]	Kricuik has spawned a 'Entity [2864][item_ammo_ar2]'.
[15:55:27]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[15:55:35]	Kricuik exited observer at their location.
[15:55:46]	Kricuik has taken 8 damage from npc_manhack.
[15:55:52]	Kricuik has taken 4 damage from npc_manhack.
[15:55:58]	Kricuik entered observer.
[15:56:13]	CCA.C14-UNION.EpU.72633 used command '/Radio Units moving to sweep the sewers.'.
[15:56:19]	Kricuik exited observer at their location.
[15:56:24]	Kricuik has taken 8 damage from npc_manhack.
[15:56:30]	Kricuik has taken 8 damage from npc_manhack.
[15:56:34]	Kricuik has taken 4 damage from npc_manhack.
[15:56:36]	Kricuik has taken 4 damage from npc_manhack.
[15:56:37]	Kricuik entered observer.
[15:56:37]	Kricuik exited observer at their location.
[15:56:41]	Kricuik has taken 4 damage from npc_manhack.
[15:56:42]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[15:56:44]	CCA.C14-UNION.i4.36307 used command '/ToggleRaise'.
[15:56:44]	Kricuik has taken 6 damage from CCA.C14-UNION.EpU.72633.
[15:56:44]	Kricuik has taken 8 damage from CCA.C14-UNION.EpU.72633.
[15:56:44]	Kricuik has taken 5 damage from CCA.C14-UNION.EpU.72633.
[15:56:44]	Kricuik has taken 6 damage from CCA.C14-UNION.EpU.72633.
[15:56:44]	Kricuik has taken 7 damage from CCA.C14-UNION.EpU.72633.
[15:56:47]	Kricuik has taken 6 damage from CCA.C14-UNION.EpU.72633.
[15:56:47]	Kricuik has taken 12 damage from CCA.C14-UNION.i5.39867.
[15:56:47]	Kricuik has taken 12 damage from CCA.C14-UNION.i5.39867.
[15:56:47]	Kricuik has taken 12 damage from CCA.C14-UNION.i5.39867.
[15:56:47]	Kricuik has taken 12 damage from CCA.C14-UNION.i5.39867.
[15:56:48]	Kricuik has taken 12 damage from CCA.C14-UNION.i5.39867.
[15:56:48]	Kricuik has taken 7 damage from CCA.C14-UNION.EpU.72633.
[15:56:48]	Kricuik has taken 8 damage from CCA.C14-UNION.EpU.72633.
[15:56:48]	Kricuik has taken 8 damage from CCA.C14-UNION.EpU.72633.
[15:56:48]	Kricuik has taken 5 damage from CCA.C14-UNION.EpU.72633.
[15:56:48]	Kricuik has taken 12 damage from CCA.C14-UNION.i5.39867.
[15:56:48]	Kricuik has taken 7 damage from CCA.C14-UNION.EpU.72633.
[15:56:48]	Kricuik has taken 7 damage from CCA.C14-UNION.EpU.72633.
[15:56:48]	Kricuik has taken 5 damage from CCA.C14-UNION.EpU.72633.
[15:56:48]	Kricuik has taken 12 damage from CCA.C14-UNION.i5.39867.
[15:56:48]	Kricuik has taken 7 damage from CCA.C14-UNION.EpU.72633.
[15:56:49]	Kricuik has taken 7 damage from CCA.C14-UNION.EpU.72633.
[15:56:49]	Kricuik has taken 12 damage from CCA.C14-UNION.i5.39867.
[15:56:49]	Kricuik has taken 5 damage from CCA.C14-UNION.EpU.72633.
[15:56:49]	Kricuik has taken 12 damage from CCA.C14-UNION.i5.39867.
[15:56:49]	Kricuik has taken 7 damage from CCA.C14-UNION.EpU.72633.
[15:56:49]	Kricuik has taken 12 damage from CCA.C14-UNION.i5.39867.
[15:56:49]	Kricuik has taken 6 damage from CCA.C14-UNION.EpU.72633.
[15:56:49]	Kricuik has taken 6 damage from CCA.C14-UNION.EpU.72633.
[15:56:49]	Kricuik has taken 8 damage from CCA.C14-UNION.EpU.72633.
[15:56:49]	Kricuik has taken 8 damage from CCA.C14-UNION.EpU.72633.
[15:56:49]	Kricuik has taken 12 damage from CCA.C14-UNION.i5.39867.
[15:56:49]	Kricuik has taken 8 damage from CCA.C14-UNION.EpU.72633.
[15:56:50]	Kricuik has taken 5 damage from CCA.C14-UNION.EpU.72633.
[15:56:50]	Kricuik has taken 8 damage from CCA.C14-UNION.EpU.72633.
[15:56:50]	Kricuik has taken 12 damage from CCA.C14-UNION.i5.39867.
[15:56:50]	Kricuik has taken 6 damage from CCA.C14-UNION.EpU.72633.
[15:56:50]	Kricuik has taken 6 damage from CCA.C14-UNION.EpU.72633.
[15:56:50]	Kricuik has taken 12 damage from CCA.C14-UNION.i5.39867.
[15:56:50]	Kricuik has taken 12 damage from CCA.C14-UNION.i5.39867.
[15:56:50]	Kricuik has taken 12 damage from CCA.C14-UNION.i5.39867.
[15:56:50]	Kricuik has taken 6 damage from CCA.C14-UNION.EpU.72633.
[15:56:50]	Kricuik has taken 12 damage from CCA.C14-UNION.i5.39867.
[15:56:50]	Kricuik has taken 8 damage from CCA.C14-UNION.EpU.72633.
[15:56:51]	Kricuik has taken 5 damage from CCA.C14-UNION.EpU.72633.
[15:56:51]	Kricuik has taken 7 damage from CCA.C14-UNION.EpU.72633.
[15:56:51]	Kricuik has taken 5 damage from CCA.C14-UNION.EpU.72633.
[15:56:51]	Kricuik has taken 5 damage from CCA.C14-UNION.EpU.72633.
[15:56:51]	Kricuik has taken 6 damage from CCA.C14-UNION.EpU.72633.
[15:56:51]	Kricuik has taken 7 damage from CCA.C14-UNION.EpU.72633.
[15:56:51]	Kricuik has taken 7 damage from CCA.C14-UNION.EpU.72633.
[15:56:52]	Kricuik has taken 12 damage from CCA.C14-UNION.i4.36307.
[15:56:52]	Kricuik has taken 12 damage from CCA.C14-UNION.i4.36307.
[15:56:52]	Kricuik has taken 12 damage from CCA.C14-UNION.i5.39867.
[15:56:53]	Kricuik has taken 12 damage from CCA.C14-UNION.i5.39867.
[15:56:53]	Kricuik has taken 12 damage from CCA.C14-UNION.i4.36307.
[15:56:53]	Kricuik has taken 12 damage from CCA.C14-UNION.i5.39867.
[15:56:53]	Kricuik has taken 12 damage from CCA.C14-UNION.i4.36307.
[15:56:53]	Kricuik has taken 12 damage from CCA.C14-UNION.i5.39867.
[15:56:53]	Kricuik has taken 12 damage from CCA.C14-UNION.i5.39867.
[15:56:53]	Kricuik has taken 12 damage from CCA.C14-UNION.i4.36307.
[15:56:54]	Kricuik has taken 12 damage from CCA.C14-UNION.i5.39867.
[15:56:54]	Kricuik has taken 6 damage from CCA.C14-UNION.EpU.72633.
[15:56:54]	Kricuik has taken 12 damage from CCA.C14-UNION.i5.39867.
[15:56:54]	Kricuik has taken 8 damage from CCA.C14-UNION.EpU.72633.
[15:56:54]	Kricuik has taken 6 damage from CCA.C14-UNION.EpU.72633.
[15:56:54]	Kricuik has taken 6 damage from CCA.C14-UNION.EpU.72633.
[15:56:54]	Kricuik has taken 12 damage from CCA.C14-UNION.i5.39867.
[15:56:54]	Kricuik has taken 7 damage from CCA.C14-UNION.EpU.72633.
[15:56:54]	Kricuik has taken 8 damage from CCA.C14-UNION.EpU.72633.
[15:56:54]	Kricuik has taken 12 damage from CCA.C14-UNION.i5.39867.
[15:56:54]	Kricuik has taken 6 damage from CCA.C14-UNION.EpU.72633.
[15:56:54]	Kricuik has taken 12 damage from CCA.C14-UNION.i5.39867.
[15:56:55]	Kricuik has taken 12 damage from CCA.C14-UNION.i4.36307.
[15:56:55]	Kricuik has taken 12 damage from CCA.C14-UNION.i5.39867.
[15:56:55]	Kricuik has taken 12 damage from CCA.C14-UNION.i5.39867.
[15:56:55]	Kricuik has taken 12 damage from CCA.C14-UNION.i5.39867.
[15:56:56]	Kricuik has taken 12 damage from CCA.C14-UNION.i4.36307.
[15:56:57]	Kricuik has spawned a 'Entity [2862][pfx8_03]'.
[15:56:57]	Kricuik has taken 12 damage from CCA.C14-UNION.i4.36307.
[15:56:57]	Kricuik has taken 12 damage from CCA.C14-UNION.i4.36307.
[15:56:57]	Kricuik has taken 12 damage from CCA.C14-UNION.i4.36307.
[15:56:58]	Kricuik has taken 12 damage from CCA.C14-UNION.i4.36307.
[15:56:58]	Kricuik has taken 12 damage from CCA.C14-UNION.i4.36307.
[15:56:58]	Kricuik has taken 12 damage from CCA.C14-UNION.i5.39867.
[15:56:58]	Kricuik has taken 12 damage from CCA.C14-UNION.i4.36307.
[15:56:58]	Kricuik has taken 12 damage from CCA.C14-UNION.i4.36307.
[15:56:58]	Kricuik has taken 12 damage from CCA.C14-UNION.i4.36307.
[15:56:59]	Kricuik has taken 12 damage from CCA.C14-UNION.i5.39867.
[15:56:59]	Kricuik has taken 12 damage from CCA.C14-UNION.i4.36307.
[15:56:59]	Kricuik entered observer.
[15:57:00]	Kricuik exited observer at their location.
[15:57:00]	Kricuik entered observer.
[15:57:01]	Kricuik exited observer at their location.
[15:57:02]	Kricuik has taken 12 damage from CCA.C14-UNION.i5.39867.
[15:57:02]	Kricuik has taken 12 damage from CCA.C14-UNION.i4.36307.
[15:57:02]	Kricuik has taken 12 damage from CCA.C14-UNION.i5.39867.
[15:57:02]	Kricuik has taken 12 damage from CCA.C14-UNION.i5.39867.
[15:57:02]	Kricuik entered observer.
[15:57:04]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[15:57:05]	Kricuik has spawned a 'Entity [2862][pfx8_03]'.
[15:57:07]	Kricuik exited observer at their location.
[15:57:09]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[15:57:11]	Kricuik has taken 12 damage from CCA.C14-UNION.i5.39867.
[15:57:11]	Kricuik has spawned a 'Entity [2862][pfx8_03]'.
[15:57:11]	Kricuik has taken 12 damage from CCA.C14-UNION.i5.39867.
[15:57:11]	Kricuik has taken 12 damage from CCA.C14-UNION.i5.39867.
[15:57:11]	Kricuik has taken 12 damage from CCA.C14-UNION.i5.39867.
[15:57:11]	Kricuik has taken 12 damage from CCA.C14-UNION.i5.39867.
[15:57:12]	Kricuik has taken 12 damage from CCA.C14-UNION.i5.39867.
[15:57:12]	Kricuik has taken 12 damage from CCA.C14-UNION.i5.39867.
[15:57:12]	Kricuik has taken 12 damage from CCA.C14-UNION.i5.39867.
[15:57:12]	Kricuik has taken 12 damage from CCA.C14-UNION.i5.39867.
[15:57:12]	Kricuik has taken 12 damage from CCA.C14-UNION.i5.39867.
[15:57:13]	Kricuik has taken 12 damage from CCA.C14-UNION.i5.39867.
[15:57:13]	Kricuik has taken 12 damage from CCA.C14-UNION.i5.39867.
[15:57:13]	Kricuik has taken 12 damage from CCA.C14-UNION.i5.39867.
[15:57:13]	Kricuik has taken 12 damage from CCA.C14-UNION.i5.39867.
[15:57:14]	Kricuik entered observer.
[15:57:14]	Kricuik exited observer at their location.
[15:57:17]	Kricuik has taken 12 damage from CCA.C14-UNION.i5.39867.
[15:57:17]	Kricuik has taken 12 damage from CCA.C14-UNION.i5.39867.
[15:57:17]	Kricuik entered observer.
[15:57:19]	Kricuik exited observer at their location.
[15:57:20]	Kricuik entered observer.
[15:57:20]	Kricuik exited observer at their location.
[15:57:25]	Kricuik entered observer.
[15:57:27]	[OOC] CCA.C14-UNION.i5.39867: what just happened
[15:57:34]	[OOC] CCA.C14-UNION.EpU.72633: He said stop firing on him
[15:57:40]	[OOC] CCA.C14-UNION.EpU.72633: Because he was doing shit
[15:57:42]	[OOC] CCA.C14-UNION.i4.36307: can we go in after it xd
[15:57:47]	[OOC] CCA.C14-UNION.i5.39867: i wasnt close enough to him to hear it
[15:57:49]	[OOC] Kricuik: i mean nobody's gonna stop you
[15:57:50]	[OOC] CCA.C14-UNION.EpU.72633: I would not advise it
[15:57:52]	[OOC] CCA.C14-UNION.i5.39867: you shouldve said it in ooc
[15:58:05]	[OOC] Kricuik: nobody's gonna stop you from running into that big beuaitful blue orb
[15:58:27]	[LOOC] CCA.C14-UNION.i5.39867: to*
[15:58:30]	[OOC] CCA.C14-UNION.i4.36307: suck me in n0w
[15:58:38]	[OOC] Kricuik: no, it's not a black hole
[15:58:40]	[OOC] Kricuik: if you want in go in
[15:58:47]	[OOC] CCA.C14-UNION.i4.36307: :(
[15:58:51]	[OOC] CCA.C14-UNION.i5.39867: will it be pk if he dies
[15:58:54]	[OOC] Kricuik: no
[15:58:56]	CCA.C14-UNION.EpU.72633 used command '/Radio Xenobe escaped through a large blue portal, requesting orders?'.
[15:58:58]	[OOC] CCA.C14-UNION.i5.39867: lol do it then
[15:59:11]	[LOOC] CCA.C14-UNION.i4.36307: rude
[15:59:22]	[OOC] CCA.C14-UNION.i4.36307: hmmm
[15:59:58]	Kricuik entered observer.
[15:59:58]	Kricuik entered observer.
[16:00:03]	Kricuik entered observer.
[16:00:03]	Kricuik entered observer.
[16:00:31]	CCA.C14-UNION.EpU.72633 used command '/Radio Overwatch orders?'.
[16:00:53]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[16:00:54]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[16:00:55]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[16:00:57]	[OOC] CCA.C14-UNION.i5.39867: nooo
[16:01:03]	Kricuik used command '/ToggleRaise'.
[16:01:06]	CCA.C14-UNION.EpU.72633 used command '/Radio The portal is gone'.
[16:01:11]	Kricuik entered observer.
[16:01:11]	Kricuik entered observer.
[16:01:17]	[OOC] CCA.C14-UNION.i5.39867: can i get weapons back
[16:01:17]	Kricuik exited observer at their location.
[16:01:22]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[16:01:27]	[OOC] CCA.C14-UNION.i4.36307: no
[16:01:31]	[OOC] CCA.C14-UNION.i5.39867: yes
[16:01:34]	[OOC] CCA.C14-UNION.i5.39867: thanks
[16:01:37]	CCA.C14-UNION.i5.39867 ran 'EquipUn' on item '.9mm Pistol' (#18969)
[16:01:38]	CCA.C14-UNION.i5.39867 ran 'Equip' on item '.9mm Pistol' (#18969)
[16:01:38]	CCA.C14-UNION.i5.39867 ran 'EquipUn' on item 'Combat Knife' (#22008)
[16:01:39]	CCA.C14-UNION.i5.39867 ran 'Equip' on item 'Combat Knife' (#22008)
[16:01:44]	Kricuik has taken 5 damage from worldspawn.
[16:01:44]	Kricuik entered observer.
[16:02:04]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[16:02:13]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[16:02:15]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[16:02:29]	[OOC] CCA.C14-UNION.EpU.72633: My manhack is just in the skybox now
[16:02:30]	Kricuik has spawned a 'Entity [2878][pfx8_03]'.
[16:02:32]	[OOC] CCA.C14-UNION.EpU.72633: Neato
[16:02:34]	Kricuik has spawned a 'Entity [2878][pfx8_03]'.
[16:02:42]	Kricuik exited observer at their location.
[16:02:43]	Kricuik entered observer.
[16:02:43]	Kricuik exited observer at their location.
[16:02:50]	[Y] CCA.C14-UNION.i5.39867: <:: Xenobe. ::>
[16:02:54]	Kricuik entered observer.
[16:03:13]	CCA.C14-UNION.i4.36307 used command '/ToggleRaise'.
[16:03:31]	CCA.C14-UNION.i4.36307 used command '/ToggleRaise'.
[16:05:03]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[16:05:05]	CCA.C14-UNION.i4.36307 used command '/ToggleRaise'.
[16:05:21]	[Y] CCA.C14-UNION.EpU.72633: <:: STOP. ::>
[16:05:28]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[16:05:30]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[16:05:36]	CCA.C14-UNION.i4.36307 used command '/ToggleRaise'.
[16:06:16]	CCA.C14-UNION.EpU.72633 used command '/Radio Unit going 10-7'.
[16:06:19]	CCA.C14-UNION.i5.39867 used command '/Radio As am I'.
[16:06:38]	FB|| light ROOM loaded the character 'Gordo Kin'
[16:07:01]	PhilipIsBored loaded the character 'Bernard Soloman'
[16:07:04]	Bernard Soloman has gained 10 tokens.
[16:07:17]	Painevan has connected.
[16:07:18]	Madeline Wuntch loaded the character 'Janet Fraiser'
[16:07:31]	[OOC] Janet Fraiser: uh
[16:07:32]	Gordo Kin ran 'Equip' on item 'Combine Hazmat Worker Outfit' (#18600)
[16:07:32]	[OOC] Bernard Soloman: tfw no cp
[16:07:37]	[OOC] Gordo Kin: SHHHHH
[16:07:42]	[OOC] Bernard Soloman: LOL
[16:07:43]	[OOC] Janet Fraiser: phillip we're still in a squad
[16:07:46]	[OOC] Bernard Soloman: I CAN STILL SEE JANET FRAISER
[16:07:47]	[OOC] Gordo Kin: Bruh
[16:07:49]	[OOC] Bernard Soloman: WE FORGOT TO DISBAND SQUAD
[16:07:57]	Gordo Kin opened the '' #1824 container.
[16:07:59]	Gordo Kin closed the '' #1824 container.
[16:08:09]	PhilipIsBored loaded the character 'CCA.C14-UNION.i5.39867'
[16:08:13]	CCA.C14-UNION.i5.39867 ran 'leave' on item 'Squad Identification Device' (#18891)
[16:08:15]	Painevan loaded the character 'Karl Von Habsburg'
[16:08:18]	Janet Fraiser used command '/ToggleRaise'.
[16:08:19]	PhilipIsBored loaded the character 'Bernard Soloman'
[16:08:21]	Janet Fraiser used command '/ToggleRaise'.
[16:08:23]	[OOC] Bernard Soloman: FIXED
[16:08:24]	[OOC] Bernard Soloman: caps
[16:08:27]	[OOC] Karl Von Habsburg: I am back
[16:08:27]	Karl Von Habsburg entered observer.
[16:08:29]	[OOC] Gordo Kin: Wb
[16:08:32]	[OOC] Janet Fraiser: wb
[16:08:37]	[OOC] Bernard Soloman: web
[16:08:38]	[OOC] Bernard Soloman: wb
[16:08:47]	Karl Von Habsburg exited observer at their location.
[16:08:55]	Karl Von Habsburg entered observer.
[16:08:55]	Karl Von Habsburg has spawned a 'NPC [2857][npc_combine_s]'.
[16:09:00]	[Y] Gordo Kin: I'M NOT COMBINE.
[16:09:06]	Karl Von Habsburg exited observer at their location.
[16:09:09]	[Y] Bernard Soloman: You look like one.
[16:09:09]	Karl Von Habsburg has taken 3 damage from npc_combine_s.
[16:09:12]	Karl Von Habsburg has taken 0 damage from npc_combine_s.
[16:09:15]	Karl Von Habsburg has taken 10 damage from npc_combine_s.
[16:09:15]	npc_combine_s destroyed a 'Flavored Breen's Water' #22103.
[16:09:15]	npc_combine_s destroyed a 'Flavored Breen's Water' #22102.
[16:09:16]	Karl Von Habsburg has taken 2 damage from npc_combine_s.
[16:09:32]	[LOOC] Gordo Kin: ?&
[16:09:50]	Karl Von Habsburg has spawned a 'Entity [875][npc_walking_unarmed_combine_soldier]'.
[16:09:54]	Karl Von Habsburg entered observer.
[16:09:55]	Karl Von Habsburg exited observer at their location.
[16:10:02]	Karl Von Habsburg entered observer.
[16:10:03]	Karl Von Habsburg exited observer at their location.
[16:10:06]	Karl Von Habsburg has spawned a 'Entity [875][npc_metrocop_abusing_male]'.
[16:10:12]	Karl Von Habsburg has spawned a 'Entity [2857][npc_metrocop_abusing_male_no_punch]'.
[16:10:27]	Karl Von Habsburg has spawned a 'Entity [875][npc_knocking_cop]'.
[16:10:29]	Janet Fraiser ran 'drop' on item 'Refined Electronics' (#22120)
[16:10:29]	Janet Fraiser has lost a 'Refined Electronics' #22120.
[16:10:38]	Karl Von Habsburg has spawned a 'Entity [875][npc_metrocop_abusing_male]'.
[16:10:43]	Janet Fraiser ran 'take' on item 'Refined Electronics' (#22120)
[16:10:43]	Janet Fraiser has gained a 'Refined Electronics' #22120.
[16:10:45]	Karl Von Habsburg has spawned a 'Entity [875][npc_knocking_cop]'.
[16:10:45]	[LOOC] Gordo Kin: ?*
[16:10:46]	Janet Fraiser ran 'drop' on item 'Refined Electronics' (#22120)
[16:10:46]	Janet Fraiser has lost a 'Refined Electronics' #22120.
[16:10:49]	Karl Von Habsburg has spawned a 'Entity [875][npc_entrance_blocker_cop]'.
[16:10:58]	Karl Von Habsburg entered observer.
[16:11:34]	Kricuik exited observer at their location.
[16:11:39]	Kricuik entered observer.
[16:12:04]	Bernard Soloman has gained 10 tokens.
[16:12:35]	[LOOC] Gordo Kin: One moment sorry
[16:13:01]	[LOOC] Gordo Kin: Alright
[16:13:27]	[Y] Bernard Soloman: WHERE ARE YOU.
[16:13:29]	[OOC] Kricuik: t
[16:13:30]	Bernard Soloman used command '/PM gordo i lost you'.
