[00:00:00]	[OOC] Rodriguo Ouh: early
[18:21:37]	[OOC] CCA.C14-UNION.EpU.72633: Fish is the shit my guy
[18:21:44]	[OOC] Joseph Kimsler: venison is the fancy way of saying deer
[18:21:44]	[OOC] Emily Brown: i hate tuna
[18:21:49]	[OOC] Joseph Kimsler: it's like beef -> cow
[18:21:52]	[ME] Emily Brown: holds the brush and pan
[18:21:55]	[OOC] Joseph Kimsler: venison -> deer
[18:22:00]	[ME] CCA.C14-UNION.i5.36307: takes the brush and pan
[18:22:03]	[OOC] Joseph Kimsler: i
[18:22:11]	[OOC] CCA.C14-UNION.EpU.72633: Deer meat is really savory and has a wonderful flavor to it
[18:22:22]	[OOC] CCA.C14-UNION.i5.36307: i prefer moose
[18:22:32]	[OOC] CCA.C14-UNION.EpU.72633: I recommend hunting for it though
[18:22:33]	[OOC] Joseph Kimsler: i'm not a huge fish fan. my pallette is pretty shit. best fish i've ever had was ahi tuna
[18:22:34]	Emily Brown used command '/Apply'.
[18:22:38]	Joseph Kimsler entered observer.
[18:22:42]	CCA.C14-UNION.i5.36307 used command '/OldViewData emily'.
[18:22:43]	Joseph Kimsler exited observer at their location.
[18:22:43]	Joseph Kimsler entered observer.
[18:22:44]	CCA.C14-UNION.i5.36307 has gained 10 tokens.
[18:22:44]	Joseph Kimsler exited observer at their location.
[18:22:44]	Joseph Kimsler entered observer.
[18:22:46]	Joseph Kimsler exited observer at their location.
[18:22:52]	[OOC] Emily Brown: ive never had deer
[18:22:56]	Joseph Kimsler entered observer.
[18:22:57]	[OOC] CCA.C14-UNION.EpU.72633: F
[18:22:59]	Joseph Kimsler exited observer at their location.
[18:23:18]	[OOC] CCA.C14-UNION.EpU.72633: Has anybody had Pho before?
[18:23:21]	[OOC] CCA.C14-UNION.i5.36307: nope
[18:23:25]	[OOC] Emily Brown: whats pho?
[18:23:26]	Joseph Kimsler used command '/DoorSetHidden true'.
[18:23:27]	[OOC] CCA.C14-UNION.EpU.72633: Bruh
[18:23:33]	[OOC] Joseph Kimsler: it's a thai dish, right
[18:23:40]	[OOC] Emily Brown: can you clear decals i accidentally pressed t
[18:23:47]	Joseph Kimsler entered observer.
[18:23:47]	[OOC] Emily Brown: thanks
[18:23:55]	Joseph Kimsler exited observer at their location.
[18:23:55]	[OOC] CCA.C14-UNION.EpU.72633: It's like.....rice noodles with meat and vegetables and shit
[18:24:12]	Joseph Kimsler entered observer.
[18:24:17]	Joseph Kimsler exited observer at their location.
[18:24:21]	[OOC] Emily Brown: yo i5 why did u need a sewing kit 
[18:24:23]	[OOC] Emily Brown: lol
[18:24:31]	[OOC] CCA.C14-UNION.i5.36307: don't worry about it
[18:24:31]	[OOC] CCA.C14-UNION.EpU.72633: And its at boiling temp when its served so the meat is cooked while in the bowl
[18:24:51]	[OOC] Emily Brown: ouch...
[18:24:54]	[OOC] Emily Brown: id burn my mouth on that
[18:24:57]	[OOC] Joseph Kimsler: shit, i never knew that
[18:25:05]	[OOC] CCA.C14-UNION.i5.36307: afk
[18:25:27]	[OOC] CCA.C14-UNION.EpU.72633: we have a Pho cafe near me and its a fucking treat to go their with my dad
[18:25:46]	[OOC] Emily Brown: where i live (northern ireland), our police stations look like fortresses
[18:25:55]	[OOC] Emily Brown: however in the south, the garda stations are just tiny boxes basically
[18:26:08]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[18:26:13]	Joseph Kimsler entered observer.
[18:26:13]	Joseph Kimsler exited observer at their location.
[18:26:15]	Joseph Kimsler entered observer.
[18:26:16]	Joseph Kimsler exited observer at their location.
[18:26:17]	Joseph Kimsler entered observer.
[18:26:17]	Joseph Kimsler exited observer at their location.
[18:26:40]	[OOC] CCA.C14-UNION.i5.36307: our stations here look like horse barns
[18:26:46]	[OOC] CCA.C14-UNION.i5.36307: except the big one in the city
[18:26:49]	[OOC] CCA.C14-UNION.EpU.72633: Think of the most basic police officers you can think of and thats my city pretty much
[18:27:15]	[OOC] CCA.C14-UNION.EpU.72633: Not that I hate it, i like police officers.
[18:27:20]	[OOC] CCA.C14-UNION.i5.36307: you should see the rcmp station
[18:27:22]	[OOC] CCA.C14-UNION.EpU.72633: Also brb
[18:27:23]	[OOC] CCA.C14-UNION.i5.36307: it's a trailer
[18:27:26]	Joseph Kimsler entered observer.
[18:27:26]	Joseph Kimsler exited observer at their location.
[18:27:27]	Joseph Kimsler entered observer.
[18:27:28]	Joseph Kimsler exited observer at their location.
[18:27:28]	Joseph Kimsler entered observer.
[18:27:28]	Joseph Kimsler exited observer at their location.
[18:27:44]	CCA.C14-UNION.i5.36307 has gained 10 tokens.
[18:29:32]	[OOC] CCA.C14-UNION.EpU.72633: Back
[18:30:14]	[OOC] Emily Brown: welcome back epu
[18:30:32]	[OOC] CCA.C14-UNION.EpU.72633: hello gamer, the blueberry EpU is back
[18:30:55]	[OOC] CCA.C14-UNION.EpU.72633: but seriously I'm mostly a dark blue lmao
[18:31:08]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[18:31:15]	[OOC] CCA.C14-UNION.EpU.72633: It's like black tinted blue on my screen
[18:31:35]	[OOC] CCA.C14-UNION.i5.36307: i want a lavender uniform
[18:31:45]	[OOC] CCA.C14-UNION.EpU.72633: Bruh
[18:32:12]	[OOC] CCA.C14-UNION.EpU.72633: I want pink lights on my EpU
[18:32:28]	[OOC] CCA.C14-UNION.EpU.72633: That would be gamer as fuck
[18:32:32]	[OOC] CCA.C14-UNION.i5.36307: what shade of pink
[18:32:44]	CCA.C14-UNION.i5.36307 has gained 10 tokens.
[18:32:54]	[OOC] CCA.C14-UNION.EpU.72633: more on the lighter side borderline tinted white
[18:33:15]	[OOC] CCA.C14-UNION.EpU.72633: Just so it's bright as fuck
[18:33:18]	[OOC] CCA.C14-UNION.i5.36307: unicorn epu
[18:33:23]	[OOC] CCA.C14-UNION.EpU.72633: Bet
[18:33:28]	[OOC] Emily Brown: girly looking epu
[18:33:31]	[OOC] Emily Brown: who would be scared of that
[18:33:48]	[OOC] CCA.C14-UNION.i5.36307: it'll be different when he pulls out his weapon
[18:33:55]	[OOC] CCA.C14-UNION.i5.36307: which is of course, painted pink
[18:33:57]	[OOC] Emily Brown: yeah but oocly
[18:34:10]	[OOC] CCA.C14-UNION.EpU.72633: are you scared of a Blue berry EpU?
[18:34:26]	[OOC] CCA.C14-UNION.EpU.72633: Yeah
[18:34:51]	[OOC] CCA.C14-UNION.i5.36307: the only models that scare me ooc are the cremators
[18:34:57]	[OOC] CCA.C14-UNION.i5.36307: the breathing too
[18:35:00]	[OOC] CCA.C14-UNION.EpU.72633: I like this skin a lot but it's not OOC'ly scary (Although most of the skins aren't scary)
[18:35:01]	[OOC] CCA.C14-UNION.i5.36307: even worse at 1 am
[18:35:15]	[OOC] CCA.C14-UNION.EpU.72633: yeah CRM's are spooky
[18:35:22]	[OOC] Emily Brown: not to me
[18:35:29]	[OOC] Emily Brown: they rlly funny pokeball men to me
[18:35:33]	[OOC] CCA.C14-UNION.i5.36307: when i was like 7 i used to be scared of vortigaunts
[18:35:35]	[OOC] CCA.C14-UNION.EpU.72633: Lmao
[18:35:42]	[OOC] CCA.C14-UNION.EpU.72633: Vorts are adorable to me
[18:35:51]	[OOC] CCA.C14-UNION.EpU.72633: And it makes it really hard to be mean to them
[18:35:51]	[OOC] CCA.C14-UNION.i5.36307: now they are
[18:36:07]	[OOC] CCA.C14-UNION.EpU.72633: Like I struggle to bully BIOTICS
[18:36:08]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[18:36:12]	[OOC] CCA.C14-UNION.i5.36307: the cutest thing is the headcrab
[18:36:17]	[OOC] CCA.C14-UNION.i5.36307: only normal headcrabs
[18:36:25]	[OOC] CCA.C14-UNION.EpU.72633: The HL:A headcrabs are cute
[18:36:36]	[OOC] CCA.C14-UNION.EpU.72633: The HL2 one is less cute to me
[18:36:43]	[OOC] Joseph Kimsler: hm
[18:36:44]	[OOC] Joseph Kimsler: strange
[18:36:49]	[OOC] CCA.C14-UNION.i5.36307: i really like uriah
[18:36:55]	[OOC] CCA.C14-UNION.i5.36307: he looks cool
[18:36:58]	[OOC] Joseph Kimsler: the extended citizens models have some fo the citizen anims
[18:37:00]	[OOC] CCA.C14-UNION.EpU.72633: Yeah
[18:37:44]	CCA.C14-UNION.i5.36307 has gained 10 tokens.
[18:37:49]	[OOC] CCA.C14-UNION.EpU.72633: Imagine trying to pickpocket a CP and think the CP isn't gonna turn around and beat you
[18:37:58]	[OOC] CCA.C14-UNION.i5.36307: what is this bs encampment position
[18:38:07]	[OOC] CCA.C14-UNION.i5.36307: why is it aimed at the trainstation
[18:38:14]	[OOC] CCA.C14-UNION.EpU.72633: GOD CAN
[18:38:16]	[OOC] CCA.C14-UNION.i5.36307: jeez did someone try to steal your stunstick
[18:38:24]	[OOC] CCA.C14-UNION.EpU.72633: What the fuck did I just say in OOC chat
[18:38:31]	[OOC] Joseph Kimsler: lag psike
[18:38:34]	[OOC] CCA.C14-UNION.EpU.72633: I just blanked comepletey
[18:38:56]	[OOC] CCA.C14-UNION.EpU.72633: comepletely*
[18:39:11]	Joseph Kimsler entered observer.
[18:39:16]	Joseph Kimsler exited observer at their location.
[18:39:21]	Joseph Kimsler has lost 5 tokens.
[18:39:21]	Joseph Kimsler used command '/DropTokens 5'.
[18:39:22]	Joseph Kimsler has gained 5 tokens.
[18:40:14]	[OOC] CCA.C14-UNION.EpU.72633: The sky box just flashed black for me, is this part of the event chain?
[18:40:23]	[OOC] Joseph Kimsler: no
[18:40:24]	Joseph Kimsler entered observer.
[18:40:29]	[OOC] CCA.C14-UNION.EpU.72633: I know you cuck
[18:40:32]	Joseph Kimsler exited observer at their location.
[18:40:32]	Joseph Kimsler entered observer.
[18:40:33]	Joseph Kimsler exited observer at their location.
[18:40:39]	[OOC] CCA.C14-UNION.EpU.72633: It was big funny for me
[18:40:40]	Joseph Kimsler has lost 5 tokens.
[18:40:40]	Joseph Kimsler used command '/DropTokens 5'.
[18:40:42]	Joseph Kimsler has gained 5 tokens.
[18:41:19]	[OOC] CCA.C14-UNION.EpU.72633: i5 just staring at me with malicious content
[18:41:58]	[OOC] CCA.C14-UNION.i5.36307: it's not malicious ;)
[18:42:03]	Joseph Kimsler has lost 5 tokens.
[18:42:03]	Joseph Kimsler used command '/DropTokens 5'.
[18:42:03]	Joseph Kimsler has gained 5 tokens.
[18:42:05]	Joseph Kimsler entered observer.
[18:42:07]	Joseph Kimsler entered observer.
[18:42:07]	[OOC] CCA.C14-UNION.EpU.72633: ;-;
[18:42:10]	[OOC] Joseph Kimsler: wanna see soetmhign i jsut added
[18:42:12]	Joseph Kimsler exited observer at their location.
[18:42:14]	[OOC] CCA.C14-UNION.i5.36307: yes
[18:42:18]	[OOC] Joseph Kimsler: it's kinda darkRp but it's very good for roleplaying
[18:42:24]	[LOOC] Joseph Kimsler: watch
[18:42:26]	Joseph Kimsler has lost 5 tokens.
[18:42:26]	Joseph Kimsler used command '/DropTokens 5'.
[18:42:27]	Joseph Kimsler has gained 5 tokens.
[18:42:32]	[LOOC] CCA.C14-UNION.EpU.72633: NEATO
[18:42:32]	[ME] Joseph Kimsler: would proceed to tie the individual. Would they resist?
[18:42:34]	[LOOC] CCA.C14-UNION.i5.36307: what
[18:42:46]	[OOC] Joseph Kimsler: i plan on adding that for picking up and dropping tiems too
[18:42:49]	[OOC] Joseph Kimsler: i just need to fidn the hooks for those
[18:43:07]	[OOC] CCA.C14-UNION.EpU.72633: Please do that is fucking sick
[18:43:23]	[OOC] CCA.C14-UNION.EpU.72633: Did I just use the word "Sick" in that context?
[18:43:29]	[OOC] CCA.C14-UNION.EpU.72633: Fucking end me
[18:43:36]	[OOC] Joseph Kimsler: nah you'rew finene
[18:43:36]	Joseph Kimsler used command '/DoorSetHidden true'.
[18:43:44]	[OOC] Joseph Kimsler: so stealing thins isn't just oopsy daisy who did it
[18:43:46]	[OOC] CCA.C14-UNION.i5.36307: why
[18:43:50]	[OOC] Joseph Kimsler: now you can know without looking in logs
[18:43:53]	[OOC] CCA.C14-UNION.EpU.72633: Yee
[18:43:57]	[OOC] CCA.C14-UNION.i5.36307: come with me, i'll end you
[18:44:08]	[OOC] CCA.C14-UNION.EpU.72633: This makes it wonderful for prosecuting
[18:44:11]	[OOC] CCA.C14-UNION.EpU.72633: Thanks
[18:44:27]	CCA.C14-UNION.i5.36307 used command '/CharFallOver'.
[18:44:45]	CCA.C14-UNION.i5.36307 used command '/CharGetUp'.
[18:44:54]	[OOC] CCA.C14-UNION.EpU.72633: give us the ravenholm skybox back please ;-;
[18:44:57]	[OOC] CCA.C14-UNION.i5.36307: could you weld me to a car then drag me along
[18:45:02]	[OOC] CCA.C14-UNION.EpU.72633: no
[18:45:05]	[OOC] CCA.C14-UNION.i5.36307: why
[18:45:18]	[OOC] CCA.C14-UNION.EpU.72633: because we only do that to civies
[18:45:33]	[OOC] Joseph Kimsler: ew, the borealis one is better
[18:45:44]	[OOC] CCA.C14-UNION.EpU.72633: I like either one honestly
[18:45:50]	[OOC] Joseph Kimsler: here is ravenholm
[18:45:51]	[OOC] CCA.C14-UNION.EpU.72633: Ravenhold is just cooler
[18:45:56]	[OOC] Joseph Kimsler: here's borealis
[18:45:57]	Madeline Wuntch created the character 'weld me to a car'
[18:45:57]	weld me to a car has gained a 'Suitcase' #21153.
[18:45:57]	weld me to a car has gained a 'Relocation Coupon' #21154.
[18:46:05]	[OOC] Joseph Kimsler: borealis is more of an event thing doe
[18:46:10]	Madeline Wuntch loaded the character 'weld me to a car'
[18:46:16]	[OOC] weld me to a car: yes
[18:46:21]	[OOC] Joseph Kimsler: what
[18:46:25]	[OOC] CCA.C14-UNION.EpU.72633: Yeah, ravenholm is cooler
[18:46:31]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[18:46:35]	[OOC] CCA.C14-UNION.EpU.72633: He wants to be welded to a car
[18:46:38]	[OOC] CCA.C14-UNION.EpU.72633: Do it Q
[18:46:42]	[OOC] weld me to a car: do it
[18:47:14]	[OOC] Joseph Kimsler: bruh ohw do i 
[18:47:14]	[OOC] Joseph Kimsler: what
[18:47:17]	[OOC] Joseph Kimsler: i can't?
[18:47:32]	[OOC] weld me to a car: coward
[18:47:39]	Madeline Wuntch loaded the character 'CCA.C14-UNION.i5.36307'
[18:47:44]	[LOOC] CCA.C14-UNION.i5.36307: oh dear
[18:48:08]	[LOOC] CCA.C14-UNION.EpU.72633: HELP
[18:48:13]	[LOOC] CCA.C14-UNION.i5.36307: no
[18:48:16]	[LOOC] CCA.C14-UNION.i5.36307: OH NO
[18:48:18]	[LOOC] CCA.C14-UNION.i5.36307: HELP
[18:48:26]	CCA.C14-UNION.i5.36307 used command '/ToggleRaise'.
[18:48:27]	[LOOC] CCA.C14-UNION.EpU.72633: It might have to happen
[18:48:35]	CCA.C14-UNION.i5.36307 used command '/ToggleRaise'.
[18:48:45]	[LOOC] CCA.C14-UNION.EpU.72633: Fixed
[18:48:50]	[LOOC] CCA.C14-UNION.EpU.72633: thank you comrade
[18:49:21]	[OOC] CCA.C14-UNION.EpU.72633: Imagine not making a QrM role (This post was made by QrM fanboy gang)
[18:49:38]	[OOC] CCA.C14-UNION.i5.36307: LET ME ON YOU
[18:49:45]	[OOC] CCA.C14-UNION.EpU.72633: ;-;
[18:49:50]	[OOC] CCA.C14-UNION.i5.36307: hold still
[18:49:53]	[OOC] CCA.C14-UNION.i5.36307: crouched
[18:50:10]	[OOC] CCA.C14-UNION.i5.36307: an interesting noise
[18:50:25]	[OOC] CCA.C14-UNION.EpU.72633: I am apparently made out of cardboard so thats cool
[18:50:44]	[OOC] CCA.C14-UNION.i5.36307: im peeking through emily's window
[18:51:31]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[18:52:39]	[OOC] CCA.C14-UNION.EpU.72633: My friend likes HL2RP and he told me to kill my upper ranking units and say they were too weak ;-;
[18:52:39]	CCA.C14-UNION.i5.36307 has gained 10 tokens.
[18:53:56]	CCA.C14-UNION.EpU.72633 used command '/Radio unit going 10-7'.
[18:54:00]	FB|| light ROOM loaded the character 'CCA.C14-QrM.98240'
[18:54:30]	[OOC] Emily Brown: can i just do 200 workdesk tasks
[18:54:35]	[OOC] Emily Brown: lol
[18:55:24]	[OOC] CCA.C14-QrM.98240: Lmao, we have a limit per day I think
[18:56:12]	[LOOC] Emily Brown: is he afk
[18:56:18]	[LOOC] CCA.C14-UNION.i5.36307: no clue
[18:56:27]	FB|| light ROOM loaded the character 'CCA.C14-UNION.EpU.72633'
[18:56:28]	[OOC] Joseph Kimsler: lag spike
[18:56:32]	[OOC] CCA.C14-UNION.EpU.72633: Bruh
[18:56:32]	[OOC] Joseph Kimsler: wait nmv
[18:56:36]	[OOC] CCA.C14-UNION.EpU.72633: bet
[18:57:14]	Emily Brown used the 'Storage' vendor.
[18:57:17]	Emily Brown opened the '' #1810 container.
[18:57:22]	Emily Brown has taken 25 tokens from '' #1810 (0 tokens left).
[18:57:23]	Emily Brown closed the '' #1810 container.
[18:57:28]	[OOC] CCA.C14-UNION.EpU.72633: if a i5 killed a SeC barehanded does he get a promotion
[18:57:45]	[OOC] CCA.C14-UNION.i5.36307: what did you do
[18:58:36]	[LOOC] Emily Brown: does it say i have an armband
[18:58:40]	[LOOC] CCA.C14-UNION.EpU.72633: ye
[18:58:41]	[LOOC] CCA.C14-UNION.i5.36307: yes
[18:58:43]	[LOOC] Emily Brown: a gold one
[18:58:45]	[LOOC] Emily Brown: ?
[18:58:48]	[LOOC] CCA.C14-UNION.i5.36307: yellow
[18:58:50]	[LOOC] Emily Brown: good
[18:58:55]	[LOOC] Emily Brown: it wasnt working yesterday
[18:59:00]	[LOOC] CCA.C14-UNION.EpU.72633: You are now not a impostor
[18:59:12]	[LOOC] CCA.C14-UNION.EpU.72633: I'm allowed to bully you as a unit now
[18:59:14]	[LOOC] Emily Brown: lol you wouldve arrested me for it if Q wasnt on
[18:59:26]	[LOOC] Emily Brown: brb
[19:00:10]	[LOOC] CCA.C14-UNION.EpU.72633: Void it you cuck
[19:00:23]	CCA.C14-UNION.i5.36307 has gained 10 tokens.
[19:00:27]	CCA.C14-UNION.EpU.72633 used command '/ActMotion'.
[19:00:35]	CCA.C14-UNION.EpU.72633 used command '/ActThreat'.
[19:00:37]	[OOC] Joseph Kimsler: i gotta go. the anims shouldb e working on item pickup and drop
[19:00:39]	[OOC] Joseph Kimsler: i'll be back later
[19:00:43]	[OOC] CCA.C14-UNION.EpU.72633: Bet
[19:00:46]	[OOC] Joseph Kimsler: dm me if you neewd aynthing
[19:00:49]	[OOC] Joseph Kimsler: but first, lag psiek
[19:01:02]	[OOC] CCA.C14-UNION.i5.36307: no
[19:01:24]	[OOC] CCA.C14-UNION.EpU.72633: FU-
[19:01:37]	[OOC] CCA.C14-UNION.EpU.72633: Let us test this
[19:01:40]	CCA.C14-UNION.EpU.72633 ran 'drop' on item 'Squad Identification Device' (#18934)
[19:01:40]	CCA.C14-UNION.EpU.72633 has lost a 'Squad Identification Device' #18934.
[19:01:42]	CCA.C14-UNION.EpU.72633 ran 'take' on item 'Squad Identification Device' (#18934)
[19:01:42]	CCA.C14-UNION.EpU.72633 has gained a 'Squad Identification Device' #18934.
[19:01:51]	CCA.C14-UNION.i5.36307 ran 'drop' on item 'Sewing Kit' (#21152)
[19:01:51]	CCA.C14-UNION.i5.36307 has lost a 'Sewing Kit' #21152.
[19:01:51]	[LOOC] CCA.C14-UNION.EpU.72633: I know it wouldn't work but I wish
[19:01:53]	CCA.C14-UNION.i5.36307 ran 'take' on item 'Sewing Kit' (#21152)
[19:01:53]	CCA.C14-UNION.i5.36307 has gained a 'Sewing Kit' #21152.
[19:02:01]	[LOOC] CCA.C14-UNION.EpU.72633: IT DID FOR A UNIT WHAT
[19:02:02]	CCA.C14-UNION.i5.36307 ran 'drop' on item 'Notepad' (#21127)
[19:02:02]	CCA.C14-UNION.i5.36307 has lost a 'Notepad' #21127.
[19:02:06]	[LOOC] CCA.C14-UNION.EpU.72633: HOLY SHIT
[19:02:07]	CCA.C14-UNION.i5.36307 ran 'take' on item 'Notepad' (#21127)
[19:02:07]	CCA.C14-UNION.i5.36307 has gained a 'Notepad' #21127.
[19:02:09]	CCA.C14-UNION.EpU.72633 ran 'Equip' on item 'Wrench' (#19101)
[19:02:11]	CCA.C14-UNION.EpU.72633 ran 'drop' on item 'Wrench' (#19101)
[19:02:11]	CCA.C14-UNION.EpU.72633 has lost a 'Wrench' #19101.
[19:02:14]	CCA.C14-UNION.EpU.72633 ran 'take' on item 'Wrench' (#19101)
[19:02:14]	CCA.C14-UNION.EpU.72633 has gained a 'Wrench' #19101.
[19:02:19]	[LOOC] CCA.C14-UNION.i5.36307: worked
[19:02:20]	[LOOC] CCA.C14-UNION.EpU.72633: FUCKING COOL
[19:02:22]	CCA.C14-UNION.EpU.72633 ran 'drop' on item 'Wrench' (#19101)
[19:02:22]	CCA.C14-UNION.EpU.72633 has lost a 'Wrench' #19101.
[19:02:24]	CCA.C14-UNION.EpU.72633 ran 'take' on item 'Wrench' (#19101)
[19:02:24]	CCA.C14-UNION.EpU.72633 has gained a 'Wrench' #19101.
[19:02:29]	[LOOC] CCA.C14-UNION.i5.36307: oops
[19:02:40]	[LOOC] CCA.C14-UNION.i5.36307: do it
[19:02:50]	[LOOC] CCA.C14-UNION.i5.36307: :)
[19:03:05]	[LOOC] CCA.C14-UNION.i5.36307: give me the nuggets
[19:03:05]	CCA.C14-UNION.i5.36307 used command '/ToggleRaise'.
[19:03:07]	[LOOC] CCA.C14-UNION.EpU.72633: I am a bit of a pussy don't talk to me ;-;
[19:03:27]	CCA.C14-UNION.EpU.72633 ran 'Equip' on item 'Grenade' (#19068)
[19:03:33]	[LOOC] CCA.C14-UNION.i5.36307: do it
[19:03:40]	[LOOC] CCA.C14-UNION.EpU.72633: I'm a pussy no
[19:03:42]	CCA.C14-UNION.EpU.72633 ran 'EquipUn' on item 'Grenade' (#19068)
[19:03:49]	[LOOC] CCA.C14-UNION.i5.36307: give me it so i can go blow myself up
[19:04:00]	[LOOC] CCA.C14-UNION.EpU.72633: Just shoot yourself in the head you cuck
[19:04:06]	[LOOC] CCA.C14-UNION.EpU.72633: IC it 
[19:04:06]	[LOOC] CCA.C14-UNION.i5.36307: make me
[19:04:11]	[LOOC] CCA.C14-UNION.EpU.72633: No
[19:04:28]	[LOOC] CCA.C14-UNION.EpU.72633: I will not ask for somebody to kill themself in game and out of game
[19:05:03]	CCA.C14-UNION.i5.36307 used command '/ToggleRaise'.
[19:05:05]	CCA.C14-UNION.EpU.72633 used command '/ActLean'.
[19:05:20]	[LOOC] CCA.C14-UNION.EpU.72633: I love this animation lmao
[19:05:20]	CCA.C14-UNION.EpU.72633 used command '/ExitAct'.
[19:05:53]	CCA.C14-UNION.EpU.72633 ran 'drop' on item 'Wrench' (#19101)
[19:05:53]	CCA.C14-UNION.EpU.72633 has lost a 'Wrench' #19101.
[19:05:57]	CCA.C14-UNION.EpU.72633 ran 'take' on item 'Wrench' (#19101)
[19:05:57]	CCA.C14-UNION.EpU.72633 has gained a 'Wrench' #19101.
[19:06:01]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[19:06:01]	CCA.C14-UNION.i5.36307 has gained 10 tokens.
[19:06:55]	[OOC] CCA.C14-UNION.EpU.72633: One sec
[19:07:00]	FB|| light ROOM loaded the character 'Gordo Kin'
[19:07:02]	Gordo Kin ran 'drop' on item 'Citizen ID' (#9764)
[19:07:02]	Gordo Kin has lost a 'Citizen ID' #9764.
[19:07:05]	Gordo Kin ran 'take' on item 'Citizen ID' (#9764)
[19:07:06]	Gordo Kin has gained a 'Citizen ID' #9764.
[19:07:29]	Gordo Kin ran 'drop' on item 'Citizen ID' (#9764)
[19:07:29]	Gordo Kin has lost a 'Citizen ID' #9764.
[19:07:32]	Gordo Kin ran 'take' on item 'Citizen ID' (#9764)
[19:07:32]	Gordo Kin has gained a 'Citizen ID' #9764.
[19:07:51]	FB|| light ROOM loaded the character 'CCA.C14-UNION.EpU.72633'
[19:08:55]	[LOOC] Emily Brown: he went afk
[19:08:56]	[LOOC] Emily Brown: of course
[19:09:11]	[OOC] CCA.C14-UNION.EpU.72633: When death is approaching at a high speed just remember my EpU face as it hits you
[19:09:37]	[OOC] Emily Brown: wonder when people will come on
[19:09:39]	Emily Brown opened the '' #1810 container.
[19:09:40]	[OOC] CCA.C14-UNION.EpU.72633: Also the dropping items anim is now the pistol reload anim becuase Q did a dumb
[19:09:44]	Emily Brown has given 25 tokens to '' #1810 (25 tokens left).
[19:09:48]	Emily Brown has taken 5 tokens from '' #1810 (20 tokens left).
[19:09:50]	Emily Brown closed the '' #1810 container.
[19:11:01]	CCA.C14-UNION.i5.36307 has gained 10 tokens.
[19:11:04]	[OOC] CCA.C14-UNION.EpU.72633: Brb
[19:11:08]	FB|| light ROOM loaded the character 'Gordo Kin'
[19:15:01]	[OOC] CCA.C14-UNION.i5.36307: im off for a lil bit
[19:15:11]	Madeline Wuntch (STEAM_0:0:193599766) has disconnected.
[19:15:21]	Emily Brown ran 'drop' on item 'Sewn Cloth' (#21148)
[19:15:21]	Emily Brown has lost a 'Sewn Cloth' #21148.
[19:15:29]	[OOC] Emily Brown: you turn to the right whenever you drop
[19:15:31]	Emily Brown ran 'take' on item 'Sewn Cloth' (#21148)
[19:15:31]	Emily Brown has gained a 'Sewn Cloth' #21148.
[19:15:34]	Emily Brown ran 'drop' on item 'Sewn Cloth' (#21148)
[19:15:34]	Emily Brown has lost a 'Sewn Cloth' #21148.
[19:15:35]	Emily Brown ran 'take' on item 'Sewn Cloth' (#21148)
[19:15:35]	Emily Brown has gained a 'Sewn Cloth' #21148.
[19:15:37]	Emily Brown ran 'drop' on item 'Sewn Cloth' (#21148)
[19:15:37]	Emily Brown has lost a 'Sewn Cloth' #21148.
[19:15:39]	Emily Brown ran 'take' on item 'Sewn Cloth' (#21148)
[19:15:39]	Emily Brown has gained a 'Sewn Cloth' #21148.
[19:15:42]	Emily Brown ran 'drop' on item 'Sewn Cloth' (#21148)
[19:15:42]	Emily Brown has lost a 'Sewn Cloth' #21148.
[19:15:44]	Emily Brown ran 'take' on item 'Sewn Cloth' (#21148)
[19:15:44]	Emily Brown has gained a 'Sewn Cloth' #21148.
[19:16:10]	Emily Brown ran 'drop' on item 'Sewn Cloth' (#21148)
[19:16:10]	Emily Brown has lost a 'Sewn Cloth' #21148.
[19:16:13]	Emily Brown ran 'take' on item 'Sewn Cloth' (#21148)
[19:16:13]	Emily Brown has gained a 'Sewn Cloth' #21148.
[19:16:47]	Emily Brown ran 'drop' on item 'Sewn Cloth' (#21148)
[19:16:47]	Emily Brown has lost a 'Sewn Cloth' #21148.
[19:18:19]	Emily Brown ran 'take' on item 'Sewn Cloth' (#21148)
[19:18:19]	Emily Brown has gained a 'Sewn Cloth' #21148.
[19:18:25]	[OOC] Gordo Kin: I'll be back in a bit
[19:18:29]	[OOC] Emily Brown: k
[19:18:33]	FB|| light ROOM (STEAM_0:1:17219621) has disconnected.
[19:18:34]	[OOC] Emily Brown: same
[19:18:51]	PhilipIsBored (STEAM_0:0:38537787) has disconnected.
[20:40:24]	PhilipIsBored has connected.
[20:40:59]	PhilipIsBored loaded the character 'Emily Brown'
[20:46:39]	FB|| light ROOM has connected.
[20:47:41]	FB|| light ROOM loaded the character 'CCA.C14-UNION.EpU.72633'
[20:47:45]	[OOC] CCA.C14-UNION.EpU.72633: Yo
[20:49:06]	Madeline Wuntch has connected.
[20:50:56]	Madeline Wuntch (STEAM_0:0:193599766) deleted character 'weld me to a car'
[20:50:58]	Madeline Wuntch loaded the character 'CCA.C14-UNION.i5.36307'
