[06:08:40]	Weaponized Turtles has connected.
[14:54:22]	Tony Ricci has taken 15 damage from Antlion Spitter.
[14:54:22]	Tony Ricci has taken 5 damage from obj_antlion_spit.
[14:54:22]	Robert Jacobson has taken 23 damage from Jonathan Jackson.
[14:54:22]	Robert Jacobson has taken 26 damage from Jonathan Jackson.
[14:54:22]	Robert Jacobson has taken 23 damage from Jonathan Jackson.
[14:54:22]	[OOC] The Consul: sona did you die?
[14:54:24]	Tony Ricci has taken 13 damage from Antlion.
[14:54:26]	[OOC] Sona la Rona: yes
[14:54:26]	Tony Ricci has taken 15 damage from Antlion Spitter.
[14:54:28]	Tony Ricci has taken 10 damage from George Wach.
[14:54:29]	Jonathan Jackson has taken 27 damage from Richard Barley.
[14:54:29]	Jonathan Jackson has taken 27 damage from Richard Barley.
[14:54:33]	[OOC] Sona la Rona: im stuck in this scary place!
[14:54:34]	The Consul has gained 50 tokens.
[14:54:38]	Tony Ricci has taken 2 damage from Tony Ricci.
[14:54:38]	Tony Ricci has taken 2 damage from Tony Ricci.
[14:54:38]	Tony Ricci has taken 2 damage from Tony Ricci.
[14:54:39]	Tony Ricci has taken 2 damage from Tony Ricci.
[14:54:39]	Tony Ricci has taken 2 damage from Tony Ricci.
[14:54:39]	Tony Ricci has taken 2 damage from Tony Ricci.
[14:54:39]	Tony Ricci has taken 1 damage from Tony Ricci.
[14:54:46]	Richard Barley has taken 10 damage from Jonathan Jackson.
[14:55:09]	The Consul used command '/Broadcast Well done again. Round two.'.
[14:55:17]	[OOC] Jonathan Jackson: Is this the metaverse?
[14:55:24]	The Consul has spawned a 'NPC [168][npc_fassassin]'.
[14:55:24]	Carson Copper used command '/Radio Grab the bodies, n' stack em up... We'll use em for sandbags'.
[14:55:26]	Richard Barley has taken 4 damage from npc_fassassin.
[14:55:26]	Richard Barley has taken 4 damage from npc_fassassin.
[14:55:26]	Carson Copper has taken 5 damage from npc_fassassin.
[14:55:27]	Carson Copper has taken 5 damage from npc_fassassin.
[14:55:27]	Carson Copper has taken 4 damage from npc_fassassin.
[14:55:27]	The Consul has spawned a 'NPC [214][npc_fassassin]'.
[14:55:29]	Carson Copper has taken 45 damage from Élisabeth Morel.
[14:55:30]	Élisabeth Morel has taken 5 damage from npc_fassassin.
[14:55:30]	Carson Copper has taken 2 damage from Jonathan Jackson.
[14:55:30]	Jonathan Jackson has taken 4 damage from npc_fassassin.
[14:55:30]	Jonathan Jackson has taken 0 damage from npc_fassassin.
[14:55:31]	Carson Copper has taken 1 damage from Jonathan Jackson.
[14:55:31]	Carson Copper has taken 4 damage from npc_fassassin.
[14:55:31]	[OOC] Sona la Rona: am i just stuck in here now
[14:55:31]	Carson Copper has taken 4 damage from npc_fassassin.
[14:55:32]	Carson Copper has taken 4 damage from npc_fassassin.
[14:55:32]	Carson Copper has taken 4 damage from npc_fassassin.
[14:55:32]	Carson Copper has taken 4 damage from Robert Jacobson.
[14:55:33]	Carson Copper has taken 4 damage from npc_fassassin.
[14:55:33]	Scott Allard has taken 5 damage from npc_fassassin.
[14:55:33]	Carson Copper has taken 4 damage from npc_fassassin.
[14:55:33]	Scott Allard has taken 5 damage from npc_fassassin.
[14:55:33]	Carson Copper has taken 3 damage from Scott Allard.
[14:55:33]	Carson Copper has taken 4 damage from Scott Allard.
[14:55:33]	Carson Copper has taken 4 damage from npc_fassassin.
[14:55:33]	Carson Copper has taken 4 damage from npc_fassassin.
[14:55:34]	Carson Copper has taken 4 damage from npc_fassassin.
[14:55:34]	Carson Copper has taken 4 damage from npc_fassassin.
[14:55:34]	Carson Copper has taken 4 damage from George Wach.
[14:55:34]	Carson Copper has taken 5 damage from George Wach.
[14:55:34]	Carson Copper has taken 5 damage from George Wach.
[14:55:37]	[OOC] The Consul: you can jump out
[14:55:42]	[OOC] The Consul: i gave you your weapnos bakc
[14:55:51]	[OOC] Sona la Rona: i cant
[14:55:51]	[OOC] The Consul: i just opened the doors
[14:55:58]	The Consul has spawned a 'NPC [185][npc_fassassin]'.
[14:55:59]	The Consul has spawned a 'NPC [217][npc_fassassin]'.
[14:56:01]	Jonathan Jackson has taken 4 damage from npc_fassassin.
[14:56:01]	The Consul has spawned a 'NPC [227][npc_fassassin]'.
[14:56:01]	Jonathan Jackson has taken 5 damage from npc_fassassin.
[14:56:01]	Jonathan Jackson has taken 0 damage from npc_fassassin.
[14:56:01]	[OOC] Sona la Rona: nvm u opened doors
[14:56:01]	Jonathan Jackson has taken 5 damage from npc_fassassin.
[14:56:01]	Richard Barley has taken 4 damage from npc_fassassin.
[14:56:01]	Richard Barley has taken 4 damage from npc_fassassin.
[14:56:02]	Jonathan Jackson used command '/Radio All'.
[14:56:02]	Richard Barley has taken 4 damage from npc_fassassin.
[14:56:02]	Richard Barley has taken 4 damage from npc_fassassin.
[14:56:02]	Richard Barley has taken 4 damage from npc_fassassin.
[14:56:02]	Richard Barley has taken 4 damage from npc_fassassin.
[14:56:02]	Carson Copper has taken 4 damage from npc_fassassin.
[14:56:03]	Sona la Rona has taken 5 damage from npc_fassassin.
[14:56:04]	Sona la Rona has taken 4 damage from npc_fassassin.
[14:56:04]	Sona la Rona has taken 4 damage from npc_fassassin.
[14:56:04]	Richard Barley has taken 4 damage from npc_fassassin.
[14:56:04]	Scott Allard has taken 5 damage from npc_fassassin.
[14:56:04]	Scott Allard has taken 5 damage from npc_fassassin.
[14:56:05]	Scott Allard has taken 5 damage from npc_fassassin.
[14:56:05]	Scott Allard has taken 5 damage from npc_fassassin.
[14:56:05]	Scott Allard has taken 5 damage from npc_fassassin.
[14:56:05]	Scott Allard has taken 5 damage from npc_fassassin.
[14:56:05]	Scott Allard has taken 5 damage from npc_fassassin.
[14:56:06]	The Consul has spawned a 'NPC [221][npc_cscanner]'.
[14:56:06]	Scott Allard has taken 5 damage from npc_fassassin.
[14:56:06]	Scott Allard has taken 5 damage from npc_fassassin.
[14:56:06]	Scott Allard has taken 5 damage from npc_fassassin.
[14:56:07]	The Consul has spawned a 'NPC [175][npc_cscanner]'.
[14:56:08]	The Consul has spawned a 'NPC [97][npc_cscanner]'.
[14:56:16]	[Y] Robert Jacobson: Scanners!
[14:56:22]	The Consul has spawned a 'NPC [97][npc_combot]'.
[14:56:23]	The Consul has spawned a 'NPC [175][npc_combine_s]'.
[14:56:27]	Jonathan Jackson used command '/Radio Using your secondary is always faster than reloading.'.
[14:56:28]	The Consul has spawned a 'NPC [97][npc_combine_s]'.
[14:56:29]	The Consul has spawned a 'NPC [161][npc_combine_s]'.
[14:56:30]	The Consul has spawned a 'NPC [174][npc_combine_s]'.
[14:56:30]	The Consul has spawned a 'NPC [186][npc_combine_s]'.
[14:56:31]	George Wach has taken 3 damage from npc_combine_s.
[14:56:31]	George Wach has taken 3 damage from npc_combine_s.
[14:56:31]	The Consul has spawned a 'NPC [217][npc_combine_s]'.
[14:56:32]	George Wach has taken 3 damage from npc_combine_s.
[14:56:32]	George Wach has taken 3 damage from npc_combine_s.
[14:56:32]	George Wach has taken 3 damage from npc_combine_s.
[14:56:34]	The Consul has spawned a 'NPC [225][npc_manhack]'.
[14:56:34]	Richard Barley has taken 5 damage from npc_fassassin.
[14:56:34]	The Consul has spawned a 'NPC [97][npc_manhack]'.
[14:56:35]	Richard Barley has taken 4 damage from npc_fassassin.
[14:56:35]	Richard Barley has taken 4 damage from npc_fassassin.
[14:56:35]	Richard Barley has taken 4 damage from npc_fassassin.
[14:56:36]	Tony Ricci has taken 3 damage from npc_combine_s.
[14:56:36]	The Consul has spawned a 'NPC [243][npc_combine_s]'.
[14:56:36]	Tony Ricci has taken 3 damage from npc_combine_s.
[14:56:36]	George Wach has taken 3 damage from npc_combine_s.
[14:56:36]	[OOC] Scott Allard: Just gonna hide and chill in a spot
[14:56:36]	Tony Ricci has taken 3 damage from npc_combine_s.
[14:56:37]	The Consul has spawned a 'NPC [98][npc_combine_s]'.
[14:56:38]	Richard Barley has taken 4 damage from npc_fassassin.
[14:56:38]	Richard Barley has taken 4 damage from npc_fassassin.
[14:56:38]	Richard Barley has taken 4 damage from npc_fassassin.
[14:56:38]	Richard Barley has taken 4 damage from npc_fassassin.
[14:56:39]	Élisabeth Morel has taken 30 damage from npc_fassassin.
[14:56:39]	Élisabeth Morel has taken 30 damage from npc_fassassin.
[14:56:39]	The Consul has spawned a 'NPC [214][npc_manhack]'.
[14:56:40]	Tony Ricci has taken 3 damage from npc_combine_s.
[14:56:40]	Robert Jacobson has taken 19 damage from worldspawn.
[14:56:40]	Élisabeth Morel has taken 4 damage from npc_fassassin.
[14:56:40]	The Consul has spawned a 'NPC [259][npc_manhack]'.
[14:56:40]	Élisabeth Morel has taken 4 damage from npc_fassassin.
[14:56:41]	The Consul has spawned a 'NPC [274][npc_combine_s]'.
[14:56:43]	Robert Jacobson has taken 8 damage from npc_manhack.
[14:56:44]	Carson Copper has taken 2 damage from npc_combine_s.
[14:56:44]	Jonathan Jackson has taken 2 damage from npc_combine_s.
[14:56:46]	[Y] Robert Jacobson: Hacks!
[14:56:46]	Sona la Rona has taken 2 damage from npc_combine_s.
[14:56:46]	Sona la Rona has taken 18 damage from npc_combine_s.
[14:56:54]	Sona la Rona has taken 10 damage from George Wach.
[14:56:55]	Jonathan Jackson used command '/Radio Remember to take cover.'.
[14:56:56]	Robert Jacobson has taken 4 damage from George Wach.
[14:56:56]	Robert Jacobson has taken 5 damage from George Wach.
[14:56:57]	Tony Ricci has taken 4 damage from Richard Barley.
[14:56:57]	Tony Ricci has taken 5 damage from Richard Barley.
[14:56:57]	Tony Ricci has taken 4 damage from Richard Barley.
[14:56:57]	Tony Ricci has taken 5 damage from Richard Barley.
[14:56:57]	Tony Ricci has taken 4 damage from Richard Barley.
[14:56:57]	Tony Ricci has taken 5 damage from Richard Barley.
[14:56:58]	Tony Ricci has taken 3 damage from npc_combine_s.
[14:56:58]	Tony Ricci has taken 4 damage from Richard Barley.
[14:56:58]	Tony Ricci has taken 5 damage from Richard Barley.
[14:56:59]	George Wach has taken 4 damage from Richard Barley.
[14:56:59]	Tony Ricci has taken 4 damage from Richard Barley.
[14:56:59]	Tony Ricci has taken 5 damage from Richard Barley.
[14:57:00]	Tony Ricci has taken 4 damage from Richard Barley.
[14:57:00]	Tony Ricci has taken 5 damage from Richard Barley.
[14:57:00]	Tony Ricci has taken 7 damage from Richard Barley.
[14:57:00]	Tony Ricci has taken 5 damage from Richard Barley.
[14:57:01]	The Consul has spawned a 'NPC [161][npc_combine_s]'.
[14:57:02]	The Consul has spawned a 'NPC [98][npc_combine_s]'.
[14:57:03]	[OOC] Sona la Rona: brb
[14:57:03]	The Consul has spawned a 'NPC [236][npc_clawscanner]'.
[14:57:04]	The Consul has spawned a 'NPC [239][npc_combine_s]'.
[14:57:04]	Sona la Rona has taken 3 damage from George Wach.
[14:57:05]	The Consul has spawned a 'NPC [243][npc_combine_s]'.
[14:57:05]	[Y] Robert Jacobson: Hacks!
[14:57:07]	The Consul has spawned a 'NPC [257][npc_combine_s]'.
[14:57:07]	Robert Jacobson has taken 3 damage from npc_combine_s.
[14:57:07]	The Consul has spawned a 'NPC [259][npc_manhack]'.
[14:57:09]	Robert Jacobson has taken 4 damage from npc_manhack.
[14:57:10]	Robert Jacobson has taken 1 damage from Jonathan Jackson.
[14:57:10]	Robert Jacobson has taken 48 damage from Jonathan Jackson.
[14:57:10]	Robert Jacobson has taken 48 damage from Jonathan Jackson.
[14:57:10]	The Consul has spawned a 'NPC [298][npc_manhack]'.
[14:57:12]	Carson Copper has taken 2 damage from Robert Jacobson.
[14:57:15]	Robert Jacobson has taken 3 damage from npc_combine_s.
[14:57:16]	The Consul has spawned a 'NPC [175][npc_cstalker]'.
[14:57:17]	The Consul has spawned a 'NPC [306][npc_cstalker]'.
[14:57:18]	Carson Copper has taken 4 damage from Élisabeth Morel.
[14:57:18]	Carson Copper has taken 5 damage from Élisabeth Morel.
[14:57:23]	Tony Ricci has taken 3 damage from npc_combine_s.
[14:57:26]	Sona la Rona has taken 8 damage from Robert Jacobson.
[14:57:26]	Sona la Rona has taken 35 damage from Tony Ricci.
[14:57:26]	Sona la Rona has taken 35 damage from Tony Ricci.
[14:57:26]	Sona la Rona has taken 28 damage from Robert Jacobson.
[14:57:26]	Sona la Rona has taken 28 damage from Robert Jacobson.
[14:57:27]	Richard Barley has taken 5 damage from Tony Ricci.
[14:57:27]	Richard Barley has taken 5 damage from Tony Ricci.
[14:57:27]	Richard Barley has taken 63 damage from Tony Ricci.
[14:57:27]	Richard Barley has taken 1 damage from Tony Ricci.
[14:57:27]	Richard Barley has taken 7 damage from Tony Ricci.
[14:57:27]	Richard Barley has taken 7 damage from Tony Ricci.
[14:57:31]	Scott Allard has taken 41 damage from George Wach.
[14:57:31]	Scott Allard has taken 41 damage from George Wach.
[14:57:31]	Scott Allard has taken 41 damage from George Wach.
[14:57:40]	The Consul used command '/Event Round 3.'.
[14:57:43]	[OOC] The Consul: shitr
[14:57:45]	The Consul used command '/Broadcast Round 3.'.
[14:57:53]	Tony Ricci used command '/Radio Never thought I would be shooting at the combine....'.
[14:58:04]	[OOC] Sona la Rona: im back
[14:58:07]	The Consul has spawned a 'NPC [150][npc_hunter]'.
[14:58:10]	Élisabeth Morel used command '/Radio I wonder why they okayed such a thing..'.
[14:58:14]	The Consul has spawned a 'NPC [98][npc_hunter]'.
[14:58:15]	The Consul has spawned a 'NPC [175][npc_hunter]'.
[14:58:15]	The Consul has spawned a 'NPC [97][npc_hunter]'.
[14:58:16]	The Consul has spawned a 'NPC [161][npc_hunter]'.
[14:58:17]	Tony Ricci has taken 4 damage from npc_hunter.
[14:58:17]	Tony Ricci has taken 4 damage from npc_hunter.
[14:58:17]	Tony Ricci has taken 4 damage from npc_hunter.
[14:58:17]	The Consul has spawned a 'NPC [258][npc_clawscanner]'.
[14:58:17]	Tony Ricci has taken 4 damage from npc_hunter.
[14:58:18]	The Consul has spawned a 'NPC [239][npc_clawscanner]'.
[14:58:18]	The Consul has spawned a 'NPC [282][npc_clawscanner]'.
[14:58:20]	The Consul has spawned a 'NPC [276][npc_manhack]'.
[14:58:20]	The Consul has spawned a 'NPC [285][npc_manhack]'.
[14:58:21]	The Consul has spawned a 'NPC [313][npc_manhack]'.
[14:58:22]	The Consul has spawned a 'NPC [319][npc_manhack]'.
[14:58:22]	The Consul has spawned a 'NPC [248][npc_hunter]'.
[14:58:23]	Carson Copper has taken 11 damage from Jonathan Jackson.
[14:58:23]	Carson Copper has taken 11 damage from Jonathan Jackson.
[14:58:23]	Robert Jacobson has taken 4 damage from npc_hunter.
[14:58:23]	Carson Copper has taken 45 damage from Jonathan Jackson.
[14:58:23]	The Consul has spawned a 'NPC [328][npc_hunter]'.
[14:58:23]	The Consul has spawned a 'NPC [267][npc_combine_s]'.
[14:58:24]	The Consul has spawned a 'NPC [214][npc_combine_s]'.
[14:58:24]	The Consul has spawned a 'NPC [296][npc_combine_s]'.
[14:58:24]	The Consul has spawned a 'NPC [303][npc_combine_s]'.
[14:58:25]	The Consul has spawned a 'NPC [185][npc_combine_s]'.
[14:58:26]	Sona la Rona has taken 18 damage from npc_combine_s.
[14:58:26]	The Consul has spawned a 'NPC [302][npc_combine_s]'.
[14:58:27]	Robert Jacobson has taken 4 damage from npc_hunter.
[14:58:27]	Robert Jacobson has taken 4 damage from npc_hunter.
[14:58:27]	The Consul has spawned a 'NPC [241][npc_combine_s]'.
[14:58:28]	George Wach has taken 4 damage from npc_hunter.
[14:58:28]	The Consul has spawned a 'NPC [284][npc_combine_s]'.
[14:58:28]	George Wach has taken 4 damage from npc_hunter.
[14:58:28]	George Wach has taken 3 damage from npc_combine_s.
[14:58:29]	The Consul has spawned a 'NPC [258][npc_combot]'.
[14:58:29]	Tony Ricci has taken 3 damage from npc_combine_s.
[14:58:29]	Scott Allard has taken 3 damage from npc_combine_s.
[14:58:30]	Tony Ricci has taken 3 damage from npc_combine_s.
[14:58:30]	Scott Allard has taken 3 damage from npc_combine_s.
[14:58:30]	The Consul has spawned a 'NPC [174][npc_combine_s]'.
[14:58:31]	George Wach has taken 3 damage from npc_combine_s.
[14:58:31]	George Wach has taken 3 damage from npc_combine_s.
[14:58:32]	George Wach has taken 3 damage from npc_combine_s.
[14:58:32]	George Wach has taken 3 damage from npc_combine_s.
[14:58:32]	The Consul has spawned a 'NPC [276][npc_combine_s]'.
[14:58:32]	Tony Ricci has taken 3 damage from npc_combine_s.
[14:58:32]	Robert Jacobson has taken 4 damage from npc_hunter.
[14:58:32]	Tony Ricci has taken 3 damage from npc_combine_s.
[14:58:32]	Tony Ricci has taken 3 damage from npc_combine_s.
[14:58:32]	Robert Jacobson has taken 3 damage from npc_combine_s.
[14:58:33]	Tony Ricci has taken 3 damage from npc_combine_s.
[14:58:33]	Robert Jacobson has taken 3 damage from npc_combine_s.
[14:58:33]	The Consul has spawned a 'NPC [331][npc_combine_s]'.
[14:58:33]	Tony Ricci has taken 3 damage from npc_combine_s.
[14:58:33]	The Consul has spawned a 'NPC [257][npc_combine_s]'.
[14:58:34]	George Wach has taken 3 damage from npc_combine_s.
[14:58:34]	Tony Ricci has taken 3 damage from npc_combine_s.
[14:58:35]	Jonathan Jackson used command '/Radio Your pistol has a power shot, use it.'.
[14:58:35]	Scott Allard has taken 3 damage from npc_combine_s.
[14:58:35]	Robert Jacobson has taken 4 damage from Élisabeth Morel.
[14:58:35]	Robert Jacobson has taken 5 damage from Élisabeth Morel.
[14:58:36]	George Wach has taken 3 damage from npc_combine_s.
[14:58:36]	Scott Allard has taken 3 damage from npc_combine_s.
[14:58:36]	George Wach has taken 3 damage from npc_combine_s.
[14:58:36]	George Wach has taken 3 damage from npc_combine_s.
[14:58:36]	George Wach has taken 3 damage from npc_combine_s.
[14:58:36]	Scott Allard has taken 3 damage from npc_combine_s.
[14:58:39]	Sona la Rona has taken 0 damage from npc_combine_s.
[14:58:40]	George Wach has taken 3 damage from npc_combine_s.
[14:58:41]	Sona la Rona has taken 4 damage from npc_hunter.
[14:58:41]	Sona la Rona has taken 4 damage from npc_hunter.
[14:58:42]	Sona la Rona has taken 4 damage from npc_hunter.
[14:58:42]	George Wach has taken 32 damage from Jonathan Jackson.
[14:58:42]	Sona la Rona has taken 4 damage from npc_hunter.
[14:58:42]	Sona la Rona has taken 4 damage from npc_hunter.
[14:58:42]	Robert Jacobson has taken 3 damage from npc_combine_s.
[14:58:43]	Robert Jacobson has taken 3 damage from npc_combine_s.
[14:58:43]	Robert Jacobson has taken 3 damage from npc_combine_s.
[14:58:46]	Carson Copper has taken 2 damage from npc_combine_s.
[14:58:46]	Robert Jacobson has taken 3 damage from npc_combine_s.
[14:58:47]	Robert Jacobson has taken 3 damage from npc_combine_s.
[14:58:48]	Robert Jacobson has taken 3 damage from npc_combine_s.
[14:58:48]	The Consul has spawned a 'NPC [274][npc_cscanner]'.
[14:58:49]	The Consul has spawned a 'NPC [324][npc_cscanner]'.
[14:58:55]	Scott Allard has taken 0 damage from Scott Allard.
[14:58:56]	Robert Jacobson has taken 13 damage from Scott Allard.
[14:58:56]	Robert Jacobson has taken 57 damage from Scott Allard.
[14:58:56]	Robert Jacobson has taken 26 damage from Scott Allard.
[14:58:56]	Scott Allard has taken 2 damage from Scott Allard.
[14:58:56]	Robert Jacobson has taken 43 damage from Scott Allard.
[14:58:56]	Scott Allard has taken 1 damage from Scott Allard.
[14:58:57]	Robert Jacobson has taken 28 damage from Scott Allard.
[14:58:57]	Robert Jacobson has taken 28 damage from Scott Allard.
[14:58:58]	Scott Allard has taken 0 damage from Scott Allard.
[14:59:05]	Robert Jacobson has taken 4 damage from npc_manhack.
[14:59:07]	Robert Jacobson has taken 7 damage from Carson Copper.
[14:59:15]	The Consul used command '/Event Easy. Too easy, really. Is this supposed to be a challenge?'.
[14:59:28]	[OOC] Sona la Rona: no this is way too ez
[14:59:30]	Élisabeth Morel used command '/Radio Time to go exploring.'.
[14:59:34]	The Consul has gained 50 tokens.
[14:59:35]	Jonathan Jackson used command '/Radio All of you stick to the ramp area, it is far easier to hold.'.
[14:59:37]	Tony Ricci used command '/Radio Don't die....'.
[14:59:39]	Élisabeth Morel has taken 93 damage from worldspawn.
[14:59:41]	The Consul used command '/Event Let's try something new.'.
[14:59:46]	[OOC] George Wach: no
[14:59:47]	The Consul has spawned a 'NPC [161][npc_vj_cb_combinesynth]'.
[14:59:48]	Tony Ricci has taken 16 damage from Synth Combine.
[14:59:51]	Scott Allard has taken 16 damage from Synth Combine.
[14:59:51]	Scott Allard has taken 14 damage from Synth Combine.
[14:59:53]	Scott Allard has taken 15 damage from Synth Combine.
[14:59:54]	[OOC] Jonathan Jackson: Make sure to be on frequency 101.0
[14:59:56]	[OOC] Sona la Rona: *spawns in a strider*
[14:59:59]	Scott Allard has taken 16 damage from Synth Combine.
[14:59:59]	Scott Allard has taken 15 damage from Synth Combine.
[14:59:59]	Scott Allard has taken 15 damage from Synth Combine.
[15:00:00]	Scott Allard has taken 14 damage from Synth Combine.
[15:00:00]	Tony Ricci ran 'Frequency' on item 'Handheld Radio' (#39674)
[15:00:03]	Tony Ricci used command '/SetFreq 101.0'.
[15:00:05]	Tony Ricci ran 'Frequency' on item 'Handheld Radio' (#39674)
[15:00:05]	The Consul has spawned a 'NPC [161][npc_vj_cb_cremator]'.
[15:00:07]	The Consul has spawned a 'NPC [174][npc_vj_cb_cremator]'.
[15:00:08]	Tony Ricci used command '/SetFreq 101.0'.
[15:00:10]	[Y] Carson Copper: Get FUCKED NERD!
[15:00:13]	George Wach has taken 59 damage from George Wach.
[15:00:14]	Scott Allard has taken 11 damage from George Wach.
[15:00:14]	Tony Ricci ran 'Frequency' on item 'Handheld Radio' (#39674)
[15:00:15]	Robert Jacobson has taken 59 damage from Robert Jacobson.
[15:00:18]	Scott Allard has taken 6 damage from Cremator.
[15:00:18]	Scott Allard has taken 7 damage from Cremator.
[15:00:18]	Scott Allard has taken 8 damage from Cremator.
[15:00:18]	Scott Allard has taken 8 damage from Cremator.
[15:00:19]	Scott Allard has taken 5 damage from prop_ragdoll.
[15:00:19]	Scott Allard has taken 5 damage from prop_ragdoll.
[15:00:19]	Sona la Rona has taken 7 damage from Cremator.
[15:00:19]	Sona la Rona has taken 8 damage from Cremator.
[15:00:19]	Sona la Rona has taken 7 damage from Cremator.
[15:00:19]	Sona la Rona has taken 8 damage from Cremator.
[15:00:19]	Sona la Rona has taken 7 damage from Cremator.
[15:00:19]	Sona la Rona has taken 7 damage from Cremator.
[15:00:19]	Tony Ricci used command '/SetFreq 101'.
[15:00:20]	Sona la Rona has taken 8 damage from Cremator.
[15:00:20]	Sona la Rona has taken 6 damage from Cremator.
[15:00:24]	Tony Ricci ran 'Frequency' on item 'Handheld Radio' (#39674)
[15:00:24]	Jonathan Jackson has taken 6 damage from Cremator.
[15:00:24]	Robert Jacobson has taken 6 damage from Cremator.
[15:00:24]	Robert Jacobson has taken 1 damage from Robert Jacobson.
[15:00:24]	Jonathan Jackson has taken 1 damage from Jonathan Jackson.
[15:00:24]	Jonathan Jackson has taken 6 damage from Cremator.
[15:00:24]	Robert Jacobson has taken 1 damage from Robert Jacobson.
[15:00:24]	Robert Jacobson has taken 1 damage from Robert Jacobson.
[15:00:24]	Robert Jacobson has taken 8 damage from Cremator.
[15:00:24]	Jonathan Jackson has taken 8 damage from Cremator.
[15:00:24]	Robert Jacobson has taken 8 damage from Cremator.
[15:00:24]	Jonathan Jackson has taken 7 damage from Cremator.
[15:00:24]	Robert Jacobson has taken 6 damage from Cremator.
[15:00:24]	Jonathan Jackson has taken 7 damage from Cremator.
[15:00:24]	Robert Jacobson has taken 6 damage from Cremator.
[15:00:24]	Robert Jacobson has taken 7 damage from Cremator.
[15:00:25]	Robert Jacobson has taken 8 damage from Cremator.
[15:00:25]	Robert Jacobson has taken 7 damage from Cremator.
[15:00:25]	Robert Jacobson has taken 6 damage from Cremator.
[15:00:25]	Robert Jacobson has taken 8 damage from Cremator.
[15:00:25]	Robert Jacobson has taken 6 damage from Cremator.
[15:00:25]	Robert Jacobson has taken 8 damage from George Wach.
[15:00:25]	Robert Jacobson has taken 8 damage from Cremator.
[15:00:25]	Robert Jacobson has taken 8 damage from Cremator.
[15:00:26]	Robert Jacobson has taken 0 damage from Robert Jacobson.
[15:00:26]	Jonathan Jackson has taken 2 damage from Jonathan Jackson.
[15:00:26]	Robert Jacobson has taken 2 damage from Robert Jacobson.
[15:00:26]	Jonathan Jackson has taken 1 damage from Jonathan Jackson.
[15:00:26]	Robert Jacobson has taken 2 damage from Robert Jacobson.
[15:00:26]	Jonathan Jackson has taken 0 damage from Jonathan Jackson.
[15:00:26]	Robert Jacobson has taken 0 damage from Robert Jacobson.
[15:00:26]	Robert Jacobson has taken 2 damage from Robert Jacobson.
[15:00:27]	Robert Jacobson has taken 1 damage from Robert Jacobson.
[15:00:27]	Jonathan Jackson has taken 1 damage from Jonathan Jackson.
[15:00:27]	Jonathan Jackson has taken 2 damage from Jonathan Jackson.
[15:00:27]	Robert Jacobson has taken 1 damage from Robert Jacobson.
[15:00:28]	Tony Ricci used command '/SetFreq 101.0'.
[15:00:29]	Robert Jacobson has taken 2 damage from Robert Jacobson.
[15:00:29]	Robert Jacobson has taken 1 damage from Robert Jacobson.
[15:00:29]	Robert Jacobson has taken 1 damage from Robert Jacobson.
[15:00:29]	Robert Jacobson has taken 1 damage from Robert Jacobson.
[15:00:30]	[OOC] Sona la Rona: i think im godded
[15:00:30]	Tony Ricci ran 'Frequency' on item 'Handheld Radio' (#39674)
[15:00:30]	Robert Jacobson has taken 2 damage from Robert Jacobson.
[15:00:30]	Robert Jacobson has taken 1 damage from Robert Jacobson.
[15:00:30]	Robert Jacobson has taken 1 damage from Robert Jacobson.
[15:00:32]	Robert Jacobson has taken 1 damage from Robert Jacobson.
[15:00:32]	Robert Jacobson has taken 0 damage from Robert Jacobson.
[15:00:32]	Robert Jacobson has taken 1 damage from Robert Jacobson.
[15:00:32]	Robert Jacobson has taken 1 damage from Robert Jacobson.
[15:00:32]	Robert Jacobson has taken 1 damage from Robert Jacobson.
[15:00:33]	[OOC] The Consul: oy'urew not
[15:00:33]	Robert Jacobson has taken 1 damage from Robert Jacobson.
[15:00:33]	Robert Jacobson has taken 1 damage from Robert Jacobson.
[15:00:33]	[Y] Robert Jacobson: IT BURNS.
[15:00:34]	Robert Jacobson has taken 2 damage from Robert Jacobson.
[15:00:34]	Robert Jacobson has taken 1 damage from Robert Jacobson.
[15:00:34]	Robert Jacobson has taken 1 damage from Robert Jacobson.
[15:00:34]	Robert Jacobson has taken 1 damage from Robert Jacobson.
[15:00:35]	Tony Ricci used command '/SetFreq 101.0'.
[15:00:35]	Robert Jacobson has taken 1 damage from Robert Jacobson.
[15:00:35]	Robert Jacobson has taken 1 damage from Robert Jacobson.
[15:00:35]	Robert Jacobson has taken 2 damage from Robert Jacobson.
[15:00:36]	Tony Ricci ran 'Toggle' on item 'Handheld Radio' (#39674)
[15:00:36]	Robert Jacobson has taken 1 damage from Robert Jacobson.
[15:00:37]	Robert Jacobson has taken 1 damage from Robert Jacobson.
[15:00:37]	Tony Ricci ran 'Frequency' on item 'Handheld Radio' (#39674)
[15:00:38]	Robert Jacobson has taken 21 damage from worldspawn.
[15:00:40]	[OOC] The Consul: you just have a lot of helath
[15:00:40]	Tony Ricci used command '/SetFreq 101.0'.
[15:00:42]	Tony Ricci ran 'Toggle' on item 'Handheld Radio' (#39674)
[15:00:43]	Tony Ricci ran 'Frequency' on item 'Handheld Radio' (#39674)
[15:00:43]	[OOC] Sona la Rona: oh
[15:00:47]	The Consul has spawned a 'NPC [295][npc_vj_cb_cremator]'.
[15:00:49]	The Consul has spawned a 'NPC [307][npc_vj_cb_cremator]'.
