[09:34:18]	GamingTheGames has connected.
[14:24:33]	Lee Maylor used command '/CreateCustomItem Dull Needle models/props_c17/TrapPropeller_Lever.mdl It's a dull, used needle. It couldn't inject anything into empty air, let alone a person.'.
[14:24:34]	Lee Maylor ran 'drop' on item 'Dull Needle' (#4832)
[14:24:34]	Lee Maylor has lost a 'Dull Needle' #4832.
[14:24:40]	Lee Maylor has gained a 'Dull Needle' #4833.
[14:24:40]	Lee Maylor used command '/CreateCustomItem Dull Needle models/props_c17/TrapPropeller_Lever.mdl It's a dull, used needle. It couldn't inject anything into empty air, let alone a person.'.
[14:24:42]	Lee Maylor ran 'drop' on item 'Dull Needle' (#4833)
[14:24:42]	Lee Maylor has lost a 'Dull Needle' #4833.
[14:24:44]	Lee Maylor used command '/adminspawnmenu'.
[14:24:49]	Lee Maylor has spawned "Empty Glass Bottle"
[14:24:52]	Steven Kenneth ran 'take' on item 'Dull Needle' (#4833)
[14:24:52]	Steven Kenneth has gained a 'Dull Needle' #4833.
[14:24:54]	Lee Maylor used command '/adminspawnmenu'.
[14:24:57]	Lee Maylor has spawned "Empty Glass Bottle"
[14:25:05]	Lee Maylor used command '/CharGiveItem maylor "empty glass bottle?'.
[14:25:07]	Lee Maylor has gained a 'Empty Glass Bottle' #4836.
[14:25:07]	Lee Maylor used command '/CharGiveItem maylor empty glass bottle'.
[14:25:08]	Lee Maylor ran 'drop' on item 'Empty Glass Bottle' (#4836)
[14:25:08]	Lee Maylor has lost a 'Empty Glass Bottle' #4836.
[14:25:10]	Steven Kenneth ran 'take' on item 'Empty Glass Bottle' (#4836)
[14:25:10]	Steven Kenneth has gained a 'Empty Glass Bottle' #4836.
[14:25:13]	Steven Kenneth ran 'Equip' on item 'Empty Glass Bottle' (#4836)
[14:25:23]	Lee Maylor used command '/PlySearch'.
[14:25:24]	[ME] CCA.C17-GRID.i5.41034: flicks on the stunstick and delivers 2 blows to the person's right arm
[14:25:24]	Lee Maylor used command '/PlySearch'.
[14:25:29]	[ME] CCA.C17-GRID.i5.41034: does he resist?
[14:25:31]	Steven Kenneth has taken 1 damage from worldspawn.
[14:25:32]	[ME] Artyom Kuznetsov: does not resist.
[14:25:32]	Steven Kenneth has taken 1 damage from worldspawn.
[14:25:33]	XYZ509 has connected.
[14:25:33]	Steven Kenneth has taken 1 damage from worldspawn.
[14:25:34]	Steven Kenneth has taken 1 damage from worldspawn.
[14:25:34]	Steven Kenneth has taken 1 damage from worldspawn.
[14:25:35]	Steven Kenneth has taken 1 damage from worldspawn.
[14:25:36]	Artyom Kuznetsov has taken 5 damage from CCA.C17-GRID.i5.41034.
[14:25:36]	Steven Kenneth has taken 1 damage from worldspawn.
[14:25:37]	Artyom Kuznetsov has taken 5 damage from CCA.C17-GRID.i5.41034.
[14:25:37]	Steven Kenneth has taken 1 damage from worldspawn.
[14:25:37]	Steven Kenneth has taken 1 damage from worldspawn.
[14:25:38]	Steven Kenneth has taken 1 damage from worldspawn.
[14:25:39]	Steven Kenneth has taken 1 damage from worldspawn.
[14:25:40]	Steven Kenneth has taken 1 damage from worldspawn.
[14:25:40]	Steven Kenneth ran 'EquipUn' on item 'Cyclopic Citizen Suit' (#751)
[14:25:41]	Steven Kenneth has taken 1 damage from worldspawn.
[14:25:41]	Steven Kenneth has taken 1 damage from worldspawn.
[14:25:42]	Steven Kenneth has taken 1 damage from worldspawn.
[14:25:43]	Steven Kenneth ran 'Equip' on item 'Cyclopic Citizen Suit' (#751)
[14:25:43]	Lee Maylor used command '/PM lazarus time for chicken to failmug'.
[14:25:43]	Steven Kenneth has taken 1 damage from worldspawn.
[14:25:44]	Steven Kenneth has taken 1 damage from worldspawn.
[14:25:44]	Steven Kenneth has taken 1 damage from worldspawn.
[14:25:45]	[ME] CCA.C17-GRID.i5.41034: turns off the stunstick
[14:25:45]	Steven Kenneth has taken 1 damage from worldspawn.
[14:25:46]	Steven Kenneth has taken 1 damage from worldspawn.
[14:25:47]	Steven Kenneth has taken 1 damage from worldspawn.
[14:25:47]	Steven Kenneth has taken 1 damage from worldspawn.
[14:25:48]	Steven Kenneth has taken 1 damage from worldspawn.
[14:25:48]	PFC Mitchell 'Lazzy' Lazarus used command '/Reply Truly'.
[14:25:49]	Steven Kenneth has taken 1 damage from worldspawn.
[14:25:49]	Lee Maylor used command '/PM lazarus or guess not'.
[14:25:50]	Steven Kenneth has taken 1 damage from worldspawn.
[14:25:50]	Steven Kenneth has taken 1 damage from worldspawn.
[14:25:51]	Steven Kenneth has taken 1 damage from worldspawn.
[14:25:52]	Steven Kenneth has taken 1 damage from worldspawn.
[14:25:53]	Steven Kenneth has taken 1 damage from worldspawn.
[14:25:53]	[ME] Artyom Kuznetsov: grunts in pain, then wiggling his arm to shake off the pain.
[14:25:53]	Steven Kenneth has taken 1 damage from worldspawn.
[14:25:54]	Steven Kenneth has taken 1 damage from worldspawn.
[14:25:55]	Steven Kenneth has taken 1 damage from worldspawn.
[14:25:56]	Steven Kenneth has taken 1 damage from worldspawn.
[14:25:56]	Steven Kenneth has taken 1 damage from worldspawn.
[14:25:57]	Steven Kenneth has taken 1 damage from worldspawn.
[14:25:58]	Steven Kenneth has taken 1 damage from worldspawn.
[14:25:59]	Steven Kenneth has taken 1 damage from worldspawn.
[14:25:59]	Steven Kenneth has taken 1 damage from worldspawn.
[14:26:00]	Steven Kenneth used the 'Shopkeeper' vendor.
[14:26:00]	Steven Kenneth has taken 1 damage from worldspawn.
[14:26:01]	Steven Kenneth has taken 1 damage from worldspawn.
[14:26:02]	Steven Kenneth has taken 1 damage from worldspawn.
[14:26:02]	Steven Kenneth has taken 1 damage from worldspawn.
[14:26:03]	Steven Kenneth has taken 1 damage from worldspawn.
[14:26:03]	Steven Kenneth has lost 2 tokens.
[14:26:03]	Steven Kenneth has gained a 'Citizen Filter' #4837.
[14:26:04]	Steven Kenneth has lost 2 tokens.
[14:26:04]	Steven Kenneth has gained a 'Citizen Filter' #4838.
[14:26:04]	Steven Kenneth has taken 1 damage from worldspawn.
[14:26:05]	Steven Kenneth has taken 1 damage from worldspawn.
[14:26:06]	Steven Kenneth has taken 1 damage from worldspawn.
[14:26:06]	Steven Kenneth has taken 1 damage from worldspawn.
[14:26:07]	Steven Kenneth ran 'equip' on item 'Citizen Filter' (#4837)
[14:26:26]	[OOC] CCA.C17-GRID.i1.59212: back
[14:26:29]	XYZ509 loaded the character 'CCA.C17-UNION.i5.01477'
[14:26:31]	CCA.C17-GRID.i5.41034 has gained 10 tokens.
[14:26:34]	Steven Kenneth ran 'EquipUn' on item 'Empty Glass Bottle' (#4836)
[14:26:46]	CCA.C17-UNION.i5.01477 used command '/CharDesc'.
[14:26:48]	Lee Maylor exited observer at their location.
[14:26:48]	Lee Maylor entered observer.
[14:26:49]	Lee Maylor exited observer at their location.
[14:26:50]	Lee Maylor entered observer.
[14:26:53]	Lee Maylor exited observer at their location.
[14:26:54]	Lee Maylor entered observer.
[14:27:00]	[OOC] PFC Mitchell 'Lazzy' Lazarus: Conscripts should get small stat boosts smh.
[14:27:04]	CCA.C17-UNION.i5.01477 used command '/CharDesc'.
[14:27:09]	[OOC] Lee Maylor: hold on let me make a meme
[14:27:19]	CCA.C17-UNION.i5.01477 used command '/CharDesc'.
[14:27:22]	[OOC] PFC Mitchell 'Lazzy' Lazarus: No but actually, they get training for a reason.
[14:28:00]	CCA.C17-UNION.i5.01477 used command '/CharDesc A Metrocop of unknown identity, with an Irish tint to his speech.'.
[14:28:04]	CCA.C17-UNION.i5.01477 used command '/CharDesc'.
[14:28:08]	CCA.C17-UNION.i5.01477 used command '/CharDesc A Metrocop of unknown identity, with an Irish tint to their speech.'.
[14:28:42]	CCA.C17-UNION.i5.01477 ran 'View' on item 'Notepad' (#3272)
[14:28:55]	CCA.C17-UNION.i5.01477 ran 'use' on item '9mm Pistol Magazine' (#1692)
[14:29:23]	[ME] CCA.C17-GRID.i5.41034: flicks on stunstick to low and brings it up, hitting the man 2 times on his right arm
[14:29:25]	[ME] CCA.C17-GRID.i5.41034: does he resist?
[14:29:35]	[OOC] CCA.C17-GRID.i1.59212: / you know what
[14:29:47]	[OOC] CCA.C17-GRID.i1.59212: IM
[14:29:48]	[ME] Steven Kenneth: does not resist
[14:29:48]	[OOC] CCA.C17-GRID.i1.59212: GONAN 
[14:29:50]	[OOC] PFC Mitchell 'Lazzy' Lazarus: Imagine enforcing movement violations smh.
[14:29:50]	[OOC] CCA.C17-GRID.i1.59212: m do
[14:29:52]	[OOC] CCA.C17-GRID.i1.59212: workshift
[14:29:54]	Steven Kenneth has taken 5 damage from CCA.C17-GRID.i5.41034.
[14:29:54]	Steven Kenneth has taken 5 damage from CCA.C17-GRID.i5.41034.
[14:29:59]	[Y] Steven Kenneth: GASASF.
[14:30:07]	[ME] CCA.C17-GRID.i5.41034: lowers and turns off stunstick
[14:31:07]	Steven Kenneth ran 'drop' on item 'Duct Tape' (#4828)
[14:31:07]	Steven Kenneth has lost a 'Duct Tape' #4828.
[14:31:07]	Steven Kenneth ran 'drop' on item 'Dull Needle' (#4833)
[14:31:07]	Steven Kenneth has lost a 'Dull Needle' #4833.
[14:31:09]	Steven Kenneth ran 'drop' on item 'Empty Glass Bottle' (#4836)
[14:31:09]	Steven Kenneth has lost a 'Empty Glass Bottle' #4836.
[14:31:11]	Steven Kenneth ran 'drop' on item 'Euros' (#4827)
[14:31:11]	Steven Kenneth has lost a 'Euros' #4827.
[14:31:29]	CCA.C17-UNION.i5.01477 has gained 10 tokens.
[14:31:31]	[OOC] CCA.C17-GRID.i1.59212: chicken stop migeing
[14:31:31]	CCA.C17-GRID.i1.59212 has gained 10 tokens.
[14:31:31]	CCA.C17-GRID.i5.41034 has gained 10 tokens.
[14:31:37]	[OOC] Steven Kenneth: im not
[14:31:41]	[OOC] PFC Mitchell 'Lazzy' Lazarus: Can you open this Door real quick Q?
[14:31:44]	[OOC] CCA.C17-GRID.i1.59212: you were on top of me
[14:31:47]	[OOC] Steven Kenneth: k
[14:31:49]	[OOC] CCA.C17-GRID.i1.59212: are needles even contraband
[14:31:58]	[OOC] CCA.C17-UNION.i5.01477: ...its a needle.
[14:32:05]	[OOC] CCA.C17-GRID.i5.41034: it could be a heroin needle
[14:32:12]	[OOC] CCA.C17-GRID.i1.59212: oh its dull
[14:32:16]	[OOC] CCA.C17-GRID.i1.59212: probably a knitting needle
[14:32:21]	[OOC] CCA.C17-UNION.i5.01477: i was going to say if it was sharp than yes..
[14:32:27]	[OOC] CCA.C17-GRID.i1.59212: q you gonna participate or should we ignore you
[14:33:10]	CCA.C17-GRID.i5.41034 ran 'Use' on item 'Zip Tie' (#4795)
[14:33:14]	[ME] CCA.C17-GRID.i5.41034: ties the man
[14:33:26]	[ME] CCA.C17-GRID.i5.41034: searches the man
[14:33:34]	CCA.C17-GRID.i5.41034 used command '/CharSearch'.
[14:33:37]	CCA.C17-GRID.i1.59212 used command '/CharSearch'.
[14:33:42]	[OOC] Lee Maylor: it's a heroin needle
[14:33:43]	[OOC] Lee Maylor: and wha's up
[14:33:48]	[LOOC] CCA.C17-UNION.i5.01477: you should ask for if they resist, as they should have the option to
[14:33:57]	[ME] CCA.C17-GRID.i5.41034: ties the man
[14:33:58]	[OOC] Lee Maylor: it's not contraband but it is fuckin uh
[14:33:59]	CCA.C17-GRID.i5.41034 ran 'Use' on item 'Zip Tie' (#4794)
[14:34:07]	[OOC] Lee Maylor: wha's the word
[14:34:08]	[ME] CCA.C17-GRID.i5.41034: searches the man
[14:34:10]	CCA.C17-GRID.i5.41034 used command '/CharSearch'.
[14:34:13]	[OOC] CCA.C17-UNION.i5.01477: whats the forums again if it isnt taken down
[14:34:16]	[OOC] CCA.C17-GRID.i1.59212: are you participating in the workcycle or should we ignore you
[14:34:22]	[OOC] Lee Maylor: projectrevival.xyz/forum
[14:34:24]	[OOC] Lee Maylor: ignore me
[14:34:26]	[OOC] Steven Kenneth: q
[14:34:26]	[OOC] CCA.C17-GRID.i1.59212: kk
[14:34:29]	[OOC] Steven Kenneth: i wanna apply
[14:34:32]	[OOC] Steven Kenneth: for god
[14:34:36]	CCA.C17-GRID.i1.59212 used command '/CharSearch'.
[14:34:42]	[OOC] CCA.C17-UNION.i5.01477: it has my name in the end :3 O_O UwU
[14:34:47]	CCA.C17-GRID.i1.59212 used command '/CharSearch'.
[14:34:54]	CCA.C17-GRID.i1.59212 ran 'View' on item 'Notepad' (#764)
[14:35:10]	[OOC] CCA.C17-UNION.i5.01477: that was social suicide
[14:35:18]	CCA.C17-GRID.i1.59212 has gained a 'Notepad' #764.
[14:35:37]	CCA.C17-GRID.i1.59212 used command '/CharSearch'.
[14:35:49]	[LOOC] Steven Kenneth: im turned around none of can tell who your talking to
[14:35:59]	[LOOC] CCA.C17-GRID.i1.59212: you have no decription
[14:36:06]	[LOOC] CCA.C17-GRID.i1.59212: i cant even describe you
[14:36:07]	[LOOC] Steven Kenneth: okay im wearing a suit
[14:36:09]	Artyom Kuznetsov used command '/Apply'.
[14:36:15]	[LOOC] Steven Kenneth: you wouldent know in the first place
[14:36:23]	CCA.C17-GRID.i5.41034 used command '/ViewData artyom kuznetsov'.
[14:36:25]	Steven Kenneth used command '/Apply'.
[14:36:29]	CCA.C17-UNION.i5.01477 has gained 10 tokens.
[14:36:31]	CCA.C17-GRID.i1.59212 has gained 10 tokens.
[14:36:31]	CCA.C17-GRID.i5.41034 has gained 10 tokens.
[14:36:32]	[LOOC] CCA.C17-GRID.i1.59212: f3 me losers
[14:36:39]	[LOOC] Steven Kenneth: no fuck you
[14:36:43]	[OOC] CCA.C17-UNION.i5.01477: wth i guess my account got wiped from the forums since it just doesnt exist anymore
[14:36:51]	CCA.C17-GRID.i1.59212 used command '/ViewData kenn'.
[14:37:05]	[ME] CCA.C17-GRID.i1.59212: shows Kenneth the paper with the menu
[14:38:29]	[OOC] CCA.C17-GRID.i1.59212: q
[14:38:41]	[OOC] CCA.C17-GRID.i1.59212: selling loyalist rations would be a crime right
[14:38:50]	[OOC] CCA.C17-GRID.i1.59212: especially if the person is not a loyalist
[14:38:52]	[OOC] Steven Kenneth: O FUCK YOU ARENT CHARGING ME
[14:38:58]	[OOC] Steven Kenneth: thats all q
[14:39:00]	[OOC] Steven Kenneth: he did it
[14:39:03]	[OOC] Steven Kenneth: im snitching
[14:39:06]	[OOC] PFC Mitchell 'Lazzy' Lazarus: No he didn't
[14:39:06]	[OOC] Steven Kenneth: 6 9
[14:39:13]	[OOC] CCA.C17-GRID.i5.41034: please do act like a sped so we get to amputate you :D
[14:39:24]	[OOC] Steven Kenneth: q litterly put it in the vendor
[14:39:31]	[OOC] CCA.C17-GRID.i1.59212: q explaim
[14:39:31]	[OOC] PFC Mitchell 'Lazzy' Lazarus: okay
[14:39:32]	[LOOC] Steven Kenneth: void
[14:39:39]	[OOC] Steven Kenneth: ask him
[14:39:45]	[OOC] CCA.C17-GRID.i1.59212: I AM
[14:40:23]	[LOOC] Steven Kenneth: why you no void
[14:40:46]	[OOC] CCA.C17-UNION.i5.01477: i dont think it'd be a crime cause i mean its loyalist coupons they could belong to anyone, but i also dont know.. It could be, since, they have to be earned during work shifts or doing deeds and it could be sold to a rebel
[14:40:59]	[ME] CCA.C17-GRID.i5.41034: takes both of the men by arm and leads them in
[14:41:10]	Hndrxx has connected.
[14:41:22]	[ME] CCA.C17-GRID.i5.41034: lets go
[14:41:23]	[Y] CCA.C17-GRID.i1.59212: <:: Ib tge wakk. ::>
[14:41:28]	[Y] CCA.C17-GRID.i1.59212: <:: On the wall. ::>
[14:41:28]	[LOOC] CCA.C17-GRID.i5.41034: LOL
[14:41:31]	[LOOC] CCA.C17-GRID.i1.59212: void my stroke
[14:41:31]	CCA.C17-GRID.i1.59212 has gained 10 tokens.
[14:41:31]	CCA.C17-GRID.i5.41034 has gained 10 tokens.
[14:41:34]	aran has connected.
[14:41:44]	[OOC] CCA.C17-GRID.i5.41034: CCA.C17-GRID.i1.59212 yells "<:: Ib tge wakk. ::>"
[14:41:48]	[OOC] CCA.C17-GRID.i5.41034: IM DYING
[14:42:03]	[ME] CCA.C17-GRID.i5.41034: cuts ties
[14:42:13]	Artyom Kuznetsov ran 'drop' on item 'Suitcase' (#3162)
[14:42:13]	Artyom Kuznetsov has lost a 'Suitcase' #3162.
[14:42:13]	Artyom Kuznetsov has lost a 'Citizen Filter' #3239.
[14:42:13]	Artyom Kuznetsov has lost a 'Citizen Filter' #3237.
[14:42:13]	Artyom Kuznetsov has lost a 'UU-Brand Chips' #3176.
[14:42:17]	[ME] PFC Mitchell 'Lazzy' Lazarus: Lets out a small muffled chuckle.
[14:42:28]	[LOOC] CCA.C17-GRID.i1.59212: fuck
[14:42:30]	[LOOC] CCA.C17-GRID.i5.41034: LOOOOOOOL
[14:42:32]	Steven Kenneth ran 'drop' on item 'Suitcase' (#749)
[14:42:32]	Steven Kenneth has lost a 'Suitcase' #749.
[14:42:32]	Steven Kenneth has lost a 'Flashlight' #767.
[14:42:32]	Steven Kenneth has lost a 'Notepad' #765.
[14:42:32]	Steven Kenneth has lost a 'Citizen ID' #755.
[14:42:32]	Steven Kenneth has lost a 'Citizen Filter' #4838.
[14:42:32]	Steven Kenneth has lost a 'Civil Workers' Union ID' #756.
[14:42:32]	Steven Kenneth has lost a 'Notepad' #766.
[14:42:42]	CCA.C17-GRID.i5.41034 used the 'Work Cycle Supply' vendor.
[14:42:46]	[OOC] Lee Maylor: hey light look in #memes
[14:42:48]	CCA.C17-GRID.i5.41034 used the 'Output Return' vendor.
[14:42:49]	aran (STEAM_0:0:153233931) has disconnected.
[14:43:00]	[OOC] Steven Kenneth: imagine putting a #
[14:43:01]	[OOC] Lee Maylor: also go on the catwalks light
[14:43:04]	[OOC] PFC Mitchell 'Lazzy' Lazarus: I love that
[14:43:05]	[OOC] Lee Maylor: eh you're fines
[14:43:06]	[OOC] Lee Maylor: fine
[14:43:09]	[OOC] Lee Maylor: you can stay in you're fine
[14:43:18]	[OOC] PFC Mitchell 'Lazzy' Lazarus: Bruh
[14:43:32]	[OOC] CCA.C17-GRID.i1.59212: q make chicken get an actual description pls
[14:43:56]	Steven Kenneth used the 'Work Cycle Supply' vendor.
[14:43:56]	[OOC] Lee Maylor: chikcen make a good description or i'll fuckin scream
[14:43:57]	Artyom Kuznetsov used the 'Work Cycle Supply' vendor.
[14:43:59]	Artyom Kuznetsov has gained 0 tokens.
[14:43:59]	Artyom Kuznetsov has gained a 'Scrap Electronics' #4839.
[14:44:00]	Artyom Kuznetsov has gained 0 tokens.
[14:44:00]	Artyom Kuznetsov has gained a 'Scrap Electronics' #4840.
[14:44:00]	Artyom Kuznetsov has gained 0 tokens.
[14:44:00]	Artyom Kuznetsov has gained a 'Scrap Electronics' #4841.
[14:44:01]	Artyom Kuznetsov has gained 0 tokens.
[14:44:01]	Artyom Kuznetsov has gained a 'Scrap Electronics' #4842.
[14:44:01]	Artyom Kuznetsov has gained 0 tokens.
[14:44:01]	Artyom Kuznetsov has gained a 'Scrap Electronics' #4843.
[14:44:02]	Artyom Kuznetsov has gained 0 tokens.
[14:44:02]	Artyom Kuznetsov has gained a 'Scrap Electronics' #4844.
[14:44:03]	Artyom Kuznetsov has gained 0 tokens.
[14:44:03]	Artyom Kuznetsov has gained a 'Scrap Electronics' #4845.
[14:44:03]	Artyom Kuznetsov has gained 0 tokens.
[14:44:03]	Artyom Kuznetsov has gained a 'Scrap Electronics' #4846.
[14:44:04]	Artyom Kuznetsov has gained 0 tokens.
[14:44:04]	Artyom Kuznetsov has gained a 'Scrap Electronics' #4847.
[14:44:06]	[OOC] Steven Kenneth: okay ape man
[14:44:09]	Steven Kenneth used the 'Work Cycle Supply' vendor.
[14:44:09]	Lee Maylor ran 'drop' on item 'Resin' (#4803)
[14:44:09]	Lee Maylor has lost a 'Resin' #4803.
[14:44:11]	Steven Kenneth has gained 0 tokens.
[14:44:11]	Steven Kenneth has gained a 'Blacksmith Tongs' #4848.
[14:44:12]	Artyom Kuznetsov ran 'drop' on item 'Scrap Electronics' (#4847)
[14:44:12]	Artyom Kuznetsov has lost a 'Scrap Electronics' #4847.
[14:44:13]	Steven Kenneth has gained 0 tokens.
[14:44:13]	Steven Kenneth has gained a 'Charred Metal' #4849.
[14:44:14]	Steven Kenneth has gained 0 tokens.
[14:44:14]	Steven Kenneth has gained a 'Charred Metal' #4850.
[14:44:14]	Artyom Kuznetsov ran 'take' on item 'Scrap Electronics' (#4847)
[14:44:14]	Artyom Kuznetsov has gained a 'Scrap Electronics' #4847.
[14:44:14]	Steven Kenneth has gained 0 tokens.
[14:44:14]	Steven Kenneth has gained a 'Charred Metal' #4851.
[14:44:15]	Steven Kenneth has gained 0 tokens.
[14:44:15]	Steven Kenneth has gained a 'Charred Metal' #4852.
[14:44:15]	Steven Kenneth has gained 0 tokens.
[14:44:15]	Steven Kenneth has gained a 'Charred Metal' #4853.
[14:44:16]	Artyom Kuznetsov ran 'drop' on item 'Scrap Electronics' (#4847)
[14:44:16]	Artyom Kuznetsov has lost a 'Scrap Electronics' #4847.
[14:44:16]	Steven Kenneth has gained 0 tokens.
[14:44:16]	Steven Kenneth has gained a 'Charred Metal' #4854.
[14:44:16]	Lee Maylor ran 'drop' on item 'Resin' (#4816)
[14:44:16]	Lee Maylor has lost a 'Resin' #4816.
[14:44:16]	Steven Kenneth has gained 0 tokens.
[14:44:16]	Steven Kenneth has gained a 'Charred Metal' #4855.
[14:44:17]	Steven Kenneth has gained 0 tokens.
[14:44:17]	Steven Kenneth has gained a 'Charred Metal' #4856.
[14:44:17]	Steven Kenneth has gained 0 tokens.
[14:44:17]	Steven Kenneth has gained a 'Charred Metal' #4857.
[14:44:17]	Artyom Kuznetsov ran 'drop' on item 'Scrap Electronics' (#4846)
[14:44:17]	Artyom Kuznetsov has lost a 'Scrap Electronics' #4846.
[14:44:18]	Steven Kenneth has gained 0 tokens.
[14:44:18]	Steven Kenneth has gained a 'Charred Metal' #4858.
[14:44:18]	Steven Kenneth has gained 0 tokens.
[14:44:18]	Steven Kenneth has gained a 'Charred Metal' #4859.
[14:44:19]	Steven Kenneth has gained 0 tokens.
[14:44:19]	Steven Kenneth has gained a 'Charred Metal' #4860.
[14:44:19]	Steven Kenneth has gained 0 tokens.
[14:44:19]	Steven Kenneth has gained a 'Charred Metal' #4861.
[14:44:20]	Artyom Kuznetsov ran 'drop' on item 'Scrap Electronics' (#4844)
[14:44:20]	Artyom Kuznetsov has lost a 'Scrap Electronics' #4844.
[14:44:22]	Steven Kenneth used the 'Output Return' vendor.
[14:44:28]	Artyom Kuznetsov has lost a 'Scrap Electronics' #4841.
[14:44:28]	Artyom Kuznetsov has lost a 'Scrap Electronics' #4840.
[14:44:28]	Artyom Kuznetsov has lost a 'Scrap Electronics' #4845.
[14:44:28]	Artyom Kuznetsov has gained a 'Refined Electronics' #4862.
[14:44:28]	Artyom Kuznetsov has lost a 'Scrap Electronics' #4842.
[14:44:28]	Artyom Kuznetsov has lost a 'Scrap Electronics' #4843.
[14:44:28]	Artyom Kuznetsov has lost a 'Scrap Electronics' #4839.
[14:44:28]	Artyom Kuznetsov has gained a 'Refined Electronics' #4863.
[14:44:30]	Artyom Kuznetsov ran 'take' on item 'Scrap Electronics' (#4847)
[14:44:30]	Artyom Kuznetsov has gained a 'Scrap Electronics' #4847.
[14:44:31]	Artyom Kuznetsov ran 'take' on item 'Scrap Electronics' (#4846)
[14:44:31]	Artyom Kuznetsov has gained a 'Scrap Electronics' #4846.
[14:44:32]	Artyom Kuznetsov ran 'take' on item 'Scrap Electronics' (#4844)
[14:44:32]	Artyom Kuznetsov has gained a 'Scrap Electronics' #4844.
[14:44:37]	Artyom Kuznetsov has lost a 'Scrap Electronics' #4846.
[14:44:37]	Artyom Kuznetsov has lost a 'Scrap Electronics' #4847.
[14:44:37]	Artyom Kuznetsov has lost a 'Scrap Electronics' #4844.
[14:44:37]	Artyom Kuznetsov has gained a 'Refined Electronics' #4864.
[14:44:41]	Artyom Kuznetsov ran 'drop' on item 'Refined Electronics' (#4864)
[14:44:41]	Artyom Kuznetsov has lost a 'Refined Electronics' #4864.
[14:44:41]	Lee Maylor ran 'drop' on item 'Resin' (#4809)
[14:44:41]	Lee Maylor has lost a 'Resin' #4809.
[14:44:42]	Artyom Kuznetsov ran 'drop' on item 'Refined Electronics' (#4862)
[14:44:42]	Artyom Kuznetsov has lost a 'Refined Electronics' #4862.
[14:44:43]	Artyom Kuznetsov ran 'drop' on item 'Refined Electronics' (#4863)
[14:44:43]	Artyom Kuznetsov has lost a 'Refined Electronics' #4863.
[14:44:44]	[Y] CCA.C17-GRID.i1.59212: <:: Put the completed stuff in this when done. ::>
[14:44:51]	Artyom Kuznetsov used the 'Work Cycle Supply' vendor.
[14:44:53]	Artyom Kuznetsov has gained 0 tokens.
[14:44:53]	Artyom Kuznetsov has gained a 'Scrap Electronics' #4865.
[14:44:53]	Artyom Kuznetsov has gained 0 tokens.
[14:44:53]	Artyom Kuznetsov has gained a 'Scrap Electronics' #4866.
[14:44:54]	Artyom Kuznetsov has gained 0 tokens.
[14:44:54]	Artyom Kuznetsov has gained a 'Scrap Electronics' #4867.
[14:44:54]	Artyom Kuznetsov has gained 0 tokens.
[14:44:54]	Artyom Kuznetsov has gained a 'Scrap Electronics' #4868.
[14:44:54]	Artyom Kuznetsov has gained 0 tokens.
[14:44:54]	Artyom Kuznetsov has gained a 'Scrap Electronics' #4869.
[14:44:55]	Artyom Kuznetsov has gained 0 tokens.
[14:44:55]	Artyom Kuznetsov has gained a 'Scrap Electronics' #4870.
[14:44:55]	Artyom Kuznetsov has gained 0 tokens.
[14:44:55]	Artyom Kuznetsov has gained a 'Scrap Electronics' #4871.
[14:44:56]	Artyom Kuznetsov has gained 0 tokens.
[14:44:56]	Artyom Kuznetsov has gained a 'Scrap Electronics' #4872.
[14:44:56]	Chicken (STEAM_0:0:143523274) has disconnected.
[14:44:56]	Artyom Kuznetsov has gained 0 tokens.
[14:44:56]	Artyom Kuznetsov has gained a 'Scrap Electronics' #4873.
[14:44:57]	Artyom Kuznetsov has gained 0 tokens.
[14:44:59]	[OOC] CCA.C17-GRID.i1.59212: what
[14:45:01]	[OOC] PFC Mitchell 'Lazzy' Lazarus: LMAO
[14:45:06]	[OOC] Lee Maylor: why'd he DC
[14:45:09]	[OOC] CCA.C17-GRID.i1.59212: he disconnected with tools on him i think
[14:45:16]	Artyom Kuznetsov has lost a 'Scrap Electronics' #4873.
[14:45:16]	Artyom Kuznetsov has lost a 'Scrap Electronics' #4870.
[14:45:16]	Artyom Kuznetsov has lost a 'Scrap Electronics' #4871.
[14:45:16]	Artyom Kuznetsov has gained a 'Refined Electronics' #4875.
[14:45:17]	Artyom Kuznetsov has lost a 'Scrap Electronics' #4869.
[14:45:17]	Artyom Kuznetsov has lost a 'Scrap Electronics' #4867.
[14:45:17]	Artyom Kuznetsov has lost a 'Scrap Electronics' #4865.
[14:45:17]	Artyom Kuznetsov has gained a 'Refined Electronics' #4876.
[14:45:17]	Artyom Kuznetsov has lost a 'Scrap Electronics' #4866.
[14:45:17]	Artyom Kuznetsov has lost a 'Scrap Electronics' #4868.
[14:45:17]	Artyom Kuznetsov has lost a 'Scrap Electronics' #4872.
[14:45:17]	Artyom Kuznetsov has gained a 'Refined Electronics' #4877.
[14:45:18]	[OOC] CCA.C17-UNION.i5.01477: >mfw
[14:45:18]	[OOC] Lee Maylor: yeah i guarantee that's why he fucking did it
[14:45:25]	Artyom Kuznetsov ran 'take' on item 'Refined Electronics' (#4863)
[14:45:25]	Artyom Kuznetsov has gained a 'Refined Electronics' #4863.
[14:45:26]	Artyom Kuznetsov ran 'take' on item 'Refined Electronics' (#4862)
