[10:11:19]	LynxQueen has connected.
[11:34:09]	Jim Bostello used command '/CharDesc'.
[11:34:11]	CCA.C08-GRID.i1.23710 entered observer.
[11:34:12]	CCA.C08-GRID.i1.23710 exited observer at their location.
[11:34:12]	CCA.C08-GRID.i1.23710 entered observer.
[11:34:13]	CCA.C08-GRID.i1.23710 exited observer at their location.
[11:34:15]	CCA.C08-UNION.i3.67098 used command '/Radio What is it? Who is it?'.
[11:34:20]	Jim Bostello used command '/CharDesc A 7'0" figure displaying true American strength. He is dirty and bears an unkempt beard and short straight hair. He seems to be in his mid thirties to fourties.'.
[11:34:22]	CCA.C08-GRID.i1.23710 used command '/Radio Some conscript.'.
[11:34:30]	CCA.C08-GRID.i1.23710 entered observer.
[11:34:31]	CCA.C08-UNION.i3.67098 used command '/Radio 237.'.
[11:34:39]	CCA.C08-UNION.i3.67098 used command '/Radio Conscripts aren't allowed in the city.'.
[11:34:46]	CCA.C08-GRID.i1.23710 exited observer at their location.
[11:34:48]	[OOC] Vincent Blackmore: seriously though can someone help me find the other stuff i gotta download so i'm not being blasted by pink and red lights
[11:34:53]	CCA.C08-UNION.i3.67098 has gained 10 tokens.
[11:34:54]	CCA.C08-GRID.i1.23710 used command '/Radio ...Is that a new regulation?'.
[11:35:00]	Jim Bostello used command '/Radio Technically, I'm not in the city, but sure, I'll go back to the empty lands.'.
[11:35:08]	CCA.C08-GRID.i1.23710 used command '/Radio I always saw one guarding the Nexus.'.
[11:35:14]	CCA.C08-GRID.i1.23710 used command '/PM jim confusion.mp3'.
[11:35:17]	CCA.C08-UNION.i3.67098 used command '/Radio Wh-'.
[11:35:22]	CCA.C08-UNION.i3.67098 used command '/Radio Oh my god.'.
[11:35:31]	CCA.C08-GRID.i1.23710 has gained 10 tokens.
[11:35:35]	CCA.C08-GRID.i1.23710 used command '/Radio Come down here for a second, conscript.'.
[11:35:47]	CCA.C08-UNION.i3.67098 used command '/Radio There's your signal.'.
[11:35:48]	CCA.C08-GRID.i1.23710 used command '/ViewObjectives'.
[11:35:55]	CCA.C08-GRID.i1.23710 used command '/ViewObjectives'.
[11:36:00]	Jim Bostello used command '/Radio What does it say, GRID?'.
[11:37:05]	CCA.C08-GRID.i1.23710 used command '/Radio Come down here.'.
[11:37:23]	Jim Bostello used command '/Radio Why should I do that?'.
[11:37:34]	CCA.C08-UNION.i3.67098 used command '/Radio Because all CCA personnel outrank you.'.
[11:37:54]	Jim Bostello used command '/Radio Oh well, tell it to the SqL.. His shotgun fits in my hands quite nicely.'.
[11:38:06]	[OOC] CCA.C08-GRID.i1.23710: 1 sec
[11:38:11]	[OOC] CCA.C08-GRID.i1.23710: pause for a sec i gotta check something
[11:38:14]	[OOC] Vincent Blackmore: oke
[11:38:22]	[OOC] Jim Bostello: VINCENT BLACKMORE
[11:38:28]	[OOC] Vincent Blackmore: my balls
[11:38:32]	[OOC] Jim Bostello: are you black tho
[11:38:37]	[OOC] Vincent Blackmore: no :(
[11:38:42]	[OOC] Jim Bostello: :(
[11:39:35]	CCA.C08-GRID.i1.23710 used command '/Radio 10-3.'.
[11:39:48]	Jim Bostello used command '/Radio Don't come up these stairs.'.
[11:39:53]	CCA.C08-UNION.i3.67098 has gained 10 tokens.
[11:39:55]	Jim Bostello used command '/Radio Or, up the ladder, rather.'.
[11:40:10]	Vincent Blackmore ran 'EquipUn' on item 'Green Citizen Suit' (#20280)
[11:40:15]	Vincent Blackmore ran 'Equip' on item 'Green Citizen Suit' (#20280)
[11:40:31]	CCA.C08-GRID.i1.23710 has gained 10 tokens.
[11:40:39]	CCA.C08-GRID.i1.23710 used command '/ChangeSocioStatus yellow'.
[11:40:47]	CCA.C08-GRID.i1.23710 used command '/ToggleRaise'.
[11:41:03]	[LOOC] CCA.C08-GRID.i1.23710: hold on
[11:41:13]	CCA.C08-GRID.i1.23710 used command '/ToggleRaise'.
[11:41:14]	CCA.C08-GRID.i1.23710 entered observer.
[11:41:15]	CCA.C08-GRID.i1.23710 exited observer at their location.
[11:41:24]	Jim Bostello used command '/Radio I'm warning you.'.
[11:41:35]	[W] CCA.C08-GRID.i1.23710: <:: You a good throw? ::>
[11:41:45]	CCA.C08-GRID.i1.23710 used command '/ToggleRaise'.
[11:41:47]	CCA.C08-GRID.i1.23710 entered observer.
[11:41:47]	CCA.C08-GRID.i1.23710 exited observer at their location.
[11:41:50]	Anthem (STEAM_0:0:511415379) has disconnected.
[11:41:50]	Jim Bostello used command '/Radio Grenades, really?'.
[11:41:56]	CCA.C08-UNION.i3.67098 entered observer.
[11:41:58]	CCA.C08-UNION.i3.67098 exited observer at their location.
[11:42:00]	[OOC] CCA.C08-GRID.i1.23710: help ladder bad
[11:42:02]	CCA.C08-GRID.i1.23710 has taken 23 damage from worldspawn.
[11:42:02]	CCA.C08-GRID.i1.23710 entered observer.
[11:42:08]	CCA.C08-GRID.i1.23710 exited observer at their location.
[11:42:10]	Jim Bostello used command '/Radio You are in the worst spot right now, men.'.
[11:42:20]	CCA.C08-GRID.i1.23710 used command '/ToggleRaise'.
[11:42:23]	CCA.C08-UNION.i3.67098 used command '/Radio Surrender and you might live.'.
[11:42:27]	CCA.C08-GRID.i1.23710 used command '/ToggleRaise'.
[11:42:29]	CCA.C08-GRID.i1.23710 entered observer.
[11:42:33]	CCA.C08-GRID.i1.23710 exited observer at their location.
[11:42:46]	[OOC] CCA.C08-GRID.i1.23710: you wanna just s2k or what
[11:42:48]	CCA.C08-UNION.i3.67098 has spawned a 'Entity [409][ix_combinelock]'.
[11:42:51]	[OOC] Jim Bostello: your call
[11:42:54]	CCA.C08-UNION.i3.67098 has spawned a 'Entity [2920][ix_unionlock]'.
[11:42:59]	[OOC] CCA.C08-GRID.i1.23710: nah, yours
[11:43:04]	CCA.C08-UNION.i3.67098 has spawned a 'Entity [409][ix_combinelock]'.
[11:43:07]	CCA.C08-UNION.i3.67098 has spawned a 'Entity [409][ix_combinelock]'.
[11:43:09]	CCA.C08-UNION.i3.67098 has spawned a 'Entity [409][ix_unionlock]'.
[11:43:10]	[OOC] Jim Bostello: dont put that pressure on me LOL
[11:43:19]	[OOC] CCA.C08-UNION.i3.67098: Can I call it
[11:43:24]	[OOC] CCA.C08-GRID.i1.23710: do you wanna /me or shooty shooty bang bang
[11:43:33]	[OOC] Jim Bostello: either way, we'll both be shooty shooty bang bang
[11:43:40]	Anthem has connected.
[11:43:41]	[OOC] CCA.C08-GRID.i1.23710: true
[11:43:50]	[OOC] CCA.C08-GRID.i1.23710: also poor anthem is waiting to be processed
[11:43:56]	CCA.C08-GRID.i1.23710 entered observer.
[11:43:59]	CCA.C08-GRID.i1.23710 exited observer at their location.
[11:43:59]	CCA.C08-GRID.i1.23710 entered observer.
[11:44:00]	CCA.C08-GRID.i1.23710 exited observer at their location.
[11:44:16]	Anthem loaded the character 'Vincent Blackmore'
[11:44:18]	[OOC] CCA.C08-UNION.i3.67098: Aight I'll make the call
[11:44:20]	CCA.C08-GRID.i1.23710 entered observer.
[11:44:21]	CCA.C08-GRID.i1.23710 exited observer at their location.
[11:44:22]	CCA.C08-GRID.i1.23710 entered observer.
[11:44:22]	[OOC] CCA.C08-UNION.i3.67098: S2K
[11:44:23]	CCA.C08-GRID.i1.23710 exited observer at their location.
[11:44:29]	CCA.C08-GRID.i1.23710 entered observer.
[11:44:30]	CCA.C08-GRID.i1.23710 exited observer at their location.
[11:44:32]	CCA.C08-GRID.i1.23710 entered observer.
[11:44:32]	CCA.C08-GRID.i1.23710 exited observer at their location.
[11:44:35]	[OOC] Jim Bostello: prepare for mayhem
[11:44:46]	[OOC] Vincent Blackmore: oodoiedahnwedfojnfs
[11:44:52]	[OOC] CCA.C08-GRID.i1.23710: sorry vincent
[11:44:53]	CCA.C08-UNION.i3.67098 has gained 10 tokens.
[11:44:57]	[OOC] CCA.C08-GRID.i1.23710: we are experiencing an issue
[11:45:01]	[OOC] CCA.C08-GRID.i1.23710: of a firefight 
[11:45:10]	[OOC] Vincent Blackmore: i am too my BACKSPACE ISN'T WORKING
[11:45:19]	[OOC] CCA.C08-GRID.i1.23710: tab in and out
[11:45:25]	CCA.C08-GRID.i1.23710 entered observer.
[11:45:25]	CCA.C08-GRID.i1.23710 exited observer at their location.
[11:45:26]	CCA.C08-GRID.i1.23710 entered observer.
[11:45:27]	CCA.C08-GRID.i1.23710 exited observer at their location.
[11:45:28]	CCA.C08-UNION.i3.67098 has taken 12 damage from Jim Bostello.
[11:45:31]	CCA.C08-GRID.i1.23710 has gained 10 tokens.
[11:45:33]	[OOC] Vincent Blackmore: ok ty lul
[11:45:34]	CCA.C08-GRID.i1.23710 has taken 4 damage from Jim Bostello.
[11:45:34]	CCA.C08-GRID.i1.23710 has taken 36 damage from Jim Bostello.
[11:45:34]	Jim Bostello has taken 4 damage from CCA.C08-GRID.i1.23710.
[11:45:40]	CCA.C08-GRID.i1.23710 entered observer.
[11:45:44]	[OOC] Vincent Blackmore: i also have one more issue, i'm missing some models n shit
[11:45:47]	[OOC] CCA.C08-GRID.i1.23710: wait how am i shooting from a ladder
[11:45:48]	[OOC] CCA.C08-GRID.i1.23710: my bad
[11:45:57]	CCA.C08-GRID.i1.23710 exited observer at their location.
[11:46:04]	Jim Bostello has taken 28 damage from CCA.C08-GRID.i1.23710.
[11:46:04]	CCA.C08-GRID.i1.23710 has taken 28 damage from Jim Bostello.
[11:46:17]	CCA.C08-GRID.i1.23710 entered observer.
[11:46:20]	CCA.C08-GRID.i1.23710 exited observer at their location.
[11:46:36]	CCA.C08-GRID.i1.23710 entered observer.
[11:46:37]	CCA.C08-GRID.i1.23710 exited observer at their location.
[11:46:40]	Jim Bostello ran 'Apply' on item 'Bandage' (#19029)
[11:46:48]	[Y] Jim Bostello: I could do this all day!
[11:47:02]	[Y] CCA.C08-GRID.i1.23710: <:: So can we, and we have the ability to get supplies! ::>
[11:47:06]	Jim Bostello has taken 72 damage from CCA.C08-UNION.i3.67098.
[11:47:07]	Jim Bostello has taken 1 damage from CCA.C08-UNION.i3.67098.
[11:47:07]	CCA.C08-UNION.i3.67098 has taken 24 damage from Jim Bostello.
[11:47:07]	Jim Bostello has taken 12 damage from CCA.C08-UNION.i3.67098.
[11:47:07]	Jim Bostello has taken 1 damage from CCA.C08-UNION.i3.67098.
[11:47:08]	CCA.C08-UNION.i3.67098 has killed Jim Bostello with weapon_smg1.
[11:47:08]	CCA.C08-GRID.i1.23710 entered observer.
[11:47:10]	CCA.C08-GRID.i1.23710 exited observer at their location.
[11:47:11]	CCA.C08-GRID.i1.23710 entered observer.
[11:47:14]	CCA.C08-GRID.i1.23710 exited observer at their location.
[11:47:14]	CCA.C08-GRID.i1.23710 entered observer.
[11:47:15]	[OOC] Jim Bostello: LOL WHAT KINDA SHIT--
[11:47:17]	CCA.C08-GRID.i1.23710 exited observer at their location.
[11:47:20]	[OOC] CCA.C08-UNION.i3.67098: YEEEEEEHAW
[11:47:23]	[OOC] CCA.C08-UNION.i3.67098: ARMOR BABEH
[11:47:24]	CCA.C08-GRID.i1.23710 entered observer.
[11:47:25]	CCA.C08-GRID.i1.23710 exited observer at their location.
[11:47:25]	[OOC] Jim Bostello: just double pumped some cop and he didnt die
[11:47:26]	CCA.C08-GRID.i1.23710 entered observer.
[11:47:30]	[OOC] Vincent Blackmore: my balls
[11:47:31]	[OOC] CCA.C08-GRID.i1.23710: we have armor
[11:47:38]	CCA.C08-GRID.i1.23710 exited observer at their location.
[11:47:42]	CCA.C08-UNION.i3.67098 entered observer.
[11:47:42]	[OOC] Jim Bostello: thats 24 little pellets
[11:47:44]	CCA.C08-UNION.i3.67098 exited observer at their location.
[11:47:44]	[OOC] Vincent Blackmore: me want become CWU :^)
[11:48:05]	CCA.C08-UNION.i3.67098 entered observer.
[11:48:06]	Jim Bostello ran 'Equip' on item 'SPAS-12' (#14354)
[11:48:07]	CCA.C08-UNION.i3.67098 exited observer at their location.
[11:48:07]	Jim Bostello ran 'Equip' on item '357' (#14025)
[11:48:14]	[OOC] Vincent Blackmore: :(
[11:48:21]	[OOC] CCA.C08-GRID.i1.23710: ok firefight over
[11:48:22]	[OOC] Jim Bostello: killed u ur dead vincent BLACKMORE
[11:48:27]	[OOC] CCA.C08-GRID.i1.23710: processing time
[11:48:33]	[OOC] Jim Bostello: wow i am really tall
[11:48:34]	[ME] Vincent Blackmore: types /kill in console
[11:48:35]	CCA.C08-GRID.i1.23710 entered observer.
[11:48:47]	[OOC] Jim Bostello: that was fun
[11:49:17]	[OOC] Vincent Blackmore: i am the nut boy
[11:49:41]	[OOC] Jim Bostello: i hate the helix thirdperson camera
[11:49:43]	[OOC] Jim Bostello: its so bad
[11:49:50]	[OOC] Vincent Blackmore: what cca divisions are there
[11:49:52]	CCA.C08-GRID.i1.23710 used command '/PM jim freq. change : ('.
[11:49:58]	[OOC] CCA.C08-GRID.i1.23710: helix, judge, grid, union
[11:49:58]	[OOC] Vincent Blackmore: i see we have GRID and HELIX
[11:50:04]	[OOC] Vincent Blackmore: dang no razor
[11:50:07]	Jim Bostello used command '/Reply :((((((( I cant be edgy anymore XD'.
[11:50:19]	CCA.C08-GRID.i1.23710 used command '/PM jim we're trying to figure out if that should be a pk'.
[11:50:31]	CCA.C08-GRID.i1.23710 has gained 10 tokens.
[11:50:45]	CCA.C08-GRID.i1.23710 ran 'Frequency' on item 'Hybrid Radio' (#9736)
[11:50:47]	CCA.C08-GRID.i1.23710 used command '/SetFreq 329.01'.
[11:51:04]	CCA.C08-UNION.i3.67098 ran 'Frequency' on item 'Handheld Radio' (#16587)
[11:51:06]	CCA.C08-UNION.i3.67098 used command '/SetFreq 329.01'.
[11:51:12]	CCA.C08-GRID.i1.23710 exited observer at their location.
[11:51:17]	Jim Bostello used command '/Reply I mean, it's only us 4, and idrk the rules regarding low player count firefights n such but i mean whatever works works dawg, just dont know what'll happen to rebel rp'.
[11:52:07]	CCA.C08-UNION.i3.67098 entered observer.
[11:52:07]	[OOC] Jim Bostello: i shall suffocate with my massive muscles
[11:52:12]	[OOC] Vincent Blackmore: mold
[11:52:26]	CCA.C08-GRID.i1.23710 used command '/ToggleRaise'.
[11:52:28]	[OOC] Vincent Blackmore: my reflection maps are broken as FUCK everything is glowing
[11:52:30]	CCA.C08-GRID.i1.23710 ran 'Equip' on item 'Pipe Revolver' (#20277)
[11:52:33]	CCA.C08-GRID.i1.23710 ran 'EquipUn' on item 'USP Match' (#9735)
[11:52:35]	CCA.C08-GRID.i1.23710 ran 'Equip' on item 'Pipe Revolver' (#20277)
[11:52:35]	[OOC] Jim Bostello: mat_specular 0
[11:52:35]	CCA.C08-GRID.i1.23710 used command '/ToggleRaise'.
[11:52:36]	[OOC] Vincent Blackmore: what downloads am i missing
[11:52:42]	[OOC] CCA.C08-UNION.i3.67098: Do you have the games
[11:52:42]	[OOC] Jim Bostello: just the map being stupid
[11:52:45]	[OOC] Vincent Blackmore: it no let me open console
[11:52:51]	[LOOC] CCA.C08-GRID.i1.23710: I THOUGHT IT HAD NO AMMPO LMAO
[11:52:51]	[OOC] Jim Bostello: lol the rust revvy
[11:52:52]	CCA.C08-UNION.i3.67098 exited observer at their location.
[11:52:58]	CCA.C08-GRID.i1.23710 ran 'drop' on item 'Pipe Revolver' (#20277)
[11:52:58]	CCA.C08-GRID.i1.23710 has lost a 'Pipe Revolver' #20277.
[11:52:58]	CCA.C08-GRID.i1.23710 used command '/ToggleRaise'.
[11:53:02]	CCA.C08-GRID.i1.23710 destroyed a 'Pipe Revolver' #20277.
[11:53:02]	[OOC] CCA.C08-UNION.i3.67098: Do you have the games, Vincent?
[11:53:03]	CCA.C08-GRID.i1.23710 used command '/ToggleRaise'.
[11:53:09]	[OOC] Vincent Blackmore: what games, HLA?
[11:53:11]	CCA.C08-UNION.i3.67098 entered observer.
[11:53:12]	[OOC] Jim Bostello: go into settings and click advanced and click enable dev console
[11:53:20]	[OOC] CCA.C08-UNION.i3.67098: Also disable HDR
[11:53:24]	[OOC] CCA.C08-UNION.i3.67098: ANyways
[11:53:29]	[OOC] Vincent Blackmore: shows how much i fucking play gmod
[11:53:34]	[OOC] Vincent Blackmore: gimme a minute
[11:53:36]	[OOC] CCA.C08-UNION.i3.67098: No. HL2, HL2E2, HL2E1
[11:53:43]	[OOC] Vincent Blackmore: i do not
[11:53:51]	[OOC] CCA.C08-UNION.i3.67098: Then install those and mount them.
[11:53:53]	CCA.C08-GRID.i1.23710 used command '/PM jim okay cool, s2k no pk'.
[11:53:53]	[OOC] Vincent Blackmore: only gmod and the HL2 assets it comes with
[11:53:59]	CCA.C08-GRID.i1.23710 used command '/PM jim but your ammo is fucked'.
[11:54:05]	[OOC] Vincent Blackmore: fug i gotta spend money
[11:54:08]	Jim Bostello used command '/Reply yeaah i figured ;-;'.
[11:54:12]	Jim Bostello used command '/Reply im gonna hop on another character'.
[11:54:18]	[OOC] CCA.C08-UNION.i3.67098: Those are the basics for 99% of servers
[11:54:20]	deantheone loaded the character 'Chris 'Cyclops' LeVon'
[11:54:23]	[OOC] Vincent Blackmore: shid
[11:54:28]	[OOC] Chris 'Cyclops' LeVon: no one has came to my bar ;-;
[11:54:35]	[OOC] Vincent Blackmore: i can handle some missing models idc
[11:54:47]	CCA.C08-GRID.i1.23710 used command '/PM chris you gotta stop staring at passing CPs through windows lol, your lenses glow pure white'.
[11:54:50]	[OOC] Vincent Blackmore: gimme fukin CAURD
[11:54:53]	CCA.C08-UNION.i3.67098 has gained 10 tokens.
[11:54:55]	[OOC] CCA.C08-GRID.i1.23710: pay me
[11:55:03]	[OOC] Vincent Blackmore: i fart on u
[11:55:06]	[OOC] CCA.C08-GRID.i1.23710: deal
[11:55:06]	Chris 'Cyclops' LeVon used command '/Reply serious? for me they dont lol'.
[11:55:11]	[OOC] Vincent Blackmore: LOL
[11:55:17]	CCA.C08-GRID.i1.23710 used command '/PM chris maybe my reflections are just fucked'.
[11:55:23]	[OOC] Vincent Blackmore: how do i give coupon to u
[11:55:29]	[OOC] Vincent Blackmore: it's in my inventory
[11:55:31]	CCA.C08-GRID.i1.23710 has gained 10 tokens.
[11:55:35]	CCA.C08-UNION.i3.67098 used command '/PlySearch'.
[11:55:41]	[LOOC] CCA.C08-GRID.i1.23710: right click it
[11:55:43]	[LOOC] CCA.C08-GRID.i1.23710: then drop
[11:55:46]	[OOC] Vincent Blackmore: k
[11:55:51]	Vincent Blackmore ran 'drop' on item 'Relocation Coupon' (#20279)
[11:55:51]	Vincent Blackmore has lost a 'Relocation Coupon' #20279.
[11:55:56]	CCA.C08-UNION.i3.67098 used command '/CharSearch'.
[11:56:00]	CCA.C08-UNION.i3.67098 used command '/CharSearch'.
[11:56:14]	CCA.C08-UNION.i3.67098 exited observer at their location.
[11:56:16]	CCA.C08-GRID.i1.23710 ran 'take' on item 'Relocation Coupon' (#20279)
[11:56:16]	CCA.C08-GRID.i1.23710 has gained a 'Relocation Coupon' #20279.
[11:56:17]	CCA.C08-UNION.i3.67098 used command '/PlySearch'.
[11:56:22]	CCA.C08-UNION.i3.67098 entered observer.
[11:56:22]	[Y] CCA.C08-GRID.i1.23710: <:: Jesus Christ. ::>
[11:56:26]	Chris 'Cyclops' LeVon has spawned 'models/props_junk/Shoe001a.mdl'.
[11:56:27]	[LOOC] CCA.C08-GRID.i1.23710: oh
[11:56:37]	[LOOC] CCA.C08-GRID.i1.23710: void
[11:56:44]	CCA.C08-GRID.i1.23710 opened the '' #1835 container.
[11:56:47]	CCA.C08-GRID.i1.23710 closed the '' #1835 container.
[11:56:50]	CCA.C08-GRID.i1.23710 opened the '' #1834 container.
[11:56:54]	CCA.C08-GRID.i1.23710 closed the '' #1834 container.
[11:56:57]	CCA.C08-UNION.i3.67098 exited observer at their location.
[11:56:58]	CCA.C08-UNION.i3.67098 entered observer.
[11:57:00]	Chris 'Cyclops' LeVon has spawned 'models/props_debris/metal_panel02a.mdl'.
[11:57:03]	CCA.C08-UNION.i3.67098 used command '/PlySearch'.
[11:57:13]	[LOOC] CCA.C08-GRID.i1.23710: YYYY-MM-DD format pls
[11:57:15]	CCA.C08-UNION.i3.67098 used command '/PlySearch'.
[11:57:23]	[LOOC] CCA.C08-GRID.i1.23710: or DD/MM/YYYY or whatever order
[11:57:26]	Chris 'Cyclops' LeVon has spawned 'models/props_debris/metal_panel02a.mdl'.
[11:57:26]	CCA.C08-UNION.i3.67098 exited observer at their location.
[11:57:27]	[OOC] Vincent Blackmore: man what year does this shit take place in
[11:57:31]	[OOC] CCA.C08-UNION.i3.67098: 2006
[11:57:39]	[OOC] CCA.C08-UNION.i3.67098: Combine invasion was 2003
[11:57:45]	[OOC] Vincent Blackmore: k lemme do some math
[11:57:54]	Chris 'Cyclops' LeVon has spawned 'models/props_c17/gate_door01a.mdl'.
[11:57:56]	[OOC] CCA.C08-UNION.i3.67098: Try not to be 17 or below.
[11:58:02]	Chris 'Cyclops' LeVon has spawned 'models/props_debris/metal_panel02a.mdl'.
[11:58:05]	[OOC] CCA.C08-UNION.i3.67098: Or do
[11:58:08]	[OOC] CCA.C08-UNION.i3.67098: It'll be fun
[11:58:13]	[LOOC] CCA.C08-GRID.i1.23710: 21 or below are shot
[11:58:17]	[OOC] CCA.C08-GRID.i1.23710: 21 or below are shot
[11:58:26]	[OOC] CCA.C08-UNION.i3.67098: Was it 21?
[11:58:30]	[OOC] CCA.C08-UNION.i3.67098: They aren't shot btw
[11:58:30]	[OOC] CCA.C08-GRID.i1.23710: yeah
[11:58:33]	[OOC] CCA.C08-UNION.i3.67098: They're inslaved.
[11:58:34]	[OOC] CCA.C08-GRID.i1.23710: IT IS -10 DEGREES
[11:58:37]	[OOC] CCA.C08-UNION.i3.67098: *enslaved
[11:58:54]	CCA.C08-GRID.i1.23710 used command '/ViewData vinc'.
[11:59:04]	[OOC] Vincent Blackmore: i think i disabled something on voicemod hold on
[11:59:20]	[OOC] Chris 'Cyclops' LeVon: LOL
[11:59:20]	[OOC] Vincent Blackmore: we good
[11:59:24]	CCA.C08-UNION.i3.67098 entered observer.
[11:59:48]	CCA.C08-UNION.i3.67098 used command '/PlySearch'.
[11:59:50]	CCA.C08-UNION.i3.67098 used command '/PlySearch'.
[11:59:52]	[OOC] Vincent Blackmore: the nut boy cometh
[11:59:53]	CCA.C08-UNION.i3.67098 has gained 10 tokens.
[12:00:00]	[OOC] Vincent Blackmore: it won't let me grab
[12:00:04]	[OOC] Chris 'Cyclops' LeVon: is there still the adv. parkour plugin
[12:00:07]	Vincent Blackmore ran 'take' on item 'Citizen ID' (#20281)
[12:00:07]	Vincent Blackmore has gained a 'Citizen ID' #20281.
[12:00:10]	[OOC] Vincent Blackmore: nvm
[12:00:29]	[ME] Vincent Blackmore: inhales sharply
[12:00:31]	CCA.C08-GRID.i1.23710 has gained 10 tokens.
[12:00:42]	CCA.C08-GRID.i1.23710 used command '/PM chris your character is way too tall'.
[12:01:00]	Chris 'Cyclops' LeVon used command '/Reply wym this is base height :('.
[12:01:06]	CCA.C08-GRID.i1.23710 used command '/PM cycl check your pac'.
[12:01:22]	Chris 'Cyclops' LeVon used command '/Reply no seriously lol i got rid of the entity this is just my base model height'.
[12:01:31]	Chris 'Cyclops' LeVon used command '/Reply idk why i look so tiny'.
[12:01:31]	CCA.C08-GRID.i1.23710 used command '/PlySearch'.
[12:01:33]	[OOC] Vincent Blackmore: how do i open the dev console AHH
[12:01:44]	[OOC] Chris 'Cyclops' LeVon: the squiggly behind 1
[12:01:47]	[OOC] CCA.C08-GRID.i1.23710: ~
[12:01:47]	[OOC] Vincent Blackmore: i turned the setting on but tilde ain't doing it
[12:02:04]	[OOC] Vincent Blackmore: source spaghetti
[12:02:10]	[LOOC] CCA.C08-GRID.i1.23710: yo wtf
[12:02:13]	[LOOC] CCA.C08-UNION.i3.67098: yo can we see that RPG again
[12:02:19]	Odin has connected.
[12:02:23]	[LOOC] CCA.C08-UNION.i3.67098: is that a PAC or
[12:02:27]	CCA.C08-GRID.i1.23710 used command '/CharTakeFlag chris T'.
[12:02:40]	[LOOC] CCA.C08-GRID.i1.23710: no spawning weapons
[12:02:46]	[OOC] Vincent Blackmore: my suit expires in 27 minutes rip
[12:02:48]	[LOOC] Chris 'Cyclops' LeVon: im not im not
[12:02:53]	[LOOC] CCA.C08-GRID.i1.23710: how do you have an rpg
[12:02:54]	[OOC] Vincent Blackmore: and i can't even open my console
[12:02:54]	Odin loaded the character 'Sybil Rose'
[12:02:55]	CCA.C08-UNION.i3.67098 exited observer at their location.
[12:02:57]	CCA.C08-UNION.i3.67098 entered observer.
[12:02:58]	CCA.C08-GRID.i1.23710 used command '/PlySearch'.
[12:03:02]	Vincent Blackmore opened the '' #1233 container.
[12:03:05]	Vincent Blackmore closed the '' #1233 container.
[12:03:08]	[LOOC] Chris 'Cyclops' LeVon: it disappears after i rejoin i dont even have ammo for it
[12:03:21]	CCA.C08-UNION.i3.67098 exited observer at their location.
[12:03:22]	[LOOC] CCA.C08-GRID.i1.23710: but how do you have it
[12:03:43]	[LOOC] Chris 'Cyclops' LeVon: oh i spawned it i might still have some admin perms idk tho
[12:03:44]	CCA.C08-GRID.i1.23710 entered observer.
[12:03:50]	CCA.C08-UNION.i3.67098 entered observer.
[12:03:51]	CCA.C08-UNION.i3.67098 exited observer at their location.
[12:03:51]	CCA.C08-GRID.i1.23710 exited observer at their location.
[12:03:56]	Chris 'Cyclops' LeVon has taken 1 damage from worldspawn.
[12:03:56]	Chris 'Cyclops' LeVon has taken 1 damage from worldspawn.
[12:03:57]	Chris 'Cyclops' LeVon has taken 1 damage from worldspawn.
[12:03:58]	Chris 'Cyclops' LeVon has taken 1 damage from worldspawn.
[12:03:59]	Chris 'Cyclops' LeVon has taken 1 damage from worldspawn.
[12:03:59]	[LOOC] Chris 'Cyclops' LeVon: ah it burns
[12:03:59]	Chris 'Cyclops' LeVon has taken 1 damage from worldspawn.
[12:04:00]	Chris 'Cyclops' LeVon has taken 1 damage from worldspawn.
[12:04:01]	CCA.C08-GRID.i1.23710 has spawned a 'Entity [2938][ix_airvent]'.
[12:04:01]	CCA.C08-UNION.i3.67098 has spawned a 'Entity [2939][ix_airvent]'.
[12:04:04]	[LOOC] CCA.C08-GRID.i1.23710: execution
[12:04:08]	[LOOC] Chris 'Cyclops' LeVon: fine
[12:04:17]	[LOOC] CCA.C08-GRID.i1.23710: but yeah
[12:04:21]	[LOOC] CCA.C08-GRID.i1.23710: how did you get it
[12:04:26]	Death Razor has connected.
[12:04:28]	[LOOC] Chris 'Cyclops' LeVon: i spawned it
[12:04:31]	[LOOC] CCA.C08-GRID.i1.23710: with?
[12:04:42]	[LOOC] Chris 'Cyclops' LeVon: literally just the context menu lol 
[12:04:49]	FB|| light ROOM has connected.
[12:04:52]	CCA.C08-GRID.i1.23710 entered observer.
[12:04:53]	CCA.C08-UNION.i3.67098 has gained 10 tokens.
[12:04:53]	CCA.C08-GRID.i1.23710 exited observer at their location.
[12:05:12]	[LOOC] CCA.C08-GRID.i1.23710: try spawning an ar2
[12:05:28]	[LOOC] CCA.C08-GRID.i1.23710: wait
[12:05:31]	CCA.C08-GRID.i1.23710 has gained 10 tokens.
[12:05:32]	FB|| light ROOM loaded the character 'CCA.C08-QrM.98240'
[12:05:42]	[LOOC] Chris 'Cyclops' LeVon: cant spawn ar2
[12:05:43]	FB|| light ROOM loaded the character 'Ethan King'
[12:05:45]	Anthem (STEAM_0:0:511415379) has disconnected.
[12:05:48]	[LOOC] CCA.C08-GRID.i1.23710: did you use the biox
[12:05:54]	[LOOC] Chris 'Cyclops' LeVon: biox?
[12:05:59]	[OOC] Ethan King: Fucking christ
[12:06:00]	[LOOC] CCA.C08-GRID.i1.23710: box, mb
[12:06:02]	CCA.C08-GRID.i1.23710 used command '/ToggleRaise'.
