[04:55:41]	The E has connected.
[14:18:42]	Forton Greenman has taken 5 damage from prop_physics.
[14:18:42]	[OOC] Karl Von Habsburg: Alright then that may be the case
[14:18:45]	Forton Greenman has taken 5 damage from prop_physics.
[14:18:48]	Karl Von Habsburg exited observer at their location.
[14:18:50]	Karl Von Habsburg entered observer.
[14:18:54]	Karl Von Habsburg exited observer at their location.
[14:18:56]	Karl Von Habsburg entered observer.
[14:18:58]	Forton Greenman has taken 5 damage from prop_physics.
[14:19:01]	Forton Greenman has taken 5 damage from prop_physics.
[14:19:03]	Forton Greenman has taken 5 damage from prop_physics.
[14:19:16]	Forton Greenman has taken 5 damage from prop_physics.
[14:19:23]	Forton Greenman has taken 5 damage from prop_physics.
[14:19:25]	Forton Greenman has taken 5 damage from prop_physics.
[14:19:38]	Forton Greenman has taken 5 damage from prop_physics.
[14:19:40]	Forton Greenman has taken 5 damage from prop_physics.
[14:20:39]	[OOC] Forton Greenman: how do i become a cp
[14:20:48]	[OOC] Karl Von Habsburg: 15 Lp to try out
[14:21:31]	Karl Von Habsburg exited observer at their location.
[14:21:41]	[OOC] Forton Greenman: how to get lp
[14:22:00]	[OOC] Karl Von Habsburg: LP is gained by turning in contraband and working at the work desk.
[14:22:13]	[OOC] Karl Von Habsburg: There are no CPs on right now, however I can get on one if you want.
[14:22:21]	[OOC] Forton Greenman: ok
[14:22:28]	[CGN] Painevan loaded the character 'CCA.C14-HELIX.i4.50299'
[14:22:44]	CCA.C14-HELIX.i4.50299 used command '/Radio Unit is 10-8, 10-76 Workdesk.'.
[14:25:19]	CCA.C14-HELIX.i4.50299 has spawned 'models/props_c17/oildrum001.mdl'.
[14:25:20]	CCA.C14-HELIX.i4.50299 has spawned 'models/props_c17/oildrum001.mdl'.
[14:25:21]	CCA.C14-HELIX.i4.50299 has spawned 'models/props_c17/oildrum001.mdl'.
[14:25:22]	CCA.C14-HELIX.i4.50299 has spawned 'models/props_c17/oildrum001.mdl'.
[14:25:24]	CCA.C14-HELIX.i4.50299 has spawned 'models/props_c17/oildrum001.mdl'.
[14:25:25]	CCA.C14-HELIX.i4.50299 has spawned 'models/props_c17/oildrum001.mdl'.
[14:26:25]	Doughnut has connected.
[14:27:04]	CCA.C14-HELIX.i4.50299 entered observer.
[14:27:12]	CCA.C14-HELIX.i4.50299 exited observer at their location.
[14:27:13]	CCA.C14-HELIX.i4.50299 has taken 10 damage from prop_physics.
[14:27:13]	CCA.C14-HELIX.i4.50299 has taken 20 damage from prop_physics.
[14:27:28]	CCA.C14-HELIX.i4.50299 has gained 10 tokens.
[14:27:49]	CCA.C14-HELIX.i4.50299 entered observer.
[14:27:50]	Doughnut loaded the character 'John Zimmer'
[14:27:57]	CCA.C14-HELIX.i4.50299 exited observer at their location.
[14:28:01]	CCA.C14-HELIX.i4.50299 entered observer.
[14:28:13]	CCA.C14-HELIX.i4.50299 exited observer at their location.
[14:28:45]	[LOOC] Forton Greenman: i just found out you can toss these at like 500 kmph
[14:28:51]	[LOOC] CCA.C14-HELIX.i4.50299: Yeah
[14:30:15]	Forton Greenman used command '/DoorBuy'.
[14:30:56]	Forton Greenman used command '/Apply'.
[14:31:07]	[ME] CCA.C14-HELIX.i4.50299: takes out a small PDA and begins writing.
[14:31:14]	CCA.C14-HELIX.i4.50299 used command '/OldViewData forton'.
[14:32:08]	CCA.C14-HELIX.i4.50299 used command '/OldViewData helix'.
[14:32:21]	CCA.C14-HELIX.i4.50299 used command '/OldViewData green'.
[14:32:28]	CCA.C14-HELIX.i4.50299 has gained 10 tokens.
[14:34:42]	John Zimmer ran 'Take' on item 'UU Brand Cigarette Pack' (#25625)
[14:34:42]	John Zimmer has gained a 'UU Brand Cigarette' #25871.
[14:34:43]	John Zimmer ran 'Eat' on item 'UU Brand Cigarette' (#25871)
[14:34:49]	CCA.C14-HELIX.i4.50299 entered observer.
[14:34:50]	CCA.C14-HELIX.i4.50299 exited observer at their location.
[14:34:51]	[LOOC] Forton Greenman: i found a bug
[14:35:04]	[LOOC] Forton Greenman: get off the thing
[14:35:08]	[LOOC] Forton Greenman: you can jump super high
[14:37:28]	CCA.C14-HELIX.i4.50299 has gained 10 tokens.
[14:37:39]	CCA.C14-HELIX.i4.50299 has spawned 'models/props_junk/MetalBucket01a.mdl'.
[14:38:18]	CCA.C14-HELIX.i4.50299 entered observer.
[14:38:23]	[LOOC] Forton Greenman: how do i check my lp
[14:38:30]	[ME] John Zimmer: dunks rag in water
[14:38:48]	[ME] John Zimmer: starts washing off graffiti
[14:38:53]	John Zimmer rolled 75 out of 100.
[14:38:53]	John Zimmer used command '/Roll'.
[14:39:05]	[ME] John Zimmer: continues washing graffiti off
[14:39:07]	John Zimmer rolled 45 out of 100.
[14:39:07]	John Zimmer used command '/Roll'.
[14:39:17]	CCA.C14-HELIX.i4.50299 used command '/PanelRemove 4'.
[14:39:28]	CCA.C14-HELIX.i4.50299 used command '/PanelRemove 1000'.
[14:39:34]	CCA.C14-HELIX.i4.50299 exited observer at their location.
[14:39:35]	Forton Greenman has taken 5 damage from prop_physics.
[14:39:35]	Forton Greenman has taken 50 damage from prop_physics.
[14:39:35]	prop_physics has killed Forton Greenman.
[14:39:40]	CCA.C14-HELIX.i4.50299 entered observer.
[14:39:51]	[OOC] Forton Greenman: oh my god i died because i was trying to throw a chair out the window
[14:40:00]	[OOC] CCA.C14-HELIX.i4.50299: nice job
[14:40:09]	[OOC] Forton Greenman: so how do i check my LP
[14:40:14]	[OOC] John Zimmer: ask a cp
[14:40:17]	[OOC] CCA.C14-HELIX.i4.50299: Ask a cp
[14:40:21]	[ME] John Zimmer: begins washing off graffiti
[14:40:23]	John Zimmer rolled 36 out of 100.
[14:40:23]	John Zimmer used command '/Roll'.
[14:40:25]	[OOC] Forton Greenman: cant find a cp
[14:40:26]	[IT] CCA.C14-HELIX.i4.50299: you dont
[14:40:32]	CCA.C14-HELIX.i4.50299 has spawned 'models/props_c17/pushbroom.mdl'.
[14:40:54]	Forton Greenman has taken 500 damage from prop_physics.
[14:40:54]	prop_physics has killed Forton Greenman.
[14:40:55]	[ME] John Zimmer: dunks broom in water
[14:40:58]	[OOC] Forton Greenman: i died again
[14:40:58]	[ME] John Zimmer: washes graffiti
[14:41:02]	John Zimmer rolled 11 out of 100.
[14:41:02]	John Zimmer used command '/Roll'.
[14:41:07]	[IT] CCA.C14-HELIX.i4.50299: it worse
[14:41:17]	[ME] John Zimmer: dunks broom back into water
[14:41:20]	[OOC] CCA.C14-HELIX.i4.50299: nice
[14:41:25]	[ME] John Zimmer: continues to try to wash off graffiti
[14:41:26]	John Zimmer rolled 49 out of 100.
[14:41:26]	John Zimmer used command '/Roll'.
[14:41:29]	[OOC] Forton Greenman: where are cps
[14:41:35]	[IT] CCA.C14-HELIX.i4.50299: almsot
[14:41:49]	[ME] John Zimmer: tries to finish off graffiti
[14:41:50]	John Zimmer rolled 97 out of 100.
[14:41:50]	John Zimmer used command '/Roll'.
[14:41:54]	[IT] CCA.C14-HELIX.i4.50299: e
[14:42:05]	CCA.C14-HELIX.i4.50299 used command '/PanelRemove 1000'.
[14:42:28]	CCA.C14-HELIX.i4.50299 has gained 10 tokens.
[14:42:40]	peep | trade.tf (STEAM_0:0:167391168) has disconnected.
[14:42:55]	CCA.C14-HELIX.i4.50299 exited observer at their location.
[14:43:04]	[LOOC] John Zimmer: bucknut
[14:43:21]	John Zimmer used command '/Apply'.
[14:43:37]	[ME] CCA.C14-HELIX.i4.50299: takes out a small PDA and begins typing.
[14:43:49]	CCA.C14-HELIX.i4.50299 used command '/OldViewData zimm'.
[14:45:59]	[LOOC] John Zimmer: *whips and nae nae's in loyalist*
[14:46:58]	CCA.C14-HELIX.i4.50299 ran 'take' on item 'Blue Loyalist Armband' (#21917)
[14:46:58]	CCA.C14-HELIX.i4.50299 has gained a 'Blue Loyalist Armband' #21917.
[14:47:19]	John Zimmer ran 'EquipUn' on item 'Green Loyalist Armband' (#21821)
[14:47:19]	John Zimmer ran 'drop' on item 'Green Loyalist Armband' (#21821)
[14:47:19]	John Zimmer has lost a 'Green Loyalist Armband' #21821.
[14:47:23]	CCA.C14-HELIX.i4.50299 ran 'take' on item 'Green Loyalist Armband' (#21821)
[14:47:23]	CCA.C14-HELIX.i4.50299 has gained a 'Green Loyalist Armband' #21821.
[14:47:26]	CCA.C14-HELIX.i4.50299 ran 'drop' on item 'Blue Loyalist Armband' (#21917)
[14:47:26]	CCA.C14-HELIX.i4.50299 has lost a 'Blue Loyalist Armband' #21917.
[14:47:28]	CCA.C14-HELIX.i4.50299 has gained 10 tokens.
[14:47:32]	John Zimmer ran 'take' on item 'Blue Loyalist Armband' (#21917)
[14:47:32]	John Zimmer has gained a 'Blue Loyalist Armband' #21917.
[14:47:34]	John Zimmer ran 'Equip' on item 'Blue Loyalist Armband' (#21917)
[14:49:08]	CCA.C14-HELIX.i4.50299 entered observer.
[14:49:20]	CCA.C14-HELIX.i4.50299 exited observer at their location.
[14:49:48]	CCA.C14-HELIX.i4.50299 used command '/OldViewData john'.
[14:50:04]	CCA.C14-HELIX.i4.50299 entered observer.
[14:52:11]	John Zimmer has taken 5 damage from prop_physics.
[14:52:28]	CCA.C14-HELIX.i4.50299 has gained 10 tokens.
[14:56:07]	John Zimmer has taken 5 damage from npc_headcrab.
[14:57:28]	CCA.C14-HELIX.i4.50299 has gained 10 tokens.
[14:59:11]	John Zimmer opened the '' #1818 container.
[14:59:13]	John Zimmer closed the '' #1818 container.
[14:59:14]	John Zimmer opened the '' #1818 container.
[14:59:14]	John Zimmer closed the '' #1818 container.
[14:59:16]	John Zimmer opened the '' #1818 container.
[14:59:16]	John Zimmer closed the '' #1818 container.
[14:59:18]	John Zimmer opened the '' #1818 container.
[14:59:18]	John Zimmer closed the '' #1818 container.
[14:59:48]	CCA.C14-HELIX.i4.50299 has spawned 'models/props_combine/breendesk.mdl'.
[15:00:45]	CCA.C14-HELIX.i4.50299 has spawned a 'Entity [3196][ix_testent3]'.
[15:00:52]	CCA.C14-HELIX.i4.50299 exited observer at their location.
[15:00:53]	CCA.C14-HELIX.i4.50299 entered observer.
[15:00:54]	CCA.C14-HELIX.i4.50299 exited observer at their location.
[15:00:59]	CCA.C14-HELIX.i4.50299 has taken 10 damage from CCA.C14-HELIX.i4.50299.
[15:01:03]	CCA.C14-HELIX.i4.50299 has taken 10 damage from CCA.C14-HELIX.i4.50299.
[15:01:12]	CCA.C14-HELIX.i4.50299 has taken 10 damage from CCA.C14-HELIX.i4.50299.
[15:01:23]	CCA.C14-HELIX.i4.50299 entered observer.
[15:01:26]	John Zimmer ran 'Take' on item 'UU Brand Cigarette Pack' (#25625)
[15:01:26]	John Zimmer has gained a 'UU Brand Cigarette' #25871.
[15:01:28]	John Zimmer ran 'Eat' on item 'UU Brand Cigarette' (#25871)
[15:01:29]	CCA.C14-HELIX.i4.50299 has spawned a 'Entity [3196][ix_testent6]'.
[15:01:30]	John Zimmer ran 'Take' on item 'UU Brand Cigarette Pack' (#25625)
[15:01:30]	John Zimmer has gained a 'UU Brand Cigarette' #25871.
[15:01:32]	John Zimmer ran 'Eat' on item 'UU Brand Cigarette' (#25871)
[15:01:34]	John Zimmer ran 'View' on item 'UU Brand Cigarette Pack' (#25625)
[15:01:57]	CCA.C14-HELIX.i4.50299 has spawned a 'Entity [3196][ix_testent5]'.
[15:02:11]	CCA.C14-HELIX.i4.50299 exited observer at their location.
[15:02:11]	CCA.C14-HELIX.i4.50299 entered observer.
[15:02:12]	CCA.C14-HELIX.i4.50299 exited observer at their location.
[15:02:28]	CCA.C14-HELIX.i4.50299 has gained 10 tokens.
[15:02:28]	CCA.C14-HELIX.i4.50299 entered observer.
[15:02:29]	CCA.C14-HELIX.i4.50299 exited observer at their location.
[15:03:02]	CCA.C14-HELIX.i4.50299 entered observer.
[15:03:25]	CCA.C14-HELIX.i4.50299 has spawned a 'Entity [1872][ix_vendingmachine]'.
[15:03:41]	CCA.C14-HELIX.i4.50299 has spawned a 'Entity [1872][ix_vendingmachine]'.
[15:04:09]	John Zimmer has lost 7 tokens.
[15:04:17]	John Zimmer ran 'take' on item 'Flavored Breen's Water' (#25871)
[15:04:17]	John Zimmer has gained a 'Flavored Breen's Water' #25871.
[15:04:22]	John Zimmer ran 'Drink' on item 'Flavored Breen's Water' (#25871)
[15:04:35]	John Zimmer ran 'drop' on item 'Box of Needles' (#25864)
[15:04:35]	John Zimmer has lost a 'Box of Needles' #25864.
[15:04:37]	John Zimmer ran 'drop' on item 'Cloth Scrap' (#25694)
[15:04:37]	John Zimmer has lost a 'Cloth Scrap' #25694.
[15:04:53]	CCA.C14-HELIX.i4.50299 used command '/CharSetBodygroup john gloves 1'.
[15:06:09]	CCA.C14-HELIX.i4.50299 used command '/CharSetBodygroup john hands 1'.
[15:06:22]	CCA.C14-HELIX.i4.50299 used command '/CharSetBodygroup john hands 2'.
[15:06:46]	CCA.C14-HELIX.i4.50299 exited observer at their location.
[15:06:48]	CCA.C14-HELIX.i4.50299 has taken 64 damage from worldspawn.
[15:06:48]	CCA.C14-HELIX.i4.50299 entered observer.
[15:07:23]	CCA.C14-HELIX.i4.50299 has spawned 'models/assassin/fassassin.mdl'.
[15:07:28]	CCA.C14-HELIX.i4.50299 has gained 10 tokens.
[15:07:33]	CCA.C14-HELIX.i4.50299 has spawned 'models/assassin/fassassin.mdl'.
[15:09:27]	CCA.C14-HELIX.i4.50299 has spawned 'models/ninja/combine/combine_soldier_prisonguard.mdl'.
[15:09:45]	CCA.C14-HELIX.i4.50299 has spawned 'models/ninja/combine/combine_soldier_prisonguard.mdl'.
[15:09:50]	CCA.C14-HELIX.i4.50299 has spawned 'models/ninja/combine/combine_soldier_prisonguard.mdl'.
[15:10:37]	CCA.C14-HELIX.i4.50299 has spawned 'models/ninja/combine/combine_soldier_prisonguard.mdl'.
[15:11:20]	CCA.C14-HELIX.i4.50299 has spawned 'models/ninja/combine/combine_super_soldier.mdl'.
[15:11:21]	CCA.C14-HELIX.i4.50299 has spawned 'models/ninja/combine/combine_super_soldier.mdl'.
[15:11:23]	CCA.C14-HELIX.i4.50299 has spawned 'models/ninja/combine/combine_super_soldier.mdl'.
[15:11:24]	CCA.C14-HELIX.i4.50299 has spawned 'models/ninja/combine/combine_super_soldier.mdl'.
[15:11:25]	CCA.C14-HELIX.i4.50299 has spawned 'models/ninja/combine/combine_super_soldier.mdl'.
[15:11:26]	CCA.C14-HELIX.i4.50299 has spawned 'models/ninja/combine/combine_super_soldier.mdl'.
[15:11:27]	CCA.C14-HELIX.i4.50299 has spawned 'models/ninja/combine/combine_super_soldier.mdl'.
[15:11:28]	CCA.C14-HELIX.i4.50299 has spawned 'models/ninja/combine/combine_super_soldier.mdl'.
[15:11:30]	CCA.C14-HELIX.i4.50299 has spawned 'models/ninja/combine/combine_super_soldier.mdl'.
[15:11:41]	[ME] John Zimmer: searches car
[15:11:43]	John Zimmer rolled 72 out of 100.
[15:11:43]	John Zimmer used command '/Roll'.
[15:11:48]	CCA.C14-HELIX.i4.50299 used command '/adminspawnmenu'.
[15:11:55]	CCA.C14-HELIX.i4.50299 has spawned "Flashlight"
[15:11:59]	John Zimmer ran 'take' on item 'Flashlight' (#25871)
[15:11:59]	John Zimmer has gained a 'Flashlight' #25871.
[15:12:03]	CCA.C14-HELIX.i4.50299 has spawned 'models/ninja/combine/combine_soldier_prisonguard.mdl'.
[15:12:10]	[ME] John Zimmer: searches car
[15:12:11]	John Zimmer rolled 6 out of 100.
[15:12:11]	John Zimmer used command '/Roll'.
[15:12:15]	[IT] CCA.C14-HELIX.i4.50299: epmty
[15:12:22]	[ME] John Zimmer: searches car
[15:12:23]	John Zimmer rolled 85 out of 100.
[15:12:23]	John Zimmer used command '/Roll'.
[15:12:28]	CCA.C14-HELIX.i4.50299 has gained 10 tokens.
[15:12:35]	[OOC] Ronald "Ron" Broadbet: what did he cry over
[15:12:40]	[OOC] John Zimmer: who?
[15:12:43]	[OOC] Ronald "Ron" Broadbet: peep
[15:12:43]	[OOC] CCA.C14-HELIX.i4.50299: who
[15:12:47]	[OOC] CCA.C14-HELIX.i4.50299: Huh
[15:12:51]	[OOC] John Zimmer: oh i guess he just got bored
[15:12:55]	[OOC] CCA.C14-HELIX.i4.50299: yeah
[15:12:59]	CCA.C14-HELIX.i4.50299 used command '/adminspawnmenu'.
[15:13:06]	[OOC] John Zimmer: he left after yeeting barrels for 10 seconds
[15:13:22]	CCA.C14-HELIX.i4.50299 has spawned "Bandage"
[15:13:26]	John Zimmer ran 'take' on item 'Bandage' (#25872)
[15:13:26]	John Zimmer has gained a 'Bandage' #25872.
[15:13:31]	Ronald "Ron" Broadbet used command '/ToggleRaise'.
[15:13:34]	[OOC] John Zimmer: oh i guess he just got bored
[15:13:37]	[OOC] John Zimmer: oops
[15:13:40]	[OOC] Ronald "Ron" Broadbet: peep
[15:13:42]	[OOC] Ronald "Ron" Broadbet: what did he cry over
[15:13:43]	[OOC] Ronald "Ron" Broadbet: peep
[15:13:44]	[OOC] Ronald "Ron" Broadbet: what did he cry over
[15:13:45]	[OOC] Ronald "Ron" Broadbet: what did he cry over
[15:13:46]	[OOC] Ronald "Ron" Broadbet: what did he cry overy
[15:13:48]	[ME] John Zimmer: searches car
[15:13:48]	[OOC] Ronald "Ron" Broadbet: what did he cry overy
[15:13:49]	[OOC] Ronald "Ron" Broadbet: what did he cry over
[15:13:49]	John Zimmer rolled 62 out of 100.
[15:13:49]	John Zimmer used command '/Roll'.
[15:13:50]	[OOC] Ronald "Ron" Broadbet: what did he cry overy
[15:13:53]	[OOC] John Zimmer: ew
[15:13:55]	[OOC] CCA.C14-HELIX.i4.50299: What
[15:13:56]	Ronald "Ron" Broadbet used command '/Gasmask'.
[15:14:00]	CCA.C14-HELIX.i4.50299 used command '/adminspawnmenu'.
[15:14:02]	[OOC] Ronald "Ron" Broadbet: peep
[15:14:05]	[OOC] Ronald "Ron" Broadbet: ur mom
[15:14:06]	CCA.C14-HELIX.i4.50299 has spawned "Battered Scrap"
[15:14:06]	CCA.C14-HELIX.i4.50299 has spawned "Battered Scrap"
[15:14:07]	John Zimmer ran 'take' on item 'Battered Scrap' (#25874)
[15:14:07]	John Zimmer has gained a 'Battered Scrap' #25874.
[15:14:10]	Ronald "Ron" Broadbet used command '/ToggleRaise'.
[15:14:15]	John Zimmer ran 'drop' on item 'Battered Scrap' (#25874)
[15:14:15]	John Zimmer has lost a 'Battered Scrap' #25874.
[15:14:16]	John Zimmer ran 'drop' on item 'Battered Scrap' (#25861)
[15:14:16]	John Zimmer has lost a 'Battered Scrap' #25861.
[15:14:17]	John Zimmer ran 'drop' on item 'Battered Scrap' (#25862)
[15:14:17]	John Zimmer has lost a 'Battered Scrap' #25862.
[15:14:23]	sand loaded the character 'Kermit'
[15:14:26]	[OOC] CCA.C14-HELIX.i4.50299: brb in 10
[15:14:28]	[OOC] Kermit: no
[15:14:34]	[OOC] Kermit: help me out first
[15:14:42]	[OOC] John Zimmer: kermit the frog!?
[15:14:48]	[OOC] John Zimmer: bro imma eat you
[15:14:59]	[OOC] Kermit: u need to let me out
[15:15:03]	[OOC] John Zimmer: where
[15:15:08]	[OOC] Kermit: cmu building
[15:15:11]	[OOC] Kermit: forcefield
[15:15:11]	[OOC] John Zimmer: oof
[15:15:44]	[LOOC] John Zimmer: you want me to kill you?
[15:15:59]	[LOOC] John Zimmer: that's prolly the quickest way
[15:16:11]	[OOC] John Zimmer: yo sand i can just kill you and you'll be out in like 2 min
[15:16:37]	[OOC] Kermit: yea kill me
[15:16:43]	Kermit has taken 7 damage from John Zimmer.
[15:16:44]	Kermit has taken 7 damage from John Zimmer.
[15:16:45]	Kermit has taken 7 damage from John Zimmer.
[15:17:04]	[LOOC] John Zimmer: it's not letting me
[15:17:10]	[OOC] Kermit: why
[15:17:15]	[OOC] John Zimmer: i can't attack at all
[15:17:23]	[OOC] Kermit: stamina
[15:17:28]	CCA.C14-HELIX.i4.50299 has gained 10 tokens.
[15:17:30]	[OOC] John Zimmer: nah i have full
[15:18:00]	Kermit used command '/ToggleRaise'.
[15:18:12]	Kermit used command '/CharFallOver'.
[15:18:14]	Kermit used command '/CharGetUp'.
[15:18:15]	Kermit used command '/CharGetUp'.
[15:18:16]	Kermit used command '/CharGetUp'.
[15:18:16]	Kermit used command '/CharGetUp'.
[15:18:17]	Kermit used command '/CharGetUp'.
[15:18:19]	John Zimmer ran 'drop' on item 'Suitcase' (#24958)
[15:18:19]	John Zimmer has lost a 'Suitcase' #24958.
[15:18:19]	John Zimmer has lost a 'Car Battery' #25852.
[15:18:19]	John Zimmer has lost a 'Bullet Casings' #25863.
[15:18:19]	John Zimmer has lost a 'Cables' #25844.
[15:18:19]	John Zimmer has lost a 'Car Battery' #25735.
[15:18:19]	John Zimmer has lost a 'Nails' #25847.
[15:18:19]	John Zimmer has lost a 'Refined Electronics' #25628.
[15:18:19]	John Zimmer has lost a 'Car Battery' #25818.
[15:18:38]	John Zimmer ran 'take' on item 'Suitcase' (#24958)
[15:18:38]	John Zimmer has gained a 'Suitcase' #24958.
[15:18:38]	John Zimmer has gained a 'Car Battery' #25852.
[15:18:38]	John Zimmer has gained a 'Bullet Casings' #25863.
[15:18:38]	John Zimmer has gained a 'Cables' #25844.
[15:18:38]	John Zimmer has gained a 'Car Battery' #25735.
[15:18:38]	John Zimmer has gained a 'Nails' #25847.
[15:18:38]	John Zimmer has gained a 'Refined Electronics' #25628.
[15:18:38]	John Zimmer has gained a 'Car Battery' #25818.
[15:19:01]	sand loaded the character 'CAC.C14-CRM.64299'
[15:19:07]	[OOC] John Zimmer: nothing
[15:19:38]	[LOOC] John Zimmer: sizzle
[15:20:21]	[OOC] John Zimmer: you're one lanky boi
[15:21:03]	sand loaded the character 'Koo Koo'
[15:21:09]	[OOC] Koo Koo: nobody helped me out of this wal
[15:21:13]	[OOC] John Zimmer: where
[15:21:14]	[OOC] Koo Koo: now i have 2 stuck characters
[15:21:19]	[OOC] Koo Koo: you wont be able to see me
[15:21:22]	[OOC] John Zimmer: oof
[15:21:24]	[OOC] Koo Koo: im stuck in a wall anyway so you wont help
[15:21:32]	sand loaded the character 'Eriqas'
[15:21:50]	Eriqas used command '/ToggleRaise'.
[15:21:54]	Eriqas used command '/ToggleRaise'.
[15:22:18]	Eriqas used command '/rx Scouting.'.
[15:22:28]	CCA.C14-HELIX.i4.50299 has gained 10 tokens.
[15:27:28]	CCA.C14-HELIX.i4.50299 has gained 10 tokens.
[15:32:28]	CCA.C14-HELIX.i4.50299 has gained 10 tokens.
[15:33:53]	[OOC] CCA.C14-HELIX.i4.50299: back
[15:34:05]	[OOC] CCA.C14-HELIX.i4.50299: What is going on?
[15:34:40]	CCA.C14-HELIX.i4.50299 exited observer at their location.
[15:34:43]	CCA.C14-HELIX.i4.50299 entered observer.
[15:35:41]	CCA.C14-HELIX.i4.50299 exited observer at their location.
[15:35:42]	CCA.C14-HELIX.i4.50299 entered observer.
[15:35:43]	CCA.C14-HELIX.i4.50299 exited observer at their location.
[15:35:45]	CCA.C14-HELIX.i4.50299 entered observer.
[15:35:45]	CCA.C14-HELIX.i4.50299 exited observer at their location.
[15:35:46]	CCA.C14-HELIX.i4.50299 entered observer.
[15:35:48]	CCA.C14-HELIX.i4.50299 exited observer at their location.
[15:35:50]	CCA.C14-HELIX.i4.50299 entered observer.
[15:36:54]	[OOC] Eriqas: you need to
[15:36:56]	[OOC] Eriqas: get me unstuck
[15:36:59]	[OOC] Eriqas: on my bird and chumtoad
[15:37:13]	sand loaded the character 'Kermit'
[15:37:24]	[OOC] Kermit: i was teleported into here
[15:37:28]	CCA.C14-HELIX.i4.50299 has gained 10 tokens.
[15:37:29]	[OOC] Kermit: i cant leave
[15:37:37]	[OOC] Kermit: and on my bird im stuck inside of a wall
[15:37:47]	[OOC] CCA.C14-HELIX.i4.50299: ok
[15:38:01]	[OOC] CCA.C14-HELIX.i4.50299: there
[15:39:37]	sand loaded the character 'Koo Koo'
[15:39:41]	[OOC] Koo Koo: i need to get unstucked
[15:39:49]	Koo Koo has taken 32 damage from worldspawn.
[15:39:49]	worldspawn has killed Koo Koo.
[15:39:52]	[OOC] CCA.C14-HELIX.i4.50299: there
[15:39:54]	[OOC] Koo Koo: nice job idiot
[15:40:07]	[OOC] Koo Koo: now im stuck again
[15:40:12]	[OOC] CCA.C14-HELIX.i4.50299: fly over
[15:40:14]	[OOC] Koo Koo: how
[15:40:16]	[OOC] CCA.C14-HELIX.i4.50299: stupid
[15:40:40]	[OOC] Koo Koo: i cant fly my bird is disabled
[15:40:53]	[OOC] Koo Koo: im invisible now
[15:41:01]	[OOC] CCA.C14-HELIX.i4.50299: you arent
[15:41:10]	[OOC] Koo Koo: oh yeah im in firstperson
[15:41:31]	CCA.C14-HELIX.i4.50299 exited observer at their location.
[15:41:36]	CCA.C14-HELIX.i4.50299 has taken 1 damage from CCA.C14-HELIX.i4.50299.
[15:41:49]	CCA.C14-HELIX.i4.50299 has taken 30 damage from CCA.C14-HELIX.i4.50299.
[15:41:51]	CCA.C14-HELIX.i4.50299 has taken 30 damage from CCA.C14-HELIX.i4.50299.
[15:41:54]	CCA.C14-HELIX.i4.50299 has taken 30 damage from CCA.C14-HELIX.i4.50299.
[15:41:57]	Koo Koo has taken 119 damage from worldspawn.
[15:41:57]	worldspawn has killed Koo Koo.
[15:41:59]	CCA.C14-HELIX.i4.50299 has taken 30 damage from CCA.C14-HELIX.i4.50299.
[15:42:01]	CCA.C14-HELIX.i4.50299 has taken 1 damage from CCA.C14-HELIX.i4.50299.
[15:42:10]	sand (STEAM_0:0:38537787) has disconnected.
[15:42:17]	CCA.C14-HELIX.i4.50299 has taken 5 damage from CCA.C14-HELIX.i4.50299.
[15:42:18]	CCA.C14-HELIX.i4.50299 has taken 5 damage from CCA.C14-HELIX.i4.50299.
[15:42:18]	CCA.C14-HELIX.i4.50299 has taken 5 damage from CCA.C14-HELIX.i4.50299.
[15:42:18]	CCA.C14-HELIX.i4.50299 has taken 5 damage from CCA.C14-HELIX.i4.50299.
[15:42:18]	CCA.C14-HELIX.i4.50299 has taken 5 damage from CCA.C14-HELIX.i4.50299.
[15:42:18]	CCA.C14-HELIX.i4.50299 has taken 5 damage from CCA.C14-HELIX.i4.50299.
[15:42:19]	CCA.C14-HELIX.i4.50299 has killed CCA.C14-HELIX.i4.50299.
[15:42:23]	CCA.C14-HELIX.i4.50299 entered observer.
[15:42:28]	CCA.C14-HELIX.i4.50299 has gained 10 tokens.
[15:42:37]	CCA.C14-HELIX.i4.50299 exited observer at their location.
[15:42:46]	CCA.C14-HELIX.i4.50299 entered observer.
[15:42:48]	CCA.C14-HELIX.i4.50299 entered observer.
[15:43:53]	[CGN] Painevan (STEAM_0:0:68118061) has disconnected.
[17:30:07]	FB|| light ROOM has connected.
[17:30:42]	FB|| light ROOM loaded the character 'CCA.C14-UNION.EpU.72633'
[17:30:46]	[OOC] CCA.C14-UNION.EpU.72633: Yo
[17:30:54]	CCA.C14-UNION.EpU.72633 ran 'View' on item 'Paper' (#25809)
[17:31:16]	CCA.C14-UNION.EpU.72633 used command '/Radio Unit is 10-8, status is green. Updating 10-20 to Plaza.'.
[17:33:23]	[OOC] John Zimmer: e
[17:33:48]	[OOC] John Zimmer: what's poppin
[17:34:17]	[OOC] CCA.C14-UNION.EpU.72633: It do be kinda dead today.
[17:35:28]	sand has connected.
[17:35:42]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[17:37:10]	sand loaded the character 'CCA.C14-UNION.i5.39867'
[17:37:30]	[OOC] John Zimmer: ye
[17:37:50]	[OOC] CCA.C14-UNION.EpU.72633: I fucking hate skeletonized guns SO fucking much.
