[07:06:13]	Haggiez has connected.
[11:12:27]	[OOC] Erwin Ramstein: Ah, classic story of some old dumbass not taking care of his gun, pawning it and putting some sap in danger.
[11:12:29]	[OOC] CCA.C08-UNION.i5.99915: lever actions here aand there
[11:12:50]	[OOC] Erwin Ramstein: Oldest I've fired I'd say was a M1 Garand that my Father's Uncle used in the Pacific Theatre.
[11:13:03]	[OOC] CCA.C08-UNION.i5.99915: i got the pleasure of firing a brown bess
[11:13:08]	[OOC] CCA.C08-UNION.i5.99915: original
[11:13:15]	[OOC] CCA.C08-UNION.i5.99915: kept in perfect conditon
[11:13:25]	[OOC] Erwin Ramstein: Oldest Gun, I've ever held. Likely a Walther PP, didn't check the Date on it.
[11:13:33]	[OOC] CCA.C08-UNION.i5.99915: i own a ppk
[11:13:43]	[OOC] CCA.C08-UNION.i5.99915: though 
[11:13:55]	[OOC] Erwin Ramstein: Neat, my Family's Relative has a Walther PP that he disassembled for, personal reasons.
[11:13:55]	[OOC] CCA.C08-UNION.i5.99915: shit yeah its a 1955 us production sadly
[11:13:59]	[OOC] Erwin Ramstein: It reminds him of the War.
[11:14:07]	[OOC] CCA.C08-UNION.i5.99915: understandable
[11:14:10]	[OOC] Erwin Ramstein: Very.
[11:14:22]	[OOC] Erwin Ramstein: He has, an amazing story lmao
[11:14:28]	Erwin Ramstein opened the '' #1173 container.
[11:14:30]	Erwin Ramstein closed the '' #1173 container.
[11:14:44]	[OOC] CCA.C08-UNION.i5.99915: imagine a superhero like superman but he uses a fucking glock 19x
[11:14:50]	[OOC] CCA.C08-UNION.i5.99915: unstoppable
[11:15:05]	[OOC] Erwin Ramstein: He was a part of the Western Assault, going for the Heart of Berlin as an Army Trooper, he wanted to be a Navy Sailor but his Mom was scared he'd get blown up by a U-Boat.
[11:15:06]	[OOC] CCA.C08-UNION.i5.99915: until the polymer in the handguard snaps of course
[11:15:12]	[OOC] Erwin Ramstein: So he went to be an Infantry instead.
[11:15:14]	[OOC] CCA.C08-QrM.98240: Superman but he uses a fucking M249 chambered on 12 gauge.
[11:15:23]	[OOC] CCA.C08-UNION.i5.99915: how would that even work QrM
[11:15:30]	[OOC] CCA.C08-UNION.i5.99915: maybe 410
[11:15:30]	[OOC] Erwin Ramstein: He was fighting in South-Germany, deep in some of the Dark Forests. Heavy Fighting.
[11:15:32]	[OOC] CCA.C08-QrM.98240: Good question but I wish it existed.
[11:15:32]	[OOC] CCA.C08-UNION.i5.99915: but even then
[11:15:43]	[OOC] CCA.C08-UNION.i5.99915: youd have to convert it from a fucking m2
[11:15:49]	[OOC] Erwin Ramstein: SS Soldiers were caught deep in a Town they were moving through, rather Rural. When they began to Shell it.
[11:16:13]	[OOC] Erwin Ramstein: They'd targeted his Unit and on the Third Shell an Arty Struck him, likely an '88.
[11:16:32]	[OOC] Erwin Ramstein: He crawled to a Barn nearby, as his legs were disabled, and shrapnel from the blast had flown into, and around his Helmet.
[11:16:47]	[OOC] Erwin Ramstein: He waited for Half an Hour, only for an American Medic to find him, with no Medical Supplies.
[11:16:50]	CCA.C08-QrM.98240 used the 'Armory' vendor.
[11:17:05]	[OOC] Erwin Ramstein: He went out, gathered a bunch of German Bandages and Dressings, fixed him up. And took him off to a MASH.
[11:17:14]	Jorgen_Skog has connected.
[11:17:16]	CCA.C08-QrM.98240 has gained 10 tokens.
[11:17:19]	CCA.C08-UNION.i5.99915 has gained 10 tokens.
[11:17:21]	[OOC] Erwin Ramstein: When he arrived, the Doctors saw a man in US Clothing, with German Bandages..y
[11:17:28]	[OOC] Erwin Ramstein: *And a Walther PP under his back.*
[11:17:33]	[OOC] Erwin Ramstein: He was taken as a POW.
[11:17:42]	[OOC] Erwin Ramstein: They thought he was German :)
[11:17:54]	[OOC] CCA.C08-UNION.i5.99915: common sense at that point
[11:17:58]	[OOC] Erwin Ramstein: That's his story.
[11:18:05]	[OOC] Erwin Ramstein: What a humble man with an amazing fuckin' story.
[11:18:14]	[OOC] Erwin Ramstein: Nicest soul I've ever met.
[11:18:30]	[OOC] Erwin Ramstein: And now y'all know his story too lol
[11:18:30]	[OOC] CCA.C08-UNION.i5.99915: the only good war story my family holds is when my great uncle got blown into a thoussand pieces by a booby trapped arty shell
[11:18:40]	[OOC] Erwin Ramstein: That sucks :(
[11:18:48]	[OOC] Erwin Ramstein: Man, I fuckin' hate war 
[11:18:53]	[OOC] Erwin Ramstein: I know what a thing to hate amirite.
[11:18:55]	[OOC] Erwin Ramstein: But damn.
[11:19:03]	[OOC] CCA.C08-UNION.i5.99915: the rest are just "yeah he had to beat up his officer then he got thrown into the brig for the war
[11:19:36]	[OOC] Erwin Ramstein: One of my Uncle's in the Navy was going to be dishonorably Discharged from the Navy cause he was a Knucklehead, a real Prankster. Nice guy though.
[11:19:41]	[OOC] CCA.C08-UNION.i5.99915: shit thinking about it, a 50 call HMG
[11:19:45]	[OOC] Erwin Ramstein: My other Uncle, in the Air Force, got him out with an Honorable Discharge.
[11:19:47]	[OOC] CCA.C08-UNION.i5.99915: 12 gage*
[11:19:52]	[LOOC] CCA.C08-UNION.i5.99915: gauge*
[11:19:55]	[OOC] CCA.C08-UNION.i5.99915: gauge*
[11:19:57]	[OOC] Erwin Ramstein: That was funny to hear.
[11:20:19]	Jorgen_Skog loaded the character 'PVT Jorgen Marventsky'
[11:20:19]	Erwin Ramstein opened the '' #1175 container.
[11:20:19]	Erwin Ramstein closed the '' #1175 container.
[11:20:31]	[OOC] Erwin Ramstein: Hey QRM? You around? If so I need you quick for 2 things
[11:20:35]	[OOC] PVT Jorgen Marventsky: One moment, doing specular again
[11:20:46]	[OOC] CCA.C08-UNION.i5.99915: my great grandpa watched the nukes go off in the pacififc, the put 2 ships within a 5 mile blast radius to test the effects of radiation on a ship crew
[11:20:57]	[OOC] CCA.C08-QrM.98240: Aight
[11:20:58]	[OOC] Erwin Ramstein: Now that's a fucking story.
[11:21:02]	[OOC] Erwin Ramstein: And you said you didn't have one.
[11:21:10]	[OOC] CCA.C08-UNION.i5.99915: a good WAR story
[11:21:17]	[OOC] CCA.C08-UNION.i5.99915: not some fucked goverement story
[11:21:19]	[OOC] Erwin Ramstein: That is a *war story*
[11:21:27]	[OOC] Erwin Ramstein: *War* doesn't have to be with the person right in it.
[11:21:33]	[LOOC] Erwin Ramstein: Hey you here?
[11:21:41]	[OOC] Erwin Ramstein: Civilians have plenty of War Stories.
[11:21:42]	[LOOC] Chris 'Cyclops' LeVon: me?
[11:21:51]	[LOOC] Erwin Ramstein: No not ye the QRM, I know you're here.
[11:22:03]	[LOOC] Chris 'Cyclops' LeVon: what do u need
[11:22:16]	CCA.C08-QrM.98240 has gained 10 tokens.
[11:22:19]	CCA.C08-UNION.i5.99915 has gained 10 tokens.
[11:22:20]	[OOC] PVT Jorgen Marventsky: Back
[11:22:23]	[LOOC] Chris 'Cyclops' LeVon: i have perm PET flags if you need somethin prop related
[11:22:26]	[OOC] CCA.C08-QrM.98240: wb
[11:22:27]	[LOOC] Erwin Ramstein: I do too, dw.
[11:22:31]	[LOOC] Erwin Ramstein: Built this whole place.
[11:22:35]	[LOOC] Chris 'Cyclops' LeVon: oh ight
[11:22:41]	PVT Jorgen Marventsky used command '/ActStand 2'.
[11:22:44]	[OOC] CCA.C08-UNION.i5.99915: but yeah, he was in the navy, a loader on one of the naval guns. he was told he was going to be apart of a test crew due to his competence in battle which he thought wasnt quite right as he wasnt a very good soldier at all. they sent him to the middle o
[11:22:45]	CCA.C08-QrM.98240 used the 'Armory' vendor.
[11:22:48]	Chris 'Cyclops' LeVon ran 'View' on item 'Notepad' (#12081)
[11:22:49]	CCA.C08-QrM.98240 has gained 0 tokens.
[11:22:50]	Chris 'Cyclops' LeVon ran 'View' on item 'Notepad' (#12115)
[11:22:53]	Chris 'Cyclops' LeVon ran 'View' on item 'Notepad' (#11837)
[11:22:57]	PVT Jorgen Marventsky used command '/ExitAct'.
[11:23:03]	[ME] CCA.C08-QrM.98240: Holds out a small military grade filter.
[11:23:03]	[OOC] CCA.C08-UNION.i5.99915: of the pacific and told him "look at.....325 on your compass"
[11:23:11]	[LOOC] PVT Jorgen Marventsky: There's a filter rolling behind you by the locker
[11:23:12]	[LOOC] CCA.C08-QrM.98240: Hold on
[11:23:17]	CCA.C08-QrM.98240 ran 'drop' on item 'Citizen Filter' (#11741)
[11:23:17]	CCA.C08-QrM.98240 has lost a 'Citizen Filter' #11741.
[11:23:19]	CCA.C08-QrM.98240 ran 'take' on item 'Conscript Filter' (#12212)
[11:23:19]	CCA.C08-QrM.98240 has gained a 'Conscript Filter' #12212.
[11:23:22]	CCA.C08-QrM.98240 ran 'drop' on item 'Conscript Filter' (#12212)
[11:23:22]	CCA.C08-QrM.98240 has lost a 'Conscript Filter' #12212.
[11:23:26]	PVT Jorgen Marventsky ran 'equip' on item 'Conscript Filter' (#12212)
[11:23:27]	[LOOC] CCA.C08-QrM.98240: Lmao
[11:23:37]	[OOC] Erwin Ramstein: I can imagine that man just peering down at his Compass, looking up and seeing a bright light in the distance.
[11:23:37]	[OOC] CCA.C08-UNION.i5.99915: he saw 2 other ships, behind him was a massive warship about 25 miles back barely visible
[11:23:43]	[OOC] Erwin Ramstein: How haunting. 
[11:23:59]	[ME] PVT Jorgen Marventsky: would equip the filter, seeing the suit was low on air supply, the sound of oxygen releasing into his suit was unsatisfying.
[11:24:09]	[OOC] CCA.C08-UNION.i5.99915: he hears "three, two, one" and then hes fucking blinded. he falls to the floor into a hatch which saved him from the shockwave
[11:24:13]	[OOC] Chris 'Cyclops' LeVon: i remember seeing a video of people in a ghost ship completely frozen in place
[11:24:32]	[OOC] Erwin Ramstein: Jesus Christ, that's a fucking terrifying story, 999.
[11:24:34]	[OOC] Erwin Ramstein: What a shame.
[11:24:38]	CCA.C08-QrM.98240 destroyed a 'Citizen Filter' #11741.
[11:24:39]	PVT Jorgen Marventsky used command '/Radio PVT Jorgen Marventsky, Going on duty.'.
[11:24:41]	[OOC] Erwin Ramstein: Glad he lived though lmao.
[11:24:49]	[OOC] Erwin Ramstein: Also ooooo Ghost Ship stories
[11:24:53]	CCA.C08-QrM.98240 used command '/Radio Copy that, guard the Nexus if you can.'.
[11:24:57]	[OOC] Erwin Ramstein: As a fisherman I love ghost ship stories lmao
[11:25:11]	CCA.C08-QrM.98240 used command '/PM Jorgen I forgot to mention this, Conscripts don't patrol but they guard.'.
[11:25:23]	PVT Jorgen Marventsky used command '/PM QrM Ik that'.
[11:25:23]	Erwin Ramstein used command '/PM qrm You TP'ing soon? :)'.
[11:25:27]	[OOC] Chris 'Cyclops' LeVon: the ghost ship still had the captain completely frozen in place in his chair like literally ice blue
[11:25:36]	[OOC] Chris 'Cyclops' LeVon: same with everyone else
[11:25:41]	PVT Jorgen Marventsky used command '/PM QrM I mean they can be outside the nexus precinct and guard there right?'.
[11:25:42]	[OOC] Chris 'Cyclops' LeVon: even though the ship wasn't damaged at all
[11:25:45]	[OOC] CCA.C08-UNION.i5.99915: hes blind for 5 hours before another crew comes to check the remains of the people. when they came to find little petty officer third class stiles sitting there with bandages over his eyes just breathing
[11:26:01]	[OOC] Erwin Ramstein: "IM GOOD" lmao
[11:26:02]	CCA.C08-QrM.98240 used command '/PM Jorgen You're allowed to leave the Nexus and guard shit.'.
[11:26:10]	CCA.C08-QrM.98240 entered observer.
[11:26:18]	[LOOC] CCA.C08-QrM.98240: What do you need?
[11:26:29]	[OOC] CCA.C08-UNION.i5.99915: he says "i can hear you bastards, help me up"
[11:26:34]	CCA.C08-QrM.98240 exited observer at their location.
[11:26:54]	[OOC] CCA.C08-UNION.i5.99915: they do so and send his ass to a hospital all the way in new york where hes treated and somehow recovers his vision
[11:27:00]	[OOC] PVT Jorgen Marventsky: Floating shadow heads in the scoreboard
[11:27:10]	[OOC] CCA.C08-UNION.i5.99915: though he died like 10 years later from somehow non related lung cancer
[11:27:16]	CCA.C08-QrM.98240 has gained 10 tokens.
[11:27:19]	CCA.C08-UNION.i5.99915 has gained 10 tokens.
[11:27:35]	[OOC] Chris 'Cyclops' LeVon: probably because nukes have chemicals in them LMAO
[11:27:50]	[OOC] CCA.C08-UNION.i5.99915: no no no, it was from him smoking 2 packs a day since he was 9
[11:27:57]	[OOC] PVT Jorgen Marventsky: Nukes also had Picric Acid in em
[11:28:00]	[OOC] CCA.C08-QrM.98240: That'll do it.
[11:28:20]	[OOC] CCA.C08-UNION.i5.99915: he upped it to 3 after the blast because "if that wont kill me, these wont"
[11:28:22]	[OOC] Chris 'Cyclops' LeVon: i mean all that radiation probably caught up to him too
[11:28:33]	[OOC] CCA.C08-UNION.i5.99915: but they did
[11:28:54]	Odin (STEAM_0:0:595064043) has disconnected (timed out).
[11:29:01]	[OOC] CCA.C08-QrM.98240: Pretty sure he crashed
[11:29:07]	[OOC] CCA.C08-QrM.98240: Was just about to ask me for something
[11:29:07]	CCA.C08-QrM.98240 entered observer.
[11:29:12]	[OOC] CCA.C08-QrM.98240: Yep he did
[11:29:15]	[OOC] CCA.C08-QrM.98240: Timed out
[11:29:22]	CCA.C08-QrM.98240 exited observer at their location.
[11:29:30]	[OOC] PVT Jorgen Marventsky: He asked you a order same as big smokes?
[11:29:50]	[LOOC] CCA.C08-QrM.98240: He was gonna, and then the mortal coil told him "no"
[11:30:01]	[OOC] CCA.C08-QrM.98240: He was gonna, and then the mortal coil told him "no"
[11:30:18]	[OOC] PVT Jorgen Marventsky: Guess no fastfood for him, except me and my mcdonalds
[11:30:35]	[OOC] CCA.C08-QrM.98240: UU approved McDonalds?
[11:30:41]	[OOC] PVT Jorgen Marventsky: yes
[11:31:01]	[OOC] PVT Jorgen Marventsky: There's one on the map actually
[11:31:07]	[LOOC] CCA.C08-QrM.98240: wha
[11:31:16]	[LOOC] PVT Jorgen Marventsky: what lol
[11:31:24]	¢higgy ¢higgy has connected.
[11:31:25]	[LOOC] CCA.C08-QrM.98240: Nothing, nothing.
[11:31:27]	[LOOC] PVT Jorgen Marventsky: Since when do QrM's come out of the nexus
[11:31:29]	[OOC] CCA.C08-QrM.98240: YOOOOO
[11:31:38]	[LOOC] CCA.C08-QrM.98240: QrM's can come out into the Plaza if they want.
[11:31:43]	[LOOC] PVT Jorgen Marventsky: cool
[11:31:43]	[LOOC] CCA.C08-QrM.98240: It isn't advised but they can.
[11:31:55]	[LOOC] CCA.C08-QrM.98240: Also they come out as support units during combat situations.
[11:31:56]	[LOOC] PVT Jorgen Marventsky: btw, Cheese minged as a robot on another RP server
[11:32:06]	[LOOC] CCA.C08-QrM.98240: Bruh
[11:32:07]	Odin has connected.
[11:32:07]	[LOOC] PVT Jorgen Marventsky: kid you not lol
[11:32:16]	CCA.C08-QrM.98240 has gained 10 tokens.
[11:32:18]	[LOOC] PVT Jorgen Marventsky: He got banned for it tho
[11:32:27]	[LOOC] CCA.C08-QrM.98240: I can see why lmao
[11:33:23]	[LOOC] CCA.C08-QrM.98240: Fun fact: QrM's used to get AR2s until a motherfucker named "chief" changed it to the MP7 or Spas.
[11:33:25]	¢higgy ¢higgy loaded the character 'Frank Jackson'
[11:33:30]	[LOOC] PVT Jorgen Marventsky: rip
[11:33:38]	[LOOC] PVT Jorgen Marventsky: Spas aint bad, are they?
[11:33:46]	[LOOC] CCA.C08-QrM.98240: Not really but the AR2 is beyond amazing.
[11:33:58]	[LOOC] CCA.C08-QrM.98240: Actually QrM's used to have access to just about anything in the Armory.
[11:34:00]	Chris 'Cyclops' LeVon used the 'Street Market' vendor.
[11:34:03]	Chris 'Cyclops' LeVon has lost 3 tokens.
[11:34:03]	Chris 'Cyclops' LeVon has gained a 'UU-Brand Chips' #12213.
[11:34:04]	Chris 'Cyclops' LeVon has lost 3 tokens.
[11:34:04]	Chris 'Cyclops' LeVon has gained a 'UU-Brand Chips' #12214.
[11:34:08]	Chris 'Cyclops' LeVon ran 'Consume' on item 'UU-Brand Chips' (#12214)
[11:34:08]	Chris 'Cyclops' LeVon ran 'Consume' on item 'UU-Brand Chips' (#12213)
[11:34:10]	Frank Jackson used command '/Content'.
[11:34:13]	Chris 'Cyclops' LeVon used the 'Street Market' vendor.
[11:34:16]	[LOOC] PVT Jorgen Marventsky: And since when Conscripts are accessed with MP7's instead of the Heckler & K MP5
[11:34:23]	Chris 'Cyclops' LeVon has taken 1 damage from worldspawn.
[11:34:23]	Chris 'Cyclops' LeVon has taken 1 damage from worldspawn.
[11:34:24]	Chris 'Cyclops' LeVon has taken 1 damage from worldspawn.
[11:34:25]	Chris 'Cyclops' LeVon has taken 1 damage from worldspawn.
[11:34:25]	Chris 'Cyclops' LeVon ran 'Equip' on item 'Green Citizen Suit' (#870)
[11:34:28]	[LOOC] CCA.C08-QrM.98240: That will be coming soon actually.
[11:34:32]	[LOOC] PVT Jorgen Marventsky: when?
[11:34:47]	[LOOC] CCA.C08-QrM.98240: The MP5K will be coming probably today.
[11:34:49]	Chris 'Cyclops' LeVon ran 'EquipUn' on item 'Green Citizen Suit' (#870)
[11:34:54]	[LOOC] PVT Jorgen Marventsky: nice
[11:34:55]	Odin loaded the character 'Erwin Ramstein'
[11:35:00]	[OOC] Erwin Ramstein: Sorry > I am.. frozen in game, not DCing, but what I type doesnt come up and I can't move lmao
[11:35:03]	[OOC] Erwin Ramstein: I'm back now
[11:35:10]	[OOC] CCA.C08-QrM.98240: Aight, let me come to you.
[11:35:12]	deantheone loaded the character 'Ca-CAAW'
[11:35:14]	CCA.C08-QrM.98240 entered observer.
[11:35:17]	[OOC] Erwin Ramstein: Sure thang
[11:35:25]	¢higgy ¢higgy (STEAM_0:0:69154315) has disconnected.
[11:35:28]	[LOOC] CCA.C08-QrM.98240: Aight
[11:35:29]	CCA.C08-QrM.98240 exited observer at their location.
[11:35:32]	[OOC] CCA.C08-QrM.98240: rip
[11:35:53]	[OOC] CCA.C08-QrM.98240: Once i'm finished with this we should fix ratio.
[11:35:58]	[OOC] CCA.C08-QrM.98240: Because it is beyond fucked right now.
[11:36:04]	[LOOC] Erwin Ramstein: Hey so 2 things number 1, remove the door name as I think that's the main issue with it resetting, it was set to.. That.. and then edited to Erwin's Emporium, so remove it, make a new one and name it Erwin's Emporium
[11:36:26]	[OOC] Erwin Ramstein: Hey guys it's me civvie- 3 CCA arrive at the store asking for beers
[11:36:48]	[LOOC] CCA.C08-QrM.98240: Hmmmmm
[11:36:50]	Ca-CAAW opened the '' #1066 container.
[11:36:52]	Ca-CAAW closed the '' #1066 container.
[11:36:54]	[LOOC] CCA.C08-QrM.98240: This is an issue.
[11:36:57]	Ca-CAAW ran 'take' on item 'AA Battery' (#11283)
[11:36:57]	Ca-CAAW has gained a 'AA Battery' #11283.
[11:36:57]	Ca-CAAW opened the '' #1066 container.
[11:36:57]	[LOOC] Erwin Ramstein: Oh?
[11:36:59]	Ca-CAAW closed the '' #1066 container.
[11:37:04]	Ca-CAAW opened the '' #1256 container.
[11:37:05]	Ca-CAAW closed the '' #1256 container.
[11:37:13]	[LOOC] CCA.C08-QrM.98240: You might have to ask Q or somebody higher than me for this.
[11:37:16]	[LOOC] CCA.C08-QrM.98240: Sorry
[11:37:16]	CCA.C08-QrM.98240 has gained 10 tokens.
[11:37:17]	CCA.C08-QrM.98240 entered observer.
[11:37:20]	[LOOC] Erwin Ramstein: Can you not do it?
[11:37:25]	[LOOC] CCA.C08-QrM.98240: I appear to not be able to.
[11:37:30]	[OOC] PVT Jorgen Marventsky: There's three CCA's arriving at the bar, three of em laugh, one of em fits a 9mm, one fits an AR2, one slides down the transhumanise
[11:37:33]	[LOOC] Erwin Ramstein: Oh, alright. Can you remove Biolocks?
[11:37:35]	Ca-CAAW has taken 12 damage from npc_zombine.
[11:37:35]	npc_zombine has killed Ca-CAAW.
[11:37:55]	[LOOC] CCA.C08-QrM.98240: I could, but do you really want that? if somebody were to try breaking in it would be even easier.
[11:37:58]	PVT Jorgen Marventsky used command '/ActStand'.
[11:38:03]	PVT Jorgen Marventsky used command '/ExitAct'.
[11:38:03]	Ca-CAAW has taken 250 damage from trigger_hurt.
[11:38:03]	trigger_hurt has killed Ca-CAAW.
[11:38:09]	PVT Jorgen Marventsky used command '/ActStand 2'.
[11:38:11]	[LOOC] CCA.C08-QrM.98240: Right now nobody can get in unless they had a CWU card.
[11:38:14]	PVT Jorgen Marventsky used command '/ExitAct'.
[11:38:23]	[LOOC] Erwin Ramstein: CCA and CWU waltz into my store all the time and its a bit annoying, no. I don't want to get rid of it but I can't keep my fucking door secured either way and its, annoying.
[11:38:30]	¢higgy ¢higgy has connected.
[11:38:32]	[LOOC] Erwin Ramstein: Idk why y'all don't have CID Locks.
[11:38:46]	[LOOC] CCA.C08-QrM.98240: I would highly recommend you keep the Unionlock for now.
[11:38:55]	Ca-CAAW has taken 5 damage from Ca-CAAW.
[11:38:55]	Ca-CAAW has killed Ca-CAAW.
[11:38:55]	Ca-CAAW has gained 10 tokens.
[11:38:58]	¢higgy ¢higgy loaded the character 'Frank Jackson'
[11:39:12]	[LOOC] CCA.C08-QrM.98240: I understand your issue but also nobody should be waltzing into your store in the first place.
[11:39:17]	[Y] Ca-CAAW: CAAAAAAAAAAAAAW.
[11:39:22]	[LOOC] CCA.C08-QrM.98240: If another CWU member tries just tell them to "get the fuck out"
[11:39:24]	[Y] Frank Jackson: Fuck off stupid bird!
[11:39:25]	Odin (STEAM_0:0:595064043) has disconnected (timed out).
[11:39:31]	[OOC] CCA.C08-QrM.98240: Timed out again lmao
[11:39:41]	[OOC] CCA.C08-QrM.98240: Alright, everyone please fix ratio.
[11:39:45]	[OOC] CCA.C08-QrM.98240: Conscript and me flag off.
[11:39:51]	PVT Jorgen Marventsky used command '/Radio // May need to go Off duty for a bit, need to go for bathroom break'.
[11:39:52]	FB|| light ROOM loaded the character 'Ethan King'
[11:39:54]	Ethan King entered observer.
[11:39:59]	[OOC] Frank Jackson: went and grabbed content and still missing road texture and lots of errors v.v
[11:40:09]	[OOC] Ethan King: Do you have HL2 EP1 and EP2 downloaded?
[11:40:21]	[OOC] Frank Jackson: yiz just played em a couple months ago
[11:40:27]	[OOC] Ethan King: CSS?
[11:40:31]	[OOC] PVT Jorgen Marventsky: Afk for a min, bathroom break maybe
[11:40:35]	[OOC] Ethan King: Flag off please
[11:40:36]	[OOC] Frank Jackson: ah no CSS :'/
[11:40:47]	Jorgen_Skog loaded the character 'Vladimir Volkovich'
[11:40:49]	[OOC] Ethan King: I would recommend trying to get it when you can.
[11:41:03]	[OOC] Ethan King: That is most likely the issue causing the missing textures.
[11:41:19]	[OOC] Frank Jackson: On the road? The road is using CSS textures?
[11:41:28]	deantheone loaded the character 'Ag'reil'
[11:41:31]	FB|| light ROOM loaded the character 'Elias Ainsworth'
[11:41:32]	Elias Ainsworth entered observer.
[11:41:37]	[OOC] CCA.C08-UNION.i5.99915: a soldiers diet should be based off cheese, bread, meat and whatever vegtables he can find
[11:41:40]	[OOC] Elias Ainsworth: Possibly
[11:41:48]	Ag'reil used command '/CharDesc'.
[11:41:53]	Ag'reil used command '/CharDesc A giant tri-pod like creature, a light gold coat covering it, acting as armor, and dominance.'.
[11:42:01]	[OOC] Elias Ainsworth: Can we just start giving Conscripts rations from WW2
[11:42:19]	CCA.C08-UNION.i5.99915 has gained 10 tokens.
[11:42:20]	deantheone loaded the character 'CAC.C17-STK.87746'
[11:42:27]	Vladimir Volkovich used command '/Apply'.
[11:42:28]	[OOC] Frank Jackson: all conscripts are ordered to poop their pants immediately
[11:42:48]	[ME] CCA.C08-UNION.i5.99915: Removes a PDA from his belt, he types some things in
[11:42:52]	[OOC] Elias Ainsworth: Conscripts but they're actually Clone Troopers.
[11:42:53]	CCA.C08-UNION.i5.99915 used command '/ViewData Volko'.
[11:43:03]	[OOC] Frank Jackson: Clonescripts
[11:43:10]	deantheone loaded the character 'CCA.C08-UNION.i5.01477'
[11:44:07]	[ME] Vladimir Volkovich: sighs
[11:44:20]	[OOC] Elias Ainsworth: I love that the canon nickname for Storm Troopers is "Bucket Heads" while Clone Troopers get the nickname "Boy's in White"
[11:44:56]	deantheone loaded the character 'Ag'reil'
[11:45:10]	deantheone (STEAM_0:1:116497963) deleted character 'grrrrr'
[11:45:18]	Frank Jackson has taken 5 damage from Frank Jackson.
[11:45:18]	Frank Jackson has gained 10 tokens.
[11:45:19]	deantheone loaded the character 'CCA.C08-UNION.i5.01477'
[11:45:35]	[ME] CCA.C08-UNION.i5.99915: Types into the machine, He scrolls around before reading outloud "Clean trash from the Plaza"
[11:46:14]	Odin has connected.
[11:46:23]	[LOOC] Vladimir Volkovich: I mean this is trash
[11:47:04]	CCA.C08-UNION.i5.99915 ran 'drop' on item 'UU-Brand Chocolate' (#11949)
[11:47:04]	CCA.C08-UNION.i5.99915 has lost a 'UU-Brand Chocolate' #11949.
[11:47:19]	CCA.C08-UNION.i5.99915 has gained 10 tokens.
[11:47:27]	[ME] Vladimir Volkovich: he'd crouch down before picking up the outdated UU Chocolate.
[11:47:32]	Vladimir Volkovich ran 'take' on item 'UU-Brand Chocolate' (#11949)
[11:47:32]	Vladimir Volkovich has gained a 'UU-Brand Chocolate' #11949.
[11:47:46]	Vladimir Volkovich ran 'drop' on item 'UU-Brand Chocolate' (#11949)
[11:47:46]	Vladimir Volkovich has lost a 'UU-Brand Chocolate' #11949.
[11:48:01]	Frank Jackson opened the '' #1271 container.
[11:48:05]	Frank Jackson closed the '' #1271 container.
[11:48:08]	Frank Jackson opened the '' #1269 container.
[11:48:10]	Frank Jackson closed the '' #1269 container.
[11:48:12]	Frank Jackson opened the '' #1270 container.
[11:48:14]	Frank Jackson closed the '' #1270 container.
[11:48:19]	Frank Jackson opened the '' #1233 container.
[11:48:20]	[LOOC] Vladimir Volkovich: Are the CP Apps ICly or OOCly.
[11:48:21]	Frank Jackson closed the '' #1233 container.
[11:48:21]	Odin loaded the character 'Erwin Ramstein'
[11:48:29]	[OOC] Erwin Ramstein: Back again, praying it doesnt freeze this time.
[11:48:38]	[LOOC] CCA.C08-UNION.i5.99915: i applied IC but they arent common
[11:48:40]	[OOC] Elias Ainsworth: Aight
[11:48:55]	[OOC] Frank Jackson: may your prayers be answered, child
[11:49:08]	[LOOC] CCA.C08-UNION.i5.99915: so its waiting longer for an ic one with a better chance of acceptance or apply ooc for a constant chance
[11:49:28]	[LOOC] Vladimir Volkovich: OOCly and ICly has a different difficulty rating
[11:49:30]	Vladimir Volkovich used command '/Apply'.
[11:49:31]	Erwin Ramstein ran 'Edit' on item 'Notepad' (#11834)
[11:49:32]	Erwin Ramstein ran 'View' on item 'Notepad' (#11834)
[11:49:34]	Erwin Ramstein ran 'View' on item 'Notepad' (#11836)
[11:49:37]	Erwin Ramstein ran 'View' on item 'Notepad' (#11837)
[11:49:41]	Erwin Ramstein ran 'View' on item 'Notepad' (#11838)
[11:49:50]	[LOOC] CCA.C08-UNION.i5.99915: iccly you just answer three simple questions and boom
[11:49:57]	[LOOC] CCA.C08-UNION.i5.99915: your usally accepted
[11:50:10]	[LOOC] Vladimir Volkovich: mhm
[11:50:14]	[ME] CCA.C08-UNION.i5.99915: Types some stuff into his datapad
[11:50:21]	CCA.C08-UNION.i5.99915 used command '/ViewData Volko'.
[11:50:58]	Elias Ainsworth used command '/PM 014 [IC Radio Message from unit QrM.98240] I have authorized a ration cycle, you'll be doing it 014.'.
[11:51:05]	Erwin Ramstein opened the '' #1176 container.
[11:51:07]	Erwin Ramstein closed the '' #1176 container.
[11:51:10]	Erwin Ramstein opened the '' #1178 container.
[11:51:11]	Erwin Ramstein closed the '' #1178 container.
[11:51:13]	CCA.C08-UNION.i5.99915 opened the '' #1197 container.
[11:51:14]	CCA.C08-UNION.i5.99915 closed the '' #1197 container.
[11:51:31]	Erwin Ramstein ran 'View' on item 'Notepad' (#11837)
