[02:17:34]	npaynter2 has connected.
[19:40:45]	Jacob Lawson exited observer at their location.
[19:40:45]	Jacob Lawson entered observer.
[19:40:45]	Jacob Lawson exited observer at their location.
[19:40:45]	Jacob Lawson entered observer.
[19:40:45]	Jacob Lawson exited observer at their location.
[19:40:46]	Jacob Lawson entered observer.
[19:40:46]	Jacob Lawson exited observer at their location.
[19:40:46]	Jacob Lawson entered observer.
[19:40:46]	Jacob Lawson exited observer at their location.
[19:40:46]	Jacob Lawson entered observer.
[19:40:46]	Jacob Lawson exited observer at their location.
[19:40:47]	Jacob Lawson entered observer.
[19:40:48]	Jacob Lawson exited observer at their location.
[19:40:48]	Jacob Lawson entered observer.
[19:40:48]	Jacob Lawson exited observer at their location.
[19:40:49]	Jacob Lawson entered observer.
[19:40:49]	Jacob Lawson exited observer at their location.
[19:40:49]	Jacob Lawson entered observer.
[19:40:49]	Jacob Lawson exited observer at their location.
[19:40:49]	Jacob Lawson entered observer.
[19:40:49]	Jacob Lawson exited observer at their location.
[19:40:50]	Jacob Lawson entered observer.
[19:40:50]	Jacob Lawson exited observer at their location.
[19:40:50]	Jacob Lawson entered observer.
[19:40:50]	Jacob Lawson exited observer at their location.
[19:40:50]	Jacob Lawson entered observer.
[19:40:50]	Jacob Lawson exited observer at their location.
[19:40:50]	Jacob Lawson entered observer.
[19:40:51]	Jacob Lawson exited observer at their location.
[19:40:51]	Jacob Lawson entered observer.
[19:40:51]	Jacob Lawson exited observer at their location.
[19:40:51]	Jacob Lawson entered observer.
[19:40:51]	Jacob Lawson exited observer at their location.
[19:40:51]	Jacob Lawson entered observer.
[19:40:52]	Jacob Lawson exited observer at their location.
[19:40:52]	Jacob Lawson entered observer.
[19:40:52]	Jacob Lawson exited observer at their location.
[19:40:52]	Jacob Lawson entered observer.
[19:40:52]	Jacob Lawson exited observer at their location.
[19:40:52]	Jacob Lawson entered observer.
[19:40:53]	Jacob Lawson exited observer at their location.
[19:40:53]	Jacob Lawson entered observer.
[19:40:53]	Jacob Lawson exited observer at their location.
[19:40:53]	Jacob Lawson entered observer.
[19:40:53]	Jacob Lawson exited observer at their location.
[19:40:53]	Jacob Lawson entered observer.
[19:40:54]	Jacob Lawson exited observer at their location.
[19:40:54]	Jacob Lawson entered observer.
[19:40:54]	Jacob Lawson exited observer at their location.
[19:40:54]	Jacob Lawson entered observer.
[19:40:54]	Jacob Lawson exited observer at their location.
[19:40:54]	Jacob Lawson entered observer.
[19:40:55]	Jacob Lawson exited observer at their location.
[19:40:55]	Jacob Lawson entered observer.
[19:40:55]	Jacob Lawson exited observer at their location.
[19:40:55]	Jacob Lawson entered observer.
[19:40:55]	Jacob Lawson exited observer at their location.
[19:40:55]	Jacob Lawson entered observer.
[19:40:56]	Jacob Lawson exited observer at their location.
[19:40:56]	Jacob Lawson entered observer.
[19:40:56]	Jacob Lawson exited observer at their location.
[19:40:56]	Jacob Lawson entered observer.
[19:41:34]	CCA.C08-HELIX.i2.64998 has gained 10 tokens.
[19:41:40]	queer loaded the character 'CCA.C08-GRID.i3.39867'
[19:41:45]	[OOC] CCA.C08-GRID.i3.39867: poops*
[19:41:50]	[OOC] CCA.C08-QrM.98240: No
[19:41:51]	[OOC] CCA.C08-GRID.i3.39867: can i get whitelisted for conscript?
[19:41:57]	CCA.C08-QrM.98240 opened the '' #971 container.
[19:42:02]	CCA.C08-QrM.98240 closed the '' #971 container.
[19:42:07]	[OOC] Jacob Lawson: one unit flag down
[19:42:13]	Jacob Lawson used command '/PlyWhitelist grid.i3 conscript'.
[19:42:17]	Jacob Lawson exited observer at their location.
[19:42:18]	Jacob Lawson entered observer.
[19:42:18]	Jacob Lawson exited observer at their location.
[19:42:18]	Jacob Lawson entered observer.
[19:42:18]	Jacob Lawson exited observer at their location.
[19:42:18]	Jacob Lawson entered observer.
[19:42:19]	Jacob Lawson exited observer at their location.
[19:42:19]	Jacob Lawson entered observer.
[19:42:19]	Jacob Lawson exited observer at their location.
[19:42:19]	Jacob Lawson entered observer.
[19:42:19]	Jacob Lawson exited observer at their location.
[19:42:19]	Jacob Lawson entered observer.
[19:42:20]	Jacob Lawson exited observer at their location.
[19:42:20]	Jacob Lawson entered observer.
[19:42:20]	Jacob Lawson exited observer at their location.
[19:42:20]	Jacob Lawson entered observer.
[19:42:20]	Jacob Lawson exited observer at their location.
[19:42:20]	Jacob Lawson entered observer.
[19:42:21]	Jacob Lawson exited observer at their location.
[19:42:21]	Jacob Lawson entered observer.
[19:42:21]	CCA.C08-QrM.98240 used the 'Armory' vendor.
[19:42:21]	Jacob Lawson exited observer at their location.
[19:42:27]	Jacob Lawson entered observer.
[19:42:28]	[OOC] CCA.C08-GRID.i3.39867: ugh....
[19:42:33]	Jacob Lawson exited observer at their location.
[19:42:33]	[OOC] CCA.C08-GRID.i3.39867: fine..... 
[19:42:40]	CCA.C08-GRID.i1.23710 has gained 10 tokens.
[19:42:44]	queer loaded the character 'Emily Brown'
[19:42:48]	Jacob Lawson entered observer.
[19:42:51]	[OOC] CCA.C08-QrM.98240: I will throw a Riot Shield at a civvie.
[19:42:54]	[OOC] Emily Brown: can i get epicly whitelisted
[19:42:59]	[OOC] Jacob Lawson: i thought i did?
[19:43:03]	[OOC] Emily Brown: oh i am
[19:43:04]	Jacob Lawson used command '/PlyWhitelist emily conscript'.
[19:43:06]	[OOC] Emily Brown: nevermind sorry
[19:43:16]	[OOC] CCA.C08-QrM.98240: Bruh
[19:43:16]	[ME] CCA.C08-HELIX.i2.64998: Reaches out, grabbing the phone before placing it up to their left ear. 
[19:43:18]	[IT] CCA.C08-GRID.i1.23710: As you pick it up, you hear nothing, no dial tone or anything, just silence.
[19:43:22]	[ME] Frank Jackson: nods raising his brows. "Ahh gotcha."
[19:43:37]	[ME] CCA.C08-HELIX.i2.64998: Places the phone back onto the wall.
[19:44:09]	[ME] Carson Copper: he gestures toward his eyes, "This happened."
[19:44:21]	[OOC] Jacob Lawson: event time!!!
[19:44:25]	[OOC] CCA.C08-GRID.i1.23710: :(
[19:44:28]	[OOC] Jacob Lawson: :)
[19:44:31]	[LOOC] CCA.C08-GRID.i1.23710: 1 sec gonna grba a drink
[19:44:35]	[LOOC] CCA.C08-GRID.i1.23710: 1 sec gonna grba a drink
[19:44:39]	[LOOC] CCA.C08-HELIX.i2.64998: Kay.
[19:44:41]	[OOC] CCA.C08-QrM.98240: Should I be getting on something that isn't a QrM or does it not matter?
[19:44:42]	[LOOC] CCA.C08-HELIX.i2.64998: Same
[19:44:49]	CCA.C08-QrM.98240 has gained 10 tokens.
[19:44:51]	[OOC] Jacob Lawson: do whatever youwant
[19:45:08]	queer created the character 'Emily Brown'
[19:45:08]	Emily Brown has gained a 'Conscript Hazmat Armor' #20508.
[19:45:10]	[ME] Frank Jackson: looks down and begins ruffling in his bag.
[19:45:14]	queer loaded the character 'Recruit Emily Brown'
[19:45:16]	[OOC] CCA.C08-QrM.98240: Hmmmm, I like yelling at people and insulting my fellow units so I'll sit on QrM.
[19:45:21]	[OOC] Recruit Emily Brown: im stuck
[19:45:26]	[ME] Frank Jackson: pulls out a plastic, wrapped package
[19:45:28]	Jacob Lawson exited observer at their location.
[19:45:28]	[ME] Carson Copper: he eyes the man looking through his bag, "Er' what you get-.?"
[19:45:30]	[LOOC] Jacob Lawson: fuck
[19:45:33]	Jacob Lawson entered observer.
[19:45:36]	[OOC] CCA.C08-QrM.98240: I'll deal with you.
[19:45:37]	Recruit Emily Brown ran 'Equip' on item 'Conscript Hazmat Armor' (#20508)
[19:45:40]	Recruit Emily Brown ran 'EquipUn' on item 'Conscript Hazmat Armor' (#20508)
[19:45:44]	[LOOC] CCA.C08-HELIX.i2.64998: Water
[19:45:44]	Recruit Emily Brown has taken 1 damage from worldspawn.
[19:45:45]	Recruit Emily Brown has taken 1 damage from worldspawn.
[19:45:46]	Recruit Emily Brown has taken 1 damage from worldspawn.
[19:45:46]	Recruit Emily Brown has taken 1 damage from worldspawn.
[19:45:47]	Recruit Emily Brown ran 'Equip' on item 'Conscript Hazmat Armor' (#20508)
[19:45:47]	Jacob Lawson used command '/CharSetName emily Private Emily Brown'.
[19:45:47]	Private Emily Brown has taken 1 damage from worldspawn.
[19:45:48]	Private Emily Brown has taken 1 damage from worldspawn.
[19:45:49]	Private Emily Brown has taken 1 damage from worldspawn.
[19:45:49]	Private Emily Brown has taken 1 damage from worldspawn.
[19:45:49]	[LOOC] CCA.C08-GRID.i1.23710: sanme
[19:45:50]	Private Emily Brown has taken 1 damage from worldspawn.
[19:45:50]	[OOC] Private Emily Brown: WHAT IM DYING
[19:45:51]	Private Emily Brown has taken 1 damage from worldspawn.
[19:45:51]	[LOOC] CCA.C08-GRID.i1.23710: same
[19:45:52]	Private Emily Brown has taken 1 damage from worldspawn.
[19:45:52]	Private Emily Brown has taken 1 damage from worldspawn.
[19:45:53]	[OOC] Private Emily Brown: I DONT HAVE A FILTER
[19:45:53]	Private Emily Brown has taken 1 damage from worldspawn.
[19:45:54]	Private Emily Brown has taken 1 damage from worldspawn.
[19:45:55]	Private Emily Brown has taken 1 damage from worldspawn.
[19:45:55]	Private Emily Brown has gained a 'Respirator' #20509.
[19:45:55]	Jacob Lawson used command '/CharGiveItem emily respirator'.
[19:45:55]	Private Emily Brown has taken 1 damage from worldspawn.
[19:45:56]	Private Emily Brown has taken 1 damage from worldspawn.
[19:45:57]	Private Emily Brown has taken 1 damage from worldspawn.
[19:45:57]	[OOC] CCA.C08-GRID.i1.23710: cope
[19:45:58]	Private Emily Brown has taken 1 damage from worldspawn.
[19:45:58]	Private Emily Brown has gained a 'Conscript Filter' #20510.
[19:45:58]	Jacob Lawson used command '/CharGiveItem emily conscript filter'.
[19:45:59]	Private Emily Brown has taken 1 damage from worldspawn.
[19:45:59]	Private Emily Brown has taken 1 damage from worldspawn.
[19:46:00]	Private Emily Brown has taken 1 damage from worldspawn.
[19:46:00]	[OOC] CCA.C08-HELIX.i2.64998: Just breathe
[19:46:01]	Private Emily Brown has taken 1 damage from worldspawn.
[19:46:01]	[OOC] Jacob Lawson: there you have two things
[19:46:02]	Private Emily Brown has taken 1 damage from worldspawn.
[19:46:02]	Private Emily Brown has taken 1 damage from worldspawn.
[19:46:03]	Private Emily Brown has taken 1 damage from worldspawn.
[19:46:03]	[ME] Carson Copper: he gives a shrug, "I swear if that's the bloody zombie-..."
[19:46:04]	Private Emily Brown has taken 1 damage from worldspawn.
[19:46:04]	Private Emily Brown ran 'equip' on item 'Conscript Filter' (#20510)
[19:46:06]	Private Emily Brown ran 'Equip' on item 'Respirator' (#20509)
[19:46:07]	Private Emily Brown ran 'EquipUn' on item 'Conscript Hazmat Armor' (#20508)
[19:46:16]	[OOC] CCA.C08-QrM.98240: What in the fuck, where do Conscripts spawn.
[19:46:16]	[ME] Nova Wrenrey: sits on the couch and relaxs alittle
[19:46:21]	[OOC] Jacob Lawson: barracks
[19:46:23]	[OOC] Private Emily Brown: in the nexus barracks
[19:46:25]	[OOC] CCA.C08-QrM.98240: Fair
[19:46:27]	[OOC] Private Emily Brown: without a filter
[19:46:29]	[OOC] Private Emily Brown: :((
[19:46:31]	[OOC] Jacob Lawson: those sounds are IC btw
[19:46:34]	CCA.C08-HELIX.i2.64998 has gained 10 tokens.
[19:46:35]	[OOC] Frank Jackson: good
[19:46:37]	[OOC] CCA.C08-QrM.98240: Wish I could hear them
[19:46:38]	CCA.C08-HELIX.i2.64998 ran 'Equip' on item 'MP7' (#14383)
[19:46:40]	[OOC] Carson Copper: Where they coming from IC wise?
[19:46:43]	CCA.C08-GRID.i1.23710 used command '/Radio Did anyone hear that?'.
[19:46:47]	Jacob Lawson has spawned a 'Entity [2952][pfx2_00]'.
[19:46:48]	[OOC] Carson Copper: like the ground, or just like a distance 
[19:46:54]	CCA.C08-QrM.98240 used command '/Radio Negative, describe it.'.
[19:47:03]	Jacob Lawson has spawned a 'Entity [2952][pfx1_03]'.
[19:47:05]	CCA.C08-GRID.i1.23710 used command '/Radio I don't know how I would describe it....'.
[19:47:08]	CCA.C08-HELIX.i2.64998 used command '/Radio Sounded like a 10-92B. A massive one, or a really loud one.'.
[19:47:10]	CCA.C08-GRID.i1.23710 used command '/Radio Chanting? Buzzing?'.
[19:47:11]	[ME] CCA.C08-QrM.98240: Steps the fuck back
[19:47:20]	CCA.C08-QrM.98240 used command '/Radio Yeah, we got a problem.'.
[19:47:27]	[Y] Private Emily Brown: Well, this is not good.
[19:47:27]	CCA.C08-GRID.i1.23710 used command '/Radio Obviously.'.
[19:47:31]	[ME] Frank Jackson: nods his head in agreement, without a peep.
[19:47:35]	CCA.C08-QrM.98240 used command '/Radio One of you dumbasses get to my 10-20.'.
[19:47:40]	CCA.C08-GRID.i1.23710 has gained 10 tokens.
[19:47:43]	CCA.C08-GRID.i1.23710 used command '/Radio 10-76'.
[19:47:45]	[Y] CCA.C08-QrM.98240: <:: Conscript, get to my armory! ::>
[19:47:50]	[ME] Carson Copper: he tightens his gloves on his hands
[19:47:51]	Jacob Lawson has spawned 'models/hlvr/combine_hazardprops/combinehazardprops_warningsign.mdl'.
[19:47:51]	[Y] Private Emily Brown: Right.
[19:47:58]	[Y] CCA.C08-QrM.98240: <:: Just sit there and protect her, if you fail I'll beat your ass! ::>
[19:48:06]	Jacob Lawson has spawned 'models/Items/CrossbowRounds.mdl'.
[19:48:13]	Jacob Lawson has spawned 'models/props_junk/Wheebarrow01a.mdl'.
[19:48:19]	[LOOC] CCA.C08-HELIX.i2.64998: *falls from the void*
[19:48:25]	Jacob Lawson has spawned a 'Entity [2952][pfx1_03]'.
[19:48:27]	[ME] Frank Jackson: ominously looks the direction they were headed, straining his eyes in thought.
[19:48:27]	Jacob Lawson has spawned a 'Entity [2986][pfx1_03]'.
[19:48:29]	[Y] Carson Copper: Woah!
[19:48:30]	Jacob Lawson has spawned a 'Entity [2987][pfx1_01]'.
[19:48:31]	Jacob Lawson has spawned a 'Entity [2990][pfx1_03]'.
[19:48:31]	[Y] Carson Copper: The ground!
[19:48:36]	[Y] Frank Jackson: The fuck is this?!
[19:48:40]	Jacob Lawson has spawned a 'Entity [2987][pfx1_03]'.
[19:48:45]	Jacob Lawson has spawned 'models/props_lab/cactus.mdl'.
[19:48:50]	[Y] Carson Copper: Ma'am! I think you might wan-... What the!?
[19:48:57]	Jacob Lawson has spawned a 'Entity [2993][pfx8_03]'.
[19:48:57]	[Y] Frank Jackson: Fuck no!
[19:49:03]	[Y] Frank Jackson: This is the opposite of fuckin' normal!
[19:49:07]	[ME] Carson Copper: he crouches down, eyeing the potted plant
[19:49:07]	Jacob Lawson has spawned 'models/props_lab/partsbin01.mdl'.
[19:49:17]	[ME] Carson Copper: he gazes up at the sky
[19:49:18]	[ME] Frank Jackson: ducks, barelt dodging the blow.
[19:49:21]	[Y] Carson Copper: Up there!
[19:49:22]	Jacob Lawson has spawned 'models/props_vehicles/car004b_physics.mdl'.
[19:49:23]	Frank Jackson has taken 500 damage from prop_physics.
[19:49:23]	prop_physics has killed Frank Jackson.
[19:49:24]	Nova Wrenrey has taken 50 damage from prop_physics.
[19:49:24]	Nova Wrenrey has taken 5 damage from prop_physics.
[19:49:24]	Nova Wrenrey has taken 10 damage from prop_physics.
[19:49:30]	[OOC] Frank Jackson: holy fuck
[19:49:30]	[OOC] CCA.C08-GRID.i1.23710: did i just hear a car
[19:49:32]	[Y] Carson Copper: Oh shit! Get inside.
[19:49:39]	[OOC] Nova Wrenrey: o0o
[19:49:43]	Jacob Lawson has spawned 'models/Humans/Group01/Male_04.mdl'.
[19:49:49]	CCA.C08-QrM.98240 has gained 10 tokens.
[19:49:58]	CCA.C08-GRID.i1.23710 used command '/Radio Problem not solved! It's a fucking car!'.
[19:49:58]	CCA.C08-QrM.98240 used the 'Armory' vendor.
[19:49:58]	Jacob Lawson has spawned a 'NPC [2995][npc_chumtoad]'.
[19:49:59]	[OOC] Frank Jackson: this event ain't no fuckin joke
[19:50:00]	Jacob Lawson has spawned a 'NPC [2998][npc_chumtoad]'.
[19:50:01]	Jacob Lawson has spawned a 'NPC [2999][npc_chumtoad]'.
[19:50:12]	Jacob Lawson has spawned a 'NPC [2998][npc_chumtoad]'.
[19:50:16]	[ME] Carson Copper: he crouches down, and grabs the downed individual by the foot, dragging him inside
[19:50:25]	Jacob Lawson has spawned a 'NPC [3001][npc_chumtoad]'.
[19:50:25]	CCA.C08-QrM.98240 used command '/Radio Do you need any assistance?'.
[19:50:32]	Jacob Lawson has spawned a 'NPC [2955][npc_chumtoad]'.
[19:50:34]	[LOOC] Private Emily Brown: sorry back
[19:50:35]	CCA.C08-GRID.i1.23710 used command '/ToggleRaise'.
[19:50:35]	CCA.C08-HELIX.i2.64998 used command '/Radio How-'.
[19:50:36]	CCA.C08-QrM.98240 ran 'drop' on item 'KIBA Arms Ammocase' (#20075)
[19:50:36]	CCA.C08-QrM.98240 has lost a 'KIBA Arms Ammocase' #20075.
[19:50:36]	CCA.C08-QrM.98240 has lost a '12-Gauge Shells' #20359.
[19:50:36]	CCA.C08-QrM.98240 has lost a '.357 Rounds' #20504.
[19:50:36]	CCA.C08-QrM.98240 has lost a '12-Gauge Shells' #20360.
[19:50:36]	CCA.C08-QrM.98240 has lost a '4.6x30 Rounds' #20505.
[19:50:36]	CCA.C08-QrM.98240 has lost a '.357 Rounds' #20425.
[19:50:36]	CCA.C08-QrM.98240 has lost a '4.6x30 Rounds' #20506.
[19:50:36]	CCA.C08-QrM.98240 has lost a '12-Gauge Shells' #20090.
[19:50:36]	CCA.C08-QrM.98240 has lost a '4.6x30 Rounds' #20507.
[19:50:36]	CCA.C08-QrM.98240 has lost a '.357 Rounds' #20503.
[19:50:37]	[ME] Carson Copper: he carefully lays him aside near the window
[19:50:37]	CCA.C08-QrM.98240 used the 'Armory' vendor.
[19:50:48]	[Y] Carson Copper: Officer!
[19:50:50]	CCA.C08-QrM.98240 used the 'Armory' vendor.
[19:50:53]	[Y] Carson Copper: Look up- the blue portal!
[19:50:54]	[LOOC] CCA.C08-GRID.i1.23710: damn glass's bulletproof
[19:50:55]	CCA.C08-QrM.98240 has gained 0 tokens.
[19:50:55]	CCA.C08-QrM.98240 has gained a 'MP7' #20510.
[19:50:59]	[ME] Private Emily Brown: leans forward on the counter
[19:51:03]	CCA.C08-GRID.i1.23710 used command '/Radio Frogs!'.
[19:51:06]	CCA.C08-GRID.i1.23710 used command '/ToggleRaise'.
[19:51:06]	[Y] Carson Copper: Things started falling from the sky!
[19:51:15]	[LOOC] CCA.C08-QrM.98240: stuff*
[19:51:19]	Jacob Lawson has spawned 'models/weapons/half-life/v_hgun.mdl'.
[19:51:20]	Jacob Lawson has spawned 'models/weapons/half-life/w_hgun.mdl'.
[19:51:21]	[ME] Carson Copper: he points to the body on the side, "I think they-."
[19:51:22]	Jacob Lawson has spawned 'models/weapons/v_cremato3.mdl'.
[19:51:24]	CCA.C08-QrM.98240 ran 'drop' on item 'MP7' (#20510)
[19:51:24]	CCA.C08-QrM.98240 has lost a 'MP7' #20510.
[19:51:26]	CCA.C08-QrM.98240 ran 'drop' on item '4.6x30 Rounds' (#20501)
[19:51:26]	CCA.C08-QrM.98240 has lost a '4.6x30 Rounds' #20501.
[19:51:26]	CCA.C08-QrM.98240 ran 'drop' on item '4.6x30 Rounds' (#20502)
[19:51:26]	CCA.C08-QrM.98240 has lost a '4.6x30 Rounds' #20502.
[19:51:26]	Jacob Lawson has spawned 'models/weapons/half-life/v_hgun.mdl'.
[19:51:27]	CCA.C08-QrM.98240 ran 'drop' on item '4.6x30 Rounds' (#20500)
[19:51:27]	CCA.C08-QrM.98240 has lost a '4.6x30 Rounds' #20500.
[19:51:31]	Jacob Lawson has spawned 'models/weapons/half-life/w_hgun.mdl'.
[19:51:31]	CCA.C08-QrM.98240 ran 'take' on item 'KIBA Arms Ammocase' (#20075)
[19:51:31]	CCA.C08-QrM.98240 has gained a 'KIBA Arms Ammocase' #20075.
[19:51:31]	CCA.C08-QrM.98240 has gained a '12-Gauge Shells' #20359.
[19:51:31]	CCA.C08-QrM.98240 has gained a '.357 Rounds' #20504.
[19:51:31]	CCA.C08-QrM.98240 has gained a '12-Gauge Shells' #20360.
[19:51:31]	CCA.C08-QrM.98240 has gained a '4.6x30 Rounds' #20505.
[19:51:31]	CCA.C08-QrM.98240 has gained a '.357 Rounds' #20425.
[19:51:31]	CCA.C08-QrM.98240 has gained a '4.6x30 Rounds' #20506.
[19:51:31]	CCA.C08-QrM.98240 has gained a '12-Gauge Shells' #20090.
[19:51:31]	CCA.C08-QrM.98240 has gained a '4.6x30 Rounds' #20507.
[19:51:31]	CCA.C08-QrM.98240 has gained a '.357 Rounds' #20503.
[19:51:34]	CCA.C08-HELIX.i2.64998 has gained 10 tokens.
[19:51:34]	Jacob Lawson has spawned 'models/weapons/w_immolator.mdl'.
[19:51:39]	CCA.C08-QrM.98240 ran 'drop' on item '4.6x30 Rounds' (#20506)
[19:51:39]	CCA.C08-QrM.98240 has lost a '4.6x30 Rounds' #20506.
[19:51:41]	CCA.C08-QrM.98240 ran 'drop' on item 'KIBA Arms Ammocase' (#20075)
[19:51:41]	CCA.C08-QrM.98240 has lost a 'KIBA Arms Ammocase' #20075.
[19:51:41]	CCA.C08-QrM.98240 has lost a '.357 Rounds' #20425.
[19:51:41]	CCA.C08-QrM.98240 has lost a '12-Gauge Shells' #20359.
[19:51:41]	CCA.C08-QrM.98240 has lost a '.357 Rounds' #20504.
[19:51:41]	CCA.C08-QrM.98240 has lost a '12-Gauge Shells' #20090.
[19:51:41]	CCA.C08-QrM.98240 has lost a '4.6x30 Rounds' #20505.
[19:51:41]	CCA.C08-QrM.98240 has lost a '12-Gauge Shells' #20360.
[19:51:41]	CCA.C08-QrM.98240 has lost a '.357 Rounds' #20503.
[19:51:41]	CCA.C08-QrM.98240 has lost a '4.6x30 Rounds' #20507.
[19:51:43]	CCA.C08-QrM.98240 ran 'take' on item 'KIBA Arms Ammocase' (#20075)
[19:51:43]	CCA.C08-QrM.98240 has gained a 'KIBA Arms Ammocase' #20075.
[19:51:43]	CCA.C08-QrM.98240 has gained a '.357 Rounds' #20425.
[19:51:43]	CCA.C08-QrM.98240 has gained a '12-Gauge Shells' #20359.
[19:51:43]	CCA.C08-QrM.98240 has gained a '.357 Rounds' #20504.
[19:51:43]	CCA.C08-QrM.98240 has gained a '12-Gauge Shells' #20090.
[19:51:43]	CCA.C08-QrM.98240 has gained a '4.6x30 Rounds' #20505.
[19:51:43]	CCA.C08-QrM.98240 has gained a '12-Gauge Shells' #20360.
[19:51:43]	CCA.C08-QrM.98240 has gained a '.357 Rounds' #20503.
[19:51:43]	CCA.C08-QrM.98240 has gained a '4.6x30 Rounds' #20507.
[19:51:44]	Jacob Lawson has spawned 'models/leetator.mdl'.
[19:51:46]	Jacob Lawson has spawned 'models/purmator.mdl'.
[19:51:49]	Jacob Lawson has spawned 'models/bromator.mdl'.
[19:51:53]	[ME] Private Emily Brown: would pick up the submachine gun, loading it with rounds
[19:51:55]	Private Emily Brown ran 'take' on item '4.6x30 Rounds' (#20501)
[19:51:55]	Private Emily Brown has gained a '4.6x30 Rounds' #20501.
[19:51:57]	Private Emily Brown ran 'take' on item '4.6x30 Rounds' (#20502)
[19:51:57]	Private Emily Brown has gained a '4.6x30 Rounds' #20502.
[19:51:59]	Private Emily Brown ran 'take' on item '4.6x30 Rounds' (#20500)
[19:51:59]	Private Emily Brown has gained a '4.6x30 Rounds' #20500.
[19:52:00]	Private Emily Brown ran 'take' on item '4.6x30 Rounds' (#20506)
[19:52:00]	Private Emily Brown has gained a '4.6x30 Rounds' #20506.
[19:52:00]	[Y] Carson Copper: Over there!
[19:52:01]	CCA.C08-GRID.i1.23710 used command '/Radio Assistance would be nice..'.
[19:52:01]	Private Emily Brown ran 'take' on item 'MP7' (#20510)
[19:52:01]	Private Emily Brown has gained a 'MP7' #20510.
[19:52:09]	CCA.C08-QrM.98240 used the 'Armory' vendor.
[19:52:09]	CCA.C08-GRID.i1.23710 used command '/Radio A dead CRM..'.
[19:52:13]	CCA.C08-QrM.98240 has gained 0 tokens.
[19:52:13]	CCA.C08-QrM.98240 has gained a 'Conscript Armor' #20511.
[19:52:15]	CCA.C08-QrM.98240 has gained 0 tokens.
[19:52:15]	CCA.C08-QrM.98240 has gained a 'Conscript Hazmat Armor' #20512.
[19:52:17]	[LOOC] Private Emily Brown: lol conscript privates get a mp7 while i5s have to go through 2 whole ass ranks to get one
[19:52:23]	[LOOC] Private Emily Brown: :sunglasses:
[19:52:35]	[ME] CCA.C08-QrM.98240: Places down some armor and a Conscript hazmat suit.
[19:52:37]	CCA.C08-QrM.98240 ran 'drop' on item 'Conscript Armor' (#20511)
[19:52:37]	CCA.C08-QrM.98240 has lost a 'Conscript Armor' #20511.
[19:52:38]	CCA.C08-QrM.98240 ran 'drop' on item 'Conscript Hazmat Armor' (#20512)
[19:52:38]	CCA.C08-QrM.98240 has lost a 'Conscript Hazmat Armor' #20512.
[19:52:38]	[LOOC] CCA.C08-HELIX.i2.64998: He had one too many
[19:52:40]	CCA.C08-GRID.i1.23710 has gained 10 tokens.
[19:52:43]	Private Emily Brown ran 'take' on item 'Conscript Armor' (#20511)
[19:52:43]	Private Emily Brown has gained a 'Conscript Armor' #20511.
[19:52:54]	CCA.C08-QrM.98240 ran 'take' on item 'Conscript Hazmat Armor' (#20512)
[19:52:54]	CCA.C08-QrM.98240 has gained a 'Conscript Hazmat Armor' #20512.
[19:52:55]	CCA.C08-QrM.98240 used the 'Armory' vendor.
[19:53:01]	[ME] Private Emily Brown: would nod, before pivoting and leaving the armoury
[19:53:03]	[ME] CCA.C08-HELIX.i2.64998: Leans down to the dead CRM, looking at the dead body.
[19:53:04]	CCA.C08-QrM.98240 used the 'Armory' vendor.
[19:53:07]	CCA.C08-QrM.98240 has gained 0 tokens.
[19:53:07]	Private Emily Brown ran 'Equip' on item 'Conscript Armor' (#20511)
[19:53:08]	[ME] Carson Copper: he eyes up to the sky
[19:53:11]	Private Emily Brown ran 'Equip' on item 'MP7' (#20510)
[19:53:12]	Private Emily Brown ran 'use' on item '4.6x30 Rounds' (#20501)
[19:53:13]	Private Emily Brown ran 'use' on item '4.6x30 Rounds' (#20502)
[19:53:14]	Private Emily Brown ran 'use' on item '4.6x30 Rounds' (#20500)
[19:53:15]	Private Emily Brown ran 'use' on item '4.6x30 Rounds' (#20506)
[19:53:16]	Jacob Lawson has spawned a 'Entity [2955][pfx8_03]'.
[19:53:20]	[LOOC] Frank Jackson: was*
[19:53:21]	CCA.C08-QrM.98240 used command '/Radio Sending a Conscript your way, give me a moment and I'll be out.'.
[19:53:21]	[ME] CCA.C08-HELIX.i2.64998: Stands up.
[19:53:24]	CCA.C08-GRID.i1.23710 used command '/ToggleRaise'.
[19:53:25]	CCA.C08-QrM.98240 used the 'Armory' vendor.
[19:53:28]	CCA.C08-GRID.i1.23710 used command '/Radio Portal!'.
[19:53:33]	CCA.C08-HELIX.i2.64998 used command '/Radio Portal portal portal!'.
[19:53:34]	CCA.C08-QrM.98240 used the 'Armory' vendor.
[19:53:34]	CCA.C08-GRID.i1.23710 used command '/Radio By Wilm's Lounge!'.
[19:53:38]	CCA.C08-QrM.98240 has gained 0 tokens.
[19:53:38]	CCA.C08-QrM.98240 has gained a 'Hybrid Radio' #20512.
[19:53:38]	[ME] Frank Jackson: leans up on the window, trying to get a better view.
[19:53:44]	[ME] Private Emily Brown: leans her back against the metal counter
[19:53:45]	[ME] CCA.C08-QrM.98240: Tosses a radio to the conscript.
[19:53:48]	CCA.C08-QrM.98240 ran 'drop' on item 'Hybrid Radio' (#20512)
[19:53:48]	CCA.C08-QrM.98240 has lost a 'Hybrid Radio' #20512.
