[00:00:02]	[OOC] Jack Kingston: ban
[14:50:09]	Gregory ran 'Edit' on item 'Paper' (#35114)
[14:50:11]	Sona la Rona ran 'take' on item 'Loyalist Grade Ration' (#44885)
[14:50:11]	Sona la Rona has gained a 'Loyalist Grade Ration' #44885.
[14:50:13]	Gregory destroyed a 'A Roll of Toilet Paper' #41455.
[14:50:13]	Sona la Rona ran 'take' on item 'Loyalist Grade Ration' (#44821)
[14:50:13]	Sona la Rona has gained a 'Loyalist Grade Ration' #44821.
[14:50:13]	[LOOC] Jacob Desmone: also this is whats lagging the server and shit
[14:50:14]	Gregory destroyed a 'Cinderblock' #44022.
[14:50:15]	Sona la Rona ran 'take' on item 'Loyalist Grade Ration' (#44223)
[14:50:15]	Sona la Rona has gained a 'Loyalist Grade Ration' #44223.
[14:50:16]	[LOOC] Jacob Desmone: pick it up
[14:50:17]	Gregory destroyed a 'Pack of Nails' #42588.
[14:50:18]	Gregory destroyed a 'Bar of Soap' #44381.
[14:50:19]	CCA.C17-UNION.i2.97018 has gained 10 tokens.
[14:50:19]	[LOOC] Sona la Rona: just u
[14:50:19]	Gregory destroyed a 'Box of Matches' #40862.
[14:50:20]	Gregory destroyed a 'Corrugated Hose' #43398.
[14:50:21]	Sona la Rona ran 'take' on item 'Loyalist Grade Ration' (#43943)
[14:50:21]	Sona la Rona has gained a 'Loyalist Grade Ration' #43943.
[14:50:21]	Gregory destroyed a 'Scrap Plastic' #40782.
[14:50:21]	CCA.C17-UNION.i2.97018 used command '/Radio Confiscate.'.
[14:50:23]	Sona la Rona ran 'take' on item 'Loyalist Grade Ration' (#43608)
[14:50:23]	Sona la Rona has gained a 'Loyalist Grade Ration' #43608.
[14:50:23]	Gregory destroyed a 'AA Battery' #43260.
[14:50:23]	[OOC] Douglas Hudson: they woulda gottn yeetd from restart
[14:50:24]	Gregory destroyed a 'Pack of Screws' #41169.
[14:50:25]	Sona la Rona ran 'take' on item 'Loyalist Grade Ration' (#42693)
[14:50:25]	Sona la Rona has gained a 'Loyalist Grade Ration' #42693.
[14:50:25]	Daniel, Mores ran 'EquipUn' on item 'Cyclopic Citizen Suit' (#44889)
[14:50:25]	Daniel, Mores has taken 1 damage from worldspawn.
[14:50:25]	Daniel, Mores has taken 1 damage from worldspawn.
[14:50:26]	Sona la Rona ran 'take' on item 'Loyalist Grade Food Product (Pickle Flavor)' (#43882)
[14:50:26]	Sona la Rona has gained a 'Loyalist Grade Food Product (Pickle Flavor)' #43882.
[14:50:26]	Daniel, Mores has taken 1 damage from worldspawn.
[14:50:27]	Daniel, Mores has taken 1 damage from worldspawn.
[14:50:27]	Sona la Rona ran 'take' on item 'Scrap Electronics' (#35154)
[14:50:27]	Sona la Rona has gained a 'Scrap Electronics' #35154.
[14:50:28]	Daniel, Mores has taken 1 damage from worldspawn.
[14:50:28]	[OOC] Douglas Hudson: likely
[14:50:28]	Sona la Rona ran 'take' on item 'Scrap Electronics' (#44258)
[14:50:28]	Sona la Rona has gained a 'Scrap Electronics' #44258.
[14:50:28]	Daniel, Mores has taken 1 damage from worldspawn.
[14:50:29]	Gregory destroyed a 'Scrap Metal' #44375.
[14:50:29]	Daniel, Mores has taken 1 damage from worldspawn.
[14:50:30]	Sona la Rona ran 'take' on item 'Flavored Consulate Water' (#43884)
[14:50:30]	Sona la Rona has gained a 'Flavored Consulate Water' #43884.
[14:50:30]	Daniel, Mores has taken 1 damage from worldspawn.
[14:50:31]	Daniel, Mores has taken 1 damage from worldspawn.
[14:50:31]	Daniel, Mores has taken 1 damage from worldspawn.
[14:50:32]	Daniel, Mores has taken 1 damage from worldspawn.
[14:50:33]	Daniel, Mores has taken 1 damage from worldspawn.
[14:50:34]	Daniel, Mores has taken 1 damage from worldspawn.
[14:50:34]	[OOC] Joseph Sterling: where  tf is warehouse three
[14:50:34]	Daniel, Mores has taken 1 damage from worldspawn.
[14:50:35]	Daniel, Mores has taken 1 damage from worldspawn.
[14:50:36]	Daniel, Mores has taken 1 damage from worldspawn.
[14:50:37]	Daniel, Mores has taken 1 damage from worldspawn.
[14:50:37]	[LOOC] Leon Taylor: bro didnt even give me any lp
[14:50:37]	Daniel, Mores has taken 1 damage from worldspawn.
[14:50:38]	Daniel, Mores has taken 1 damage from worldspawn.
[14:50:39]	Daniel, Mores has taken 1 damage from worldspawn.
[14:50:40]	Daniel, Mores has taken 1 damage from worldspawn.
[14:50:40]	[OOC] CCA.C17-UNION.i4.04796: By rations
[14:50:40]	Daniel, Mores has taken 1 damage from worldspawn.
[14:50:41]	Daniel, Mores has taken 1 damage from worldspawn.
[14:50:42]	Daniel, Mores has taken 1 damage from worldspawn.
[14:50:42]	[OOC] Jacob Desmone: work cycle?
[14:50:43]	Daniel, Mores has taken 1 damage from worldspawn.
[14:50:43]	Sona la Rona ran 'EquipUn' on item 'Green Citizen Suit' (#35831)
[14:50:43]	Daniel, Mores has taken 1 damage from worldspawn.
[14:50:44]	Daniel, Mores has taken 1 damage from worldspawn.
[14:50:45]	[OOC] Joseph Sterling: oh
[14:50:45]	Daniel, Mores has taken 1 damage from worldspawn.
[14:50:46]	Daniel, Mores has taken 1 damage from worldspawn.
[14:50:46]	[OOC] Gregory: yeah i really dont know why this lerp is so bad right now 
[14:50:46]	[OOC] CCA.C17-UNION.i4.04796: yep
[14:50:46]	Daniel, Mores has taken 1 damage from worldspawn.
[14:50:47]	Daniel, Mores has taken 1 damage from worldspawn.
[14:50:48]	Daniel, Mores has taken 1 damage from worldspawn.
[14:50:49]	Gregory destroyed a 'Light Bulb' #37609.
[14:50:49]	Daniel, Mores has taken 1 damage from worldspawn.
[14:50:49]	[OOC] Leon Taylor: i shoulda fucking kept the filter
[14:50:50]	Daniel, Mores has taken 1 damage from worldspawn.
[14:50:50]	Daniel, Mores has taken 1 damage from worldspawn.
[14:50:50]	Gregory destroyed a 'Locker Door' #40784.
[14:50:51]	Daniel, Mores has taken 1 damage from worldspawn.
[14:50:52]	Gregory destroyed a 'Empty Glass Bottle' #44052.
[14:50:52]	Daniel, Mores has taken 1 damage from worldspawn.
[14:50:53]	Daniel, Mores has taken 1 damage from worldspawn.
[14:50:53]	Gregory destroyed a 'Scrap Glass' #40787.
[14:50:53]	Daniel, Mores has taken 1 damage from worldspawn.
[14:50:54]	Daniel, Mores has taken 1 damage from worldspawn.
[14:50:55]	Daniel, Mores has taken 1 damage from worldspawn.
[14:50:56]	Daniel, Mores has taken 1 damage from worldspawn.
[14:50:56]	Gregory destroyed a 'Cloth Scrap' #44382.
[14:50:56]	Daniel, Mores has taken 1 damage from worldspawn.
[14:50:57]	Daniel, Mores has taken 1 damage from worldspawn.
[14:50:58]	Joseph Sterling ran 'take' on item 'Scrap Electronics' (#44723)
[14:50:58]	Joseph Sterling has gained a 'Scrap Electronics' #44723.
[14:50:58]	Gregory destroyed a 'Pack of Screws' #44383.
[14:50:58]	Daniel, Mores has taken 1 damage from worldspawn.
[14:50:59]	Daniel, Mores has taken 1 damage from worldspawn.
[14:50:59]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:00]	Gregory destroyed a 'Cloth Scrap' #35505.
[14:51:00]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:01]	[OOC] CCA.C17-UNION.i4.04796: lol
[14:51:01]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:02]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:02]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:03]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:03]	Gregory destroyed a 'Powercord' #34068.
[14:51:04]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:05]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:06]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:06]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:07]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:08]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:08]	CCA.C17-UNION.i4.04796 has gained 10 tokens.
[14:51:09]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:09]	apexis (STEAM_0:1:47170537) has disconnected.
[14:51:09]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:10]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:11]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:12]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:12]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:13]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:14]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:14]	[OOC] CCA.C17-UNION.i3.29852: aint even on the contraband list smh
[14:51:14]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:15]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:16]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:17]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:17]	Gregory destroyed a 'AA Battery' #40705.
[14:51:18]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:18]	Joseph Sterling has gained a 'Empty Cooking Oil Bottle' #44914.
[14:51:18]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:19]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:20]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:21]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:21]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:21]	CCA.C17-UNION.i3.29852 ran 'take' on item 'Citizen Filter' (#24500)
[14:51:21]	CCA.C17-UNION.i3.29852 has gained a 'Citizen Filter' #24500.
[14:51:22]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:22]	CCA.C17-UNION.i3.29852 ran 'take' on item 'Blue Pre-War Shirt' (#23961)
[14:51:22]	CCA.C17-UNION.i3.29852 has gained a 'Blue Pre-War Shirt' #23961.
[14:51:23]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:23]	CCA.C17-UNION.i3.29852 opened the 'Dumpster' #252 container.
[14:51:24]	[OOC] Gregory: its ota grade it should be contraband
[14:51:24]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:24]	[ME] CCA.C17-UNION.i2.97018: pats the man down.
[14:51:24]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:25]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:26]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:26]	Gregory destroyed a 'Sewn Cloth' #44120.
[14:51:27]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:27]	CCA.C17-UNION.i2.97018 used command '/CharSearch'.
[14:51:27]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:28]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:28]	worldspawn has killed Daniel, Mores.
[14:51:29]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:29]	[ME] CCA.C17-UNION.i4.04796: pats the man down 
[14:51:30]	[OOC] Leon Taylor: That one is absolutely common sense.
[14:51:30]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:30]	CCA.C17-UNION.i3.29852 closed the 'Dumpster' #252 container.
[14:51:30]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:31]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:32]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:33]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:33]	CCA.C17-UNION.i4.04796 used command '/CharSearch'.
[14:51:33]	Gregory has gained a 'Bolts' #44915.
[14:51:34]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:34]	CCA.C17-UNION.i3.29852 ran 'take' on item 'Cyclopic Citizen Suit' (#24386)
[14:51:34]	CCA.C17-UNION.i3.29852 has gained a 'Cyclopic Citizen Suit' #24386.
[14:51:34]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:35]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:36]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:37]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:37]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:38]	Gregory destroyed a 'Capacitors' #44804.
[14:51:38]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:38]	CCA.C17-UNION.i3.29852 opened the 'Dumpster' #252 container.
[14:51:39]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:40]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:40]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:41]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:42]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:42]	Gregory destroyed a 'Pack of Nails' #41170.
[14:51:43]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:43]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:44]	Leon Taylor opened the 'Dumpster' #2684 container.
[14:51:44]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:45]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:45]	Gregory destroyed a 'AA Battery' #41654.
[14:51:46]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:46]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:47]	Leon Taylor closed the 'Dumpster' #2684 container.
[14:51:47]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:47]	CCA.C17-UNION.i3.29852 closed the 'Dumpster' #252 container.
[14:51:47]	Gregory destroyed a 'Empty Paint Can' #41171.
[14:51:48]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:49]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:49]	CCA.C17-UNION.i3.29852 has gained 10 tokens.
[14:51:49]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:50]	Gregory destroyed a 'Pack of Nails' #44376.
[14:51:50]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:51]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:51]	Gregory destroyed a 'Scrap Metal' #44378.
[14:51:52]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:52]	Jacob Desmone ran 'drop' on item 'UU Brand Gin' (#44873)
[14:51:52]	Jacob Desmone has lost a 'UU Brand Gin' #44873.
[14:51:52]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:53]	Gregory destroyed a 'AA Battery' #44377.
[14:51:53]	Jacob Desmone ran 'drop' on item 'UU Brand Gin' (#44874)
[14:51:53]	Jacob Desmone has lost a 'UU Brand Gin' #44874.
[14:51:53]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:54]	Gregory destroyed a 'AA Battery' #44222.
[14:51:54]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:55]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:55]	Jacob Desmone ran 'drop' on item 'UU Brand Gin' (#44876)
[14:51:55]	Jacob Desmone has lost a 'UU Brand Gin' #44876.
[14:51:55]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:56]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:57]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:57]	Jacob Desmone ran 'drop' on item 'UU Brand Gin' (#44875)
[14:51:57]	Jacob Desmone has lost a 'UU Brand Gin' #44875.
[14:51:58]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:58]	Daniel, Mores has taken 1 damage from worldspawn.
[14:51:59]	Daniel, Mores has taken 1 damage from worldspawn.
[14:52:00]	Daniel, Mores has taken 1 damage from worldspawn.
[14:52:00]	Gregory destroyed a 'Pack of Screws' #40057.
[14:52:00]	[OOC] CCA.C17-UNION.i3.29852: i asked for advisement, no one responded
[14:52:01]	Daniel, Mores has taken 1 damage from worldspawn.
[14:52:02]	Daniel, Mores has taken 1 damage from worldspawn.
[14:52:03]	Daniel, Mores has taken 1 damage from worldspawn.
[14:52:03]	Jack Kingston used the 'Sink' vendor.
[14:52:04]	Daniel, Mores has taken 1 damage from worldspawn.
[14:52:04]	[OOC] CCA.C17-UNION.i3.29852: so unfortunate
[14:52:04]	Daniel, Mores has taken 1 damage from worldspawn.
[14:52:05]	Daniel, Mores has taken 1 damage from worldspawn.
[14:52:08]	Douglas Hudson ran 'drop' on item 'Nylon Cord' (#44121)
[14:52:08]	Douglas Hudson has lost a 'Nylon Cord' #44121.
[14:52:09]	Gregory destroyed a 'Pack of Screws' #44374.
[14:52:11]	Douglas Hudson destroyed a 'Nylon Cord' #44121.
[14:52:11]	Daniel, Mores has taken 1 damage from worldspawn.
[14:52:12]	Daniel, Mores has taken 1 damage from worldspawn.
[14:52:13]	Douglas Hudson ran 'take' on item 'UU Brand Gin' (#44873)
[14:52:13]	Douglas Hudson has gained a 'UU Brand Gin' #44873.
[14:52:14]	[ME] Lin'Garung: Would lean down picking up two bottles
[14:52:14]	Douglas Hudson ran 'take' on item 'UU Brand Gin' (#44874)
[14:52:14]	Douglas Hudson has gained a 'UU Brand Gin' #44874.
[14:52:15]	[ME] CCA.C17-UNION.i2.97018: pats down the individual.
[14:52:15]	Gregory destroyed a 'Empty Pill Bottle' #40678.
[14:52:16]	Lin'Garung ran 'take' on item 'UU Brand Gin' (#44876)
[14:52:16]	Lin'Garung has gained a 'UU Brand Gin' #44876.
[14:52:16]	Jack Kingston used the 'Sink' vendor.
[14:52:17]	Leon Taylor used command '/CharFallOver'.
[14:52:17]	Gregory destroyed a 'Pipe' #44478.
[14:52:18]	Gregory destroyed a 'Scrap Glass' #43187.
[14:52:18]	Lin'Garung ran 'take' on item 'UU Brand Gin' (#44875)
[14:52:19]	[OOC] CCA.C17-UNION.i3.29852: well, other than confiscate
[14:52:19]	CCA.C17-UNION.i2.97018 used command '/CharSearch'.
[14:52:20]	Daniel, Mores ran 'Equip' on item 'Cyclopic Citizen Suit' (#44889)
[14:52:22]	[OOC] Gregory: ive got good news and bad news
[14:52:22]	Jack Kingston has gained 0 tokens.
[14:52:22]	Jack Kingston has gained a 'UU Brand Cigarette Pack' #44916.
[14:52:25]	Leon Taylor used command '/CharGetUp'.
[14:52:29]	[OOC] Gregory: good news is ive cleaned up the sewers a /lot/
[14:52:30]	Jack Kingston ran 'View' on item 'UU Brand Cigarette Pack' (#44916)
[14:52:31]	Lin'Garung ran 'drop' on item 'Gas Analyser' (#40102)
[14:52:31]	Lin'Garung has lost a 'Gas Analyser' #40102.
[14:52:32]	[OOC] Gregory: bad news is the server is still shitting itself
[14:52:33]	Jack Kingston ran 'Take' on item 'UU Brand Cigarette Pack' (#44916)
[14:52:33]	Jack Kingston has gained a 'UU Brand Cigarette' #44917.
[14:52:36]	[OOC] Daniel, Mores: How do i go to warehouse three if i cant pass boarder?
[14:52:38]	[ME] Joseph Sterling: got into standard searching position, his shoe kicked in between his legs and his hands against the wall
[14:52:40]	Jack Kingston ran 'View' on item 'UU Brand Cigarette Pack' (#44916)
[14:52:40]	Lin'Garung ran 'take' on item 'UU Brand Gin' (#44875)
[14:52:40]	Lin'Garung has gained a 'UU Brand Gin' #44875.
[14:52:44]	Gregory destroyed a 'Powercord' #42451.
[14:52:44]	[OOC] CCA.C17-UNION.i3.29852: i'll process you
[14:52:45]	Jack Kingston ran 'Take' on item 'UU Brand Cigarette Pack' (#44916)
[14:52:45]	Jack Kingston has gained a 'UU Brand Cigarette' #44918.
[14:52:45]	Gregory ran 'View' on item 'Notepad' (#40885)
[14:52:49]	Lin'Garung destroyed a 'Gas Analyser' #40102.
[14:52:50]	Gregory destroyed a 'Fingerless Gloves' #41597.
[14:52:51]	[LOOC] CCA.C17-UNION.i2.97018: go do that
[14:52:53]	Gregory ran 'Edit' on item 'Paper' (#40937)
[14:52:53]	[LOOC] CCA.C17-UNION.i2.97018: oh wait
[14:52:56]	[LOOC] CCA.C17-UNION.i2.97018: he has it
[14:52:56]	Gregory destroyed a 'Broken Keyboard' #44423.
[14:52:56]	Jack Kingston ran 'drop' on item 'UU Brand Cigarette' (#44918)
[14:52:56]	Jack Kingston has lost a 'UU Brand Cigarette' #44918.
[14:52:59]	Gregory destroyed a 'Empty Cooking Oil Bottle' #42591.
[14:53:00]	Leon Taylor ran 'take' on item 'Suitcase' (#30046)
[14:53:00]	Leon Taylor has gained a 'Suitcase' #30046.
[14:53:00]	Chicken has connected.
[14:53:02]	Gregory destroyed a 'Empty Tin Can' #44127.
[14:53:04]	Gregory destroyed a 'Piece of Plexiglass' #42639.
[14:53:05]	Gregory destroyed a 'Scrap Plastic' #42454.
[14:53:07]	Gregory destroyed a 'Pack of Screws' #44115.
[14:53:07]	[ME] Douglas Hudson: gives a good wave before walking out
[14:53:10]	[ME] Jack Kingston: shrugs his shoulders.
[14:53:10]	Gregory destroyed a 'AA Battery' #42374.
[14:53:10]	[ME] Jacob Desmone: Waves
[14:53:19]	Gregory destroyed a 'Spark Plug' #43881.
[14:53:23]	Jack Kingston ran 'drop' on item 'UU Brand Cigarette' (#44917)
[14:53:23]	Jack Kingston has lost a 'UU Brand Cigarette' #44917.
[14:53:23]	Gregory destroyed a 'Circuit Board' #34296.
[14:53:26]	Gregory destroyed a 'AA Battery' #44363.
[14:53:27]	Daniel, Mores ran 'drop' on item 'Relocation Coupon' (#44892)
[14:53:27]	Daniel, Mores has lost a 'Relocation Coupon' #44892.
[14:53:28]	[OOC] CCA.C17-UNION.i2.97018: If anyone else wants to do the work cycle now is the time to head over to Warehouse 3
[14:53:29]	Joseph Sterling used the 'Sink' vendor.
[14:53:30]	CCA.C17-UNION.i3.29852 ran 'take' on item 'Relocation Coupon' (#44892)
[14:53:30]	CCA.C17-UNION.i3.29852 has gained a 'Relocation Coupon' #44892.
[14:53:31]	Gregory destroyed a 'Instant Cold Pack' #37809.
[14:53:36]	[OOC] CCA.C17-UNION.i3.29852: processing a civi
[14:53:41]	[OOC] CCA.C17-UNION.i2.97018: Not you lol
[14:53:45]	Gregory destroyed a 'Scrap Glass' #29325.
[14:53:55]	Gregory destroyed a 'AA Battery' #33437.
[14:53:56]	[OOC] Leon Taylor: im busy hunting lerp
[14:53:57]	CCA.C17-UNION.i3.29852 ran 'take' on item 'Citizen ID' (#44919)
[14:53:57]	CCA.C17-UNION.i3.29852 has gained a 'Citizen ID' #44919.
[14:53:58]	Gregory destroyed a 'AA Battery' #24176.
[14:54:00]	Gregory destroyed a 'Pin' #42414.
[14:54:00]	Douglas Hudson destroyed a 'Graphics Card' #44425.
[14:54:01]	Gregory destroyed a 'Empty Tin Can' #44483.
[14:54:01]	Douglas Hudson destroyed a 'A Roll of Toilet Paper' #44341.
[14:54:06]	Gregory destroyed a 'Cloth Scrap' #44445.
[14:54:07]	Gregory destroyed a 'UU Brand Cigarette' #43479.
[14:54:09]	Douglas Hudson destroyed a 'Empty Consulate Water Can' #44797.
[14:54:10]	[ME] Joseph Sterling: took one of em, gently stuffing it into a pocket
[14:54:11]	Joseph Sterling used the 'Sink' vendor.
[14:54:11]	Joseph Sterling used the 'Sink' vendor.
[14:54:13]	Douglas Hudson destroyed a 'Nylon Cord' #44343.
[14:54:17]	Gregory destroyed a 'Empty Chinese Takeout' #44260.
[14:54:20]	Joseph Sterling used the 'Sink' vendor.
[14:54:21]	Gregory destroyed a 'Citizen Filter' #30461.
[14:54:23]	CCA.C17-UNION.i3.29852 used command '/ViewData daniel'.
[14:54:23]	Chicken loaded the character 'Steven Thompson'
[14:54:27]	Joseph Sterling used the 'Sink' vendor.
[14:54:30]	Gregory destroyed a 'Relocation Coupon' #30479.
[14:54:30]	Joseph Sterling used the 'Sink' vendor.
[14:54:31]	Gregory destroyed a 'Relocation Coupon' #28601.
[14:54:32]	Gregory destroyed a 'Relocation Coupon' #39970.
[14:54:33]	[OOC] Steven Thompson: balls
[14:54:33]	[Y] CCA.C17-UNION.i2.97018: <:: You three. Put on suits if you have them. ::>
[14:54:37]	Gregory destroyed a 'Citizen Filter' #35847.
[14:54:39]	Sona la Rona ran 'Equip' on item 'Green Citizen Suit' (#35831)
[14:54:39]	Gregory destroyed a 'Citizen Filter' #35941.
[14:54:41]	Gregory destroyed a 'Citizen Filter' #39994.
[14:54:43]	Gregory destroyed a 'Green Citizen Suit' #35183.
[14:54:45]	Joseph Sterling ran 'drop' on item 'Suitcase' (#44867)
[14:54:45]	Joseph Sterling has lost a 'Suitcase' #44867.
[14:54:45]	Joseph Sterling has lost a 'Scrap Electronics' #44723.
[14:54:45]	Joseph Sterling has lost a 'Green Citizen Suit' #44865.
[14:54:45]	Joseph Sterling has lost a 'Corrugated Hose' #44870.
[14:54:45]	Joseph Sterling has lost a 'Refined Metal' #44884.
[14:54:45]	Joseph Sterling has lost a 'Bar of Soap' #44871.
[14:54:45]	Joseph Sterling has lost a 'Broken Clock' #44883.
[14:54:45]	Joseph Sterling has lost a 'Bar of Soap' #44880.
[14:54:47]	Joseph Sterling ran 'take' on item 'Suitcase' (#44867)
[14:54:47]	Joseph Sterling has gained a 'Suitcase' #44867.
[14:54:47]	Joseph Sterling has gained a 'Scrap Electronics' #44723.
[14:54:47]	Joseph Sterling has gained a 'Green Citizen Suit' #44865.
[14:54:47]	Joseph Sterling has gained a 'Corrugated Hose' #44870.
[14:54:47]	Joseph Sterling has gained a 'Refined Metal' #44884.
[14:54:47]	Joseph Sterling has gained a 'Bar of Soap' #44871.
[14:54:47]	Joseph Sterling has gained a 'Broken Clock' #44883.
[14:54:47]	Joseph Sterling has gained a 'Bar of Soap' #44880.
[14:54:49]	[OOC] Gregory: why do so many people throw away their filters & suits at spawn
[14:54:53]	Joseph Sterling ran 'Equip' on item 'Green Citizen Suit' (#44865)
[14:54:54]	Gregory destroyed a 'Adjustable Wrench' #33791.
[14:54:58]	Gregory destroyed a 'Empty Combine Air Tank' #44482.
[14:55:01]	[OOC] Steven Thompson: why do you never shut up
[14:55:05]	[OOC] Gregory: suck me.
[14:55:18]	Leon Taylor opened the 'Large Refrigerator' #3387 container.
[14:55:19]	CCA.C17-UNION.i2.97018 has gained 10 tokens.
[14:55:20]	CCA.C17-UNION.i3.29852 used command '/ViewData daniel'.
[14:55:21]	Leon Taylor closed the 'Large Refrigerator' #3387 container.
[14:55:23]	Gregory exited observer at their location.
[14:55:23]	Leon Taylor opened the 'Dumpster' #3386 container.
[14:55:24]	Gregory entered observer.
[14:55:26]	Leon Taylor closed the 'Dumpster' #3386 container.
[14:55:33]	Gregory destroyed a 'AA Battery' #35962.
[14:55:38]	[ME] CCA.C17-UNION.i3.29852: hands him the CID.
[14:55:40]	CCA.C17-UNION.i3.29852 ran 'drop' on item 'Citizen ID' (#44919)
[14:55:40]	CCA.C17-UNION.i3.29852 has lost a 'Citizen ID' #44919.
[14:55:43]	Daniel, Mores ran 'take' on item 'Citizen ID' (#44919)
[14:55:43]	Daniel, Mores has gained a 'Citizen ID' #44919.
[14:55:44]	Steven Thompson has gained a 'Empty Paint Can' #44920.
[14:55:53]	Gregory destroyed a 'Bar of Soap' #33956.
[14:55:58]	Gregory destroyed a 'UU Brand Cigarette' #44715.
[14:56:00]	Gregory destroyed a 'Fingerless Gloves' #24748.
[14:56:02]	Leon Taylor ran 'View' on item 'Notepad' (#27021)
[14:56:04]	Leon Taylor ran 'View' on item 'Notepad' (#25191)
[14:56:09]	CCA.C17-UNION.i4.04796 has gained 10 tokens.
[14:56:18]	Gregory used command '/PM lin its a good thought but unfortunately nope i dont think so'.
[14:56:26]	Joseph Sterling used command '/PM greg what'.
[14:56:29]	Gregory used command '/Reply bruh'.
[14:56:30]	Gregory used command '/Reply wrong dm'.
[14:56:45]	[ME] Jack Kingston: drops his suitcase down on the table.
[14:56:47]	Gregory destroyed a 'Broken LCD Monitor' #44801.
[14:56:48]	Jack Kingston ran 'drop' on item 'Suitcase' (#39533)
[14:56:48]	Jack Kingston has lost a 'Suitcase' #39533.
