[11:35:51]	Dilly_ has connected.
[13:35:21]	CCA.C08-QrM.98240 used command '/ViewData Yis'.
[13:35:54]	[LOOC] CCA.C08-QrM.98240: Note that it is 2006 and you must be 21 years or older
[13:36:05]	[OOC] CCA.C08-QrM.98240: Time to entirely ignorethe crash
[13:36:17]	[MEY] CCA.C17-UNION.i4.19042: would tap the base of the camera, hoping it will turn off, maybe? No matter what he's trying to do, it doesn't work.
[13:36:18]	CCA.C17-UNION.i4.19042 entered observer.
[13:36:19]	CCA.C17-UNION.i4.19042 exited observer at their location.
[13:36:19]	CCA.C17-UNION.i4.19042 entered observer.
[13:36:24]	CCA.C17-UNION.i4.19042 exited observer at their location.
[13:36:50]	CCA.C08-QrM.98240 used command '/ViewData yi'.
[13:36:51]	CCA.C17-UNION.i4.19042 has spawned 'models/props/de_tides/patio_chair2.mdl'.
[13:37:13]	CCA.C17-UNION.i4.19042 has spawned 'models/props/de_tides/patio_chair2.mdl'.
[13:37:16]	CCA.C08-QrM.98240 used command '/ViewData yi'.
[13:37:31]	CCA.C17-UNION.i4.19042 entered observer.
[13:37:37]	CCA.C17-UNION.i4.19042 has spawned 'models/props/de_tides/patio_chair2.mdl'.
[13:37:39]	CCA.C17-UNION.i4.19042 has spawned 'models/props/de_tides/patio_chair2.mdl'.
[13:37:40]	CCA.C17-UNION.i4.19042 has gained 10 tokens.
[13:37:43]	CCA.C17-UNION.i4.19042 has spawned 'models/props/de_tides/patio_chair2.mdl'.
[13:37:44]	CCA.C08-QrM.98240 ran 'take' on item 'Relocation Coupon' (#21135)
[13:37:44]	CCA.C08-QrM.98240 has gained a 'Relocation Coupon' #21135.
[13:37:46]	CCA.C17-UNION.i4.19042 has spawned 'models/props/de_tides/patio_chair2.mdl'.
[13:37:47]	CCA.C17-UNION.i4.19042 has spawned 'models/props_interiors/patio_chair2_white.mdl'.
[13:37:57]	CCA.C17-UNION.i4.19042 has spawned 'models/props/de_tides/patio_chair2.mdl'.
[13:37:58]	CCA.C08-QrM.98240 used command '/ViewData yi'.
[13:38:37]	CCA.C08-QrM.98240 ran 'take' on item 'Citizen ID' (#21170)
[13:38:37]	CCA.C08-QrM.98240 has gained a 'Citizen ID' #21170.
[13:38:49]	[ME] CCA.C08-QrM.98240: Tosses over a CID to the civvie.
[13:38:51]	CCA.C08-QrM.98240 ran 'drop' on item 'Relocation Coupon' (#21135)
[13:38:51]	CCA.C08-QrM.98240 has lost a 'Relocation Coupon' #21135.
[13:38:53]	CCA.C08-QrM.98240 ran 'take' on item 'Relocation Coupon' (#21135)
[13:38:53]	CCA.C08-QrM.98240 has gained a 'Relocation Coupon' #21135.
[13:38:55]	[LOOC] CCA.C08-QrM.98240: FUCK
[13:38:57]	CCA.C08-QrM.98240 ran 'drop' on item 'Citizen ID' (#21170)
[13:38:57]	CCA.C08-QrM.98240 has lost a 'Citizen ID' #21170.
[13:38:59]	[LOOC] Yisugei Qatun: nice
[13:38:59]	[LOOC] CCA.C08-QrM.98240: There
[13:39:02]	Yisugei Qatun ran 'take' on item 'Citizen ID' (#21170)
[13:39:02]	Yisugei Qatun has gained a 'Citizen ID' #21170.
[13:39:25]	[ME] Yisugei Qatun: takes the CID, tucking it securely under her robes. "Thank you, Comrade-Officer."
[13:39:25]	CCA.C17-UNION.i4.19042 has spawned 'models/props_c17/oildrum_crush.mdl'.
[13:39:27]	CCA.C17-UNION.i4.19042 has spawned 'models/props_c17/oildrum_crush.mdl'.
[13:39:29]	CCA.C08-QrM.98240 opened the '' #1955 container.
[13:39:33]	CCA.C08-QrM.98240 closed the '' #1955 container.
[13:39:50]	CCA.C17-UNION.i4.19042 has spawned 'models/props_c17/oildrum_crush.mdl'.
[13:39:57]	CCA.C08-QrM.98240 used command '/Radio Has anybody done anything about that crash or is it my job to deal with it?'.
[13:40:04]	CCA.C17-UNION.i4.19042 exited observer at their location.
[13:40:24]	[ME] John Smith: would contemplate his life choices and wonder why he didn't jump off that bridge in the outlands a while back.
[13:40:35]	CCA.C17-UNION.i4.19042 entered observer.
[13:40:41]	CCA.C17-UNION.i4.19042 exited observer at their location.
[13:40:42]	CCA.C17-UNION.i4.19042 entered observer.
[13:40:42]	CCA.C17-UNION.i4.19042 exited observer at their location.
[13:40:43]	CCA.C17-UNION.i4.19042 entered observer.
[13:40:50]	CCA.C17-UNION.i4.19042 exited observer at their location.
[13:41:49]	CCA.C08-QrM.98240 has gained a 'Handheld Radio' #21171.
[13:41:49]	CCA.C17-UNION.i4.19042 used command '/CharGiveItem qrm radio'.
[13:41:54]	CCA.C17-UNION.i4.19042 has gained a 'Handheld Radio' #21172.
[13:41:54]	CCA.C17-UNION.i4.19042 used command '/CharGiveItem union radio'.
[13:41:56]	CCA.C17-UNION.i4.19042 ran 'Toggle' on item 'Handheld Radio' (#21172)
[13:41:57]	CCA.C17-UNION.i4.19042 ran 'Frequency' on item 'Handheld Radio' (#21172)
[13:42:29]	CCA.C08-QrM.98240 has gained 10 tokens.
[13:42:40]	CCA.C17-UNION.i4.19042 has gained 10 tokens.
[13:42:46]	[OOC] CCA.C08-QrM.98240: There is an imposter among us
[13:42:55]	[OOC] CCA.C08-QrM.98240: literally
[13:42:56]	[OOC] CCA.C17-UNION.i4.19042: there's a sussus amogus
[13:43:03]	[OOC] John Smith: sussy baka
[13:43:13]	[Y] CCA.C17-UNION.i4.19042: <:: Can you see me alrighT? ::>
[13:43:18]	Yisugei Qatun used the 'Street Market' vendor.
[13:43:18]	[Y] John Smith: Yep!
[13:43:24]	[Y] CCA.C17-UNION.i4.19042: <:: And you can hear me too? ::>
[13:43:29]	[Y] John Smith: Yep.
[13:43:32]	[Y] CCA.C17-UNION.i4.19042: <:: Fantastic. ::>
[13:43:45]	CCA.C08-QrM.98240 used command '/Radio Union, report on viscon with any suspicious activity.'.
[13:43:47]	CCA.C17-UNION.i4.19042 has spawned 'models/props_c17/oildrum001.mdl'.
[13:43:59]	[Y] CCA.C17-UNION.i4.19042: <:: Coming down! ::>
[13:44:02]	CCA.C17-UNION.i4.19042 has spawned 'models/props_c17/oildrum_crush.mdl'.
[13:44:14]	CCA.C17-UNION.i4.19042 used command '/Event A loud crash comes from the slums.'.
[13:44:20]	CCA.C17-UNION.i4.19042 used command '/Radio Drum fell.'.
[13:44:26]	[Y] John Smith: Yep! That's where it came from!
[13:44:26]	CCA.C17-UNION.i4.19042 used command '/Radio Just tested that theory, it checks out.'.
[13:44:31]	CCA.C17-UNION.i4.19042 entered observer.
[13:44:32]	CCA.C17-UNION.i4.19042 exited observer at their location.
[13:44:45]	[LOOC] CCA.C17-UNION.i4.19042: two*
[13:45:05]	CCA.C08-QrM.98240 used command '/Radio Fucking hell! QrM moving into slums to investigate.'.
[13:45:15]	[OOC] CCA.C08-QrM.98240: me when
[13:45:21]	[LOOC] CCA.C17-UNION.i4.19042: damn things are too heavy to grab with my hands
[13:45:50]	CCA.C08-QrM.98240 used command '/Radio Union! report!'.
[13:46:01]	[Y] CCA.C08-QrM.98240: <:: Hey! ::>
[13:46:07]	[Y] CCA.C08-QrM.98240: <:: What is happening here! ::>
[13:46:17]	[Y] CCA.C08-QrM.98240: <:: You! ::>
[13:46:24]	[Y] CCA.C17-UNION.i4.19042: <:: Quartermaster, it's fine. ::>
[13:46:27]	[Y] CCA.C17-UNION.i4.19042: <:: I'm putting them to work! ::>
[13:46:41]	[ME] Yisugei Qatun: lifts up the chair, grasping it by its arm rests.
[13:47:23]	[ME] CCA.C17-UNION.i4.19042: would stop himself mid sentence.
[13:47:29]	CCA.C08-QrM.98240 has gained 10 tokens.
[13:47:40]	CCA.C17-UNION.i4.19042 has gained 10 tokens.
[13:47:58]	[LOOC] CCA.C17-UNION.i4.19042: one sec
[13:47:58]	CCA.C17-UNION.i4.19042 entered observer.
[13:48:06]	CCA.C17-UNION.i4.19042 has spawned 'models/props/de_tides/patio_chair2.mdl'.
[13:48:07]	CCA.C17-UNION.i4.19042 has spawned 'models/props/de_tides/patio_chair2.mdl'.
[13:48:13]	CCA.C17-UNION.i4.19042 has spawned 'models/props/de_tides/patio_chair2.mdl'.
[13:48:15]	CCA.C17-UNION.i4.19042 has spawned 'models/props/de_tides/patio_chair2.mdl'.
[13:48:17]	CCA.C17-UNION.i4.19042 exited observer at their location.
[13:48:18]	[ME] CCA.C08-QrM.98240: Would sigh for a moment, "I don't fucking get paid enough to care that much, if I learn trusting you was a mistake then.....don't make me regret trusting you."
[13:48:37]	[LOOC] CCA.C08-QrM.98240: bitch
[13:48:48]	[OOC] John Smith: pussy
[13:48:53]	[OOC] CCA.C08-QrM.98240: Whore
[13:49:32]	[OOC] CCA.C08-QrM.98240: I will go postal if I hear another crash
[13:49:45]	[OOC] CCA.C17-UNION.i4.19042: silently opens up /event
[13:49:47]	CCA.C17-UNION.i4.19042 has spawned 'models/props_wasteland/controlroom_chair001a.mdl'.
[13:49:50]	[OOC] John Smith: just then, another crash could be heard
[13:50:01]	[OOC] CCA.C08-QrM.98240: After which you hear pulse rounds going off
[13:50:02]	CCA.C17-UNION.i4.19042 has spawned 'models/props_interiors/Furniture_chair01a.mdl'.
[13:50:09]	[LOOC] Yisugei Qatun: nnoooOOOOO
[13:50:55]	[ME] CCA.C17-UNION.i4.19042: would reach into his pocket and quietly count out 10 tokens.
[13:51:01]	[ME] CCA.C17-UNION.i4.19042: would hand them to the citizen in front of him.
[13:51:03]	CCA.C17-UNION.i4.19042 has lost 10 tokens.
[13:51:03]	CCA.C17-UNION.i4.19042 used command '/DropTokens 10'.
[13:51:16]	[ME] Yisugei Qatun: takes them in her palm, nodding thankfully to the officer.
[13:51:18]	Yisugei Qatun has gained 10 tokens.
[13:51:32]	[ME] CCA.C17-UNION.i4.19042: would do the same for the next citizen, counting out some tokens and then handing them to him.
[13:51:34]	CCA.C17-UNION.i4.19042 has lost 10 tokens.
[13:51:34]	CCA.C17-UNION.i4.19042 used command '/DropTokens 10'.
[13:51:39]	John Smith has gained 10 tokens.
[13:51:50]	CCA.C17-UNION.i4.19042 has gained a 'Respirator' #21173.
[13:51:50]	CCA.C17-UNION.i4.19042 used command '/CharGiveItem union respirator'.
[13:52:12]	[ME] CCA.C17-UNION.i4.19042: would reach into a satchel on his back and pull out a respirator.
[13:52:18]	[ME] CCA.C17-UNION.i4.19042: would hand it to the woman.
[13:52:20]	CCA.C17-UNION.i4.19042 ran 'drop' on item 'Respirator' (#21173)
[13:52:20]	CCA.C17-UNION.i4.19042 has lost a 'Respirator' #21173.
[13:52:24]	Yisugei Qatun ran 'take' on item 'Respirator' (#21173)
[13:52:24]	Yisugei Qatun has gained a 'Respirator' #21173.
[13:52:29]	CCA.C08-QrM.98240 has gained 10 tokens.
[13:52:30]	Yisugei Qatun ran 'Equip' on item 'Respirator' (#21173)
[13:52:40]	CCA.C17-UNION.i4.19042 has gained 10 tokens.
[13:52:52]	[ME] Yisugei Qatun: carefully removes her suit, slipping the resperator on.
[13:52:56]	Yisugei Qatun ran 'EquipUn' on item 'Cyclopic Citizen Suit' (#21136)
[13:56:28]	[ME] John Smith: would let out a small chuckle, as he would walk off.
[13:56:59]	CCA.C17-UNION.i4.19042 used command '/DrawBlackScreen'.
[13:57:01]	CCA.C17-UNION.i4.19042 used command '/SetScreenText WEDNESDAY'.
[13:57:03]	CCA.C17-UNION.i4.19042 entered observer.
[13:57:04]	[OOC] CCA.C08-QrM.98240: FUCK, THEY BLINDED ME
[13:57:07]	[OOC] John Smith: AH NO ITS WEDNESDAY
[13:57:08]	CCA.C17-UNION.i4.19042 used command '/DrawLoading'.
[13:57:29]	matt saton loaded the character 'Lee Maylor'
[13:57:32]	Lee Maylor used command '/ClearScreenDraws'.
[13:57:33]	Lee Maylor entered observer.
[13:57:38]	Lee Maylor exited observer at their location.
[13:58:52]	Lee Maylor entered observer.
[13:59:07]	matt saton loaded the character 'Frankie Millard'
[13:59:08]	Frankie Millard entered observer.
[13:59:11]	Frankie Millard exited observer at their location.
[13:59:23]	Frankie Millard used command '/PM qrm you may wanna hop on a shitizen if you want, no pressure tho'.
[13:59:24]	Frankie Millard entered observer.
[13:59:28]	Frankie Millard exited observer at their location.
[13:59:31]	Frankie Millard entered observer.
[13:59:32]	Frankie Millard exited observer at their location.
[13:59:39]	CCA.C08-QrM.98240 used command '/Reply QrM go brrtttt'.
[13:59:49]	Frankie Millard entered observer.
[14:00:00]	Frankie Millard exited observer at their location.
[14:00:05]	Frankie Millard ran 'EquipUn' on item 'Combine Worker Suit' (#21029)
[14:00:06]	Frankie Millard entered observer.
[14:00:09]	Frankie Millard exited observer at their location.
[14:00:12]	Frankie Millard entered observer.
[14:00:13]	Frankie Millard exited observer at their location.
[14:00:24]	Frankie Millard entered observer.
[14:00:25]	FB|| light ROOM loaded the character 'Ethan King'
[14:00:34]	Ethan King used command '/Reply Gonna do something real quick.'.
[14:00:41]	Frankie Millard used command '/PM king ight'.
[14:01:52]	[OOC] John Smith: TOOL GUN!
[14:02:48]	Ethan King ran 'EquipUn' on item 'Respirator' (#20817)
[14:02:49]	Ethan King ran 'Equip' on item 'Conscript Hazmat Armor' (#10510)
[14:03:23]	Ethan King used command '/Reply Can I wear this, please come over for a sec.'.
[14:03:31]	Frankie Millard exited observer at their location.
[14:03:31]	Frankie Millard has taken 1 damage from worldspawn.
[14:03:32]	Frankie Millard entered observer.
[14:03:32]	Frankie Millard exited observer at their location.
[14:03:32]	Frankie Millard has taken 1 damage from worldspawn.
[14:03:33]	Frankie Millard has taken 1 damage from worldspawn.
[14:03:34]	Frankie Millard has taken 1 damage from worldspawn.
[14:03:34]	Frankie Millard has taken 1 damage from worldspawn.
[14:03:35]	Frankie Millard has taken 1 damage from worldspawn.
[14:03:36]	Frankie Millard has taken 1 damage from worldspawn.
[14:03:36]	Frankie Millard ran 'Equip' on item 'Combine Worker Suit' (#21029)
[14:03:42]	Frankie Millard entered observer.
[14:03:43]	Frankie Millard exited observer at their location.
[14:03:46]	[LOOC] Frankie Millard: wear what
[14:03:50]	[LOOC] Ethan King: Hold on
[14:03:50]	Frankie Millard entered observer.
[14:03:50]	Frankie Millard exited observer at their location.
[14:03:52]	Frankie Millard entered observer.
[14:03:52]	Frankie Millard exited observer at their location.
[14:03:56]	Frankie Millard entered observer.
[14:03:56]	Frankie Millard exited observer at their location.
[14:03:57]	Frankie Millard entered observer.
[14:03:57]	Frankie Millard exited observer at their location.
[14:03:59]	Frankie Millard entered observer.
[14:03:59]	Frankie Millard exited observer at their location.
[14:04:02]	[LOOC] Ethan King: Should have changed
[14:04:03]	Frankie Millard entered observer.
[14:04:04]	Frankie Millard exited observer at their location.
[14:04:04]	Frankie Millard entered observer.
[14:04:05]	Frankie Millard exited observer at their location.
[14:04:05]	Frankie Millard entered observer.
[14:04:05]	[LOOC] Ethan King: Lmao
[14:04:06]	Frankie Millard exited observer at their location.
[14:04:08]	[LOOC] Frankie Millard: nope
[14:04:11]	[LOOC] Frankie Millard: i see nothing
[14:04:11]	Frankie Millard entered observer.
[14:04:12]	Frankie Millard exited observer at their location.
[14:04:13]	[LOOC] Ethan King: Bruh
[14:04:16]	[LOOC] Frankie Millard: other than cosncript suit
[14:04:18]	Frankie Millard entered observer.
[14:04:21]	[LOOC] Ethan King: Weird
[14:04:29]	Frankie Millard exited observer at their location.
[14:04:38]	Frankie Millard entered observer.
[14:04:40]	[ME] John Smith: would chuckle.
[14:04:43]	Frankie Millard exited observer at their location.
[14:04:45]	Frankie Millard entered observer.
[14:04:49]	Frankie Millard exited observer at their location.
[14:05:11]	Frankie Millard entered observer.
[14:05:12]	Frankie Millard exited observer at their location.
[14:05:27]	[Y] Frankie Millard: Have a seat, brothers.
[14:05:36]	[ME] John Smith: would sit in the chair.
[14:05:48]	[ME] Yisugei Qatun: takes a seat, settling in closer to the fire.
[14:06:00]	[Y] Frankie Millard: Welcome, everyone.
[14:06:07]	[Y] Frankie Millard: Let me ask you this:.
[14:06:17]	[Y] Frankie Millard: Are you tired of working day in and day out?
[14:06:20]	Ethan King ran 'EquipUn' on item 'Conscript Hazmat Armor' (#10510)
[14:06:21]	Ethan King ran 'Equip' on item 'Conscript Hazmat Armor' (#10510)
[14:06:23]	Ethan King ran 'EquipUn' on item 'Conscript Hazmat Armor' (#10510)
[14:06:25]	Ethan King has taken 1 damage from worldspawn.
[14:06:25]	Ethan King ran 'Equip' on item 'Conscript Hazmat Armor' (#10510)
[14:06:37]	[Y] Frankie Millard: Little breaks, poor compensation, and beatings to go along with it?
[14:06:42]	[OOC] Ethan King: Me when
[14:06:56]	[Y] Frankie Millard: I'm a member of the CWU Industrial branch. I'm on my feet all day.
[14:07:09]	[Y] Frankie Millard: When my shift is over, they give me a couple tokens, pocket change.
[14:07:13]	[Y] Frankie Millard: And they send me on my way.
[14:07:19]	Ethan King used command '/CharDesc'.
[14:07:22]	[Y] Frankie Millard: I sleep for an hour, and then work for another ten.
[14:07:29]	[Y] Frankie Millard: We do all of the Combine's labor.
[14:07:32]	Ethan King used command '/CharDesc Conscript fatigues with a large vest and a chest rig ontop | Standing at around 5'9" | Patrol cap | Pure white, bulky gasmask |'.
[14:07:58]	[Y] Frankie Millard: We make casts for weapons, we pack their rations, we wash their boots and lick them too.
[14:08:10]	[Y] Frankie Millard: What do we get? BEATEN!
[14:08:45]	[Y] Frankie Millard: We get a shock that could make an elephant dizzy three times over because we're rushing to get to a bed so we can lay down for just a second.
[14:09:00]	[Y] Frankie Millard: I for one, am SICK of it!
[14:09:20]	Yisugei Qatun used command '/Content'.
[14:09:21]	[Y] Frankie Millard: The Combine keeps us safe, I don't doubt that, and their presence here is going to stay.
[14:09:51]	[Y] Frankie Millard: But if we're as valuable workers as they say we are, I think it's high time they treat us like it!
[14:09:54]	[Y] Frankie Millard: Who agrees with me?
[14:09:55]	[OOC] Yisugei Qatun: brb getting script errors
[14:10:03]	[OOC] Frankie Millard: is it server related, what's the error
[14:10:08]	[ME] Frankie Millard: would step on the car.
[14:10:22]	Ethan King ran 'EquipUn' on item 'Conscript Hazmat Armor' (#10510)
[14:10:25]	Ethan King has taken 1 damage from worldspawn.
[14:10:26]	Ethan King has taken 1 damage from worldspawn.
[14:10:27]	Ethan King ran 'Equip' on item 'Conscript Hazmat Armor' (#10510)
[14:10:28]	[IT] Frankie Millard: A few citizens in the chairs would applaud, a bit, giving a bit of support.
[14:10:41]	[ME] Frankie Millard: would point to the player in the back right.
[14:10:48]	[OOC] Yisugei Qatun: chat box is pumping out errors and cant see any /yells
[14:10:54]	[Y] Frankie Millard: Ma'am, do you want better treatment from the combine?
[14:10:57]	[OOC] Ethan King: Weird
[14:10:58]	[OOC] Frankie Millard: oh 
[14:11:00]	[OOC] Frankie Millard: oh fuck
[14:11:01]	[OOC] Frankie Millard: hm
[14:11:04]	[OOC] Frankie Millard: my bad
[14:11:05]	[OOC] Frankie Millard: let me uhhh
[14:11:10]	[OOC] Frankie Millard: re say all that in text
[14:11:26]	[OOC] John Smith: you may need to get the full content.
[14:11:31]	[OOC] Frankie Millard: no, that's not a content thing
[14:11:38]	[OOC] Frankie Millard: if i had to guess, the font isn't loading right
[14:11:40]	[OOC] John Smith: prolly jsut gmod then
[14:11:50]	[OOC] Frankie Millard: yeah, still a weird error, it shou;dn't happen
[14:11:56]	[LOOC] Frankie Millard: the font must not be loading
[14:11:57]	[OOC] John Smith: its a piece of ass sometimes lmao
[14:12:22]	[ME] Frankie Millard: would step on the car.
[14:12:24]	[IT] Frankie Millard: A few citizens in the chairs would applaud, a bit, giving a bit of support.
[14:12:32]	[ME] Frankie Millard: would point to the player in the back right.
[14:12:39]	[ME] Yisugei Qatun: gives a few claps.
[14:13:34]	[ME] Frankie Millard: would point to the player in the front left.
[14:13:53]	[OOC] Ethan King: I sent you a funny Q
[14:15:16]	Ethan King ran 'equip' on item 'CCA Filter' (#19949)
[14:15:24]	[OOC] Ethan King: Why is my knife gone
[14:15:29]	[OOC] Ethan King: Bruhhh
[14:15:33]	[OOC] Frankie Millard: wat
[14:15:38]	[OOC] John Smith: because i stole it 3 days ago
[14:15:39]	[OOC] Ethan King: I had a knife, and now it is gone.
[14:15:42]	[OOC] Ethan King: Excuse me?
[14:16:02]	Ethan King ran 'Take' on item 'UU Brand Cigarette Pack' (#20181)
[14:16:02]	Ethan King has gained a 'UU Brand Cigarette' #21174.
[14:16:04]	Ethan King ran 'Smoke' on item 'UU Brand Cigarette' (#21174)
[14:16:17]	[OOC] John Smith: that is an obviose joke
[14:16:26]	[OOC] Ethan King: OR IS IT
[14:16:33]	[IT] Frankie Millard: Several people in the crowd cheer.
[14:16:40]	[OOC] John Smith: *inseption bwa*
[14:17:13]	[OOC] Ethan King: By the way, Q have you ever considered using area edit on the server?
[14:17:23]	[OOC] Frankie Millard: yes and no
[14:17:35]	[OOC] Ethan King: Why not? I think it adds a lot to the server.
[14:17:50]	[OOC] Frankie Millard: no  i mean i've kind of considered i
[14:17:51]	[OOC] Frankie Millard: it
[14:17:55]	[OOC] Frankie Millard: i have an idea of what to do with it
[14:18:08]	[OOC] Ethan King: Due be neato
[14:18:12]	[ME] Frankie Millard: woud lift his closed fist up in the air.
[14:18:27]	[IT] Frankie Millard: The citizens in the chairs would follow suit. Would the players follow suit too?
[14:18:40]	[ME] John Smith: would follow suit
[14:18:47]	[ME] Yisugei Qatun: raisesh er fist into the air as well.
[14:18:53]	Ethan King opened the '' #1850 container.
[14:18:55]	Ethan King closed the '' #1850 container.
[14:18:56]	Ethan King opened the '' #1847 container.
[14:18:58]	Ethan King closed the '' #1847 container.
[14:18:59]	Ethan King opened the '' #1848 container.
[14:19:01]	Ethan King closed the '' #1848 container.
[14:19:03]	Ethan King opened the '' #1850 container.
[14:19:03]	Ethan King closed the '' #1850 container.
[14:19:04]	Ethan King opened the '' #1849 container.
[14:19:06]	Ethan King closed the '' #1849 container.
[14:19:07]	Ethan King opened the '' #1846 container.
[14:19:10]	Ethan King closed the '' #1846 container.
[14:19:37]	Frankie Millard has spawned 'models/sprayca2.mdl'.
[14:19:40]	[LOOC] Frankie Millard: damn. missing texture.
[14:19:42]	[LOOC] Frankie Millard: fuck it
[14:20:20]	Frankie Millard has gained a 'Spray Paint' #21174.
[14:20:20]	Frankie Millard used command '/CreateCustomItem Spray Paint models/sprayca2.mdl A can of Krylon brand crimson spray paint, ready to use.'.
[14:20:21]	Ethan King opened the '' #1848 container.
[14:20:21]	Frankie Millard has gained a 'Spray Paint' #21175.
[14:20:21]	Frankie Millard used command '/CreateCustomItem Spray Paint models/sprayca2.mdl A can of Krylon brand crimson spray paint, ready to use.'.
[14:20:26]	Ethan King closed the '' #1848 container.
[14:20:26]	Ethan King opened the '' #1847 container.
[14:20:29]	Ethan King closed the '' #1847 container.
[14:20:30]	Ethan King opened the '' #1850 container.
[14:20:33]	Ethan King closed the '' #1850 container.
[14:20:33]	Ethan King opened the '' #1849 container.
[14:20:36]	Ethan King closed the '' #1849 container.
[14:20:37]	Ethan King opened the '' #1846 container.
[14:20:39]	Ethan King closed the '' #1846 container.
[14:20:41]	[ME] Frankie Millard: would toss a bottle of spray paint to the player in the front left, then to the player in the right back.
[14:20:44]	Frankie Millard ran 'drop' on item 'Spray Paint' (#21174)
[14:20:44]	Frankie Millard has lost a 'Spray Paint' #21174.
[14:20:49]	Frankie Millard ran 'drop' on item 'Spray Paint' (#21175)
[14:20:49]	Frankie Millard has lost a 'Spray Paint' #21175.
[14:20:56]	Yisugei Qatun ran 'take' on item 'Spray Paint' (#21175)
[14:20:56]	Yisugei Qatun has gained a 'Spray Paint' #21175.
[14:20:57]	[OOC] Frankie Millard: that worked kind of
[14:20:57]	John Smith ran 'take' on item 'Spray Paint' (#21174)
[14:20:57]	John Smith has gained a 'Spray Paint' #21174.
[14:21:09]	[OOC] John Smith: bro it just bounced off my skull
[14:21:14]	[OOC] Yisugei Qatun: BONK
[14:21:20]	[Y] Frankie Millard: We're going to put a big red fist in front of warehouse three! Come with me!
[14:21:35]	Frankie Millard has gained a 'Citizen ID' #21176.
[14:21:35]	Frankie Millard used command '/CharGiveItem frankie citizen id'.
[14:22:13]	Frankie Millard entered observer.
[14:22:17]	[ME] John Smith: would gladly do so.
[14:22:50]	[ME] Yisugei Qatun: grabs her spray can abd begins 'painting' a Union symbol with a star in the middle.
[14:23:25]	Frankie Millard exited observer at their location.
[14:23:27]	[LOOC] Frankie Millard: just kidn of
[14:23:31]	[LOOC] Frankie Millard: pretend these are fists
[14:23:37]	[LOOC] Yisugei Qatun: sweet
[14:23:47]	[Y] Frankie Millard: I'll get to spraying more with others. Great start. Let's make the CCA aware of us.
[14:23:49]	[LOOC] John Smith: i cant see shit
[14:23:50]	[LOOC] Frankie Millard: shit right
[14:23:57]	[OOC] Ethan King: Gotta go for a bit, DND shit going on very soon with friends, you fuckers have fun and don't do drugs.
[14:23:57]	[LOOC] Frankie Millard: you can't see those sprayys?
[14:24:04]	[LOOC] John Smith: nope
[14:24:05]	[OOC] Frankie Millard: no
[14:24:08]	[LOOC] Frankie Millard: thonk
[14:24:08]	[LOOC] Yisugei Qatun: Nah
[14:24:08]	[OOC] Ethan King: Damn
[14:24:10]	FB|| light ROOM (STEAM_0:1:17219621) has disconnected.
[14:24:18]	[OOC] Frankie Millard: let's useeee
[14:25:20]	[LOOC] John Smith: nope, nothin
[14:25:24]	[LOOC] Frankie Millard: still nothing?
[14:25:29]	[LOOC] Yisugei Qatun: Nah, sadly
[14:25:42]	[LOOC] Yisugei Qatun: odd
[14:26:08]	[LOOC] Frankie Millard: that's our fist
[14:26:12]	[LOOC] Yisugei Qatun: perfect
[14:26:12]	[LOOC] Frankie Millard: just pretned
[14:26:13]	[LOOC] Frankie Millard: because
[14:26:15]	[LOOC] Frankie Millard: nothing else is working
[14:26:17]	[LOOC] John Smith: yeah fuck it that works
[14:26:27]	Frankie Millard entered observer.
[14:26:28]	Frankie Millard exited observer at their location.
[14:26:35]	Frankie Millard entered observer.
[14:26:46]	Frankie Millard used command '/DrawBlackScreen'.
[14:26:50]	Frankie Millard used command '/SetScreenText THURSDAY'.
[14:26:56]	Frankie Millard used command '/ClearScreenDraws'.
[14:27:01]	matt saton loaded the character 'CCA.C08-UNION.i1.51023'
[14:27:02]	CCA.C08-UNION.i1.51023 entered observer.
[14:27:07]	matt saton loaded the character 'CCA.C08-GRID.OfC.01993'
[14:27:09]	CCA.C08-GRID.OfC.01993 entered observer.
[14:27:09]	CCA.C08-GRID.OfC.01993 exited observer at their location.
[14:27:17]	Yisugei Qatun ran 'drop' on item 'Spray Paint' (#21175)
[14:27:17]	Yisugei Qatun has lost a 'Spray Paint' #21175.
[14:27:23]	John Smith ran 'drop' on item 'Spray Paint' (#21174)
[14:27:23]	John Smith has lost a 'Spray Paint' #21174.
[14:27:28]	CCA.C08-GRID.OfC.01993 used command '/Dispatch potential infection'.
[14:27:28]	CCA.C08-GRID.OfC.01993 entered observer.
[14:27:34]	CCA.C08-GRID.OfC.01993 exited observer at their location.
[14:27:39]	matt saton loaded the character 'CCA.C08-UNION.i1.51023'
[14:27:40]	CCA.C08-UNION.i1.51023 entered observer.
[14:27:42]	CCA.C08-UNION.i1.51023 exited observer at their location.
[14:27:47]	[OOC] John Smith: fuck off dispatch
[14:27:54]	[OOC] Yisugei Qatun: dispatch smelly
[14:28:04]	CCA.C08-UNION.i1.51023 entered observer.
[14:28:06]	[W] Yisugei Qatun: Well then.
[14:28:09]	CCA.C08-UNION.i1.51023 exited observer at their location.
[14:28:25]	CCA.C08-UNION.i1.51023 used command '/Radio Found it.'.
[14:28:38]	CCA.C08-UNION.i1.51023 has gained a 'Handheld Radio' #21177.
[14:28:38]	CCA.C08-UNION.i1.51023 used command '/CharGiveItem union radio'.
