[03:37:46]	Peppermint has connected.
[14:31:16]	Andrew Cloverman exited observer at their location.
[14:31:33]	Andrew Cloverman entered observer.
[14:31:34]	Andrew Cloverman exited observer at their location.
[14:31:56]	Andrew Cloverman has spawned 'models/props_interiors/ElevatorShaft_Door01a.mdl'.
[14:32:07]	Andrew Cloverman entered observer.
[14:32:07]	Andrew Cloverman exited observer at their location.
[14:32:38]	Andrew Cloverman has spawned 'models/props_junk/iBeam01a_cluster01.mdl'.
[14:32:39]	Andrew Cloverman has spawned 'models/props_trainstation/Column_Arch001a.mdl'.
[14:32:40]	Andrew Cloverman has spawned 'models/props_trainstation/clock01.mdl'.
[14:33:26]	Andrew Cloverman entered observer.
[14:33:28]	Andrew Cloverman exited observer at their location.
[14:33:33]	Andrew Cloverman has spawned 'models/props/cs_office/trash_can_p.mdl'.
[14:33:35]	Andrew Cloverman has spawned 'models/props_interiors/copymachine01.mdl'.
[14:33:42]	Andrew Cloverman has spawned 'models/props_unique/hospital/exam_table.mdl'.
[14:33:52]	Andrew Cloverman has spawned 'models/props_equipment/surgicaltray_01.mdl'.
[14:34:02]	Andrew Cloverman has spawned 'models/props_downtown/bar_long_endcorner.mdl'.
[14:34:06]	Andrew Cloverman has spawned 'models/props_downtown/bar_long.mdl'.
[14:34:07]	Andrew Cloverman entered observer.
[14:35:27]	Andrew Cloverman has spawned 'models/props_urban/plastic_chair001.mdl'.
[14:37:50]	Andrew Cloverman exited observer at their location.
[14:39:34]	[ME] Andrew Cloverman: takes out their datapad and types a couple things in.
[14:42:05]	Andrew Cloverman has spawned 'models/testmodels/sofa_single.mdl'.
[14:42:28]	Andrew Cloverman has spawned 'models/props_c17/chair02a.mdl'.
[14:42:43]	Andrew Cloverman has spawned 'models/props_c17/chair02a.mdl'.
[14:42:52]	Andrew Cloverman has spawned 'models/props_c17/FurnitureTable002a.mdl'.
[14:43:05]	Andrew Cloverman has spawned 'models/props_c17/FurnitureTable002a.mdl'.
[14:43:07]	Andrew Cloverman has spawned 'models/props_c17/FurnitureTable001a.mdl'.
[14:43:59]	Andrew Cloverman has spawned 'models/props_combine/breenbust.mdl'.
[14:44:02]	Andrew Cloverman has spawned 'models/props_interiors/BathTub01a.mdl'.
[14:44:11]	Andrew Cloverman has spawned 'models/props_interiors/dining_table_round.mdl'.
[14:44:13]	Andrew Cloverman has spawned 'models/props_interiors/dinning_table_oval.mdl'.
[14:44:19]	Andrew Cloverman entered observer.
[14:44:20]	Andrew Cloverman exited observer at their location.
[14:44:20]	Andrew Cloverman entered observer.
[14:44:21]	Andrew Cloverman exited observer at their location.
[14:44:56]	Andrew Cloverman has spawned 'models/props_c17/FurnitureTable003a.mdl'.
[14:45:04]	Andrew Cloverman has spawned 'models/props/cs_office/table_coffee.mdl'.
[14:45:51]	Andrew Cloverman has spawned 'models\props/cs_office/radio.mdl'.
[14:45:52]	Andrew Cloverman entered observer.
[14:46:10]	Andrew Cloverman exited observer at their location.
[14:46:13]	Andrew Cloverman entered observer.
[14:46:14]	Andrew Cloverman exited observer at their location.
[14:46:21]	Andrew Cloverman entered observer.
[14:46:22]	Andrew Cloverman exited observer at their location.
[14:46:23]	Andrew Cloverman has taken 11 damage from worldspawn.
[14:46:24]	Andrew Cloverman has taken 100 damage from worldspawn.
[14:46:33]	Andrew Cloverman has spawned 'models\props/cs_office/radio.mdl'.
[14:46:50]	Andrew Cloverman entered observer.
[14:47:42]	Andrew Cloverman exited observer at their location.
[14:47:46]	Andrew Cloverman entered observer.
[14:47:48]	Andrew Cloverman exited observer at their location.
[14:47:49]	Andrew Cloverman entered observer.
[14:47:49]	Andrew Cloverman exited observer at their location.
[14:47:53]	Andrew Cloverman entered observer.
[14:47:53]	Andrew Cloverman exited observer at their location.
[14:48:03]	Andrew Cloverman has spawned 'models\props/cs_office/trash_can.mdl'.
[14:48:09]	Andrew Cloverman has spawned 'models/props/cs_office/trash_can_p.mdl'.
[14:49:26]	Painevan has connected.
[14:53:30]	Painevan loaded the character 'Jonathan Jackson'
[14:54:03]	Painevan loaded the character 'OTA.C17-ECHO.OHZ.74152'
[15:01:00]	Painevan loaded the character 'Jonathan Jackson'
[15:11:29]	Jonathan Jackson opened the '' #2706 container.
[15:11:34]	Jonathan Jackson closed the '' #2706 container.
[15:18:51]	Classic has connected.
[15:21:01]	Painevan loaded the character 'CCA.C17-HELIX.i4.08874'
[15:21:05]	reererw has gained a 'Green Citizen Suit' #30449.
[15:21:05]	reererw has gained a 'Citizen Filter' #30450.
[15:21:05]	Classic created the character 'reererw'
[15:21:05]	reererw has gained a 'Suitcase' #30451.
[15:21:05]	reererw has gained a 'Relocation Coupon' #30452.
[15:21:05]	Classic loaded the character 'reererw'
[15:21:22]	reererw has taken 1 damage from worldspawn.
[15:21:51]	Classic (STEAM_0:1:128182153) has disconnected.
[15:22:29]	Painevan loaded the character 'Jonathan Jackson'
[15:22:36]	Painevan loaded the character 'Zombie'
[15:43:44]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:43:45]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:43:45]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:43:46]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:43:47]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:43:48]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:43:48]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:43:49]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:43:50]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:43:51]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:43:51]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:43:52]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:43:53]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:43:54]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:43:54]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:43:55]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:43:56]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:43:57]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:43:57]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:43:58]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:43:59]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:00]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:00]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:01]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:02]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:03]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:03]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:04]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:05]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:06]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:07]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:07]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:08]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:09]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:10]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:10]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:11]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:12]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:13]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:13]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:14]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:15]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:16]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:16]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:17]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:18]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:19]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:19]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:20]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:21]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:22]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:22]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:23]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:24]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:25]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:25]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:26]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:27]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:28]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:28]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:29]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:30]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:31]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:32]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:32]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:33]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:34]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:35]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:35]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:36]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:37]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:38]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:38]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:39]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:40]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:41]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:41]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:42]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:43]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:44]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:44]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:45]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:46]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:47]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:47]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:48]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:49]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:50]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:50]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:51]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:52]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:53]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:54]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:54]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:55]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:56]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:57]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:57]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:58]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:44:59]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:00]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:00]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:01]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:02]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:03]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:03]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:04]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:05]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:06]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:06]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:07]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:08]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:09]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:09]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:10]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:11]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:12]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:12]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:13]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:14]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:15]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:15]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:16]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:17]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:18]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:19]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:19]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:20]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:21]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:22]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:22]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:23]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:24]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:25]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:25]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:26]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:27]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:28]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:28]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:29]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:30]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:31]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:31]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:32]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:33]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:34]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:34]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:35]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:36]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:37]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:37]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:38]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:39]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:40]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:40]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:41]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:42]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:43]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:44]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:44]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:45]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:46]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:47]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:47]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:48]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:49]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:50]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:50]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:51]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:52]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:53]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:53]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:45:54]	Andrew Cloverman entered observer.
[15:56:01]	Peppermint has connected.
[15:57:02]	Peppermint loaded the character 'Tanya L. Fredrickson'
[15:57:18]	Peppermint loaded the character 'Zomboid OTA Creature'
[15:57:31]	[OOC] Zombie: hello
[15:57:38]	Painevan loaded the character 'Jonathan Jackson'
[15:57:43]	[OOC] Zomboid OTA Creature: Hello fellow zombie
[15:58:01]	[OOC] Jonathan Jackson: I am no longer a zombie
[15:58:10]	[OOC] Jonathan Jackson: I have been converted back to normalcy
[15:58:11]	Peppermint loaded the character 'Raven'
[15:58:48]	[OOC] Jonathan Jackson: bird is running, that's illegal
[15:59:02]	[OOC] Raven: I have discovered something amazing
[15:59:10]	[OOC] Jonathan Jackson: What is that
[15:59:21]	[OOC] Raven: I can trigger the cams to piss off the MPF
[15:59:36]	[OOC] Jonathan Jackson: That would be so annoying
[15:59:51]	Raven used command '/PM jon I dare you to open the door to the nexus'.
[15:59:52]	Andrew Cloverman exited observer at their location.
[15:59:52]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:59:52]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:59:53]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:59:54]	Andrew Cloverman has taken 1 damage from worldspawn.
[15:59:54]	Andrew Cloverman entered observer.
[16:00:19]	[OOC] Jonathan Jackson: RULE BREAKER
[16:00:52]	Raven opened the '' #2366 container.
[16:00:54]	Raven closed the '' #2366 container.
[16:01:14]	Andrew Cloverman has gained a 'OTA Filter' #30453.
[16:01:14]	Andrew Cloverman used command '/CharGiveItem andrew ota filter'.
[16:01:27]	Peppermint loaded the character 'Tanya L. Fredrickson'
[16:01:28]	Andrew Cloverman ran 'equip' on item 'OTA Filter' (#30453)
[16:01:43]	[OOC] Jonathan Jackson: Is that a CMU???
[16:01:50]	[OOC] Jonathan Jackson: No way those don't exist
[16:01:54]	[OOC] Tanya L. Fredrickson: One and only in the entire city
[16:02:07]	[OOC] Jonathan Jackson: Impossible perhaps the archives are incomplete
[16:02:23]	[OOC] Tanya L. Fredrickson: Seriously...I am the only one in the city that isn't an admin
[16:02:24]	Andrew Cloverman exited observer at their location.
[16:02:26]	Andrew Cloverman entered observer.
[16:02:43]	[OOC] Jonathan Jackson: bro who cares about healing and stuff?
[16:02:50]	Painevan loaded the character 'CCA.C17-HELIX.i4.08874'
[16:02:54]	[OOC] CCA.C17-HELIX.i4.08874: Don't answer that
[16:02:58]	[OOC] Tanya L. Fredrickson: I mean I don't if no one comes to the hospital
[16:02:58]	Painevan loaded the character 'Jonathan Jackson'
[16:03:21]	[OOC] Jonathan Jackson: I will commit CWU RP
[16:03:45]	Jonathan Jackson opened the '' #2706 container.
[16:03:47]	Jonathan Jackson closed the '' #2706 container.
[16:04:23]	Jonathan Jackson opened the '' #2726 container.
[16:04:28]	Jonathan Jackson has gained a 'CWU Commerce Shirt' #29251.
[16:04:30]	Jonathan Jackson ran 'EquipUn' on item 'Blue Pre-War Shirt' (#24423)
[16:04:38]	Jonathan Jackson has gained a 'Gray Jeans' #29252.
[16:04:39]	Jonathan Jackson ran 'Equip' on item 'Gray Jeans' (#29252)
[16:04:41]	[OOC] Tanya L. Fredrickson: Honestly I am two steps away from just becoming an outlands doctor
[16:04:42]	Jonathan Jackson closed the '' #2726 container.
[16:04:55]	[OOC] Jonathan Jackson: Imagine being a rebel pssh
[16:05:12]	[OOC] Tanya L. Fredrickson: Not really rebeling if all you do is live outside the walls
[16:05:13]	[OOC] Jonathan Jackson: I almost decided to do something like that yesterday after I was just arrested for no reason and beaten
[16:05:19]	Tanya L. Fredrickson used the 'Shopkeeper Jim' vendor.
[16:05:24]	[OOC] Tanya L. Fredrickson: wait what? Why?
[16:05:31]	[OOC] Jonathan Jackson: Some sort of investigation
[16:05:41]	[OOC] Tanya L. Fredrickson: Did you resist lol?
[16:05:44]	[OOC] Jonathan Jackson: I was interrogated on a loyalist that I hate and don't know anything about
[16:05:47]	[OOC] Jonathan Jackson: Not at all lol
[16:05:57]	[OOC] Tanya L. Fredrickson: They beat you anyway?
[16:06:01]	[OOC] Jonathan Jackson: And they tried to frame me for crimes I didn't commit
[16:06:03]	[OOC] Jonathan Jackson: Yeah
[16:06:08]	[OOC] Jonathan Jackson: They thought I was lying
[16:06:10]	[OOC] Tanya L. Fredrickson: Well that's funny lol
[16:06:18]	[OOC] Jonathan Jackson: It was funny
[16:06:25]	[OOC] Jonathan Jackson: Now my guy literally dispises CPs
[16:06:36]	[OOC] Jonathan Jackson: Despise*
[16:07:07]	[OOC] Tanya L. Fredrickson: Tanya is sorta just bleh about occupation, she's a doctor who gets paid pretty well for her work, and really is just on the DL so as to not make enemies and gain more LP
[16:07:59]	[OOC] Jonathan Jackson: Makes sense, my guy is like that too about the combine, but after two incidents he most definitely thinks that Civil Protection is incompetent
[16:08:19]	[OOC] Tanya L. Fredrickson: yea- they are tanya thinks that too about some of them
[16:08:33]	Jonathan Jackson opened the '' #2810 container.
[16:08:33]	Jonathan Jackson closed the '' #2810 container.
[16:08:38]	[OOC] Tanya L. Fredrickson: If you wanna do passive just roll around the CMU for a checkup or something
[16:08:49]	[OOC] Jonathan Jackson: You should come EAT
[16:08:53]	[OOC] Jonathan Jackson: Eating is great
[16:08:57]	Jonathan Jackson ran 'View' on item 'Notepad' (#3069)
[16:09:36]	[OOC] Jonathan Jackson: I have opened my store recently and it is sucessful, you'd see the sign for it around because I don't metagame besides when I do :)
[16:11:07]	[OOC] Jonathan Jackson: Successful*
[16:11:14]	Jonathan Jackson ran 'Equip' on item 'CWU Commerce Shirt' (#29251)
[16:11:22]	[LOOC] Jonathan Jackson: My shirt was supposed to be on
[16:11:35]	Jonathan Jackson ran 'EquipUn' on item 'Respirator' (#28465)
[16:11:45]	[ME] Jonathan Jackson: takes off his respirator and puts it on the counter.
[16:13:52]	[ME] Jonathan Jackson: scratches his head and shrugs, "Sorry I can't help you with that."
[16:13:57]	Tanya L. Fredrickson ran 'View' on item 'Notepad' (#3069)
[16:14:03]	Tanya L. Fredrickson ran 'View' on item 'Notepad' (#3034)
[16:15:03]	[ME] Jonathan Jackson: tries to remember.
[16:15:33]	Jonathan Jackson used the 'Meat Fridge' vendor.
[16:17:52]	[LOOC] Jonathan Jackson: one sec
[16:18:02]	[LOOC] Jonathan Jackson: back
[16:20:20]	[IT] Jonathan Jackson: You hear some cabinets opening and closing in the back, as well as the sound of a cup being filled.
[16:20:29]	Jonathan Jackson used the 'Meat Fridge' vendor.
[16:20:31]	Jonathan Jackson has gained 0 tokens.
[16:20:31]	Jonathan Jackson has gained a 'Consulate Water' #30453.
[16:21:08]	[ME] Jonathan Jackson: places a glass holding some regular water inside of it on the counter, "Here you are."
[16:21:16]	[LOOC] Jonathan Jackson: Pretend that is the cup.
[16:21:22]	Jonathan Jackson ran 'drop' on item 'Consulate Water' (#30453)
[16:21:22]	Jonathan Jackson has lost a 'Consulate Water' #30453.
[16:21:56]	[ME] Tanya L. Fredrickson: takes out two small coins, handing them to the man.
[16:21:59]	Jonathan Jackson has gained 2 tokens.
[16:21:59]	Tanya L. Fredrickson has lost 2 tokens.
[16:21:59]	Tanya L. Fredrickson used command '/GiveTokens 2'.
[16:22:02]	Tanya L. Fredrickson ran 'take' on item 'Consulate Water' (#30453)
[16:22:02]	Tanya L. Fredrickson has gained a 'Consulate Water' #30453.
[16:22:10]	[ME] Jonathan Jackson: takes the coins, then opens the cash register
[16:22:30]	[ME] Jonathan Jackson: clicks the cash register closed.
[16:23:36]	[ME] Jonathan Jackson: chuckles a bit.
[16:24:43]	Jonathan Jackson opened the '' #148 container.
[16:24:48]	Jonathan Jackson has given 2 tokens to '' #148 (28 tokens left).
[16:24:49]	Jonathan Jackson closed the '' #148 container.
[16:26:54]	[ME] Jonathan Jackson: leans on the counter
[16:27:00]	[ME] Tanya L. Fredrickson: Sips at their water, removing their mask to reveal their deep chemical burns.
[16:27:03]	Tanya L. Fredrickson ran 'EquipUn' on item 'Respirator' (#28816)
[16:27:05]	Tanya L. Fredrickson ran 'Consume' on item 'Consulate Water' (#30453)
[16:27:39]	[ME] Jonathan Jackson: notices the chemical burns, assuming the person is injured.
[16:29:06]	Nums has connected.
[16:29:44]	Nums loaded the character 'CCA.C17-UNION.i5.77460'
[16:30:25]	[OOC] Jonathan Jackson: Welcome Mr. i5 who is bad at interrogations
[16:30:32]	[OOC] CCA.C17-UNION.i5.77460: hello
[16:31:29]	CCA.C17-UNION.i5.77460 ran 'Equip' on item 'USP Match' (#29146)
[16:33:18]	[ME] Jonathan Jackson: sighs, "Anyways, that's the situation."
[16:34:44]	CCA.C17-UNION.i5.77460 has gained 10 tokens.
[16:35:36]	[OOC] Jonathan Jackson: Virgin CP rp versus chad CWU rp
[16:37:44]	CCA.C17-UNION.i5.77460 opened the '' #2679 container.
[16:37:46]	CCA.C17-UNION.i5.77460 closed the '' #2679 container.
[16:39:10]	[OOC] Jonathan Jackson: Nums trying not to be on Combine 24/7.
[16:39:30]	[OOC] CCA.C17-UNION.i5.77460: Someones gotta be on Combine when no one else is
[16:39:34]	[ME] Tanya L. Fredrickson: shrugs...
[16:39:41]	[OOC] CCA.C17-UNION.i5.77460: plus my other character is sewer locked rn so
[16:39:44]	CCA.C17-UNION.i5.77460 has gained 10 tokens.
[16:39:46]	[OOC] Jonathan Jackson: f
[16:41:36]	CCA.C17-UNION.i5.77460 used command '/ActLean 2'.
[16:41:41]	CCA.C17-UNION.i5.77460 used command '/ActLean 1'.
[16:41:41]	CCA.C17-UNION.i5.77460 used command '/ExitAct'.
[16:41:44]	CCA.C17-UNION.i5.77460 used command '/ActLean 1'.
[16:41:52]	[OOC] CCA.C17-UNION.i5.77460: brb
[16:44:44]	CCA.C17-UNION.i5.77460 has gained 10 tokens.
[16:46:42]	[OOC] CCA.C17-UNION.i5.77460: returned
[16:46:46]	[OOC] Jonathan Jackson: Welcome
[16:47:00]	[OOC] CCA.C17-UNION.i5.77460: Thank ye.
[16:53:19]	CCA.C17-UNION.i5.77460 used command '/ExitAct'.
[16:53:41]	[ME] Jonathan Jackson: stretches his arms a bit and yawns.
[16:53:47]	Tanya L. Fredrickson ran 'Equip' on item 'Respirator' (#28816)
[16:54:44]	CCA.C17-UNION.i5.77460 has gained 10 tokens.
[16:55:01]	CCA.C17-UNION.i5.77460 ran 'Consume' on item 'UU Brand Absinthe' (#30324)
[16:55:01]	CCA.C17-UNION.i5.77460 has gained a 'Empty Glass Bottle' #30453.
[16:56:42]	[ME] Jonathan Jackson: stops leaning on the counter, and turns towards the door.
[16:56:51]	Jonathan Jackson opened the '' #2808 container.
[16:56:52]	Jonathan Jackson closed the '' #2808 container.
[16:56:55]	Jonathan Jackson opened the '' #2810 container.
[16:56:56]	Jonathan Jackson closed the '' #2810 container.
[16:57:11]	Painevan loaded the character 'Harold George'
[16:58:11]	[OOC] Harold George: Where's Mr Work Desk at?
[16:58:21]	Nums (STEAM_0:1:196547442) has disconnected.
[16:58:26]	[OOC] Harold George: ah oof
[16:58:31]	[OOC] Harold George: I'll flag I guess then
[16:58:35]	Painevan loaded the character 'CCA.C17-HELIX.i4.08874'
[16:59:05]	CCA.C17-HELIX.i4.08874 used command '/Radio 10-14'.
[17:00:40]	CCA.C17-HELIX.i4.08874 used command '/Radio 10-2'.
[17:00:53]	CCA.C17-HELIX.i4.08874 has spawned 'models/props_junk/PlasticCrate01a.mdl'.
[17:01:02]	CCA.C17-HELIX.i4.08874 has spawned 'models/props_junk/PopCan01a.mdl'.
