[00:01:09]	Mrchicken has connected.
[17:25:55]	CCA.C17-GRID.i5.80147 has gained 0 tokens.
[17:25:55]	CCA.C17-GRID.i5.80147 has gained a '9mm Pistol Bullets' #2260.
[17:25:56]	CCA.C17-GRID.i5.80147 has gained 0 tokens.
[17:25:56]	CCA.C17-GRID.i5.80147 has gained a '9mm Pistol Bullets' #2261.
[17:26:00]	Gabe Hill entered observer.
[17:26:01]	Gabe Hill entered observer.
[17:26:02]	Gabe Hill exited observer at their location.
[17:26:05]	Bluboi has connected.
[17:26:08]	Gabe Hill has killed Gabe Hill.
[17:26:08]	Oleg Rust has taken 93 damage from Gabe Hill.
[17:26:08]	Gabe Hill has killed Oleg Rust.
[17:26:14]	[OOC] Nikolai Vorchevski: what is server ip
[17:26:16]	[OOC] Oleg Rust: impaled
[17:26:16]	Gabe Hill entered observer.
[17:26:17]	Gabe Hill exited observer at their location.
[17:26:23]	Gabe Hill has killed Gabe Hill.
[17:26:23]	Gabe Hill destroyed a 'ID Card' #2114.
[17:26:23]	Gabe Hill entered observer.
[17:26:32]	CCA.C17-GRID.i5.80147 used the 'Armory Operator' vendor.
[17:26:32]	CCA.C17-GRID.i5.80147 used the 'Armory Operator' vendor.
[17:26:35]	CCA.C17-GRID.i5.80147 used the 'Armory Operator' vendor.
[17:26:41]	[OOC] Gabe Hill: 98.220.151.245
[17:26:41]	Gabe Hill entered observer.
[17:26:42]	Gabe Hill exited observer at their location.
[17:26:57]	RiverJungle loaded the character 'Guy Tastsuki'
[17:27:03]	Bluboi loaded the character 'CCA.C17.UNION-i5-91462'
[17:27:05]	KirtsteepAC has connected.
[17:27:16]	Oleg Rust has taken 10 damage from pill_ent_phys.
[17:27:20]	Gabe Hill entered observer.
[17:27:20]	Gabe Hill exited observer at their location.
[17:27:21]	Gabe Hill entered observer.
[17:27:22]	Gabe Hill exited observer at their location.
[17:27:32]	[OOC] CCA.C17.UNION-i5-91462: hello?
[17:27:33]	TFDTHEFIRST has connected.
[17:27:38]	[OOC] CCA.C17-GRID.i5.80147: bye
[17:27:39]	[OOC] Gabe Hill: hello
[17:27:47]	Gabe Hill entered observer.
[17:27:52]	Nikolai Vorchevski opened the '' #318 container.
[17:27:54]	Nikolai Vorchevski closed the '' #318 container.
[17:27:58]	CCA.C17.UNION-i5-91462 ran 'use' on item '9mm Pistol Bullets' (#2232)
[17:28:00]	CCA.C17.UNION-i5-91462 ran 'EquipUn' on item '.9mm Pistol' (#1849)
[17:28:00]	CCA.C17.UNION-i5-91462 ran 'Equip' on item '.9mm Pistol' (#1849)
[17:28:18]	[OOC] CCA.C17-GRID.i5.80147: why is the terminal fucking destroyed
[17:28:23]	[OOC] Oleg Rust: cbt
[17:28:23]	[OOC] Nikolai Vorchevski: why not
[17:28:40]	[OOC] Gabe Hill: is fix yet?
[17:28:43]	[OOC] Gabe Hill: no
[17:28:45]	[OOC] Gabe Hill: is not fix
[17:28:45]	[OOC] Guy Tastsuki: No
[17:28:45]	[OOC] CCA.C17-GRID.i5.80147: no
[17:28:50]	[OOC] CCA.C17-GRID.i5.80147: and we need a repair tool for terminals
[17:28:51]	[OOC] Gabe Hill: that fix did not fix
[17:28:55]	[OOC] CCA.C17-GRID.i5.80147: i mean the CID creation terminal
[17:29:01]	[OOC] Gabe Hill: watch as i do magic trick
[17:29:05]	[OOC] Gabe Hill: problem solve
[17:29:10]	[OOC] CCA.C17-GRID.i5.80147: o k
[17:29:11]	Gabe Hill exited observer at their location.
[17:29:14]	[OOC] CCA.C17-GRID.i5.80147: now solve IC chat
[17:29:14]	[OOC] Gabe Hill: i am back to work now
[17:29:17]	[OOC] Gabe Hill: farewell
[17:29:17]	Gabe Hill entered observer.
[17:29:21]	[OOC] CCA.C17-GRID.i5.80147: goo d gby e
[17:29:34]	[LOOC] CCA.C17.UNION-i5-91462: no running
[17:30:02]	[OOC] Guy Tastsuki: The apartmants are closed 
[17:30:08]	[OOC] CCA.C17-GRID.i5.80147: ima fix that
[17:30:10]	[OOC] CCA.C17.UNION-i5-91462: i got it
[17:30:16]	[OOC] CCA.C17-GRID.i5.80147: no fuck off
[17:30:22]	[OOC] CCA.C17.UNION-i5-91462: to late
[17:30:22]	[OOC] CCA.C17-GRID.i5.80147: ill be there first
[17:30:26]	[OOC] CCA.C17-GRID.i5.80147: aw man
[17:30:27]	OTA.C17-KING.i3.50919 entered observer.
[17:30:30]	CCA.C17-GRID.i5.80147 used command '/CharFallOver'.
[17:30:33]	CCA.C17-GRID.i5.80147 used command '/CharGetUp'.
[17:30:34]	CCA.C17-GRID.i5.80147 used command '/CharGetUp'.
[17:30:34]	[OOC] Nikolai Vorchevski: so we back in the mine
[17:30:35]	CCA.C17-GRID.i5.80147 used command '/CharGetUp'.
[17:30:35]	CCA.C17-GRID.i5.80147 used command '/CharGetUp'.
[17:30:48]	[OOC] CCA.C17-GRID.i5.80147: got our pickaxe swinging from side to side
[17:30:48]	KirtsteepAC loaded the character 'CCA.C17-UNION.i5.70205'
[17:30:58]	CCA.C17-GRID.i5.80147 used command '/CharGetUp'.
[17:31:03]	[OOC] Guy Tastsuki: HORRAY
[17:31:05]	[OOC] CCA.C17-GRID.i5.80147: also gabe dont check my inv for the love of god
[17:31:09]	[OOC] Gabe Hill: is fix?
[17:31:12]	[OOC] CCA.C17-GRID.i5.80147: yeah
[17:31:13]	[OOC] Guy Tastsuki: Bet
[17:31:16]	[OOC] CCA.C17-GRID.i5.80147: but dont look into my inv
[17:31:17]	[OOC] Gabe Hill: HOLY FUCK WHAT THAT FIXEDI T
[17:31:19]	[OOC] CCA.C17.UNION-i5-91462: fuck yes
[17:31:20]	[OOC] Oleg Rust: helll yeah
[17:31:21]	[OOC] CCA.C17-GRID.i5.80147: or i'll shoot up you, ghost man
[17:31:21]	Gabe Hill exited observer at their location.
[17:31:24]	Gabe Hill entered observer.
[17:31:24]	Gabe Hill exited observer at their location.
[17:31:26]	[LOOC] CCA.C17-GRID.i5.80147: n o
[17:31:27]	[OOC] Nikolai Vorchevski: THE IC CHAT WORKS
[17:31:30]	[OOC] Nikolai Vorchevski: YAY
[17:31:31]	Gabe Hill has gained a 'Zip Tie' #2262.
[17:31:31]	Gabe Hill used command '/CharGiveItem gabe zip'.
[17:31:32]	TFDTHEFIRST created the character 'Yugov Vladislav Borisovich'
[17:31:32]	Yugov Vladislav Borisovich has gained a 'Suitcase' #2263.
[17:31:32]	Yugov Vladislav Borisovich has gained a 'Relocation Coupon' #2264.
[17:31:32]	TFDTHEFIRST loaded the character 'Yugov Vladislav Borisovich'
[17:31:35]	Gabe Hill ran 'Use' on item 'Zip Tie' (#2262)
[17:31:38]	CCA.C17-UNION.i5.70205 used the 'Armory Operator' vendor.
[17:31:39]	[LOOC] CCA.C17-GRID.i5.80147: n o 
[17:31:42]	OTA.C17-KING.i3.50919 used command '/CharSearch'.
[17:31:43]	CCA.C17-UNION.i5.70205 has gained 0 tokens.
[17:31:43]	CCA.C17-UNION.i5.70205 has gained a '9mm Pistol Bullets' #2265.
[17:31:44]	CCA.C17-UNION.i5.70205 has gained 0 tokens.
[17:31:44]	CCA.C17-UNION.i5.70205 has gained a '9mm Pistol Bullets' #2266.
[17:31:44]	CCA.C17-UNION.i5.70205 has gained 0 tokens.
[17:31:45]	CCA.C17-UNION.i5.70205 has gained a '9mm Pistol Bullets' #2267.
[17:31:45]	CCA.C17-UNION.i5.70205 has gained 0 tokens.
[17:31:45]	CCA.C17-UNION.i5.70205 has gained a '9mm Pistol Bullets' #2268.
[17:31:45]	Gabe Hill used command '/CharSearch'.
[17:31:50]	[LOOC] CCA.C17-GRID.i5.80147: i may have increased my storage capabilities by a "Bit"
[17:31:50]	CCA.C17-UNION.i5.70205 ran 'use' on item '9mm Pistol Bullets' (#2268)
[17:31:52]	Nikolai Vorchevski ran 'Equip' on item 'Empty Bottle' (#1721)
[17:31:52]	CCA.C17-UNION.i5.70205 ran 'use' on item '9mm Pistol Bullets' (#2267)
[17:31:54]	CCA.C17-UNION.i5.70205 ran 'use' on item '9mm Pistol Bullets' (#2266)
[17:31:55]	CCA.C17-UNION.i5.70205 ran 'use' on item '9mm Pistol Bullets' (#2265)
[17:31:58]	Nikolai Vorchevski ran 'Equip' on item 'Empty Bottle' (#1721)
[17:31:58]	CCA.C17-UNION.i5.70205 ran 'Equip' on item '.9mm Pistol' (#1084)
[17:32:01]	[LOOC] CCA.C17-GRID.i5.80147: you guys do sell backpacks afterall
[17:32:06]	[LOOC] CCA.C17-GRID.i5.80147: still
[17:32:06]	Gabe Hill has taken 5 damage from CCA.C17.UNION-i5-91462.
[17:32:08]	[LOOC] CCA.C17-GRID.i5.80147: im annoyed 
[17:32:13]	[LOOC] CCA.C17-GRID.i5.80147: when other units dont have ammo
[17:32:20]	[LOOC] CCA.C17-GRID.i5.80147: and ask if anyone else has spare ammo
[17:32:26]	[LOOC] CCA.C17-GRID.i5.80147: so this is my solution to that problem
[17:32:33]	[OOC] CCA.C17-GRID.i5.80147: shit ra ti o 
[17:32:37]	[OOC] CCA.C17-GRID.i5.80147: ok rp time i guess
[17:32:44]	[OOC] CCA.C17.UNION-i5-91462: yes
[17:32:46]	Gabe Hill entered observer.
[17:32:47]	Gabe Hill exited observer at their location.
[17:32:52]	OTA.C17-KING.i3.50919 ran 'drop' on item 'Backpack' (#2090)
[17:32:52]	OTA.C17-KING.i3.50919 has lost a 'Backpack' #2090.
[17:32:52]	OTA.C17-KING.i3.50919 has lost a 'Health Vial' #2096.
[17:32:52]	OTA.C17-KING.i3.50919 has lost a '9mm Pistol Bullets' #2139.
[17:32:52]	OTA.C17-KING.i3.50919 has lost a '9mm Pistol Bullets' #2151.
[17:32:52]	OTA.C17-KING.i3.50919 has lost a 'Pulse-Rifle Energy' #2092.
[17:32:52]	OTA.C17-KING.i3.50919 has lost a 'Shotgun Shells' #2098.
[17:32:52]	OTA.C17-KING.i3.50919 has lost a 'Health Vial' #2097.
[17:32:53]	Gabe Hill entered observer.
[17:32:56]	execution_fire destroyed a 'Backpack' #2090.
[17:33:04]	[OOC] CCA.C17-GRID.i5.80147: 3 cp's, 1 kingpin & 4 rping citizens
[17:33:13]	Guy Tastsuki opened the '' #364 container.
[17:33:14]	Guy Tastsuki opened the '' #364 container.
[17:33:15]	Guy Tastsuki opened the '' #364 container.
[17:33:17]	Guy Tastsuki opened the '' #364 container.
[17:33:17]	[OOC] CCA.C17-GRID.i5.80147: 4-4
[17:33:18]	Guy Tastsuki opened the '' #364 container.
[17:33:19]	Guy Tastsuki opened the '' #364 container.
[17:33:25]	[OOC] CCA.C17-GRID.i5.80147: hm
[17:33:26]	[OOC] OTA.C17-KING.i3.50919: king isnt cp
[17:33:34]	[OOC] CCA.C17-GRID.i5.80147: thats why he is seperate
[17:33:35]	TFDTHEFIRST (STEAM_0:1:118687859) has disconnected.
[17:33:36]	[OOC] Gabe Hill: it's still combine
[17:33:41]	[OOC] CCA.C17-GRID.i5.80147: 3 cp's, 1 kingpin
[17:33:42]	CCA.C17-GRID.i5.80147 opened the '' #358 container.
[17:33:43]	[OOC] Gabe Hill: it's still bad for ratio
[17:33:44]	CCA.C17-GRID.i5.80147 closed the '' #358 container.
[17:33:45]	CCA.C17-GRID.i5.80147 opened the '' #360 container.
[17:33:48]	CCA.C17-GRID.i5.80147 closed the '' #360 container.
[17:33:49]	CCA.C17-GRID.i5.80147 opened the '' #357 container.
[17:33:51]	CCA.C17-GRID.i5.80147 closed the '' #357 container.
[17:34:02]	CCA.C17-GRID.i5.80147 used command '/PM gab how do i activate the ration sound t hi n g'.
[17:34:05]	CCA.C17-GRID.i5.80147 opened the '' #360 container.
[17:34:08]	CCA.C17-GRID.i5.80147 closed the '' #360 container.
[17:34:12]	CCA.C17-GRID.i5.80147 ran 'drop' on item 'Backpack' (#2154)
[17:34:12]	CCA.C17-GRID.i5.80147 has lost a 'Backpack' #2154.
[17:34:12]	CCA.C17-GRID.i5.80147 has lost a 'Zip Tie' #1223.
[17:34:15]	CCA.C17-GRID.i5.80147 opened the '' #360 container.
[17:34:16]	Gabe Hill used command '/PM grid.i5 I DID NOT GIVE PERMISSIONFOR RATION'.
[17:34:17]	CCA.C17-GRID.i5.80147 has gained a 'Ration' #1590.
[17:34:21]	CCA.C17-GRID.i5.80147 closed the '' #360 container.
[17:34:22]	Gabe Hill used command '/PM grid.i5 COMRADE'.
[17:34:25]	CCA.C17-GRID.i5.80147 used command '/PM gab i was just curious'.
[17:34:31]	CCA.C17-GRID.i5.80147 ran 'take' on item 'Backpack' (#2154)
[17:34:31]	CCA.C17-GRID.i5.80147 has gained a 'Backpack' #2154.
[17:34:31]	CCA.C17-GRID.i5.80147 has gained a 'Zip Tie' #1223.
[17:34:33]	Mr. Chief loaded the character 'CCA.C17-JUDGE.i2.58102'
[17:34:34]	Gabe Hill used command '/PM GRID.I5 I SHOOT YOU IN LEG'.
[17:34:35]	CCA.C17-JUDGE.i2.58102 entered observer.
[17:34:36]	CCA.C17-GRID.i5.80147 ran 'drop' on item 'Backpack' (#2154)
[17:34:36]	CCA.C17-GRID.i5.80147 has lost a 'Backpack' #2154.
[17:34:42]	CCA.C17-GRID.i5.80147 used command '/PM gab no'.
[17:34:49]	Gabe Hill used command '/PM grid.i5 it's by the nexus food court'.
[17:34:50]	CCA.C17-GRID.i5.80147 used command '/PM gab me shoot back'.
[17:34:50]	Deltaa has connected.
[17:34:55]	[LOOC] CCA.C17-JUDGE.i2.58102: warned judge*\
[17:34:59]	CCA.C17-GRID.i5.80147 used command '/PM gab where the fuck?'.
[17:35:01]	CCA.C17-GRID.i5.80147 used command '/PM gab oh'.
[17:35:05]	CCA.C17-GRID.i5.80147 used command '/PM gab where the storage room is?'.
[17:35:10]	Gabe Hill used command '/PM grid.i5 yes'.
[17:35:11]	[LOOC] Guy Tastsuki: Void that
[17:35:13]	Gabe Hill used command '/PM grid.i5 da'.
[17:35:15]	CCA.C17-GRID.i5.80147 used command '/PM gab o k'.
[17:35:22]	Deltaa loaded the character 'John Medlere'
[17:35:25]	[LOOC] CCA.C17-JUDGE.i2.58102: tfw union doesnt even know about the rebels
[17:35:39]	[OOC] CCA.C17.UNION-i5-91462: bruh
[17:35:44]	[OOC] Oleg Rust: bruh
[17:35:47]	CCA.C17.UNION-i5-91462 has gained 10 tokens.
[17:35:47]	CCA.C17-UNION.i5.70205 has gained 10 tokens.
[17:35:47]	CCA.C17-GRID.i5.80147 has gained 10 tokens.
[17:35:48]	CCA.C17-UNION.i5.70205 used command '/Radio Unit now avaliable, 10-8'.
[17:36:00]	CCA.C17-GRID.i5.80147 used command '/PM gab wait, do i ask you & judge for permission or just u or just jud g e'.
[17:36:03]	[OOC] John Medlere: gabe when i was questioned they took my id and i cant get back into the city
[17:36:08]	[OOC] CCA.C17.UNION-i5-91462: i was there when we did the breah and clear.
[17:36:12]	CCA.C17-JUDGE.i2.58102 used command '/Radio 10-4.'.
[17:36:29]	CCA.C17-GRID.i5.80147 used command '/PM jud who do i ask for perm if i want to give out the rations to the citizens'.
[17:36:33]	CCA.C17-GRID.i5.80147 used command '/PM jud you & gabe?'.
[17:36:49]	[OOC] CCA.C17-GRID.i5.80147: come get ur fucking cid
[17:36:52]	CCA.C17-JUDGE.i2.58102 used command '/PM grid the consul, or the highest ranked metropolice'.
[17:37:01]	[OOC] CCA.C17.UNION-i5-91462: wut?
[17:37:01]	CCA.C17-GRID.i5.80147 used command '/PM jud aka you rn'.
[17:37:06]	CCA.C17-JUDGE.i2.58102 used command '/PM grid yes'.
[17:37:31]	CCA.C17-JUDGE.i2.58102 ran 'Edit' on item 'Paper' (#1148)
[17:37:45]	CCA.C17-JUDGE.i2.58102 used command '/PM gabe whats the passcode for the rations'.
[17:37:48]	KirtsteepAC loaded the character 'Natalia Jones'
[17:37:50]	[LOOC] CCA.C17-GRID.i5.80147: just tell me your ingame name & last name
[17:38:00]	[LOOC] CCA.C17-GRID.i5.80147: or give me the travel card thing
[17:38:10]	TFDTHEFIRST has connected.
[17:38:30]	Natalia Jones ran 'Open' on item 'Ration' (#2063)
[17:38:30]	Natalia Jones has gained a 'Supplements' #2265.
[17:38:30]	Natalia Jones has gained 20 tokens.
[17:38:33]	Natalia Jones ran 'take' on item 'Breen's Water' (#2266)
[17:38:33]	Natalia Jones has gained a 'Breen's Water' #2266.
[17:38:38]	Natalia Jones ran 'Eat' on item 'Supplements' (#2265)
[17:38:39]	Natalia Jones ran 'Drink' on item 'Breen's Water' (#2266)
[17:38:42]	[LOOC] Nikolai Vorchevski: im tryna get somewhere really fast
[17:38:53]	CCA.C17-JUDGE.i2.58102 used command '/PM grid i'll do them in a minute here'.
[17:38:58]	CCA.C17-GRID.i5.80147 used command '/PM jud o k'.
[17:39:00]	Natalia Jones ran 'EquipUn' on item 'Crude Axe' (#1363)
[17:39:02]	Natalia Jones ran 'Equip' on item 'Crude Axe' (#1363)
[17:39:06]	CCA.C17-GRID.i5.80147 used command '/PM jud but me want to be the one givin out the rations bc me cool'.
[17:39:08]	Nikolai Vorchevski has gained 0 tokens.
[17:39:08]	Nikolai Vorchevski has purchased a door.
[17:39:08]	Nikolai Vorchevski used command '/DoorBuy'.
[17:39:11]	Natalia Jones ran 'Equip' on item 'Crude Axe' (#1363)
[17:39:16]	[Y] CCA.C17.UNION-i5-91462: <:: Walk like a normal person. ::>
[17:39:17]	Natalia Jones ran 'Equip' on item 'Crude Axe' (#1363)
[17:39:19]	Natalia Jones ran 'drop' on item 'Crude Axe' (#1363)
[17:39:19]	Natalia Jones has lost a 'Crude Axe' #1363.
[17:39:26]	CCA.C17-JUDGE.i2.58102 used command '/PM grid you can guard and make sure they dont cut in line'.
[17:39:28]	[ME] Nikolai Vorchevski: performs a Militärischergruß
[17:39:28]	Gabe Hill exited observer at their location.
[17:39:31]	CCA.C17-GRID.i5.80147 used command '/PM jud aw man'.
[17:39:33]	Gabe Hill has taken 5 damage from npc_headcrab_poison.
[17:39:33]	Gabe Hill has taken 89 damage from npc_headcrab_poison.
[17:39:33]	CCA.C17-JUDGE.i2.58102 has gained 10 tokens.
[17:39:41]	TFDTHEFIRST created the character 'Yugov Vladislav Borisovich'
[17:39:41]	Yugov Vladislav Borisovich has gained a 'Suitcase' #2265.
[17:39:41]	Yugov Vladislav Borisovich has gained a 'Relocation Coupon' #2266.
[17:39:41]	TFDTHEFIRST loaded the character 'Yugov Vladislav Borisovich'
[17:40:08]	CCA.C17-GRID.i5.80147 opened the '' #360 container.
[17:40:11]	CCA.C17-GRID.i5.80147 has gained a 'Ration' #1590.
[17:40:12]	CCA.C17-GRID.i5.80147 has gained a 'Ration' #1630.
[17:40:13]	CCA.C17-GRID.i5.80147 has gained a 'Ration Wrapper' #1601.
[17:40:14]	CCA.C17-JUDGE.i2.58102 used command '/PM gabe bruh'.
[17:40:14]	CCA.C17-GRID.i5.80147 has gained a 'Ration' #1707.
[17:40:15]	CCA.C17-GRID.i5.80147 closed the '' #360 container.
[17:40:15]	CCA.C17-GRID.i5.80147 opened the '' #357 container.
[17:40:15]	CCA.C17-GRID.i5.80147 closed the '' #357 container.
[17:40:18]	CCA.C17-GRID.i5.80147 ran 'take' on item 'Backpack' (#2154)
[17:40:19]	CCA.C17-JUDGE.i2.58102 ran 'take' on item 'Backpack' (#2154)
[17:40:19]	CCA.C17-JUDGE.i2.58102 has gained a 'Backpack' #2154.
[17:40:25]	CCA.C17-GRID.i5.80147 opened the '' #360 container.
[17:40:25]	CCA.C17-JUDGE.i2.58102 ran 'drop' on item 'Backpack' (#1103)
[17:40:25]	CCA.C17-JUDGE.i2.58102 has lost a 'Backpack' #1103.
[17:40:25]	CCA.C17-JUDGE.i2.58102 has lost a 'Health Kit' #1347.
[17:40:26]	CCA.C17-JUDGE.i2.58102 has lost a 'Health Vial' #1350.
[17:40:26]	CCA.C17-JUDGE.i2.58102 has lost a 'Health Kit' #1343.
[17:40:26]	CCA.C17-JUDGE.i2.58102 has lost a 'Health Vial' #1349.
[17:40:26]	CCA.C17-JUDGE.i2.58102 has lost a 'Health Kit' #1342.
[17:40:26]	CCA.C17-JUDGE.i2.58102 has lost a 'Health Kit' #1341.
[17:40:30]	CCA.C17-JUDGE.i2.58102 ran 'take' on item 'Backpack' (#1103)
[17:40:30]	CCA.C17-JUDGE.i2.58102 has gained a 'Backpack' #1103.
[17:40:30]	CCA.C17-JUDGE.i2.58102 has gained a 'Health Kit' #1347.
[17:40:30]	CCA.C17-JUDGE.i2.58102 has gained a 'Health Vial' #1350.
[17:40:30]	CCA.C17-JUDGE.i2.58102 has gained a 'Health Kit' #1343.
[17:40:30]	CCA.C17-JUDGE.i2.58102 has gained a 'Health Vial' #1349.
[17:40:30]	CCA.C17-JUDGE.i2.58102 has gained a 'Health Kit' #1342.
[17:40:30]	CCA.C17-JUDGE.i2.58102 has gained a 'Health Kit' #1341.
[17:40:34]	CCA.C17-GRID.i5.80147 closed the '' #360 container.
[17:40:40]	CCA.C17-JUDGE.i2.58102 ran 'drop' on item 'Backpack' (#1103)
[17:40:40]	CCA.C17-JUDGE.i2.58102 has lost a 'Backpack' #1103.
[17:40:47]	CCA.C17.UNION-i5-91462 has gained 10 tokens.
[17:40:47]	CCA.C17-GRID.i5.80147 has gained 10 tokens.
[17:40:55]	Gabe Hill has gained a 'Crude Axe' #2267.
[17:40:55]	Gabe Hill used command '/CreateCustomItem Crude Axe models/props/CS_militia/axe.mdl A crude axe.'.
[17:40:58]	Gabe Hill ran 'drop' on item 'Crude Axe' (#2267)
[17:40:58]	Gabe Hill has lost a 'Crude Axe' #2267.
[17:41:07]	CCA.C17-GRID.i5.80147 used command '/PM jud just tell me which button to press (like top right, bottom right) or smthin when its time'.
[17:41:07]	Deltaa created the character 'Andrei Kornich'
[17:41:07]	Andrei Kornich has gained a 'Suitcase' #2268.
[17:41:07]	Andrei Kornich has gained a 'Relocation Coupon' #2269.
[17:41:10]	CCA.C17-GRID.i5.80147 used command '/PM jud to announce it'.
[17:41:11]	Oleg Rust used command '/DoorBuy'.
[17:41:13]	Deltaa loaded the character 'Andrei Kornich'
[17:41:15]	CCA.C17-JUDGE.i2.58102 exited observer at their location.
[17:41:15]	CCA.C17-JUDGE.i2.58102 entered observer.
[17:41:20]	[LOOC] CCA.C17-GRID.i5.80147: that works too
[17:41:35]	Gabe Hill has gained a 'Crude Axe' #2270.
[17:41:35]	Gabe Hill used command '/CreateCustomItem Crude Axe models/props_canal/mattpipe.mdl A crude axe.'.
[17:41:43]	[OOC] Guy Tastsuki: Welp thats a prediciment
[17:41:48]	[OOC] Guy Tastsuki: I'm dumb
[17:41:49]	[OOC] Andrei Kornich: cp to entrance
[17:41:54]	[OOC] CCA.C17-GRID.i5.80147: fine
[17:41:59]	[OOC] CCA.C17-GRID.i5.80147: hold on
[17:42:09]	Andrei Kornich ran 'drop' on item 'Relocation Coupon' (#2269)
[17:42:09]	Andrei Kornich has lost a 'Relocation Coupon' #2269.
[17:42:11]	Andrei Kornich ran 'take' on item 'Relocation Coupon' (#2269)
[17:42:11]	Andrei Kornich has gained a 'Relocation Coupon' #2269.
[17:42:22]	[LOOC] Gabe Hill: 2845
[17:42:40]	Andrei Kornich ran 'drop' on item 'Relocation Coupon' (#2269)
[17:42:40]	Andrei Kornich has lost a 'Relocation Coupon' #2269.
[17:42:42]	Gabe Hill entered observer.
[17:42:42]	CCA.C17-GRID.i5.80147 ran 'take' on item 'Relocation Coupon' (#2269)
[17:42:42]	CCA.C17-GRID.i5.80147 has gained a 'Relocation Coupon' #2269.
[17:42:43]	Gabe Hill exited observer at their location.
[17:42:46]	CCA.C17-GRID.i5.80147 has gained a 'ID Card' #2271.
[17:42:46]	CCA.C17-GRID.i5.80147 has created a new CID with the name Andrei Kornich
[17:42:48]	CCA.C17-JUDGE.i2.58102 opened the 'Ration Storage' #163 container.
[17:42:49]	CCA.C17-GRID.i5.80147 ran 'drop' on item 'ID Card' (#2271)
[17:42:49]	CCA.C17-GRID.i5.80147 has lost a 'ID Card' #2271.
[17:42:49]	[LOOC] Guy Tastsuki: Idk
[17:42:51]	CCA.C17-JUDGE.i2.58102 closed the 'Ration Storage' #163 container.
[17:42:51]	Andrei Kornich ran 'take' on item 'ID Card' (#2271)
[17:42:51]	Andrei Kornich has gained a 'ID Card' #2271.
[17:42:53]	Gabe Hill entered observer.
[17:42:57]	Gabe Hill exited observer at their location.
[17:43:06]	Yugov Vladislav Borisovich ran 'drop' on item 'Relocation Coupon' (#2266)
[17:43:06]	Yugov Vladislav Borisovich has lost a 'Relocation Coupon' #2266.
[17:43:17]	CCA.C17-GRID.i5.80147 ran 'take' on item 'Relocation Coupon' (#2266)
[17:43:17]	CCA.C17-GRID.i5.80147 has gained a 'Relocation Coupon' #2266.
[17:43:23]	CCA.C17-GRID.i5.80147 has gained a 'ID Card' #2272.
[17:43:23]	CCA.C17-GRID.i5.80147 has created a new CID with the name Yugov Vladislav Borisovich
[17:43:25]	CCA.C17-GRID.i5.80147 ran 'drop' on item 'ID Card' (#2272)
[17:43:25]	CCA.C17-GRID.i5.80147 has lost a 'ID Card' #2272.
[17:43:29]	Yugov Vladislav Borisovich ran 'ViewRecord' on item 'ID Card' (#2272)
[17:43:37]	CCA.C17-GRID.i5.80147 ran 'drop' on item 'Relocation Coupon' (#2269)
[17:43:37]	CCA.C17-GRID.i5.80147 has lost a 'Relocation Coupon' #2269.
[17:43:38]	CCA.C17-GRID.i5.80147 ran 'drop' on item 'Relocation Coupon' (#2266)
[17:43:38]	CCA.C17-GRID.i5.80147 has lost a 'Relocation Coupon' #2266.
[17:43:39]	Yugov Vladislav Borisovich ran 'take' on item 'ID Card' (#2272)
[17:43:39]	Yugov Vladislav Borisovich has gained a 'ID Card' #2272.
[17:43:49]	Gabe Hill entered observer.
[17:43:49]	Gabe Hill exited observer at their location.
[17:44:01]	CCA.C17.UNION-i5-91462 ran 'take' on item 'Relocation Coupon' (#2266)
[17:44:01]	CCA.C17.UNION-i5-91462 has gained a 'Relocation Coupon' #2266.
[17:44:01]	matt saton loaded the character 'CCA.C17-GRID.i4.69192'
[17:44:03]	Deltaa (STEAM_0:1:471356017) has disconnected.
[17:44:04]	CCA.C17.UNION-i5-91462 ran 'take' on item 'Relocation Coupon' (#2269)
[17:44:04]	CCA.C17.UNION-i5-91462 has gained a 'Relocation Coupon' #2269.
[17:44:08]	CCA.C17-GRID.i4.69192 entered observer.
[17:44:10]	CCA.C17-JUDGE.i2.58102 exited observer at their location.
[17:44:11]	CCA.C17-GRID.i4.69192 exited observer at their location.
[17:44:12]	Natalia Jones has taken 10 damage from npc_zombie.
[17:44:13]	Guy Tastsuki has taken 250 damage from execution_hurt_2.
[17:44:13]	execution_hurt_2 has killed Guy Tastsuki.
[17:44:14]	CCA.C17-GRID.i4.69192 entered observer.
[17:44:16]	CCA.C17-GRID.i4.69192 exited observer at their location.
[17:44:16]	CCA.C17-GRID.i4.69192 entered observer.
[17:44:17]	CCA.C17-GRID.i4.69192 exited observer at their location.
[17:44:18]	Natalia Jones has taken 3 damage from npc_fastzombie.
[17:44:18]	Natalia Jones has taken 3 damage from npc_fastzombie.
[17:44:20]	CCA.C17-GRID.i4.69192 entered observer.
[17:44:20]	Natalia Jones has taken 3 damage from npc_fastzombie.
[17:44:21]	Natalia Jones has taken 3 damage from npc_fastzombie.
[17:44:21]	CCA.C17-JUDGE.i2.58102 entered observer.
[17:44:21]	Natalia Jones has taken 3 damage from npc_fastzombie.
[17:44:22]	Natalia Jones has taken 3 damage from npc_fastzombie.
[17:44:24]	Natalia Jones has taken 3 damage from npc_fastzombie.
[17:44:25]	Natalia Jones has taken 3 damage from npc_fastzombie.
[17:44:25]	Natalia Jones has taken 3 damage from npc_fastzombie.
