[00:00:00]	[OOC] Drake Salvador: Aiight
[14:32:16]	OTA.C08-ECHO.OSS.19520 exited observer at their location.
[14:32:20]	[OOC] OTA.C08-ECHO.OSS.19520: hey both of you sons of bitches
[14:32:24]	[OOC] Jim Bostello: what
[14:32:26]	[OOC] OTA.C08-ECHO.OSS.19520: also *you didn't get mingekilled*
[14:32:27]	[OOC] Andrew 'Razor' Gonzalez: hi
[14:32:34]	[OOC] Andrew 'Razor' Gonzalez: You're finally back
[14:32:39]	[OOC] OTA.C08-ECHO.OSS.19520: hold on so razor is getting processed differently
[14:32:43]	[OOC] OTA.C08-ECHO.OSS.19520: not in a bad way
[14:32:46]	[OOC] OTA.C08-ECHO.OSS.19520: jim is going back elsewhere
[14:32:47]	[OOC] Andrew 'Razor' Gonzalez: Also what're we doing back here
[14:32:48]	OTA.C08-ECHO.OSS.19520 entered observer.
[14:32:48]	OTA.C08-ECHO.OSS.19520 exited observer at their location.
[14:32:48]	Jim Bostello has taken 5 damage from npc_headcrab.
[14:32:49]	OTA.C08-ECHO.OSS.19520 entered observer.
[14:32:53]	OTA.C08-ECHO.OSS.19520 exited observer at their location.
[14:32:55]	OTA.C08-ECHO.OSS.19520 entered observer.
[14:32:55]	OTA.C08-ECHO.OSS.19520 exited observer at their location.
[14:32:56]	OTA.C08-ECHO.OSS.19520 entered observer.
[14:32:56]	OTA.C08-ECHO.OSS.19520 exited observer at their location.
[14:33:00]	[OOC] OTA.C08-ECHO.OSS.19520: event is over, train took you back
[14:33:01]	OTA.C08-ECHO.OSS.19520 entered observer.
[14:33:05]	OTA.C08-ECHO.OSS.19520 exited observer at their location.
[14:33:05]	[OOC] Jim Bostello: yeah uhh what happens after the event now
[14:33:08]	[OOC] Andrew 'Razor' Gonzalez: So the city is not in chaos?
[14:33:14]	[OOC] OTA.C08-ECHO.OSS.19520: nah they got it uner control
[14:33:22]	[OOC] Andrew 'Razor' Gonzalez: Guess we saved the city thanks to our hostage rescue
[14:33:29]	[OOC] OTA.C08-ECHO.OSS.19520: nah that was unrelated
[14:33:38]	[OOC] Andrew 'Razor' Gonzalez: *confused*
[14:33:48]	[OOC] Jim Bostello: so that whole duel was actually planned for the event??
[14:33:51]	OTA.C08-ECHO.OSS.19520 entered observer.
[14:33:52]	OTA.C08-ECHO.OSS.19520 exited observer at their location.
[14:33:56]	[OOC] OTA.C08-ECHO.OSS.19520: i didn't plan a single part of that event
[14:33:57]	OTA.C08-ECHO.OSS.19520 entered observer.
[14:34:02]	[OOC] Andrew 'Razor' Gonzalez: We literally thought we were going to-
[14:34:04]	OTA.C08-ECHO.OSS.19520 exited observer at their location.
[14:34:04]	OTA.C08-ECHO.OSS.19520 entered observer.
[14:34:05]	OTA.C08-ECHO.OSS.19520 exited observer at their location.
[14:34:06]	OTA.C08-ECHO.OSS.19520 entered observer.
[14:34:07]	OTA.C08-ECHO.OSS.19520 exited observer at their location.
[14:34:12]	OTA.C08-ECHO.OSS.19520 entered observer.
[14:34:14]	OTA.C08-ECHO.OSS.19520 exited observer at their location.
[14:34:20]	[OOC] Jim Bostello: welp, guess i got no ammo now then.
[14:34:27]	[OOC] OTA.C08-ECHO.OSS.19520: i'll reimburse you
[14:34:29]	OTA.C08-ECHO.OSS.19520 entered observer.
[14:34:47]	[OOC] Andrew 'Razor' Gonzalez: So to clarify, the city, train and such, was never related
[14:34:53]	[OOC] OTA.C08-ECHO.OSS.19520: the city was related to the event
[14:35:02]	[OOC] Andrew 'Razor' Gonzalez: And the rest?
[14:35:02]	[OOC] OTA.C08-ECHO.OSS.19520: but you left because the antlions were going to kill everyone
[14:35:12]	[OOC] OTA.C08-ECHO.OSS.19520: the rest was related yes, all of that was the event
[14:35:16]	[OOC] Jim Bostello: what about dispatch?
[14:35:40]	[OOC] OTA.C08-ECHO.OSS.19520: that was due to the power going out, although dispatch normally has a backup, so that's pretty weird that it went out. :thinking:
[14:35:54]	OTA.C08-ECHO.OSS.19520 used command '/CharDesc'.
[14:36:09]	[OOC] Andrew 'Razor' Gonzalez: Oh
[14:36:13]	OTA.C08-ECHO.OSS.19520 used command '/CharDesc 6'3" | AR2 Slung | Glowing Orangered Eyes'.
[14:36:24]	[OOC] OTA.C08-ECHO.OSS.19520: there's a lore reason for it but i'm not saying because it's a mystery 
[14:36:28]	OTA.C08-ECHO.OSS.19520 used command '/CharDesc'.
[14:36:34]	[OOC] Andrew 'Razor' Gonzalez: Alright, also we're blind
[14:36:35]	[OOC] Jim Bostello: so, what now?
[14:36:35]	OTA.C08-ECHO.OSS.19520 used command '/CharDesc 6'3" | AR2 Slung | Glowing Orangered Eyes | Blueish Armor'.
[14:36:42]	[OOC] OTA.C08-ECHO.OSS.19520: i'll get to you in a sec jim
[14:36:45]	Jim Bostello ran 'take' on item 'Armor Scraps' (#14040)
[14:36:45]	Jim Bostello has gained a 'Armor Scraps' #14040.
[14:36:45]	OTA.C08-ECHO.OSS.19520 exited observer at their location.
[14:36:46]	Jim Bostello ran 'take' on item 'Armor Scraps' (#14041)
[14:36:46]	Jim Bostello has gained a 'Armor Scraps' #14041.
[14:36:56]	[IT] OTA.C08-ECHO.OSS.19520: You arrive on the train back, finally. Felt like a long time.
[14:37:28]	Jim Bostello ran 'EquipUn' on item 'Green Citizen Suit' (#14007)
[14:37:32]	[IT] OTA.C08-ECHO.OSS.19520: You don't even open the door. Nobody else on the inside does. The door is opened up quite forcefully by an OTA unit with an AR2 pointing directly inside of the train.
[14:37:33]	OTA.C08-ECHO.OSS.19520 used command '/ToggleRaise'.
[14:37:34]	[ME] Andrew 'Razor' Gonzalez: would wipe his visor, looking at his cross before stuffing it into his shirt beneath
[14:37:36]	OTA.C08-ECHO.OSS.19520 used command '/ToggleRaise'.
[14:37:43]	Jim Bostello ran 'take' on item 'Black Beanie' (#10806)
[14:37:43]	Jim Bostello has gained a 'Black Beanie' #10806.
[14:37:43]	[Y] OTA.C08-ECHO.OSS.19520: <:: Get out, get out now! ::>
[14:37:43]	Jim Bostello ran 'take' on item 'Gloves' (#10808)
[14:37:45]	Jim Bostello ran 'Equip' on item 'Gloves' (#10808)
[14:37:46]	Jim Bostello ran 'Equip' on item 'Black Beanie' (#10806)
[14:37:51]	[ME] Andrew 'Razor' Gonzalez: would hop out, hands up.
[14:37:58]	[Y] OTA.C08-ECHO.OSS.19520: <:: Place the weapon on the ground, slowly. ::>
[14:38:10]	[ME] Andrew 'Razor' Gonzalez: would slowly put the weapon on the ground
[14:38:14]	Andrew 'Razor' Gonzalez ran 'drop' on item 'MP7' (#14136)
[14:38:14]	Andrew 'Razor' Gonzalez has lost a 'MP7' #14136.
[14:38:28]	[ME] OTA.C08-ECHO.OSS.19520: cautiously approaches the man, gun still pointed at him.
[14:39:03]	OTA.C08-ECHO.OSS.19520 used command '/CharFallOver 0.1'.
[14:39:04]	[ME] Andrew 'Razor' Gonzalez: facepalms his visor
[14:39:14]	[OOC] OTA.C08-ECHO.OSS.19520: me doesn't even react to his flagrant disrespect
[14:39:16]	[OOC] OTA.C08-ECHO.OSS.19520: fuck
[14:39:24]	[OOC] Andrew 'Razor' Gonzalez: Lmao
[14:39:29]	[ME] OTA.C08-ECHO.OSS.19520: doesn't even react to his flagrant disrespect. He just picks up the SMG and slings it, then gets his AR2 back in his hands.
[14:39:32]	OTA.C08-ECHO.OSS.19520 ran 'take' on item 'MP7' (#14136)
[14:39:32]	OTA.C08-ECHO.OSS.19520 has gained a 'MP7' #14136.
[14:39:33]	[OOC] Andrew 'Razor' Gonzalez: I'm not even integrated
[14:39:38]	[ME] OTA.C08-ECHO.OSS.19520: lowers his AR2.
[14:39:40]	OTA.C08-ECHO.OSS.19520 used command '/ToggleRaise'.
[14:39:41]	OTA.C08-ECHO.OSS.19520 used command '/ToggleRaise'.
[14:39:47]	OTA.C08-ECHO.OSS.19520 used command '/Radio This one is clean.'.
[14:40:27]	OTA.C08-ECHO.OSS.19520 ran 'EquipUn' on item 'LA71 (Pulse SMG)' (#1470)
[14:40:39]	[ME] Andrew 'Razor' Gonzalez: would take off his armor, putting it on the floor
[14:40:46]	[LOOC] Andrew 'Razor' Gonzalez: if I take it off I'm dead
[14:41:06]	[LOOC] OTA.C08-ECHO.OSS.19520: oh fuck
[14:41:11]	[LOOC] OTA.C08-ECHO.OSS.19520: do you not have your citizen suit
[14:41:14]	[LOOC] Andrew 'Razor' Gonzalez: ..nope
[14:41:18]	[LOOC] OTA.C08-ECHO.OSS.19520: okay hold on
[14:41:22]	[LOOC] OTA.C08-ECHO.OSS.19520: tell me IC
[14:42:23]	OTA.C08-ECHO.OSS.19520 has spawned a 'Entity [94][ix_airvent]'.
[14:42:24]	OTA.C08-ECHO.OSS.19520 entered observer.
[14:42:25]	OTA.C08-ECHO.OSS.19520 exited observer at their location.
[14:42:43]	[Y] OTA.C08-ECHO.OSS.19520: <:: Follow me. ::>
[14:42:56]	[LOOC] Andrew 'Razor' Gonzalez: this invis
[14:43:02]	[LOOC] OTA.C08-ECHO.OSS.19520: not for me, it's a fence
[14:43:03]	[LOOC] Andrew 'Razor' Gonzalez: Hm
[14:43:28]	[ME] Andrew 'Razor' Gonzalez: would take off his armor, putting it onto the floor
[14:43:31]	Andrew 'Razor' Gonzalez ran 'drop' on item 'Conscript Hazmat Armor' (#14139)
[14:43:31]	Andrew 'Razor' Gonzalez has lost a 'Conscript Hazmat Armor' #14139.
[14:44:05]	[ME] OTA.C08-ECHO.OSS.19520: picks up the suit and takes it away.
[14:44:29]	[Y] OTA.C08-ECHO.OSS.19520: <:: Requesting supply cache. ::>
[14:44:47]	[ME] OTA.C08-ECHO.OSS.19520: opens up the back doors on the APC and pulls out a citizen suit, seemingly brand now.
[14:44:49]	[LOOC] OTA.C08-ECHO.OSS.19520: new
[14:44:59]	[LOOC] OTA.C08-ECHO.OSS.19520: 0 is cyclopic
[14:45:02]	[LOOC] OTA.C08-ECHO.OSS.19520: 1 is green
[14:45:04]	[LOOC] OTA.C08-ECHO.OSS.19520: roll out of 1 pls
[14:45:10]	Andrew 'Razor' Gonzalez rolled 0 out of 1.
[14:45:10]	Andrew 'Razor' Gonzalez used command '/Roll 1'.
[14:45:12]	[OOC] Jim Bostello: all i hear every five minutes is *raaaaaaaWWWWWWRRRRR*
[14:45:12]	OTA.C08-ECHO.OSS.19520 used command '/adminspawnmenu'.
[14:45:18]	[LOOC] Andrew 'Razor' Gonzalez: Same one basically then
[14:45:25]	OTA.C08-ECHO.OSS.19520 has spawned "Cyclopic Citizen Suit"
[14:45:34]	OTA.C08-ECHO.OSS.19520 used command '/adminspawnmenu'.
[14:45:39]	OTA.C08-ECHO.OSS.19520 has spawned "Citizen Filter"
[14:45:39]	OTA.C08-ECHO.OSS.19520 has spawned "Citizen Filter"
[14:45:39]	OTA.C08-ECHO.OSS.19520 has spawned "Citizen Filter"
[14:45:44]	Andrew 'Razor' Gonzalez ran 'take' on item 'Cyclopic Citizen Suit' (#14171)
[14:45:44]	Andrew 'Razor' Gonzalez has gained a 'Cyclopic Citizen Suit' #14171.
[14:45:48]	Andrew 'Razor' Gonzalez ran 'take' on item 'Citizen Filter' (#14172)
[14:45:48]	Andrew 'Razor' Gonzalez has gained a 'Citizen Filter' #14172.
[14:45:50]	Andrew 'Razor' Gonzalez ran 'Equip' on item 'Cyclopic Citizen Suit' (#14171)
[14:45:53]	Andrew 'Razor' Gonzalez ran 'equip' on item 'OTA Filter' (#14094)
[14:45:59]	Andrew 'Razor' Gonzalez ran 'take' on item 'Citizen Filter' (#14173)
[14:45:59]	Andrew 'Razor' Gonzalez has gained a 'Citizen Filter' #14173.
[14:46:05]	[ME] OTA.C08-ECHO.OSS.19520: hands the man three filters as well.
[14:46:15]	[ME] Andrew 'Razor' Gonzalez: would put on the new suit and filter, stuffing the rest into his coat
[14:46:52]	[ME] Andrew 'Razor' Gonzalez: would go and face the wall
[14:46:55]	OTA.C08-ECHO.OSS.19520 used command '/Radio Subject has been given a suit, weapon and armor has been seized.'.
[14:47:01]	OTA.C08-ECHO.OSS.19520 has gained a 'Zip Tie' #14175.
[14:47:01]	OTA.C08-ECHO.OSS.19520 has gained a 'Zip Tie' #14176.
[14:47:01]	OTA.C08-ECHO.OSS.19520 used command '/CharGiveItem oss zip 2'.
[14:47:02]	[ME] OTA.C08-ECHO.OSS.19520: would proceed to tie the individual. Would they resist?
[14:47:21]	[LOOC] OTA.C08-ECHO.OSS.19520: you gonna resist bro
[14:47:25]	[LOOC] Andrew 'Razor' Gonzalez: No
[14:47:28]	[LOOC] OTA.C08-ECHO.OSS.19520: figured
[14:47:30]	[LOOC] Andrew 'Razor' Gonzalez: I'm dead if I do
[14:47:30]	[LOOC] OTA.C08-ECHO.OSS.19520: you'd be an idiot to
[14:47:33]	OTA.C08-ECHO.OSS.19520 ran 'Use' on item 'Zip Tie' (#14175)
[14:47:33]	[LOOC] Andrew 'Razor' Gonzalez: Yea
[14:47:47]	[ME] OTA.C08-ECHO.OSS.19520: would pat the citizen down, seraching them thoroughly.
[14:47:48]	OTA.C08-ECHO.OSS.19520 used command '/PlySearch'.
[14:47:51]	OTA.C08-ECHO.OSS.19520 has gained a 'Flashbang' #14151.
[14:48:00]	OTA.C08-ECHO.OSS.19520 has gained a 'OTA Filter' #14126.
[14:48:15]	OTA.C08-ECHO.OSS.19520 used command '/Radio Flashbang confiscated, individual has been cleaned.'.
[14:48:16]	[ME] OTA.C08-ECHO.OSS.19520: would take out his combat knife and cut the individual's ties.
[14:48:17]	Sgt. Salvador has connected.
[14:49:12]	[ME] Andrew 'Razor' Gonzalez: would turn around, leaning on the wall.
[14:49:12]	OTA.C08-ECHO.OSS.19520 entered observer.
[14:49:38]	Sgt. Salvador loaded the character 'Drake Salvador'
[14:49:45]	[OOC] OTA.C08-ECHO.OSS.19520: what's up, welcome back
[14:49:49]	[OOC] OTA.C08-ECHO.OSS.19520: i'll get to you in a sec
[14:49:57]	OTA.C08-ECHO.OSS.19520 used command '/CharGiveFlag oss Cc'.
[14:49:59]	OTA.C08-ECHO.OSS.19520 has spawned a 'Entity [94][gmod_sent_vehicle_fphysics_base]'.
[14:50:01]	OTA.C08-ECHO.OSS.19520 has spawned a 'Entity [94][gmod_sent_vehicle_fphysics_base]'.
[14:50:03]	OTA.C08-ECHO.OSS.19520 exited observer at their location.
[14:50:24]	Drake Salvador ran 'EquipUn' on item 'Conscript Hazmat Armor' (#14140)
[14:50:42]	Andrew 'Razor' Gonzalez ran 'take' on item 'Shovel' (#14053)
[14:50:46]	Andrew 'Razor' Gonzalez ran 'Consume' on item 'UU Brand Cheese' (#14116)
[14:50:49]	Andrew 'Razor' Gonzalez ran 'take' on item 'Shovel' (#14053)
[14:51:02]	[LOOC] Andrew 'Razor' Gonzalez: cant pick it up anyways
[14:51:10]	[ME] OTA.C08-ECHO.OSS.19520: opens up the back doors of the APC.
[14:51:18]	[ME] OTA.C08-ECHO.OSS.19520: would take out his combat knife and cut the individual's ties.
[14:51:19]	[ME] Andrew 'Razor' Gonzalez: would hop in the back
[14:51:23]	[LOOC] OTA.C08-ECHO.OSS.19520: this.. is not a two-seater
[14:51:27]	[LOOC] OTA.C08-ECHO.OSS.19520: fuck
[14:51:27]	[LOOC] Andrew 'Razor' Gonzalez: nice
[14:51:28]	Drake Salvador ran 'Equip' on item 'Conscript Hazmat Armor' (#14140)
[14:51:32]	Drake Salvador used command '/CharDesc'.
[14:51:35]	OTA.C08-ECHO.OSS.19520 has spawned a 'Entity [94][gmod_sent_vehicle_fphysics_base]'.
[14:51:35]	OTA.C08-ECHO.OSS.19520 entered observer.
[14:51:35]	Andrew 'Razor' Gonzalez has taken 10 damage from gmod_sent_vehicle_fphysics_base.
[14:51:37]	OTA.C08-ECHO.OSS.19520 has spawned a 'Entity [94][gmod_sent_vehicle_fphysics_base]'.
[14:51:38]	OTA.C08-ECHO.OSS.19520 exited observer at their location.
[14:52:34]	Drake Salvador used command '/CharDesc This man stands at 6'5", seeming to weigh around 200-215 LBS. Jet black hair and blue eyes. His voice is deep and raspy, with no prominent accent besides a hint of Southern here and there. Scars adorn his knuckles and a single vertical scar across his left eye. Bloodied bandages are wrapped around his left thigh and right shoulder down to his right elbow. His uniform looks badly damaged overall as if he just went through a war.'.
[14:53:16]	[ME] OTA.C08-ECHO.OSS.19520: opens up the back door of the APC.
[14:53:23]	[LOOC] OTA.C08-ECHO.OSS.19520: void
[14:53:25]	[ME] Andrew 'Razor' Gonzalez: would hop out, looking around
[14:53:31]	[ME] OTA.C08-ECHO.OSS.19520: locks the APC.
[14:54:15]	OTA.C08-ECHO.OSS.19520 used command '/ToggleRaise'.
[14:54:34]	OTA.C08-ECHO.OSS.19520 used command '/ToggleRaise'.
[14:55:40]	Drake Salvador used command '/ActLean'.
[14:55:41]	OTA.C08-ECHO.OSS.19520 entered observer.
[14:55:47]	matt saton loaded the character 'Freluci'
[14:55:49]	Freluci entered observer.
[14:56:06]	Freluci has spawned a 'NPC [324][npc_vortigaunt]'.
[14:56:10]	Freluci has spawned a 'NPC [324][npc_vortigaunt]'.
[14:56:51]	Drake Salvador used command '/ExitAct'.
[14:56:55]	[LOOC] Freluci: jim are you there
[14:57:09]	[LOOC] Freluci: fuck
[14:57:26]	Jim Bostello has taken 1 damage from worldspawn.
[14:57:26]	Jim Bostello has taken 1 damage from worldspawn.
[14:57:27]	Jim Bostello has taken 1 damage from worldspawn.
[14:57:28]	Jim Bostello has taken 1 damage from worldspawn.
[14:57:29]	Jim Bostello has taken 1 damage from worldspawn.
[14:57:29]	Jim Bostello has taken 1 damage from worldspawn.
[14:57:30]	Jim Bostello has taken 1 damage from worldspawn.
[14:57:31]	Jim Bostello has taken 1 damage from worldspawn.
[14:57:32]	Jim Bostello has taken 1 damage from worldspawn.
[14:57:32]	Jim Bostello has taken 1 damage from worldspawn.
[14:57:33]	Jim Bostello has taken 1 damage from worldspawn.
[14:57:34]	Jim Bostello has taken 1 damage from worldspawn.
[14:57:35]	Jim Bostello has taken 1 damage from worldspawn.
[14:57:35]	Jim Bostello has taken 1 damage from worldspawn.
[14:57:36]	[LOOC] Jim Bostello: yes im here
[14:57:36]	Jim Bostello has taken 1 damage from worldspawn.
[14:57:37]	Jim Bostello has taken 1 damage from worldspawn.
[14:57:38]	Freluci exited observer at their location.
[14:57:38]	Freluci has taken 1 damage from worldspawn.
[14:57:38]	Jim Bostello has taken 1 damage from worldspawn.
[14:57:38]	Freluci has taken 1 damage from worldspawn.
[14:57:38]	Freluci entered observer.
[14:57:39]	Jim Bostello has taken 1 damage from worldspawn.
[14:57:39]	Freluci exited observer at their location.
[14:57:39]	Freluci entered observer.
[14:57:39]	Freluci exited observer at their location.
[14:57:39]	Freluci has taken 1 damage from worldspawn.
[14:57:39]	Jim Bostello has taken 1 damage from worldspawn.
[14:57:40]	Freluci has taken 1 damage from worldspawn.
[14:57:40]	Jim Bostello has taken 1 damage from worldspawn.
[14:57:41]	Freluci has taken 1 damage from worldspawn.
[14:57:41]	Jim Bostello has taken 1 damage from worldspawn.
[14:57:41]	Freluci has taken 1 damage from worldspawn.
[14:57:42]	Jim Bostello has taken 1 damage from worldspawn.
[14:57:42]	Freluci has taken 1 damage from worldspawn.
[14:57:42]	Jim Bostello has taken 1 damage from worldspawn.
[14:57:43]	Freluci has taken 1 damage from worldspawn.
[14:57:43]	Jim Bostello has taken 1 damage from worldspawn.
[14:57:44]	Freluci has taken 1 damage from worldspawn.
[14:57:44]	Jim Bostello has taken 1 damage from worldspawn.
[14:57:45]	Freluci has taken 1 damage from worldspawn.
[14:57:45]	Jim Bostello has taken 1 damage from worldspawn.
[14:57:45]	Freluci has taken 1 damage from worldspawn.
[14:57:45]	Jim Bostello has taken 1 damage from worldspawn.
[14:57:46]	Freluci has taken 1 damage from worldspawn.
[14:57:46]	Jim Bostello has taken 1 damage from worldspawn.
[14:57:47]	Freluci has taken 1 damage from worldspawn.
[14:57:47]	Jim Bostello has taken 1 damage from worldspawn.
[14:57:48]	Freluci has taken 1 damage from worldspawn.
[14:57:48]	Jim Bostello has taken 1 damage from worldspawn.
[14:57:48]	Freluci has taken 1 damage from worldspawn.
[14:57:49]	Jim Bostello has taken 1 damage from worldspawn.
[14:57:49]	Freluci has taken 1 damage from worldspawn.
[14:57:49]	Jim Bostello has taken 1 damage from worldspawn.
[14:57:50]	Freluci has taken 1 damage from worldspawn.
[14:57:50]	Jim Bostello has taken 1 damage from worldspawn.
[14:57:51]	Freluci has taken 1 damage from worldspawn.
[14:57:51]	Jim Bostello has taken 1 damage from worldspawn.
[14:57:51]	Freluci has taken 1 damage from worldspawn.
[14:57:52]	Jim Bostello has taken 1 damage from worldspawn.
[14:57:52]	Freluci has taken 1 damage from worldspawn.
[14:57:52]	Jim Bostello has taken 1 damage from worldspawn.
[14:57:53]	Freluci has taken 1 damage from worldspawn.
[14:57:53]	Jim Bostello has taken 1 damage from worldspawn.
[14:57:54]	Freluci has taken 1 damage from worldspawn.
[14:57:54]	Jim Bostello has taken 1 damage from worldspawn.
[14:57:54]	Freluci has taken 1 damage from worldspawn.
[14:57:55]	Jim Bostello has taken 1 damage from worldspawn.
[14:57:55]	Freluci has taken 1 damage from worldspawn.
[14:57:56]	Jim Bostello has taken 1 damage from worldspawn.
[14:57:56]	Freluci has taken 1 damage from worldspawn.
[14:57:56]	Jim Bostello has taken 1 damage from worldspawn.
[14:57:57]	Freluci has taken 1 damage from worldspawn.
[14:57:57]	Jim Bostello has taken 1 damage from worldspawn.
[14:57:57]	matt saton loaded the character 'OTA.C08-ECHO.OSS.19520'
[14:57:58]	Jim Bostello ran 'Equip' on item 'Green Citizen Suit' (#14007)
[14:57:58]	OTA.C08-ECHO.OSS.19520 entered observer.
[14:58:00]	OTA.C08-ECHO.OSS.19520 exited observer at their location.
[14:58:01]	OTA.C08-ECHO.OSS.19520 entered observer.
[14:58:02]	OTA.C08-ECHO.OSS.19520 exited observer at their location.
[14:58:05]	OTA.C08-ECHO.OSS.19520 entered observer.
[14:58:09]	Jim Bostello used command '/PM ota yea im here'.
[14:58:11]	OTA.C08-ECHO.OSS.19520 exited observer at their location.
[14:58:12]	OTA.C08-ECHO.OSS.19520 entered observer.
[14:58:20]	matt saton loaded the character 'Freluci'
[14:58:20]	Freluci entered observer.
[14:58:28]	Freluci has spawned a 'NPC [94][npc_vortigaunt]'.
[14:58:41]	Drake Salvador ran 'EquipUn' on item 'MP7' (#14135)
[14:58:42]	Drake Salvador ran 'Equip' on item 'MP7' (#14135)
[14:59:26]	Freluci exited observer at their location.
[14:59:26]	Freluci has taken 1 damage from worldspawn.
[14:59:27]	Freluci has taken 1 damage from worldspawn.
[14:59:27]	Freluci entered observer.
[14:59:29]	Freluci has spawned a 'Entity [94][ix_airvent]'.
[14:59:36]	Freluci exited observer at their location.
[15:00:03]	Jim Bostello has taken 400 damage from Freluci.
[15:00:03]	Freluci has taken 50 damage from Freluci.
[15:00:09]	Drake Salvador has taken 5 damage from npc_headcrab_fast.
[15:00:09]	Freluci entered observer.
[15:00:09]	Freluci entered observer.
[15:00:10]	Drake Salvador has taken 5 damage from npc_headcrab_fast.
[15:00:17]	matt saton loaded the character 'OTA.C08-ECHO.OSS.19520'
[15:00:18]	OTA.C08-ECHO.OSS.19520 entered observer.
[15:00:22]	OTA.C08-ECHO.OSS.19520 exited observer at their location.
[15:00:28]	OTA.C08-ECHO.OSS.19520 entered observer.
[15:00:48]	OTA.C08-ECHO.OSS.19520 exited observer at their location.
[15:00:49]	OTA.C08-ECHO.OSS.19520 entered observer.
[15:00:50]	OTA.C08-ECHO.OSS.19520 exited observer at their location.
[15:01:10]	[ME] Jim Bostello: would feel over his chest, wincing.
[15:01:22]	[IT] OTA.C08-ECHO.OSS.19520: The train out felt like it took forever, but eventually it came to its end. Nobody inside the train opens the door. It's an overwatch soldier, with his gun pointed straight at you.
[15:01:27]	OTA.C08-ECHO.OSS.19520 used command '/ToggleRaise'.
[15:01:34]	[Y] OTA.C08-ECHO.OSS.19520: <:: Get out! Now! ::>
[15:01:37]	[OOC] Andrew 'Razor' Gonzalez: Brb need to take a piss
[15:02:26]	[ME] Drake Salvador: almost falls out of train, only landing on his feet to fall to his knees immediately, his MP7 falling from it's sling, clattering to the ground a good 5 feet away from him. He holds his right hand up as he uses his left hand to support himself.
[15:02:56]	[Y] OTA.C08-ECHO.OSS.19520: <:: Place the MP7 on the ground. Now!@. ::>
[15:02:58]	[LOOC] OTA.C08-ECHO.OSS.19520: Now!*
[15:03:05]	[LOOC] Drake Salvador: Oh it did, just forgot to drop it
[15:03:07]	[Y] OTA.C08-ECHO.OSS.19520: <:: I am aware of where you are from- ::>
[15:03:08]	Drake Salvador ran 'drop' on item 'MP7' (#14135)
[15:03:08]	Drake Salvador has lost a 'MP7' #14135.
[15:03:09]	[LOOC] OTA.C08-ECHO.OSS.19520: my bad
[15:03:09]	[OOC] Andrew 'Razor' Gonzalez: Back
[15:03:11]	[LOOC] OTA.C08-ECHO.OSS.19520: you sure did
[15:03:17]	OTA.C08-ECHO.OSS.19520 entered observer.
[15:03:24]	OTA.C08-ECHO.OSS.19520 exited observer at their location.
[15:03:27]	[LOOC] Drake Salvador: How the fuck
[15:03:27]	OTA.C08-ECHO.OSS.19520 used command '/CharFallOver 0.1'.
[15:03:28]	[LOOC] OTA.C08-ECHO.OSS.19520: got it
[15:03:54]	[ME] OTA.C08-ECHO.OSS.19520: approaches, slings his AR2, and picks up thew MP7
[15:03:57]	Jim Bostello ran 'EquipUn' on item 'Green Citizen Suit' (#14007)
[15:04:01]	OTA.C08-ECHO.OSS.19520 ran 'take' on item 'MP7' (#14135)
[15:04:03]	OTA.C08-ECHO.OSS.19520 ran 'drop' on item 'MP7' (#14136)
[15:04:03]	OTA.C08-ECHO.OSS.19520 has lost a 'MP7' #14136.
[15:04:04]	OTA.C08-ECHO.OSS.19520 ran 'drop' on item 'MP7' (#10373)
[15:04:04]	OTA.C08-ECHO.OSS.19520 has lost a 'MP7' #10373.
[15:04:04]	Jim Bostello ran 'drop' on item 'Black Beanie' (#10806)
[15:04:04]	Jim Bostello has lost a 'Black Beanie' #10806.
[15:04:05]	Jim Bostello ran 'drop' on item 'Gloves' (#10808)
[15:04:05]	Jim Bostello has lost a 'Gloves' #10808.
[15:04:06]	OTA.C08-ECHO.OSS.19520 ran 'drop' on item 'LA71 (Pulse SMG)' (#1470)
[15:04:06]	OTA.C08-ECHO.OSS.19520 has lost a 'LA71 (Pulse SMG)' #1470.
[15:04:10]	OTA.C08-ECHO.OSS.19520 ran 'take' on item 'MP7' (#14135)
[15:04:10]	OTA.C08-ECHO.OSS.19520 has gained a 'MP7' #14135.
[15:04:11]	OTA.C08-ECHO.OSS.19520 used command '/ToggleRaise'.
[15:04:32]	[ME] OTA.C08-ECHO.OSS.19520: unslings his AR2 and slings the MP7. He takes out the AR2, but keeps it lowered.
[15:04:38]	OTA.C08-ECHO.OSS.19520 used command '/ToggleRaise'.
[15:04:43]	Jim Bostello used command '/PM ota may i be *reimbursed* ;)'.
[15:04:52]	OTA.C08-ECHO.OSS.19520 used command '/PM jim take out your mp7'.
[15:05:16]	Jim Bostello used command '/PM ota its out'.
[15:05:17]	Andrew 'Razor' Gonzalez ran 'Consume' on item 'Flavored Consulate Water' (#13004)
[15:05:20]	[ME] Drake Salvador: glances up at the unit, before pulling his feet up from under him into a crouching position, before slowly raising himself up. "I don't know how much Dispatch was worth, but many people died for it. Many units too."
[15:05:27]	OTA.C08-ECHO.OSS.19520 used command '/PM jim take out your 357'.
[15:05:37]	[LOOC] OTA.C08-ECHO.OSS.19520: with
[15:05:47]	[OOC] Jim Bostello: i should really bind mat_specular 0
[15:05:53]	Jim Bostello used command '/Reply its out'.
