[01:29:33]	BlueBox has connected.
[19:10:54]	[Y] Jonathan Jackson: You lot let me know if you need anything.
[19:12:39]	CCA.C17-UNION.i5.94233 has gained 10 tokens.
[19:12:50]	Tony Ricci ran 'drop' on item 'Standard Grade Ration' (#37503)
[19:12:50]	Tony Ricci has lost a 'Standard Grade Ration' #37503.
[19:12:54]	Tony Ricci ran 'drop' on item 'UU Brand Gin' (#37514)
[19:12:54]	Tony Ricci has lost a 'UU Brand Gin' #37514.
[19:13:41]	[ME] Ava Carter: would lay down on the seat
[19:13:46]	Tony Ricci ran 'take' on item 'Standard Grade Ration' (#37503)
[19:13:46]	Tony Ricci has gained a 'Standard Grade Ration' #37503.
[19:14:19]	[ME] CCA.C17-UNION.i5.94233: The officer would take his PDA off of his belt and start punching some stuff in
[19:14:21]	[ME] Jonathan Jackson: washes his hands.
[19:14:25]	Tony Ricci ran 'take' on item 'UU Brand Gin' (#37514)
[19:14:25]	Tony Ricci has gained a 'UU Brand Gin' #37514.
[19:14:41]	Tony Ricci opened the 'Dumpster' #2736 container.
[19:14:42]	[ME] Ava Carter: would start to drift off into sleep
[19:14:46]	Tony Ricci closed the 'Dumpster' #2736 container.
[19:14:52]	Tony Ricci opened the 'Trash Bin' #2551 container.
[19:14:54]	Tony Ricci closed the 'Trash Bin' #2551 container.
[19:14:58]	[ME] Jonathan Jackson: shakes them to wake them up.
[19:14:59]	[ME] Ava Carter: would be startled
[19:15:12]	[LOOC] Ava Carter: half sober half drunk
[19:15:32]	[OOC] Tony Ricci: the urge to commit crimes is irresistible
[19:15:42]	Ava Carter used command '/Apply'.
[19:15:45]	CCA.C17-UNION.i5.94233 used command '/ViewData ava'.
[19:15:52]	Tony Ricci has gained a 'Empty Milk Gallon' #37519.
[19:15:55]	Tony Ricci opened the 'Infestation Control Footlocker' #3020 container.
[19:15:56]	Tony Ricci closed the 'Infestation Control Footlocker' #3020 container.
[19:15:57]	Tony Ricci opened the 'Dumpster' #252 container.
[19:15:59]	Tony Ricci closed the 'Dumpster' #252 container.
[19:16:00]	Tony Ricci opened the 'Dumpster' #2548 container.
[19:16:01]	Tony Ricci closed the 'Dumpster' #2548 container.
[19:16:06]	Tony Ricci ran 'View' on item 'Paper' (#23948)
[19:16:20]	[ME] Ava Carter: would get up and follow the man
[19:16:26]	Ava Carter has taken 1 damage from worldspawn.
[19:16:27]	Ava Carter has taken 1 damage from worldspawn.
[19:16:28]	Ava Carter has taken 1 damage from worldspawn.
[19:16:29]	[LOOC] CCA.C17-UNION.i5.94233: LMAOI
[19:16:30]	Ava Carter ran 'Equip' on item 'Respirator' (#37249)
[19:16:30]	[LOOC] CCA.C17-UNION.i5.94233: L
[19:16:33]	[LOOC] Ava Carter: SHUT
[19:17:23]	[OOC] Ava Carter: wait i thought i already had housing
[19:17:27]	[OOC] CCA.C17-UNION.i5.94233: idk
[19:17:29]	[OOC] CCA.C17-UNION.i5.94233: it isn't marked
[19:17:36]	[OOC] Ava Carter: somebody stole my house
[19:17:39]	CCA.C17-UNION.i5.94233 has gained 10 tokens.
[19:17:46]	[OOC] Jonathan Jackson: No housing L
[19:17:59]	[OOC] Ava Carter: this is a rebel char shut up
[19:18:35]	Kiff Sankase` has gained a 'Green Citizen Suit' #37520.
[19:18:35]	Kiff Sankase` has gained a 'Citizen Filter' #37521.
[19:18:35]	fuckus created the character 'Kiff Sankase`'
[19:18:35]	Kiff Sankase` has gained a 'Suitcase' #37522.
[19:18:35]	Kiff Sankase` has gained a 'Relocation Coupon' #37523.
[19:18:39]	fuckus loaded the character 'Kiff Sankase`'
[19:18:50]	Kiff Sankase` ran 'Equip' on item 'Green Citizen Suit' (#37520)
[19:18:51]	Kiff Sankase` ran 'equip' on item 'Citizen Filter' (#37521)
[19:18:56]	[ME] CCA.C17-UNION.i5.94233: Tosses her the key
[19:19:01]	CCA.C17-UNION.i5.94233 used command '/AddTenant ava'.
[19:19:07]	CCA.C17-UNION.i5.94233 used command '/ViewData ava'.
[19:19:11]	[ME] Ava Carter: would catch the key surprisingly
[19:19:13]	[OOC] Kiff Sankase`: yo can you process another character
[19:19:19]	[OOC] CCA.C17-UNION.i5.94233: ok
[19:19:30]	[OOC] Kiff Sankase`: this is the cool chara
[19:19:35]	[OOC] CCA.C17-UNION.i5.94233: at least your not a violent durnk
[19:19:38]	[OOC] CCA.C17-UNION.i5.94233: just a dumb one
[19:19:45]	[OOC] Ava Carter: shut up
[19:20:01]	[OOC] Ava Carter: i will jump out one of my damn windows
[19:20:07]	[OOC] CCA.C17-UNION.i5.94233: bet
[19:20:10]	[OOC] CCA.C17-UNION.i5.94233: one less problem
[19:20:19]	[OOC] Ava Carter: i thought u were my friend ;-;
[19:20:22]	[OOC] CCA.C17-UNION.i5.94233: I am not
[19:20:26]	Ava Carter ran 'drop' on item 'Empty Consulate Water Can' (#37492)
[19:20:26]	Ava Carter has lost a 'Empty Consulate Water Can' #37492.
[19:20:32]	Kiff Sankase` used command '/Apply'.
[19:20:36]	Painevan loaded the character 'Zombie'
[19:20:40]	Lildirtyharry04 has connected.
[19:20:41]	[LOOC] Kiff Sankase`: *yep
[19:20:44]	Kiff Sankase` ran 'drop' on item 'Relocation Coupon' (#37523)
[19:20:44]	Kiff Sankase` has lost a 'Relocation Coupon' #37523.
[19:20:54]	Zombie ran 'Equip' on item 'Pipe' (#30370)
[19:21:03]	CCA.C17-UNION.i5.94233 ran 'take' on item 'Relocation Coupon' (#37523)
[19:21:03]	CCA.C17-UNION.i5.94233 has gained a 'Relocation Coupon' #37523.
[19:21:11]	Lildirtyharry04 loaded the character 'Richard Barley'
[19:21:20]	CCA.C17-UNION.i5.94233 used command '/ViewData kiff'.
[19:21:24]	[OOC] Zombie: Skylar I am the danger
[19:21:38]	CCA.C17-UNION.i5.94233 used command '/ViewData kiff'.
[19:21:40]	Lildirtyharry04 (STEAM_0:0:247487472) has disconnected.
[19:21:46]	[OOC] Ava Carter: I WILL COME TO THE SEWERS AND BEAT YO ASS
[19:22:12]	CCA.C17-UNION.i5.94233 ran 'take' on item 'Citizen ID' (#37524)
[19:22:12]	CCA.C17-UNION.i5.94233 has gained a 'Citizen ID' #37524.
[19:22:14]	Ava Carter has taken 56 damage from worldspawn.
[19:22:14]	Ava Carter has taken 100 damage from worldspawn.
[19:22:14]	worldspawn has killed Ava Carter.
[19:22:18]	CCA.C17-UNION.i5.94233 ran 'drop' on item 'Citizen ID' (#37524)
[19:22:18]	CCA.C17-UNION.i5.94233 has lost a 'Citizen ID' #37524.
[19:22:20]	Kiff Sankase` ran 'take' on item 'Citizen ID' (#37524)
[19:22:20]	Kiff Sankase` has gained a 'Citizen ID' #37524.
[19:22:25]	CCA.C17-UNION.i5.94233 ran 'drop' on item 'Relocation Coupon' (#37523)
[19:22:25]	CCA.C17-UNION.i5.94233 has lost a 'Relocation Coupon' #37523.
[19:22:34]	[OOC] Ava Carter: fall dmg am i right?
[19:22:38]	[LOOC] Kiff Sankase`: time to secure pipe
[19:22:39]	CCA.C17-UNION.i5.94233 has gained 10 tokens.
[19:22:39]	[OOC] Zombie: L
[19:22:48]	Kiff Sankase` has gained a 'Empty Tin Can' #37525.
[19:23:34]	Kiff Sankase` has gained a 'Power Supply Unit' #37526.
[19:23:35]	Kiff Sankase` opened the 'Dumpster' #2684 container.
[19:23:40]	Kiff Sankase` closed the 'Dumpster' #2684 container.
[19:23:58]	Kiff Sankase` has gained a 'Screw Nuts' #37527.
[19:24:17]	Kiff Sankase` has gained a 'Wires' #37528.
[19:24:35]	Kiff Sankase` has gained a 'Old Newspaper' #37529.
[19:24:39]	Kiff Sankase` ran 'drop' on item 'Old Newspaper' (#37529)
[19:24:39]	Kiff Sankase` has lost a 'Old Newspaper' #37529.
[19:25:00]	[Y] CCA.C17-UNION.i5.94233: <:: Necrotics! ::>
[19:25:04]	Kiff Sankase` ran 'View' on item 'Paper' (#26647)
[19:25:25]	Kiff Sankase` has gained a 'Empty Paint Can' #37530.
[19:25:31]	CCA.C17-UNION.i5.94233 used command '/Radio Overwatch we have a necrotics situation'.
[19:25:32]	Kiff Sankase` has gained a 'Scrap Metal' #37531.
[19:25:36]	Kiff Sankase` opened the 'Dumpster' #2736 container.
[19:25:42]	Kiff Sankase` closed the 'Dumpster' #2736 container.
[19:25:57]	Kiff Sankase` opened the 'Dumpster' #2552 container.
[19:25:59]	Kiff Sankase` closed the 'Dumpster' #2552 container.
[19:26:03]	[Y] Ava Carter: TRY NOT TO DIE MR OFFICER!
[19:26:32]	Kiff Sankase` opened the 'Trash Bin' #2374 container.
[19:26:34]	Kiff Sankase` closed the 'Trash Bin' #2374 container.
[19:26:35]	Kiff Sankase` opened the 'Trash Bin' #308 container.
[19:26:37]	Kiff Sankase` closed the 'Trash Bin' #308 container.
[19:26:49]	[Y] Ava Carter: Hi!
[19:26:50]	Kiff Sankase` has gained a 'Light Bulb' #37532.
[19:26:52]	Kiff Sankase` opened the 'Dumpster' #252 container.
[19:26:54]	Kiff Sankase` closed the 'Dumpster' #252 container.
[19:26:54]	Kiff Sankase` opened the 'Dumpster' #2548 container.
[19:26:56]	Kiff Sankase` closed the 'Dumpster' #2548 container.
[19:27:16]	Kiff Sankase` has gained a 'Empty Chinese Takeout' #37533.
[19:27:39]	[LOOC] CCA.C17-UNION.i5.94233: know*
[19:27:39]	CCA.C17-UNION.i5.94233 has gained 10 tokens.
[19:27:48]	Kiff Sankase` opened the 'Toolbox' #3021 container.
[19:27:50]	Kiff Sankase` closed the 'Toolbox' #3021 container.
[19:28:02]	Kiff Sankase` has gained a 'Graphics Card' #37534.
[19:28:08]	Kiff Sankase` has gained a 'Screw Nuts' #37535.
[19:28:13]	Kiff Sankase` ran 'drop' on item 'Graphics Card' (#37534)
[19:28:13]	Kiff Sankase` has lost a 'Graphics Card' #37534.
[19:28:14]	Kiff Sankase` ran 'take' on item 'Graphics Card' (#37534)
[19:28:14]	Kiff Sankase` has gained a 'Graphics Card' #37534.
[19:28:35]	CCA.C17-UNION.i5.94233 used command '/Radio Dispatch we have a code'.
[19:28:36]	CCA.C17-UNION.i5.94233 used command '/Radio Code 2'.
[19:28:42]	Kiff Sankase` opened the 'Dumpster' #239 container.
[19:28:45]	Kiff Sankase` closed the 'Dumpster' #239 container.
[19:29:00]	Kiff Sankase` opened the 'Dumpster' #2684 container.
[19:29:00]	[Y] Ava Carter: Up there.
[19:29:02]	Kiff Sankase` closed the 'Dumpster' #2684 container.
[19:29:15]	[Y] CCA.C17-UNION.i5.94233: <:: Give chase. ::>
[19:29:49]	[Y] CCA.C17-UNION.i5.94233: <:: Citizen. ::>
[19:29:55]	[Y] CCA.C17-UNION.i5.94233: <:: Get out of here. ::>
[19:29:56]	Kiff Sankase` opened the 'Trash Bin' #308 container.
[19:29:56]	Kiff Sankase` closed the 'Trash Bin' #308 container.
[19:30:46]	[Y] Ava Carter: U FIND HIM.
[19:31:01]	[OOC] Ava Carter: fucking zombie
[19:31:11]	Kiff Sankase` opened the 'Dumpster' #239 container.
[19:31:13]	Kiff Sankase` closed the 'Dumpster' #239 container.
[19:31:13]	[OOC] Zombie: I am the one who stalks
[19:31:48]	[OOC] Ava Carter: 1v1 me rn zombie
[19:31:52]	[OOC] Ava Carter: u gonna due
[19:31:56]	[OOC] Ava Carter: bitch
[19:31:57]	[OOC] CCA.C17-UNION.i5.94233: don't give him more horde
[19:32:07]	[OOC] Ava Carter: FIGHT ME RN
[19:32:09]	[OOC] Ava Carter: NO BALLS
[19:32:30]	Kiff Sankase` opened the 'Trash Bin' #250 container.
[19:32:32]	Kiff Sankase` closed the 'Trash Bin' #250 container.
[19:32:33]	Kiff Sankase` opened the 'Trash Bin' #251 container.
[19:32:34]	Kiff Sankase` closed the 'Trash Bin' #251 container.
[19:32:37]	Kiff Sankase` ran 'View' on item 'Notepad' (#27669)
[19:32:39]	CCA.C17-UNION.i5.94233 has gained 10 tokens.
[19:32:41]	CCA.C17-UNION.i5.94233 used command '/Radio Code 2'.
[19:33:03]	Kiff Sankase` opened the 'Trash Bin' #2737 container.
[19:33:06]	Kiff Sankase` closed the 'Trash Bin' #2737 container.
[19:33:17]	Kiff Sankase` opened the 'Metal Cabinet' #2763 container.
[19:33:21]	Kiff Sankase` ran 'Edit' on item 'Notepad' (#29210)
[19:33:23]	Kiff Sankase` has gained a 'Notepad' #29210.
[19:33:23]	Kiff Sankase` closed the 'Metal Cabinet' #2763 container.
[19:33:38]	Kiff Sankase` has taken 10 damage from Zombie.
[19:33:40]	Kiff Sankase` has taken 10 damage from Zombie.
[19:33:41]	Kiff Sankase` has taken 10 damage from Zombie.
[19:33:43]	[OOC] Ava Carter: come on u pussy
[19:33:51]	[OOC] Ava Carter: where are u
[19:33:59]	[Y] Kiff Sankase`: THAT THING.
[19:34:03]	[Y] Kiff Sankase`: IS UP THERE.
[19:34:03]	[Y] CCA.C17-UNION.i5.94233: <:: Stay safe. ::>
[19:34:09]	[OOC] Ava Carter: IM READY TO FIGHT
[19:34:10]	[OOC] Kiff Sankase`: holy shit you scared me
[19:34:32]	[Y] CCA.C17-UNION.i5.94233: <:: Inject! ::>
[19:34:36]	CCA.C17-UNION.i5.94233 used command '/kickdoor'.
[19:34:38]	CCA.C17-UNION.i5.94233 used command '/kickdoor'.
[19:34:42]	CCA.C17-UNION.i5.94233 used command '/kickdoor'.
[19:34:50]	CCA.C17-UNION.i5.94233 used command '/kickdoor'.
[19:34:54]	CCA.C17-UNION.i5.94233 used command '/kickdoor'.
[19:34:56]	CCA.C17-UNION.i5.94233 used command '/kickdoor'.
[19:35:01]	CCA.C17-UNION.i5.94233 used command '/kickdoor'.
[19:36:58]	CCA.C17-UNION.i5.94233 used command '/Radio Responding'.
[19:37:39]	CCA.C17-UNION.i5.94233 has gained 10 tokens.
[19:37:57]	[OOC] Ava Carter: cmon zombie u pussy fight me
[19:38:14]	Kiff Sankase` ran 'Eat' on item 'Biotic Grade Food' (#37188)
[19:38:21]	Kiff Sankase` ran 'Eat' on item 'Biotic Grade Supplements' (#37189)
[19:38:39]	CCA.C17-UNION.i5.94233 used command '/kickdoor'.
[19:38:44]	CCA.C17-UNION.i5.94233 used command '/kickdoor'.
[19:38:50]	CCA.C17-UNION.i5.94233 used command '/kickdoor'.
[19:39:57]	[LOOC] Ava Carter: im still drunk btw
[19:40:02]	[LOOC] Kiff Sankase`: lmao
[19:41:10]	Kiff Sankase` has taken 93 damage from worldspawn.
[19:41:10]	worldspawn has killed Kiff Sankase`.
[19:41:43]	[LOOC] CCA.C17-UNION.i5.94233: void
[19:41:47]	CCA.C17-UNION.i5.94233 destroyed a 'Old Newspaper' #37529.
[19:42:08]	[OOC] Ava Carter: and then another zombie shows up
[19:42:29]	[Y] Ava Carter: YOU WANNA GO ZOMBIE.
[19:42:38]	Kiff Sankase` ran 'take' on item 'Pipe' (#37536)
[19:42:39]	CCA.C17-UNION.i5.94233 has gained 10 tokens.
[19:42:45]	Kiff Sankase` ran 'drop' on item 'Graphics Card' (#37534)
[19:42:45]	Kiff Sankase` has lost a 'Graphics Card' #37534.
[19:42:48]	Kiff Sankase` ran 'take' on item 'Pipe' (#37536)
[19:42:51]	Kiff Sankase` ran 'drop' on item 'Empty Chinese Takeout' (#37533)
[19:42:51]	Kiff Sankase` has lost a 'Empty Chinese Takeout' #37533.
[19:42:52]	Kiff Sankase` ran 'take' on item 'Pipe' (#37536)
[19:42:52]	Kiff Sankase` has gained a 'Pipe' #37536.
[19:43:17]	Ava Carter has taken 8 damage from Zombie.
[19:43:22]	Ava Carter has taken 8 damage from Zombie.
[19:43:23]	Ava Carter has taken 8 damage from Zombie.
[19:43:24]	Ava Carter has taken 8 damage from Zombie.
[19:43:26]	Ava Carter has taken 8 damage from Zombie.
[19:43:28]	[Y] Kiff Sankase`: Ha, you fucking idiot!
[19:43:33]	Ava Carter has taken 8 damage from Zombie.
[19:43:35]	Zombie has taken 5 damage from Ava Carter.
[19:43:35]	Ava Carter has taken 8 damage from Zombie.
[19:43:39]	[LOOC] Ava Carter: WAIT
[19:43:39]	Ava Carter has taken 8 damage from Zombie.
[19:43:41]	Ava Carter has taken 8 damage from Zombie.
[19:43:43]	Ava Carter has taken 8 damage from Zombie.
[19:43:44]	Ava Carter has taken 8 damage from Zombie.
[19:43:46]	Ava Carter has taken 8 damage from Zombie.
[19:43:46]	[LOOC] Ava Carter: am i even hitting you
[19:43:47]	Ava Carter has taken 8 damage from Zombie.
[19:43:48]	Ava Carter has taken 8 damage from Zombie.
[19:43:48]	Zombie has killed Ava Carter with weapon_hl2m_pipe.
[19:43:57]	[OOC] Ava Carter: evan am i even hitting you what
[19:44:04]	[OOC] Zombie: you hit me once
[19:44:13]	[OOC] Ava Carter: man the fists are so shit
[19:44:27]	[OOC] CCA.C17-UNION.i5.94233: this is why you get a request device
[19:44:32]	[OOC] CCA.C17-UNION.i5.94233: to call for help
[19:44:34]	[OOC] Ava Carter: fuck those
[19:44:42]	Kiff Sankase` has gained a 'Empty Tin Can' #37537.
[19:44:44]	Kiff Sankase` ran 'Equip' on item 'Pipe' (#37536)
[19:44:49]	Kiff Sankase` ran 'take' on item 'Scrap Metal' (#37457)
[19:44:49]	Kiff Sankase` has gained a 'Scrap Metal' #37457.
[19:44:54]	Kiff Sankase` has gained a 'Broken Clock' #37538.
[19:44:57]	Kiff Sankase` ran 'View' on item 'Paper' (#35355)
[19:44:59]	Kiff Sankase` ran 'View' on item 'Notepad' (#33309)
[19:45:01]	Kiff Sankase` ran 'Edit' on item 'Notepad' (#36044)
[19:45:03]	Ava Carter used the 'Shopkeeper Jim' vendor.
[19:45:06]	Ava Carter has lost 10 tokens.
[19:45:06]	Ava Carter has gained a 'Request Device' #37539.
[19:45:06]	Ava Carter has lost 10 tokens.
[19:45:06]	Ava Carter has gained a 'Request Device' #37540.
[19:45:07]	Ava Carter has lost 10 tokens.
[19:45:07]	Ava Carter has gained a 'Request Device' #37541.
[19:45:09]	Mal0 v0.9 has connected.
[19:45:17]	[OOC] Ava Carter: malo is getting on
[19:45:21]	[OOC] CCA.C17-UNION.i5.94233: oh no
[19:45:23]	[OOC] Zombie: who will be my next victim
[19:45:24]	[OOC] CCA.C17-UNION.i5.94233: im in danger
[19:45:32]	[OOC] Ava Carter: the milk monster is here
[19:45:32]	Kiff Sankase` has taken 3 damage from npc_fastzombie.
[19:45:33]	Kiff Sankase` has taken 3 damage from npc_fastzombie.
[19:45:36]	Ava Carter ran 'EquipUn' on item 'Reinforced Citizen Shirt' (#37331)
[19:45:37]	Kiff Sankase` has gained 20 tokens.
[19:45:37]	Ava Carter ran 'Equip' on item 'Reinforced Citizen Shirt' (#37331)
[19:45:47]	Ava Carter ran 'drop' on item 'Request Device' (#37541)
[19:45:47]	Ava Carter has lost a 'Request Device' #37541.
[19:45:48]	Ava Carter ran 'drop' on item 'Request Device' (#37540)
[19:45:48]	Ava Carter has lost a 'Request Device' #37540.
[19:46:05]	Kiff Sankase` ran 'take' on item 'Empty Chinese Takeout' (#36830)
[19:46:05]	Kiff Sankase` has gained a 'Empty Chinese Takeout' #36830.
[19:46:07]	Kiff Sankase` has gained a 'Empty Chinese Takeout' #37542.
[19:46:09]	[OOC] Ava Carter: how does a request device work
[19:46:09]	Kiff Sankase` ran 'take' on item 'Cyclopic Citizen Suit' (#36701)
[19:46:09]	Kiff Sankase` has gained a 'Cyclopic Citizen Suit' #36701.
[19:46:11]	Kiff Sankase` ran 'drop' on item 'Empty Chinese Takeout' (#37542)
[19:46:11]	Kiff Sankase` has lost a 'Empty Chinese Takeout' #37542.
[19:46:12]	Kiff Sankase` ran 'drop' on item 'Empty Chinese Takeout' (#36830)
[19:46:12]	Kiff Sankase` has lost a 'Empty Chinese Takeout' #36830.
[19:46:14]	[OOC] Zombie: /request
[19:46:15]	Kiff Sankase` ran 'drop' on item 'Cyclopic Citizen Suit' (#36701)
[19:46:15]	Kiff Sankase` has lost a 'Cyclopic Citizen Suit' #36701.
[19:46:16]	[OOC] CCA.C17-UNION.i5.94233: /request
[19:46:17]	Kiff Sankase` ran 'drop' on item 'Empty Tin Can' (#37537)
[19:46:17]	Kiff Sankase` has lost a 'Empty Tin Can' #37537.
[19:46:19]	[OOC] Ava Carter: ah
[19:46:23]	[OOC] Ava Carter: >:)
[19:46:27]	[OOC] CCA.C17-UNION.i5.94233: you gotta say your lcoation
[19:46:29]	Ava Carter used command '/Request'.
[19:46:36]	[OOC] Ava Carter: void that then
[19:46:37]	[OOC] CCA.C17-UNION.i5.94233: its /request then the reqyuest
[19:46:46]	[OOC] CCA.C17-UNION.i5.94233: also it reveals your identitty
[19:46:48]	[OOC] CCA.C17-UNION.i5.94233: identity
[19:46:51]	[OOC] Ava Carter: ik
[19:46:58]	Kiff Sankase` ran 'take' on item 'Notepad' (#36135)
[19:46:58]	Kiff Sankase` has gained a 'Notepad' #36135.
[19:47:01]	Kiff Sankase` ran 'Edit' on item 'Notepad' (#29210)
[19:47:04]	Ava Carter used command '/Request THE ZOMBIE IS AT THE GROTTO'.
[19:47:07]	Ava Carter ran 'drop' on item 'Request Device' (#37539)
[19:47:07]	Ava Carter has lost a 'Request Device' #37539.
[19:47:29]	[Y] CCA.C17-UNION.i5.94233: <:: Lock! ::>
[19:47:31]	[Y] CCA.C17-UNION.i5.94233: <:: Inject! ::>
[19:47:32]	Mal0 v0.9 loaded the character 'Smith Lee Jhones'
[19:47:38]	[OOC] Ava Carter: im just messing with you lmao the zombie isn't real
[19:47:39]	CCA.C17-UNION.i5.94233 has gained 10 tokens.
[19:47:41]	Kiff Sankase` has gained a 'Scrap Wood' #37544.
[19:47:41]	[OOC] Smith Lee Jhones: I am here hoes
[19:47:44]	Kiff Sankase` ran 'take' on item 'Paper' (#36873)
[19:47:44]	Kiff Sankase` has gained a 'Paper' #36873.
[19:47:47]	[OOC] CCA.C17-UNION.i5.94233: FUCK YOU AVA
[19:47:48]	Kiff Sankase` ran 'Edit' on item 'Paper' (#36873)
[19:47:50]	Kiff Sankase` ran 'drop' on item 'Paper' (#36873)
[19:47:50]	Kiff Sankase` has lost a 'Paper' #36873.
[19:47:52]	[OOC] CCA.C17-UNION.i5.94233: YOUR WANTED NOW
[19:47:55]	Kiff Sankase` has taken 5 damage from npc_headcrab_poison.
[19:47:55]	Kiff Sankase` has taken 88 damage from npc_headcrab_poison.
[19:48:01]	[OOC] Ava Carter: i did nothing
[19:48:29]	[OOC] CCA.C17-UNION.i5.94233: you need processing
[19:48:30]	[OOC] Zombie: I hear you
[19:48:31]	[OOC] CCA.C17-UNION.i5.94233: malo
[19:48:42]	[OOC] Smith Lee Jhones: yeee lemmme in
[19:48:57]	[OOC] Ava Carter: zombie i ain't coming for ya
[19:49:00]	[OOC] Ava Carter: at least yet
[19:49:10]	Kiff Sankase` has taken 10 damage from Zombie.
[19:49:11]	Kiff Sankase` has taken 10 damage from Zombie.
[19:49:11]	Kiff Sankase` has taken 10 damage from npc_poisonzombie.
[19:49:11]	Zombie has taken 9 damage from Kiff Sankase`.
[19:49:13]	Zombie has taken 9 damage from Kiff Sankase`.
[19:49:13]	Kiff Sankase` has taken 10 damage from Zombie.
[19:49:14]	Zombie has taken 9 damage from Kiff Sankase`.
[19:49:15]	Kiff Sankase` has taken 10 damage from Zombie.
[19:49:16]	Kiff Sankase` has taken 10 damage from Zombie.
[19:49:16]	Zombie has taken 10 damage from npc_poisonzombie.
[19:49:16]	Kiff Sankase` has taken 10 damage from npc_poisonzombie.
[19:49:16]	Zombie has taken 9 damage from Kiff Sankase`.
[19:49:17]	Kiff Sankase` has taken 10 damage from Zombie.
[19:49:17]	Zombie has taken 9 damage from Kiff Sankase`.
[19:49:17]	Zombie has taken 10 damage from npc_poisonzombie.
[19:49:17]	Kiff Sankase` has taken 10 damage from npc_poisonzombie.
[19:49:18]	Kiff Sankase` has taken 10 damage from Zombie.
[19:49:18]	Zombie has killed Kiff Sankase` with weapon_hl2m_pipe.
[19:49:28]	[Y] Smith Lee Jhones: LEMME IN.
[19:49:29]	[OOC] Zombie: another victim claimed
[19:49:31]	[OOC] Kiff Sankase`: I WAS SO CLOOSE TO MY LOOT
[19:49:40]	Ava Carter has taken 8 damage from Zombie.
[19:49:41]	[LOOC] Smith Lee Jhones: boo
[19:49:47]	Smith Lee Jhones used command '/Apply'.
[19:49:56]	[LOOC] Smith Lee Jhones: 69 OHHHHHH
[19:50:01]	[OOC] CCA.C17-UNION.i5.94233: AYYY
[19:50:04]	Kiff Sankase` ran 'Equip' on item 'Pipe' (#37536)
[19:50:11]	Smith Lee Jhones ran 'drop' on item 'Relocation Coupon' (#37444)
[19:50:11]	Smith Lee Jhones has lost a 'Relocation Coupon' #37444.
[19:50:13]	CCA.C17-UNION.i5.94233 ran 'take' on item 'Relocation Coupon' (#37444)
[19:50:13]	CCA.C17-UNION.i5.94233 has gained a 'Relocation Coupon' #37444.
[19:50:20]	[LOOC] CCA.C17-UNION.i5.94233: birth*
[19:50:34]	[LOOC] Smith Lee Jhones: what year is this shit set in?
[19:50:35]	Bean has connected.
[19:50:38]	[LOOC] Smith Lee Jhones: i forgor
[19:50:41]	[LOOC] CCA.C17-UNION.i5.94233: 2006 earliest you can be is 85
[19:50:43]	CCA.C17-UNION.i5.94233 ran 'take' on item 'Citizen ID' (#37545)
[19:50:43]	CCA.C17-UNION.i5.94233 has gained a 'Citizen ID' #37545.
[19:50:48]	CCA.C17-UNION.i5.94233 ran 'drop' on item 'Relocation Coupon' (#37444)
[19:50:48]	CCA.C17-UNION.i5.94233 has lost a 'Relocation Coupon' #37444.
[19:50:49]	[OOC] Ava Carter: zombie you messed up
[19:51:02]	Bean loaded the character 'Alex Palovichov'
[19:51:03]	Alex Palovichov entered observer.
[19:51:10]	Ava Carter ran 'take' on item 'Pipe' (#34542)
[19:51:14]	Kiff Sankase` has gained a 'Empty Milk Gallon' #37546.
[19:51:15]	[OOC] Alex Palovichov: Wazuuuuup
[19:51:17]	[OOC] CCA.C17-UNION.i5.94233: ICT I GOT A JOB FOR YOU
[19:51:18]	Ava Carter ran 'take' on item 'Pipe' (#34542)
[19:51:18]	Ava Carter has gained a 'Pipe' #34542.
[19:51:20]	[OOC] Zombie: I am a terror
[19:51:24]	[OOC] Alex Palovichov: Mmm.
[19:51:24]	Ava Carter ran 'Equip' on item 'Pipe' (#34542)
[19:51:30]	[OOC] CCA.C17-UNION.i5.94233: you kill zombies and sewer shit right
[19:51:32]	[OOC] Ava Carter: IM READY NOW
[19:51:33]	[OOC] Alex Palovichov: TECHNICALLY! I don't do ground work...
[19:51:33]	[OOC] CCA.C17-UNION.i5.94233: or deal with sewer shit
[19:51:39]	Kiff Sankase` has gained 30 tokens.
[19:51:41]	Ava Carter ran 'Consume' on item 'Loyalist Grade Food Product (Lemon Flavor)' (#34214)
[19:51:44]	[OOC] Alex Palovichov: TECHNICALLY! I don't do sewer work
[19:51:51]	Kiff Sankase` has gained a 'Empty Paint Can' #37547.
[19:51:54]	[OOC] Ava Carter: THAT'S his other char
[19:51:59]	[ME] Smith Lee Jhones: looks in pants
[19:52:04]	[OOC] Alex Palovichov: Anyway...Who wants a mini-event
[19:52:10]	CCA.C17-UNION.i5.94233 used command '/ViewData Smith'.
[19:52:11]	[OOC] Alex Palovichov: This'll take some...keen eyes...
[19:52:14]	[OOC] Zombie: zombin
[19:52:15]	[OOC] Ava Carter: me but lemme kill this zombie first
[19:52:20]	Alex Palovichov ran 'EquipUn' on item 'CWU Leadership Suit' (#24484)
[19:52:21]	Alex Palovichov ran 'Equip' on item 'CWU Leadership Suit' (#24484)
[19:52:23]	CCA.C17-UNION.i5.94233 used command '/ViewData Smith'.
[19:52:24]	Alex Palovichov exited observer at their location.
