[00:00:31]	[LOOC] Ryan Marnett: septembmer
[12:43:12]	Karl Von Habsburg entered observer.
[12:43:13]	Karl Von Habsburg exited observer at their location.
[12:43:15]	Karl Von Habsburg entered observer.
[12:43:56]	Karl Von Habsburg exited observer at their location.
[12:43:56]	Karl Von Habsburg entered observer.
[12:43:56]	Karl Von Habsburg exited observer at their location.
[12:43:57]	Karl Von Habsburg entered observer.
[12:43:58]	Karl Von Habsburg exited observer at their location.
[12:43:58]	Karl Von Habsburg entered observer.
[12:43:58]	Karl Von Habsburg exited observer at their location.
[12:43:59]	Karl Von Habsburg entered observer.
[12:43:59]	Karl Von Habsburg exited observer at their location.
[12:44:00]	Karl Von Habsburg entered observer.
[12:44:00]	Karl Von Habsburg exited observer at their location.
[12:44:01]	Karl Von Habsburg entered observer.
[12:44:23]	Karl Von Habsburg exited observer at their location.
[12:44:24]	Karl Von Habsburg has taken 15 damage from worldspawn.
[12:44:25]	Karl Von Habsburg entered observer.
[12:45:46]	Karl Von Habsburg exited observer at their location.
[12:45:47]	Karl Von Habsburg has taken 1 damage from worldspawn.
[12:45:49]	Karl Von Habsburg entered observer.
[12:45:50]	Karl Von Habsburg exited observer at their location.
[12:45:51]	Karl Von Habsburg entered observer.
[12:45:51]	Karl Von Habsburg exited observer at their location.
[12:45:53]	Karl Von Habsburg entered observer.
[12:45:53]	Karl Von Habsburg exited observer at their location.
[12:45:54]	Karl Von Habsburg entered observer.
[12:45:54]	Karl Von Habsburg exited observer at their location.
[12:45:57]	Karl Von Habsburg entered observer.
[12:45:57]	Karl Von Habsburg exited observer at their location.
[12:46:00]	Karl Von Habsburg entered observer.
[12:46:02]	Karl Von Habsburg exited observer at their location.
[12:46:04]	Karl Von Habsburg entered observer.
[12:46:04]	Karl Von Habsburg exited observer at their location.
[12:46:05]	Karl Von Habsburg entered observer.
[12:46:06]	Karl Von Habsburg exited observer at their location.
[12:46:07]	Karl Von Habsburg entered observer.
[12:46:08]	Karl Von Habsburg exited observer at their location.
[12:46:09]	Karl Von Habsburg has taken 1 damage from worldspawn.
[12:46:10]	Karl Von Habsburg entered observer.
[12:46:10]	Karl Von Habsburg exited observer at their location.
[12:46:11]	Karl Von Habsburg entered observer.
[12:46:11]	Karl Von Habsburg exited observer at their location.
[12:46:39]	Karl Von Habsburg entered observer.
[12:46:40]	Karl Von Habsburg exited observer at their location.
[12:46:50]	Karl Von Habsburg has spawned a 'NPC [1766][npc_zombine]'.
[12:47:04]	Karl Von Habsburg entered observer.
[12:47:06]	Karl Von Habsburg has spawned a 'NPC [1766][npc_fastzombie]'.
[12:47:07]	Karl Von Habsburg exited observer at their location.
[12:47:08]	Karl Von Habsburg entered observer.
[12:47:08]	Karl Von Habsburg exited observer at their location.
[12:47:09]	Karl Von Habsburg has taken 5 damage from npc_fastzombie.
[12:47:14]	Karl Von Habsburg has spawned a 'NPC [3189][npc_poisonzombie]'.
[12:48:06]	Karl Von Habsburg entered observer.
[12:48:12]	Karl Von Habsburg exited observer at their location.
[12:48:43]	Karl Von Habsburg entered observer.
[12:48:44]	Karl Von Habsburg exited observer at their location.
[12:48:44]	Karl Von Habsburg entered observer.
[12:48:44]	Karl Von Habsburg exited observer at their location.
[12:48:45]	Karl Von Habsburg entered observer.
[12:48:45]	Karl Von Habsburg exited observer at their location.
[12:48:45]	Karl Von Habsburg entered observer.
[12:48:45]	Karl Von Habsburg exited observer at their location.
[12:48:47]	Karl Von Habsburg entered observer.
[12:48:47]	Karl Von Habsburg exited observer at their location.
[12:48:50]	Karl Von Habsburg entered observer.
[12:48:50]	Karl Von Habsburg exited observer at their location.
[12:48:51]	Karl Von Habsburg entered observer.
[12:48:51]	Karl Von Habsburg exited observer at their location.
[12:48:55]	Karl Von Habsburg entered observer.
[12:48:55]	Karl Von Habsburg exited observer at their location.
[12:48:56]	Karl Von Habsburg entered observer.
[12:48:56]	Karl Von Habsburg exited observer at their location.
[12:49:19]	Karl Von Habsburg has killed Karl Von Habsburg.
[12:50:16]	Karl Von Habsburg entered observer.
[12:50:19]	Karl Von Habsburg exited observer at their location.
[12:50:21]	Karl Von Habsburg entered observer.
[12:50:21]	Karl Von Habsburg exited observer at their location.
[12:50:22]	Karl Von Habsburg entered observer.
[12:50:23]	Karl Von Habsburg exited observer at their location.
[12:50:23]	Karl Von Habsburg entered observer.
[12:50:24]	Karl Von Habsburg exited observer at their location.
[12:50:24]	Karl Von Habsburg entered observer.
[12:50:24]	Karl Von Habsburg exited observer at their location.
[12:50:25]	Karl Von Habsburg entered observer.
[12:50:25]	Karl Von Habsburg exited observer at their location.
[12:50:26]	Karl Von Habsburg entered observer.
[12:50:26]	Karl Von Habsburg exited observer at their location.
[12:50:27]	Karl Von Habsburg entered observer.
[12:50:31]	Karl Von Habsburg has spawned a 'NPC [1264][npc_zombie]'.
[12:50:44]	Karl Von Habsburg exited observer at their location.
[12:50:45]	Karl Von Habsburg entered observer.
[12:50:45]	Karl Von Habsburg exited observer at their location.
[12:50:46]	Karl Von Habsburg entered observer.
[12:50:46]	Karl Von Habsburg exited observer at their location.
[12:50:47]	Karl Von Habsburg entered observer.
[12:50:47]	Karl Von Habsburg exited observer at their location.
[12:50:49]	Karl Von Habsburg entered observer.
[12:50:49]	Karl Von Habsburg exited observer at their location.
[12:50:51]	Karl Von Habsburg entered observer.
[12:50:51]	Karl Von Habsburg exited observer at their location.
[12:50:52]	Karl Von Habsburg entered observer.
[12:50:52]	Karl Von Habsburg exited observer at their location.
[12:50:52]	Karl Von Habsburg entered observer.
[12:50:53]	Karl Von Habsburg exited observer at their location.
[12:50:54]	Karl Von Habsburg has taken 11 damage from worldspawn.
[12:50:58]	Karl Von Habsburg entered observer.
[12:51:37]	Karl Von Habsburg exited observer at their location.
[12:51:38]	Karl Von Habsburg entered observer.
[12:51:38]	Karl Von Habsburg exited observer at their location.
[12:51:39]	Karl Von Habsburg entered observer.
[12:51:39]	Karl Von Habsburg exited observer at their location.
[12:51:54]	Karl Von Habsburg entered observer.
[12:52:08]	Karl Von Habsburg exited observer at their location.
[12:52:08]	Karl Von Habsburg entered observer.
[12:52:08]	Karl Von Habsburg exited observer at their location.
[12:52:09]	Karl Von Habsburg entered observer.
[12:52:11]	Karl Von Habsburg exited observer at their location.
[12:52:11]	Karl Von Habsburg entered observer.
[12:52:11]	Karl Von Habsburg exited observer at their location.
[12:52:13]	Karl Von Habsburg entered observer.
[12:52:13]	Karl Von Habsburg exited observer at their location.
[12:52:15]	Karl Von Habsburg entered observer.
[12:52:15]	Karl Von Habsburg exited observer at their location.
[12:52:23]	Karl Von Habsburg has spawned a 'Entity [2229][npc_crouched_shooting_metrocop]'.
[12:52:23]	Karl Von Habsburg has taken 18 damage from CrouchedShootingMetroCopWithAShooty.
[12:52:23]	Karl Von Habsburg has taken 3 damage from CrouchedShootingMetroCopWithAShooty.
[12:52:25]	Karl Von Habsburg entered observer.
[12:52:25]	Doughnut has connected.
[12:52:26]	Karl Von Habsburg has spawned a 'Entity [3197][npc_crouched_shooting_metrocop]'.
[12:52:26]	Karl Von Habsburg exited observer at their location.
[12:52:34]	Karl Von Habsburg has taken 0 damage from CrouchedShootingMetroCopWithAShooty.
[12:52:35]	Karl Von Habsburg has taken 3 damage from CrouchedShootingMetroCopWithAShooty.
[12:52:38]	Karl Von Habsburg has spawned a 'Entity [3197][npc_idleunarmed_combinesoldier]'.
[12:52:41]	Karl Von Habsburg has spawned a 'Entity [3199][npc_idleunarmed_combinesoldier]'.
[12:52:49]	Karl Von Habsburg has spawned a 'Entity [3197][npc_idleunarmed_combinesoldier]'.
[12:52:56]	Karl Von Habsburg has spawned a 'NPC [3197][npc_combine_s]'.
[12:53:03]	Karl Von Habsburg has spawned a 'Entity [3197][npc_healing_female_medic]'.
[12:53:17]	Karl Von Habsburg has spawned a 'Entity [3197][npc_walking_unarmed_combine_soldier]'.
[12:53:32]	Karl Von Habsburg entered observer.
[12:53:36]	Karl Von Habsburg has spawned a 'Entity [3197][npc_walking_unarmed_combine_soldier]'.
[12:53:56]	Karl Von Habsburg exited observer at their location.
[12:53:58]	Karl Von Habsburg has spawned a 'Entity [3197][npc_metrocop_abusing_male_no_punch]'.
[12:54:01]	Karl Von Habsburg has spawned a 'Entity [3197][npc_metrocop_abusing_male]'.
[12:54:28]	Karl Von Habsburg entered observer.
[12:54:41]	Karl Von Habsburg has spawned a 'Entity [1740][npc_crouched_shooting_citizen]'.
[12:54:45]	Karl Von Habsburg has spawned a 'Entity [3201][npc_crouched_shooting_metrocop]'.
[12:54:52]	Karl Von Habsburg exited observer at their location.
[12:54:55]	Karl Von Habsburg entered observer.
[12:55:28]	Karl Von Habsburg has spawned a 'NPC [1740][npc_metropolice]'.
[12:55:30]	Doughnut loaded the character 'CCA.C14-UNION.i5.22767'
[12:55:32]	Karl Von Habsburg has spawned a 'NPC [1740][npc_metropolice]'.
[12:55:34]	[OOC] CCA.C14-UNION.i5.22767: e
[12:55:35]	CCA.C14-UNION.i5.22767 entered observer.
[12:55:40]	[OOC] Karl Von Habsburg: ey
[12:55:50]	Karl Von Habsburg has spawned a 'NPC [3198][npc_citizen]'.
[12:55:51]	[OOC] CCA.C14-UNION.i5.22767: how are ya
[12:55:53]	Karl Von Habsburg has spawned a 'NPC [3198][npc_citizen]'.
[12:56:33]	Karl Von Habsburg exited observer at their location.
[12:56:48]	Karl Von Habsburg entered observer.
[12:56:57]	Karl Von Habsburg exited observer at their location.
[12:56:58]	Karl Von Habsburg entered observer.
[12:57:07]	[OOC] CCA.C14-UNION.i5.22767: afk 1 min
[12:57:10]	Karl Von Habsburg has spawned a 'Entity [3198][ix_vendingmachine]'.
[12:57:14]	[OOC] Karl Von Habsburg: k
[12:57:18]	Karl Von Habsburg has spawned a 'Entity [3198][ix_vendingmachine]'.
[12:57:40]	Karl Von Habsburg has lost 7 tokens.
[12:57:42]	Karl Von Habsburg ran 'take' on item 'Flavored Breen's Water' (#27310)
[12:57:42]	Karl Von Habsburg has gained a 'Flavored Breen's Water' #27310.
[12:57:45]	Karl Von Habsburg ran 'Consume' on item 'Flavored Breen's Water' (#27310)
[12:57:49]	Karl Von Habsburg entered observer.
[12:57:50]	Karl Von Habsburg exited observer at their location.
[12:57:50]	Karl Von Habsburg entered observer.
[12:57:51]	Karl Von Habsburg exited observer at their location.
[12:57:52]	Karl Von Habsburg entered observer.
[12:57:52]	Karl Von Habsburg exited observer at their location.
[12:57:54]	Karl Von Habsburg entered observer.
[12:57:54]	Karl Von Habsburg exited observer at their location.
[12:57:55]	Karl Von Habsburg entered observer.
[12:57:55]	Karl Von Habsburg exited observer at their location.
[12:57:55]	Karl Von Habsburg entered observer.
[12:57:56]	Karl Von Habsburg exited observer at their location.
[12:57:56]	Karl Von Habsburg entered observer.
[12:57:56]	Karl Von Habsburg exited observer at their location.
[12:57:57]	Karl Von Habsburg entered observer.
[12:57:57]	Karl Von Habsburg exited observer at their location.
[12:57:57]	Karl Von Habsburg entered observer.
[12:57:58]	Karl Von Habsburg exited observer at their location.
[12:57:58]	Karl Von Habsburg entered observer.
[12:58:06]	Karl Von Habsburg exited observer at their location.
[12:58:06]	Karl Von Habsburg entered observer.
[12:58:08]	Karl Von Habsburg exited observer at their location.
[13:00:30]	CCA.C14-UNION.i5.22767 has gained 10 tokens.
[13:01:13]	[OOC] CCA.C14-UNION.i5.22767: back
[13:01:40]	CCA.C14-UNION.i5.22767 opened the '' #1810 container.
[13:01:42]	CCA.C14-UNION.i5.22767 closed the '' #1810 container.
[13:01:43]	CCA.C14-UNION.i5.22767 used the 'Storage' vendor.
[13:04:35]	[OOC] Karl Von Habsburg: wb
[13:05:30]	CCA.C14-UNION.i5.22767 has gained 10 tokens.
[13:09:57]	[OOC] CCA.C14-UNION.i5.22767: why is all of the expired milk still around
[13:10:30]	CCA.C14-UNION.i5.22767 has gained 10 tokens.
[13:10:34]	CCA.C14-UNION.i5.22767 ran 'View' on item 'Paper' (#26057)
[13:14:40]	[OOC] Karl Von Habsburg: idk
[13:14:41]	Karl Von Habsburg entered observer.
[13:15:23]	Karl Von Habsburg exited observer at their location.
[13:15:29]	Karl Von Habsburg entered observer.
[13:15:30]	CCA.C14-UNION.i5.22767 has gained 10 tokens.
[13:15:30]	Karl Von Habsburg exited observer at their location.
[13:15:31]	Karl Von Habsburg entered observer.
[13:15:32]	Karl Von Habsburg exited observer at their location.
[13:15:35]	Karl Von Habsburg entered observer.
[13:15:36]	Karl Von Habsburg exited observer at their location.
[13:15:41]	CCA.C14-UNION.i5.22767 exited observer at their location.
[13:15:48]	Doughnut loaded the character 'Featherfucker'
[13:15:50]	Featherfucker entered observer.
[13:15:52]	Featherfucker exited observer at their location.
[13:15:55]	Karl Von Habsburg entered observer.
[13:16:07]	Karl Von Habsburg exited observer at their location.
[13:16:08]	Karl Von Habsburg entered observer.
[13:16:18]	Karl Von Habsburg exited observer at their location.
[13:17:33]	Featherfucker ran 'take' on item 'Expired Milk' (#27229)
[13:17:33]	Featherfucker has gained a 'Expired Milk' #27229.
[13:17:59]	Karl Von Habsburg entered observer.
[13:17:59]	Karl Von Habsburg exited observer at their location.
[13:18:15]	Karl Von Habsburg entered observer.
[13:18:17]	Karl Von Habsburg exited observer at their location.
[13:18:21]	Karl Von Habsburg entered observer.
[13:18:23]	Karl Von Habsburg exited observer at their location.
[13:18:46]	Mr. Chief has connected.
[13:19:06]	Karl Von Habsburg entered observer.
[13:23:08]	Mr. Chief loaded the character 'CAC.C14-BIOTIC.45914'
[13:23:14]	[OOC] CAC.C14-BIOTIC.45914: oo oo aa aa
[13:23:24]	[OOC] Featherfucker: munky
[13:23:40]	Featherfucker entered observer.
[13:23:41]	Featherfucker entered observer.
[13:23:53]	Featherfucker exited observer at their location.
[13:23:56]	Karl Von Habsburg exited observer at their location.
[13:23:58]	Karl Von Habsburg entered observer.
[13:23:59]	Karl Von Habsburg exited observer at their location.
[13:24:01]	Karl Von Habsburg entered observer.
[13:24:01]	Karl Von Habsburg exited observer at their location.
[13:24:03]	Karl Von Habsburg entered observer.
[13:24:03]	Karl Von Habsburg exited observer at their location.
[13:24:04]	Karl Von Habsburg entered observer.
[13:24:04]	Karl Von Habsburg exited observer at their location.
[13:24:06]	Karl Von Habsburg entered observer.
[13:24:10]	Mr. Chief loaded the character 'OTA.C14-MACE.EOS.24151'
[13:24:15]	Karl Von Habsburg has spawned a 'NPC [3202][npc_citizen]'.
[13:24:26]	Karl Von Habsburg exited observer at their location.
[13:24:36]	Featherfucker has taken 27 damage from Karl Von Habsburg.
[13:24:36]	Karl Von Habsburg has killed Featherfucker with tfa_rustalpha_revolver.
[13:24:41]	[OOC] Featherfucker: y
[13:24:44]	Featherfucker entered observer.
[13:24:45]	Featherfucker exited observer at their location.
[13:24:46]	[OOC] Karl Von Habsburg: fuck birds am I right
[13:24:51]	[OOC] Featherfucker: no
[13:24:59]	[OOC] Karl Von Habsburg: All my homies hate birds
[13:25:01]	Karl Von Habsburg entered observer.
[13:25:54]	Featherfucker entered observer.
[13:25:54]	Featherfucker exited observer at their location.
[13:26:23]	Mr. Chief loaded the character 'Leman Russ'
[13:26:35]	Featherfucker entered observer.
[13:26:35]	Featherfucker exited observer at their location.
[13:26:36]	Featherfucker entered observer.
[13:26:39]	FB|| light ROOM has connected.
[13:27:17]	FB|| light ROOM loaded the character 'CCA.C14-ECHO.OSS.39412'
[13:27:26]	[OOC] CCA.C14-ECHO.OSS.39412: OSS TIME GAMERS
[13:27:31]	[OOC] Featherfucker: nice
[13:27:32]	Mr. Chief loaded the character 'OTA.C14-MACE.EOS.24151'
[13:27:36]	CCA.C14-ECHO.OSS.39412 ran 'Equip' on item 'AR2' (#26710)
[13:27:37]	CCA.C14-ECHO.OSS.39412 ran 'Equip' on item 'USP Match' (#18272)
[13:27:57]	[Y] CCA.C14-ECHO.OSS.39412: <:: FUCK. ::>
[13:27:59]	Featherfucker exited observer at their location.
[13:28:47]	[Y] CCA.C14-ECHO.OSS.39412: <:: ME OSS, ME FIST. ::>
[13:30:34]	[OOC] Featherfucker: it's real bird hours
[13:30:40]	[OOC] CCA.C14-ECHO.OSS.39412: false
[13:30:47]	[OOC] CCA.C14-ECHO.OSS.39412: It real Killteam Alpha hours
[13:31:16]	[LOOC] CCA.C14-ECHO.OSS.39412: I can
[13:32:10]	OTA.C14-MACE.EOS.24151 has taken 18 damage from CCA.C14-ECHO.OSS.39412.
[13:34:19]	[LOOC] Featherfucker: real dumb dumb moments
[13:34:31]	Featherfucker has taken 18 damage from CCA.C14-ECHO.OSS.39412.
[13:34:38]	[OOC] CCA.C14-ECHO.OSS.39412: How much health do you have?
[13:34:48]	[OOC] Featherfucker: 20 total
[13:34:51]	[OOC] CCA.C14-ECHO.OSS.39412: Bruh
[13:34:53]	Featherfucker has taken 18 damage from CCA.C14-ECHO.OSS.39412.
[13:35:08]	[OOC] Featherfucker: i can regen it tho
[13:35:12]	[OOC] CCA.C14-ECHO.OSS.39412: Dumbo
[13:35:25]	Featherfucker has taken 16 damage from OTA.C14-MACE.EOS.24151.
[13:35:47]	[OOC] Featherfucker: fuckin nerd
[13:36:49]	Featherfucker ran 'take' on item 'Expired Milk' (#27233)
[13:36:49]	Featherfucker has gained a 'Expired Milk' #27233.
[13:36:53]	Featherfucker ran 'take' on item 'Expired Milk' (#27240)
[13:36:53]	Featherfucker has gained a 'Expired Milk' #27240.
[13:37:11]	Featherfucker ran 'take' on item 'Expired Milk' (#25754)
[13:37:11]	Featherfucker has gained a 'Expired Milk' #25754.
[13:37:14]	Featherfucker ran 'take' on item 'Expired Milk' (#27231)
[13:37:14]	Featherfucker has gained a 'Expired Milk' #27231.
[13:37:16]	Featherfucker ran 'take' on item 'Expired Milk' (#25752)
[13:37:16]	Featherfucker has gained a 'Expired Milk' #25752.
[13:37:18]	Featherfucker ran 'take' on item 'Expired Milk' (#27238)
[13:37:18]	Featherfucker has gained a 'Expired Milk' #27238.
[13:37:26]	Featherfucker ran 'take' on item 'Expired Milk' (#25753)
[13:37:26]	Featherfucker has gained a 'Expired Milk' #25753.
[13:37:27]	Featherfucker ran 'take' on item 'Expired Milk' (#27225)
[13:37:27]	Featherfucker has gained a 'Expired Milk' #27225.
[13:37:30]	Featherfucker ran 'take' on item 'Expired Milk' (#27236)
[13:37:30]	Featherfucker has gained a 'Expired Milk' #27236.
[13:37:31]	Featherfucker ran 'take' on item 'Expired Milk' (#27235)
[13:37:31]	Featherfucker has gained a 'Expired Milk' #27235.
[13:38:23]	[OOC] CCA.C14-ECHO.OSS.39412: Imagine being rust colored (This post was made by ECHO.OSS gang)
[13:38:48]	Featherfucker ran 'drop' on item 'Expired Milk' (#27238)
[13:38:48]	Featherfucker has lost a 'Expired Milk' #27238.
[13:38:49]	Featherfucker ran 'drop' on item 'Expired Milk' (#25753)
[13:38:49]	Featherfucker has lost a 'Expired Milk' #25753.
[13:38:49]	Featherfucker ran 'drop' on item 'Expired Milk' (#27225)
[13:38:49]	Featherfucker has lost a 'Expired Milk' #27225.
[13:38:50]	Featherfucker ran 'drop' on item 'Expired Milk' (#27236)
[13:38:50]	Featherfucker has lost a 'Expired Milk' #27236.
[13:38:51]	Featherfucker ran 'drop' on item 'Expired Milk' (#27235)
[13:38:51]	Featherfucker has lost a 'Expired Milk' #27235.
[13:38:52]	Featherfucker ran 'drop' on item 'Expired Milk' (#25752)
[13:38:52]	Featherfucker has lost a 'Expired Milk' #25752.
[13:38:53]	Featherfucker ran 'drop' on item 'Expired Milk' (#27231)
[13:38:53]	Featherfucker has lost a 'Expired Milk' #27231.
[13:38:54]	Featherfucker ran 'drop' on item 'Expired Milk' (#25754)
[13:38:54]	Featherfucker has lost a 'Expired Milk' #25754.
[13:38:55]	Featherfucker ran 'drop' on item 'Expired Milk' (#27240)
[13:38:55]	Featherfucker has lost a 'Expired Milk' #27240.
[13:38:56]	Featherfucker ran 'drop' on item 'Expired Milk' (#27233)
[13:38:56]	Featherfucker has lost a 'Expired Milk' #27233.
[13:38:57]	Featherfucker ran 'drop' on item 'Expired Milk' (#27229)
[13:38:57]	Featherfucker has lost a 'Expired Milk' #27229.
[13:38:58]	Featherfucker entered observer.
[13:38:58]	Featherfucker entered observer.
[13:38:58]	Karl Von Habsburg exited observer at their location.
[13:39:00]	Karl Von Habsburg entered observer.
[13:39:00]	Karl Von Habsburg exited observer at their location.
[13:39:01]	Karl Von Habsburg entered observer.
[13:39:02]	Karl Von Habsburg exited observer at their location.
[13:39:02]	Karl Von Habsburg entered observer.
[13:39:03]	Karl Von Habsburg exited observer at their location.
[13:39:04]	Karl Von Habsburg entered observer.
[13:39:35]	[OOC] CCA.C14-ECHO.OSS.39412: You should totally hit him with the Flare gun
[13:39:35]	Karl Von Habsburg has spawned a 'NPC [3200][npc_combine_s]'.
[13:39:49]	Featherfucker exited observer at their location.
[13:39:53]	Karl Von Habsburg has spawned a 'NPC [3213][npc_zombie]'.
[13:40:01]	[OOC] Featherfucker: don't hit me with flares please
[13:40:17]	[OOC] Featherfucker: you can try but youll likely miss
[13:40:22]	Karl Von Habsburg has spawned a 'NPC [3200][npc_combine_s]'.
[13:41:19]	Karl Von Habsburg exited observer at their location.
[13:41:27]	CCA.C14-ECHO.OSS.39412 has taken 6 damage from obj_vj_flareround.
[13:41:27]	CCA.C14-ECHO.OSS.39412 has taken 500 damage from obj_vj_flareround.
[13:41:27]	obj_vj_flareround has killed CCA.C14-ECHO.OSS.39412.
[13:41:38]	Karl Von Habsburg has taken 4 damage from OTA.C14-MACE.EOS.24151.
[13:41:41]	OTA.C14-MACE.EOS.24151 has taken 5 damage from obj_vj_flareround.
[13:41:41]	OTA.C14-MACE.EOS.24151 has taken 100 damage from obj_vj_flareround.
[13:41:45]	Karl Von Habsburg has taken 16 damage from OTA.C14-MACE.EOS.24151.
[13:41:45]	Karl Von Habsburg has taken 47 damage from OTA.C14-MACE.EOS.24151.
[13:41:46]	Karl Von Habsburg has taken 16 damage from OTA.C14-MACE.EOS.24151.
[13:41:48]	Karl Von Habsburg has taken 47 damage from OTA.C14-MACE.EOS.24151.
[13:41:48]	OTA.C14-MACE.EOS.24151 has killed Karl Von Habsburg with tfa_hl2r_shotgun.
[13:41:51]	Karl Von Habsburg entered observer.
[13:41:57]	Karl Von Habsburg exited observer at their location.
[13:41:59]	OTA.C14-MACE.EOS.24151 has taken 19 damage from Karl Von Habsburg.
[13:41:59]	Karl Von Habsburg has taken 144 damage from OTA.C14-MACE.EOS.24151.
[13:41:59]	OTA.C14-MACE.EOS.24151 has killed Karl Von Habsburg with tfa_hl2r_shotgun.
[13:42:01]	Karl Von Habsburg entered observer.
[13:42:01]	Karl Von Habsburg exited observer at their location.
[13:42:02]	Karl Von Habsburg entered observer.
[13:42:08]	Karl Von Habsburg exited observer at their location.
[13:42:08]	[LOOC] Featherfucker: boomer
[13:42:09]	OTA.C14-MACE.EOS.24151 has taken 36 damage from Karl Von Habsburg.
[13:42:09]	OTA.C14-MACE.EOS.24151 has taken 91 damage from Karl Von Habsburg.
[13:42:09]	OTA.C14-MACE.EOS.24151 has taken 8 damage from Karl Von Habsburg.
[13:42:12]	Karl Von Habsburg has taken 129 damage from OTA.C14-MACE.EOS.24151.
[13:42:12]	OTA.C14-MACE.EOS.24151 has killed Karl Von Habsburg with tfa_hl2r_shotgun.
[13:42:23]	Karl Von Habsburg entered observer.
[13:42:30]	Karl Von Habsburg exited observer at their location.
[13:42:32]	CCA.C14-ECHO.OSS.39412 has taken 308 damage from Karl Von Habsburg.
[13:42:32]	Karl Von Habsburg has killed CCA.C14-ECHO.OSS.39412 with tfa_rustalpha_pipeshotgun.
[13:42:33]	Karl Von Habsburg has taken 86 damage from OTA.C14-MACE.EOS.24151.
[13:42:33]	Karl Von Habsburg has taken 48 damage from OTA.C14-MACE.EOS.24151.
[13:42:33]	OTA.C14-MACE.EOS.24151 has killed Karl Von Habsburg with tfa_hl2r_shotgun.
[13:42:34]	[OOC] CCA.C14-ECHO.OSS.39412: Ow
[13:42:36]	Karl Von Habsburg entered observer.
[13:42:49]	Karl Von Habsburg exited observer at their location.
[13:42:50]	OTA.C14-MACE.EOS.24151 has taken 22 damage from Karl Von Habsburg.
[13:42:50]	OTA.C14-MACE.EOS.24151 has taken 18 damage from Karl Von Habsburg.
[13:42:50]	Karl Von Habsburg has killed OTA.C14-MACE.EOS.24151 with tfa_rustalpha_pipeshotgun.
[13:42:57]	OTA.C14-MACE.EOS.24151 ran 'Equip' on item 'Colt Python' (#12689)
[13:42:58]	OTA.C14-MACE.EOS.24151 ran 'Equip' on item 'SPAS-12' (#26715)
[13:42:59]	Featherfucker has taken 18 damage from Karl Von Habsburg.
[13:43:01]	OTA.C14-MACE.EOS.24151 ran 'use' on item '.357 Rounds' (#27092)
[13:43:02]	OTA.C14-MACE.EOS.24151 ran 'use' on item '.357 Rounds' (#27093)
[13:43:11]	Karl Von Habsburg entered observer.
[13:43:12]	Karl Von Habsburg exited observer at their location.
[13:43:14]	Karl Von Habsburg has taken 5 damage from OTA.C14-MACE.EOS.24151.
[13:43:16]	Karl Von Habsburg has taken 40 damage from OTA.C14-MACE.EOS.24151.
[13:43:16]	Karl Von Habsburg has taken 40 damage from OTA.C14-MACE.EOS.24151.
[13:43:17]	Karl Von Habsburg has taken 39 damage from OTA.C14-MACE.EOS.24151.
[13:43:17]	OTA.C14-MACE.EOS.24151 has killed Karl Von Habsburg with tfa_hl2r_357.
[13:43:22]	Karl Von Habsburg entered observer.
[13:43:26]	[OOC] CCA.C14-ECHO.OSS.39412: Just call it a .357 revolver for fucks sake.
[13:43:28]	Karl Von Habsburg exited observer at their location.
[13:43:30]	Karl Von Habsburg entered observer.
[13:43:34]	Karl Von Habsburg exited observer at their location.
[13:43:41]	Karl Von Habsburg has taken 4 damage from OTA.C14-MACE.EOS.24151.
[13:43:51]	Karl Von Habsburg entered observer.
[13:43:54]	Featherfucker has taken 41 damage from OTA.C14-MACE.EOS.24151.
[13:43:54]	OTA.C14-MACE.EOS.24151 has killed Featherfucker with tfa_hl2r_357.
[13:43:55]	Karl Von Habsburg exited observer at their location.
[13:43:56]	OTA.C14-MACE.EOS.24151 has taken 494 damage from Karl Von Habsburg.
[13:43:56]	Karl Von Habsburg has killed OTA.C14-MACE.EOS.24151 with tfa_rustalpha_pipeshotgun.
[13:43:56]	CCA.C14-ECHO.OSS.39412 has taken 56 damage from Karl Von Habsburg.
[13:44:00]	Featherfucker entered observer.
[13:44:01]	OTA.C14-MACE.EOS.24151 ran 'Equip' on item 'Colt Python' (#12689)
[13:44:02]	OTA.C14-MACE.EOS.24151 ran 'use' on item '.357 Rounds' (#27091)
[13:44:03]	CCA.C14-ECHO.OSS.39412 has taken 69 damage from Karl Von Habsburg.
[13:44:05]	Featherfucker exited observer at their location.
[13:44:08]	Karl Von Habsburg has taken 5 damage from OTA.C14-MACE.EOS.24151.
[13:44:09]	Karl Von Habsburg has taken 34 damage from OTA.C14-MACE.EOS.24151.
[13:44:10]	Karl Von Habsburg has taken 5 damage from OTA.C14-MACE.EOS.24151.
[13:44:11]	Karl Von Habsburg has taken 4 damage from OTA.C14-MACE.EOS.24151.
[13:44:11]	Karl Von Habsburg has taken 31 damage from OTA.C14-MACE.EOS.24151.
[13:44:11]	Karl Von Habsburg has taken 15 damage from OTA.C14-MACE.EOS.24151.
[13:44:11]	OTA.C14-MACE.EOS.24151 has taken 190 damage from Karl Von Habsburg.
[13:44:11]	OTA.C14-MACE.EOS.24151 has taken 38 damage from Karl Von Habsburg.
[13:44:12]	Doughnut loaded the character 'OSA.S14-HNT.79448'
[13:44:13]	Karl Von Habsburg has taken 5 damage from OTA.C14-MACE.EOS.24151.
