[02:45:31]	Cotton has connected.
[20:40:07]	[LOOC] Har Tunn: get this shit down and itll be drippywippy
[20:40:23]	[Y] Aleyhi: And wherever the fates take you, best of luck. This concludes your education for the day.
[20:40:38]	Aleyhi used command '/SetScreenText Decades later...'.
[20:40:42]	[OOC] Har Tunn: eighteen trillion years ago, two vorts busted
[20:40:44]	Aleyhi used command '/DrawBlackScreen'.
[20:41:04]	[OOC] Har Tunn: vorts caused the big bang by having 12000 of them say galunga at once
[20:41:27]	[OOC] Kal'Taar: WE ARE THE BIG BANG
[20:41:31]	[OOC] Kal'Taar: BOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOM
[20:41:36]	[OOC] Har Tunn: WE ARE THE BIG BANG
[20:41:44]	Freluci used command '/CharSetName aleyhi Freluci'.
[20:41:48]	[Y] Freluci: Fellow vortigaunt! We are facing an attack on our sacred land.
[20:41:53]	[ME] Galargalar'Ralag: big bangs.
[20:42:20]	[Y] Freluci: Invaders from another realm come to kill our people and steal our resources. To this moment, they have freed our antlions, and brought chaos to our settlement.
[20:42:36]	[Y] Freluci: Today, we fight and defend the vortigaunt.
[20:42:39]	[OOC] Har Tunn: what year is this supposed to b
[20:42:39]	[Y] Freluci: Join me!
[20:42:45]	[OOC] Kal'Taar: the past
[20:42:46]	[LOOC] Freluci: around 300 BC in earth years
[20:42:49]	[OOC] Har Tunn: id love too if i could see
[20:43:02]	Freluci used command '/SetScreenText Map change!'.
[20:43:06]	[OOC] Har Tunn: oh lord
[20:43:11]	Freluci used command '/DrawLoading'.
[20:46:57]	matt saton has connected.
[20:47:32]	Tundra has connected.
[20:48:05]	Tundra loaded the character 'Mak 'Braam'
[20:48:08]	matt saton loaded the character 'Freluci'
[20:48:08]	Mak 'Braam has killed Mak 'Braam.
[20:48:08]	Freluci has taken 1 damage from worldspawn.
[20:48:09]	Freluci has taken 1 damage from worldspawn.
[20:48:10]	Freluci entered observer.
[20:48:17]	matt saton loaded the character 'Freluci'
[20:48:17]	Mak 'Braam has killed Mak 'Braam.
[20:48:22]	Freluci entered observer.
[20:48:23]	Freluci exited observer at their location.
[20:48:23]	Freluci entered observer.
[20:48:36]	Cheese has connected.
[20:49:45]	LynxQueen has connected.
[20:49:53]	Freluci used command '/CharGiveFlag freluci'.
[20:49:56]	Freluci used command '/CharGiveFlag Freluci pet'.
[20:50:05]	Cheese loaded the character 'Har Tunn'
[20:50:16]	Freluci exited observer at their location.
[20:50:17]	Freluci entered observer.
[20:50:18]	Freluci exited observer at their location.
[20:50:20]	Freluci has spawned 'models/hunter/plates/plate5x7.mdl'.
[20:50:25]	Freluci has spawned 'models/hunter/plates/plate4x4.mdl'.
[20:50:35]	Freluci entered observer.
[20:50:40]	LynxQueen loaded the character 'Kal'Taar'
[20:50:44]	Mak 'Braam has taken 10 damage from prop_physics.
[20:50:50]	Freluci exited observer at their location.
[20:50:51]	Freluci entered observer.
[20:50:52]	Freluci exited observer at their location.
[20:51:04]	Freluci entered observer.
[20:51:04]	Freluci exited observer at their location.
[20:51:07]	Mak 'Braam has taken 5 damage from Har Tunn.
[20:51:10]	Freluci entered observer.
[20:51:16]	[OOC] Har Tunn: no more vort gun'
[20:51:22]	Enclave has connected.
[20:52:00]	Freluci exited observer at their location.
[20:52:00]	Freluci entered observer.
[20:52:01]	Enclave loaded the character 'Galargalar'Ralag'
[20:52:44]	[VORTIGESE] Freluci: test
[20:53:12]	Galargalar'Ralag used command '/CharDesc'.
[20:53:33]	Freluci used command '/SetScreenText Skirmish at Xanthys'.
[20:53:34]	Freluci used command '/DrawBlackScreen'.
[20:53:45]	Freluci used command '/SetScreenText 300 BC'.
[20:53:56]	Galargalar'Ralag used command '/CharDesc A vortigaunt standing at around 6'1 with a muddy green complexion. He is distictly a fatter/chubby vortigaunt. On his scowling face shows many scars, along with other shackle marks from the past. His lanky arms are home to two well groomed claw hands, with the torso arm being the same.'.
[20:54:13]	Freluci used command '/SetScreenText Before the Nihilanth's slaves.'.
[20:54:21]	Freluci used command '/SetScreenText this screen is looking stupid now'.
[20:54:29]	Freluci used command '/SetScreenText Skirmish at Xanthys'.
[20:54:45]	Freluci used command '/Event The year is 300 BC, on Earth. It is long before the Nihilanth enslaved the vortigaunt.'.
[20:54:50]	Kal'Taar has taken 1 damage from env_fire.
[20:54:51]	Kal'Taar has taken 1 damage from env_fire.
[20:54:52]	Kal'Taar has taken 1 damage from env_fire.
[20:54:53]	Kal'Taar has taken 1 damage from env_fire.
[20:54:54]	Kal'Taar has taken 1 damage from env_fire.
[20:54:55]	Kal'Taar has taken 1 damage from env_fire.
[20:54:56]	Kal'Taar has taken 1 damage from env_fire.
[20:54:57]	Kal'Taar has taken 1 damage from env_fire.
[20:54:58]	Kal'Taar has taken 1 damage from env_fire.
[20:54:59]	Kal'Taar has taken 1 damage from env_fire.
[20:55:00]	Kal'Taar has taken 1 damage from env_fire.
[20:55:01]	Kal'Taar has taken 1 damage from env_fire.
[20:55:02]	Kal'Taar has taken 1 damage from env_fire.
[20:55:03]	Freluci used command '/Event They have established a series of settlements through interdimensional space.'.
[20:55:03]	Mak 'Braam has taken 1 damage from env_fire.
[20:55:03]	Kal'Taar has taken 1 damage from env_fire.
[20:55:04]	Kal'Taar has taken 1 damage from env_fire.
[20:55:05]	Kal'Taar has taken 1 damage from env_fire.
[20:55:06]	Kal'Taar has taken 1 damage from env_fire.
[20:55:07]	Kal'Taar has taken 1 damage from env_fire.
[20:55:08]	Kal'Taar has taken 1 damage from env_fire.
[20:55:09]	Kal'Taar has taken 1 damage from env_fire.
[20:55:10]	Kal'Taar has taken 1 damage from env_fire.
[20:55:11]	Kal'Taar has taken 1 damage from env_fire.
[20:55:12]	Kal'Taar has taken 1 damage from env_fire.
[20:55:13]	Kal'Taar has taken 1 damage from env_fire.
[20:55:23]	Freluci used command '/Event This world in particular is used for antlion husbandry, a long-time practice of the vortigaunts.'.
[20:56:11]	[OOC] Har Tunn: give me eyes
[20:56:15]	Freluci used command '/Event Invaders belonging to Race X have begun an invasion on the settlement.'.
[20:56:23]	Freluci used command '/Event Although the vortigaunts knew them as the Yoqri.'.
[20:56:41]	[OOC] Har Tunn: honestly id love tribal vort rp
[20:56:50]	Freluci used command '/Event A vortigaunt adept, Freluci, leads a group of vortigaunts to fight the Yoqri and defend their settlement.'.
[20:57:06]	Freluci exited observer at their location.
[20:57:06]	Freluci entered observer.
[20:57:07]	Freluci exited observer at their location.
[20:57:07]	Freluci entered observer.
[20:57:08]	Freluci exited observer at their location.
[20:57:09]	Freluci entered observer.
[20:57:14]	Freluci exited observer at their location.
[20:57:24]	[OOC] Har Tunn: dr freluci???
[20:57:26]	Freluci entered observer.
[20:57:26]	Freluci exited observer at their location.
[20:57:33]	Freluci used command '/ClearScreenDraws'.
[20:57:38]	[LOOC] Kal'Taar: boat
[20:57:50]	Kal'Taar has taken 15 damage from trigger_hurt.
[20:57:51]	Kal'Taar has taken 15 damage from trigger_hurt.
[20:57:51]	Kal'Taar has taken 15 damage from trigger_hurt.
[20:57:52]	Kal'Taar has taken 15 damage from trigger_hurt.
[20:57:54]	[LOOC] Mak 'Braam: this place is exactly why Im hearing HL2 lost coast ambience
[20:58:01]	[Y] Freluci: This is our settlement.
[20:58:07]	[LOOC] Kal'Taar: Also I think we should be like 100,000 BC.
[20:58:12]	[LOOC] Kal'Taar: but that's me.
[20:58:23]	[VORTIGESE] Freluci: Not far from here, the Yoqri are ransacking our land. Let us take our land back!
[20:58:32]	[VORTIGESE] Kal'Taar: So we shall!
[20:58:36]	[VORTIGESEFAR] Freluci: We come to aid!
[20:58:42]	[LOOC] Har Tunn: considering the vorts were enslaved long enough for some of the arts to be lost. the exact reason why the purple vorts are rare
[20:58:44]	[OOC] Freluci: /v is the local vortigaunt
[20:58:55]	[VORTIGESEFAR] Kal'Taar: We shall come!
[20:58:56]	[OOC] Freluci: vfar is long range vortigese
[20:59:06]	[VORTIGESE] Freluci: Let us move! I shall keep to the back.
[20:59:16]	Freluci entered observer.
[20:59:20]	Freluci has spawned a 'NPC [393][npc_chumtoad]'.
[20:59:26]	[OOC] Kal'Taar: invisable wall lol
[20:59:27]	Freluci has spawned a 'NPC [394][monster_shocktrooper]'.
[20:59:28]	[OOC] Mak 'Braam: invisible wall
[20:59:29]	[OOC] Freluci: what
[20:59:30]	[OOC] Freluci: oh fuck
[20:59:46]	Kal'Taar has taken 6 damage from monster_shocktrooper.
[20:59:47]	Kal'Taar has taken 6 damage from monster_shocktrooper.
[20:59:49]	Freluci has spawned a 'Entity [394][pfx8_03]'.
[20:59:59]	Freluci has spawned a 'NPC [393][monster_shockroach]'.
[21:00:02]	Galargalar'Ralag has taken 12 damage from monster_shockroach.
[21:00:03]	Freluci has spawned a 'NPC [406][monster_pitdrone]'.
[21:00:05]	Har Tunn has taken 12 damage from monster_shockroach.
[21:00:29]	[VORTIGESE] Har Tunn: Watch your Beams Brothers.
[21:00:36]	Freluci has spawned a 'NPC [393][npc_antlion]'.
[21:00:37]	Freluci has spawned a 'NPC [394][npc_antlion]'.
[21:00:38]	Freluci has spawned a 'NPC [395][npc_antlion]'.
[21:00:39]	Freluci has spawned a 'NPC [406][npc_antlion]'.
[21:00:40]	Kal'Taar has taken 5 damage from npc_antlion.
[21:00:42]	Kal'Taar has taken 5 damage from npc_antlion.
[21:00:42]	Freluci has spawned a 'NPC [499][npc_antlion]'.
[21:00:45]	Har Tunn has taken 5 damage from npc_antlion.
[21:00:45]	Freluci has spawned a 'NPC [395][npc_antlion]'.
[21:00:48]	Har Tunn has taken 5 damage from npc_antlion.
[21:00:49]	Kal'Taar has taken 5 damage from npc_antlion.
[21:00:51]	Kal'Taar has taken 5 damage from npc_antlion.
[21:01:06]	Freluci has spawned a 'NPC [394][npc_antlion]'.
[21:01:09]	Freluci has spawned a 'NPC [395][npc_antlion]'.
[21:01:14]	Freluci has spawned a 'NPC [407][monster_shocktrooper]'.
[21:01:15]	Freluci has spawned a 'NPC [477][monster_shocktrooper]'.
[21:01:21]	Freluci exited observer at their location.
[21:01:22]	Freluci entered observer.
[21:01:33]	Freluci has spawned a 'NPC [394][monster_pitdrone]'.
[21:01:34]	Freluci has spawned a 'NPC [406][monster_pitdrone]'.
[21:01:35]	Freluci has spawned a 'NPC [395][monster_pitdrone]'.
[21:01:36]	Freluci has spawned a 'NPC [423][monster_pitdrone]'.
[21:02:01]	Kal'Taar has taken 6 damage from monster_shocktrooper.
[21:02:01]	Kal'Taar has taken 6 damage from monster_shocktrooper.
[21:02:02]	Kal'Taar has taken 6 damage from monster_shocktrooper.
[21:02:02]	Kal'Taar has taken 6 damage from monster_shocktrooper.
[21:02:02]	Kal'Taar has taken 6 damage from monster_shocktrooper.
[21:02:03]	Kal'Taar has taken 6 damage from monster_shocktrooper.
[21:02:03]	Kal'Taar has taken 6 damage from monster_shocktrooper.
[21:02:04]	Kal'Taar has taken 6 damage from monster_shocktrooper.
[21:02:04]	Kal'Taar has taken 6 damage from monster_shocktrooper.
[21:02:04]	Kal'Taar has taken 6 damage from monster_shocktrooper.
[21:02:05]	Kal'Taar has taken 6 damage from monster_shocktrooper.
[21:02:05]	Kal'Taar has taken 6 damage from monster_shocktrooper.
[21:02:06]	Kal'Taar has taken 6 damage from monster_shocktrooper.
[21:02:06]	Kal'Taar has taken 6 damage from monster_shocktrooper.
[21:02:06]	Kal'Taar has taken 6 damage from monster_shocktrooper.
[21:02:07]	Kal'Taar has taken 6 damage from monster_shocktrooper.
[21:02:07]	Kal'Taar has taken 6 damage from monster_shocktrooper.
[21:02:08]	Kal'Taar has taken 6 damage from monster_shocktrooper.
[21:02:12]	Mak 'Braam has taken 6 damage from monster_shocktrooper.
[21:02:13]	Galargalar'Ralag has taken 6 damage from monster_shocktrooper.
[21:02:15]	Galargalar'Ralag has taken 6 damage from monster_shocktrooper.
[21:02:35]	[VORTIGESEFAR] Freluci: It is very calm here!
[21:02:45]	[VORTIGESEFAR] Freluci: I see little sign of the Yoqri. What do you see?
[21:02:53]	Har Tunn has taken 12 damage from worldspawn.
[21:02:57]	[VORTIGESEFAR] Kal'Taar: We have found some resistance! Not much...
[21:03:10]	[VORTIGESEFAR] Freluci: Understood.
[21:03:16]	[VORTIGESEFAR] Har Tunn: Calm in the hole, No signs yet.
[21:03:23]	Galargalar'Ralag has taken 27 damage from worldspawn.
[21:03:55]	[VORTIGESE] Har Tunn: Nothing
[21:03:56]	[VORTIGESEFAR] Freluci: Our best thing to do next is to find a course of action.
[21:04:02]	[VORTIGESEFAR] Freluci: I am close to you~!
[21:04:05]	[OOC] Freluci: you!*
[21:04:06]	Freluci exited observer at their location.
[21:04:07]	Freluci used command '/ToggleRaise'.
[21:04:08]	Freluci entered observer.
[21:04:08]	Freluci exited observer at their location.
[21:04:09]	Freluci entered observer.
[21:04:09]	Freluci exited observer at their location.
[21:04:10]	Freluci used command '/ToggleRaise'.
[21:04:11]	[OOC] Kal'Taar: uwu?
[21:04:12]	Freluci used command '/ToggleRaise'.
[21:04:25]	[VORTIGESE] Har Tunn: We have cleared the underground, Now we must rise!
[21:04:39]	[VORTIGESE] Galargalar'Ralag: Onward!
[21:04:43]	Freluci entered observer.
[21:04:50]	Freluci entered observer.
[21:04:52]	[VORTIGESE] Kal'Taar: Their resistance was little. Where are they?
[21:04:54]	Freluci exited observer at their location.
[21:04:55]	Freluci entered observer.
[21:04:55]	Freluci exited observer at their location.
[21:04:58]	[VORTIGESEFAR] Har Tunn: Come brothers! We will rid the land of our home from the ruiners!
[21:05:03]	[VORTIGESEFAR] Freluci: Likely antagonizing our antlions.
[21:05:09]	Freluci used command '/ToggleRaise'.
[21:05:18]	[VORTIGESE] Galargalar'Ralag: An interesting structure.
[21:05:41]	[VORTIGESEFAR] Freluci: This. Our primary place of prayer. It was built by civilizations ages ago, but we use it as a clear place to think. And talk.
[21:05:44]	[VORTIGESEFAR] Har Tunn: Any brothers, Near or far! Join us at the great Monolith!
[21:05:49]	[VORTIGESEFAR] Freluci: A spiritual hub, this is.
[21:05:58]	[VORTIGESE] Freluci: Greetings.
[21:06:10]	??? used command '/CharSetName freluci ???'.
[21:06:11]	[ME] Har Tunn: Kneels at the monolith
[21:06:24]	[VORTIGESE] Har Tunn: Kneel, Brothers.
[21:06:31]	[VORTIGESE] ???: Shall we meditate?
[21:06:38]	[VORTIGESE] Har Tunn: Yes, Brother.
[21:07:03]	[ME] Galargalar'Ralag: kneels to the monolith, clasping his claws together for meditation.
[21:07:09]	[VORTIGESE] Mak 'Braam: In our time of need, we pray for our strength.
[21:07:13]	[VORTIGESE] ???: Indeed.
[21:07:25]	[VORTIGESEFAR] ???: Fellow kinspeople, we have found the yoqri. They encroach toward you from our antlions farms. They come with a horde, both of their own and of the antlions.
[21:07:32]	[VORTIGESE] Har Tunn: We pray for the vortessence to bless us, To free our lands of the Yoqri!
[21:08:00]	[VORTIGESE] Har Tunn: Rise Brothers! Take your positions to defend the Monolith
[21:08:09]	[VORTIGESE] Kal'Taar: To our last breath.
[21:08:25]	[VORTIGESEFAR] ???: I wait on the arrival of a vortigaunt Master. He is to guide us. We must stop the Yoqri invasion.
[21:08:38]	freluci used command '/CharSetName ??? freluci'.
[21:08:45]	[VORTIGESE] Galargalar'Ralag: They shall falter under the vortessence.
[21:08:51]	[VORTIGESE] Har Tunn: Brother, Step upon the steps, You do not wish to be pushed from the cliff.
[21:09:06]	[VORTIGESEFAR] freluci: Understood! Until then, we shall hold off!
[21:09:09]	[VORTIGESE] Har Tunn: Brother, Come upon the steps.
[21:09:22]	[VORTIGESE] freluci: Are we ready to face the onslaught?
[21:09:32]	Freluci used command '/CharSetName freluci Freluci'.
[21:09:48]	[VORTIGESE] Har Tunn: We are ready! Brace yourself brothers, Stand strong and we will prosper beyond all others!
[21:09:49]	Freluci entered observer.
[21:09:52]	Freluci entered observer.
[21:10:00]	Freluci has spawned a 'Entity [453][pfx8_03]'.
[21:10:17]	Freluci has spawned a 'NPC [476][monster_alien_voltigore]'.
[21:10:24]	Har Tunn has taken 48 damage from obj_voltigore_beam.
[21:10:26]	Freluci has spawned a 'NPC [525][monster_shocktrooper]'.
[21:10:26]	[VORTIGESE] Har Tunn: FIRE!
[21:10:26]	Freluci has spawned a 'NPC [572][monster_shocktrooper]'.
[21:10:27]	Freluci has spawned a 'NPC [601][monster_shocktrooper]'.
[21:10:28]	Freluci has spawned a 'NPC [632][monster_shocktrooper]'.
[21:10:45]	Freluci has spawned a 'NPC [538][monster_pitdrone]'.
[21:10:46]	Freluci has spawned a 'NPC [592][monster_pitdrone]'.
[21:10:48]	Freluci has spawned a 'NPC [535][monster_pitdrone]'.
[21:10:49]	Har Tunn has taken 6 damage from monster_shocktrooper.
[21:10:49]	Har Tunn has taken 6 damage from monster_shocktrooper.
[21:10:49]	Har Tunn has taken 6 damage from monster_shocktrooper.
[21:10:50]	Har Tunn has taken 6 damage from monster_shocktrooper.
[21:10:50]	Har Tunn has taken 6 damage from monster_shocktrooper.
[21:10:50]	Mak 'Braam has taken 8 damage from monster_pitdrone.
[21:10:50]	Mak 'Braam has taken 7 damage from monster_pitdrone.
[21:10:52]	Kal'Taar has taken 5 damage from monster_pitdrone.
[21:10:52]	Kal'Taar has taken 6 damage from monster_pitdrone.
[21:10:52]	Kal'Taar has taken 7 damage from monster_pitdrone.
[21:10:52]	Kal'Taar has taken 6 damage from monster_pitdrone.
[21:10:52]	Har Tunn has taken 6 damage from monster_shocktrooper.
[21:10:52]	Har Tunn has taken 6 damage from monster_shocktrooper.
[21:10:53]	Har Tunn has taken 6 damage from monster_shocktrooper.
[21:10:53]	Kal'Taar has taken 12 damage from monster_shockroach.
[21:10:53]	Kal'Taar has taken 33 damage from monster_shocktrooper.
[21:10:53]	Har Tunn has taken 6 damage from monster_shocktrooper.
[21:10:53]	Kal'Taar has taken 7 damage from monster_pitdrone.
[21:10:53]	Kal'Taar has taken 9 damage from monster_pitdrone.
[21:10:53]	Kal'Taar has taken 9 damage from monster_pitdrone.
[21:10:53]	Kal'Taar has taken 9 damage from monster_pitdrone.
[21:10:54]	Har Tunn has taken 6 damage from monster_shocktrooper.
[21:10:54]	Freluci used command '/ToggleRaise'.
[21:10:55]	Har Tunn has taken 6 damage from monster_pitdrone.
[21:10:55]	Har Tunn has taken 7 damage from monster_pitdrone.
[21:10:55]	Har Tunn has taken 7 damage from monster_pitdrone.
[21:10:55]	Har Tunn has taken 6 damage from monster_pitdrone.
[21:10:55]	Freluci used command '/ToggleRaise'.
[21:10:55]	Freluci exited observer at their location.
[21:10:55]	Har Tunn has taken 6 damage from monster_shocktrooper.
[21:10:56]	Har Tunn has taken 6 damage from monster_shocktrooper.
[21:10:56]	Freluci used command '/ToggleRaise'.
[21:10:56]	Har Tunn has taken 6 damage from monster_shocktrooper.
[21:10:56]	Har Tunn has taken 7 damage from monster_pitdrone.
[21:10:56]	Har Tunn has taken 9 damage from monster_pitdrone.
[21:10:56]	Har Tunn has taken 6 damage from monster_pitdrone.
[21:10:56]	Har Tunn has taken 7 damage from monster_pitdrone.
[21:10:56]	Har Tunn has taken 6 damage from monster_shocktrooper.
[21:10:57]	[VORTIGESE] Har Tunn: Stand strong!
[21:10:57]	Har Tunn has taken 6 damage from monster_shocktrooper.
[21:10:57]	Freluci used command '/ToggleRaise'.
[21:10:57]	Mak 'Braam has taken 6 damage from monster_shocktrooper.
[21:10:58]	Mak 'Braam has taken 6 damage from monster_shocktrooper.
[21:10:58]	Mak 'Braam has taken 6 damage from monster_shocktrooper.
[21:10:58]	Freluci used command '/ToggleRaise'.
[21:10:58]	Mak 'Braam has taken 8 damage from monster_pitdrone.
[21:10:58]	Mak 'Braam has taken 6 damage from monster_pitdrone.
[21:10:58]	Mak 'Braam has taken 12 damage from monster_shockroach.
[21:10:58]	Mak 'Braam has taken 6 damage from monster_shocktrooper.
[21:10:59]	Mak 'Braam has taken 6 damage from monster_shocktrooper.
[21:10:59]	Freluci has taken 6 damage from monster_shocktrooper.
[21:10:59]	Freluci has taken 6 damage from monster_shocktrooper.
[21:11:00]	Freluci has taken 6 damage from monster_shocktrooper.
[21:11:00]	Freluci has taken 6 damage from monster_shocktrooper.
[21:11:01]	Freluci has taken 6 damage from monster_shocktrooper.
[21:11:01]	Freluci has taken 6 damage from monster_shocktrooper.
[21:11:01]	Freluci has taken 6 damage from monster_shocktrooper.
[21:11:02]	Freluci has taken 6 damage from monster_shocktrooper.
[21:11:02]	Har Tunn has taken 6 damage from monster_shocktrooper.
[21:11:03]	Har Tunn has taken 6 damage from monster_shocktrooper.
[21:11:03]	Freluci has taken 12 damage from monster_shockroach.
[21:11:03]	Har Tunn has taken 6 damage from monster_shocktrooper.
[21:11:03]	Har Tunn has taken 6 damage from monster_shocktrooper.
[21:11:03]	Freluci used command '/ToggleRaise'.
[21:11:04]	Har Tunn has taken 6 damage from monster_shocktrooper.
[21:11:04]	Har Tunn has taken 6 damage from monster_shocktrooper.
[21:11:05]	Har Tunn has taken 6 damage from monster_shocktrooper.
[21:11:05]	Freluci used command '/ToggleRaise'.
[21:11:05]	Har Tunn has taken 6 damage from monster_shocktrooper.
[21:11:06]	Har Tunn has taken 6 damage from monster_shocktrooper.
[21:11:06]	Har Tunn has taken 6 damage from monster_shocktrooper.
[21:11:07]	Har Tunn has taken 6 damage from monster_shocktrooper.
[21:11:07]	Har Tunn has taken 6 damage from monster_shocktrooper.
[21:11:07]	Har Tunn has taken 6 damage from monster_shocktrooper.
[21:11:08]	Har Tunn has taken 6 damage from monster_shocktrooper.
[21:11:08]	Har Tunn has taken 6 damage from monster_shocktrooper.
[21:11:09]	Har Tunn has taken 6 damage from monster_shocktrooper.
[21:11:09]	Kal'Taar has taken 12 damage from monster_shockroach.
[21:11:09]	Freluci has taken 6 damage from monster_shocktrooper.
[21:11:09]	Kal'Taar has taken 6 damage from monster_shocktrooper.
[21:11:10]	Har Tunn has taken 6 damage from monster_shocktrooper.
[21:11:10]	Kal'Taar has taken 6 damage from monster_shocktrooper.
[21:11:10]	Kal'Taar has taken 6 damage from monster_shocktrooper.
[21:11:11]	Kal'Taar has taken 6 damage from monster_shocktrooper.
[21:11:11]	Kal'Taar has taken 6 damage from monster_shocktrooper.
[21:11:12]	Kal'Taar has taken 6 damage from monster_shocktrooper.
[21:11:12]	Kal'Taar has taken 6 damage from monster_shocktrooper.
[21:11:12]	Kal'Taar has taken 6 damage from monster_shocktrooper.
[21:11:14]	Har Tunn has taken 12 damage from monster_shockroach.
[21:11:15]	[VORTIGESE] Har Tunn: Rise!
[21:11:17]	Galargalar'Ralag has taken 6 damage from monster_pitdrone.
[21:11:17]	Galargalar'Ralag has taken 7 damage from monster_pitdrone.
[21:11:17]	Galargalar'Ralag has taken 8 damage from monster_pitdrone.
[21:11:17]	Galargalar'Ralag has taken 6 damage from monster_pitdrone.
[21:11:18]	Galargalar'Ralag has taken 5 damage from monster_pitdrone.
[21:11:18]	Galargalar'Ralag has taken 8 damage from monster_pitdrone.
[21:11:18]	Galargalar'Ralag has taken 5 damage from monster_pitdrone.
[21:11:18]	Galargalar'Ralag has taken 8 damage from monster_pitdrone.
[21:11:20]	Kal'Taar has taken 6 damage from monster_shocktrooper.
[21:11:21]	Mak 'Braam has taken 12 damage from monster_shockroach.
[21:11:21]	Kal'Taar has taken 7 damage from monster_pitdrone.
[21:11:21]	Kal'Taar has taken 8 damage from monster_pitdrone.
[21:11:21]	Kal'Taar has taken 5 damage from monster_pitdrone.
[21:11:21]	Kal'Taar has taken 9 damage from monster_pitdrone.
[21:11:21]	Kal'Taar has taken 6 damage from monster_shocktrooper.
[21:11:22]	Kal'Taar has taken 6 damage from monster_shocktrooper.
[21:11:22]	Freluci used command '/ToggleRaise'.
[21:11:22]	Kal'Taar has taken 9 damage from monster_pitdrone.
[21:11:22]	Kal'Taar has taken 7 damage from monster_pitdrone.
[21:11:22]	Kal'Taar has taken 5 damage from monster_pitdrone.
[21:11:22]	Kal'Taar has taken 9 damage from monster_pitdrone.
[21:11:24]	[VORTIGESE] Har Tunn: Advance brothers!
[21:11:24]	Kal'Taar has taken 6 damage from monster_shocktrooper.
[21:11:24]	Freluci used command '/ToggleRaise'.
[21:11:28]	Galargalar'Ralag has taken 8 damage from monster_pitdrone.
[21:11:28]	Galargalar'Ralag has taken 8 damage from monster_pitdrone.
[21:11:29]	Freluci has taken 18 damage from monster_pitdrone.
[21:11:29]	Kal'Taar has taken 18 damage from monster_pitdrone.
[21:11:30]	Kal'Taar has taken 8 damage from monster_pitdrone.
[21:11:30]	Freluci used command '/ToggleRaise'.
[21:11:32]	Galargalar'Ralag has taken 18 damage from monster_pitdrone.
[21:11:32]	Freluci has taken 18 damage from monster_pitdrone.
[21:11:34]	Kal'Taar has taken 18 damage from monster_pitdrone.
[21:11:34]	Galargalar'Ralag has taken 18 damage from monster_pitdrone.
[21:11:34]	Freluci used command '/ToggleRaise'.
[21:11:35]	Kal'Taar has taken 18 damage from monster_pitdrone.
[21:11:36]	Har Tunn has taken 6 damage from monster_shocktrooper.
[21:11:36]	Kal'Taar has taken 8 damage from monster_pitdrone.
[21:11:36]	Kal'Taar has taken 8 damage from monster_pitdrone.
[21:11:39]	Har Tunn has taken 12 damage from monster_shockroach.
[21:11:46]	Galargalar'Ralag has taken 25 damage from Kal'Taar.
[21:11:49]	[VORTIGESE] Har Tunn: We will rid them all from our land!
[21:12:12]	[ME] Galargalar'Ralag: attempts to close the portal.
[21:12:20]	[ME] Kal'Taar: attempts to help!
[21:12:25]	[ME] Har Tunn: Assists his brother in closing the portal
[21:12:27]	Freluci used command '/ToggleRaise'.
[21:12:31]	Freluci used command '/Event The portal closes.'.
[21:12:45]	[VORTIGESEFAR] Freluci: We have fought through a wave. Is this all!
[21:12:52]	??? used command '/CharSetName freluci ???'.
[21:13:05]	[VORTIGESE] Kal'Taar: These intruders falter against out might.
[21:13:10]	[VORTIGESEFAR] Har Tunn: With teamwork brothers! We can conquer any threat! Sticking together such as glue, We will propser!
[21:13:11]	[VORTIGESEFAR] ???: Hardly. Our master is near. I see antlions coming toward you.
[21:13:21]	[OOC] Har Tunn: prosper*
[21:13:23]	Freluci used command '/CharSetName ??? Freluci'.
[21:13:27]	Freluci entered observer.
[21:13:32]	Freluci has spawned a 'NPC [453][npc_antlion]'.
[21:13:38]	Freluci has spawned a 'NPC [492][npc_antlion]'.
[21:13:39]	Freluci has spawned a 'NPC [523][npc_antlion]'.
[21:13:40]	Freluci has spawned a 'NPC [524][npc_antlion]'.
[21:13:42]	Freluci has spawned a 'NPC [525][npc_antlion]'.
[21:13:45]	[VORTIGESE] Galargalar'Ralag: To the right, brothers!
[21:13:52]	Freluci has spawned a 'NPC [556][npc_chumtoad]'.
[21:13:54]	[VORTIGESEFAR] Har Tunn: Be prepared brothers, This is only the beginning!
[21:13:55]	Galargalar'Ralag has taken 5 damage from npc_antlion.
[21:13:56]	Galargalar'Ralag has taken 5 damage from npc_antlion.
[21:13:57]	Freluci has spawned a 'NPC [535][npc_antlion]'.
[21:13:59]	Freluci has spawned a 'NPC [536][npc_antlion]'.
[21:13:59]	Har Tunn has taken 5 damage from npc_antlion.
[21:14:01]	Har Tunn has taken 5 damage from npc_antlion.
[21:14:01]	Freluci has spawned a 'NPC [553][npc_antlion]'.
[21:14:02]	Har Tunn has taken 5 damage from npc_antlion.
[21:14:03]	Kal'Taar has taken 5 damage from npc_antlion.
[21:14:03]	Har Tunn has taken 5 damage from npc_antlion.
[21:14:03]	Mak 'Braam has taken 5 damage from npc_antlion.
[21:14:04]	Mak 'Braam has taken 5 damage from npc_antlion.
[21:14:05]	Har Tunn has taken 5 damage from npc_antlion.
[21:14:05]	Galargalar'Ralag has taken 5 damage from npc_antlion.
