[11:17:30]	MilkyWay has connected.
[13:34:17]	[LOOC] Andrew Philip: back
[13:35:06]	[LOOC] Teressa 'Tess' Richards: scared me
[13:35:17]	[ME] Teressa 'Tess' Richards: hacks open the container.
[13:35:26]	[LOOC] CCA.C17-JUDGE.i2.69124: ye
[13:35:35]	CCA.C17-JUDGE.i2.69124 used command '/adminspawnmenu'.
[13:35:47]	[ME] Teressa 'Tess' Richards: searches the container for sum goods.
[13:35:49]	Teressa 'Tess' Richards rolled 91 out of 100.
[13:35:49]	Teressa 'Tess' Richards used command '/Roll'.
[13:35:58]	[LOOC] CCA.C17-JUDGE.i2.69124: ooh very poggers
[13:35:59]	CCA.C17-JUDGE.i2.69124 used command '/adminspawnmenu'.
[13:36:04]	[LOOC] Teressa 'Tess' Richards: indeed
[13:36:04]	[LOOC] Andrew Philip: quick, pick the pistol
[13:36:25]	CCA.C17-JUDGE.i2.69124 used command '/CharGiveItem judge gun parts 2'.
[13:36:31]	CCA.C17-JUDGE.i2.69124 has gained a 'Weapon Parts' #6977.
[13:36:31]	CCA.C17-JUDGE.i2.69124 has gained a 'Weapon Parts' #6978.
[13:36:31]	CCA.C17-JUDGE.i2.69124 used command '/CharGiveItem judge parts 2'.
[13:36:34]	CCA.C17-JUDGE.i2.69124 ran 'drop' on item 'Weapon Parts' (#6978)
[13:36:34]	CCA.C17-JUDGE.i2.69124 has lost a 'Weapon Parts' #6978.
[13:36:35]	CCA.C17-JUDGE.i2.69124 ran 'drop' on item 'Weapon Parts' (#6977)
[13:36:35]	CCA.C17-JUDGE.i2.69124 has lost a 'Weapon Parts' #6977.
[13:36:38]	CCA.C17-JUDGE.i2.69124 used command '/adminspawnmenu'.
[13:36:47]	CCA.C17-JUDGE.i2.69124 has spawned "Bag of Screws"
[13:36:54]	Teressa 'Tess' Richards ran 'take' on item 'Weapon Parts' (#6977)
[13:36:54]	Teressa 'Tess' Richards has gained a 'Weapon Parts' #6977.
[13:36:55]	Teressa 'Tess' Richards ran 'take' on item 'Weapon Parts' (#6978)
[13:36:58]	[LOOC] CCA.C17-JUDGE.i2.69124: make y'all some guns
[13:37:02]	Teressa 'Tess' Richards ran 'take' on item 'Weapon Parts' (#6978)
[13:37:02]	Teressa 'Tess' Richards has gained a 'Weapon Parts' #6978.
[13:37:04]	Teressa 'Tess' Richards ran 'take' on item 'Bag of Screws' (#6979)
[13:37:04]	Teressa 'Tess' Richards has gained a 'Bag of Screws' #6979.
[13:37:31]	CCA.C17-JUDGE.i2.69124 has gained 10 tokens.
[13:37:35]	Andrew Philip has taken 5 damage from npc_antlion.
[13:37:35]	Andrew Philip has taken 5 damage from npc_antlion.
[13:37:36]	Andrew Philip has taken 5 damage from npc_antlion.
[13:37:37]	Andrew Philip has taken 5 damage from npc_antlion.
[13:37:39]	Andrew Philip has taken 5 damage from npc_antlion.
[13:37:41]	Andrew Philip has taken 5 damage from npc_antlion.
[13:37:43]	Teressa 'Tess' Richards has taken 5 damage from npc_antlion.
[13:37:44]	Andrew Philip has taken 5 damage from npc_antlion.
[13:37:53]	Andrew Philip has taken 5 damage from npc_antlion.
[13:38:40]	[ME] Teressa 'Tess' Richards: obliterates the container lock opening it up.
[13:38:41]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6951)
[13:38:45]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6951)
[13:38:54]	[LOOC] CCA.C17-JUDGE.i2.69124: e
[13:39:00]	CCA.C17-JUDGE.i2.69124 used command '/adminspawnmenu'.
[13:39:04]	[ME] Teressa 'Tess' Richards: searches the inside of the container
[13:39:06]	Teressa 'Tess' Richards rolled 90 out of 100.
[13:39:06]	Teressa 'Tess' Richards used command '/Roll'.
[13:39:21]	CCA.C17-JUDGE.i2.69124 has spawned "Armor Scraps"
[13:39:22]	CCA.C17-JUDGE.i2.69124 has spawned "Armor Scraps"
[13:39:25]	Teressa 'Tess' Richards ran 'take' on item 'Armor Scraps' (#6981)
[13:39:25]	Teressa 'Tess' Richards has gained a 'Armor Scraps' #6981.
[13:39:26]	Teressa 'Tess' Richards ran 'take' on item 'Armor Scraps' (#6980)
[13:39:26]	Teressa 'Tess' Richards has gained a 'Armor Scraps' #6980.
[13:39:38]	[LOOC] Andrew Philip: more
[13:39:40]	CCA.C17-JUDGE.i2.69124 has spawned "Sewn Cloth"
[13:39:41]	CCA.C17-JUDGE.i2.69124 has spawned "Sewn Cloth"
[13:39:45]	Andrew Philip ran 'take' on item 'Sewn Cloth' (#6983)
[13:39:51]	Teressa 'Tess' Richards ran 'drop' on item 'Pack of Nails' (#6559)
[13:39:51]	Teressa 'Tess' Richards has lost a 'Pack of Nails' #6559.
[13:39:52]	Teressa 'Tess' Richards ran 'drop' on item 'Bag of Screws' (#6620)
[13:39:52]	Teressa 'Tess' Richards has lost a 'Bag of Screws' #6620.
[13:39:54]	Teressa 'Tess' Richards ran 'take' on item 'Sewn Cloth' (#6982)
[13:39:54]	Teressa 'Tess' Richards has gained a 'Sewn Cloth' #6982.
[13:39:55]	Teressa 'Tess' Richards ran 'take' on item 'Sewn Cloth' (#6983)
[13:39:55]	Teressa 'Tess' Richards has gained a 'Sewn Cloth' #6983.
[13:40:05]	Teressa 'Tess' Richards ran 'drop' on item 'Small Cooking Pot' (#5482)
[13:40:05]	Teressa 'Tess' Richards has lost a 'Small Cooking Pot' #5482.
[13:40:10]	Teressa 'Tess' Richards ran 'ApplySelf' on item 'Bandage' (#6948)
[13:40:14]	Teressa 'Tess' Richards ran 'ApplySelf' on item 'Bandage' (#6948)
[13:40:19]	Teressa 'Tess' Richards ran 'ApplySelf' on item 'Bandage' (#6948)
[13:40:21]	Teressa 'Tess' Richards ran 'ApplySelf' on item 'Bandage' (#6948)
[13:40:28]	Teressa 'Tess' Richards ran 'drop' on item 'Bandage' (#6948)
[13:40:28]	Teressa 'Tess' Richards has lost a 'Bandage' #6948.
[13:40:32]	Teressa 'Tess' Richards ran 'drop' on item 'Bag of Screws' (#6979)
[13:40:32]	Teressa 'Tess' Richards has lost a 'Bag of Screws' #6979.
[13:40:33]	[ME] Andrew Philip: takes the pot and places it on her head
[13:40:43]	Andrew Philip ran 'take' on item 'Bandage' (#6948)
[13:40:59]	Teressa 'Tess' Richards ran 'ApplyOther' on item 'Bandage' (#6948)
[13:41:04]	Teressa 'Tess' Richards ran 'Apply' on item 'Bandage' (#6948)
[13:41:34]	[ME] Andrew Philip: tries to break open the container
[13:42:02]	[ME] Andrew Philip: open the container, would he have any feelings of the container being odd?
[13:42:08]	[LOOC] CCA.C17-JUDGE.i2.69124: roll
[13:42:08]	Andrew Philip rolled 7 out of 100.
[13:42:08]	Andrew Philip used command '/Roll'.
[13:42:11]	[LOOC] CCA.C17-JUDGE.i2.69124: nope
[13:42:18]	[LOOC] CCA.C17-JUDGE.i2.69124: still just a container to you
[13:42:28]	[ME] Andrew Philip: searchs the container, is it empty as well?
[13:42:31]	CCA.C17-JUDGE.i2.69124 has gained 10 tokens.
[13:42:39]	[LOOC] CCA.C17-JUDGE.i2.69124: y... yes
[13:43:44]	Andrew Philip destroyed a 'Bag of Screws' #6979.
[13:43:47]	Teressa 'Tess' Richards ran 'take' on item 'Pack of Nails' (#6559)
[13:43:47]	Teressa 'Tess' Richards has gained a 'Pack of Nails' #6559.
[13:43:48]	Teressa 'Tess' Richards ran 'take' on item 'Bag of Screws' (#6620)
[13:43:48]	Teressa 'Tess' Richards has gained a 'Bag of Screws' #6620.
[13:45:50]	[Y] Teressa 'Tess' Richards: Fuck you i give up!
[13:45:53]	[Y] Andrew Philip: Pot head.
[13:46:01]	[Y] Teressa 'Tess' Richards: Shut the hell up dickhead!
[13:47:14]	[ME] Andrew Philip: chuckles
[13:49:20]	Andrew Philip ran 'drop' on item 'Battered Scrap' (#6616)
[13:49:20]	Andrew Philip has lost a 'Battered Scrap' #6616.
[13:49:27]	Andrew Philip ran 'take' on item 'Small Cooking Pot' (#5482)
[13:49:27]	Andrew Philip has gained a 'Small Cooking Pot' #5482.
[13:49:27]	Teressa 'Tess' Richards ran 'take' on item 'Battered Scrap' (#6616)
[13:49:27]	Teressa 'Tess' Richards has gained a 'Battered Scrap' #6616.
[13:49:31]	Andrew Philip opened the '' #491 container.
[13:49:48]	Andrew Philip closed the '' #491 container.
[13:49:50]	Teressa 'Tess' Richards ran 'drop' on item 'Weapon Parts' (#6977)
[13:49:50]	Teressa 'Tess' Richards has lost a 'Weapon Parts' #6977.
[13:49:53]	Teressa 'Tess' Richards ran 'drop' on item 'Weapon Parts' (#6978)
[13:49:53]	Teressa 'Tess' Richards has lost a 'Weapon Parts' #6978.
[13:49:56]	Teressa 'Tess' Richards ran 'drop' on item 'Armor Scraps' (#6980)
[13:49:56]	Teressa 'Tess' Richards has lost a 'Armor Scraps' #6980.
[13:49:58]	Teressa 'Tess' Richards ran 'drop' on item 'Armor Scraps' (#6981)
[13:49:58]	Teressa 'Tess' Richards has lost a 'Armor Scraps' #6981.
[13:50:22]	Teressa 'Tess' Richards ran 'drop' on item 'Screwdriver' (#6959)
[13:50:22]	Teressa 'Tess' Richards has lost a 'Screwdriver' #6959.
[13:51:03]	Teressa 'Tess' Richards ran 'drop' on item 'Refined Metal' (#6957)
[13:51:03]	Teressa 'Tess' Richards has lost a 'Refined Metal' #6957.
[13:51:05]	Teressa 'Tess' Richards ran 'drop' on item 'Refined Metal' (#6958)
[13:51:05]	Teressa 'Tess' Richards has lost a 'Refined Metal' #6958.
[13:51:12]	Teressa 'Tess' Richards ran 'drop' on item 'Blue Pre-War Shirt' (#3032)
[13:51:12]	Teressa 'Tess' Richards has lost a 'Blue Pre-War Shirt' #3032.
[13:51:17]	Teressa 'Tess' Richards ran 'drop' on item 'Blue Pre-War Shirt' (#5316)
[13:51:17]	Teressa 'Tess' Richards has lost a 'Blue Pre-War Shirt' #5316.
[13:51:19]	Teressa 'Tess' Richards ran 'drop' on item 'Fingerless Gloves' (#5188)
[13:51:19]	Teressa 'Tess' Richards has lost a 'Fingerless Gloves' #5188.
[13:51:21]	Teressa 'Tess' Richards ran 'drop' on item 'Fingerless Gloves' (#5315)
[13:51:21]	Teressa 'Tess' Richards has lost a 'Fingerless Gloves' #5315.
[13:51:30]	Andrew Philip ran 'drop' on item 'Wires' (#6965)
[13:51:30]	Andrew Philip has lost a 'Wires' #6965.
[13:51:30]	Teressa 'Tess' Richards ran 'drop' on item 'Gold Watch' (#6968)
[13:51:30]	Teressa 'Tess' Richards has lost a 'Gold Watch' #6968.
[13:51:42]	Teressa 'Tess' Richards ran 'drop' on item 'Battered Scrap' (#6616)
[13:51:42]	Teressa 'Tess' Richards has lost a 'Battered Scrap' #6616.
[13:51:43]	Andrew Philip ran 'drop' on item 'Refined Electronics' (#6975)
[13:51:43]	Andrew Philip has lost a 'Refined Electronics' #6975.
[13:51:50]	Andrew Philip ran 'drop' on item 'Screw Nuts' (#6955)
[13:51:50]	Andrew Philip has lost a 'Screw Nuts' #6955.
[13:51:53]	Teressa 'Tess' Richards ran 'drop' on item 'Scrap Metal' (#6960)
[13:51:53]	Teressa 'Tess' Richards has lost a 'Scrap Metal' #6960.
[13:51:58]	Andrew Philip ran 'drop' on item 'Wires' (#6966)
[13:51:58]	Andrew Philip has lost a 'Wires' #6966.
[13:52:01]	Teressa 'Tess' Richards ran 'drop' on item 'Silicone Tube' (#6694)
[13:52:01]	Teressa 'Tess' Richards has lost a 'Silicone Tube' #6694.
[13:52:09]	Teressa 'Tess' Richards ran 'drop' on item 'Bag of Screws' (#6620)
[13:52:09]	Teressa 'Tess' Richards has lost a 'Bag of Screws' #6620.
[13:52:13]	Teressa 'Tess' Richards ran 'drop' on item 'Pack of Nails' (#6559)
[13:52:13]	Teressa 'Tess' Richards has lost a 'Pack of Nails' #6559.
[13:52:17]	Andrew Philip ran 'drop' on item 'Chunk of Plastic' (#6963)
[13:52:17]	Andrew Philip has lost a 'Chunk of Plastic' #6963.
[13:52:23]	Andrew Philip ran 'drop' on item 'Screw Nuts' (#6956)
[13:52:23]	Andrew Philip has lost a 'Screw Nuts' #6956.
[13:52:27]	Teressa 'Tess' Richards ran 'drop' on item 'Cables' (#6973)
[13:52:27]	Teressa 'Tess' Richards has lost a 'Cables' #6973.
[13:52:29]	Andrew Philip ran 'drop' on item 'Charcoal' (#6976)
[13:52:29]	Andrew Philip has lost a 'Charcoal' #6976.
[13:52:29]	Teressa 'Tess' Richards ran 'drop' on item 'Cables' (#6974)
[13:52:29]	Teressa 'Tess' Richards has lost a 'Cables' #6974.
[13:52:31]	CCA.C17-JUDGE.i2.69124 has gained 10 tokens.
[13:52:36]	Teressa 'Tess' Richards ran 'drop' on item 'Cables' (#6964)
[13:52:36]	Teressa 'Tess' Richards has lost a 'Cables' #6964.
[13:52:39]	Teressa 'Tess' Richards ran 'drop' on item 'Sewn Cloth' (#6982)
[13:52:39]	Teressa 'Tess' Richards has lost a 'Sewn Cloth' #6982.
[13:52:42]	Teressa 'Tess' Richards ran 'drop' on item 'Sewn Cloth' (#6983)
[13:52:42]	Teressa 'Tess' Richards has lost a 'Sewn Cloth' #6983.
[13:52:45]	Andrew Philip ran 'drop' on item 'Nails' (#6972)
[13:52:45]	Andrew Philip has lost a 'Nails' #6972.
[13:52:46]	Andrew Philip ran 'drop' on item 'Nails' (#6971)
[13:52:46]	Andrew Philip has lost a 'Nails' #6971.
[13:52:49]	Andrew Philip ran 'drop' on item 'Battered Scrap' (#6615)
[13:52:49]	Andrew Philip has lost a 'Battered Scrap' #6615.
[13:52:53]	Teressa 'Tess' Richards ran 'drop' on item 'Broken shovel' (#6652)
[13:52:53]	Teressa 'Tess' Richards has lost a 'Broken shovel' #6652.
[13:52:58]	Andrew Philip ran 'drop' on item 'Chunk of Plastic' (#6962)
[13:52:58]	Andrew Philip has lost a 'Chunk of Plastic' #6962.
[13:53:13]	Teressa 'Tess' Richards ran 'drop' on item 'Empty Can' (#6626)
[13:53:13]	Teressa 'Tess' Richards has lost a 'Empty Can' #6626.
[13:53:21]	Teressa 'Tess' Richards ran 'drop' on item 'Insulating Tape' (#6969)
[13:53:21]	Teressa 'Tess' Richards has lost a 'Insulating Tape' #6969.
[13:53:59]	[ME] Andrew Philip: takes the pan and the plastic
[13:54:01]	Andrew Philip ran 'take' on item 'Pan' (#5220)
[13:54:01]	Andrew Philip has gained a 'Pan' #5220.
[13:54:04]	Andrew Philip ran 'take' on item 'Chunk of Plastic' (#6963)
[13:54:04]	Andrew Philip has gained a 'Chunk of Plastic' #6963.
[13:54:06]	Andrew Philip ran 'take' on item 'Chunk of Plastic' (#6962)
[13:54:06]	Andrew Philip has gained a 'Chunk of Plastic' #6962.
[13:54:20]	Teressa 'Tess' Richards ran 'drop' on item 'Padlock' (#3103)
[13:54:20]	Teressa 'Tess' Richards has lost a 'Padlock' #3103.
[13:55:05]	Andrew Philip ran 'take' on item 'Pliers' (#6857)
[13:55:05]	Andrew Philip has gained a 'Pliers' #6857.
[13:57:31]	CCA.C17-JUDGE.i2.69124 has gained 10 tokens.
[13:57:45]	[ME] Teressa 'Tess' Richards: turns the fauset on and washes their hands with soap.
[13:57:55]	[ME] Andrew Philip: takes the pan, and takes the piller first melting the Pillters for its plastic mainly, then puts the other plastic in the hot pan melting them
[13:58:01]	Andrew Philip ran 'drop' on item 'Pan' (#5220)
[13:58:01]	Andrew Philip has lost a 'Pan' #5220.
[13:58:23]	[ME] Andrew Philip: the pan would have some melted plastic in it
[13:58:54]	Andrew Philip has taken 1 damage from worldspawn.
[13:58:55]	Andrew Philip has taken 1 damage from worldspawn.
[13:58:55]	Andrew Philip has taken 1 damage from worldspawn.
[13:58:56]	Andrew Philip has taken 1 damage from worldspawn.
[13:58:57]	Andrew Philip ran 'equip' on item 'Citizen Filter' (#6602)
[14:00:00]	Andrew Philip ran 'drop' on item 'Pliers' (#6857)
[14:00:00]	Andrew Philip has lost a 'Pliers' #6857.
[14:00:06]	Andrew Philip ran 'drop' on item 'Chunk of Plastic' (#6963)
[14:00:06]	Andrew Philip has lost a 'Chunk of Plastic' #6963.
[14:00:07]	Andrew Philip ran 'drop' on item 'Chunk of Plastic' (#6962)
[14:00:07]	Andrew Philip has lost a 'Chunk of Plastic' #6962.
[14:00:18]	CCA.C17-JUDGE.i2.69124 used command '/adminspawnmenu'.
[14:00:54]	[ME] Andrew Philip: would be making something before commenting
[14:00:56]	Andrew Philip has gained a 'Radio Case' #6984.
[14:00:56]	CCA.C17-JUDGE.i2.69124 used command '/CharGiveItem andrew radio case'.
[14:01:02]	Andrew Philip ran 'drop' on item 'Radio Case' (#6954)
[14:01:02]	Andrew Philip has lost a 'Radio Case' #6954.
[14:01:04]	Andrew Philip ran 'drop' on item 'Radio Case' (#6984)
[14:01:04]	Andrew Philip has lost a 'Radio Case' #6984.
[14:01:09]	Andrew Philip ran 'take' on item 'Radio Case' (#6984)
[14:01:09]	Andrew Philip has gained a 'Radio Case' #6984.
[14:01:11]	Andrew Philip ran 'take' on item 'Radio Case' (#6954)
[14:01:11]	Andrew Philip has gained a 'Radio Case' #6954.
[14:01:26]	[LOOC] CCA.C17-JUDGE.i2.69124: muy bien
[14:01:38]	Andrew Philip ran 'drop' on item 'Radio Case' (#6984)
[14:01:38]	Andrew Philip has lost a 'Radio Case' #6984.
[14:01:41]	Andrew Philip ran 'drop' on item 'Radio Case' (#6954)
[14:01:41]	Andrew Philip has lost a 'Radio Case' #6954.
[14:02:18]	CCA.C17-JUDGE.i2.69124 used command '/CharAddAttribute andrew engineer .5'.
[14:02:31]	CCA.C17-JUDGE.i2.69124 has gained 10 tokens.
[14:03:23]	[LOOC] CCA.C17-JUDGE.i2.69124: dasss uhhhh, not very high my guy
[14:03:45]	[LOOC] CCA.C17-JUDGE.i2.69124: bruh
[14:04:15]	[LOOC] CCA.C17-JUDGE.i2.69124: btw tess just so you know what's happening, he's fraying the wires when he messes up
[14:04:29]	CCA.C17-JUDGE.i2.69124 used command '/adminspawnmenu'.
[14:04:29]	[LOOC] Teressa 'Tess' Richards: figured
[14:05:06]	CCA.C17-JUDGE.i2.69124 has spawned "Handheld Radio"
[14:05:16]	Andrew Philip ran 'take' on item 'Handheld Radio' (#6984)
[14:05:16]	Andrew Philip has gained a 'Handheld Radio' #6984.
[14:05:28]	[ME] Andrew Philip: would attempt to fabricate the other Radio
[14:06:09]	CCA.C17-JUDGE.i2.69124 used command '/adminspawnmenu'.
[14:06:44]	[ME] Andrew Philip: would be sweating under his radio, he checks his hands as his goloves would be burnt off from the wires as he turns to Tess and says
[14:06:48]	CCA.C17-JUDGE.i2.69124 has spawned "Duplex Radio"
[14:06:57]	Andrew Philip ran 'take' on item 'Duplex Radio' (#6985)
[14:06:57]	Andrew Philip has gained a 'Duplex Radio' #6985.
[14:07:07]	CCA.C17-JUDGE.i2.69124 used command '/CharAddAttribute andrew engineer 1.5'.
[14:07:31]	CCA.C17-JUDGE.i2.69124 has gained 10 tokens.
[14:12:50]	[Y] Teressa 'Tess' Richards: Oi Andrew.
[14:13:02]	Teressa 'Tess' Richards ran 'take' on item 'Powercord' (#6720)
[14:13:02]	Teressa 'Tess' Richards has gained a 'Powercord' #6720.
[14:13:04]	Andrew Philip ran 'drop' on item 'Citizen Filter' (#6565)
[14:13:04]	Andrew Philip has lost a 'Citizen Filter' #6565.
[14:13:07]	Teressa 'Tess' Richards ran 'take' on item 'Citizen Filter' (#6565)
[14:13:07]	Teressa 'Tess' Richards has gained a 'Citizen Filter' #6565.
[14:13:14]	Teressa 'Tess' Richards ran 'equip' on item 'Citizen Filter' (#6565)
[14:15:39]	[LOOC] Andrew Philip: a->as
[14:15:51]	Teressa 'Tess' Richards ran 'take' on item 'Empty Paint Can' (#6722)
[14:15:51]	Teressa 'Tess' Richards has gained a 'Empty Paint Can' #6722.
[14:15:53]	Teressa 'Tess' Richards ran 'take' on item 'Powercord' (#6545)
[14:15:53]	Teressa 'Tess' Richards has gained a 'Powercord' #6545.
[14:16:13]	[ME] Andrew Philip: checks the vending machine, seeing if its even possible to do such thing
[14:17:31]	CCA.C17-JUDGE.i2.69124 has gained 10 tokens.
[14:18:12]	[LOOC] CCA.C17-JUDGE.i2.69124: ye you can unscrew the cover
[14:18:40]	[ME] Andrew Philip: takes the cart and places it next to the vending machine
[14:19:05]	[ME] Andrew Philip: places the vending machine on top of the cart with the help of tess
[14:19:09]	Andrew Philip rolled 9 out of 100.
[14:19:09]	Andrew Philip used command '/Roll str'.
[14:19:15]	[ME] Andrew Philip: fails
[14:19:20]	[ME] Andrew Philip: sighs
[14:19:42]	[ME] Teressa 'Tess' Richards: fails.
[14:19:52]	[ME] Andrew Philip: would manage to move it slightly
[14:20:53]	[LOOC] CCA.C17-JUDGE.i2.69124: it am limftend
[14:21:05]	[LOOC] Teressa 'Tess' Richards: horaay
[14:21:16]	[LOOC] CCA.C17-JUDGE.i2.69124: yeee
[14:21:16]	[ME] Andrew Philip: pats for a moment
[14:21:24]	[ME] Andrew Philip: takes a water can and drinks it
[14:21:50]	[ME] Andrew Philip: pushs the cart with the help of Tess
[14:22:31]	CCA.C17-JUDGE.i2.69124 has gained 10 tokens.
[14:22:51]	[ME] Andrew Philip: stops pulling the cart and looks down before sitting on the floor, his hands on his face
[14:22:58]	[Y] Andrew Philip: FfffffffffffffffUUUUUUUUUUCK.
[14:24:37]	[LOOC] Teressa 'Tess' Richards: there*
[14:24:42]	[ME] Teressa 'Tess' Richards: nods
[14:24:59]	[ME] Andrew Philip: takes the axe and attempts to kill the barnacle
[14:25:40]	[ME] Teressa 'Tess' Richards: sighs.
[14:25:52]	[ME] Teressa 'Tess' Richards: helps push it down.
[14:26:03]	[ME] Andrew Philip: pushs the cart with the help of Tess, hoping the vending machine dosen't break
[14:26:09]	[LOOC] Andrew Philip: lets convince the admin our rolls combine
[14:26:24]	Andrew Philip rolled 35 out of 100.
[14:26:24]	Andrew Philip used command '/Roll'.
[14:26:26]	Teressa 'Tess' Richards rolled 63 out of 100.
[14:26:26]	Teressa 'Tess' Richards used command '/Roll'.
[14:26:50]	[LOOC] CCA.C17-JUDGE.i2.69124: oofenschmirtz lemme roll to see how damaged the cart is
[14:26:59]	CCA.C17-JUDGE.i2.69124 rolled 79 out of 100.
[14:26:59]	CCA.C17-JUDGE.i2.69124 used command '/Roll'.
[14:27:07]	[LOOC] Teressa 'Tess' Richards: 7.9 
[14:27:15]	[LOOC] CCA.C17-JUDGE.i2.69124: it's dented quite a bit but it's still useable
[14:27:20]	[LOOC] Andrew Philip: 7.9 what, the numbers mason, what does it mean
[14:27:31]	CCA.C17-JUDGE.i2.69124 has gained 10 tokens.
[14:27:50]	[IT] Andrew Philip: the cart would also be bounced off
[14:27:53]	[ME] Andrew Philip: sigh
[14:28:42]	[ME] Andrew Philip: tries to get the vending machine on the cart with the help of tess
[14:28:45]	[ME] Teressa 'Tess' Richards: helps get the machine back on the cart.
[14:31:14]	[ME] Andrew Philip: starts by taking the screws, unscrewing it
[14:31:19]	Teressa 'Tess' Richards ran 'drop' on item 'Powercord' (#6720)
[14:31:19]	Teressa 'Tess' Richards has lost a 'Powercord' #6720.
[14:31:38]	Teressa 'Tess' Richards ran 'drop' on item 'Powercord' (#6545)
[14:31:38]	Teressa 'Tess' Richards has lost a 'Powercord' #6545.
[14:31:45]	Teressa 'Tess' Richards ran 'drop' on item 'Empty Paint Can' (#6722)
[14:31:45]	Teressa 'Tess' Richards has lost a 'Empty Paint Can' #6722.
[14:31:48]	Teressa 'Tess' Richards ran 'EquipUn' on item 'Axe' (#6961)
[14:31:49]	Teressa 'Tess' Richards ran 'drop' on item 'Axe' (#6961)
[14:31:51]	Teressa 'Tess' Richards ran 'drop' on item 'Axe' (#6961)
[14:31:54]	Andrew Philip has spawned 'models/props_interiors/VendingMachineSoda01a.mdl'.
[14:31:55]	Teressa 'Tess' Richards ran 'drop' on item 'Small Items Case' (#5346)
[14:31:55]	Teressa 'Tess' Richards has lost a 'Small Items Case' #5346.
[14:31:55]	Teressa 'Tess' Richards has lost a 'Civil Workers' Union ID' #6199.
[14:31:55]	Teressa 'Tess' Richards has lost a 'Citizen ID' #518.
[14:31:57]	Teressa 'Tess' Richards ran 'take' on item 'Small Items Case' (#5346)
[14:31:57]	Teressa 'Tess' Richards has gained a 'Small Items Case' #5346.
[14:31:57]	Teressa 'Tess' Richards has gained a 'Civil Workers' Union ID' #6199.
[14:31:57]	Teressa 'Tess' Richards has gained a 'Citizen ID' #518.
[14:31:58]	Teressa 'Tess' Richards ran 'drop' on item 'Small Items Case' (#5341)
[14:31:58]	Teressa 'Tess' Richards has lost a 'Small Items Case' #5341.
[14:31:58]	Teressa 'Tess' Richards has lost a 'Axe' #6961.
[14:32:31]	CCA.C17-JUDGE.i2.69124 has gained 10 tokens.
[14:32:34]	CCA.C17-JUDGE.i2.69124 exited observer at their location.
[14:32:40]	CCA.C17-JUDGE.i2.69124 entered observer.
[14:32:40]	Andrew Philip has spawned 'models/props_interiors/VendingMachineSoda01a_door.mdl'.
[14:32:46]	CCA.C17-JUDGE.i2.69124 exited observer at their location.
[14:33:01]	CCA.C17-JUDGE.i2.69124 has spawned 'models/props_wasteland/controlroom_storagecloset001b.mdl'.
[14:33:06]	Teressa 'Tess' Richards ran 'Equip' on item 'Empty Glass Bottle' (#4834)
[14:33:46]	CCA.C17-JUDGE.i2.69124 has set container 499 name to 'Hollowed out vending machine'.
[14:33:51]	CCA.C17-JUDGE.i2.69124 entered observer.
[14:33:54]	Andrew Philip ran 'Use' on item 'Padlock' (#6365)
[14:34:11]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6951)
[14:34:14]	Andrew Philip ran 'drop' on item 'Scrap Electronics' (#6970)
[14:34:14]	Andrew Philip has lost a 'Scrap Electronics' #6970.
[14:34:25]	Andrew Philip opened the '' #491 container.
[14:34:28]	Andrew Philip ran 'EquipUn' on item 'Axe' (#6690)
[14:34:43]	Teressa 'Tess' Richards used the 'General Store Manager' vendor.
[14:34:48]	Teressa 'Tess' Richards has lost 2 tokens.
[14:34:48]	Teressa 'Tess' Richards has gained a 'Citizen Filter' #6986.
[14:34:48]	Teressa 'Tess' Richards has lost 2 tokens.
[14:34:48]	Teressa 'Tess' Richards has gained a 'Citizen Filter' #6987.
[14:34:49]	Teressa 'Tess' Richards has lost 2 tokens.
[14:34:49]	Teressa 'Tess' Richards has gained a 'Citizen Filter' #6988.
[14:34:49]	Teressa 'Tess' Richards has lost 2 tokens.
[14:34:49]	Teressa 'Tess' Richards has gained a 'Citizen Filter' #6989.
[14:34:50]	Teressa 'Tess' Richards has lost 2 tokens.
[14:34:50]	Teressa 'Tess' Richards has gained a 'Citizen Filter' #6990.
[14:34:50]	Teressa 'Tess' Richards has lost 2 tokens.
[14:34:50]	Teressa 'Tess' Richards has gained a 'Citizen Filter' #6991.
[14:34:51]	Teressa 'Tess' Richards has lost 2 tokens.
[14:34:51]	Teressa 'Tess' Richards has gained a 'Citizen Filter' #6992.
[14:34:51]	Teressa 'Tess' Richards has lost 2 tokens.
[14:34:51]	Teressa 'Tess' Richards has gained a 'Citizen Filter' #6993.
[14:34:52]	Andrew Philip closed the '' #491 container.
[14:34:52]	Teressa 'Tess' Richards has lost 2 tokens.
[14:34:52]	Teressa 'Tess' Richards has gained a 'Citizen Filter' #6994.
[14:34:52]	Teressa 'Tess' Richards has lost 2 tokens.
[14:34:52]	Teressa 'Tess' Richards has gained a 'Citizen Filter' #6995.
[14:34:53]	Teressa 'Tess' Richards has lost 2 tokens.
[14:34:53]	Teressa 'Tess' Richards has gained a 'Citizen Filter' #6996.
[14:34:53]	Teressa 'Tess' Richards has lost 2 tokens.
[14:34:53]	Teressa 'Tess' Richards has gained a 'Citizen Filter' #6997.
