[00:01:18]	[OOC] CCA.C17-GRID.i3.08313: I 
[14:13:07]	Lin'Garung has gained a 'Capacitors' #27876.
[14:13:15]	Lin'Garung has gained a 'Boot' #27877.
[14:13:19]	Lin'Garung ran 'drop' on item 'Boot' (#27877)
[14:13:19]	Lin'Garung has lost a 'Boot' #27877.
[14:13:20]	Lin'Garung destroyed a 'Boot' #27877.
[14:13:37]	Lin'Garung destroyed a 'Pipe' #27877.
[14:15:12]	Lin'Garung has gained a 'Insulating Tape' #27877.
[14:15:39]	Lin'Garung has gained a 'Empty Pill Bottle' #27878.
[14:15:45]	Lin'Garung ran 'drop' on item 'Empty Pill Bottle' (#27878)
[14:15:45]	Lin'Garung has lost a 'Empty Pill Bottle' #27878.
[14:15:47]	Lin'Garung destroyed a 'Empty Pill Bottle' #27878.
[14:15:58]	Lin'Garung has gained a 'Cyclopic Citizen Suit' #27878.
[14:16:00]	Lin'Garung ran 'Equip' on item 'Cyclopic Citizen Suit' (#27878)
[14:16:03]	Lin'Garung ran 'EquipUn' on item 'Cyclopic Citizen Suit' (#27878)
[14:16:05]	Lin'Garung ran 'drop' on item 'Cyclopic Citizen Suit' (#27878)
[14:16:05]	Lin'Garung has lost a 'Cyclopic Citizen Suit' #27878.
[14:16:06]	Lin'Garung destroyed a 'Cyclopic Citizen Suit' #27878.
[14:16:15]	Lin'Garung ran 'drop' on item 'Insulating Tape' (#27877)
[14:16:15]	Lin'Garung has lost a 'Insulating Tape' #27877.
[14:17:26]	Lin'Garung has gained a 'Capacitors' #27878.
[14:17:34]	Lin'Garung ran 'drop' on item 'Capacitors' (#27876)
[14:17:34]	Lin'Garung has lost a 'Capacitors' #27876.
[14:17:37]	Lin'Garung ran 'drop' on item 'Capacitors' (#27878)
[14:17:37]	Lin'Garung has lost a 'Capacitors' #27878.
[14:18:01]	Lin'Garung has gained a 'Box of Matches' #27879.
[14:18:13]	Lin'Garung has gained a 'Boot' #27880.
[14:18:15]	Lin'Garung ran 'drop' on item 'Boot' (#27880)
[14:18:15]	Lin'Garung has lost a 'Boot' #27880.
[14:18:16]	Lin'Garung destroyed a 'Boot' #27880.
[14:18:22]	Lin'Garung ran 'drop' on item 'Box of Matches' (#27879)
[14:18:22]	Lin'Garung has lost a 'Box of Matches' #27879.
[14:18:38]	Lin'Garung has gained a 'Empty Sparkling Consulate Water Can' #27880.
[14:18:41]	Lin'Garung ran 'drop' on item 'Empty Sparkling Consulate Water Can' (#27880)
[14:18:41]	Lin'Garung has lost a 'Empty Sparkling Consulate Water Can' #27880.
[14:18:43]	Lin'Garung destroyed a 'Empty Sparkling Consulate Water Can' #27880.
[14:18:59]	Lin'Garung has taken 15 damage from npc_barnacle.
[14:19:00]	Lin'Garung has taken 15 damage from npc_barnacle.
[14:19:02]	Lin'Garung has taken 15 damage from npc_barnacle.
[14:19:03]	Lin'Garung has taken 15 damage from npc_barnacle.
[14:19:03]	npc_barnacle has killed Lin'Garung.
[14:19:18]	Lin'Garung has gained a 'Metal Gas Can' #27880.
[14:19:30]	Lin'Garung has gained a 'Paper' #27881.
[14:19:33]	Lin'Garung ran 'drop' on item 'Paper' (#27881)
[14:19:33]	Lin'Garung has lost a 'Paper' #27881.
[14:19:41]	Lin'Garung has gained a 'Notepad' #27882.
[14:19:47]	Lin'Garung ran 'drop' on item 'Notepad' (#27882)
[14:19:47]	Lin'Garung has lost a 'Notepad' #27882.
[14:20:35]	Lin'Garung has gained a 'Empty Pill Bottle' #27884.
[14:20:38]	Lin'Garung ran 'drop' on item 'Empty Pill Bottle' (#27884)
[14:20:38]	Lin'Garung has lost a 'Empty Pill Bottle' #27884.
[14:20:39]	Lin'Garung destroyed a 'Empty Pill Bottle' #27884.
[14:20:44]	Lin'Garung ran 'drop' on item 'Metal Gas Can' (#27880)
[14:20:44]	Lin'Garung has lost a 'Metal Gas Can' #27880.
[14:21:28]	Lin'Garung ran 'drop' on item 'Rock' (#27728)
[14:21:28]	Lin'Garung has lost a 'Rock' #27728.
[14:21:38]	Lin'Garung has gained a 'Shovel' #27884.
[14:21:41]	Lin'Garung ran 'drop' on item 'Shovel' (#27884)
[14:21:41]	Lin'Garung has lost a 'Shovel' #27884.
[14:21:43]	Lin'Garung destroyed a 'Shovel' #27884.
[14:21:55]	Lin'Garung has gained a 'Pin' #27884.
[14:22:00]	Lin'Garung ran 'drop' on item 'Pin' (#27884)
[14:22:00]	Lin'Garung has lost a 'Pin' #27884.
[14:22:02]	Lin'Garung destroyed a 'Pin' #27884.
[14:22:05]	Lin'Garung has gained a 'Crowbar' #27884.
[14:22:11]	Lin'Garung ran 'Equip' on item 'Crowbar' (#27884)
[14:23:11]	Lin'Garung has gained a 'Sewing Kit' #27885.
[14:23:17]	Lin'Garung opened the '' #243 container.
[14:23:19]	Lin'Garung closed the '' #243 container.
[14:23:23]	Lin'Garung ran 'drop' on item 'Sewing Kit' (#27885)
[14:23:23]	Lin'Garung has lost a 'Sewing Kit' #27885.
[14:23:35]	Lin'Garung has gained a 'Gunpowder' #27886.
[14:23:40]	Lin'Garung opened the '' #244 container.
[14:23:43]	Lin'Garung closed the '' #244 container.
[14:23:44]	Lin'Garung opened the '' #243 container.
[14:23:47]	Lin'Garung closed the '' #243 container.
[14:23:53]	Lin'Garung opened the '' #244 container.
[14:23:56]	Lin'Garung closed the '' #244 container.
[14:23:57]	Lin'Garung opened the '' #243 container.
[14:24:03]	Lin'Garung has gained a 'Paper' #27846.
[14:24:08]	Lin'Garung closed the '' #243 container.
[14:24:09]	Lin'Garung opened the '' #244 container.
[14:24:11]	Lin'Garung has gained a 'Silicone Tube' #27834.
[14:24:12]	Lin'Garung closed the '' #244 container.
[14:24:12]	Lin'Garung opened the '' #243 container.
[14:24:15]	Lin'Garung has gained a 'Gunpowder' #27886.
[14:24:17]	Lin'Garung closed the '' #243 container.
[14:24:17]	Lin'Garung opened the '' #244 container.
[14:24:27]	Lin'Garung closed the '' #244 container.
[14:24:30]	Lin'Garung ran 'drop' on item 'Paper' (#27846)
[14:24:30]	Lin'Garung has lost a 'Paper' #27846.
[14:24:31]	Lin'Garung ran 'drop' on item 'Silicone Tube' (#27834)
[14:24:31]	Lin'Garung has lost a 'Silicone Tube' #27834.
[14:24:33]	Lin'Garung destroyed a 'Silicone Tube' #27834.
[14:24:34]	Lin'Garung ran 'Edit' on item 'Paper' (#27846)
[14:24:36]	Lin'Garung destroyed a 'Paper' #27846.
[14:24:43]	Lin'Garung has gained a 'Horse Statue' #27887.
[14:24:46]	Lin'Garung ran 'drop' on item 'Horse Statue' (#27887)
[14:24:46]	Lin'Garung has lost a 'Horse Statue' #27887.
[14:24:49]	Lin'Garung destroyed a 'Horse Statue' #27887.
[14:25:32]	Lin'Garung has gained a 'Empty Paint Can' #27887.
[14:25:35]	Lin'Garung destroyed a 'Shovel' #27883.
[14:25:43]	Lin'Garung ran 'drop' on item 'Empty Paint Can' (#27887)
[14:25:43]	Lin'Garung has lost a 'Empty Paint Can' #27887.
[14:25:46]	Lin'Garung destroyed a 'Empty Paint Can' #27887.
[14:25:52]	Lin'Garung has gained a 'Empty Bleach Bottle' #27887.
[14:25:55]	Lin'Garung ran 'drop' on item 'Empty Bleach Bottle' (#27887)
[14:25:55]	Lin'Garung has lost a 'Empty Bleach Bottle' #27887.
[14:25:58]	Lin'Garung destroyed a 'Empty Bleach Bottle' #27887.
[14:26:38]	matt saton loaded the character 'CCA.C17-GRID.i3.08313'
[14:26:44]	[OOC] CCA.C17-GRID.i3.08313: sup fuckers-
[14:26:46]	[OOC] CCA.C17-GRID.i3.08313: damn
[14:26:46]	CCA.C17-GRID.i3.08313 entered observer.
[14:26:52]	[OOC] Lin'Garung: Damn
[14:27:03]	[OOC] Lin'Garung: We are the fuckers
[14:27:09]	Lin'Garung has gained a 'Empty Chinese Takeout' #27887.
[14:27:15]	Lin'Garung ran 'drop' on item 'Empty Chinese Takeout' (#27887)
[14:27:15]	Lin'Garung has lost a 'Empty Chinese Takeout' #27887.
[14:27:17]	Lin'Garung destroyed a 'Empty Chinese Takeout' #27887.
[14:27:29]	Lin'Garung has gained a 'Broken Keyboard' #27887.
[14:27:33]	Lin'Garung ran 'drop' on item 'Broken Keyboard' (#27887)
[14:27:33]	Lin'Garung has lost a 'Broken Keyboard' #27887.
[14:27:34]	Lin'Garung destroyed a 'Broken Keyboard' #27887.
[14:28:15]	Lin'Garung has gained a 'Insulating Tape' #27887.
[14:28:29]	Lin'Garung has gained a 'Paper' #27888.
[14:28:32]	CCA.C17-GRID.i3.08313 used command '/CharSetClass lin vort'.
[14:28:33]	Lin'Garung ran 'drop' on item 'Paper' (#27888)
[14:28:33]	Lin'Garung has lost a 'Paper' #27888.
[14:28:35]	Lin'Garung destroyed a 'Paper' #27888.
[14:28:42]	Lin'Garung ran 'drop' on item 'Insulating Tape' (#27887)
[14:28:42]	Lin'Garung has lost a 'Insulating Tape' #27887.
[14:29:06]	Lin'Garung has gained a 'Empty Cooking Oil Bottle' #27888.
[14:29:09]	[OOC] CCA.C17-GRID.i3.08313: check your weapon wheel
[14:29:14]	[OOC] Lin'Garung: Ooo
[14:29:15]	[OOC] Lin'Garung: Gotem 
[14:29:24]	[OOC] CCA.C17-GRID.i3.08313: WAOH
[14:29:24]	CCA.C17-GRID.i3.08313 exited observer at their location.
[14:29:26]	[OOC] CCA.C17-GRID.i3.08313: what the FUCk
[14:29:32]	[OOC] CCA.C17-GRID.i3.08313: do stopsound in console to stop the charging noise
[14:29:35]	[OOC] CCA.C17-GRID.i3.08313: no idea why it's borked like that
[14:29:37]	CCA.C17-GRID.i3.08313 entered observer.
[14:29:38]	CCA.C17-GRID.i3.08313 exited observer at their location.
[14:29:44]	[OOC] CCA.C17-GRID.i3.08313: holdtype is fucked
[14:29:46]	[LOOC] Lin'Garung: Yeah///
[14:29:50]	[LOOC] CCA.C17-GRID.i3.08313: that's
[14:29:53]	[LOOC] CCA.C17-GRID.i3.08313: the wrong visual effect
[14:30:00]	[LOOC] Lin'Garung: Beam?
[14:30:01]	[LOOC] CCA.C17-GRID.i3.08313: what vbisual effect do you see when they do their charge
[14:30:07]	[OOC] CCA.C17-GRID.i3.08313: yeah, that's the autogun beam
[14:30:12]	[OOC] Lin'Garung: Yeah
[14:30:16]	CCA.C17-GRID.i3.08313 used command '/ToggleRaise'.
[14:30:18]	[LOOC] CCA.C17-GRID.i3.08313: that's not irght
[14:30:19]	CCA.C17-GRID.i3.08313 used command '/ToggleRaise'.
[14:30:20]	CCA.C17-GRID.i3.08313 used command '/ToggleRaise'.
[14:30:22]	CCA.C17-GRID.i3.08313 used command '/ToggleRaise'.
[14:30:35]	[LOOC] Lin'Garung: isnt there supposed to be a menu and a resource meter for the vort swep?
[14:30:46]	[LOOC] CCA.C17-GRID.i3.08313: menu yes, you hold down the zoom key for the menu
[14:30:54]	[LOOC] CCA.C17-GRID.i3.08313: resoruce meter shows up as a result of your class
[14:30:55]	CCA.C17-GRID.i3.08313 used command '/ToggleRaise'.
[14:30:58]	[LOOC] CCA.C17-GRID.i3.08313: which
[14:30:59]	[LOOC] CCA.C17-GRID.i3.08313: hold on
[14:31:08]	[LOOC] Lin'Garung: Class?
[14:31:16]	[LOOC] CCA.C17-GRID.i3.08313: yeah, helxi class
[14:31:19]	[LOOC] Lin'Garung: AH
[14:31:22]	[LOOC] CCA.C17-GRID.i3.08313: sometihng on the server class
[14:31:25]	[LOOC] CCA.C17-GRID.i3.08313: server end*
[14:31:35]	[LOOC] Lin'Garung: yeah understood
[14:31:38]	CCA.C17-GRID.i3.08313 has gained 10 tokens.
[14:31:42]	Lin'Garung used command '/CharFallOver 0.1'.
[14:31:44]	[OOC] CCA.C17-GRID.i3.08313: let me work on some fixces
[14:31:57]	CCA.C17-GRID.i3.08313 entered observer.
[14:31:58]	CCA.C17-GRID.i3.08313 exited observer at their location.
[14:32:00]	CCA.C17-GRID.i3.08313 entered observer.
[14:32:01]	CCA.C17-GRID.i3.08313 exited observer at their location.
[14:32:10]	CCA.C17-GRID.i3.08313 used command '/CharFallOver'.
[14:32:12]	[OOC] Lin'Garung: Interesting...
[14:32:16]	[LOOC] CCA.C17-GRID.i3.08313: what's interseting
[14:32:16]	CCA.C17-GRID.i3.08313 used command '/CharGetUp'.
[14:32:23]	CCA.C17-GRID.i3.08313 entered observer.
[14:32:24]	CCA.C17-GRID.i3.08313 exited observer at their location.
[14:32:26]	[LOOC] CCA.C17-GRID.i3.08313: oh
[14:32:27]	[LOOC] CCA.C17-GRID.i3.08313: vortlight
[14:32:29]	[LOOC] Lin'Garung: So other abilities is a light?
[14:32:32]	[LOOC] CCA.C17-GRID.i3.08313: yeah. walk around
[14:32:39]	[LOOC] CCA.C17-GRID.i3.08313: it's not attaching right in thirdp erson
[14:32:46]	CCA.C17-GRID.i3.08313 used command '/CharFallOver'.
[14:32:54]	CCA.C17-GRID.i3.08313 used command '/CharGetUp'.
[14:33:08]	CCA.C17-GRID.i3.08313 used command '/CharFallOver 0'.
[14:33:10]	[LOOC] CCA.C17-GRID.i3.08313: that's vortal eye
[14:33:17]	[LOOC] Lin'Garung: Oh?
[14:33:23]	[LOOC] Lin'Garung: For what exactly again...
[14:33:29]	matt saton created the character 'Test Vortigaunt!'
[14:33:35]	[LOOC] Lin'Garung: Its been a while since i last viewed the dev update stuff
[14:33:40]	matt saton loaded the character 'Strange Vortigaunt'
[14:33:41]	Strange Vortigaunt entered observer.
[14:33:44]	Strange Vortigaunt used command '/CharFallOver 0'.
[14:33:48]	[LOOC] Strange Vortigaunt: xray vision essentially
[14:33:48]	Strange Vortigaunt exited observer at their location.
[14:33:50]	Strange Vortigaunt entered observer.
[14:33:50]	Strange Vortigaunt exited observer at their location.
[14:33:51]	Strange Vortigaunt entered observer.
[14:33:51]	Strange Vortigaunt exited observer at their location.
[14:33:53]	Strange Vortigaunt used command '/ToggleRaise'.
[14:34:04]	Strange Vortigaunt used command '/ToggleRaise'.
[14:34:05]	Strange Vortigaunt used command '/CharFallOver 0'.
[14:34:07]	[LOOC] Strange Vortigaunt: fuck
[14:34:11]	Strange Vortigaunt used command '/ToggleRaise'.
[14:34:16]	[LOOC] Strange Vortigaunt: how are you doing that?
[14:34:17]	[LOOC] Lin'Garung: Hmm
[14:34:19]	[LOOC] Strange Vortigaunt: alt + mouse1?
[14:34:21]	[LOOC] Lin'Garung: RMB
[14:34:26]	[LOOC] Strange Vortigaunt: i'm pressing RB
[14:34:26]	Strange Vortigaunt used command '/CharFallOver 0'.
[14:34:28]	[LOOC] Strange Vortigaunt: FUCk
[14:34:33]	[LOOC] Lin'Garung: Without it raised
[14:34:39]	[LOOC] Lin'Garung: If that changes anything...
[14:34:42]	Strange Vortigaunt used command '/ToggleRaise'.
[14:34:46]	Strange Vortigaunt used command '/ToggleRaise'.
[14:34:49]	[LOOC] Strange Vortigaunt: niehter owrksf or me
[14:34:56]	[LOOC] Strange Vortigaunt: it's in other abilities right
[14:35:01]	[LOOC] Lin'Garung: Yeah
[14:35:04]	Strange Vortigaunt used command '/CharSetModel strange models/vortigaunt.mdl'.
[14:35:11]	Test Vortigaunt used command '/CharSetName vort Test Vortigaunt'.
[14:35:13]	Test Vortigaunt used command '/ToggleRaise'.
[14:35:16]	Test Vortigaunt used command '/ToggleRaise'.
[14:35:23]	Test Vortigaunt used command '/ToggleRaise'.
[14:35:30]	Test Vortigaunt used command '/ToggleRaise'.
[14:35:36]	[LOOC] Lin'Garung: DO you need to have it toggled on aswell?
[14:35:39]	Test Vortigaunt used command '/ToggleRaise'.
[14:35:42]	[LOOC] Test Vortigaunt: you should
[14:35:46]	[LOOC] Test Vortigaunt: let me do some fixes
[14:35:49]	[LOOC] Lin'Garung: Copy
[14:35:54]	Nae Nae the pain away has connected.
[14:36:03]	Lin'Garung used command '/CharFallOver 0.1'.
[14:36:06]	[LOOC] Test Vortigaunt: nothing works other than rmb
[14:36:09]	[LOOC] Test Vortigaunt: lmb i mean
[14:36:10]	DRD has connected.
[14:36:12]	[LOOC] Test Vortigaunt: did i break my rmb
[14:36:20]	Lin'Garung used command '/CharFallOver 0.1'.
[14:36:25]	Test Vortigaunt used command '/ToggleRaise'.
[14:36:29]	Test Vortigaunt entered observer.
[14:36:29]	Test Vortigaunt exited observer at their location.
[14:36:31]	Test Vortigaunt used command '/ToggleRaise'.
[14:36:33]	[LOOC] Lin'Garung: Could be
[14:36:42]	Bean has connected.
[14:36:43]	[LOOC] Test Vortigaunt: try doing RMB
[14:36:45]	[LOOC] Test Vortigaunt: with uhh
[14:36:45]	[LOOC] Test Vortigaunt: combat
[14:36:53]	Nae Nae the pain away loaded the character 'Mario Popadoplus'
[14:36:55]	DRD loaded the character 'CCA.C17-GRID.i1.23710'
[14:36:56]	[LOOC] Test Vortigaunt: sorry
[14:36:57]	[LOOC] Test Vortigaunt: ranged i mean
[14:37:02]	CCA.C17-GRID.i1.23710 entered observer.
[14:37:12]	Bean loaded the character 'Alex Palovichov'
[14:37:12]	[LOOC] Test Vortigaunt: it should be a quick strike
[14:37:14]	[LOOC] Test Vortigaunt: no that's
[14:37:16]	[LOOC] Test Vortigaunt: lmb
[14:37:24]	[LOOC] Lin'Garung: I cant do rmb with ranged
[14:37:27]	Alex Palovichov used command '/CharDesc'.
[14:37:33]	[LOOC] Test Vortigaunt: wtf?
[14:37:35]	Alex Palovichov used command '/CharDesc [ICT Manager Badge] [Black Armband] (Suit ON Identity Hidden) A well built man standing at around 6'0" | Black and Red Jacket | Large scar across face | Cheerful sounding Russian Accent | Smells of cheap vodka | '.
[14:37:57]	[LOOC] Lin'Garung: Hmm
[14:38:10]	[LOOC] Test Vortigaunt: helaing doesn't work etiher
[14:38:15]	[LOOC] Test Vortigaunt: it does WORK
[14:38:16]	[LOOC] Test Vortigaunt: KIDN OF
[14:38:19]	[LOOC] Test Vortigaunt: did i jsut enhance you
[14:38:30]	[LOOC] Lin'Garung: How could i tell?
[14:38:37]	[LOOC] Test Vortigaunt: try running
[14:38:40]	[LOOC] Lin'Garung: I dont see any resource meter still
[14:38:43]	[LOOC] Test Vortigaunt: are you faster
[14:38:56]	Test Vortigaunt used command '/ToggleRaise'.
[14:38:58]	Test Vortigaunt used command '/ToggleRaise'.
[14:39:00]	[LOOC] Lin'Garung: Not sure if that makes a difference...
[14:39:00]	Mario Popadoplus used the 'Shopkeeper' vendor.
[14:39:21]	Alex Palovichov ran 'EquipUn' on item 'CWU Leadership Suit' (#24484)
[14:39:22]	Alex Palovichov ran 'Equip' on item 'CWU Leadership Suit' (#24484)
[14:39:24]	[LOOC] Lin'Garung: my jump may be different... hard to tell
[14:39:29]	[LOOC] Test Vortigaunt: try jumoing
[14:39:30]	[LOOC] Test Vortigaunt: nope
[14:39:55]	Lin'Garung ran 'EquipUn' on item 'Crowbar' (#27884)
[14:40:00]	Test Vortigaunt used command '/ToggleRaise'.
[14:40:03]	[OOC] Test Vortigaunt: sup
[14:40:04]	Test Vortigaunt used command '/ToggleRaise'.
[14:40:05]	Test Vortigaunt used command '/ToggleRaise'.
[14:40:09]	Test Vortigaunt has killed Test Vortigaunt.
[14:40:09]	[OOC] Alex Palovichov: Yo
[14:40:13]	[OOC] Lin'Garung: w a
[14:40:20]	Test Vortigaunt used command '/ToggleRaise'.
[14:40:22]	Test Vortigaunt used command '/ToggleRaise'.
[14:40:24]	Lin'Garung used command '/CharFallOver 0.1'.
[14:40:30]	[LOOC] Test Vortigaunt: looping osund i sitllf ucekd
[14:40:36]	[LOOC] Lin'Garung: e
[14:40:40]	[LOOC] Lin'Garung: Yeah
[14:40:43]	Lin'Garung used command '/CharFallOver 0.1'.
[14:41:01]	Test Vortigaunt used command '/ToggleRaise'.
[14:41:07]	[LOOC] Test Vortigaunt: nope
[14:41:10]	[LOOC] Test Vortigaunt: wtf
[14:41:36]	Alex Palovichov has gained a 'Bleach' #27889.
[14:41:44]	Alex Palovichov opened the '' #253 container.
[14:41:50]	Alex Palovichov closed the '' #253 container.
[14:41:55]	CCA.C17-GRID.i1.23710 has gained 10 tokens.
[14:42:00]	Test Vortigaunt used command '/ToggleRaise'.
[14:42:06]	[LOOC] Test Vortigaunt: NOPE
[14:42:08]	[LOOC] Test Vortigaunt: WTF????
[14:42:15]	[OOC] Test Vortigaunt: charged melee kinda works
[14:42:43]	[OOC] Alex Palovichov: There is a charged melee?
[14:42:48]	[OOC] Lin'Garung: Vort
[14:43:04]	[LOOC] Test Vortigaunt: THE STUNNNIG IS WORKNIG
[14:43:06]	Test Vortigaunt used command '/ToggleRaise'.
[14:43:07]	Test Vortigaunt used command '/ToggleRaise'.
[14:43:12]	[LOOC] Lin'Garung: Eh?
[14:43:16]	[LOOC] Test Vortigaunt: you're stunning
[14:43:16]	[LOOC] Lin'Garung: Stunning?
[14:43:18]	[LOOC] Test Vortigaunt: yeah
[14:43:20]	[LOOC] Test Vortigaunt: hold on
[14:43:20]	[OOC] Alex Palovichov: Oh...
[14:43:23]	[OOC] Test Vortigaunt: ?
[14:43:24]	[OOC] Test Vortigaunt: oh
[14:43:25]	[LOOC] Lin'Garung: On headcrab yeah
[14:43:29]	Test Vortigaunt used command '/CharSetModel test models/vortigaunt.mdl'.
[14:43:32]	[LOOC] Test Vortigaunt: no you misudnerstand
[14:43:42]	[LOOC] Lin'Garung: Demo?
[14:43:45]	[OOC] Alex Palovichov: Thought I could charge slap the shit out of someone with my crowbar
[14:43:48]	Alex Palovichov has gained a 'Broken Keyboard' #27890.
[14:43:51]	Alex Palovichov has gained a 'Empty Pill Bottle' #27891.
[14:43:54]	Alex Palovichov opened the '' #2551 container.
[14:43:58]	Alex Palovichov closed the '' #2551 container.
[14:44:50]	Alex Palovichov has gained a 'Old Newspaper' #27892.
[14:44:53]	Alex Palovichov has gained a 'Paper' #27893.
[14:44:56]	Alex Palovichov ran 'drop' on item 'Old Newspaper' (#27892)
[14:44:56]	Alex Palovichov has lost a 'Old Newspaper' #27892.
[14:45:04]	[LOOC] Test Vortigaunt: THE SOUND WORKED
[14:45:05]	Test Vortigaunt entered observer.
[14:45:09]	Test Vortigaunt exited observer at their location.
[14:45:09]	Test Vortigaunt entered observer.
[14:45:09]	Test Vortigaunt exited observer at their location.
[14:45:18]	[LOOC] Lin'Garung: Nice
[14:45:30]	[LOOC] Lin'Garung: Now just RMB...
[14:45:36]	[LOOC] Test Vortigaunt: why doesn't rmb work??
[14:45:39]	_--Ashley--_ has connected.
[14:45:47]	[LOOC] Lin'Garung: Wel it works for the "other abilities"
[14:45:56]	[LOOC] Test Vortigaunt: you were stunning things beforfe
[14:46:01]	[LOOC] Test Vortigaunt: so wtf
[14:46:13]	[OOC] Mario Popadoplus: is that cool looking stalker thing in the server yet, was hoping to play it for the event tonight 
[14:46:17]	_--Ashley--_ loaded the character 'CCA.C17-UNION.i5.06748'
[14:46:19]	CCA.C17-GRID.i1.23710 exited observer at their location.
[14:46:19]	[OOC] Alex Palovichov: Damn this salad is good, Salad is too under rated
[14:46:19]	CCA.C17-GRID.i1.23710 entered observer.
[14:46:23]	[LOOC] Lin'Garung: That was me just hitting the headcrabs with melee lmb
[14:46:26]	Alex Palovichov ran 'View' on item 'Notepad' (#25187)
[14:46:27]	Test Vortigaunt entered observer.
[14:46:27]	CCA.C17-GRID.i1.23710 exited observer at their location.
[14:46:27]	CCA.C17-GRID.i1.23710 entered observer.
[14:46:30]	[OOC] Test Vortigaunt: no, you won't really need it
[14:46:31]	CCA.C17-GRID.i1.23710 exited observer at their location.
[14:46:34]	Test Vortigaunt exited observer at their location.
[14:46:35]	CCA.C17-GRID.i1.23710 entered observer.
[14:46:35]	CCA.C17-GRID.i1.23710 exited observer at their location.
[14:46:37]	[LOOC] Test Vortigaunt: OH
[14:46:40]	CCA.C17-GRID.i1.23710 entered observer.
[14:46:41]	CCA.C17-GRID.i1.23710 exited observer at their location.
[14:46:44]	CCA.C17-GRID.i1.23710 entered observer.
[14:46:44]	CCA.C17-GRID.i1.23710 exited observer at their location.
[14:46:46]	CCA.C17-GRID.i1.23710 entered observer.
[14:46:46]	CCA.C17-GRID.i1.23710 exited observer at their location.
[14:46:46]	[LOOC] Lin'Garung: Yeah...
[14:46:46]	CCA.C17-GRID.i1.23710 entered observer.
[14:46:46]	CCA.C17-UNION.i5.06748 used command '/Radio Unit is in active service, Guarding Nexus.'.
[14:46:49]	CCA.C17-GRID.i1.23710 exited observer at their location.
[14:46:50]	CCA.C17-GRID.i1.23710 entered observer.
[14:46:50]	CCA.C17-GRID.i1.23710 exited observer at their location.
[14:46:53]	CCA.C17-GRID.i1.23710 entered observer.
[14:46:53]	CCA.C17-GRID.i1.23710 exited observer at their location.
[14:46:55]	CCA.C17-GRID.i1.23710 has gained 10 tokens.
[14:46:56]	CCA.C17-GRID.i1.23710 entered observer.
[14:46:57]	CCA.C17-GRID.i1.23710 exited observer at their location.
[14:47:00]	CCA.C17-GRID.i1.23710 entered observer.
[14:47:00]	CCA.C17-GRID.i1.23710 exited observer at their location.
[14:47:03]	CCA.C17-GRID.i1.23710 entered observer.
[14:47:03]	CCA.C17-GRID.i1.23710 exited observer at their location.
[14:47:05]	CCA.C17-GRID.i1.23710 entered observer.
[14:47:05]	CCA.C17-GRID.i1.23710 exited observer at their location.
[14:47:09]	CCA.C17-GRID.i1.23710 entered observer.
[14:47:09]	CCA.C17-GRID.i1.23710 exited observer at their location.
[14:47:13]	CCA.C17-GRID.i1.23710 entered observer.
[14:47:13]	CCA.C17-GRID.i1.23710 exited observer at their location.
[14:47:16]	CCA.C17-GRID.i1.23710 entered observer.
[14:47:16]	CCA.C17-GRID.i1.23710 exited observer at their location.
[14:47:20]	CCA.C17-GRID.i1.23710 entered observer.
[14:47:20]	CCA.C17-GRID.i1.23710 exited observer at their location.
[14:47:21]	CCA.C17-GRID.i1.23710 entered observer.
[14:47:22]	CCA.C17-GRID.i1.23710 exited observer at their location.
[14:47:23]	CCA.C17-GRID.i1.23710 entered observer.
[14:47:24]	CCA.C17-GRID.i1.23710 exited observer at their location.
[14:47:26]	CCA.C17-GRID.i1.23710 entered observer.
[14:47:27]	CCA.C17-GRID.i1.23710 exited observer at their location.
[14:47:30]	CCA.C17-GRID.i1.23710 entered observer.
[14:47:30]	CCA.C17-GRID.i1.23710 exited observer at their location.
[14:47:34]	CCA.C17-GRID.i1.23710 entered observer.
[14:47:34]	CCA.C17-GRID.i1.23710 exited observer at their location.
[14:47:37]	CCA.C17-GRID.i1.23710 entered observer.
[14:47:51]	Lin'Garung has taken 15 damage from Test Vortigaunt.
[14:47:51]	Lin'Garung has taken 15 damage from Test Vortigaunt.
[14:47:52]	CCA.C17-GRID.i1.23710 exited observer at their location.
[14:47:52]	CCA.C17-GRID.i1.23710 entered observer.
[14:47:57]	CCA.C17-GRID.i1.23710 exited observer at their location.
[14:47:57]	CCA.C17-GRID.i1.23710 entered observer.
[14:47:59]	CCA.C17-UNION.i5.06748 used command '/Radio Unit is Starting a patrol, Starting with the plaza.'.
[14:48:08]	Lin'Garung has gained a 'Empty Soda Bottle' #27894.
[14:48:10]	[OOC] Alex Palovichov: Q Would there be workstations? Where some crafting recipes require being nearby or using one to make?
[14:48:13]	Lin'Garung ran 'drop' on item 'Empty Soda Bottle' (#27894)
[14:48:13]	Lin'Garung has lost a 'Empty Soda Bottle' #27894.
[14:48:13]	Lin'Garung ran 'drop' on item 'Empty Cooking Oil Bottle' (#27888)
[14:48:13]	Lin'Garung has lost a 'Empty Cooking Oil Bottle' #27888.
[14:48:16]	DRD (STEAM_0:0:193599766) has disconnected.
[14:48:18]	Lin'Garung destroyed a 'Empty Cooking Oil Bottle' #27888.
[14:48:19]	Lin'Garung destroyed a 'Empty Soda Bottle' #27894.
