[04:53:57]	Coilrek has connected.
[19:24:22]	[OOC] Test Testington: suh
[19:24:24]	Test Testington exited observer at their location.
[19:24:24]	Test Testington entered observer.
[19:24:24]	Test Testington exited observer at their location.
[19:24:26]	[OOC] Hans Weiß: beans
[19:24:47]	[OOC] Hans Weiß: sooo uh what all happened when i left?
[19:25:57]	[OOC] Test Testington: oh
[19:25:58]	[OOC] Test Testington: yeah
[19:26:02]	[OOC] Test Testington: those are potential looks for xenian shit
[19:26:02]	Test Testington entered observer.
[19:26:09]	[OOC] Test Testington: this isthe one wewent with
[19:26:13]	[OOC] Test Testington: it was the best choice out of all fo thme
[19:26:17]	[OOC] Test Testington: it wasn't a great chboice
[19:26:19]	[OOC] Test Testington: but it was one of thewm
[19:26:20]	Test Testington exited observer at their location.
[19:26:24]	[OOC] Test Testington: i tried to custom make a texture
[19:26:26]	[OOC] Test Testington: didn't work
[19:26:26]	Test Testington entered observer.
[19:26:27]	Test Testington exited observer at their location.
[19:26:31]	Test Testington entered observer.
[19:26:32]	Test Testington exited observer at their location.
[19:27:25]	[OOC] Test Testington: ever think about how gordon freeman canonically has a ponytail
[19:27:25]	Test Testington entered observer.
[19:27:30]	Test Testington exited observer at their location.
[19:27:32]	[OOC] Hans Weiß: does he?
[19:27:36]	[OOC] Test Testington: yeah look
[19:27:39]	Test Testington has spawned 'models/hl1plr.mdl'.
[19:27:44]	[OOC] Hans Weiß: oh damn
[19:27:49]	[OOC] Test Testington: if you looakt the actual i ngame mdoe lyou'll see the same
[19:27:54]	Test Testington entered observer.
[19:27:54]	Test Testington exited observer at their location.
[19:28:24]	Test Testington entered observer.
[19:28:24]	Test Testington exited observer at their location.
[19:28:32]	FB|| light ROOM has connected.
[19:28:41]	[OOC] Hans Weiß: yo i wish there was a scenario where we'd see a combine captain just roll up in the plaza
[19:28:51]	[OOC] Hans Weiß: or like a suppressor
[19:28:59]	FB|| light ROOM loaded the character 'CCA.C14-UNION.EpU.72633'
[19:29:03]	[OOC] CCA.C14-UNION.EpU.72633: Hello gamers
[19:29:06]	[OOC] Test Testington: we have ordinals and suppressors in theoretically but nobody has them
[19:29:08]	[OOC] Test Testington: except for chief
[19:29:28]	[OOC] Test Testington: since obviously no use for them yet
[19:29:29]	Test Testington entered observer.
[19:29:29]	[OOC] Hans Weiß: ay yo im finna give in some potential contraband, as long as you don't arrest me for it
[19:29:30]	Test Testington exited observer at their location.
[19:29:31]	[OOC] Test Testington: >yet
[19:29:36]	Test Testington used command '/ToggleRaise'.
[19:29:38]	Test Testington used command '/ToggleRaise'.
[19:30:12]	CCA.C14-UNION.EpU.72633 used command '/Radio Unit is 10-8, status is green. Current 10-20 is plaza.'.
[19:30:31]	[OOC] CCA.C14-UNION.EpU.72633: My manhack bodygroup is gone ;-;
[19:30:32]	Test Testington entered observer.
[19:30:41]	Test Testington used command '/CharSetBodygroup epu manhack 1'.
[19:30:43]	Test Testington used command '/CharSetBodygroup epu manhack 0'.
[19:30:56]	Test Testington used command '/CharSetBodygroup epu Manhack 1'.
[19:31:05]	Hans Weiß ran 'drop' on item 'Car Battery' (#22611)
[19:31:05]	Hans Weiß has lost a 'Car Battery' #22611.
[19:31:07]	Hans Weiß ran 'drop' on item 'Cables' (#22614)
[19:31:07]	Hans Weiß has lost a 'Cables' #22614.
[19:31:08]	Hans Weiß ran 'drop' on item 'Cables' (#22613)
[19:31:08]	Hans Weiß has lost a 'Cables' #22613.
[19:31:09]	Hans Weiß ran 'drop' on item 'AA Battery' (#18538)
[19:31:09]	Hans Weiß has lost a 'AA Battery' #18538.
[19:31:09]	Hans Weiß ran 'drop' on item 'AA Battery' (#22618)
[19:31:09]	Hans Weiß has lost a 'AA Battery' #22618.
[19:31:10]	Hans Weiß ran 'drop' on item 'AA Battery' (#22616)
[19:31:10]	Hans Weiß has lost a 'AA Battery' #22616.
[19:31:11]	Test Testington used command '/DoorSetHidden true'.
[19:31:12]	Hans Weiß ran 'drop' on item 'AA Battery' (#22615)
[19:31:12]	Hans Weiß has lost a 'AA Battery' #22615.
[19:31:12]	Hans Weiß ran 'drop' on item 'AA Battery' (#22617)
[19:31:12]	Hans Weiß has lost a 'AA Battery' #22617.
[19:31:13]	Hans Weiß ran 'drop' on item 'Small Thermos' (#22628)
[19:31:13]	Hans Weiß has lost a 'Small Thermos' #22628.
[19:31:14]	Hans Weiß ran 'drop' on item 'Sturdy Needle' (#22626)
[19:31:14]	Hans Weiß has lost a 'Sturdy Needle' #22626.
[19:31:15]	Hans Weiß ran 'drop' on item 'Sturdy Needle' (#22627)
[19:31:15]	Hans Weiß has lost a 'Sturdy Needle' #22627.
[19:31:16]	Hans Weiß ran 'drop' on item 'models/illusion/eftcontainers/screwdriver.mdl' (#22631)
[19:31:16]	Hans Weiß has lost a 'models/illusion/eftcontainers/screwdriver.mdl' #22631.
[19:31:18]	Test Testington used command '/PM epu literally none of this is contraband'.
[19:31:18]	Hans Weiß ran 'drop' on item 'Sturdy Needle' (#22625)
[19:31:18]	Hans Weiß has lost a 'Sturdy Needle' #22625.
[19:31:19]	Hans Weiß ran 'drop' on item 'Sturdy Needle' (#22624)
[19:31:19]	Hans Weiß has lost a 'Sturdy Needle' #22624.
[19:31:22]	CCA.C14-UNION.EpU.72633 used command '/Reply I know'.
[19:31:23]	Test Testington used command '/PM epu except for one thing'.
[19:31:31]	Test Testington used command '/PM epu one of them is contraband'.
[19:32:00]	CCA.C14-UNION.EpU.72633 ran 'take' on item 'models/illusion/eftcontainers/screwdriver.mdl' (#22631)
[19:32:00]	CCA.C14-UNION.EpU.72633 has gained a 'models/illusion/eftcontainers/screwdriver.mdl' #22631.
[19:32:45]	[LOOC] CCA.C14-UNION.EpU.72633: Apply*
[19:32:45]	Hans Weiß used command '/Apply'.
[19:32:56]	[ME] CCA.C14-UNION.EpU.72633: Takes out a small PDA and begins typing onto it.
[19:33:02]	CCA.C14-UNION.EpU.72633 used command '/OldViewData Hans'.
[19:33:17]	[OOC] Test Testington: you know what we need
[19:33:18]	[OOC] Test Testington: black market
[19:33:21]	[OOC] Hans Weiß: bet
[19:33:24]	[OOC] Test Testington: not even like guns and shit
[19:33:27]	[OOC] Test Testington: but just regular stuff
[19:33:33]	[OOC] Test Testington: like yellow grade contraband
[19:33:41]	[OOC] Hans Weiß: i mean i could sell illegal meds under the counter
[19:33:51]	[OOC] Hans Weiß: or like under the radar
[19:33:59]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[19:34:20]	Hans Weiß ran 'take' on item 'AA Battery' (#22617)
[19:34:20]	Hans Weiß has gained a 'AA Battery' #22617.
[19:34:22]	Hans Weiß ran 'take' on item 'AA Battery' (#22615)
[19:34:22]	Hans Weiß has gained a 'AA Battery' #22615.
[19:34:25]	[LOOC] CCA.C14-UNION.EpU.72633: One moment
[19:34:27]	Hans Weiß ran 'take' on item 'AA Battery' (#22616)
[19:34:27]	Hans Weiß has gained a 'AA Battery' #22616.
[19:34:43]	[LOOC] Hans Weiß: some of the batteries got stuck ugh
[19:34:53]	[LOOC] Hans Weiß: imma use one of these to push it out
[19:34:59]	[LOOC] CCA.C14-UNION.EpU.72633: Just ask Q my guy
[19:35:13]	[OOC] Hans Weiß: ay yo some stuff fell under the desk, and i cant get it
[19:35:20]	Hans Weiß ran 'take' on item 'Sturdy Needle' (#22624)
[19:35:20]	Hans Weiß has gained a 'Sturdy Needle' #22624.
[19:35:21]	Hans Weiß ran 'take' on item 'Sturdy Needle' (#22627)
[19:35:21]	Hans Weiß has gained a 'Sturdy Needle' #22627.
[19:35:22]	Hans Weiß ran 'take' on item 'Sturdy Needle' (#22625)
[19:35:22]	Hans Weiß has gained a 'Sturdy Needle' #22625.
[19:35:23]	Hans Weiß ran 'take' on item 'Sturdy Needle' (#22626)
[19:35:23]	Hans Weiß has gained a 'Sturdy Needle' #22626.
[19:35:24]	Hans Weiß ran 'take' on item 'Cables' (#22613)
[19:35:24]	Hans Weiß has gained a 'Cables' #22613.
[19:35:25]	Hans Weiß ran 'take' on item 'Cables' (#22614)
[19:35:25]	Hans Weiß has gained a 'Cables' #22614.
[19:35:33]	Hans Weiß ran 'take' on item 'Small Thermos' (#22628)
[19:35:33]	Hans Weiß has gained a 'Small Thermos' #22628.
[19:35:34]	Hans Weiß ran 'take' on item 'Car Battery' (#22611)
[19:35:34]	Hans Weiß has gained a 'Car Battery' #22611.
[19:35:39]	Hans Weiß ran 'take' on item 'AA Battery' (#22618)
[19:35:39]	Hans Weiß has gained a 'AA Battery' #22618.
[19:35:41]	Hans Weiß ran 'take' on item 'AA Battery' (#18538)
[19:35:41]	Hans Weiß has gained a 'AA Battery' #18538.
[19:35:43]	[OOC] Hans Weiß: gracias
[19:35:45]	[OOC] Test Testington: lag spike
[19:36:26]	[OOC] CCA.C14-UNION.EpU.72633: Lag spikes do be killing my PC
[19:38:26]	[ME] CCA.C14-UNION.EpU.72633: holds out a small bucket full of water and chemicals. It has a rag tied to it.
[19:38:43]	[ME] Hans Weiß: takes bucket and rag
[19:38:56]	[OOC] Test Testington: hey lightroom are you gonna have braces
[19:39:03]	[OOC] CCA.C14-UNION.EpU.72633: No why?
[19:39:03]	[ME] Hans Weiß: dips rag into liquid
[19:39:10]	[ME] Hans Weiß: begins to wash down statue
[19:39:32]	[OOC] Test Testington: oh
[19:39:43]	[OOC] Test Testington: i put some advice for future brace wearers in #general
[19:39:44]	Hans Weiß rolled 22 out of 100.
[19:39:44]	Hans Weiß used command '/Roll'.
[19:39:56]	[ME] Hans Weiß: squeezes out rag and dips it back in
[19:40:06]	[ME] Hans Weiß: continues to wash statue
[19:40:06]	[OOC] CCA.C14-UNION.EpU.72633: I saw, pretty gamer
[19:40:17]	[OOC] Test Testington: not gamer
[19:40:20]	[OOC] Test Testington: i am in much pain
[19:40:24]	[OOC] CCA.C14-UNION.EpU.72633: F
[19:40:35]	Hans Weiß rolled 74 out of 100.
[19:40:35]	Hans Weiß used command '/Roll'.
[19:40:41]	[ME] Hans Weiß: squeezes out rag
[19:40:52]	[OOC] CCA.C14-UNION.EpU.72633: I have been granted permission to go hunting under supervision once hunting season is back.
[19:40:53]	[ME] Hans Weiß: begins washing wall
[19:40:57]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[19:41:00]	[OOC] CCA.C14-UNION.EpU.72633: And I am happy about it
[19:41:10]	[OOC] Test Testington: nice
[19:42:46]	[ME] Hans Weiß: tries to scrub graffiti off
[19:42:47]	Hans Weiß rolled 16 out of 100.
[19:42:47]	Hans Weiß used command '/Roll'.
[19:42:52]	[ME] Hans Weiß: squeezes out rag
[19:42:57]	[ME] Hans Weiß: rewets rag
[19:43:06]	[ME] Hans Weiß: continues to scrub off graffiti
[19:43:07]	Hans Weiß rolled 50 out of 100.
[19:43:07]	Hans Weiß used command '/Roll'.
[19:43:49]	[OOC] CCA.C14-UNION.EpU.72633: WHAT THE FUCK, THE MAC-10 IS CHAMBERED IN 45ACP
[19:44:05]	[OOC] CCA.C14-UNION.EpU.72633: I fucking love the mac series now
[19:44:56]	Hans Weiß rolled 34 out of 100.
[19:44:56]	Hans Weiß used command '/Roll'.
[19:45:01]	[ME] Hans Weiß: squeezes out rag
[19:45:14]	[ME] Hans Weiß: wets rag
[19:45:20]	[ME] Hans Weiß: begins washing walls
[19:45:57]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[19:46:17]	[ME] Hans Weiß: tries to scrub off graffiti
[19:46:18]	Hans Weiß rolled 55 out of 100.
[19:46:18]	Hans Weiß used command '/Roll'.
[19:46:24]	[ME] Hans Weiß: continues washing walls
[19:46:29]	[ME] Hans Weiß: tries to scrub off graffiti
[19:46:31]	Hans Weiß rolled 81 out of 100.
[19:46:31]	Hans Weiß used command '/Roll'.
[19:46:33]	[ME] Hans Weiß: continues washing walls
[19:47:04]	[ME] Hans Weiß: tries to scrub off graffiti
[19:47:06]	Hans Weiß rolled 58 out of 100.
[19:47:06]	Hans Weiß used command '/Roll'.
[19:47:08]	[ME] Hans Weiß: continues washing walls
[19:48:24]	Test Testington exited observer at their location.
[19:48:37]	[LOOC] Test Testington: oh fuck me i know why
[19:48:41]	[LOOC] Test Testington: anways IC this should be locked
[19:48:46]	[LOOC] Hans Weiß: oh
[19:48:46]	[LOOC] Test Testington: database got nuked
[19:48:49]	[LOOC] Test Testington: we lost all the locks
[19:48:53]	Test Testington entered observer.
[19:48:57]	[LOOC] Test Testington: sorry
[19:49:01]	[LOOC] Hans Weiß: put like a combine on it
[19:49:03]	Test Testington has spawned a 'Entity [3191][ix_combinelock]'.
[19:49:04]	Test Testington exited observer at their location.
[19:49:09]	[LOOC] Test Testington: hey can you lock this
[19:49:15]	[OOC] Test Testington: thank you
[19:49:15]	Test Testington entered observer.
[19:49:18]	[OOC] CCA.C14-UNION.EpU.72633: BET
[19:49:41]	[ME] Hans Weiß: tries to scrub off graffiti
[19:49:44]	Hans Weiß rolled 80 out of 100.
[19:49:44]	Hans Weiß used command '/Roll'.
[19:49:47]	[ME] Hans Weiß: continues washing walls
[19:49:55]	[OOC] CCA.C14-UNION.EpU.72633: That moment when Bio-locks can explode
[19:50:14]	[OOC] Hans Weiß: that moment when i blow up a bio lock and steal everything in the building
[19:50:41]	[OOC] CCA.C14-UNION.EpU.72633: Just imagine somebody actually trying to use the exploding bio-lock shit
[19:50:51]	[OOC] Hans Weiß: biolock terrorist attack
[19:50:57]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[19:51:02]	[ME] Hans Weiß: tries to scrub off graffiti
[19:51:04]	Hans Weiß rolled 47 out of 100.
[19:51:04]	Hans Weiß used command '/Roll'.
[19:51:07]	[ME] Hans Weiß: continues washing walls
[19:51:11]	[OOC] CCA.C14-UNION.EpU.72633: /me hacks into the mainframe and makes the bio-lock EMP the combine.
[19:51:12]	[ME] Hans Weiß: tries to scrub off graffiti
[19:51:15]	Hans Weiß rolled 76 out of 100.
[19:51:15]	Hans Weiß used command '/Roll'.
[19:51:18]	[ME] Hans Weiß: continues washing walls
[19:51:28]	[ME] Hans Weiß: tries to scrub off graffiti
[19:51:29]	Hans Weiß rolled 40 out of 100.
[19:51:29]	Hans Weiß used command '/Roll'.
[19:51:31]	[ME] Hans Weiß: continues washing walls
[19:51:55]	[ME] Hans Weiß: tries to scrub off graffiti
[19:51:56]	Hans Weiß rolled 54 out of 100.
[19:51:56]	Hans Weiß used command '/Roll'.
[19:51:57]	[ME] Hans Weiß: continues washing walls
[19:52:05]	[ME] Hans Weiß: tries to scrub off graffiti
[19:52:06]	Hans Weiß rolled 78 out of 100.
[19:52:06]	Hans Weiß used command '/Roll'.
[19:52:08]	[ME] Hans Weiß: continues washing walls
[19:52:13]	[ME] Hans Weiß: tries to scrub off graffiti
[19:52:14]	Hans Weiß rolled 96 out of 100.
[19:52:14]	Hans Weiß used command '/Roll'.
[19:52:15]	[ME] Hans Weiß: continues washing walls
[19:52:22]	[ME] Hans Weiß: tries to scrub off graffiti
[19:52:23]	Hans Weiß rolled 80 out of 100.
[19:52:23]	Hans Weiß used command '/Roll'.
[19:52:24]	[ME] Hans Weiß: continues washing walls
[19:52:51]	[ME] Hans Weiß: tries to scrub off graffiti
[19:52:52]	Hans Weiß rolled 13 out of 100.
[19:52:52]	Hans Weiß used command '/Roll'.
[19:52:55]	[ME] Hans Weiß: tries to scrub off graffiti
[19:52:56]	[OOC] Test Testington: if you hear fire void it
[19:52:57]	Hans Weiß rolled 48 out of 100.
[19:52:57]	Hans Weiß used command '/Roll'.
[19:52:59]	Test Testington has spawned a 'NPC [3195][npc_devilsquid]'.
[19:53:00]	[ME] Hans Weiß: continues washing walls
[19:53:05]	[ME] Hans Weiß: tries to scrub off graffiti
[19:53:06]	Hans Weiß rolled 1 out of 100.
[19:53:06]	Hans Weiß used command '/Roll'.
[19:53:08]	[ME] Hans Weiß: tries to scrub off graffiti
[19:53:10]	Hans Weiß rolled 59 out of 100.
[19:53:10]	Hans Weiß used command '/Roll'.
[19:53:14]	[ME] Hans Weiß: continues washing walls
[19:53:24]	[ME] Hans Weiß: tries to scrub off graffiti
[19:53:25]	Hans Weiß rolled 30 out of 100.
[19:53:25]	Hans Weiß used command '/Roll'.
[19:53:27]	[ME] Hans Weiß: continues washing walls
[19:53:51]	[ME] Hans Weiß: tries to scrub off graffiti
[19:53:52]	Hans Weiß rolled 77 out of 100.
[19:53:52]	Hans Weiß used command '/Roll'.
[19:53:54]	[ME] Hans Weiß: continues washing walls
[19:54:18]	[ME] Hans Weiß: ties rag onto bucket handle
[19:54:32]	[ME] Hans Weiß: puts bucket on table
[19:54:45]	[ME] CCA.C14-UNION.EpU.72633: Takes the bucket and places it under the table.
[19:54:53]	[OOC] Test Testington: ey lightroom
[19:54:55]	[OOC] Test Testington: you wnna snack
[19:55:00]	[OOC] CCA.C14-UNION.EpU.72633: BET
[19:55:01]	CCA.C14-UNION.EpU.72633 has gained a 'Raw Cryosquid Meat' #22636.
[19:55:01]	Test Testington used command '/CharGiveItem epu cryosquid'.
[19:55:04]	[OOC] Test Testington: eat that
[19:55:04]	CCA.C14-UNION.EpU.72633 ran 'Eat' on item 'Raw Cryosquid Meat' (#22636)
[19:55:04]	CCA.C14-UNION.EpU.72633 has taken 12 damage from worldspawn.
[19:55:07]	[OOC] CCA.C14-UNION.EpU.72633: Ow
[19:55:10]	Test Testington used command '/DoorSetHidden true'.
[19:55:10]	[OOC] Hans Weiß: bruh
[19:55:10]	[OOC] CCA.C14-UNION.EpU.72633: Me is hurt
[19:55:14]	CCA.C14-UNION.EpU.72633 has gained a 'Raw Pyrosquid Meat' #22636.
[19:55:14]	Test Testington used command '/CharGiveItem epu pyrosquid'.
[19:55:17]	[OOC] Test Testington: quick now eat this to warm you up
[19:55:21]	CCA.C14-UNION.EpU.72633 ran 'Eat' on item 'Raw Pyrosquid Meat' (#22636)
[19:55:21]	CCA.C14-UNION.EpU.72633 has taken 12 damage from worldspawn.
[19:55:21]	CCA.C14-UNION.EpU.72633 has taken 1 damage from CCA.C14-UNION.EpU.72633.
[19:55:23]	[OOC] Hans Weiß: dude ate the fuckin crysquid
[19:55:24]	CCA.C14-UNION.EpU.72633 has taken 1 damage from CCA.C14-UNION.EpU.72633.
[19:55:25]	[OOC] CCA.C14-UNION.EpU.72633: Truly hurt
[19:55:33]	[OOC] Hans Weiß: and the pyro
[19:55:57]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[19:55:58]	[OOC] CCA.C14-UNION.EpU.72633: I enjoy how I openly allowed myself to get damaged just so I could eat something
[19:56:04]	[OOC] Hans Weiß: imagine running into the nexus, or like getting stopped by a unit only to eat the pyro squid and set them on fire
[19:56:17]	[OOC] CCA.C14-UNION.EpU.72633: bruh, that would be fucking hilarious
[19:56:24]	[OOC] Test Testington: we would count that as a PK if you died
[19:56:29]	[OOC] CCA.C14-UNION.EpU.72633: It would almost top the "Bleach accident"
[19:56:46]	CCA.C14-UNION.EpU.72633 used command '/OldViewData hans'.
[19:56:54]	[OOC] Test Testington: """accident"""
[19:58:06]	[OOC] Hans Weiß: almost got that 15 lp bois
[19:58:21]	[OOC] CCA.C14-UNION.EpU.72633: Your at 9 points but sure
[19:58:30]	[OOC] Hans Weiß: yeah that's only 6 away
[19:58:49]	[OOC] CCA.C14-UNION.EpU.72633: Ehhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh fair
[19:59:15]	[OOC] Hans Weiß: if i do another scavanging run like i did last time for the work (i found fuckin 9mm clips n shit with a 100 roll) i could get there maybe today
[19:59:34]	[OOC] Hans Weiß: most likely tomorrow
[19:59:40]	[OOC] CCA.C14-UNION.EpU.72633: Why doesn't the Combine allow units to carry 9mm ripper rounds
[19:59:42]	[OOC] CCA.C14-UNION.EpU.72633: brb
[19:59:58]	Test Testington has spawned 'models/props_hive/larval_essence.mdl'.
[19:59:58]	Test Testington exited observer at their location.
[20:00:01]	Test Testington entered observer.
[20:00:14]	Test Testington has spawned 'models/props_hive/egg.mdl'.
[20:00:17]	Test Testington has spawned 'models/props_hive/egg_phy.mdl'.
[20:00:18]	[OOC] CCA.C14-UNION.EpU.72633: Back
[20:00:39]	Test Testington used command '/ToggleRaise'.
[20:00:44]	Test Testington used command '/ToggleRaise'.
[20:00:51]	[OOC] CCA.C14-UNION.EpU.72633: If we allowed ripper rounds CCA would be fucking horrifying 
[20:00:57]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[20:01:02]	Test Testington has spawned 'models/props_hive/egg_phy.mdl'.
[20:01:04]	[OOC] CCA.C14-UNION.EpU.72633: Like terrifying to anybody who doesn't have armor
[20:01:05]	Test Testington has spawned 'models/props_hive/egg.mdl'.
[20:01:11]	Test Testington exited observer at their location.
[20:01:13]	Test Testington has taken 20 damage from Test Testington.
[20:01:23]	Test Testington entered observer.
[20:01:35]	Test Testington has spawned 'models/props_hive/grubtunnel_door.mdl'.
[20:01:40]	Test Testington exited observer at their location.
[20:01:41]	Test Testington used command '/ToggleRaise'.
[20:01:46]	[OOC] Hans Weiß: im tryna figure out if i can read this poster in russian with my basic knowledge of the language
[20:01:51]	Test Testington entered observer.
[20:02:04]	[OOC] Test Testington: i can
[20:02:06]	[OOC] CCA.C14-UNION.EpU.72633: Neato
[20:02:09]	[OOC] Test Testington: it says rush b rush b
[20:02:16]	[OOC] CCA.C14-UNION.EpU.72633: No
[20:02:20]	[OOC] Hans Weiß: the first word is industrailism
[20:02:31]	[OOC] Test Testington: >clutch or kick rush b rush b
[20:02:39]	[OOC] Hans Weiß: cyka blyat pidaras
[20:02:51]	[OOC] CCA.C14-UNION.EpU.72633: Imagine rushing B and not just killing yourself to fuck over your team
[20:03:00]	Test Testington exited observer at their location.
[20:03:00]	Test Testington entered observer.
[20:03:03]	[OOC] CCA.C14-UNION.EpU.72633: (This post was made by dick-head gang)
[20:03:07]	[OOC] Test Testington: i've never played a counter strike game mcuh at all
[20:03:07]	Test Testington exited observer at their location.
[20:03:08]	Test Testington entered observer.
[20:03:10]	Test Testington exited observer at their location.
[20:03:12]	[OOC] Test Testington: i've played like
[20:03:15]	[OOC] Hans Weiß: so q you busy or would you mind going on a scavanging run with me?
[20:03:18]	[OOC] Test Testington: sure
[20:03:18]	Test Testington entered observer.
[20:03:21]	[OOC] Hans Weiß: yay
[20:03:23]	[OOC] Test Testington: i need to think anyways
[20:03:27]	[OOC] Test Testington: about buffs and shit
[20:03:33]	[OOC] Test Testington: for eating stuff
[20:03:41]	[OOC] Hans Weiß: i thought you meant drugs
[20:03:47]	[OOC] Test Testington: nah]
[20:03:49]	Test Testington used command '/DoorSetHidden true'.
[20:03:50]	[OOC] CCA.C14-UNION.EpU.72633: if you eat a cum toad you gain immortality
[20:03:53]	[OOC] Test Testington: we have drug items
[20:03:58]	[OOC] Test Testington: but i need to program in addiction
[20:04:00]	Test Testington exited observer at their location.
[20:04:01]	[ME] Hans Weiß: searches abandoned car
[20:04:03]	Hans Weiß rolled 13 out of 100.
[20:04:03]	Hans Weiß used command '/Roll'.
[20:04:06]	Test Testington used command '/adminspawnmenu'.
[20:04:14]	Test Testington has spawned "Cloth Scrap"
[20:04:17]	Test Testington entered observer.
[20:04:25]	Hans Weiß ran 'take' on item 'Cloth Scrap' (#22636)
[20:04:25]	Hans Weiß has gained a 'Cloth Scrap' #22636.
[20:04:29]	[ME] Hans Weiß: searches abandoned car
[20:04:31]	Hans Weiß rolled 9 out of 100.
[20:04:31]	Hans Weiß used command '/Roll'.
[20:04:38]	Test Testington used command '/adminspawnmenu'.
[20:04:53]	Test Testington used command '/adminspawnmenu'.
[20:04:58]	Test Testington has spawned "Cardboard Scraps"
[20:05:06]	Hans Weiß ran 'drop' on item 'Cardboard Scraps' (#22381)
[20:05:06]	Hans Weiß has lost a 'Cardboard Scraps' #22381.
[20:05:17]	[ME] Hans Weiß: searches abandoned car
[20:05:18]	Test Testington exited observer at their location.
[20:05:18]	Hans Weiß rolled 17 out of 100.
[20:05:18]	Hans Weiß used command '/Roll'.
[20:05:23]	Test Testington used command '/adminspawnmenu'.
[20:05:33]	Test Testington has spawned "Battered Scrap"
[20:05:35]	Hans Weiß ran 'take' on item 'Battered Scrap' (#22638)
[20:05:35]	Hans Weiß has gained a 'Battered Scrap' #22638.
[20:05:36]	Test Testington entered observer.
[20:05:41]	Test Testington exited observer at their location.
[20:05:42]	Test Testington entered observer.
[20:05:42]	[ME] Hans Weiß: searches abandoned truck
[20:05:43]	Test Testington exited observer at their location.
[20:05:43]	Test Testington entered observer.
[20:05:44]	Test Testington exited observer at their location.
[20:05:44]	Hans Weiß rolled 59 out of 100.
[20:05:44]	Hans Weiß used command '/Roll'.
[20:05:51]	Test Testington used command '/adminspawnmenu'.
[20:05:57]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[20:06:05]	Test Testington has spawned "Bag of Screws"
[20:06:06]	[OOC] CCA.C14-UNION.EpU.72633: Brb
[20:06:10]	Hans Weiß ran 'take' on item 'Bag of Screws' (#22639)
[20:06:10]	Hans Weiß has gained a 'Bag of Screws' #22639.
[20:06:13]	CCA.C14-UNION.EpU.72633 used command '/Radio Unit going 10-7'.
[20:06:18]	FB|| light ROOM loaded the character 'Journey Robertson'
[20:06:24]	[ME] Hans Weiß: searches dumpster
[20:06:27]	Hans Weiß rolled 29 out of 100.
[20:06:27]	Hans Weiß used command '/Roll'.
[20:06:27]	Test Testington entered observer.
[20:06:46]	[LOOC] Test Testington: one sec
[20:06:47]	Test Testington used command '/adminspawnmenu'.
[20:06:55]	Test Testington has spawned "Rope"
[20:07:03]	[OOC] Hans Weiß: if i get another fuck you boot ill make sure to give it to the epu so he has a full pair
[20:07:05]	Hans Weiß ran 'take' on item 'Rope' (#22640)
[20:07:05]	Hans Weiß has gained a 'Rope' #22640.
[20:07:09]	[OOC] Test Testington: LMAO
[20:07:14]	[ME] Hans Weiß: searches dumpster
[20:07:16]	Hans Weiß rolled 26 out of 100.
[20:07:16]	Hans Weiß used command '/Roll'.
[20:07:22]	Test Testington used command '/adminspawnmenu'.
[20:07:26]	Hans Weiß ran 'drop' on item '1984 Pencils' (#22383)
[20:07:26]	Hans Weiß has lost a '1984 Pencils' #22383.
[20:07:27]	Hans Weiß ran 'drop' on item 'Empty Can' (#22395)
[20:07:27]	Hans Weiß has lost a 'Empty Can' #22395.
[20:07:28]	Hans Weiß ran 'drop' on item 'Coffee Cup' (#22385)
[20:07:28]	Hans Weiß has lost a 'Coffee Cup' #22385.
[20:07:29]	Hans Weiß ran 'drop' on item 'Empty Paint Can' (#22396)
[20:07:29]	Hans Weiß has lost a 'Empty Paint Can' #22396.
[20:07:33]	Test Testington has spawned "Empty Bleach Bottle"
[20:07:43]	[ME] Hans Weiß: searches dumpster
[20:07:45]	Hans Weiß rolled 17 out of 100.
[20:07:45]	Hans Weiß used command '/Roll'.
[20:07:49]	Test Testington used command '/adminspawnmenu'.
[20:08:03]	Test Testington has spawned "Plank"
[20:08:26]	Hans Weiß ran 'take' on item 'Plank' (#22642)
[20:08:34]	Hans Weiß ran 'take' on item 'Plank' (#22642)
[20:08:34]	Hans Weiß has gained a 'Plank' #22642.
[20:08:46]	[ME] Hans Weiß: searches abandoned car
[20:08:48]	Hans Weiß rolled 98 out of 100.
[20:08:48]	Hans Weiß used command '/Roll'.
[20:08:51]	[LOOC] Test Testington: OH SDHIT
[20:08:52]	Test Testington used command '/adminspawnmenu'.
[20:08:53]	[LOOC] Hans Weiß: pog
[20:09:14]	[LOOC] Test Testington: oh goody let me find it
[20:09:20]	[LOOC] Hans Weiß: sounds fun so far
[20:09:26]	Chara HamSlapper has connected.
[20:09:31]	Test Testington has gained a 'Boot' #22643.
