[15:03:47]	hnbug01 has connected.
[18:48:44]	Emily Brown ran 'drop' on item 'Combine Compound' (#18748)
[18:48:44]	Emily Brown has lost a 'Combine Compound' #18748.
[18:48:45]	Wilm Hosenfeld has gained 0 tokens.
[18:48:45]	Wilm Hosenfeld has gained a 'UU Brand Absinthe' #20453.
[18:48:48]	Wilm Hosenfeld has gained 0 tokens.
[18:48:48]	Wilm Hosenfeld has gained a 'UU Brand Chips' #20454.
[18:48:50]	CCA.C08-QrM.98240 ran 'take' on item 'Combine Compound' (#18748)
[18:48:50]	CCA.C08-QrM.98240 has gained a 'Combine Compound' #18748.
[18:48:56]	Wilm Hosenfeld ran 'drop' on item 'UU Brand Absinthe' (#20453)
[18:48:56]	Wilm Hosenfeld has lost a 'UU Brand Absinthe' #20453.
[18:48:57]	Wilm Hosenfeld ran 'drop' on item 'UU Brand Chips' (#20454)
[18:48:57]	Wilm Hosenfeld has lost a 'UU Brand Chips' #20454.
[18:48:59]	Wilm Hosenfeld ran 'drop' on item 'UU Brand Absinthe' (#20452)
[18:48:59]	Wilm Hosenfeld has lost a 'UU Brand Absinthe' #20452.
[18:49:18]	[OOC] Crimson: wo
[18:49:32]	Emily Brown ran 'drop' on item 'Combine Compound' (#18749)
[18:49:32]	Emily Brown has lost a 'Combine Compound' #18749.
[18:49:32]	Emily Brown ran 'drop' on item 'Combine Compound' (#18751)
[18:49:32]	Emily Brown has lost a 'Combine Compound' #18751.
[18:49:33]	Emily Brown ran 'drop' on item 'Combine Compound' (#18750)
[18:49:33]	Emily Brown has lost a 'Combine Compound' #18750.
[18:49:34]	Emily Brown ran 'drop' on item 'Combine Compound' (#18752)
[18:49:34]	Emily Brown has lost a 'Combine Compound' #18752.
[18:49:39]	[ME] Crimson: would try to stealthfully walk past the group at the counter
[18:49:47]	CCA.C08-QrM.98240 ran 'use' on item '4.6x30 Rounds' (#20380)
[18:49:48]	CCA.C08-QrM.98240 ran 'use' on item '4.6x30 Rounds' (#20379)
[18:49:49]	CCA.C08-QrM.98240 ran 'use' on item '4.6x30 Rounds' (#20381)
[18:49:50]	CCA.C08-QrM.98240 ran 'use' on item '9mm Pistol Magazine' (#20364)
[18:49:50]	CCA.C08-QrM.98240 ran 'use' on item '9mm Pistol Magazine' (#20363)
[18:49:51]	Wilm Hosenfeld used command '/PM crimson i broke the window so you have easy access'.
[18:49:51]	CCA.C08-QrM.98240 ran 'use' on item '9mm Pistol Magazine' (#20365)
[18:49:55]	[LOOC] CCA.C08-QrM.98240: IGNORE THE AMMO
[18:49:56]	CCA.C08-QrM.98240 ran 'take' on item 'Combine Compound' (#18752)
[18:49:56]	CCA.C08-QrM.98240 has gained a 'Combine Compound' #18752.
[18:49:58]	CCA.C08-QrM.98240 ran 'take' on item 'Combine Compound' (#18750)
[18:49:58]	CCA.C08-QrM.98240 has gained a 'Combine Compound' #18750.
[18:49:59]	CCA.C08-QrM.98240 ran 'take' on item 'Combine Compound' (#18751)
[18:49:59]	CCA.C08-QrM.98240 has gained a 'Combine Compound' #18751.
[18:50:00]	CCA.C08-QrM.98240 ran 'take' on item 'Combine Compound' (#18749)
[18:50:00]	CCA.C08-QrM.98240 has gained a 'Combine Compound' #18749.
[18:50:01]	Wilm Hosenfeld opened the '' #1336 container.
[18:50:05]	Wilm Hosenfeld has gained a 'Cooked Fast Headcrab Meat' #20152.
[18:50:06]	Wilm Hosenfeld closed the '' #1336 container.
[18:50:20]	Wilm Hosenfeld has spawned 'models/props_c17/metalPot002a.mdl'.
[18:50:32]	Wilm Hosenfeld ran 'drop' on item 'Cooked Fast Headcrab Meat' (#20152)
[18:50:32]	Wilm Hosenfeld has lost a 'Cooked Fast Headcrab Meat' #20152.
[18:50:37]	CCA.C08-QrM.98240 has gained 10 tokens.
[18:50:46]	CCA.C08-QrM.98240 ran 'take' on item 'UU Brand Absinthe' (#20453)
[18:50:46]	CCA.C08-QrM.98240 has gained a 'UU Brand Absinthe' #20453.
[18:50:46]	Wilm Hosenfeld opened the '' #1336 container.
[18:50:48]	CCA.C08-QrM.98240 ran 'take' on item 'UU Brand Absinthe' (#20452)
[18:50:48]	CCA.C08-QrM.98240 has gained a 'UU Brand Absinthe' #20452.
[18:50:49]	Wilm Hosenfeld closed the '' #1336 container.
[18:50:50]	CCA.C08-QrM.98240 ran 'take' on item 'UU Brand Chips' (#20454)
[18:50:50]	CCA.C08-QrM.98240 has gained a 'UU Brand Chips' #20454.
[18:50:55]	[ME] Crimson: begins to peck against the molding on the wall
[18:50:58]	[ME] Wilm Hosenfeld: would fry up some headcrab.
[18:51:02]	[ME] CCA.C08-QrM.98240: Places down 20 tokens.
[18:51:04]	CCA.C08-QrM.98240 has lost 20 tokens.
[18:51:04]	CCA.C08-QrM.98240 used command '/DropTokens 20'.
[18:51:16]	Wilm Hosenfeld has spawned a 'Entity [2944][pfx1_0e]'.
[18:51:20]	[IT] Crimson: you would notice a faint 'cooing' sound coming from the counter, possibly a bird? 
[18:51:20]	Wilm Hosenfeld has spawned a 'Entity [2944][pfx1_0e]'.
[18:51:36]	[ME] CCA.C08-QrM.98240: Slides onto one of the seats.
[18:51:54]	[OOC] Emily Brown: i wanna make a store called uncle joes street food where im just a homeless man selling headcrab meat and shit
[18:52:02]	[OOC] CCA.C08-QrM.98240: I want that
[18:52:02]	[OOC] Emily Brown: in the slums
[18:52:09]	Wilm Hosenfeld has gained 20 tokens.
[18:52:17]	[OOC] CCA.C08-QrM.98240: I would totally go there.
[18:52:23]	Wilm Hosenfeld has spawned 'models/barneyhelmet_faceplate.mdl'.
[18:52:39]	[ME] Crimson: would fly up onto the trashcan in the corner of the room
[18:52:40]	[OOC] CCA.C08-QrM.98240: In canon 98240 made Headcrab Jambalaya, I would like you all to know that.
[18:53:06]	[ME] Crimson: would poke his head inside, messing through the trash
[18:53:18]	[LOOC] CCA.C08-QrM.98240: The bird has been trapped.
[18:53:26]	Wilm Hosenfeld has spawned 'models/props/de_inferno/fountain_bowl.mdl'.
[18:53:26]	Wilm Hosenfeld has taken 20 damage from prop_physics.
[18:53:26]	Wilm Hosenfeld has taken 100 damage from prop_physics.
[18:53:26]	prop_physics has killed Wilm Hosenfeld.
[18:53:28]	Wilm Hosenfeld entered observer.
[18:53:32]	[LOOC] CCA.C08-QrM.98240: He will be my next meal.
[18:53:37]	Wilm Hosenfeld exited observer at their location.
[18:54:01]	[OOC] Crimson: oh fuck
[18:54:33]	Wilm Hosenfeld has spawned 'models/props_phx/construct/wood/wood_panel1x1.mdl'.
[18:54:54]	[ME] Crimson: the bird does a sort of bow with his head as he leaves the room, whilst carying a piece of garbage held in it's mouth 
[18:55:07]	[LOOC] Crimson: Time to make a nest out of a dead headcrab's head
[18:55:09]	[ME] CCA.C08-QrM.98240: Just fucking watches the bird leave the room.
[18:55:19]	[LOOC] Wilm Hosenfeld: isn't a headcrab like
[18:55:24]	[LOOC] Wilm Hosenfeld: 99% head
[18:55:37]	CCA.C08-QrM.98240 has gained 10 tokens.
[18:55:51]	[OOC] Crimson: MISSION ACCOMPLISHED 
[18:55:59]	[ME] CCA.C08-QrM.98240: E A T
[18:56:01]	CCA.C08-QrM.98240 ran 'take' on item 'Cooked Fast Headcrab Meat' (#20152)
[18:56:12]	Wilm Hosenfeld used command '/ToggleRaise'.
[18:56:43]	Wilm Hosenfeld entered observer.
[18:56:51]	Wilm Hosenfeld used command '/ToggleRaise'.
[18:56:52]	Wilm Hosenfeld exited observer at their location.
[18:56:58]	CCA.C08-QrM.98240 has taken 17 damage from Wilm Hosenfeld.
[18:56:59]	CCA.C08-QrM.98240 has taken 17 damage from Wilm Hosenfeld.
[18:56:59]	CCA.C08-QrM.98240 has taken 17 damage from Wilm Hosenfeld.
[18:56:59]	CCA.C08-QrM.98240 has taken 18 damage from Wilm Hosenfeld.
[18:56:59]	CCA.C08-QrM.98240 has taken 18 damage from Wilm Hosenfeld.
[18:56:59]	CCA.C08-QrM.98240 has taken 18 damage from Wilm Hosenfeld.
[18:56:59]	CCA.C08-QrM.98240 has taken 18 damage from Wilm Hosenfeld.
[18:57:05]	Wilm Hosenfeld entered observer.
[18:57:13]	Wilm Hosenfeld exited observer at their location.
[18:57:14]	Wilm Hosenfeld has taken 450 damage from CCA.C08-QrM.98240.
[18:57:14]	CCA.C08-QrM.98240 has killed Wilm Hosenfeld with weapon_357.
[18:57:14]	Wilm Hosenfeld entered observer.
[18:57:15]	Wilm Hosenfeld exited observer at their location.
[18:57:16]	Wilm Hosenfeld entered observer.
[18:57:21]	Wilm Hosenfeld used command '/ToggleRaise'.
[18:57:22]	Wilm Hosenfeld exited observer at their location.
[18:57:23]	CCA.C08-QrM.98240 has taken 16 damage from Wilm Hosenfeld.
[18:57:24]	Wilm Hosenfeld entered observer.
[18:57:24]	Wilm Hosenfeld exited observer at their location.
[18:57:25]	CCA.C08-QrM.98240 has taken 17 damage from Wilm Hosenfeld.
[18:57:25]	CCA.C08-QrM.98240 has taken 18 damage from Wilm Hosenfeld.
[18:57:25]	CCA.C08-QrM.98240 has taken 17 damage from Wilm Hosenfeld.
[18:57:25]	CCA.C08-QrM.98240 has taken 16 damage from Wilm Hosenfeld.
[18:57:25]	Wilm Hosenfeld has killed CCA.C08-QrM.98240 with tfa_suppressor.
[18:57:29]	Wilm Hosenfeld entered observer.
[18:57:36]	Wilm Hosenfeld exited observer at their location.
[18:57:40]	CCA.C08-QrM.98240 has taken 18 damage from Wilm Hosenfeld.
[18:57:40]	CCA.C08-QrM.98240 has taken 17 damage from Wilm Hosenfeld.
[18:57:41]	CCA.C08-QrM.98240 has taken 17 damage from Wilm Hosenfeld.
[18:57:41]	CCA.C08-QrM.98240 has taken 18 damage from Wilm Hosenfeld.
[18:57:41]	CCA.C08-QrM.98240 has taken 18 damage from Wilm Hosenfeld.
[18:57:41]	CCA.C08-QrM.98240 has taken 18 damage from Wilm Hosenfeld.
[18:57:41]	CCA.C08-QrM.98240 has taken 18 damage from Wilm Hosenfeld.
[18:57:41]	CCA.C08-QrM.98240 has taken 18 damage from Wilm Hosenfeld.
[18:57:41]	CCA.C08-QrM.98240 has taken 17 damage from Wilm Hosenfeld.
[18:57:41]	CCA.C08-QrM.98240 has taken 17 damage from Wilm Hosenfeld.
[18:57:41]	CCA.C08-QrM.98240 has taken 17 damage from Wilm Hosenfeld.
[18:57:42]	CCA.C08-QrM.98240 has taken 18 damage from Wilm Hosenfeld.
[18:57:42]	Wilm Hosenfeld has killed CCA.C08-QrM.98240 with tfa_suppressor.
[18:57:45]	Wilm Hosenfeld entered observer.
[18:57:53]	Wilm Hosenfeld used command '/ToggleRaise'.
[18:57:55]	CCA.C08-QrM.98240 has taken 18 damage from Wilm Hosenfeld.
[18:57:55]	CCA.C08-QrM.98240 has taken 17 damage from Wilm Hosenfeld.
[18:57:55]	CCA.C08-QrM.98240 has taken 18 damage from Wilm Hosenfeld.
[18:57:55]	CCA.C08-QrM.98240 has taken 17 damage from Wilm Hosenfeld.
[18:57:56]	CCA.C08-QrM.98240 has taken 18 damage from Wilm Hosenfeld.
[18:57:56]	CCA.C08-QrM.98240 has taken 18 damage from Wilm Hosenfeld.
[18:57:56]	CCA.C08-QrM.98240 has taken 18 damage from Wilm Hosenfeld.
[18:57:56]	CCA.C08-QrM.98240 has taken 17 damage from Wilm Hosenfeld.
[18:57:57]	CCA.C08-QrM.98240 has taken 17 damage from Wilm Hosenfeld.
[18:57:57]	CCA.C08-QrM.98240 has taken 18 damage from Wilm Hosenfeld.
[18:57:57]	CCA.C08-QrM.98240 has taken 17 damage from Wilm Hosenfeld.
[18:57:57]	CCA.C08-QrM.98240 has taken 18 damage from Wilm Hosenfeld.
[18:57:57]	Wilm Hosenfeld has killed CCA.C08-QrM.98240 with tfa_suppressor.
[18:58:07]	CCA.C08-QrM.98240 ran 'Equip' on item 'XM31 OICW' (#20177)
[18:58:08]	CCA.C08-QrM.98240 ran 'Equip' on item '357' (#10719)
[18:58:20]	[OOC] Crimson: all I hear is death **this is not a good moment* 
[18:58:33]	[OOC] CCA.C08-QrM.98240: Blame DRD for being a dumbo.
[18:58:41]	[OOC] Wilm Hosenfeld: blame uh
[18:58:44]	[OOC] Wilm Hosenfeld: blame dilly
[18:58:47]	[OOC] CCA.C08-QrM.98240: I agree
[18:58:57]	[OOC] Crimson: My immersion is ruined
[18:58:59]	CCA.C08-QrM.98240 opened the '' #1895 container.
[18:59:01]	CCA.C08-QrM.98240 closed the '' #1895 container.
[18:59:13]	[OOC] Crimson: no longer can I live as a bird
[18:59:27]	[OOC] CCA.C08-QrM.98240: OH! be my pet bird.
[18:59:32]	[ME] Crimson: peck
[18:59:36]	[ME] CCA.C08-QrM.98240: peck
[18:59:45]	Wilm Hosenfeld entered observer.
[18:59:46]	[ME] Crimson: does the same but better because he's a fucking bird
[18:59:52]	Wilm Hosenfeld exited observer at their location.
[18:59:56]	[ME] CCA.C08-QrM.98240: Does it even better becauyse he isn't a dumbass bird.
[19:00:03]	Crimson used command '/CharFallOver 1'.
[19:00:07]	Wilm Hosenfeld used command '/CharGetUp'.
[19:00:09]	Wilm Hosenfeld has taken 7 damage from CCA.C08-QrM.98240.
[19:00:09]	Wilm Hosenfeld has taken 6 damage from CCA.C08-QrM.98240.
[19:00:09]	Wilm Hosenfeld has taken 8 damage from CCA.C08-QrM.98240.
[19:00:09]	CCA.C08-QrM.98240 has killed Wilm Hosenfeld with weapon_oicw.
[19:00:13]	Wilm Hosenfeld entered observer.
[19:00:28]	Wilm Hosenfeld entered observer.
[19:00:29]	AtlasGuns88 (STEAM_0:0:155606903) has disconnected.
[19:00:29]	Wilm Hosenfeld entered observer.
[19:00:32]	CCA.C08-QrM.98240 used the 'Armory' vendor.
[19:00:35]	[LOOC] Crimson: Kill all imposters
[19:00:35]	CCA.C08-QrM.98240 opened the '' #971 container.
[19:00:37]	CCA.C08-QrM.98240 has gained 10 tokens.
[19:00:45]	CCA.C08-QrM.98240 closed the '' #971 container.
[19:00:56]	[ME] CCA.C08-QrM.98240: Takes out a bag of UU chips and starts offering a few to the bird.
[19:01:01]	CCA.C08-QrM.98240 ran 'drop' on item 'UU Brand Chips' (#20454)
[19:01:01]	CCA.C08-QrM.98240 has lost a 'UU Brand Chips' #20454.
[19:01:05]	[ME] Crimson: pecks the fuck outa those chips 
[19:01:28]	Wilm Hosenfeld entered observer.
[19:01:38]	Wilm Hosenfeld ran 'Consume' on item 'UU Brand Chips' (#20454)
[19:01:45]	[ME] CCA.C08-QrM.98240: Takes off his mask and starts downing a bottle of straight fucking Absinthe.
[19:01:53]	[ME] Crimson: sticks its head in the bag of chips, and would begin devouring them like its his last meal
[19:02:13]	[LOOC] CCA.C08-QrM.98240: This is pog
[19:02:17]	[LOOC] Crimson: really es
[19:02:25]	[LOOC] CCA.C08-QrM.98240: Oh right, I forgot to give a description for my boy.
[19:03:00]	DRD loaded the character 'CCA.C08.QrM.58234'
[19:03:04]	CCA.C08.QrM.58234 entered observer.
[19:03:08]	[ME] CCA.C08-QrM.98240: Looking at the QrM's face, you would see a grizzled old man with pale skin, deep green eyes, and a long greying beard.
[19:03:12]	matt saton loaded the character 'Anne Wayle'
[19:03:13]	Anne Wayle entered observer.
[19:03:34]	[ME] Crimson: notices the man behind the mask and still continues to eat the chips, because man... for a bird, these chips are like something else
[19:03:43]	CCA.C08.QrM.58234 exited observer at their location.
[19:03:56]	[LOOC] CCA.C08-QrM.98240: We meet at last
[19:04:00]	[LOOC] CCA.C08.QrM.58234: brother
[19:04:28]	[ME] Crimson: notices the other unit aproaching, but is still way busy eating the chips
[19:04:56]	[W] Crimson: *coo *cooooo*.
[19:05:18]	CCA.C08.QrM.58234 used command '/ToggleRaise'.
[19:05:23]	Crimson has taken 75 damage from CCA.C08.QrM.58234.
[19:05:23]	CCA.C08.QrM.58234 has killed Crimson with weapon_357.
[19:05:26]	CCA.C08.QrM.58234 used command '/ToggleRaise'.
[19:05:37]	CCA.C08-QrM.98240 has gained 10 tokens.
[19:06:20]	queer (STEAM_0:0:38537787) has disconnected.
[19:06:21]	[ME] Crimson: would be finished with the chips and pokes it's head out of the bag, and would eye at both of the units beside him.
[19:07:11]	[ME] Crimson: would become slightly claustrophobic as two identical units cross him at both sides. As a reaction he would walk up to the corner on the counter
[19:07:31]	[LOOC] CCA.C08.QrM.58234: cower in fear
[19:07:33]	[LOOC] CCA.C08.QrM.58234: bird.
[19:08:00]	CCA.C08.QrM.58234 has gained 10 tokens.
[19:08:01]	[LOOC] Crimson: now I must consume *real* food
[19:08:26]	[ME] CCA.C08-QrM.98240: Starts taking a long swig of straight Absinthe.
[19:10:34]	CCA.C08.QrM.58234 entered observer.
[19:10:34]	[ME] Crimson: vibes
[19:10:37]	CCA.C08-QrM.98240 has gained 10 tokens.
[19:10:38]	[LOOC] CCA.C08-QrM.98240: Truly
[19:10:39]	CCA.C08.QrM.58234 exited observer at their location.
[19:10:53]	[ME] CCA.C08-QrM.98240: reaches out his hand to the bird slowly, trying not to fucking scare it away.
[19:11:02]	CCA.C08.QrM.58234 entered observer.
[19:11:02]	CCA.C08.QrM.58234 exited observer at their location.
[19:11:03]	CCA.C08.QrM.58234 entered observer.
[19:11:21]	CCA.C08.QrM.58234 entered observer.
[19:11:26]	[ME] Crimson: does not flinch, for some reason... it shows that it seems to be used to humans 
[19:11:55]	[ME] Crimson: notices the floating fucking doll on the cabinet at the corner of the room 
[19:12:15]	[LOOC] CCA.C08-QrM.98240: JUST HOLD ON
[19:12:49]	CCA.C08.QrM.58234 has taken 40 damage from CCA.C08-QrM.98240.
[19:12:49]	CCA.C08-QrM.98240 has killed CCA.C08.QrM.58234 with weapon_357.
[19:12:53]	CCA.C08.QrM.58234 entered observer.
[19:12:54]	[LOOC] CCA.C08-QrM.98240: IT WORKED
[19:13:00]	CCA.C08.QrM.58234 exited observer at their location.
[19:13:00]	CCA.C08.QrM.58234 has gained 10 tokens.
[19:13:04]	[ME] Crimson: vibes some more with a dead doll in the room
[19:13:08]	[ME] CCA.C08-QrM.98240: Attempts to pet the bird.
[19:13:13]	CCA.C08.QrM.58234 ran 'drop' on item 'Cat Statue' (#9655)
[19:13:13]	CCA.C08.QrM.58234 has lost a 'Cat Statue' #9655.
[19:13:26]	[ME] Crimson: you effortlessly pet the bird, as it "coos" away like a cat purring 
[19:13:47]	[ME] Crimson: would lean into the hand as you pet it
[19:14:19]	[ME] Crimson: said the bird
[19:14:21]	[LOOC] Crimson: void
[19:14:25]	[ME] CCA.C08-QrM.98240: Starts taking another swig of Absinthe.
[19:14:35]	Crimson used command '/CharFallOver 1'.
[19:14:38]	Crimson used command '/CharFallOver 1'.
[19:14:39]	[LOOC] CCA.C08-QrM.98240: Amazing
[19:14:41]	Crimson used command '/CharFallOver 1'.
[19:14:50]	Crimson used command '/CharFallOver 40'.
[19:15:03]	[OOC] CCA.C08.QrM.58234: my ping just went to 5000
[19:15:11]	[OOC] Crimson: sounds healthy
[19:15:34]	CCA.C08.QrM.58234 has taken 75 damage from CCA.C08-QrM.98240.
[19:15:34]	CCA.C08.QrM.58234 has taken 75 damage from CCA.C08-QrM.98240.
[19:15:35]	Crimson has taken 50 damage from worldspawn.
[19:15:35]	worldspawn has killed Crimson.
[19:15:35]	CCA.C08.QrM.58234 entered observer.
[19:15:37]	CCA.C08.QrM.58234 exited observer at their location.
[19:15:37]	CCA.C08-QrM.98240 has gained 10 tokens.
[19:15:42]	CCA.C08.QrM.58234 ran 'Equip' on item '357' (#6355)
[19:15:48]	CCA.C08.QrM.58234 used command '/ToggleRaise'.
[19:15:48]	Crimson used command '/CharFallOver 1'.
[19:15:50]	Crimson has taken 100 damage from worldspawn.
[19:15:50]	worldspawn has killed Crimson.
[19:15:50]	Crimson used command '/CharFallOver 1'.
[19:15:52]	Crimson has taken 50 damage from worldspawn.
[19:15:52]	worldspawn has killed Crimson.
[19:15:52]	CCA.C08-QrM.98240 has taken 75 damage from CCA.C08.QrM.58234.
[19:15:52]	Crimson used command '/CharFallOver 1'.
[19:15:53]	CCA.C08-QrM.98240 has taken 75 damage from CCA.C08.QrM.58234.
[19:15:53]	CCA.C08-QrM.98240 has taken 75 damage from CCA.C08.QrM.58234.
[19:15:53]	CCA.C08.QrM.58234 has killed CCA.C08-QrM.98240 with weapon_357.
[19:15:57]	Crimson used command '/CharFallOver 1'.
[19:16:00]	CCA.C08.QrM.58234 entered observer.
[19:16:00]	Crimson used command '/CharFallOver 1'.
[19:16:01]	CCA.C08-QrM.98240 opened the '' #1233 container.
[19:16:03]	Crimson used command '/CharFallOver 1'.
[19:16:05]	Crimson used command '/CharFallOver 1'.
[19:16:06]	CCA.C08-QrM.98240 closed the '' #1233 container.
[19:16:08]	Crimson used command '/CharFallOver 1'.
[19:16:13]	CCA.C08.QrM.58234 exited observer at their location.
[19:16:13]	Crimson used command '/CharFallOver 1'.
[19:16:23]	Crimson used command '/CharFallOver 1'.
[19:16:23]	CCA.C08-QrM.98240 destroyed a 'Cat Statue' #9655.
[19:16:26]	Crimson used command '/CharFallOver 1'.
[19:16:26]	CCA.C08-QrM.98240 used the 'Armory' vendor.
[19:16:34]	CCA.C08-QrM.98240 used the 'Armory' vendor.
[19:16:37]	Crimson used command '/CharFallOver 1'.
[19:16:38]	CCA.C08-QrM.98240 has gained 0 tokens.
[19:16:38]	CCA.C08-QrM.98240 has gained a '9mm Pistol Magazine' #20455.
[19:16:39]	CCA.C08-QrM.98240 has gained 0 tokens.
[19:16:39]	CCA.C08-QrM.98240 has gained a '9mm Pistol Magazine' #20456.
[19:16:39]	CCA.C08-QrM.98240 has gained 0 tokens.
[19:16:39]	CCA.C08-QrM.98240 has gained a '9mm Pistol Magazine' #20457.
[19:16:57]	[ME] CCA.C08.QrM.58234: would attempt to slide his index finger under the birds feet, trying to pick it up
[19:17:03]	[LOOC] CCA.C08.QrM.58234: fucking perch
[19:17:21]	[ME] Crimson: you do so effortlessly as the bird cooperates
[19:17:30]	Crimson used command '/CharFallOver 1'.
[19:18:00]	CCA.C08.QrM.58234 has gained 10 tokens.
[19:19:15]	CCA.C08.QrM.58234 used command '/ToggleRaise'.
[19:19:21]	CCA.C08.QrM.58234 entered observer.
[19:19:40]	[ME] Crimson: vibes some more
[19:19:47]	[LOOC] CCA.C08-QrM.98240: Vibe pog
[19:20:13]	Crimson ran 'drop' on item 'Empty Paint Can' (#15290)
[19:20:13]	Crimson has lost a 'Empty Paint Can' #15290.
[19:20:17]	CCA.C08-QrM.98240 used the 'Ration Supply' vendor.
[19:20:19]	CCA.C08.QrM.58234 exited observer at their location.
[19:20:20]	CCA.C08-QrM.98240 has gained 0 tokens.
[19:20:20]	CCA.C08-QrM.98240 has gained a 'Civil Protection Functionary Grade Ration' #20458.
[19:20:25]	CCA.C08-QrM.98240 ran 'Open' on item 'Civil Protection Functionary Grade Ration' (#20458)
[19:20:25]	CCA.C08-QrM.98240 has gained a 'Civil Protection Functionary Grade Food Product' #20459.
[19:20:25]	CCA.C08-QrM.98240 has gained a 'Universal Union Functionary Grade Beverage' #20460.
[19:20:37]	CCA.C08-QrM.98240 has gained 10 tokens.
[19:20:40]	CCA.C08.QrM.58234 entered observer.
[19:20:43]	CCA.C08.QrM.58234 exited observer at their location.
[19:20:44]	CCA.C08.QrM.58234 entered observer.
[19:20:52]	[ME] CCA.C08-QrM.98240: Places down a CCA food supplement, wripping it open and placing it on the table.
[19:20:55]	CCA.C08-QrM.98240 ran 'drop' on item 'KIBA Arms Ammocase' (#10718)
[19:20:55]	CCA.C08-QrM.98240 has lost a 'KIBA Arms Ammocase' #10718.
[19:20:55]	CCA.C08-QrM.98240 has lost a '9mm Pistol Magazine' #20455.
[19:20:55]	CCA.C08-QrM.98240 has lost a '9mm Pistol Magazine' #20361.
[19:20:55]	CCA.C08-QrM.98240 has lost a '9mm Pistol Magazine' #20362.
[19:20:55]	CCA.C08-QrM.98240 has lost a 'Universal Union Functionary Grade Beverage' #20460.
[19:20:55]	CCA.C08-QrM.98240 has lost a '9mm Pistol Magazine' #20456.
[19:20:55]	CCA.C08-QrM.98240 has lost a '9mm Pistol Magazine' #20366.
[19:20:55]	CCA.C08-QrM.98240 has lost a '9mm Pistol Magazine' #20457.
[19:20:55]	CCA.C08-QrM.98240 has lost a 'Civil Protection Functionary Grade Food Product' #20459.
[19:20:57]	CCA.C08-QrM.98240 ran 'take' on item 'KIBA Arms Ammocase' (#10718)
[19:20:57]	CCA.C08-QrM.98240 has gained a 'KIBA Arms Ammocase' #10718.
[19:20:57]	CCA.C08-QrM.98240 has gained a '9mm Pistol Magazine' #20455.
[19:20:57]	CCA.C08-QrM.98240 has gained a '9mm Pistol Magazine' #20361.
[19:20:57]	CCA.C08-QrM.98240 has gained a '9mm Pistol Magazine' #20362.
[19:20:57]	CCA.C08-QrM.98240 has gained a 'Universal Union Functionary Grade Beverage' #20460.
[19:20:57]	CCA.C08-QrM.98240 has gained a '9mm Pistol Magazine' #20456.
[19:20:57]	CCA.C08-QrM.98240 has gained a '9mm Pistol Magazine' #20366.
[19:20:57]	CCA.C08-QrM.98240 has gained a '9mm Pistol Magazine' #20457.
[19:20:57]	CCA.C08-QrM.98240 has gained a 'Civil Protection Functionary Grade Food Product' #20459.
[19:21:03]	CCA.C08-QrM.98240 ran 'drop' on item 'Civil Protection Functionary Grade Food Product' (#20459)
[19:21:03]	CCA.C08-QrM.98240 has lost a 'Civil Protection Functionary Grade Food Product' #20459.
[19:21:11]	[LOOC] CCA.C08-QrM.98240: Food product, cool.
[19:21:15]	[ME] Crimson: eats the entire car battery like its nothing
[19:21:17]	[LOOC] Crimson: void
[19:21:32]	[LOOC] CCA.C08-QrM.98240: Plot twist, I'm fattening you up to eat you later.
[19:21:49]	[ME] Crimson: aproaches the food supplement and watches it for a bit
[19:22:03]	CCA.C08.QrM.58234 ran 'View' on item 'Paper' (#12540)
[19:22:05]	[ME] Crimson: would walk away seemingly uninterested... perhaps he's full?
[19:22:08]	[OOC] CCA.C08-QrM.98240: I'll be hopping off for a bit.
[19:22:10]	CCA.C08.QrM.58234 ran 'View' on item 'Notepad' (#13969)
[19:22:12]	[OOC] Crimson: aight
[19:22:25]	[OOC] Crimson: might do the same, got a few things to take care of 
[19:22:26]	[ME] CCA.C08-QrM.98240: The QrM goes into the void.
[19:22:28]	[LOOC] CCA.C08-QrM.98240: Void
[19:22:32]	Crimson ran 'take' on item 'Empty Paint Can' (#15290)
[19:22:32]	Crimson has gained a 'Empty Paint Can' #15290.
[19:22:38]	CCA.C08.QrM.58234 ran 'View' on item 'Notepad' (#13970)
[19:22:39]	FB|| light ROOM (STEAM_0:1:17219621) has disconnected.
[19:22:56]	CCA.C08.QrM.58234 ran 'View' on item 'Notepad' (#13971)
[19:23:00]	CCA.C08.QrM.58234 has gained 10 tokens.
[19:23:07]	CCA.C08.QrM.58234 ran 'View' on item 'Paper' (#11100)
[19:23:09]	Dilly_ loaded the character 'Carson Copper'
[19:23:16]	Dilly_ (STEAM_0:0:52468151) has disconnected.
[19:23:19]	CCA.C08.QrM.58234 ran 'View' on item 'Paper' (#20320)
[19:23:25]	CCA.C08.QrM.58234 ran 'View' on item 'Notepad' (#15441)
[19:23:46]	DRD (STEAM_0:0:193599766) has disconnected.
[19:42:31]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[19:42:46]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[19:43:01]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[19:43:16]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
