[11:10:44]	NamRm has connected.
[12:03:57]	CCA.C17-QrM.98240 used the 'Armory' vendor.
[12:03:57]	Cave Johnson used command '/DoorSetHidden true'.
[12:03:59]	[OOC] Cave Johnson: guess who's back
[12:03:59]	Cave Johnson entered observer.
[12:04:00]	Cave Johnson exited observer at their location.
[12:04:03]	Cave Johnson used command '/CharKick i2'.
[12:04:03]	[OOC] Sandra Remez: o god
[12:04:04]	[OOC] Cave Johnson: back again
[12:04:05]	[OOC] Sandra Remez: o fuck
[12:04:06]	Madeline Wuntch loaded the character 'caw caw'
[12:04:10]	[OOC] Cave Johnson: cavey's back
[12:04:10]	CCA.C17-QrM.98240 has gained 0 tokens.
[12:04:10]	CCA.C17-QrM.98240 has gained a 'Yellow Loyalist Armband' #36237.
[12:04:11]	Cave Johnson entered observer.
[12:04:11]	Cave Johnson exited observer at their location.
[12:04:12]	Cave Johnson entered observer.
[12:04:13]	Cave Johnson exited observer at their location.
[12:04:14]	Cave Johnson entered observer.
[12:04:14]	Cave Johnson exited observer at their location.
[12:04:15]	[OOC] Sandra Remez: *inhale*
[12:04:17]	[OOC] Cave Johnson: tell a friend
[12:04:19]	Cave Johnson entered observer.
[12:05:01]	Cave Johnson exited observer at their location.
[12:05:06]	Cave Johnson used command '/Radio Grid.'.
[12:05:11]	Cave Johnson used command '/Radio Anyone?'.
[12:05:14]	Cave Johnson used command '/Radio I need my letters.'.
[12:05:16]	[OOC] Sandra Remez: *inhale*
[12:05:23]	Cave Johnson entered observer.
[12:05:25]	[ME] CCA.C17-QrM.98240: Holds out a Yellow armband for the civvie.
[12:05:26]	Cave Johnson exited observer at their location.
[12:05:27]	Cave Johnson entered observer.
[12:05:27]	Cave Johnson exited observer at their location.
[12:05:28]	CCA.C17-QrM.98240 ran 'drop' on item 'Yellow Loyalist Armband' (#36237)
[12:05:28]	CCA.C17-QrM.98240 has lost a 'Yellow Loyalist Armband' #36237.
[12:05:35]	[ME] Sandra Remez: Takes while greeting
[12:05:38]	Sandra Remez ran 'take' on item 'Yellow Loyalist Armband' (#36237)
[12:05:38]	Sandra Remez has gained a 'Yellow Loyalist Armband' #36237.
[12:05:42]	Sandra Remez ran 'Equip' on item 'Yellow Loyalist Armband' (#36237)
[12:06:26]	Cave Johnson used command '/Radio Hello?'.
[12:06:29]	Cave Johnson entered observer.
[12:06:33]	CCA.C17-QrM.98240 used command '/Radio // he went AFK ;-;'.
[12:06:39]	Cave Johnson used command '/Radio //you aren't doe'.
[12:06:42]	CCA.C17-QrM.98240 used command '/Radio // fine'.
[12:06:46]	CCA.C17-QrM.98240 used command '/Radio Want me to do it?'.
[12:06:51]	Cave Johnson used command '/Radio Affirmative.'.
[12:06:57]	CCA.C17-QrM.98240 used command '/Radio Copy.'.
[12:07:01]	[OOC] Sandra Remez: NOOOOOOOOO
[12:07:13]	[OOC] Jamal White: bruh
[12:07:56]	[Y] CCA.C17-QrM.98240: <:: Move it! ::>
[12:08:13]	Cave Johnson has spawned 'models/hunter/plates/plate05x05.mdl'.
[12:08:14]	[OOC] CCA.C17-QrM.98240: Q, come
[12:08:25]	CCA.C17-QrM.98240 ran 'View' on item 'Notepad' (#36228)
[12:08:36]	CCA.C17-QrM.98240 has gained 10 tokens.
[12:08:56]	Cave Johnson has gained 50 tokens.
[12:10:02]	Cave Johnson used command '/PM andre Hey, I just wanted to say thank you for your continued time on the server, it's great to have you and we appreciate you.'.
[12:10:26]	Andre Black used command '/PM cave Np man. I enjoy it on here. It's been fun so far.'.
[12:11:15]	Cave Johnson exited observer at their location.
[12:11:21]	CCA.C17-QrM.98240 used command '/Radio I've arrived'.
[12:12:21]	Cave Johnson used command '/Broadcast Hello, everybody!'.
[12:12:31]	Cave Johnson used command '/Broadcast It's me, Carve Johnstone!'.
[12:12:44]	FB|| light ROOM loaded the character 'CCA.C17-UNION.SqL.72633'
[12:12:51]	CCA.C17-UNION.SqL.72633 ran 'drop' on item 'Loyalist Grade Ration' (#36223)
[12:12:51]	CCA.C17-UNION.SqL.72633 has lost a 'Loyalist Grade Ration' #36223.
[12:12:51]	CCA.C17-UNION.SqL.72633 ran 'drop' on item 'Loyalist Grade Ration' (#36224)
[12:12:51]	CCA.C17-UNION.SqL.72633 has lost a 'Loyalist Grade Ration' #36224.
[12:12:53]	CCA.C17-UNION.SqL.72633 destroyed a 'Loyalist Grade Ration' #36223.
[12:12:53]	CCA.C17-UNION.SqL.72633 destroyed a 'Loyalist Grade Ration' #36224.
[12:13:27]	[OOC] caw caw: did he forget his own name
[12:13:31]	[OOC] CCA.C17-UNION.SqL.72633: Maybe
[12:13:40]	Cave Johnson used command '/Broadcast I've been here looking at the nortnort.'.
[12:13:42]	[OOC] Andre Black: Sleepy cave
[12:13:48]	Cave Johnson used command '/Broadcast Pads.'.
[12:13:49]	[OOC] Sandra Remez: this mans
[12:13:50]	Cave Johnson used command '/Broadcast Tampax.'.
[12:13:56]	Cave Johnson has gained 50 tokens.
[12:13:59]	Madeline Wuntch loaded the character 'CCA.C17-SCN.49412'
[12:14:02]	[OOC] Sandra Remez: he smoked to much
[12:14:04]	Cave Johnson used command '/Broadcast Carve Johnstone needs a Carveulance.'.
[12:14:17]	Cave Johnson used command '/Broadcast Johnstone having Strong.'.
[12:14:33]	[OOC] Sandra Remez: this reminds me of when we got him out of place
[12:14:35]	[OOC] Sandra Remez: holy shit
[12:14:38]	Cave Johnson used command '/Broadcast It's me, the *real* Cave Johnson!'.
[12:14:45]	Cave Johnson used command '/Broadcast That was a simulation of if I were to have a stroke.'.
[12:14:52]	[OOC] Sandra Remez: lovei t
[12:14:54]	[OOC] Sandra Remez: love it
[12:14:58]	Cave Johnson used command '/Broadcast This is your reminder to look out for the symptoms.'.
[12:15:18]	[OOC] CCA.C17-SCN.49412: Remember FAST
[12:15:23]	Cave Johnson used command '/Broadcast Face drooping...'.
[12:15:26]	Cave Johnson used command '/Broadcast Uh...'.
[12:15:31]	Cave Johnson used command '/Broadcast Et cetera.'.
[12:15:34]	Cave Johnson used command '/Broadcast Moving on!'.
[12:15:37]	[OOC] CCA.C17-SCN.49412: Face, Arms, Speech, Time
[12:15:49]	Cave Johnson used command '/Broadcast I've got two letters for you all.'.
[12:15:57]	Cave Johnson ran 'View' on item 'Notepad' (#36219)
[12:16:07]	Cave Johnson used command '/Broadcast It reads...'.
[12:16:16]	Cave Johnson used command '/Event Cave Johnson looks conflicted.'.
[12:16:25]	[OOC] CCA.C17-SCN.49412: WHAT DOES IT SAY
[12:16:32]	[OOC] Sandra Remez: THE NUMBERS MASON
[12:16:32]	Cave Johnson used command '/Broadcast I, uh..'.
[12:16:35]	Cave Johnson used command '/Broadcast CAn'.
[12:16:35]	[OOC] Sandra Remez: WHAT DO YTHEY MEAN
[12:16:42]	Cave Johnson used command '/Broadcast Can I read this?'.
[12:16:57]	Cave Johnson used command '/Broadcast Hold on... I'll be right back.'.
[12:17:09]	Cave Johnson entered observer.
[12:17:09]	Cave Johnson exited observer at their location.
[12:17:10]	Cave Johnson entered observer.
[12:17:11]	CCA.C17-SCN.49412 used command '/PM cave i require p i l l of scanner'.
[12:17:13]	Cave Johnson exited observer at their location.
[12:17:15]	Cave Johnson entered observer.
[12:17:44]	CCA.C17-UNION.SqL.72633 has gained 10 tokens.
[12:17:45]	[OOC] CCA.C17-SCN.49412: cityscanner
[12:17:55]	Cave Johnson exited observer at their location.
[12:17:56]	Cave Johnson entered observer.
[12:17:56]	Cave Johnson exited observer at their location.
[12:17:56]	Cave Johnson entered observer.
[12:17:57]	Cave Johnson exited observer at their location.
[12:17:58]	Cave Johnson entered observer.
[12:17:59]	Cave Johnson exited observer at their location.
[12:18:00]	Cave Johnson entered observer.
[12:18:01]	Cave Johnson exited observer at their location.
[12:18:03]	Cave Johnson entered observer.
[12:18:10]	Sandra Remez ran 'Consume' on item 'Breen's Water' (#36021)
[12:18:13]	Sandra Remez ran 'Consume' on item 'Breen's Water' (#36227)
[12:18:14]	Cave Johnson exited observer at their location.
[12:18:23]	Sandra Remez has lost 5 tokens.
[12:18:27]	Sandra Remez has lost 5 tokens.
[12:18:30]	Sandra Remez ran 'take' on item 'Breen's Water' (#36238)
[12:18:30]	Sandra Remez has gained a 'Breen's Water' #36238.
[12:18:32]	Sandra Remez ran 'Consume' on item 'Breen's Water' (#36239)
[12:18:34]	Sandra Remez ran 'drop' on item 'Breen's Water' (#36238)
[12:18:34]	Sandra Remez has lost a 'Breen's Water' #36238.
[12:18:37]	Cave Johnson used command '/Broadcast I guess.. I think I can say this..'.
[12:18:37]	Sandra Remez ran 'Consume' on item 'Breen's Water' (#36238)
[12:18:47]	Cave Johnson used command '/Broadcast It says... Ay oh...'.
[12:18:56]	Cave Johnson has gained 50 tokens.
[12:18:59]	Cave Johnson ran 'View' on item 'Notepad' (#36219)
[12:18:59]	CCA.C17-SCN.49412 has gained 10 tokens.
[12:19:09]	Cave Johnson used command '/Broadcast N---a, I kinda eff with you.'.
[12:19:19]	Cave Johnson used command '/Broadcast He didn't say eff.'.
[12:19:20]	[OOC] Sandra Remez: holy shit\
[12:19:43]	[OOC] Sandra Remez: CAVE JOHNSON IS RACISTY
[12:19:45]	[OOC] Sandra Remez: CAVE JOHNSON IS RACIST
[12:19:54]	Cave Johnson used command '/Broadcast Alright..'.
[12:19:58]	[OOC] Sandra Remez: riots
[12:20:00]	Cave Johnson used command '/Broadcast Thank you..'.
[12:20:20]	Cave Johnson used command '/Broadcast Please refrain from that language, thank you.'.
[12:20:38]	Cave Johnson ran 'View' on item 'Notepad' (#36228)
[12:20:42]	Cave Johnson used command '/Broadcast Alright..'.
[12:20:51]	Cave Johnson used command '/Broadcast Hello, Mr Johnson, I have a question?'.
[12:21:09]	Cave Johnson used command '/Broadcast Then you should write that with a question mark, not that previous sentence.'.
[12:21:19]	Cave Johnson used command '/Broadcast What are your thoughts on using panda lungs?'.
[12:21:23]	Cave Johnson used command '/Broadcast Jamal White.'.
[12:21:26]	[OOC] Sandra Remez: we go my english teacher over here
[12:21:51]	Cave Johnson used command '/Broadcast Well, thank you, Jamal. Great idea.'.
[12:21:55]	Cave Johnson used command '/Broadcast We'll look into that!'.
[12:22:07]	Cave Johnson used command '/Broadcast Alright, a couple more announcements.'.
[12:22:17]	Cave Johnson used command '/Broadcast First off, we need a volunteer for some science.'.
[12:22:39]	Cave Johnson used command '/Broadcast Come to the work desk if you want to participate.'.
[12:22:44]	CCA.C17-UNION.SqL.72633 has gained 10 tokens.
[12:22:50]	Cave Johnson used command '/Broadcast Also, we'll be doing some interviews for the CWU later today.'.
[12:22:56]	Cave Johnson used command '/Broadcast We'll keep you posted on that.'.
[12:23:03]	Cave Johnson used command '/Broadcast That DOES include civil science.'.
[12:23:13]	Cave Johnson used command '/Broadcast Alright, Cave Johnson, we're done here.'.
[12:23:30]	matt saton loaded the character 'Stephen Marliff'
[12:23:32]	[ME] CCA.C17-SCN.49412: photographs the 2 citizens, with a bright flash
[12:23:34]	Stephen Marliff entered observer.
[12:23:40]	Stephen Marliff exited observer at their location.
[12:23:59]	CCA.C17-SCN.49412 has gained 10 tokens.
[12:24:10]	Stephen Marliff used command '/ToggleRaise'.
[12:24:10]	Stephen Marliff entered observer.
[12:24:20]	Stephen Marliff exited observer at their location.
[12:24:24]	[OOC] Sandra Remez: q should like do my interview
[12:24:32]	[OOC] CCA.C17-SCN.49412: i have been banished
[12:24:46]	Madeline Wuntch loaded the character 'CCA.C17-GRID.i2.36307'
[12:26:52]	[OOC] Sandra Remez: god dammit q
[12:26:59]	[OOC] Sandra Remez: i just wanna do my science :-:
[12:27:05]	[ME] CCA.C17-UNION.SqL.72633: Begins tying the civvie (do you resist dumbo?)
[12:27:07]	[OOC] Sandra Remez: Why do you do this to me
[12:27:07]	[OOC] CCA.C17-GRID.i2.36307: you will be doing science
[12:27:27]	CCA.C17-UNION.SqL.72633 ran 'Use' on item 'Zip Tie' (#36192)
[12:27:28]	[ME] Sandra Remez: does not resist
[12:27:35]	CCA.C17-UNION.SqL.72633 used command '/CharSearch'.
[12:27:44]	CCA.C17-UNION.SqL.72633 has gained 10 tokens.
[12:28:30]	Stephen Marliff has gained 50 tokens.
[12:28:44]	[ME] CCA.C17-UNION.SqL.72633: Places a blind fold over her and begins dragging her by the shoulder.
[12:29:03]	Stephen Marliff entered observer.
[12:29:07]	Stephen Marliff exited observer at their location.
[12:29:13]	Stephen Marliff entered observer.
[12:29:31]	Mr. Chief has connected.
[12:29:46]	CCA.C17-GRID.i2.36307 has gained 10 tokens.
[12:30:09]	CCA.C17-GRID.i2.36307 ran 'View' on item 'Notepad' (#30841)
[12:30:25]	[ME] CCA.C17-UNION.SqL.72633: Leans her down onto the wall and takes off her Blindfold.
[12:30:35]	Stephen Marliff exited observer at their location.
[12:30:41]	CCA.C17-UNION.SqL.72633 used command '/Radio 10-91 has been placed in Enrichment room 3.'.
[12:31:09]	[ME] Stephen Marliff: puts his hands behind his back and looks at the woman.
[12:31:23]	[ME] Stephen Marliff: has eyes completely devoid of emotion, purely inspecting her as if she's as a sample.
[12:31:34]	Mr. Chief loaded the character 'CCA.C14-UNION.i2.60437'
[12:31:41]	[ME] Sandra Remez: gives a frown to the man
[12:31:51]	Mr. Chief loaded the character 'CAC.C17-BIOTIC.45914'
[12:32:44]	CCA.C17-UNION.SqL.72633 has gained 10 tokens.
[12:33:09]	matt saton loaded the character 'Cave Johnson'
[12:33:11]	Cave Johnson entered observer.
[12:33:18]	Cave Johnson exited observer at their location.
[12:33:19]	Mr. Chief loaded the character 'Klaus Ludwig'
[12:33:24]	Klaus Ludwig entered observer.
[12:33:27]	[ME] CCA.C17-UNION.SqL.72633: Stays silent while staring directly at her with his cold dead visors.
[12:33:32]	Cave Johnson has spawned 'models\props/cs_office/coffee_mug.mdl'.
[12:33:50]	[ME] Sandra Remez: begins to pray
[12:34:00]	Klaus Ludwig exited observer.
[12:34:00]	Klaus Ludwig entered observer.
[12:34:02]	Klaus Ludwig exited observer.
[12:34:03]	Cave Johnson has gained a 'Cup of Coffee' #36240.
[12:34:03]	Cave Johnson used command '/CreateCustomItem Cup of Coffee models/props/cs_office/coffee_mug.mdl A white mug of coffee reading 'Hardly Working''.
[12:34:05]	Sandra Remez used command '/CharDesc'.
[12:34:09]	Cave Johnson has gained a 'Cup of Coffee' #36241.
[12:34:09]	Cave Johnson used command '/CreateCustomItem Cup of Coffee models/props/cs_office/coffee_mug.mdl A white mug of coffee reading 'Hardly Working'.'.
[12:34:10]	Mr. Chief loaded the character 'CCA.C17-JUDGE.OfC.91412'
[12:34:20]	Cave Johnson has gained a 'Empty Antlion Grub Vial' #36242.
[12:34:20]	Cave Johnson used command '/CharGiveItem cave antlion grub'.
[12:34:26]	Cave Johnson used command '/adminspawnmenu'.
[12:34:38]	CCA.C17-GRID.i2.36307 used command '/Radio Unit is 10-7, status is green'.
[12:34:43]	CCA.C17-UNION.SqL.72633 used command '/Radio Copy'.
[12:34:44]	CCA.C17-JUDGE.OfC.91412 ran 'View' on item 'Notepad' (#30841)
[12:34:46]	CCA.C17-GRID.i2.36307 has gained 10 tokens.
[12:35:01]	Sandra Remez used command '/CharDesc (5'8) (114 LB) She was a normal city girl until the combine came she was a christian girl came to church everyday'.
[12:36:11]	[ME] Sandra Remez: looks at cafe johnson confused on why he is down here
[12:36:22]	[ME] Cave Johnson: comes through holding a cup of coffee, sipping on it casually.
[12:36:47]	Cave Johnson entered observer.
[12:36:52]	Cave Johnson exited observer at their location.
[12:36:53]	[ME] Sandra Remez: stares at the judge
[12:36:54]	Cave Johnson ran 'View' on item 'Notepad' (#33016)
[12:36:59]	[ME] CCA.C17-JUDGE.OfC.91412: taps on the glass like an aquarium
[12:37:07]	Cave Johnson ran 'View' on item 'Notepad' (#26574)
[12:37:11]	Cave Johnson ran 'View' on item 'Notepad' (#33194)
[12:37:23]	Cave Johnson ran 'View' on item 'Notepad' (#26574)
[12:37:36]	Sandra Remez has taken 5 damage from CCA.C17-JUDGE.OfC.91412.
[12:37:37]	Sandra Remez has taken 5 damage from CCA.C17-JUDGE.OfC.91412.
[12:37:38]	Sandra Remez has taken 5 damage from CCA.C17-JUDGE.OfC.91412.
[12:37:40]	CCA.C17-JUDGE.OfC.91412 used command '/ToggleRaise'.
[12:37:44]	CCA.C17-UNION.SqL.72633 has gained 10 tokens.
[12:38:09]	Cave Johnson has gained 50 tokens.
[12:39:10]	CCA.C17-JUDGE.OfC.91412 has gained 10 tokens.
[12:39:46]	CCA.C17-GRID.i2.36307 has gained 10 tokens.
[12:41:19]	Cave Johnson ran 'View' on item 'Notepad' (#26574)
[12:41:22]	Cave Johnson ran 'View' on item 'Notepad' (#31088)
[12:41:26]	Cave Johnson ran 'View' on item 'Notepad' (#33016)
[12:41:27]	Cave Johnson entered observer.
[12:41:44]	Cave Johnson ran 'View' on item 'Notepad' (#30842)
[12:41:52]	Cave Johnson exited observer at their location.
[12:41:53]	Cave Johnson entered observer.
[12:42:07]	Cave Johnson exited observer at their location.
[12:42:07]	Cave Johnson entered observer.
[12:42:07]	Cave Johnson exited observer at their location.
[12:42:08]	Cave Johnson entered observer.
[12:42:09]	Cave Johnson exited observer at their location.
[12:42:10]	Cave Johnson entered observer.
[12:42:10]	Cave Johnson exited observer at their location.
[12:42:11]	Cave Johnson entered observer.
[12:42:11]	Cave Johnson exited observer at their location.
[12:42:12]	Cave Johnson ran 'take' on item 'Notepad' (#30842)
[12:42:12]	Cave Johnson has gained a 'Notepad' #30842.
[12:42:16]	Cave Johnson entered observer.
[12:42:22]	Cave Johnson exited observer at their location.
[12:42:33]	Cave Johnson ran 'drop' on item 'Notepad' (#30842)
[12:42:33]	Cave Johnson has lost a 'Notepad' #30842.
[12:42:44]	CCA.C17-UNION.SqL.72633 has gained 10 tokens.
[12:42:58]	CCA.C17-UNION.SqL.72633 ran 'View' on item 'Notepad' (#30842)
[12:43:09]	Cave Johnson has gained 50 tokens.
[12:43:36]	[ME] CCA.C17-JUDGE.OfC.91412: reaches and withdraws a full metal gas can.
[12:43:38]	CCA.C17-JUDGE.OfC.91412 ran 'drop' on item 'Metal Gas Can' (#31114)
[12:43:38]	CCA.C17-JUDGE.OfC.91412 has lost a 'Metal Gas Can' #31114.
[12:43:46]	CCA.C17-JUDGE.OfC.91412 ran 'take' on item 'Metal Gas Can' (#31114)
[12:43:46]	CCA.C17-JUDGE.OfC.91412 has gained a 'Metal Gas Can' #31114.
[12:43:51]	[ME] CCA.C17-JUDGE.OfC.91412: sticks it into his boot
[12:43:53]	[W] Sandra Remez: Fuckin wizard.
[12:43:56]	CCA.C17-GRID.i2.36307 used command '/Radio Unit is 10-8'.
[12:43:59]	[LOOC] Cave Johnson: I'm sorry?*
[12:44:02]	CCA.C17-UNION.SqL.72633 used command '/Radio Copy'.
[12:44:10]	CCA.C17-JUDGE.OfC.91412 has gained 10 tokens.
[12:44:13]	CCA.C17-JUDGE.OfC.91412 ran 'View' on item 'Notepad' (#30842)
[12:44:25]	CCA.C17-JUDGE.OfC.91412 ran 'View' on item 'Notepad' (#30842)
[12:44:35]	Cave Johnson ran 'View' on item 'Notepad' (#30842)
[12:44:46]	CCA.C17-GRID.i2.36307 has gained 10 tokens.
[12:45:59]	CCA.C17-JUDGE.OfC.91412 ran 'View' on item 'Notepad' (#30842)
[12:46:14]	Cave Johnson has spawned 'models/props_lab/keypad.mdl'.
[12:46:18]	Cave Johnson entered observer.
[12:46:20]	Cave Johnson exited observer at their location.
[12:46:30]	CCA.C17-JUDGE.OfC.91412 entered observer.
[12:46:30]	CCA.C17-JUDGE.OfC.91412 exited observer.
[12:46:34]	[LOOC] Sandra Remez: and cave johnson is now a magican
[12:46:59]	[ME] Cave Johnson: presses some buttons below him.
[12:47:08]	[IT] Cave Johnson: You see black smoke coming out of the radiator.
[12:47:44]	CCA.C17-UNION.SqL.72633 has gained 10 tokens.
[12:47:48]	Cave Johnson entered observer.
[12:47:50]	[Y] CCA.C17-JUDGE.OfC.91412: <:: SCIENCE! ::>
[12:47:57]	Sandra Remez ran 'View' on item 'Notepad' (#30842)
[12:47:58]	Cave Johnson exited observer at their location.
[12:48:09]	Cave Johnson has gained 50 tokens.
[12:48:43]	[ME] Cave Johnson: continues hitting buttons, and the black smoke begins to take up a lot of the air.
[12:48:48]	[IT] Cave Johnson: About 40% black shit.
[12:48:56]	[IT] Cave Johnson: You begin to feel short of breath.
[12:48:58]	[ME] Sandra Remez: starts to graps for air
[12:49:10]	CCA.C17-JUDGE.OfC.91412 has gained 10 tokens.
[12:49:17]	[ME] Sandra Remez: breaths on glass making mark
[12:49:46]	CCA.C17-GRID.i2.36307 has gained 10 tokens.
[12:50:25]	[OOC] Cave Johnson: what's great is that cave johnson fucking hates russians and commies
[12:50:36]	[OOC] Cave Johnson: because cold war
[12:50:51]	[IT] Cave Johnson: The black smog is now taking up about half of the room.
[12:50:55]	[IT] Cave Johnson: You find it hard to breathe.
[12:51:29]	CCA.C17-JUDGE.OfC.91412 used command '/ru YOU SON OF A FUCKING BITCH ASS BIRD COCK TANK LOVING MOTHER OF GOD HATING LEECH'.
[12:52:00]	[IT] Cave Johnson: 75%.
[12:52:18]	CCA.C17-JUDGE.OfC.91412 used command '/CharGiveFlag sandr R'.
[12:52:37]	[IT] Cave Johnson: You are hardly able to breathe.
[12:52:39]	Sandra Remez used command '/ru you are crazy'.
[12:52:44]	CCA.C17-UNION.SqL.72633 has gained 10 tokens.
[12:52:51]	[IT] Cave Johnson: You can hardly choke out words.
[12:53:09]	Cave Johnson has gained 50 tokens.
[12:53:25]	[ME] Cave Johnson: enters a code to the keypad.
[12:53:34]	[IT] Cave Johnson: It says "Access Denied."
[12:53:56]	[ME] Cave Johnson: types in the same code.
[12:53:59]	[IT] Cave Johnson: Access denied.
[12:54:06]	[ME] Cave Johnson: What the hell?
[12:54:10]	CCA.C17-JUDGE.OfC.91412 has gained 10 tokens.
[12:54:22]	Cave Johnson used command '/Radio Phillip, what's the code for the radiator?'.
[12:54:30]	Cave Johnson used command '/Radio Yeah, that's what I thought.'.
[12:54:42]	Cave Johnson used command '/Radio //stephen*'.
[12:54:46]	CCA.C17-GRID.i2.36307 has gained 10 tokens.
[12:54:50]	Cave Johnson used command '/Radio No, it's not working.'.
[12:54:55]	[IT] Cave Johnson: 85% percent.
[12:55:04]	[IT] Cave Johnson: 95.
[12:55:08]	[IT] Cave Johnson: 100.
[12:55:16]	[ME] Sandra Remez: covers face with shirt
[12:55:23]	[ME] Sandra Remez: covers face with shirt
[12:55:33]	Cave Johnson used command '/Radio Well, I need a code, she's dying!'.
[12:55:41]	Cave Johnson used command '/Radio I know!'.
[12:56:06]	Sandra Remez has killed Sandra Remez.
[12:56:15]	[ME] Cave Johnson: frowns.
[12:56:24]	CCA.C17-GRID.i2.36307 used command '/Radio Cut the power to it?'.
[12:56:30]	Cave Johnson used command '/Radio She's already dead.'.
[12:56:40]	[OOC] Sandra Remez: can we please do science interviews now
[12:56:42]	[LOOC] Cave Johnson: ic it won't pen
[12:56:44]	[OOC] Sandra Remez: like for god sakes
[12:56:47]	[LOOC] Cave Johnson: don't do it
[12:56:54]	Cave Johnson used command '/Radio Grid, can I get a manual reset on this lock?'.
[12:57:33]	[LOOC] CCA.C17-GRID.i2.36307: is it b r o k e
[12:57:43]	[OOC] Sandra Remez: gordon freeman DIES in all dogs go to heaven 2
[12:57:43]	CCA.C17-JUDGE.OfC.91412 ran 'drop' on item 'A Set of Tools' (#31188)
[12:57:43]	CCA.C17-JUDGE.OfC.91412 has lost a 'A Set of Tools' #31188.
[12:57:44]	CCA.C17-UNION.SqL.72633 has gained 10 tokens.
[12:57:46]	CCA.C17-GRID.i2.36307 ran 'take' on item 'A Set of Tools' (#31188)
[12:57:46]	CCA.C17-GRID.i2.36307 has gained a 'A Set of Tools' #31188.
[12:57:46]	Cave Johnson used command '/PM grid use something electric to reset it forcefully'.
[12:57:48]	FB|| light ROOM loaded the character 'CCA.C17-QrM.98240'
[12:57:59]	Cave Johnson used command '/PM grid like some emp or fuckin thing i don't fucking know'.
[12:58:09]	Cave Johnson has gained 50 tokens.
[12:58:17]	CCA.C17-GRID.i2.36307 used command '/PM cave gonna fucking raid the medbay for a defibrilator'.
[12:58:19]	Cave Johnson used command '/PM grid ight'.
[12:58:35]	Cave Johnson entered observer.
[12:58:41]	Cave Johnson has spawned 'models/Humans/Group01/Female_02.mdl'.
[12:58:43]	Cave Johnson has spawned 'models/Humans/Group01/Female_01.mdl'.
[12:58:46]	Cave Johnson exited observer at their location.
[12:58:47]	Cave Johnson entered observer.
[12:58:49]	Cave Johnson exited observer at their location.
[12:59:08]	Cave Johnson ran 'drop' on item 'Empty Antlion Grub Vial' (#36242)
[12:59:08]	Cave Johnson has lost a 'Empty Antlion Grub Vial' #36242.
[12:59:10]	CCA.C17-JUDGE.OfC.91412 has gained 10 tokens.
[12:59:12]	CCA.C17-GRID.i2.36307 has spawned 'models/illusion/eftcontainers/defib.mdl'.
[12:59:19]	CCA.C17-JUDGE.OfC.91412 ran 'take' on item 'Empty Antlion Grub Vial' (#36242)
[12:59:19]	CCA.C17-JUDGE.OfC.91412 has gained a 'Empty Antlion Grub Vial' #36242.
[12:59:22]	CCA.C17-JUDGE.OfC.91412 ran 'drop' on item 'Empty Antlion Grub Vial' (#36242)
[12:59:22]	CCA.C17-JUDGE.OfC.91412 has lost a 'Empty Antlion Grub Vial' #36242.
[12:59:34]	Cave Johnson ran 'take' on item 'Empty Antlion Grub Vial' (#36242)
[12:59:34]	Cave Johnson has gained a 'Empty Antlion Grub Vial' #36242.
[12:59:39]	Cave Johnson ran 'drop' on item 'Cup of Coffee' (#36241)
[12:59:39]	Cave Johnson has lost a 'Cup of Coffee' #36241.
[12:59:46]	[ME] Cave Johnson: is still holding his cup of coffee.
[12:59:46]	CCA.C17-GRID.i2.36307 has gained 10 tokens.
[12:59:58]	Cave Johnson entered observer.
[12:59:59]	Cave Johnson exited observer at their location.
[13:00:01]	Cave Johnson entered observer.
[13:00:04]	Cave Johnson exited observer at their location.
[13:00:23]	Cave Johnson used command '/PM grid open up the inside of the lock fist'.
[13:00:24]	CCA.C17-JUDGE.OfC.91412 entered observer.
[13:00:29]	CCA.C17-JUDGE.OfC.91412 exited observer.
[13:00:30]	CCA.C17-JUDGE.OfC.91412 entered observer.
[13:00:31]	CCA.C17-JUDGE.OfC.91412 exited observer.
[13:00:32]	CCA.C17-JUDGE.OfC.91412 entered observer.
[13:00:34]	Cave Johnson used command '/PM grid it uses a rivet remover'.
[13:00:36]	CCA.C17-JUDGE.OfC.91412 exited observer.
[13:01:08]	Cave Johnson ran 'drop' on item 'Empty Antlion Grub Vial' (#36242)
[13:01:08]	Cave Johnson has lost a 'Empty Antlion Grub Vial' #36242.
[13:01:17]	Cave Johnson entered observer.
[13:01:20]	Cave Johnson exited observer at their location.
[13:01:20]	Cave Johnson entered observer.
[13:01:21]	Cave Johnson exited observer at their location.
[13:01:22]	Cave Johnson entered observer.
[13:01:22]	Cave Johnson exited observer at their location.
[13:01:23]	CCA.C17-QrM.98240 ran 'Equip' on item 'Combat Knife' (#35332)
[13:01:25]	CCA.C17-JUDGE.OfC.91412 entered observer.
[13:01:26]	CCA.C17-JUDGE.OfC.91412 exited observer.
[13:01:33]	Cave Johnson entered observer.
[13:01:34]	Cave Johnson exited observer at their location.
[13:01:35]	CCA.C17-JUDGE.OfC.91412 ran 'take' on item 'Empty Antlion Grub Vial' (#36242)
[13:01:35]	CCA.C17-JUDGE.OfC.91412 has gained a 'Empty Antlion Grub Vial' #36242.
[13:01:35]	[ME] CCA.C17-GRID.i2.36307: takes out a rivet remover from his tool kit, and tries to unrivet the casing to get inside the lock
