[09:50:01]	MLG Painevan has connected.
[19:54:06]	Eric Brown has spawned 'models/props_foliage/rock_coast02f.mdl'.
[19:54:08]	Eric Brown has spawned 'models/props_foliage/rock_coast02h.mdl'.
[19:54:10]	Eric Brown has spawned 'models/props_foliage/rock_forest01d.mdl'.
[19:54:12]	Eric Brown has spawned 'models/props_foliage/rock_forest02.mdl'.
[19:54:13]	Eric Brown has spawned 'models/props_foliage/rock_forest01.mdl'.
[19:54:25]	Eric Brown has spawned 'models/props_mining/pickaxe01_head.mdl'.
[19:54:27]	Eric Brown exited observer at their location.
[19:54:28]	Eric Brown has spawned 'models/props_mining/rock_caves01b.mdl'.
[19:54:30]	Eric Brown has spawned 'models/props_mining/stalactite_cluster02b.mdl'.
[19:54:36]	Eric Brown has spawned 'models/props_radiostation/radio_metaldoor01.mdl'.
[19:54:38]	Eric Brown has spawned 'models/props_radiostation/radio_metaldoor01c.mdl'.
[19:54:39]	Eric Brown has taken 10 damage from prop_physics.
[19:54:52]	Eric Brown entered observer.
[19:54:55]	Marc 'Watcher 1' Temple entered observer.
[19:55:05]	Leman Russ rolled 97 out of 100.
[19:55:05]	Leman Russ used command '/Roll'.
[19:55:09]	Marc 'Watcher 1' Temple used command '/adminspawnmenu'.
[19:55:17]	[ME] CCA.C14-UNION.i5.39867: points towards the souvenirs shop with his stunstick, before dropping his hand back down to his side again. "I haven't seen that shop open for ages."
[19:55:17]	Eric Brown has spawned a 'NPC [3200][monster_hound_eye]'.
[19:55:25]	Eric Brown has spawned a 'NPC [3200][monster_hound_eye]'.
[19:55:35]	CCA.C14-UNION.i5.39867 used command '/Radio Xenian.'.
[19:55:38]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[19:55:43]	Marc 'Watcher 1' Temple has spawned "Standard Grade Ration"
[19:55:49]	Leman Russ ran 'take' on item 'Standard Grade Ration' (#25654)
[19:55:49]	Leman Russ has gained a 'Standard Grade Ration' #25654.
[19:55:49]	[OOC] CCA.C14-UNION.i5.39867: i cant shoot lol
[19:55:50]	[IT] Marc 'Watcher 1' Temple: You find a entire ration. Congrats :)
[19:55:53]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[19:55:54]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[19:55:55]	[OOC] Eric Brown: wot
[19:56:02]	CCA.C14-UNION.i5.39867 ran 'use' on item '9mm Pistol Magazine' (#22387)
[19:56:02]	CCA.C14-UNION.i5.39867 ran 'use' on item '9mm Pistol Magazine' (#22388)
[19:56:03]	CCA.C14-UNION.i5.39867 ran 'use' on item '9mm Pistol Magazine' (#22407)
[19:56:04]	CCA.C14-UNION.i5.39867 ran 'use' on item '9mm Pistol Magazine' (#22408)
[19:56:05]	CCA.C14-UNION.i5.39867 ran 'use' on item '9mm Pistol Magazine' (#22343)
[19:56:06]	Eric Brown has spawned a 'NPC [3200][npc_chumtoad]'.
[19:56:07]	[ME] Leman Russ: SEARCHES THIS SCOTTISH DUMPSTAH
[19:56:07]	[OOC] CCA.C14-UNION.i5.39867: figured it out
[19:56:08]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[19:56:09]	Leman Russ rolled 78 out of 100.
[19:56:09]	Leman Russ used command '/Roll'.
[19:56:10]	CCA.C14-UNION.EpU.72633 used command '/Radio Reporting one Xenian. Amputated, beginning sweep for misscount'.
[19:56:10]	Marc 'Watcher 1' Temple used command '/adminspawnmenu'.
[19:56:20]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[19:56:22]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[19:56:26]	Marc 'Watcher 1' Temple has spawned "UU Brand Bread"
[19:56:31]	Leman Russ ran 'take' on item 'UU Brand Bread' (#25655)
[19:56:31]	Leman Russ has gained a 'UU Brand Bread' #25655.
[19:56:32]	[IT] Marc 'Watcher 1' Temple: You find some moldy bread.
[19:56:40]	Eric Brown has spawned 'models/props_wasteland/rockcliff_cluster03c.mdl'.
[19:56:42]	[ME] Leman Russ: searches the DUIM<PATH
[19:56:44]	Leman Russ rolled 53 out of 100.
[19:56:44]	Leman Russ used command '/Roll'.
[19:56:45]	Marc 'Watcher 1' Temple used command '/adminspawnmenu'.
[19:56:59]	Marc 'Watcher 1' Temple has spawned "Empty Cooking Oil Bottle"
[19:57:03]	Leman Russ ran 'take' on item 'Empty Cooking Oil Bottle' (#25656)
[19:57:03]	Leman Russ has gained a 'Empty Cooking Oil Bottle' #25656.
[19:57:06]	[IT] Marc 'Watcher 1' Temple: Congrats. Cooking oil bottle.
[19:57:39]	Eric Brown has spawned a 'NPC [3202][npc_chumtoad]'.
[19:57:41]	Eric Brown has spawned a 'NPC [3203][npc_chumtoad]'.
[19:57:52]	[LOOC] CCA.C14-UNION.i5.39867: frog
[19:57:56]	Marc 'Watcher 1' Temple ran 'View' on item 'Notepad' (#22612)
[19:57:57]	Eric Brown has spawned a 'Entity [3216][pfx8_03_alt]'.
[19:58:01]	Eric Brown has spawned a 'Entity [3230][pfx8_03_alt]'.
[19:58:05]	Marc 'Watcher 1' Temple ran 'View' on item 'Notepad' (#22612)
[19:58:06]	Eric Brown has spawned 'models/props_debris/barricade_short02a.mdl'.
[19:58:09]	Eric Brown has spawned 'models/props_debris/barricade_short01a.mdl'.
[19:58:12]	CCA.C14-UNION.i5.39867 used command '/Radio Reporting xenian portal at alleyways.'.
[19:58:15]	Eric Brown has spawned 'models/props_debris/barricade_tall03a.mdl'.
[19:58:24]	CCA.C14-UNION.i5.39867 used command '/Radio Seems to be frogs, though.'.
[19:58:35]	Marc 'Watcher 1' Temple exited observer at their location.
[19:58:36]	Eric Brown has spawned 'models/props_debris/barricade_tall03a.mdl'.
[19:58:37]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[19:58:47]	Ollie Garner (STEAM_0:1:52892973) has disconnected.
[19:58:50]	CCA.C14-UNION.i5.39867 used command '/Radio We're blocked in, dispatch keep an eye on our biosignals.'.
[19:59:00]	[ME] CCA.C14-UNION.i5.39867: grips his pistol, pulling it out of his holster slowly
[19:59:01]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[19:59:15]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[19:59:20]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[19:59:31]	[LOOC] CCA.C14-UNION.i5.39867: nice
[19:59:32]	[LOOC] CCA.C14-UNION.EpU.72633: bruh
[19:59:47]	[ME] CCA.C14-UNION.i5.39867: grips onto the fence, before trying to climb up
[19:59:48]	CCA.C14-UNION.i5.39867 rolled 33 out of 100.
[19:59:48]	CCA.C14-UNION.i5.39867 used command '/Roll'.
[19:59:54]	[OOC] CCA.C14-UNION.EpU.72633: You can't fuck us over that hard
[19:59:55]	[ME] CCA.C14-UNION.i5.39867: slips, falling onto the other side
[20:00:17]	[Y] CCA.C14-UNION.EpU.72633: <:: UNIT MOVE IT. ::>
[20:00:18]	Ollie Garner has connected.
[20:00:27]	[ME] CCA.C14-UNION.i5.39867: climbs onto the truck, before pulling himself over
[20:00:32]	[ME] CCA.C14-UNION.i5.39867: grunts
[20:01:50]	[OOC] Eric Brown: ratio
[20:01:53]	[OOC] CCA.C14-UNION.i5.39867: not iy
[20:01:55]	[OOC] CCA.C14-UNION.i5.39867: not it
[20:01:55]	[OOC] Eric Brown: repararlo
[20:01:57]	[OOC] CCA.C14-UNION.i5.39867: not iy
[20:01:58]	[OOC] CCA.C14-UNION.i5.39867: not it
[20:01:59]	[OOC] CCA.C14-UNION.i5.39867: not it
[20:02:11]	[LOOC] CCA.C14-UNION.i5.39867: YA
[20:02:13]	[OOC] CCA.C14-UNION.EpU.72633: Didn't Ollie join a moment ago? and wasn't he gonna get on civvie?
[20:02:18]	[OOC] Eric Brown: shush
[20:02:26]	[LOOC] CCA.C14-UNION.EpU.72633: I want to of course
[20:02:30]	CCA.C14-UNION.EpU.72633 rolled 74 out of 100.
[20:02:30]	CCA.C14-UNION.EpU.72633 used command '/Roll'.
[20:02:31]	CCA.C14-UNION.i5.39867 rolled 84 out of 100.
[20:02:31]	CCA.C14-UNION.i5.39867 used command '/Roll'.
[20:02:33]	[LOOC] CCA.C14-UNION.EpU.72633: Fuck
[20:02:40]	[LOOC] CCA.C14-UNION.EpU.72633: big rude
[20:02:40]	[LOOC] CCA.C14-UNION.i5.39867: /me salutes
[20:03:13]	CCA.C14-UNION.EpU.72633 used command '/Radio Unit going 10-7'.
[20:03:26]	CCA.C14-UNION.i5.39867 used command '/Radio U-398 continuing 10-50.'.
[20:03:33]	CCA.C14-UNION.i5.39867 used command '/Radio Checking for xenian threats.'.
[20:03:35]	FB|| light ROOM loaded the character 'Journey Robertson'
[20:03:36]	Eric Brown used command '/CharGiveItem eric "civil workers''.
[20:03:38]	Eric Brown has gained a 'Civil Workers' Union ID' #25657.
[20:03:38]	Eric Brown used command '/CharGiveItem eric civil workers''.
[20:03:40]	CCA.C14-UNION.i5.39867 used command '/Radio All I see is frogs for now, I think.'.
[20:03:42]	[OOC] Journey Robertson: brb for a moment
[20:03:52]	Ollie Garner loaded the character 'Morgan Beck'
[20:03:54]	Eric Brown exited observer at their location.
[20:03:56]	Morgan Beck entered observer.
[20:03:58]	[Y] Eric Brown: No!
[20:04:01]	[Y] Eric Brown: No hurt!
[20:04:01]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[20:04:05]	Morgan Beck exited observer at their location.
[20:04:29]	Morgan Beck ran 'Take' on item 'UU Brand Cigarette Pack' (#19064)
[20:04:29]	Morgan Beck has gained a 'UU Brand Cigarette' #25658.
[20:04:31]	Morgan Beck ran 'Eat' on item 'UU Brand Cigarette' (#25658)
[20:04:40]	[LOOC] Eric Brown: sorry please repeatr
[20:05:01]	Eric Brown used command '/ToggleRaise'.
[20:05:04]	Eric Brown used command '/ToggleRaise'.
[20:05:23]	Morgan Beck ran 'View' on item 'Notepad' (#18973)
[20:05:26]	[ME] Eric Brown: points toward STORM.
[20:05:29]	Morgan Beck used command '/adminspawnmenu'.
[20:05:30]	[OOC] Journey Robertson: Back gamers
[20:05:33]	[OOC] CCA.C14-UNION.i5.39867: k
[20:05:39]	CCA.C14-UNION.i5.39867 used command '/Radio Huge ass xenian'.
[20:05:42]	[Y] Eric Brown: NO HURT!
[20:05:42]	CCA.C14-UNION.i5.39867 used command '/Radio Outside of storm'.
[20:05:43]	[Y] Eric Brown: Run!
[20:05:47]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[20:05:54]	Eric Brown entered observer.
[20:05:55]	Eric Brown exited observer at their location.
[20:06:01]	Eric Brown entered observer.
[20:06:20]	Eric Brown exited observer at their location.
[20:06:23]	Eric Brown entered observer.
[20:06:24]	Eric Brown exited observer at their location.
[20:06:27]	Eric Brown entered observer.
[20:06:28]	Morgan Beck has spawned "Pan"
[20:06:28]	Eric Brown exited observer at their location.
[20:06:29]	Eric Brown entered observer.
[20:06:29]	Eric Brown exited observer at their location.
[20:06:30]	Eric Brown entered observer.
[20:06:32]	Morgan Beck ran 'take' on item 'Pan' (#25658)
[20:06:32]	Morgan Beck has gained a 'Pan' #25658.
[20:06:33]	Morgan Beck ran 'Equip' on item 'Pan' (#25658)
[20:06:38]	Morgan Beck ran 'EquipUn' on item 'Pan' (#25658)
[20:06:39]	Morgan Beck ran 'drop' on item 'Pan' (#25658)
[20:06:39]	Morgan Beck has lost a 'Pan' #25658.
[20:06:40]	Eric Brown exited observer at their location.
[20:06:56]	[Y] Eric Brown: No hurt!
[20:07:13]	[Y] Journey Robertson: I-I DON'T WISH TO HURT YOU....
[20:07:15]	Morgan Beck entered observer.
[20:07:16]	Morgan Beck exited observer at their location.
[20:07:21]	[Y] Eric Brown: You... claw?
[20:07:24]	Morgan Beck entered observer.
[20:07:45]	[Y] Journey Robertson: You really need to hide and talk before the Combine spot you.
[20:07:47]	Morgan Beck exited observer at their location.
[20:08:06]	[Y] Eric Brown: No, no Com byne!
[20:08:13]	[Y] Eric Brown: Claw hurt!
[20:08:26]	Eric Brown used command '/CharDesc'.
[20:08:47]	Eric Brown used command '/CharDesc 6'5" | Tan, Wrinkled Skin | 3 Large Red Eyes | Teal Armor | Spikes Lining Back'.
[20:08:55]	Eric Brown used command '/ToggleRaise'.
[20:08:56]	Eric Brown used command '/ToggleRaise'.
[20:09:01]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[20:09:08]	[Y] Eric Brown: CLAW! CLAW!
[20:09:31]	Eric Brown used command '/ToggleRaise'.
[20:09:32]	Eric Brown has taken 3 damage from npc_fastzombie_torso.
[20:09:48]	Morgan Beck opened the 'Industrial Fridge' #1725 container.
[20:09:55]	Morgan Beck closed the 'Industrial Fridge' #1725 container.
[20:09:57]	Morgan Beck used the 'Fridge' vendor.
[20:10:03]	Morgan Beck used the 'File Cabinet' vendor.
[20:10:16]	[ME] Eric Brown: positions his staff, holds it as if to charge it up, and then finally releases an orange bolt from it.
[20:10:18]	Eric Brown used command '/ToggleRaise'.
[20:10:27]	[LOOC] Journey Robertson: YEE
[20:10:31]	[ME] CCA.C14-UNION.i5.39867: looks around, thinking for a moment, before turning his head to the broom propped up against the desk. The unit then grips it, and places it onto the desk.
[20:10:42]	[ME] CCA.C14-UNION.i5.39867: points with his stunstick
[20:11:02]	Eric Brown used command '/ToggleRaise'.
[20:11:37]	[ME] Leman Russ: takes the broom and holds it properly.
[20:11:44]	Morgan Beck opened the '' #1717 container.
[20:11:46]	Morgan Beck closed the '' #1717 container.
[20:11:50]	Morgan Beck ran 'Read' on item 'The Black Cat' (#21894)
[20:12:09]	Morgan Beck opened the '' #1717 container.
[20:12:10]	Morgan Beck closed the '' #1717 container.
[20:12:14]	Eric Brown used command '/PM union big weird alien spotted at minimal grade apartments'.
[20:12:19]	Eric Brown used command '/ToggleRaise'.
[20:12:45]	CCA.C14-UNION.i5.39867 used command '/PM eric not my jurisdiction to handle that though'.
[20:12:59]	Eric Brown used command '/PM i5 it is to investigate'.
[20:13:05]	Eric Brown used command '/PM i5 high value'.
[20:13:13]	[ME] Leman Russ: begins to sweep from side-to-side, collecting dust n shit.
[20:13:54]	CCA.C14-UNION.i5.39867 used command '/PM eric whats a minimum grade apartment'.
[20:14:01]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[20:14:05]	CCA.C14-UNION.i5.39867 used command '/PM eric i straight up read that as minimal grade rations and went to the train station'.
[20:14:07]	Eric Brown used command '/PM union the shitty ones by the creepy radio'.
[20:14:29]	[Y] Morgan Beck: Anyone here?
[20:14:34]	CCA.C14-UNION.i5.39867 used command '/Radio Moving into alleyways to investigate disturbance, dispatch. Keep an eye on my biosignal.'.
[20:14:42]	CCA.C14-UNION.i5.39867 used command '/Radio Please.'.
[20:14:43]	[Y] Morgan Beck: I need a restock on some crap for my resturaunt.
[20:15:02]	[LOOC] Journey Robertson: You are terrifying
[20:15:07]	[LOOC] Eric Brown: good
[20:15:20]	Morgan Beck entered observer.
[20:15:31]	Morgan Beck exited observer at their location.
[20:15:47]	CCA.C14-UNION.i5.39867 used command '/Radio Uhh, minimal looks clear to me.'.
[20:15:55]	CCA.C14-UNION.i5.39867 used command '/Radio Hear a few frogs, that's it.'.
[20:16:17]	CCA.C14-UNION.i5.39867 used command '/Radio Functionary U-398 is returning to post.'.
[20:16:23]	Morgan Beck ran 'drop' on item 'Antlion Grub Nugget' (#21994)
[20:16:23]	Morgan Beck has lost a 'Antlion Grub Nugget' #21994.
[20:16:26]	CCA.C14-UNION.i5.39867 used command '/Radio Will report in any further disturbances.'.
[20:17:08]	Morgan Beck ran 'take' on item 'Antlion Grub Nugget' (#21994)
[20:17:08]	Morgan Beck has gained a 'Antlion Grub Nugget' #21994.
[20:17:16]	[LOOC] Eric Brown: half of this say out loud and you'll et what he's saying if you don't already get it
[20:17:24]	Morgan Beck entered observer.
[20:17:32]	[LOOC] Journey Robertson: I know you cuck
[20:17:41]	Morgan Beck opened the '' #1897 container.
[20:17:43]	Morgan Beck closed the '' #1897 container.
[20:17:44]	Morgan Beck opened the '' #1896 container.
[20:17:50]	Morgan Beck closed the '' #1896 container.
[20:17:56]	Morgan Beck exited observer at their location.
[20:17:57]	Morgan Beck entered observer.
[20:17:59]	Morgan Beck exited observer at their location.
[20:18:00]	[ME] Leman Russ: hands him the broom.
[20:18:04]	Leman Russ used command '/Apply'.
[20:18:14]	Morgan Beck ran 'take' on item 'Pan' (#25658)
[20:18:15]	Morgan Beck has gained a 'Pan' #25658.
[20:18:15]	[ME] CCA.C14-UNION.i5.39867: grips the broom, propping it back up where he found it.
[20:18:25]	[ME] CCA.C14-UNION.i5.39867: taps onto his PDA
[20:18:36]	CCA.C14-UNION.i5.39867 used command '/OldViewData leman'.
[20:18:46]	[ME] Journey Robertson: Simple steps back a little to the wall.
[20:19:01]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[20:19:36]	[OOC] CCA.C14-UNION.i5.39867: dude remove date and tiem from workdesk format
[20:19:48]	[OOC] CCA.C14-UNION.i5.39867: im not in the same timezone as most ppl
[20:19:58]	[OOC] CCA.C14-UNION.i5.39867: and i write my date differently than americans and some europeans
[20:20:00]	[OOC] CCA.C14-UNION.i5.39867: its confusing af
[20:20:07]	Morgan Beck ran 'drop' on item 'Pan' (#25658)
[20:20:07]	Morgan Beck has lost a 'Pan' #25658.
[20:20:13]	[LOOC] Eric Brown: Fam ill lee*&
[20:20:29]	[ME] Morgan Beck: turns on the sink, while pulling out a pan from one of his suitcases and setting it on the oven.
[20:21:04]	[ME] Morgan Beck: soon sets the pan in the room temp water, and begen to scrub it. Albeit he... had to use his hands. Didn't exactly have a scrub thing.
[20:21:15]	[LOOC] CCA.C14-UNION.i5.39867: did you speak i didnt hear you
[20:21:17]	Morgan Beck rolled 99 out of 100.
[20:21:17]	Morgan Beck used command '/Roll'.
[20:21:21]	Eric Brown entered observer.
[20:21:21]	Eric Brown exited observer at their location.
[20:21:30]	[IT] Morgan Beck: The pan was fucking clean as shit. Still some stains, but HOT DAMN
[20:21:42]	[ME] Morgan Beck: turns off the sink, setting the pan on his oven to let it dry.
[20:22:36]	Morgan Beck ran 'take' on item 'Pan' (#25658)
[20:22:36]	Morgan Beck has gained a 'Pan' #25658.
[20:22:38]	[LOOC] Journey Robertson: Brb ;-;
[20:22:40]	[LOOC] Journey Robertson: sorry
[20:22:43]	[LOOC] Eric Brown: you're good
[20:22:44]	Eric Brown entered observer.
[20:23:00]	Morgan Beck entered observer.
[20:23:01]	Eric Brown exited observer at their location.
[20:23:09]	CCA.C14-UNION.i5.39867 used command '/OldViewData leman'.
[20:23:12]	Morgan Beck exited observer at their location.
[20:23:25]	[LOOC] Journey Robertson: back, the dog seems to not want to go inside.
[20:23:26]	Morgan Beck entered observer.
[20:23:30]	Morgan Beck exited observer at their location.
[20:23:31]	[LOOC] Eric Brown: hell
[20:23:32]	[LOOC] Journey Robertson: truly a fucked moment
[20:24:01]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[20:24:20]	Eric Brown used command '/ToggleRaise'.
[20:24:42]	Morgan Beck entered observer.
[20:24:43]	Morgan Beck exited observer at their location.
[20:25:11]	Morgan Beck used the 'Fridge' vendor.
[20:25:53]	Morgan Beck entered observer.
[20:26:18]	[LOOC] Eric Brown: i sound like fucking doge
[20:26:57]	Morgan Beck exited observer at their location.
[20:27:02]	[LOOC] Journey Robertson: truly
[20:27:17]	Morgan Beck entered observer.
[20:27:17]	Morgan Beck exited observer at their location.
[20:27:35]	Morgan Beck ran 'View' on item 'Notepad' (#18973)
[20:28:26]	[ME] CCA.C14-UNION.i5.39867: takes a look at the notepads
[20:28:28]	CCA.C14-UNION.i5.39867 ran 'View' on item 'Notepad' (#18974)
[20:28:31]	CCA.C14-UNION.i5.39867 ran 'View' on item 'Notepad' (#18973)
[20:28:32]	[LOOC] Journey Robertson: ?*
[20:28:44]	[LOOC] CCA.C14-UNION.i5.39867: ?
[20:28:47]	[LOOC] CCA.C14-UNION.i5.39867: ?*
[20:28:51]	Morgan Beck used the 'Fridge' vendor.
[20:29:01]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[20:29:06]	CCA.C14-UNION.i5.39867 ran 'View' on item 'Notepad' (#18973)
[20:29:24]	Morgan Beck used the 'Fridge' vendor.
[20:29:27]	Morgan Beck has gained 0 tokens.
[20:29:27]	Morgan Beck has gained a 'UU Brand Chocolate' #25659.
[20:29:29]	[LOOC] Eric Brown: help.*
[20:29:35]	[ME] Eric Brown: holds the staff out to the citizen?
[20:29:40]	Morgan Beck ran 'drop' on item 'UU Brand Chocolate' (#25659)
[20:29:40]	Morgan Beck has lost a 'UU Brand Chocolate' #25659.
[20:29:57]	Eric Brown entered observer.
[20:29:57]	Eric Brown exited observer at their location.
[20:29:58]	Morgan Beck used the 'Fridge' vendor.
[20:30:01]	Morgan Beck has gained 0 tokens.
[20:30:01]	Morgan Beck has gained a 'UU Brand Chocolate' #25660.
[20:30:07]	Morgan Beck ran 'drop' on item 'UU Brand Chocolate' (#25660)
[20:30:07]	Morgan Beck has lost a 'UU Brand Chocolate' #25660.
[20:30:11]	CCA.C14-UNION.i5.39867 ran 'View' on item 'Notepad' (#18973)
[20:30:26]	[ME] CCA.C14-UNION.i5.39867: digs into his pocket, pulling out a handfull of tokens, before placing them onto the counter.
[20:30:27]	[LOOC] Journey Robertson: I can't understand it ;-;
[20:30:29]	CCA.C14-UNION.i5.39867 has lost 23 tokens.
[20:30:29]	CCA.C14-UNION.i5.39867 used command '/DropTokens 23'.
[20:30:31]	[LOOC] Eric Brown: good
[20:30:33]	Morgan Beck has gained 23 tokens.
[20:30:36]	[LOOC] Journey Robertson: truly a fucked moment
[20:30:46]	[ME] CCA.C14-UNION.i5.39867: swipes the chocolate bars off of the counter
[20:30:47]	Eric Brown used command '/ToggleRaise'.
[20:30:48]	Eric Brown used command '/ToggleRaise'.
[20:30:48]	CCA.C14-UNION.i5.39867 ran 'take' on item 'UU Brand Chocolate' (#25660)
[20:30:48]	CCA.C14-UNION.i5.39867 has gained a 'UU Brand Chocolate' #25660.
[20:30:51]	CCA.C14-UNION.i5.39867 ran 'take' on item 'UU Brand Chocolate' (#25659)
[20:30:51]	CCA.C14-UNION.i5.39867 has gained a 'UU Brand Chocolate' #25659.
[20:30:57]	[LOOC] Eric Brown: hold on you need a better light
[20:31:03]	[LOOC] Eric Brown: why is it very dark
[20:31:07]	[LOOC] Journey Robertson: Lmao
[20:31:11]	[LOOC] Journey Robertson: just /it it
[20:31:15]	[ME] CCA.C14-UNION.i5.39867: waves goodbye, before heading out the door
[20:31:16]	Eric Brown used command '/ToggleRaise'.
[20:31:17]	Eric Brown used command '/ToggleRaise'.
[20:31:24]	[LOOC] Eric Brown: wow you can't see it down here
[20:31:24]	[W] Morgan Beck: The fuck did I just say?
[20:31:28]	Morgan Beck entered observer.
[20:31:35]	Morgan Beck exited observer at their location.
[20:31:37]	[IT] Eric Brown: At the end of the staff, you see an orange crystal at the very top.
[20:32:23]	[LOOC] Journey Robertson: Father gregori but he's just oragne
[20:32:27]	[LOOC] Journey Robertson: orange*
[20:32:32]	[LOOC] Eric Brown: but he's trans doe
[20:32:40]	[LOOC] Eric Brown: mother grigori but she's orange
[20:32:45]	[LOOC] Journey Robertson: I just got that in my head and now i want to die
[20:32:45]	Morgan Beck entered observer.
[20:32:55]	[LOOC] Journey Robertson: MOVEING ON
[20:33:00]	CCA.C14-UNION.i5.39867 used command '/Radio Heading towards minimal apartments for 10-50, keep an eye on my biosignal.'.
[20:33:03]	CCA.C14-UNION.i5.39867 used command '/Radio Shady area up ahead.'.
[20:33:09]	[LOOC] Eric Brown: yes moving on
[20:33:16]	Eric Brown used command '/ToggleRaise'.
[20:33:30]	Leman Russ ran 'View' on item 'Paper' (#25060)
[20:33:33]	CCA.C14-UNION.i5.39867 ran 'View' on item 'Paper' (#25060)
[20:33:46]	Leman Russ ran 'View' on item 'Paper' (#25060)
[20:33:47]	[ME] CCA.C14-UNION.i5.39867: takes the paper, squinting under his mask
[20:33:49]	[ME] CCA.C14-UNION.i5.39867: reads it
[20:33:50]	CCA.C14-UNION.i5.39867 ran 'View' on item 'Paper' (#25060)
[20:33:51]	Leman Russ ran 'View' on item 'Paper' (#25060)
[20:33:52]	Morgan Beck exited observer at their location.
[20:34:01]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[20:34:11]	[OOC] Journey Robertson: Cum toads are kinda fucked not gonna lie
[20:34:16]	[OOC] Morgan Beck: no
[20:34:18]	Eric Brown entered observer.
[20:34:19]	Eric Brown exited observer at their location.
[20:34:25]	[OOC] Morgan Beck: please not the cum toads
[20:34:26]	[OOC] Journey Robertson: Also anything to give me a shooting target is cool with me
[20:34:29]	[ME] Eric Brown: would proceed to tie the individual. Would they resist?
[20:34:31]	[LOOC] Eric Brown: void
[20:34:33]	[LOOC] Journey Robertson: Hm
[20:34:34]	Eric Brown used command '/ToggleRaise'.
[20:34:36]	[LOOC] Journey Robertson: no
[20:34:37]	Eric Brown used command '/ToggleRaise'.
[20:34:39]	Eric Brown used command '/ToggleRaise'.
[20:34:40]	Eric Brown used command '/ToggleRaise'.
[20:34:43]	[OOC] Morgan Beck: i have a pan and will smack-eth the shit out of you
[20:34:47]	Eric Brown used command '/ToggleRaise'.
[20:34:49]	[OOC] Journey Robertson: No u
[20:34:52]	[OOC] Morgan Beck: fuck
[20:34:55]	[LOOC] Journey Robertson: Just type it out you fuck
[20:34:58]	Eric Brown used command '/ToggleRaise'.
[20:35:02]	Eric Brown used command '/ToggleRaise'.
[20:35:04]	[LOOC] Journey Robertson: lmao
[20:35:05]	Eric Brown used command '/ToggleRaise'.
[20:35:08]	Eric Brown has spawned a 'NPC [3204][npc_headcrab]'.
[20:35:09]	Eric Brown has taken 5 damage from npc_headcrab.
[20:35:16]	Morgan Beck entered observer.
[20:35:17]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[20:35:18]	CCA.C14-UNION.i5.39867 destroyed a 'Paper' #25060.
[20:35:19]	Morgan Beck exited observer at their location.
[20:35:19]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[20:35:21]	Eric Brown has spawned a 'NPC [1329][npc_headcrab]'.
[20:35:25]	Morgan Beck entered observer.
[20:35:25]	Morgan Beck exited observer at their location.
[20:35:27]	Eric Brown used command '/ToggleRaise'.
[20:35:28]	Morgan Beck entered observer.
[20:35:42]	Morgan Beck exited observer at their location.
[20:35:50]	[LOOC] Eric Brown: you didn't see the headcrab
[20:35:55]	[LOOC] Journey Robertson: Fuck you
[20:35:58]	[ME] CCA.C14-UNION.i5.39867: jumps up and grips onto the fence with both of his hands, before pulling himself over it/.
[20:36:01]	[LOOC] Journey Robertson: jk love you no homo
[20:36:09]	[LOOC] CCA.C14-UNION.i5.39867: bruh
[20:36:11]	[LOOC] Eric Brown: how it 
[20:36:11]	Morgan Beck entered observer.
[20:36:12]	CCA.C14-UNION.i5.39867 has spawned 'models/props_c17/oildrum001.mdl'.
[20:36:14]	[LOOC] Eric Brown: yknow
[20:36:17]	[LOOC] Eric Brown: vaporized
[20:36:21]	[LOOC] Journey Robertson: I know
[20:36:46]	[LOOC] CCA.C14-UNION.i5.39867: it works this side
[20:36:49]	[LOOC] CCA.C14-UNION.i5.39867: not the other side
[20:37:02]	[ME] CCA.C14-UNION.i5.39867: climbs onto the truck, unclipping the combat knife from his belt
[20:37:10]	[ME] CCA.C14-UNION.i5.39867: cuts into the chumtoad
[20:37:10]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[20:37:14]	CCA.C14-UNION.i5.39867 used command '/ToggleRaise'.
[20:37:19]	[ME] CCA.C14-UNION.i5.39867: steps down, before moving over here
