[13:11:06]	Bean has connected.
[13:52:52]	Alex Palovichov has lost a 'Scrap Metal' #21399.
[13:52:52]	Alex Palovichov has gained a 'Reclaimed Metal' #21417.
[13:52:53]	Alex Palovichov has lost a 'Reclaimed Metal' #21416.
[13:52:53]	Alex Palovichov has lost a 'Reclaimed Metal' #21401.
[13:52:53]	Alex Palovichov has lost a 'Reclaimed Metal' #21417.
[13:52:53]	Alex Palovichov has gained a 'Refined Metal' #21401.
[13:52:59]	Alex Palovichov used the 'Yield Turn-In' vendor.
[13:53:01]	Alex Palovichov has gained 3 tokens.
[13:53:01]	Alex Palovichov has gained 3 tokens.
[13:53:06]	Alex Palovichov ran 'drop' on item 'Reclaimed Metal' (#21400)
[13:53:06]	Alex Palovichov has lost a 'Reclaimed Metal' #21400.
[13:53:11]	Alex Palovichov used the 'Cycle Supply' vendor.
[13:53:12]	Alex Palovichov has gained 0 tokens.
[13:53:12]	Alex Palovichov has gained a 'Scrap Electronics' #21401.
[13:53:13]	Alex Palovichov has gained 0 tokens.
[13:53:13]	Alex Palovichov has gained a 'Scrap Electronics' #21402.
[13:53:13]	Alex Palovichov has gained 0 tokens.
[13:53:13]	Alex Palovichov has gained a 'Scrap Electronics' #21403.
[13:53:14]	Alex Palovichov has gained 0 tokens.
[13:53:14]	Alex Palovichov has gained a 'Scrap Electronics' #21404.
[13:53:14]	Alex Palovichov has gained 0 tokens.
[13:53:14]	Alex Palovichov has gained a 'Scrap Electronics' #21405.
[13:53:15]	Alex Palovichov has gained 0 tokens.
[13:53:15]	Alex Palovichov has gained a 'Scrap Electronics' #21406.
[13:53:15]	Alex Palovichov has gained 0 tokens.
[13:53:15]	Alex Palovichov has gained a 'Scrap Electronics' #21407.
[13:53:16]	Alex Palovichov has gained 0 tokens.
[13:53:16]	Alex Palovichov has gained a 'Scrap Electronics' #21408.
[13:53:17]	Alex Palovichov has gained 0 tokens.
[13:53:17]	Alex Palovichov has gained a 'Scrap Electronics' #21409.
[13:53:19]	Alex Palovichov used the 'Cycle Supply' vendor.
[13:53:20]	Alex Palovichov has gained 0 tokens.
[13:53:20]	Alex Palovichov has gained a 'Scrap Electronics' #21410.
[13:53:21]	Alex Palovichov has gained 0 tokens.
[13:53:21]	Alex Palovichov has gained a 'Scrap Electronics' #21411.
[13:53:21]	Alex Palovichov has gained 0 tokens.
[13:53:21]	Alex Palovichov has gained a 'Scrap Electronics' #21412.
[13:53:29]	Alex Palovichov has lost a 'Scrap Electronics' #21408.
[13:53:29]	Alex Palovichov has lost a 'Scrap Electronics' #21405.
[13:53:29]	Alex Palovichov has lost a 'Scrap Electronics' #21402.
[13:53:29]	Alex Palovichov has gained a 'Refined Electronics' #21413.
[13:53:29]	Alex Palovichov has lost a 'Scrap Electronics' #21412.
[13:53:29]	Alex Palovichov has lost a 'Scrap Electronics' #21401.
[13:53:29]	Alex Palovichov has lost a 'Scrap Electronics' #21409.
[13:53:29]	Alex Palovichov has gained a 'Refined Electronics' #21414.
[13:53:42]	Alex Palovichov ran 'drop' on item 'Scrap Electronics' (#21404)
[13:53:42]	Alex Palovichov has lost a 'Scrap Electronics' #21404.
[13:53:48]	Alex Palovichov used the 'Yield Turn-In' vendor.
[13:53:49]	Alex Palovichov has gained 1 token.
[13:53:50]	Alex Palovichov has gained 1 token.
[13:53:59]	Alex Palovichov ran 'drop' on item 'Scrap Electronics' (#21407)
[13:53:59]	Alex Palovichov has lost a 'Scrap Electronics' #21407.
[13:54:21]	Alex Palovichov ran 'drop' on item 'Scrap Electronics' (#21411)
[13:54:21]	Alex Palovichov has lost a 'Scrap Electronics' #21411.
[13:54:22]	PFC Emily Brown used command '/ToggleRaise'.
[13:54:26]	PFC Emily Brown used command '/ToggleRaise'.
[13:54:29]	Alex Palovichov ran 'drop' on item 'Scrap Electronics' (#21410)
[13:54:29]	Alex Palovichov has lost a 'Scrap Electronics' #21410.
[13:54:37]	Alex Palovichov ran 'drop' on item 'Scrap Electronics' (#21403)
[13:54:37]	Alex Palovichov has lost a 'Scrap Electronics' #21403.
[13:54:40]	Alex Palovichov ran 'drop' on item 'Scrap Electronics' (#21406)
[13:54:40]	Alex Palovichov has lost a 'Scrap Electronics' #21406.
[13:54:54]	Alex Palovichov ran 'drop' on item 'Suitcase' (#21316)
[13:54:54]	Alex Palovichov has lost a 'Suitcase' #21316.
[13:54:54]	Alex Palovichov has lost a 'Scrap Electronics' #21412.
[13:54:54]	Alex Palovichov has lost a 'Scrap Electronics' #21409.
[13:54:54]	Garlic Slut (STEAM_0:0:38537787) has disconnected.
[13:54:58]	Alex Palovichov ran 'take' on item 'Suitcase' (#21316)
[13:54:58]	Alex Palovichov has gained a 'Suitcase' #21316.
[13:54:58]	Alex Palovichov has gained a 'Scrap Electronics' #21412.
[13:54:58]	Alex Palovichov has gained a 'Scrap Electronics' #21409.
[13:55:48]	Alex Palovichov used the 'Shady Salesman' vendor.
[13:56:10]	Alex Palovichov has lost 7 tokens.
[13:56:10]	Alex Palovichov has gained a 'CCA Filter' #21412.
[13:56:12]	Alex Palovichov has lost 45 tokens.
[13:56:12]	Alex Palovichov has gained a 'Combine Worker Suit' #21413.
[13:56:18]	Alex Palovichov ran 'Equip' on item 'Combine Worker Suit' (#21413)
[13:56:24]	Alex Palovichov ran 'EquipUn' on item 'Green Citizen Suit' (#21318)
[13:56:24]	Alex Palovichov ran 'Equip' on item 'Combine Worker Suit' (#21413)
[13:56:26]	Alex Palovichov ran 'Equip' on item 'Combine Worker Suit' (#21413)
[13:56:27]	Alex Palovichov ran 'Equip' on item 'Combine Worker Suit' (#21413)
[13:56:29]	Alex Palovichov ran 'Equip' on item 'Combine Worker Suit' (#21413)
[13:56:32]	Alex Palovichov ran 'Equip' on item 'Green Citizen Suit' (#21318)
[13:56:38]	Alex Palovichov has taken 1 damage from worldspawn.
[13:56:39]	Alex Palovichov has taken 1 damage from worldspawn.
[13:56:39]	Alex Palovichov has taken 1 damage from worldspawn.
[13:56:40]	Alex Palovichov has taken 1 damage from worldspawn.
[13:56:40]	Alex Palovichov ran 'Equip' on item 'Green Citizen Suit' (#21318)
[13:56:41]	Alex Palovichov has taken 1 damage from worldspawn.
[13:56:41]	Alex Palovichov ran 'Equip' on item 'Green Citizen Suit' (#21318)
[13:56:42]	Alex Palovichov has taken 1 damage from worldspawn.
[13:56:42]	Alex Palovichov has taken 1 damage from worldspawn.
[13:56:43]	Alex Palovichov has taken 1 damage from worldspawn.
[13:56:44]	Alex Palovichov has taken 1 damage from worldspawn.
[13:56:45]	Alex Palovichov has taken 1 damage from worldspawn.
[13:56:45]	Alex Palovichov has taken 1 damage from worldspawn.
[13:56:46]	Alex Palovichov has taken 1 damage from worldspawn.
[13:56:47]	Alex Palovichov ran 'Equip' on item 'Green Citizen Suit' (#21318)
[13:56:47]	Alex Palovichov has taken 1 damage from worldspawn.
[13:56:48]	Alex Palovichov ran 'Equip' on item 'Green Citizen Suit' (#21318)
[13:56:48]	Alex Palovichov has taken 1 damage from worldspawn.
[13:56:48]	Alex Palovichov ran 'drop' on item 'Combine Worker Suit' (#21413)
[13:56:48]	Alex Palovichov has lost a 'Combine Worker Suit' #21413.
[13:56:48]	Alex Palovichov has taken 1 damage from worldspawn.
[13:56:49]	Alex Palovichov ran 'Equip' on item 'Green Citizen Suit' (#21318)
[13:56:49]	Alex Palovichov has taken 1 damage from worldspawn.
[13:56:50]	Alex Palovichov ran 'Equip' on item 'Green Citizen Suit' (#21318)
[13:56:50]	Alex Palovichov has taken 1 damage from worldspawn.
[13:56:51]	Alex Palovichov has taken 1 damage from worldspawn.
[13:56:51]	Alex Palovichov ran 'Equip' on item 'Green Citizen Suit' (#21318)
[13:56:52]	Alex Palovichov has taken 1 damage from worldspawn.
[13:56:52]	Alex Palovichov ran 'drop' on item 'Green Citizen Suit' (#21318)
[13:56:52]	Alex Palovichov has lost a 'Green Citizen Suit' #21318.
[13:56:52]	Alex Palovichov has taken 1 damage from worldspawn.
[13:56:53]	Alex Palovichov has taken 1 damage from worldspawn.
[13:56:53]	Alex Palovichov ran 'take' on item 'Green Citizen Suit' (#21318)
[13:56:53]	Alex Palovichov has gained a 'Green Citizen Suit' #21318.
[13:56:54]	Alex Palovichov has taken 1 damage from worldspawn.
[13:56:55]	Alex Palovichov has taken 1 damage from worldspawn.
[13:56:55]	Alex Palovichov ran 'Equip' on item 'Green Citizen Suit' (#21318)
[13:56:55]	Alex Palovichov has taken 1 damage from worldspawn.
[13:56:56]	Alex Palovichov ran 'take' on item 'Combine Worker Suit' (#21413)
[13:56:56]	Alex Palovichov has gained a 'Combine Worker Suit' #21413.
[13:56:56]	Alex Palovichov has taken 1 damage from worldspawn.
[13:56:57]	Alex Palovichov has taken 1 damage from worldspawn.
[13:56:58]	Alex Palovichov has taken 1 damage from worldspawn.
[13:56:58]	Alex Palovichov has taken 1 damage from worldspawn.
[13:56:59]	Alex Palovichov has taken 1 damage from worldspawn.
[13:57:00]	Alex Palovichov has taken 1 damage from worldspawn.
[13:57:01]	Alex Palovichov has taken 1 damage from worldspawn.
[13:57:01]	Alex Palovichov has taken 1 damage from worldspawn.
[13:57:02]	Alex Palovichov has taken 1 damage from worldspawn.
[13:57:02]	Alex Palovichov ran 'Equip' on item 'Green Citizen Suit' (#21318)
[13:57:03]	Alex Palovichov ran 'Equip' on item 'Combine Worker Suit' (#21413)
[13:57:03]	Alex Palovichov has taken 1 damage from worldspawn.
[13:57:03]	Alex Palovichov ran 'drop' on item 'CCA Filter' (#21412)
[13:57:03]	Alex Palovichov has lost a 'CCA Filter' #21412.
[13:57:04]	Alex Palovichov has taken 1 damage from worldspawn.
[13:57:04]	Alex Palovichov ran 'Equip' on item 'Green Citizen Suit' (#21318)
[13:57:04]	Alex Palovichov has taken 1 damage from worldspawn.
[13:57:05]	Alex Palovichov has taken 1 damage from worldspawn.
[13:57:06]	Alex Palovichov has taken 1 damage from worldspawn.
[13:57:07]	Alex Palovichov ran 'take' on item 'CCA Filter' (#21412)
[13:57:07]	Alex Palovichov has gained a 'CCA Filter' #21412.
[13:57:07]	Alex Palovichov has taken 1 damage from worldspawn.
[13:57:07]	Alex Palovichov has taken 1 damage from worldspawn.
[13:57:08]	Alex Palovichov has taken 1 damage from worldspawn.
[13:57:09]	Alex Palovichov has taken 1 damage from worldspawn.
[13:57:10]	Alex Palovichov has taken 1 damage from worldspawn.
[13:57:10]	Alex Palovichov has taken 1 damage from worldspawn.
[13:57:11]	Alex Palovichov has taken 1 damage from worldspawn.
[13:57:12]	Alex Palovichov has taken 1 damage from worldspawn.
[13:57:13]	Alex Palovichov has taken 1 damage from worldspawn.
[13:57:13]	Alex Palovichov has taken 1 damage from worldspawn.
[13:57:14]	Alex Palovichov has taken 1 damage from worldspawn.
[13:57:15]	Alex Palovichov has taken 1 damage from worldspawn.
[13:57:16]	Alex Palovichov has taken 1 damage from worldspawn.
[13:57:17]	Alex Palovichov has taken 1 damage from worldspawn.
[13:57:17]	Alex Palovichov has taken 27 damage from worldspawn.
[13:57:17]	Alex Palovichov has taken 1 damage from worldspawn.
[13:57:18]	Alex Palovichov has taken 1 damage from worldspawn.
[13:57:18]	Alex Palovichov has taken 43 damage from worldspawn.
[13:57:18]	worldspawn has killed Alex Palovichov.
[13:57:29]	Alex Palovichov ran 'Equip' on item 'Green Citizen Suit' (#21318)
[13:57:29]	Alex Palovichov ran 'Equip' on item 'Combine Worker Suit' (#21413)
[13:57:29]	Alex Palovichov ran 'Equip' on item 'Green Citizen Suit' (#21318)
[13:57:37]	Bean (STEAM_0:1:591779303) has disconnected.
