[17:03:49]	wheat has connected.
[19:00:58]	CCA.C08-QrM.98240 entered observer.
[19:00:58]	CCA.C08-QrM.98240 exited observer at their location.
[19:00:59]	CCA.C08-QrM.98240 entered observer.
[19:00:59]	CCA.C08-QrM.98240 exited observer at their location.
[19:01:00]	CCA.C08-QrM.98240 entered observer.
[19:01:00]	CCA.C08-QrM.98240 exited observer at their location.
[19:01:00]	CCA.C08-QrM.98240 entered observer.
[19:01:00]	CCA.C08-QrM.98240 exited observer at their location.
[19:01:01]	CCA.C08-QrM.98240 entered observer.
[19:01:02]	CCA.C08-QrM.98240 exited observer at their location.
[19:01:03]	CCA.C08-QrM.98240 entered observer.
[19:01:03]	CCA.C08-QrM.98240 exited observer at their location.
[19:01:04]	CCA.C08-QrM.98240 entered observer.
[19:01:04]	CCA.C08-QrM.98240 exited observer at their location.
[19:01:06]	CCA.C08-QrM.98240 entered observer.
[19:01:06]	CCA.C08-QrM.98240 exited observer at their location.
[19:01:06]	CCA.C08-QrM.98240 entered observer.
[19:01:19]	CCA.C08-QrM.98240 exited observer at their location.
[19:01:19]	CCA.C08-QrM.98240 entered observer.
[19:01:19]	CCA.C08-QrM.98240 exited observer at their location.
[19:01:20]	CCA.C08-QrM.98240 entered observer.
[19:01:29]	CCA.C08-QrM.98240 exited observer at their location.
[19:01:30]	CCA.C08-QrM.98240 entered observer.
[19:01:30]	CCA.C08-QrM.98240 exited observer at their location.
[19:01:30]	CCA.C08-QrM.98240 entered observer.
[19:01:31]	CCA.C08-QrM.98240 exited observer at their location.
[19:01:31]	CCA.C08-QrM.98240 entered observer.
[19:01:31]	CCA.C08-QrM.98240 exited observer at their location.
[19:01:32]	CCA.C08-QrM.98240 entered observer.
[19:01:32]	CCA.C08-QrM.98240 exited observer at their location.
[19:01:33]	CCA.C08-QrM.98240 entered observer.
[19:01:35]	CCA.C08-QrM.98240 exited observer at their location.
[19:01:40]	CCA.C08-QrM.98240 entered observer.
[19:01:41]	CCA.C08-QrM.98240 exited observer at their location.
[19:01:41]	CCA.C08-QrM.98240 entered observer.
[19:01:41]	CCA.C08-QrM.98240 exited observer at their location.
[19:01:42]	CCA.C08-QrM.98240 entered observer.
[19:01:42]	CCA.C08-QrM.98240 exited observer at their location.
[19:01:43]	CCA.C08-QrM.98240 entered observer.
[19:01:43]	CCA.C08-QrM.98240 exited observer at their location.
[19:01:43]	CCA.C08-QrM.98240 entered observer.
[19:01:46]	CCA.C08-QrM.98240 exited observer at their location.
[19:02:34]	CCA.C08-QrM.98240 entered observer.
[19:02:35]	CCA.C08-QrM.98240 exited observer at their location.
[19:02:35]	CCA.C08-QrM.98240 entered observer.
[19:02:36]	CCA.C08-QrM.98240 exited observer at their location.
[19:02:36]	CCA.C08-QrM.98240 entered observer.
[19:02:37]	CCA.C08-QrM.98240 exited observer at their location.
[19:02:37]	CCA.C08-QrM.98240 entered observer.
[19:02:39]	CCA.C08-QrM.98240 exited observer at their location.
[19:02:48]	CCA.C08-QrM.98240 entered observer.
[19:02:49]	CCA.C08-QrM.98240 exited observer at their location.
[19:02:50]	CCA.C08-QrM.98240 entered observer.
[19:02:51]	CCA.C08-QrM.98240 exited observer at their location.
[19:02:59]	CCA.C08-QrM.98240 entered observer.
[19:11:28]	FB|| light ROOM has connected.
[19:11:31]	matt saton has connected.
[19:12:19]	FB|| light ROOM loaded the character 'CCA.C08-QrM.98240'
[19:12:20]	CCA.C08-QrM.98240 entered observer.
[19:12:22]	CCA.C08-QrM.98240 exited observer at their location.
[19:12:22]	CCA.C08-QrM.98240 entered observer.
[19:12:23]	CCA.C08-QrM.98240 exited observer at their location.
[19:12:24]	CCA.C08-QrM.98240 entered observer.
[19:12:32]	CCA.C08-QrM.98240 exited observer at their location.
[19:12:32]	CCA.C08-QrM.98240 entered observer.
[19:12:41]	matt saton loaded the character 'Lee Maylor'
[19:12:42]	Lee Maylor entered observer.
[19:12:57]	Lee Maylor used command '/CharSetThirst lee 100'.
[19:12:58]	Odin has connected.
[19:13:01]	Lee Maylor used command '/CharSetHunger lee 100'.
[19:14:05]	CCA.C08-QrM.98240 exited observer at their location.
[19:14:05]	CCA.C08-QrM.98240 entered observer.
[19:14:06]	CCA.C08-QrM.98240 exited observer at their location.
[19:14:07]	CCA.C08-QrM.98240 entered observer.
[19:15:14]	CCA.C08-QrM.98240 exited observer at their location.
[19:15:16]	DRD has connected.
[19:15:18]	Opia ❦ has connected.
[19:15:23]	FB|| light ROOM loaded the character 'Ethan King'
[19:15:24]	Ethan King entered observer.
[19:15:25]	Ethan King exited observer at their location.
[19:15:25]	Ethan King entered observer.
[19:15:26]	Ethan King exited observer at their location.
[19:15:26]	Ethan King entered observer.
[19:15:26]	Ethan King exited observer at their location.
[19:15:27]	Ethan King entered observer.
[19:15:38]	Ethan King exited observer at their location.
[19:15:39]	Ethan King entered observer.
[19:15:40]	Ethan King exited observer at their location.
[19:15:40]	Ethan King entered observer.
[19:15:44]	Ethan King exited observer at their location.
[19:15:45]	Ethan King entered observer.
[19:15:45]	Ethan King exited observer at their location.
[19:15:45]	Ethan King entered observer.
[19:15:48]	Ethan King exited observer at their location.
[19:15:48]	Ethan King entered observer.
[19:15:49]	Ethan King exited observer at their location.
[19:15:50]	Ethan King entered observer.
[19:15:50]	Ethan King exited observer at their location.
[19:15:51]	Ethan King entered observer.
[19:15:51]	Ethan King exited observer at their location.
[19:15:52]	Ethan King entered observer.
[19:16:03]	Odin loaded the character 'Erwin Ramstein'
[19:16:04]	Opia ❦ loaded the character 'Clarissa Harrison'
[19:16:15]	FB|| light ROOM (STEAM_0:1:17219621) deleted character 'CPL Elizabeth Tump'
[19:16:16]	[OOC] Clarissa Harrison: Henlo
[19:16:23]	[OOC] Lee Maylor: howdy!
[19:16:27]	Erwin Ramstein used command '/PM lee Hey, uh. Are those Items done?'.
[19:16:28]	Ethan King exited observer at their location.
[19:16:28]	Ethan King entered observer.
[19:16:29]	Ethan King exited observer at their location.
[19:16:39]	FB|| light ROOM loaded the character 'CCA.C08-UNION.i2.51514'
[19:16:40]	CCA.C08-UNION.i2.51514 entered observer.
[19:16:53]	CCA.C08-UNION.i2.51514 exited observer at their location.
[19:16:54]	CCA.C08-UNION.i2.51514 entered observer.
[19:16:55]	CCA.C08-UNION.i2.51514 exited observer at their location.
[19:17:03]	CCA.C08-UNION.i2.51514 used command '/Radio Unit is 10-8'.
[19:17:26]	Erwin Ramstein opened the '' #1176 container.
[19:17:27]	Erwin Ramstein closed the '' #1176 container.
[19:17:29]	Erwin Ramstein opened the '' #1178 container.
[19:17:29]	Lee Maylor used command '/PM erwin sorry, i've been preparing all day, negative. after the event i'll get them in, and if not, tomorrow after I wake up, hand to God'.
[19:17:29]	Erwin Ramstein closed the '' #1178 container.
[19:17:30]	CCA.C08-UNION.i2.51514 used command '/CharEditBodygroup UNION'.
[19:17:37]	Lee Maylor used command '/PM erwin sorry to keep stringing you along like this, i'm sure it hurts your patience'.
[19:17:41]	CCA.C08-UNION.i2.51514 has changed CCA.C08-UNION.i2.51514's bodygroups.
[19:17:49]	Lee Maylor ran 'View' on item 'Notepad' (#12396)
[19:17:50]	Erwin Ramstein used command '/PM lee Alright, no it's all good I have nothing but I was just curious. If you have shit to do, you got shit to do.'.
[19:17:54]	CCA.C08-UNION.i2.51514 entered observer.
[19:18:08]	Erwin Ramstein opened the '' #1192 container.
[19:18:10]	Erwin Ramstein closed the '' #1192 container.
[19:18:10]	Lee Maylor exited observer at their location.
[19:18:10]	Lee Maylor entered observer.
[19:18:12]	Lee Maylor ran 'View' on item 'Notepad' (#12398)
[19:18:33]	CCA.C08-UNION.i2.51514 exited observer at their location.
[19:18:41]	Erwin Ramstein used command '/PM lee I'm, kind of fucking retarded and zoned out I'm not sure where that I have nothing came from..? I meant I have no, loss of patience? Lmao.'.
[19:18:59]	Erwin Ramstein opened the '' #1175 container.
[19:19:00]	Erwin Ramstein closed the '' #1175 container.
[19:19:02]	Lee Maylor used command '/PM erwin wat'.
[19:19:02]	Erwin Ramstein opened the '' #1174 container.
[19:19:04]	Erwin Ramstein closed the '' #1174 container.
[19:19:12]	Lee Maylor used command '/PM erwin oh lmao'.
[19:19:13]	Erwin Ramstein used command '/PM lee I zoned out and completely misinterpreted my own words.'.
[19:19:15]	Erwin Ramstein opened the '' #1173 container.
[19:19:15]	Erwin Ramstein closed the '' #1173 container.
[19:19:16]	Erwin Ramstein opened the '' #1174 container.
[19:19:23]	Erwin Ramstein closed the '' #1174 container.
[19:19:23]	Erwin Ramstein opened the '' #1174 container.
[19:19:27]	Erwin Ramstein closed the '' #1174 container.
[19:19:33]	Erwin Ramstein ran 'View' on item 'Notepad' (#11837)
[19:19:36]	Erwin Ramstein ran 'View' on item 'Notepad' (#11838)
[19:19:41]	Erwin Ramstein opened the '' #1178 container.
[19:19:42]	Erwin Ramstein closed the '' #1178 container.
[19:19:45]	Erwin Ramstein opened the '' #1181 container.
[19:19:45]	Erwin Ramstein closed the '' #1181 container.
[19:19:50]	Erwin Ramstein opened the '' #1175 container.
[19:19:52]	Erwin Ramstein closed the '' #1175 container.
[19:20:00]	Lee Maylor used command '/Event lag spike, sorry!'.
[19:20:07]	DRD loaded the character 'Laoghaire Fraser'
[19:20:10]	[OOC] Laoghaire Fraser: h
[19:20:11]	Laoghaire Fraser entered observer.
[19:20:12]	[OOC] CCA.C08-UNION.i2.51514: rgmiueojraGNMBIERUABV
[19:20:14]	[OOC] Erwin Ramstein: H
[19:20:31]	[OOC] Clarissa Harrison: when event starting-
[19:20:42]	[OOC] Laoghaire Fraser: yes
[19:20:45]	[OOC] Lee Maylor: when lag psikes done
[19:20:48]	[OOC] Lee Maylor: and then event start
[19:21:17]	Clarissa Harrison opened the '' #1243 container.
[19:21:18]	DRD loaded the character 'Hollie Reynolds'
[19:21:19]	Hollie Reynolds entered observer.
[19:21:20]	Clarissa Harrison closed the '' #1243 container.
[19:21:24]	Hollie Reynolds ran 'Equip' on item 'Cyclopic Citizen Suit' (#5463)
[19:21:28]	Clarissa Harrison opened the '' #1233 container.
[19:21:31]	Clarissa Harrison closed the '' #1233 container.
[19:21:39]	CCA.C08-UNION.i2.51514 has gained 10 tokens.
[19:22:10]	Clarissa Harrison has taken 5 damage from Clarissa Harrison.
[19:22:10]	Clarissa Harrison has gained 10 tokens.
[19:22:21]	[ME] CCA.C08-UNION.i2.51514: Starts looking around the map simple observing the humble little store.
[19:22:25]	Michλel's World has connected.
[19:22:44]	[ME] CCA.C08-UNION.i2.51514: Walks away silently.
[19:22:45]	Clarissa Harrison opened the '' #1316 container.
[19:22:45]	Clarissa Harrison closed the '' #1316 container.
[19:22:48]	Clarissa Harrison opened the '' #1316 container.
[19:22:50]	Clarissa Harrison closed the '' #1316 container.
[19:22:51]	Clarissa Harrison opened the '' #1316 container.
[19:22:51]	Clarissa Harrison closed the '' #1316 container.
[19:22:57]	Michλel's World loaded the character '1LT Samuel Brody'
[19:23:21]	Hollie Reynolds opened the '' #1274 container.
[19:23:24]	Hollie Reynolds closed the '' #1274 container.
[19:23:31]	[OOC] Clarissa Harrison: hello gordon!!
[19:23:35]	CCA.C08-UNION.i2.51514 entered observer.
[19:23:40]	[OOC] Lee Maylor: gordon, the code is being dumb!
[19:23:41]	[OOC] 1LT Samuel Brody: ya boy forgot to mount CSS
[19:23:48]	Lee Maylor exited observer at their location.
[19:23:48]	Lee Maylor entered observer.
[19:23:49]	Lee Maylor exited observer at their location.
[19:23:52]	[OOC] 1LT Samuel Brody: eh, its whatever really
[19:23:53]	CCA.C08-UNION.i2.51514 exited observer at their location.
[19:23:54]	CCA.C08-UNION.i2.51514 entered observer.
[19:23:55]	CCA.C08-UNION.i2.51514 exited observer at their location.
[19:23:55]	CCA.C08-UNION.i2.51514 entered observer.
[19:23:58]	Hollie Reynolds opened the '' #1273 container.
[19:23:58]	[OOC] 1LT Samuel Brody: only minor immersion breaking
[19:23:59]	Lee Maylor entered observer.
[19:24:00]	Hollie Reynolds closed the '' #1273 container.
[19:24:01]	Lee Maylor exited observer at their location.
[19:24:05]	Lee Maylor has gained a 'Conscript Hazmat Armor' #12416.
[19:24:05]	Lee Maylor used command '/CharGiveItem maylor hazmat'.
[19:24:07]	[OOC] Lee Maylor: ep1 and ep2?
[19:24:10]	Lee Maylor ran 'EquipUn' on item 'Cyclopic Citizen Suit' (#6)
[19:24:11]	CCA.C08-UNION.i2.51514 exited observer at their location.
[19:24:11]	Lee Maylor entered observer.
[19:24:12]	[OOC] 1LT Samuel Brody: got those
[19:24:12]	Lee Maylor exited observer at their location.
[19:24:13]	Lee Maylor ran 'Equip' on item 'Conscript Hazmat Armor' (#12416)
[19:24:15]	Lee Maylor entered observer.
[19:24:23]	Lee Maylor used command '/CharGiveItem maylor worker hazmat'.
[19:24:23]	1LT Samuel Brody ran 'Equip' on item 'MP7' (#10563)
[19:24:25]	Lee Maylor ran 'EquipUn' on item 'Conscript Hazmat Armor' (#12416)
[19:24:30]	Lee Maylor used command '/adminspawnmenu'.
[19:24:34]	Lee Maylor has spawned "Combine Hazmat Worker Suit"
[19:24:36]	Lee Maylor ran 'take' on item 'Combine Hazmat Worker Suit' (#12417)
[19:24:36]	Lee Maylor has gained a 'Combine Hazmat Worker Suit' #12417.
[19:24:37]	Lee Maylor exited observer at their location.
[19:24:38]	Lee Maylor entered observer.
[19:24:38]	Lee Maylor entered observer.
[19:24:39]	Lee Maylor exited observer at their location.
[19:24:48]	Lee Maylor has taken 1 damage from worldspawn.
[19:24:49]	Lee Maylor has taken 1 damage from worldspawn.
[19:24:50]	Lee Maylor has taken 1 damage from worldspawn.
[19:24:50]	Lee Maylor has taken 1 damage from worldspawn.
[19:24:51]	Lee Maylor has taken 1 damage from worldspawn.
[19:24:51]	Clarissa Harrison ran 'View' on item 'Paper' (#11196)
[19:24:52]	Lee Maylor has taken 1 damage from worldspawn.
[19:24:53]	Lee Maylor has taken 1 damage from worldspawn.
[19:24:53]	Lee Maylor has taken 1 damage from worldspawn.
[19:24:54]	Lee Maylor has taken 1 damage from worldspawn.
[19:24:55]	Lee Maylor ran 'Equip' on item 'Combine Hazmat Worker Suit' (#12417)
[19:24:55]	Lee Maylor has taken 1 damage from worldspawn.
[19:24:56]	Lee Maylor has taken 1 damage from worldspawn.
[19:24:56]	Lee Maylor has taken 1 damage from worldspawn.
[19:24:57]	Lee Maylor entered observer.
[19:25:59]	[OOC] 1LT Samuel Brody: hmm yes very good content
[19:26:03]	[OOC] CCA.C08-UNION.i2.51514: Wha
[19:26:19]	[OOC] 1LT Samuel Brody: i am literally staring at wall
[19:26:21]	CCA.C08-UNION.i2.51514 entered observer.
[19:26:28]	DRD loaded the character 'CCA.C08-GRID.i1.23710'
[19:26:39]	CCA.C08-UNION.i2.51514 has gained 10 tokens.
[19:26:44]	[OOC] CCA.C08-UNION.i2.51514: By the way, unless you're off duty get into the Nexus.
[19:26:46]	[OOC] Lee Maylor: gordon, what the fuck is going on with the code
[19:26:55]	CCA.C08-GRID.i1.23710 used command '/CharSetSkin grid 3'.
[19:27:00]	CCA.C08-GRID.i1.23710 entered observer.
[19:27:01]	Clarissa Harrison opened the '' #1327 container.
[19:27:04]	CCA.C08-UNION.i2.51514 exited observer at their location.
[19:27:04]	Clarissa Harrison closed the '' #1327 container.
[19:27:18]	[OOC] Clarissa Harrison: look, gordon! ropes! we can use these to help with pits.
[19:27:25]	[OOC] Lee Maylor: gordon, i found it!
[19:27:41]	[OOC] 1LT Samuel Brody: dear lord please n o
[19:27:46]	[OOC] 1LT Samuel Brody: p l e a s e
[19:27:55]	[OOC] 1LT Samuel Brody: i have ptsd from that series
[19:28:00]	[OOC] 1LT Samuel Brody: aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[19:28:03]	[OOC] CCA.C08-UNION.i2.51514: Crungle
[19:28:20]	CCA.C08-GRID.i1.23710 ran 'View' on item 'Notepad' (#11838)
[19:28:21]	[OOC] 1LT Samuel Brody: your mom
[19:28:33]	[OOC] Lee Maylor: gordon what the actual fuck
[19:28:35]	CCA.C08-GRID.i1.23710 ran 'View' on item 'Notepad' (#11838)
[19:28:47]	[OOC] 1LT Samuel Brody: STAHP
[19:28:51]	CCA.C08-GRID.i1.23710 exited observer at their location.
[19:29:05]	CCA.C08-GRID.i1.23710 ran 'View' on item 'Notepad' (#11838)
[19:29:12]	CCA.C08-GRID.i1.23710 ran 'View' on item 'Notepad' (#11837)
[19:29:21]	CCA.C08-UNION.i2.51514 entered observer.
[19:29:31]	CCA.C08-UNION.i2.51514 ran 'View' on item 'Notepad' (#11838)
[19:29:42]	CCA.C08-UNION.i2.51514 ran 'View' on item 'Notepad' (#11837)
[19:30:10]	CCA.C08-GRID.i1.23710 entered observer.
[19:30:54]	CCA.C08-UNION.i2.51514 exited observer at their location.
[19:31:28]	CCA.C08-GRID.i1.23710 has gained 10 tokens.
[19:31:39]	CCA.C08-UNION.i2.51514 has gained 10 tokens.
[19:32:32]	[OOC] 1LT Samuel Brody: q did the code stop being a piece of shit
[19:32:43]	[OOC] CCA.C08-UNION.i2.51514: Code go brrttttttt
[19:33:02]	[OOC] Lee Maylor: double lag spike
[19:33:04]	[OOC] Lee Maylor: sorry
[19:33:07]	[OOC] Lee Maylor: after this event, I swear to God
[19:33:59]	[OOC] 1LT Samuel Brody: server die?
[19:34:31]	Michλel's World (STEAM_0:1:75161355) has disconnected.
[19:34:37]	Lee Maylor ran 'EquipUn' on item 'Combine Hazmat Worker Suit' (#12417)
[19:34:39]	Lee Maylor ran 'Equip' on item 'Combine Hazmat Worker Suit' (#12417)
[19:34:40]	Lee Maylor exited observer at their location.
[19:34:40]	Lee Maylor has taken 1 damage from worldspawn.
[19:34:40]	Lee Maylor has taken 1 damage from worldspawn.
[19:34:41]	Lee Maylor entered observer.
[19:34:41]	Lee Maylor exited observer at their location.
[19:34:41]	Lee Maylor has taken 1 damage from worldspawn.
[19:34:42]	Lee Maylor has taken 1 damage from worldspawn.
[19:34:43]	Lee Maylor has taken 1 damage from worldspawn.
[19:34:43]	Lee Maylor has taken 1 damage from worldspawn.
[19:34:44]	Lee Maylor has taken 1 damage from worldspawn.
[19:34:45]	Lee Maylor has taken 1 damage from worldspawn.
[19:34:46]	Lee Maylor has taken 1 damage from worldspawn.
[19:34:46]	Lee Maylor entered observer.
[19:36:17]	Lee Maylor exited observer at their location.
[19:36:17]	Lee Maylor has taken 1 damage from worldspawn.
[19:36:18]	Lee Maylor has taken 1 damage from worldspawn.
[19:36:18]	Lee Maylor entered observer.
[19:36:35]	CCA.C08-UNION.i2.51514 entered observer.
[19:37:01]	[OOC] CCA.C08-UNION.i2.51514: This is making me want to stop doing the breath
[19:37:02]	Michλel's World has connected.
[19:37:11]	CCA.C08-UNION.i2.51514 exited observer at their location.
[19:37:31]	Michλel's World loaded the character '1LT Samuel Brody'
[19:37:40]	[OOC] 1LT Samuel Brody: am return
[19:37:45]	[OOC] 1LT Samuel Brody: my gmod die
[19:38:06]	[OOC] CCA.C08-UNION.i2.51514: AGHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHH
[19:38:27]	[OOC] Erwin Ramstein: Sorry am back :)
[19:38:28]	CCA.C08-UNION.i2.51514 entered observer.
[19:38:38]	Erwin Ramstein opened the '' #1181 container.
[19:38:39]	Erwin Ramstein closed the '' #1181 container.
[19:40:06]	Opia ❦ (STEAM_0:1:205314685) has disconnected.
[19:40:06]	[OOC] 1LT Samuel Brody: q tell the code to stop being a piece of shit
[19:40:19]	Lee Maylor exited observer at their location.
[19:40:19]	Lee Maylor has taken 1 damage from worldspawn.
[19:40:20]	Lee Maylor has taken 1 damage from worldspawn.
[19:40:21]	Lee Maylor has taken 1 damage from worldspawn.
[19:40:22]	Lee Maylor has taken 1 damage from worldspawn.
[19:40:22]	Lee Maylor has taken 1 damage from worldspawn.
[19:40:23]	Lee Maylor entered observer.
[19:40:26]	Lee Maylor ran 'drop' on item 'Combine Hazmat Worker Suit' (#12417)
[19:40:26]	Lee Maylor has lost a 'Combine Hazmat Worker Suit' #12417.
[19:40:30]	Lee Maylor used command '/adminspawnmenu'.
[19:40:36]	Lee Maylor has spawned "Conscript Hazmat Armor"
[19:40:37]	Lee Maylor has spawned "Combine Hazmat Worker Suit"
[19:40:39]	Lee Maylor ran 'take' on item 'Conscript Hazmat Armor' (#12417)
[19:40:39]	Lee Maylor has gained a 'Conscript Hazmat Armor' #12417.
[19:40:40]	Lee Maylor ran 'take' on item 'Combine Hazmat Worker Suit' (#12418)
[19:40:40]	Lee Maylor has gained a 'Combine Hazmat Worker Suit' #12418.
[19:40:42]	Lee Maylor ran 'Equip' on item 'Combine Hazmat Worker Suit' (#12418)
[19:40:43]	Lee Maylor entered observer.
[19:40:44]	Lee Maylor exited observer at their location.
[19:40:44]	Lee Maylor has taken 1 damage from worldspawn.
[19:40:45]	Lee Maylor has taken 1 damage from worldspawn.
[19:40:45]	Lee Maylor entered observer.
[19:40:57]	Erwin Ramstein opened the '' #1175 container.
[19:40:59]	Erwin Ramstein closed the '' #1175 container.
[19:41:00]	Erwin Ramstein opened the '' #1173 container.
[19:41:28]	Erwin Ramstein closed the '' #1173 container.
[19:41:33]	Lee Maylor exited observer at their location.
[19:41:33]	Lee Maylor has taken 1 damage from worldspawn.
[19:41:34]	Lee Maylor has taken 1 damage from worldspawn.
[19:41:35]	Lee Maylor has taken 1 damage from worldspawn.
[19:41:35]	[OOC] 1LT Samuel Brody: REEEEEEEEEEEEEEEEEEEEEEEEEEEEE
[19:41:35]	Lee Maylor has taken 1 damage from worldspawn.
[19:41:36]	Lee Maylor has taken 1 damage from worldspawn.
[19:41:37]	Lee Maylor has taken 1 damage from worldspawn.
[19:41:37]	Lee Maylor ran 'EquipUn' on item 'Combine Hazmat Worker Suit' (#12418)
[19:41:38]	Lee Maylor has taken 1 damage from worldspawn.
[19:41:38]	Lee Maylor entered observer.
[19:41:39]	Lee Maylor exited observer at their location.
[19:41:40]	Lee Maylor ran 'Equip' on item 'Combine Hazmat Worker Suit' (#12418)
[19:41:43]	[OOC] Lee Maylor: IT FUCKING WORKS
[19:41:43]	Erwin Ramstein opened the '' #1174 container.
[19:41:45]	Erwin Ramstein closed the '' #1174 container.
[19:41:47]	CCA.C08-GRID.i1.23710 exited observer at their location.
[19:41:49]	[OOC] 1LT Samuel Brody: LESS GO
[19:41:56]	[OOC] CCA.C08-UNION.i2.51514: 1LT Samuel Brody says "REEEEEEEEEEE."
[19:42:01]	Lee Maylor entered observer.
[19:42:02]	[OOC] 1LT Samuel Brody: shut
[19:42:07]	[OOC] Lee Maylor: alright
[19:42:09]	[OOC] 1LT Samuel Brody: shut
[19:42:12]	[OOC] Lee Maylor: we're gonna let opia rejoin and we'll start
[19:42:21]	[OOC] Lee Maylor: everybody get on the character you want to be on for the event
[19:42:22]	[OOC] 1LT Samuel Brody: bad UNION
[19:42:29]	[LOOC] CCA.C08-GRID.i1.23710: i am stimulating the local economy
[19:42:35]	[OOC] 1LT Samuel Brody: well, i already am so re
[19:42:52]	FB|| light ROOM loaded the character 'CCA.C08-QrM.98240'
[19:42:53]	[ME] Erwin Ramstein: *he'd flip open a Green Book*
[19:42:53]	CCA.C08-QrM.98240 entered observer.
[19:42:54]	Lee Maylor exited observer at their location.
[19:42:54]	Lee Maylor has taken 1 damage from worldspawn.
[19:42:54]	Lee Maylor has taken 1 damage from worldspawn.
[19:42:55]	Lee Maylor entered observer.
[19:42:55]	Lee Maylor exited observer at their location.
[19:42:55]	Lee Maylor has taken 1 damage from worldspawn.
[19:42:56]	Lee Maylor has taken 1 damage from worldspawn.
[19:42:56]	Lee Maylor entered observer.
[19:42:57]	Lee Maylor exited observer at their location.
[19:42:57]	Lee Maylor has taken 1 damage from worldspawn.
[19:42:57]	CCA.C08-QrM.98240 exited observer at their location.
[19:42:58]	Lee Maylor has taken 1 damage from worldspawn.
[19:42:58]	CCA.C08-QrM.98240 entered observer.
[19:42:58]	Lee Maylor has taken 1 damage from worldspawn.
[19:42:59]	Lee Maylor has taken 1 damage from worldspawn.
[19:42:59]	Lee Maylor entered observer.
[19:43:00]	Lee Maylor exited observer at their location.
[19:43:00]	CCA.C08-QrM.98240 exited observer at their location.
[19:43:00]	Lee Maylor entered observer.
[19:43:00]	CCA.C08-QrM.98240 entered observer.
[19:43:02]	CCA.C08-QrM.98240 exited observer at their location.
[19:43:03]	[OOC] 1LT Samuel Brody: why is that fuckup making me laugh so much
[19:43:21]	Erwin Ramstein ran 'View' on item 'Notepad' (#11838)
[19:43:24]	CCA.C08-GRID.i1.23710 ran 'View' on item 'Notepad' (#11838)
[19:43:29]	[OOC] CCA.C08-QrM.98240: My existence is pain, also hello.
[19:43:30]	Opia ❦ has connected.
[19:43:32]	CCA.C08-GRID.i1.23710 has lost 10 tokens.
[19:43:32]	CCA.C08-GRID.i1.23710 used command '/DropTokens 10'.
[19:43:34]	Erwin Ramstein opened the '' #1174 container.
[19:43:36]	Erwin Ramstein closed the '' #1174 container.
[19:43:36]	[OOC] Lee Maylor: cool, the fix didn't fucking work
[19:43:37]	Erwin Ramstein opened the '' #1173 container.
[19:43:39]	Erwin Ramstein has gained a 'Sewing Kit' #12139.
[19:43:39]	[OOC] 1LT Samuel Brody: oh god
[19:43:39]	Erwin Ramstein closed the '' #1173 container.
[19:43:44]	[OOC] 1LT Samuel Brody: its the qrm
[19:43:46]	Erwin Ramstein ran 'drop' on item 'Sewing Kit' (#12139)
[19:43:46]	Erwin Ramstein has lost a 'Sewing Kit' #12139.
[19:43:50]	[OOC] 1LT Samuel Brody: everyone run
[19:43:52]	[OOC] Lee Maylor: i'll just change it during a map change
[19:43:53]	Erwin Ramstein has gained 10 tokens.
[19:43:58]	[OOC] CCA.C08-QrM.98240: I have come to steal all of your shit.
[19:44:05]	[OOC] 1LT Samuel Brody: OH NO
[19:44:09]	[OOC] 1LT Samuel Brody: NOT MY SHIT
[19:44:10]	CCA.C08-GRID.i1.23710 ran 'take' on item 'Sewing Kit' (#12139)
[19:44:10]	CCA.C08-GRID.i1.23710 has gained a 'Sewing Kit' #12139.
[19:44:14]	[OOC] 1LT Samuel Brody: ITS ALL I HAVE
[19:44:16]	[OOC] CCA.C08-QrM.98240: Your shit is mine
[19:44:18]	Lee Maylor exited observer at their location.
[19:44:18]	Lee Maylor has taken 1 damage from worldspawn.
[19:44:18]	[OOC] 1LT Samuel Brody: NO
[19:44:19]	Lee Maylor has taken 1 damage from worldspawn.
[19:44:19]	Lee Maylor entered observer.
[19:44:20]	Lee Maylor exited observer at their location.
[19:44:20]	Lee Maylor has taken 1 damage from worldspawn.
[19:44:20]	Lee Maylor has taken 1 damage from worldspawn.
[19:44:21]	Lee Maylor has taken 1 damage from worldspawn.
[19:44:22]	Lee Maylor ran 'drop' on item 'Combine Hazmat Worker Suit' (#12418)
[19:44:22]	Lee Maylor has lost a 'Combine Hazmat Worker Suit' #12418.
[19:44:22]	Lee Maylor has taken 1 damage from worldspawn.
[19:44:23]	Lee Maylor has taken 1 damage from worldspawn.
[19:44:23]	[OOC] 1LT Samuel Brody: no please
[19:44:23]	Lee Maylor has taken 1 damage from worldspawn.
[19:44:24]	Lee Maylor has taken 1 damage from worldspawn.
[19:44:25]	Lee Maylor has taken 1 damage from worldspawn.
[19:44:26]	Lee Maylor has taken 1 damage from worldspawn.
[19:44:26]	Lee Maylor has taken 1 damage from worldspawn.
[19:44:27]	Lee Maylor has taken 1 damage from worldspawn.
[19:44:28]	Lee Maylor has taken 1 damage from worldspawn.
