[15:07:21]	poggers has connected.
[19:52:46]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[19:52:47]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[19:53:45]	Andrew Philip has taken 5 damage from npc_headcrab.
[19:53:47]	Andrew Philip has taken 5 damage from npc_headcrab.
[19:54:01]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[19:54:57]	MilkyWay (STEAM_0:1:118336892) has disconnected.
[20:41:14]	MilkyWay has connected.
[20:41:21]	FB|| light ROOM has connected.
[20:42:46]	DRD has connected.
[20:42:54]	FB|| light ROOM loaded the character 'Owen Clark'
[20:42:58]	Owen Clark ran 'Equip' on item 'Crowbar' (#6653)
[20:43:02]	Owen Clark ran 'EquipUn' on item 'Crowbar' (#6653)
[20:43:03]	Owen Clark ran 'Equip' on item 'Axe' (#6675)
[20:43:55]	MilkyWay loaded the character 'Andrew Philip'
[20:45:18]	DRD loaded the character 'CCA.C17-GRID.i1.59212'
[20:45:26]	CCA.C17-GRID.i1.59212 ran 'Equip' on item 'SPAS-12' (#50)
[20:45:27]	CCA.C17-GRID.i1.59212 ran 'Equip' on item 'USP Match' (#812)
[20:45:50]	[OOC] Owen Clark: yo
[20:45:55]	[OOC] CCA.C17-GRID.i1.59212: no
[20:45:57]	FB|| light ROOM loaded the character 'CCA.C17-QrM.19891'
[20:46:24]	CCA.C17-QrM.19891 used the 'Armory Supply' vendor.
[20:46:30]	CCA.C17-QrM.19891 has gained 0 tokens.
[20:46:30]	CCA.C17-QrM.19891 has gained a '9mm Pistol Magazine' #6726.
[20:46:30]	CCA.C17-QrM.19891 has gained 0 tokens.
[20:46:30]	CCA.C17-QrM.19891 has gained a '9mm Pistol Magazine' #6727.
[20:46:31]	CCA.C17-QrM.19891 has gained 0 tokens.
[20:46:31]	CCA.C17-QrM.19891 has gained a '9mm Pistol Magazine' #6728.
[20:46:33]	CCA.C17-QrM.19891 has gained 0 tokens.
[20:46:33]	CCA.C17-QrM.19891 has gained a '4.6x30 Rounds' #6729.
[20:46:33]	CCA.C17-QrM.19891 has gained 0 tokens.
[20:46:33]	CCA.C17-QrM.19891 has gained a '4.6x30 Rounds' #6730.
[20:47:25]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/PlasticCrate01a.mdl'.
[20:47:41]	CCA.C17-QrM.19891 ran 'drop' on item 'KIBA Arms Ammocase' (#1435)
[20:47:41]	CCA.C17-QrM.19891 has lost a 'KIBA Arms Ammocase' #1435.
[20:47:41]	CCA.C17-QrM.19891 has lost a '12-Gauge Shells' #1444.
[20:47:41]	CCA.C17-QrM.19891 has lost a '12-Gauge Shells' #1443.
[20:47:41]	CCA.C17-QrM.19891 has lost a '9mm Pistol Magazine' #6727.
[20:47:41]	CCA.C17-QrM.19891 has lost a '12-Gauge Shells' #1445.
[20:47:41]	CCA.C17-QrM.19891 has lost a '4.6x30 Rounds' #6730.
[20:47:41]	CCA.C17-QrM.19891 has lost a '4.6x30 Rounds' #6729.
[20:47:41]	CCA.C17-QrM.19891 has lost a '4.6x30 Rounds' #1439.
[20:47:41]	CCA.C17-QrM.19891 has lost a '9mm Pistol Magazine' #6726.
[20:47:41]	CCA.C17-QrM.19891 has lost a '9mm Pistol Magazine' #6728.
[20:47:43]	CCA.C17-QrM.19891 used the 'Armory Supply' vendor.
[20:47:43]	CCA.C17-GRID.i1.59212 ran 'take' on item 'KIBA Arms Ammocase' (#1435)
[20:47:43]	CCA.C17-GRID.i1.59212 has gained a 'KIBA Arms Ammocase' #1435.
[20:47:43]	CCA.C17-GRID.i1.59212 has gained a '12-Gauge Shells' #1444.
[20:47:43]	CCA.C17-GRID.i1.59212 has gained a '12-Gauge Shells' #1443.
[20:47:43]	CCA.C17-GRID.i1.59212 has gained a '9mm Pistol Magazine' #6727.
[20:47:43]	CCA.C17-GRID.i1.59212 has gained a '12-Gauge Shells' #1445.
[20:47:43]	CCA.C17-GRID.i1.59212 has gained a '4.6x30 Rounds' #6730.
[20:47:43]	CCA.C17-GRID.i1.59212 has gained a '4.6x30 Rounds' #6729.
[20:47:43]	CCA.C17-GRID.i1.59212 has gained a '4.6x30 Rounds' #1439.
[20:47:43]	CCA.C17-GRID.i1.59212 has gained a '9mm Pistol Magazine' #6726.
[20:47:43]	CCA.C17-GRID.i1.59212 has gained a '9mm Pistol Magazine' #6728.
[20:47:46]	CCA.C17-QrM.19891 has gained 0 tokens.
[20:47:46]	CCA.C17-QrM.19891 has gained a 'Zip Tie' #6731.
[20:47:46]	CCA.C17-QrM.19891 has gained 0 tokens.
[20:47:46]	CCA.C17-QrM.19891 has gained a 'Zip Tie' #6732.
[20:47:47]	CCA.C17-QrM.19891 has gained 0 tokens.
[20:47:47]	CCA.C17-QrM.19891 has gained a 'Zip Tie' #6733.
[20:47:47]	CCA.C17-QrM.19891 has gained 0 tokens.
[20:47:47]	CCA.C17-QrM.19891 has gained a 'Zip Tie' #6734.
[20:47:47]	CCA.C17-GRID.i1.59212 ran 'use' on item '12-Gauge Shells' (#1443)
[20:47:49]	CCA.C17-GRID.i1.59212 ran 'use' on item '12-Gauge Shells' (#1444)
[20:47:51]	CCA.C17-QrM.19891 ran 'drop' on item 'Zip Tie' (#6731)
[20:47:51]	CCA.C17-QrM.19891 has lost a 'Zip Tie' #6731.
[20:47:51]	CCA.C17-GRID.i1.59212 ran 'use' on item '12-Gauge Shells' (#1445)
[20:47:52]	CCA.C17-QrM.19891 ran 'drop' on item 'Zip Tie' (#6115)
[20:47:52]	CCA.C17-QrM.19891 has lost a 'Zip Tie' #6115.
[20:47:52]	CCA.C17-QrM.19891 ran 'drop' on item 'Zip Tie' (#6732)
[20:47:52]	CCA.C17-QrM.19891 has lost a 'Zip Tie' #6732.
[20:47:53]	CCA.C17-QrM.19891 ran 'drop' on item 'Zip Tie' (#6733)
[20:47:53]	CCA.C17-QrM.19891 has lost a 'Zip Tie' #6733.
[20:47:54]	CCA.C17-QrM.19891 ran 'Use' on item 'Zip Tie' (#6734)
[20:47:54]	CCA.C17-GRID.i1.59212 ran 'use' on item '9mm Pistol Magazine' (#6727)
[20:47:55]	CCA.C17-QrM.19891 ran 'drop' on item 'Zip Tie' (#6734)
[20:47:55]	CCA.C17-QrM.19891 has lost a 'Zip Tie' #6734.
[20:47:55]	CCA.C17-GRID.i1.59212 ran 'use' on item '9mm Pistol Magazine' (#6726)
[20:47:56]	CCA.C17-GRID.i1.59212 ran 'use' on item '9mm Pistol Magazine' (#6728)
[20:47:57]	CCA.C17-GRID.i1.59212 ran 'drop' on item 'KIBA Arms Ammocase' (#1435)
[20:47:57]	CCA.C17-GRID.i1.59212 has lost a 'KIBA Arms Ammocase' #1435.
[20:47:57]	CCA.C17-GRID.i1.59212 has lost a '4.6x30 Rounds' #6729.
[20:47:57]	CCA.C17-GRID.i1.59212 has lost a '4.6x30 Rounds' #1439.
[20:47:57]	CCA.C17-GRID.i1.59212 has lost a '4.6x30 Rounds' #6730.
[20:48:15]	CCA.C17-GRID.i1.59212 ran 'take' on item 'Zip Tie' (#6731)
[20:48:15]	CCA.C17-GRID.i1.59212 has gained a 'Zip Tie' #6731.
[20:48:18]	CCA.C17-GRID.i1.59212 ran 'take' on item 'Zip Tie' (#6115)
[20:48:18]	CCA.C17-GRID.i1.59212 has gained a 'Zip Tie' #6115.
[20:48:20]	CCA.C17-GRID.i1.59212 ran 'take' on item 'Zip Tie' (#6733)
[20:48:20]	CCA.C17-GRID.i1.59212 has gained a 'Zip Tie' #6733.
[20:48:22]	CCA.C17-GRID.i1.59212 ran 'take' on item 'Zip Tie' (#6732)
[20:48:22]	CCA.C17-GRID.i1.59212 has gained a 'Zip Tie' #6732.
[20:48:32]	CCA.C17-GRID.i1.59212 ran 'take' on item 'Zip Tie' (#6734)
[20:48:32]	CCA.C17-GRID.i1.59212 has gained a 'Zip Tie' #6734.
[20:48:59]	CCA.C17-GRID.i1.59212 has taken 12 damage from CCA.C17-QrM.19891.
[20:49:01]	CCA.C17-QrM.19891 ran 'take' on item 'KIBA Arms Ammocase' (#1435)
[20:49:01]	CCA.C17-QrM.19891 has gained a 'KIBA Arms Ammocase' #1435.
[20:49:01]	CCA.C17-QrM.19891 has gained a '4.6x30 Rounds' #6729.
[20:49:01]	CCA.C17-QrM.19891 has gained a '4.6x30 Rounds' #1439.
[20:49:01]	CCA.C17-QrM.19891 has gained a '4.6x30 Rounds' #6730.
[20:49:03]	CCA.C17-GRID.i1.59212 used command '/ToggleRaise'.
[20:49:09]	FB|| light ROOM loaded the character 'Owen Clark'
[20:49:22]	[OOC] CCA.C17-GRID.i1.59212: THE QUARTERMASTER SHOT ME
[20:49:38]	[OOC] Owen Clark: okay
[20:49:42]	Owen Clark ran 'EquipUn' on item 'Axe' (#6675)
[20:49:42]	Owen Clark ran 'Equip' on item 'Axe' (#6675)
[20:50:18]	CCA.C17-GRID.i1.59212 has gained 10 tokens.
[20:51:16]	CCA.C17-GRID.i1.59212 used command '/ViewData OWEN'.
[20:53:50]	Andrew Philip ran 'View' on item 'Paper' (#5257)
[20:54:19]	CCA.C17-GRID.i1.59212 opened the '' #477 container.
[20:54:21]	CCA.C17-GRID.i1.59212 closed the '' #477 container.
[20:54:31]	[OOC] CCA.C17-GRID.i1.59212: BRB
[20:54:40]	CCA.C17-GRID.i1.59212 used command '/PM OWEN i'll rejoin vc in 5 minutes oir so'.
[20:55:18]	CCA.C17-GRID.i1.59212 has gained 10 tokens.
[20:56:03]	[OOC] Owen Clark: Crungle
[20:56:50]	[OOC] Andrew Philip: p
[20:56:58]	[OOC] Owen Clark: Player 白给之人 has joined the game
[20:57:03]	[OOC] Owen Clark: This scares ,e
[20:57:05]	[OOC] Owen Clark: me*
[20:58:56]	Owen Clark opened the '' #477 container.
[20:58:58]	Owen Clark closed the '' #477 container.
[20:59:32]	Owen Clark ran 'equip' on item 'Citizen Filter' (#6156)
[20:59:35]	Owen Clark ran 'View' on item 'Notepad' (#1945)
[20:59:39]	Owen Clark used the 'General Store Manager' vendor.
[20:59:45]	Owen Clark has lost 10 tokens.
[20:59:45]	Owen Clark has gained a 'Flashlight' #6735.
[20:59:52]	Owen Clark ran 'View' on item 'Notepad' (#1945)
[21:01:43]	[OOC] CCA.C17-GRID.i1.59212: back
[21:01:45]	[OOC] CCA.C17-GRID.i1.59212: oh dear
[21:02:25]	[OOC] Owen Clark: Imagine
[21:02:30]	[OOC] Owen Clark: Rejoing VC smh
[21:03:43]	[OOC] Owen Clark: Existing is cool.
[21:03:55]	Andrew Philip has taken 1 damage from worldspawn.
[21:03:55]	Andrew Philip has taken 1 damage from worldspawn.
[21:03:56]	Andrew Philip has taken 1 damage from worldspawn.
[21:03:57]	Andrew Philip has taken 1 damage from worldspawn.
[21:03:58]	Andrew Philip has taken 1 damage from worldspawn.
[21:03:58]	Andrew Philip has taken 1 damage from worldspawn.
[21:03:59]	Andrew Philip has taken 1 damage from worldspawn.
[21:03:59]	Andrew Philip ran 'equip' on item 'Citizen Filter' (#6604)
[21:05:18]	CCA.C17-GRID.i1.59212 has gained 10 tokens.
[21:06:01]	Owen Clark rolled 27 out of 100.
[21:06:01]	Owen Clark used command '/Roll'.
[21:06:04]	CCA.C17-GRID.i1.59212 rolled 67 out of 100.
[21:06:04]	CCA.C17-GRID.i1.59212 used command '/Roll'.
[21:06:11]	Owen Clark rolled 78 out of 100.
[21:06:11]	Owen Clark used command '/Roll'.
[21:06:30]	CCA.C17-GRID.i1.59212 rolled 1 out of 1.
[21:06:30]	CCA.C17-GRID.i1.59212 used command '/Roll 1'.
[21:06:58]	CCA.C17-GRID.i1.59212 has spawned 'models/props_c17/gate_door02a.mdl'.
[21:07:03]	CCA.C17-GRID.i1.59212 has spawned 'models/props_c17/gate_door02a.mdl'.
[21:07:23]	CCA.C17-GRID.i1.59212 has spawned 'models/props_c17/FurnitureTable002a.mdl'.
[21:07:53]	Owen Clark ran 'EquipUn' on item 'Axe' (#6675)
[21:07:54]	Owen Clark ran 'Equip' on item 'Crowbar' (#6653)
[21:07:57]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/PlasticCrate01a.mdl'.
[21:07:59]	Owen Clark ran 'EquipUn' on item 'Crowbar' (#6653)
[21:07:59]	Owen Clark ran 'Equip' on item 'Axe' (#6675)
[21:07:59]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/PlasticCrate01a.mdl'.
[21:08:03]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/plasticcrate01a.mdl'.
[21:08:03]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/plasticcrate01a.mdl'.
[21:08:03]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/plasticcrate01a.mdl'.
[21:08:03]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/plasticcrate01a.mdl'.
[21:08:03]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/plasticcrate01a.mdl'.
[21:08:03]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/plasticcrate01a.mdl'.
[21:08:03]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/plasticcrate01a.mdl'.
[21:08:03]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/plasticcrate01a.mdl'.
[21:08:03]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/plasticcrate01a.mdl'.
[21:08:03]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/plasticcrate01a.mdl'.
[21:08:03]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/plasticcrate01a.mdl'.
[21:08:03]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/plasticcrate01a.mdl'.
[21:08:03]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/plasticcrate01a.mdl'.
[21:08:03]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/plasticcrate01a.mdl'.
[21:08:03]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/plasticcrate01a.mdl'.
[21:09:08]	CCA.C17-GRID.i1.59212 has spawned 'models/props_c17/FurnitureTable001a.mdl'.
[21:09:14]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/PopCan01a.mdl'.
[21:09:19]	CCA.C17-GRID.i1.59212 has spawned 'models/props_junk/PopCan01a.mdl'.
[21:09:45]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/wheel01.mdl'.
[21:09:54]	CCA.C17-GRID.i1.59212 has taken 16 damage from Owen Clark.
[21:10:14]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/wheel01.mdl'.
[21:10:14]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/wheel01.mdl'.
[21:10:14]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/wheel01.mdl'.
[21:10:14]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/wheel01.mdl'.
[21:10:14]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/wheel01.mdl'.
[21:10:14]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/wheel01.mdl'.
[21:10:14]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/wheel01.mdl'.
[21:10:14]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/wheel01.mdl'.
[21:10:14]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/wheel01.mdl'.
[21:10:14]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/wheel01.mdl'.
[21:10:14]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/wheel01.mdl'.
[21:10:14]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/wheel01.mdl'.
[21:10:14]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/wheel01.mdl'.
[21:10:14]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/wheel01.mdl'.
[21:10:14]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/wheel01.mdl'.
[21:10:18]	CCA.C17-GRID.i1.59212 has gained 10 tokens.
[21:10:20]	CCA.C17-GRID.i1.59212 has taken 5 damage from prop_physics.
[21:10:20]	CCA.C17-GRID.i1.59212 has taken 5 damage from prop_physics.
[21:10:25]	Owen Clark has taken 5 damage from prop_physics.
[21:10:26]	Owen Clark has taken 500 damage from prop_physics.
[21:10:26]	prop_physics has killed Owen Clark.
[21:10:27]	CCA.C17-GRID.i1.59212 has taken 20 damage from prop_physics.
[21:10:27]	CCA.C17-GRID.i1.59212 has taken 5 damage from prop_physics.
[21:10:43]	Owen Clark ran 'Equip' on item 'Axe' (#6675)
[21:10:45]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/wheel01.mdl'.
[21:10:45]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/wheel01.mdl'.
[21:10:45]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/wheel01.mdl'.
[21:10:45]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/wheel01.mdl'.
[21:10:45]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/wheel01.mdl'.
[21:10:45]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/wheel01.mdl'.
[21:10:45]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/wheel01.mdl'.
[21:10:45]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/wheel01.mdl'.
[21:10:45]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/wheel01.mdl'.
[21:10:45]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/wheel01.mdl'.
[21:10:45]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/wheel01.mdl'.
[21:10:45]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/wheel01.mdl'.
[21:10:45]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/wheel01.mdl'.
[21:10:45]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/wheel01.mdl'.
[21:10:45]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/wheel01.mdl'.
[21:11:32]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/wheel01.mdl'.
[21:11:32]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/wheel01.mdl'.
[21:11:32]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/wheel01.mdl'.
[21:11:32]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/wheel01.mdl'.
[21:11:32]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/wheel01.mdl'.
[21:11:32]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/wheel01.mdl'.
[21:11:32]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/wheel01.mdl'.
[21:11:32]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/wheel01.mdl'.
[21:11:32]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/wheel01.mdl'.
[21:11:32]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/wheel01.mdl'.
[21:11:32]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/wheel01.mdl'.
[21:11:32]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/wheel01.mdl'.
[21:11:32]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/wheel01.mdl'.
[21:11:32]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/wheel01.mdl'.
[21:11:32]	CCA.C17-GRID.i1.59212 has spawned 'models/props_wasteland/wheel01.mdl'.
[21:11:38]	CCA.C17-GRID.i1.59212 has taken 16 damage from Owen Clark.
[21:11:43]	Owen Clark has taken 500 damage from prop_physics.
[21:11:43]	prop_physics has killed Owen Clark.
[21:11:56]	[OOC] Owen Clark: Kind of want to hop onto the SWRP.
[21:12:11]	[OOC] Owen Clark: MilkyWay you there????
[21:13:08]	[OOC] Andrew Philip: ?
[21:13:20]	[OOC] Owen Clark: Want to get on the SWRP????
[21:13:36]	[OOC] Owen Clark: Project Revival SWRP.
[21:13:41]	[OOC] Andrew Philip: its locked
[21:13:48]	[OOC] Owen Clark: It shouldn't be?
[21:14:19]	[OOC] Owen Clark: Gonna try to get on it.
[21:14:27]	CCA.C17-GRID.i1.59212 has spawned 'models/props_lab/blastdoor001c.mdl'.
[21:14:31]	[OOC] Andrew Philip: do u guys mind looking at my app btw
[21:14:39]	FB|| light ROOM (STEAM_0:1:17219621) has disconnected.
[21:14:39]	[OOC] Andrew Philip: post a +1 or -1
[21:14:55]	CCA.C17-GRID.i1.59212 has spawned 'models/props_lab/blastdoor001c.mdl'.
[21:14:55]	CCA.C17-GRID.i1.59212 has spawned 'models/props_lab/blastdoor001c.mdl'.
[21:14:55]	CCA.C17-GRID.i1.59212 has spawned 'models/props_lab/blastdoor001c.mdl'.
[21:14:55]	CCA.C17-GRID.i1.59212 has spawned 'models/props_lab/blastdoor001c.mdl'.
[21:14:55]	CCA.C17-GRID.i1.59212 has spawned 'models/props_lab/blastdoor001c.mdl'.
[21:14:55]	CCA.C17-GRID.i1.59212 has spawned 'models/props_lab/blastdoor001c.mdl'.
[21:14:55]	CCA.C17-GRID.i1.59212 has spawned 'models/props_lab/blastdoor001c.mdl'.
[21:14:55]	CCA.C17-GRID.i1.59212 has spawned 'models/props_lab/blastdoor001c.mdl'.
[21:14:55]	CCA.C17-GRID.i1.59212 has spawned 'models/props_lab/blastdoor001c.mdl'.
[21:14:55]	CCA.C17-GRID.i1.59212 has spawned 'models/props_lab/blastdoor001c.mdl'.
[21:14:55]	CCA.C17-GRID.i1.59212 has spawned 'models/props_lab/blastdoor001c.mdl'.
[21:14:55]	CCA.C17-GRID.i1.59212 has spawned 'models/props_lab/blastdoor001c.mdl'.
[21:14:55]	CCA.C17-GRID.i1.59212 has spawned 'models/props_lab/blastdoor001c.mdl'.
[21:14:55]	CCA.C17-GRID.i1.59212 has spawned 'models/props_lab/blastdoor001c.mdl'.
[21:14:55]	CCA.C17-GRID.i1.59212 has spawned 'models/props_lab/blastdoor001c.mdl'.
[21:14:58]	CCA.C17-GRID.i1.59212 has spawned 'models/props_lab/blastdoor001c.mdl'.
[21:14:58]	CCA.C17-GRID.i1.59212 has spawned 'models/props_lab/blastdoor001c.mdl'.
[21:14:58]	CCA.C17-GRID.i1.59212 has spawned 'models/props_lab/blastdoor001c.mdl'.
[21:14:58]	CCA.C17-GRID.i1.59212 has spawned 'models/props_lab/blastdoor001c.mdl'.
[21:14:58]	CCA.C17-GRID.i1.59212 has spawned 'models/props_lab/blastdoor001c.mdl'.
[21:14:58]	CCA.C17-GRID.i1.59212 has spawned 'models/props_lab/blastdoor001c.mdl'.
[21:14:58]	CCA.C17-GRID.i1.59212 has spawned 'models/props_lab/blastdoor001c.mdl'.
[21:14:58]	CCA.C17-GRID.i1.59212 has spawned 'models/props_lab/blastdoor001c.mdl'.
[21:14:58]	CCA.C17-GRID.i1.59212 has spawned 'models/props_lab/blastdoor001c.mdl'.
[21:14:58]	CCA.C17-GRID.i1.59212 has spawned 'models/props_lab/blastdoor001c.mdl'.
[21:14:58]	CCA.C17-GRID.i1.59212 has spawned 'models/props_lab/blastdoor001c.mdl'.
[21:14:58]	CCA.C17-GRID.i1.59212 has spawned 'models/props_lab/blastdoor001c.mdl'.
[21:14:58]	CCA.C17-GRID.i1.59212 has spawned 'models/props_lab/blastdoor001c.mdl'.
[21:14:58]	CCA.C17-GRID.i1.59212 has spawned 'models/props_lab/blastdoor001c.mdl'.
[21:14:58]	CCA.C17-GRID.i1.59212 has spawned 'models/props_lab/blastdoor001c.mdl'.
[21:15:18]	CCA.C17-GRID.i1.59212 has gained 10 tokens.
[21:15:24]	DRD (STEAM_0:0:193599766) has disconnected.
[21:24:34]	Doughnut has connected.
[21:26:03]	Doughnut loaded the character 'CCA.C17-JUDGE.i2.69124'
[21:26:08]	[OOC] CCA.C17-JUDGE.i2.69124: e
[21:26:15]	[OOC] Andrew Philip: C
[21:26:40]	[OOC] Andrew Philip: I killed all the NPCs in the sewers
[21:26:41]	CCA.C17-JUDGE.i2.69124 used command '/CharGiveFlag andrew pet'.
[21:26:54]	Andrew Philip has spawned 'models/props_borealis/bluebarrel001.mdl'.
[21:26:55]	CCA.C17-JUDGE.i2.69124 used command '/PlyWhitelist andrew ancin'.
[21:26:58]	CCA.C17-JUDGE.i2.69124 used command '/PlyWhitelist andrew ancil'.
[21:27:02]	CCA.C17-JUDGE.i2.69124 used command '/PlyWhitelist andrew synth'.
[21:27:11]	CCA.C17-JUDGE.i2.69124 used command '/PlyWhitelist andrew bird'.
[21:27:16]	CCA.C17-JUDGE.i2.69124 used command '/PlyWhitelist andrew xenian'.
[21:27:19]	CCA.C17-JUDGE.i2.69124 used command '/PlyWhitelist andrew xen'.
[21:28:11]	CCA.C17-JUDGE.i2.69124 used command '/PlyWhitelist andrew alien'.
[21:28:17]	[OOC] CCA.C17-JUDGE.i2.69124: i think that's right
[21:28:24]	[OOC] CCA.C17-JUDGE.i2.69124: wait
[21:28:26]	[OOC] CCA.C17-JUDGE.i2.69124: maybe
[21:28:33]	CCA.C17-JUDGE.i2.69124 used command '/PlyUnwhitelist andrew alien'.
[21:28:37]	[OOC] Andrew Philip: isn't there like xenian, stalker and other abusive shit
[21:28:43]	[OOC] Andrew Philip: XD
[21:28:57]	[OOC] CCA.C17-JUDGE.i2.69124: i added you for stalker but idk the xenian faction
[21:28:59]	[OOC] Andrew Philip: I'll probably rarely use them
[21:29:05]	CCA.C17-JUDGE.i2.69124 entered observer.
[21:29:12]	[OOC] Andrew Philip: I wonder btw for pet flags just wondering 
[21:29:31]	CCA.C17-JUDGE.i2.69124 used command '/CharGiveFlag STEAM_0:1:118336892 pet'.
[21:29:36]	[OOC] Andrew Philip: are there rules that I should be aware of them 
[21:29:45]	[OOC] CCA.C17-JUDGE.i2.69124: just making sure you get it on all char ( i think it worked)
[21:29:51]	[OOC] Andrew Philip: let me check
[21:29:57]	MilkyWay loaded the character 'Hyo Jeong'
[21:30:02]	[OOC] Hyo Jeong: nop
[21:30:18]	[OOC] CCA.C17-JUDGE.i2.69124: just don't try to break the server, use them minge like outside of downtime, and yeah that's really it
[21:30:21]	CCA.C17-JUDGE.i2.69124 used command '/CharGiveFlag STEAM_0:1:118336892 pet'.
[21:30:22]	[OOC] CCA.C17-JUDGE.i2.69124: there
[21:30:27]	MilkyWay loaded the character 'CCA.C17-UNION.i5.09143'
[21:30:32]	[OOC] CCA.C17-JUDGE.i2.69124: just ask whenever you need em
[21:30:33]	CCA.C17-JUDGE.i2.69124 used command '/CharGiveFlag STEAM_0:1:118336892 pet'.
[21:30:48]	[OOC] CCA.C17-UNION.i5.09143: I'll prob never use them and only use them to enhance people's expirence 
[21:30:57]	MilkyWay loaded the character 'Andrew Philip'
[21:30:59]	[OOC] CCA.C17-JUDGE.i2.69124: mk
[21:31:03]	CCA.C17-JUDGE.i2.69124 has gained 10 tokens.
[21:31:22]	[OOC] Andrew Philip: oh btw the conatiner that was removed before the map change, you mind coming in and spawn it? 
[21:31:35]	CCA.C17-JUDGE.i2.69124 has spawned 'models/props_junk/wood_crate001a_damaged.mdl'.
[21:31:37]	CCA.C17-JUDGE.i2.69124 has spawned 'models/props_junk/wood_crate001a.mdl'.
[21:31:37]	[LOOC] Andrew Philip: wtf
[21:31:43]	[LOOC] Andrew Philip: oh hi
[21:31:46]	CCA.C17-JUDGE.i2.69124 exited observer at their location.
[21:31:50]	CCA.C17-JUDGE.i2.69124 has spawned 'models/props_wasteland/controlroom_storagecloset001a.mdl'.
