[12:07:54]	Mettaton Ex has connected.
[20:17:13]	[ME] CCA.C08-GRID.i3.08313: would proceed to collapse on the street.
[20:17:16]	CCA.C08-GRID.i3.08313 used command '/CharFallOver'.
[20:17:18]	[Y] Carson Copper: Hey buddy!
[20:17:35]	[ME] CCA.C08-GRID.i1.23710: would bend down, checking the GRID's pulse.
[20:17:46]	[ME] CCA.C08-GRID.i3.08313: 's heart would be beating. Seems fine, if a little high.
[20:17:58]	[ME] CCA.C08-GRID.i3.08313: would groan and rub his forehead with his right hand.
[20:18:12]	[OOC] Ethan King: Sometimes I forget how pretty City 08's outlands are.
[20:18:12]	[ME] CCA.C08-GRID.i3.08313: would proceed to stand back up.
[20:18:14]	CCA.C08-GRID.i3.08313 used command '/CharGetUp'.
[20:18:19]	CCA.C08-GRID.i1.23710 used command '/Radio I need a HELIX outside the plaza checkpoint, in front of Kato Cafe.'.
[20:18:22]	[LOOC] CCA.C08-GRID.i1.23710: uh
[20:18:27]	[LOOC] CCA.C08-GRID.i1.23710: radio broke
[20:18:29]	[LOOC] CCA.C08-GRID.i3.08313: yeah
[20:18:31]	[LOOC] CCA.C08-GRID.i3.08313: dw about it
[20:18:33]	CCA.C08-GRID.i1.23710 ran 'Toggle' on item 'Handheld Radio' (#9736)
[20:18:33]	[LOOC] CCA.C08-GRID.i3.08313: can't fix it rn
[20:18:34]	CCA.C08-GRID.i1.23710 ran 'Toggle' on item 'Handheld Radio' (#9736)
[20:18:34]	[LOOC] Carson Copper: is what it is
[20:18:36]	[LOOC] Carson Copper: *E*
[20:18:54]	[ME] CCA.C08-GRID.i3.08313: grips his stunstick tightly, seemingly confused. His posture is restless, nervous.
[20:19:21]	[OOC] Anastasia Ivanovich: I am back
[20:19:27]	[OOC] Ethan King: Wb
[20:19:33]	[OOC] CCA.C08-GRID.i1.23710: hi back im drd
[20:19:35]	CCA.C08-GRID.i3.08313 has gained 10 tokens.
[20:19:37]	[OOC] Anastasia Ivanovich: aside from my face looking stupid with the mask on. My PAC is fine
[20:20:06]	[OOC] Ethan King: Event when
[20:20:08]	[LOOC] CCA.C08-GRID.i1.23710: alzheimer's
[20:20:18]	[ME] Anastasia Ivanovich: mutters "What is going on?"
[20:20:24]	CCA.C08-GRID.i3.08313 entered observer.
[20:20:34]	[LOOC] Anastasia Ivanovich: how do I get rid of the gas mask I always spawn with this?
[20:20:43]	CCA.C08-GRID.i3.08313 used command '/PlySearch'.
[20:20:49]	[LOOC] CCA.C08-GRID.i3.08313: unequip it?
[20:20:51]	[ME] Carson Copper: he notices the officer at this side, and speaks at a more *respectful* tone
[20:21:01]	[LOOC] Anastasia Ivanovich: fuck. nvm
[20:21:04]	CCA.C08-GRID.i3.08313 used command '/PM grid Get really irrationally furious out of nowhere, RP it through a /me so people know it's not just you being a hardass'.
[20:21:24]	CCA.C08-GRID.i3.08313 used command '/PM grid like just irrationally fucking furious, lke somebody sucker punched your infant son'.
[20:21:26]	[ME] Carson Copper: he folds his arms whilst speaking
[20:21:32]	CCA.C08-GRID.i1.23710 entered observer.
[20:21:40]	[ME] Carson Copper: he ponders for a moment
[20:22:12]	CCA.C08-GRID.i1.23710 has gained 10 tokens.
[20:22:32]	CCA.C08-GRID.i1.23710 exited observer at their location.
[20:22:41]	Anastasia Ivanovich used command '/ru So you have no clue...'.
[20:23:56]	CCA.C08-GRID.i3.08313 exited observer at their location.
[20:24:03]	matt saton loaded the character 'James Atley'
[20:24:04]	James Atley entered observer.
[20:24:13]	[LOOC] Carson Copper: just waitin for the *action* behind you
[20:24:53]	[ME] Anastasia Ivanovich: turned around.
[20:24:54]	James Atley used command '/Event The speakers around the city all kick to life. The first thing you hear from them is someone tapping a microwave to make sure it's on. The screens around the city change to show a member of the city ministry, seemingly just having gotten off duty.'.
[20:25:07]	[MEY] CCA.C08-GRID.i1.23710: would walk up to the group, absolutely furiuous. "You three! Move the *FUCK* out of here! Fa' a fare in culo!"
[20:25:21]	[Y] Carson Copper: The what now!?
[20:25:27]	James Atley used command '/Event His tie is untied and around his neck. His suit jacked is unbuttoned except for the bottom two buttons.'.
[20:25:35]	[OOC] James Atley: jacket* fuck
[20:25:45]	James Atley used command '/Broadcast Attention, all razors.'.
[20:25:55]	James Atley used command '/Broadcast We have gotten to be, thank you.'.
[20:25:55]	[OOC] CCA.C08-GRID.i1.23710: shaving time
[20:26:10]	James Atley used command '/Broadcast Please proceed until the next day, after that until then.'.
[20:26:24]	James Atley used command '/Broadcast Unless finding. Good morning.'.
[20:26:29]	James Atley used command '/Event The time is around 7:00 PM.'.
[20:26:35]	[OOC] Ethan King: Oh my
[20:26:41]	[ME] CCA.C08-GRID.i1.23710: would raise his stunstick, like he was about to hit them. "Stronza! Move further!"
[20:26:52]	CCA.C08-GRID.i1.23710 used command '/ToggleRaise'.
[20:27:12]	CCA.C08-GRID.i1.23710 has gained 10 tokens.
[20:27:25]	CCA.C08-GRID.i1.23710 used command '/ToggleRaise'.
[20:27:29]	James Atley used command '/Event The screens turn back to their normal displays. The speakers around the city return to their normal propaganda spouting.'.
[20:27:33]	James Atley exited observer at their location.
[20:27:33]	James Atley has taken 1 damage from worldspawn.
[20:27:34]	James Atley has taken 1 damage from worldspawn.
[20:27:34]	James Atley has taken 1 damage from worldspawn.
[20:27:35]	James Atley has taken 1 damage from worldspawn.
[20:27:36]	James Atley has taken 1 damage from worldspawn.
[20:27:37]	James Atley has taken 1 damage from worldspawn.
[20:27:37]	James Atley has taken 1 damage from worldspawn.
[20:27:38]	James Atley has taken 1 damage from worldspawn.
[20:27:39]	James Atley has taken 1 damage from worldspawn.
[20:27:40]	James Atley has taken 1 damage from worldspawn.
[20:27:40]	James Atley has taken 1 damage from worldspawn.
[20:27:41]	James Atley has taken 1 damage from worldspawn.
[20:27:42]	James Atley has taken 1 damage from worldspawn.
[20:27:43]	James Atley has taken 1 damage from worldspawn.
[20:27:43]	CCA.C08-GRID.i1.23710 entered observer.
[20:27:43]	James Atley has taken 1 damage from worldspawn.
[20:27:44]	James Atley has taken 1 damage from worldspawn.
[20:27:45]	James Atley has taken 1 damage from worldspawn.
[20:27:46]	James Atley has taken 1 damage from worldspawn.
[20:27:46]	James Atley has taken 1 damage from worldspawn.
[20:27:47]	James Atley has taken 1 damage from worldspawn.
[20:27:48]	James Atley has taken 1 damage from worldspawn.
[20:27:49]	James Atley has taken 1 damage from worldspawn.
[20:27:49]	James Atley has taken 1 damage from worldspawn.
[20:27:50]	James Atley has taken 1 damage from worldspawn.
[20:27:51]	James Atley has taken 1 damage from worldspawn.
[20:27:52]	James Atley has taken 1 damage from worldspawn.
[20:27:53]	James Atley has taken 1 damage from worldspawn.
[20:27:53]	James Atley has taken 1 damage from worldspawn.
[20:27:53]	[ME] Anastasia Ivanovich: shrugged.
[20:27:54]	James Atley has taken 1 damage from worldspawn.
[20:27:55]	James Atley has taken 1 damage from worldspawn.
[20:27:56]	James Atley has taken 1 damage from worldspawn.
[20:27:56]	James Atley has taken 1 damage from worldspawn.
[20:27:57]	James Atley has taken 1 damage from worldspawn.
[20:27:58]	James Atley has taken 1 damage from worldspawn.
[20:27:59]	James Atley has taken 1 damage from worldspawn.
[20:27:59]	James Atley has taken 1 damage from worldspawn.
[20:28:00]	James Atley has taken 1 damage from worldspawn.
[20:28:01]	matt saton loaded the character 'OTA.S08-SENTINEL.85100'
[20:28:03]	OTA.S08-SENTINEL.85100 entered observer.
[20:28:07]	Anastasia Ivanovich used command '/ru Usual day in my motherland.'.
[20:28:10]	OTA.S08-SENTINEL.85100 exited observer at their location.
[20:28:10]	OTA.S08-SENTINEL.85100 entered observer.
[20:28:11]	OTA.S08-SENTINEL.85100 exited observer at their location.
[20:28:20]	OTA.S08-SENTINEL.85100 entered observer.
[20:28:22]	OTA.S08-SENTINEL.85100 exited observer at their location.
[20:28:24]	OTA.S08-SENTINEL.85100 entered observer.
[20:28:27]	OTA.S08-SENTINEL.85100 exited observer at their location.
[20:28:28]	OTA.S08-SENTINEL.85100 entered observer.
[20:28:28]	OTA.S08-SENTINEL.85100 exited observer at their location.
[20:28:28]	OTA.S08-SENTINEL.85100 entered observer.
[20:28:29]	OTA.S08-SENTINEL.85100 exited observer at their location.
[20:28:49]	[ME] Anastasia Ivanovich: shrugged.
[20:29:12]	CCA.C08-GRID.i1.23710 exited observer at their location.
[20:29:20]	CCA.C08-GRID.i1.23710 entered observer.
[20:29:27]	CCA.C08-GRID.i1.23710 exited observer at their location.
[20:29:31]	CCA.C08-GRID.i1.23710 entered observer.
[20:29:32]	[IT] OTA.S08-SENTINEL.85100: The large creature would approach behind the three of them, making loud noises with each tap of its foot on the ground.
[20:29:44]	[Y] Carson Copper: Woah!
[20:29:49]	[ME] Anastasia Ivanovich: yelped "OI BLYAT!"
[20:29:51]	[ME] Carson Copper: he screams for a moment, and recoils back
[20:29:55]	[IT] OTA.S08-SENTINEL.85100: It seems to be making labored breathing sounds, although it sounds more mechanical than anything else.
[20:29:56]	[Y] Carson Copper: Agh!
[20:30:18]	[IT] OTA.S08-SENTINEL.85100: It proceeds to speak in a low, grumbly, monotonous voice. Imagine gargling while speaking, that's how it sounds.
[20:30:44]	[ME] Carson Copper: he instinctively reaches for something in his pouches, but struggles to pull something out... "Agh-! Forget it!" 
[20:31:15]	[LOOC] OTA.S08-SENTINEL.85100: holy fuck i am massive
[20:31:19]	[ME] Carson Copper: he would turn back to face the other way and begin to rush out
[20:31:19]	[LOOC] Anastasia Ivanovich: chonker
[20:31:22]	[LOOC] Carson Copper: ye u a big boi
[20:31:30]	[Y] Carson Copper: Ruuuuun!
[20:31:36]	[ME] Anastasia Ivanovich: merely watched carson run
[20:32:05]	OTA.S08-SENTINEL.85100 entered observer.
[20:32:06]	OTA.S08-SENTINEL.85100 exited observer at their location.
[20:32:12]	CCA.C08-GRID.i1.23710 has gained 10 tokens.
[20:32:14]	[OOC] Carson Copper: poof
[20:32:14]	OTA.S08-SENTINEL.85100 entered observer.
[20:32:15]	OTA.S08-SENTINEL.85100 exited observer at their location.
[20:32:16]	OTA.S08-SENTINEL.85100 entered observer.
[20:32:17]	OTA.S08-SENTINEL.85100 exited observer at their location.
[20:32:17]	OTA.S08-SENTINEL.85100 entered observer.
[20:32:18]	OTA.S08-SENTINEL.85100 exited observer at their location.
[20:32:22]	OTA.S08-SENTINEL.85100 entered observer.
[20:32:27]	OTA.S08-SENTINEL.85100 exited observer at their location.
[20:32:27]	[OOC] Anastasia Ivanovich: I too typically go blind when I go to my apartment bloc
[20:32:30]	[OOC] OTA.S08-SENTINEL.85100: sorry
[20:32:42]	CCA.C08-GRID.i1.23710 exited observer at their location.
[20:32:50]	CCA.C08-GRID.i1.23710 entered observer.
[20:32:51]	CCA.C08-GRID.i1.23710 exited observer at their location.
[20:32:52]	CCA.C08-GRID.i1.23710 entered observer.
[20:32:52]	CCA.C08-GRID.i1.23710 exited observer at their location.
[20:33:14]	[Y] Carson Copper: Yess'ir!
[20:33:24]	OTA.S08-SENTINEL.85100 entered observer.
[20:33:24]	OTA.S08-SENTINEL.85100 exited observer at their location.
[20:33:29]	[Y] OTA.S08-SENTINEL.85100: Citizen.
[20:33:30]	[Y] OTA.S08-SENTINEL.85100: Get.
[20:33:31]	[Y] OTA.S08-SENTINEL.85100: In.
[20:33:32]	[Y] OTA.S08-SENTINEL.85100: Collation.
[20:33:33]	[Y] OTA.S08-SENTINEL.85100: Now.
[20:33:43]	CCA.C08-GRID.i1.23710 entered observer.
[20:33:44]	[ME] OTA.S08-SENTINEL.85100: would crouch down to get through the doorframe.
[20:34:06]	OTA.S08-SENTINEL.85100 entered observer.
[20:34:06]	OTA.S08-SENTINEL.85100 exited observer at their location.
[20:34:21]	OTA.S08-SENTINEL.85100 entered observer.
[20:34:37]	CCA.C08-GRID.i1.23710 exited observer at their location.
[20:34:38]	CCA.C08-GRID.i1.23710 entered observer.
[20:34:39]	OTA.S08-SENTINEL.85100 exited observer at their location.
[20:34:40]	CCA.C08-GRID.i1.23710 exited observer at their location.
[20:35:02]	OTA.S08-SENTINEL.85100 entered observer.
[20:35:15]	OTA.S08-SENTINEL.85100 exited observer at their location.
[20:35:15]	OTA.S08-SENTINEL.85100 entered observer.
[20:35:16]	OTA.S08-SENTINEL.85100 exited observer at their location.
[20:35:36]	[LOOC] CCA.C08-GRID.i1.23710: the doors are glowing white
[20:35:40]	[LOOC] CCA.C08-GRID.i1.23710: i cannot read them
[20:35:40]	[LOOC] OTA.S08-SENTINEL.85100: mat_specular 0
[20:35:50]	OTA.S08-SENTINEL.85100 entered observer.
[20:35:51]	OTA.S08-SENTINEL.85100 exited observer at their location.
[20:36:11]	[Y] OTA.S08-SENTINEL.85100: Up. Stairs.
[20:36:30]	[Y] OTA.S08-SENTINEL.85100: Get.
[20:36:32]	[Y] OTA.S08-SENTINEL.85100: In.
[20:36:32]	[Y] OTA.S08-SENTINEL.85100: Now.
[20:36:58]	[W] Carson Copper: *Man* that thing is scary.
[20:37:05]	OTA.S08-SENTINEL.85100 entered observer.
[20:37:12]	CCA.C08-GRID.i1.23710 has gained 10 tokens.
[20:37:38]	CCA.C08-GRID.i1.23710 entered observer.
[20:37:40]	CCA.C08-GRID.i1.23710 exited observer at their location.
[20:38:25]	OTA.S08-SENTINEL.85100 used command '/Event You see a thin aircraft flying very close to City 8. Very low.'.
[20:38:27]	[Y] Anastasia Ivanovich: Um...
[20:38:57]	OTA.S08-SENTINEL.85100 used command '/Event Upon looking, you see it's some kind of manned dropship.'.
[20:39:02]	[OOC] Ethan King: What if I deny the existence of the dropship?
[20:39:05]	[LOOC] CCA.C08-GRID.i1.23710: sorry lol
[20:39:31]	FB|| light ROOM loaded the character 'CCA.C08-QrM.98240'
[20:39:41]	CCA.C08-QrM.98240 used command '/Radio QrM is 10-8, standing by.'.
[20:40:28]	[LOOC] CCA.C08-QrM.98240: Wha
[20:40:42]	OTA.S08-SENTINEL.85100 used command '/Event This manned dropship would proceeed to land on the bridge, being a near perfect fit for it. A flap would open.'.
[20:40:57]	OTA.S08-SENTINEL.85100 used command '/Event An interior with seats would be behind the door.'.
[20:41:33]	OTA.S08-SENTINEL.85100 exited observer at their location.
[20:41:42]	[Y] OTA.S08-SENTINEL.85100: Get.
[20:41:43]	[Y] OTA.S08-SENTINEL.85100: In.
[20:41:44]	[Y] OTA.S08-SENTINEL.85100: Now.
[20:41:54]	[Y] OTA.S08-SENTINEL.85100: No.
[20:41:57]	[Y] OTA.S08-SENTINEL.85100: In.
[20:41:58]	[Y] OTA.S08-SENTINEL.85100: The.
[20:41:59]	[Y] OTA.S08-SENTINEL.85100: Ship.
[20:42:01]	[Y] OTA.S08-SENTINEL.85100: Now.
[20:42:09]	[LOOC] CCA.C08-QrM.98240: What
[20:42:12]	CCA.C08-GRID.i1.23710 has gained 10 tokens.
[20:42:13]	OTA.S08-SENTINEL.85100 entered observer.
[20:42:13]	OTA.S08-SENTINEL.85100 exited observer at their location.
[20:42:18]	OTA.S08-SENTINEL.85100 used command '/CharGiveFlag sentinel petncr'.
[20:42:20]	OTA.S08-SENTINEL.85100 has spawned 'models/props_vehicles/wagon001a_phy.mdl'.
[20:42:25]	[LOOC] Carson Copper: on the bridge OOC, right?
[20:42:29]	OTA.S08-SENTINEL.85100 has spawned 'models/hunter/plates/plate2x5.mdl'.
[20:42:31]	CCA.C08-GRID.i1.23710 has spawned 'models/combine_dropship_container.mdl'.
[20:42:31]	[LOOC] CCA.C08-QrM.98240: I believe so.
[20:42:31]	OTA.S08-SENTINEL.85100 entered observer.
[20:42:32]	[LOOC] Carson Copper: the dropship aircraft thingy
[20:42:32]	OTA.S08-SENTINEL.85100 exited observer at their location.
[20:42:32]	OTA.S08-SENTINEL.85100 entered observer.
[20:42:33]	OTA.S08-SENTINEL.85100 exited observer at their location.
[20:42:39]	OTA.S08-SENTINEL.85100 has spawned 'models/hunter/plates/plate2x5.mdl'.
[20:42:39]	CCA.C08-GRID.i1.23710 has spawned 'models/combine_dropship_container.mdl'.
[20:42:43]	[LOOC] Carson Copper: *Works for me*
[20:42:51]	[OOC] OTA.S08-SENTINEL.85100: just /me getting on
[20:42:57]	[ME] Anastasia Ivanovich: gets in
[20:43:17]	[ME] CCA.C08-GRID.i1.23710: in gets
[20:43:23]	[ME] CCA.C08-QrM.98240: Starts getting into the ship.
[20:43:23]	[ME] Carson Copper: he lunges into one of the seats, and takes a seat near the front whilst opening a cold consul water at his side, "This'll be a good one- I haven't flown in ages!"
[20:43:31]	[LOOC] CCA.C08-GRID.i1.23710: zoom zoom
[20:43:44]	OTA.S08-SENTINEL.85100 used command '/Event The door would close. The ship would fly upwards. This goes somewhere, I swear.'.
[20:43:52]	OTA.S08-SENTINEL.85100 used command '/Event You'll get more exposition next map.'.
[20:43:56]	OTA.S08-SENTINEL.85100 used command '/Event For now...'.
[20:44:03]	[OOC] CCA.C08-GRID.i1.23710: MY EYES
[20:44:07]	[OOC] OTA.S08-SENTINEL.85100: sorry about the blind color i know it's bad
[20:44:30]	OTA.S08-SENTINEL.85100 entered observer.
[20:44:31]	CCA.C08-QrM.98240 has gained 10 tokens.
[20:44:49]	OTA.S08-SENTINEL.85100 exited observer at their location.
[20:44:53]	OTA.S08-SENTINEL.85100 entered observer.
[20:45:00]	[OOC] CCA.C08-GRID.i1.23710: wait when rain gets on my mask
[20:45:02]	[OOC] CCA.C08-GRID.i1.23710: i can see
[20:45:26]	OTA.S08-SENTINEL.85100 used command '/Event You're on there for.... what, three hours? Two? Twelve? It's hard to say. It's long.'.
[20:45:43]	[ME] Anastasia Ivanovich: was snoring.
[20:45:53]	[IT] Anastasia Ivanovich: Loudly...
[20:46:12]	OTA.S08-SENTINEL.85100 used command '/Event Somewhere into the trip, you hear a frantic voice on some speakers where you're standing.'.
[20:46:14]	[ME] Anastasia Ivanovich: is asleep and could not shut up.
[20:46:19]	[ME] CCA.C08-GRID.i1.23710: would snore even *louder*
[20:46:22]	[ME] Nova Wrenrey: wants to sleep
[20:46:49]	[ME] Anastasia Ivanovich: wakes up to the sound of stupid speakers
[20:46:59]	[ME] CCA.C08-QrM.98240: Would look up after hearing the speakers.
[20:47:12]	CCA.C08-GRID.i1.23710 has gained 10 tokens.
[20:48:11]	[LOOC] CCA.C08-GRID.i1.23710: sentinel
[20:48:46]	[ME] Anastasia Ivanovich: muttered under her breath "Should have been a Conscript..."
[20:49:03]	OTA.S08-SENTINEL.85100 used command '/Event You hear the engines stop. Your direction feels like it's changing. Are you going down?'.
[20:49:37]	[ME] CCA.C08-QrM.98240: Would look down, wondering what the fuck is happening.
[20:49:46]	CCA.C08-QrM.98240 used command '/fr Shut up.'.
[20:49:51]	Anastasia Ivanovich used command '/ru We're fucked...'.
[20:49:53]	[LOOC] CCA.C08-GRID.i1.23710: porco*
[20:50:35]	[OOC] OTA.S08-SENTINEL.85100: but first, one more /event
[20:50:35]	[ME] OTA.S08-SENTINEL.85100: would take out his combat knife and cut the individual's ties.
[20:50:44]	[ME] CCA.C08-QrM.98240: Does not resist.
[20:50:46]	[LOOC] CCA.C08-QrM.98240: Void
[20:50:52]	[LOOC] Anastasia Ivanovich: hot?
[20:50:56]	[LOOC] CCA.C08-QrM.98240: YUES
[20:50:58]	[LOOC] CCA.C08-QrM.98240: No
[20:51:00]	[LOOC] Carson Copper: No! Keep my tied! Agh!
[20:51:03]	[ME] CCA.C08-GRID.i1.23710: attempts to tie the subject (resist?)
[20:51:03]	[LOOC] CCA.C08-QrM.98240: Maybe?
[20:51:08]	[ME] CCA.C08-QrM.98240: Resists
[20:51:10]	[ME] CCA.C08-GRID.i1.23710: takes a photograph of the citizen, with a bright flash
[20:51:10]	[LOOC] Anastasia Ivanovich: bruh moment
[20:52:04]	OTA.S08-SENTINEL.85100 used command '/Event A crash.'.
[20:57:21]	matt saton has connected.
[20:57:26]	FB|| light ROOM has connected.
[20:57:45]	Spooky Wolf has connected.
[20:57:54]	FB|| light ROOM loaded the character 'CCA.C08-QrM.98240'
[20:58:12]	matt saton loaded the character 'OTA.WCT-ECHO:ORD.19659'
[20:58:13]	OTA.WCT-ECHO:ORD.19659 entered observer.
[20:58:16]	[OOC] OTA.WCT-ECHO:ORD.19659: sup
[20:58:20]	[OOC] CCA.C08-QrM.98240: Yo
[20:58:29]	[OOC] CCA.C08-QrM.98240: I like this map.
[20:58:34]	[OOC] CCA.C08-QrM.98240: I remember fucking around on it.
[20:58:38]	[OOC] OTA.WCT-ECHO:ORD.19659: it's a restored/improved beta map
[20:58:51]	Spooky Wolf loaded the character 'Anastasia Ivanovich'
[20:59:30]	OTA.S71.ECHO:ORD.19659 used command '/CharSetName ord OTA.S71.ECHO:ORD.19659'.
[20:59:36]	[OOC] OTA.S71.ECHO:ORD.19659: SUP
[21:00:06]	[OOC] CCA.C08-QrM.98240: No
[21:00:12]	OTA.S71.ECHO:ORD.19659 exited observer at their location.
[21:00:19]	OTA.S71.ECHO:ORD.19659 used command '/SpawnAdd civil'.
[21:00:19]	OTA.S71.ECHO:ORD.19659 used command '/SpawnAdd civil'.
[21:00:20]	OTA.S71.ECHO:ORD.19659 used command '/SpawnAdd civil'.
[21:00:21]	OTA.S71.ECHO:ORD.19659 used command '/SpawnAdd civil'.
[21:00:22]	OTA.S71.ECHO:ORD.19659 used command '/SpawnAdd civil'.
[21:00:23]	OTA.S71.ECHO:ORD.19659 used command '/SpawnAdd civil'.
[21:00:26]	OTA.S71.ECHO:ORD.19659 used command '/SpawnAdd civil'.
[21:00:29]	OTA.S71.ECHO:ORD.19659 used command '/SpawnAdd civil'.
[21:00:30]	OTA.S71.ECHO:ORD.19659 used command '/SpawnAdd civil'.
[21:00:34]	hnbug01 has connected.
[21:00:37]	OTA.S71.ECHO:ORD.19659 used command '/SpawnAdd citizen'.
[21:00:37]	OTA.S71.ECHO:ORD.19659 used command '/SpawnAdd citizen'.
[21:00:38]	OTA.S71.ECHO:ORD.19659 used command '/SpawnAdd citizen'.
[21:00:38]	OTA.S71.ECHO:ORD.19659 used command '/SpawnAdd citizen'.
[21:00:39]	OTA.S71.ECHO:ORD.19659 used command '/SpawnAdd citizen'.
[21:00:40]	OTA.S71.ECHO:ORD.19659 used command '/SpawnAdd citizen'.
[21:00:40]	OTA.S71.ECHO:ORD.19659 used command '/SpawnAdd citizen'.
[21:00:41]	OTA.S71.ECHO:ORD.19659 used command '/SpawnAdd citizen'.
[21:00:42]	OTA.S71.ECHO:ORD.19659 used command '/SpawnAdd citizen'.
[21:00:44]	OTA.S71.ECHO:ORD.19659 used command '/SpawnAdd citizen'.
[21:00:44]	OTA.S71.ECHO:ORD.19659 used command '/SpawnAdd citizen'.
[21:00:45]	OTA.S71.ECHO:ORD.19659 used command '/SpawnAdd citizen'.
[21:00:47]	OTA.S71.ECHO:ORD.19659 entered observer.
[21:00:52]	OTA.S71.ECHO:ORD.19659 has spawned 'models/hunter/plates/plate3x3.mdl'.
[21:01:03]	[ME] OTA.S71.ECHO:ORD.19659: would take out his combat knife and cut the individual's ties.
[21:01:09]	OTA.S71.ECHO:ORD.19659 has spawned 'models/hunter/plates/plate5x5.mdl'.
[21:01:21]	OTA.S71.ECHO:ORD.19659 exited observer at their location.
[21:01:22]	OTA.S71.ECHO:ORD.19659 entered observer.
[21:01:22]	OTA.S71.ECHO:ORD.19659 exited observer at their location.
[21:01:23]	OTA.S71.ECHO:ORD.19659 entered observer.
[21:01:39]	OTA.S71.ECHO:ORD.19659 exited observer at their location.
[21:01:53]	OTA.S71.ECHO:ORD.19659 entered observer.
[21:01:57]	OTA.S71.ECHO:ORD.19659 exited observer at their location.
[21:01:57]	OTA.S71.ECHO:ORD.19659 entered observer.
[21:01:58]	OTA.S71.ECHO:ORD.19659 exited observer at their location.
[21:01:59]	OTA.S71.ECHO:ORD.19659 entered observer.
[21:01:59]	OTA.S71.ECHO:ORD.19659 exited observer at their location.
[21:02:00]	OTA.S71.ECHO:ORD.19659 entered observer.
[21:02:00]	OTA.S71.ECHO:ORD.19659 exited observer at their location.
[21:02:01]	OTA.S71.ECHO:ORD.19659 entered observer.
[21:02:01]	OTA.S71.ECHO:ORD.19659 exited observer at their location.
[21:02:02]	[ME] OTA.S71.ECHO:ORD.19659: would proceed to tie the individual. Would they resist?
[21:02:05]	OTA.S71.ECHO:ORD.19659 entered observer.
[21:02:34]	hnbug01 loaded the character 'Feng Yi 'Eric' Hseuh'
[21:02:49]	[LOOC] CCA.C08-QrM.98240: I don't consent to this.
[21:02:54]	CCA.C08-QrM.98240 has gained 10 tokens.
[21:02:59]	OTA.S71.ECHO:ORD.19659 exited observer at their location.
[21:02:59]	OTA.S71.ECHO:ORD.19659 entered observer.
[21:03:00]	OTA.S71.ECHO:ORD.19659 exited observer at their location.
[21:03:00]	OTA.S71.ECHO:ORD.19659 entered observer.
[21:03:01]	OTA.S71.ECHO:ORD.19659 exited observer at their location.
[21:03:02]	OTA.S71.ECHO:ORD.19659 entered observer.
[21:03:23]	[LOOC] CCA.C08-QrM.98240: Imma wait for everybody before RP shit.
[21:03:25]	devilsurvivor45 has connected.
[21:03:38]	CCA.C08-QrM.98240 has taken 1 damage from env_fire.
[21:03:43]	[LOOC] CCA.C08-QrM.98240: Ow
[21:03:44]	[LOOC] Anastasia Ivanovich: bruh
[21:03:47]	Anastasia Ivanovich has taken 1 damage from env_fire.
[21:03:59]	[LOOC] Anastasia Ivanovich: hit it like you hit your wife
[21:04:02]	[LOOC] CCA.C08-QrM.98240: If I hit it perhaps it'll cease existence?
[21:04:03]	OTA.S71.ECHO:ORD.19659 has spawned 'models/player/combine_watch.mdl'.
[21:04:06]	OTA.S71.ECHO:ORD.19659 has spawned 'models/combine_watch.mdl'.
[21:04:11]	OTA.S71.ECHO:ORD.19659 has spawned 'models/combine_watch.mdl'.
[21:04:14]	[LOOC] CCA.C08-QrM.98240: Shit
[21:04:21]	Anastasia Ivanovich has taken 1 damage from env_fire.
[21:04:29]	OTA.S71.ECHO:ORD.19659 has spawned 'models/combine_ground.mdl'.
[21:04:39]	OTA.S71.ECHO:ORD.19659 has spawned 'models/combine_ground.mdl'.
[21:05:40]	[OOC] CCA.C08-QrM.98240: Ever just feel like shit?
[21:05:43]	[OOC] OTA.S71.ECHO:ORD.19659: always
[21:05:45]	[OOC] Anastasia Ivanovich: yes
[21:05:53]	[OOC] CCA.C08-QrM.98240: Currently feeling like shit.
[21:05:56]	[OOC] OTA.S71.ECHO:ORD.19659: what's wrong
[21:06:06]	[OOC] CCA.C08-QrM.98240: I just feel like shit, nothing specific.
[21:06:29]	[OOC] CCA.C08-QrM.98240: My entire existence is just a bit below average currently.
[21:06:47]	OTA.S71.ECHO:ORD.19659 exited observer at their location.
[21:06:47]	OTA.S71.ECHO:ORD.19659 entered observer.
[21:06:47]	OTA.S71.ECHO:ORD.19659 exited observer at their location.
[21:06:52]	OTA.S71.ECHO:ORD.19659 entered observer.
[21:06:52]	OTA.S71.ECHO:ORD.19659 exited observer at their location.
[21:07:03]	devilsurvivor45 loaded the character 'Nova Wrenrey'
[21:07:13]	[OOC] CCA.C08-QrM.98240: Below average in the same way watching you try to prop a ragdoll with below average skills.
[21:07:23]	OTA.S71.ECHO:ORD.19659 entered observer.
[21:07:30]	OTA.S71.ECHO:ORD.19659 has spawned 'models/combine_ground.mdl'.
[21:07:34]	[OOC] CCA.C08-QrM.98240: That is a massive amount of blood.
[21:07:46]	[OOC] CCA.C08-QrM.98240: Also now I feel bad for saying you have below average skills.
[21:07:51]	[OOC] OTA.S71.ECHO:ORD.19659: you're fine i do
[21:07:54]	CCA.C08-QrM.98240 has gained 10 tokens.
[21:07:57]	[OOC] OTA.S71.ECHO:ORD.19659: lmao no offense taken
[21:08:27]	[OOC] OTA.S71.ECHO:ORD.19659: so is this everoyne
