[00:46:29]	Bean has connected.
[12:29:46]	Matthew Freeman used command '/CharGetUp'.
[12:29:47]	Matthew Freeman used command '/CharGetUp'.
[12:29:54]	Matthew Freeman used command '/CharGetUp'.
[12:30:01]	Alex Palovichov has gained a 'Rope' #25230.
[12:30:05]	twitch_subbot (STEAM_0:0:585787645) has disconnected.
[12:30:06]	Alex Palovichov ran 'drop' on item 'Rope' (#25230)
[12:30:06]	Alex Palovichov has lost a 'Rope' #25230.
[12:30:07]	Alex Palovichov ran 'take' on item 'Rope' (#25230)
[12:30:07]	Alex Palovichov has gained a 'Rope' #25230.
[12:30:41]	Alex Palovichov has gained a 'Power Supply Unit' #25231.
[12:30:52]	Alex Palovichov ran 'combine' on item 'Thermobag' (#25180)
[12:30:54]	Alex Palovichov ran 'combine' on item 'Thermobag' (#25180)
[12:31:13]	Alex Palovichov has gained a 'Rope' #25232.
[12:31:17]	Alex Palovichov has gained a 'Empty Milk Gallon' #25233.
[12:31:17]	[OOC] Robbert Garth: back
[12:31:20]	Alex Palovichov opened the '' #239 container.
[12:31:22]	Alex Palovichov closed the '' #239 container.
[12:31:26]	[OOC] Alex Palovichov: Ah yes...My pipe rope
[12:31:35]	[OOC] Robbert Garth: Vortapp updated and posted
[12:32:02]	[OOC] Robbert Garth: correction CAC.VORTIPODE App
[12:32:07]	Robbert Garth has taken 1 damage from worldspawn.
[12:32:07]	Robbert Garth has taken 1 damage from worldspawn.
[12:32:18]	Robbert Garth ran 'Equip' on item 'Green Citizen Suit' (#21499)
[12:32:19]	Robbert Garth ran 'EquipUn' on item 'Combine Worker Suit' (#24618)
[12:32:20]	Robbert Garth ran 'Equip' on item 'Green Citizen Suit' (#21499)
[12:32:43]	Alex Palovichov opened the '' #235 container.
[12:32:45]	Alex Palovichov closed the '' #235 container.
[12:33:03]	Robbert Garth used the 'Shopkeeper' vendor.
[12:33:08]	Robbert Garth has lost 50 tokens.
[12:33:08]	Robbert Garth has gained a 'Respirator' #25234.
[12:33:16]	Robbert Garth ran 'EquipUn' on item 'Green Citizen Suit' (#21499)
[12:33:17]	Robbert Garth ran 'Equip' on item 'Respirator' (#25234)
[12:33:28]	Alex Palovichov ran 'View' on item 'Notepad' (#3034)
[12:33:32]	Alex Palovichov ran 'View' on item 'Notepad' (#3069)
[12:33:43]	Robbert Garth has gained a 'Scrap Plastic' #25235.
[12:33:49]	Robbert Garth ran 'drop' on item 'Scrap Plastic' (#25235)
[12:33:49]	Robbert Garth has lost a 'Scrap Plastic' #25235.
[12:34:03]	Robbert Garth has gained a 'AA Battery' #25236.
[12:34:06]	Robbert Garth has gained a 'Graphics Card' #25237.
[12:34:23]	Alex Palovichov has gained a 'Cinderblock' #25238.
[12:34:27]	Alex Palovichov has gained a 'Roubles' #25239.
[12:34:31]	Alex Palovichov ran 'combine' on item 'Thermobag' (#25180)
[12:34:32]	Alex Palovichov ran 'combine' on item 'Thermobag' (#25180)
[12:34:39]	Alex Palovichov ran 'combine' on item 'Thermobag' (#25180)
[12:34:52]	Robbert Garth opened the '' #240 container.
[12:34:53]	Robbert Garth closed the '' #240 container.
[12:34:54]	Robbert Garth opened the '' #240 container.
[12:34:59]	moe has connected.
[12:35:00]	Robbert Garth closed the '' #240 container.
[12:35:59]	Alex Palovichov ran 'View' on item 'Paper' (#25193)
[12:36:06]	Alex Palovichov ran 'Edit' on item 'Paper' (#25193)
[12:36:32]	Robbert Garth has gained a 'Pin' #25241.
[12:37:20]	Robbert Garth ran 'drop' on item 'Pliers' (#24429)
[12:37:20]	Robbert Garth has lost a 'Pliers' #24429.
[12:37:26]	Robbert Garth ran 'drop' on item 'Pin' (#25241)
[12:37:26]	Robbert Garth has lost a 'Pin' #25241.
[12:37:32]	Robbert Garth ran 'take' on item 'Pipe' (#25240)
[12:37:32]	Robbert Garth has gained a 'Pipe' #25240.
[12:37:35]	Robbert Garth ran 'Equip' on item 'Pipe' (#25240)
[12:37:47]	[OOC] Alex Palovichov: Wait yeah really...How do you use the crafting menu?
[12:38:08]	Robbert Garth opened the '' #2456 container.
[12:38:08]	[OOC] Alex Palovichov: There are legit like jack shit you can do with it...Are recipes like whitelisted or something?
[12:38:15]	Robbert Garth closed the '' #2456 container.
[12:38:36]	[OOC] Robbert Garth: Im not sure on it
[12:38:44]	Robbert Garth ran 'View' on item 'Paper' (#24266)
[12:39:20]	Alex Palovichov opened the '' #2385 container.
[12:39:22]	Alex Palovichov closed the '' #2385 container.
[12:39:26]	Alex Palovichov opened the '' #2383 container.
[12:39:28]	Alex Palovichov has gained a 'Padlock' #25224.
[12:39:31]	Robbert Garth ran 'EquipUn' on item 'Pipe' (#25240)
[12:39:32]	Robbert Garth ran 'drop' on item 'Pipe' (#25240)
[12:39:32]	Robbert Garth has lost a 'Pipe' #25240.
[12:39:36]	Alex Palovichov closed the '' #2383 container.
[12:39:44]	Alex Palovichov opened the '' #2383 container.
[12:39:49]	Alex Palovichov closed the '' #2383 container.
[12:39:51]	Alex Palovichov ran 'Use' on item 'Padlock' (#25224)
[12:39:57]	moe loaded the character 'CCA.C17-UNION.i5.07722'
[12:40:04]	Alex Palovichov ran 'View' on item 'Notepad' (#25186)
[12:40:07]	Alex Palovichov ran 'Edit' on item 'Paper' (#24871)
[12:40:17]	CCA.C17-UNION.i5.07722 used command '/Radio Unit 07722 10-8.'.
[12:40:57]	Robbert Garth opened the '' #239 container.
[12:40:59]	Robbert Garth closed the '' #239 container.
[12:41:38]	Alex Palovichov ran 'drop' on item 'Roubles' (#25239)
[12:41:38]	Alex Palovichov has lost a 'Roubles' #25239.
[12:42:00]	[OOC] Jackson Steere: gremlin
[12:42:03]	[OOC] Jackson Steere: it's gamer time
[12:42:04]	[OOC] Robbert Garth: Gaming
[12:42:10]	[OOC] Jackson Steere: Q how ya doin bud
[12:42:12]	Robbert Garth has gained a 'Boot' #25242.
[12:42:18]	Alex Palovichov ran 'take' on item 'Roubles' (#25239)
[12:42:18]	Alex Palovichov has gained a 'Roubles' #25239.
[12:42:20]	[OOC] Robbert Garth: read
[12:42:29]	Robbert Garth ran 'drop' on item 'Boot' (#25242)
[12:42:29]	Robbert Garth has lost a 'Boot' #25242.
[12:42:35]	[OOC] Jackson Steere: in gen?
[12:42:48]	[OOC] Jackson Steere: a I see
[12:42:52]	Alex Palovichov ran 'take' on item 'Scrap Plastic' (#25235)
[12:42:52]	Alex Palovichov has gained a 'Scrap Plastic' #25235.
[12:43:30]	Jackson Steere ran 'take' on item 'Pipe' (#25240)
[12:43:39]	Jackson Steere ran 'take' on item 'Pipe' (#25240)
[12:43:39]	Jackson Steere has gained a 'Pipe' #25240.
[12:43:42]	Jackson Steere ran 'Equip' on item 'Pipe' (#25240)
[12:43:53]	Jackson Steere ran 'EquipUn' on item 'Pipe' (#25240)
[12:44:04]	Alex Palovichov opened the 'Padlocked ' #2383 container.
[12:44:06]	Alex Palovichov has gained a 'Power Supply Unit' #25231.
[12:44:07]	Alex Palovichov closed the 'Padlocked ' #2383 container.
[12:44:11]	Alex Palovichov ran 'drop' on item 'Power Supply Unit' (#25231)
[12:44:11]	Alex Palovichov has lost a 'Power Supply Unit' #25231.
[12:44:36]	Alex Palovichov opened the 'Padlocked ' #2383 container.
[12:44:37]	Robbert Garth opened the '' #2374 container.
[12:44:37]	Robbert Garth closed the '' #2374 container.
[12:44:38]	Robbert Garth opened the '' #2374 container.
[12:44:42]	Alex Palovichov closed the 'Padlocked ' #2383 container.
[12:44:45]	Robbert Garth closed the '' #2374 container.
[12:44:46]	Robbert Garth opened the '' #308 container.
[12:44:49]	Robbert Garth closed the '' #308 container.
[12:44:57]	CCA.C17-UNION.i5.07722 has gained 10 tokens.
[12:45:09]	Alex Palovichov ran 'take' on item 'Power Supply Unit' (#25231)
[12:45:09]	Alex Palovichov has gained a 'Power Supply Unit' #25231.
[12:45:10]	Alex Palovichov opened the 'Padlocked ' #2383 container.
[12:45:14]	Alex Palovichov closed the 'Padlocked ' #2383 container.
[12:45:15]	Alex Palovichov opened the 'Padlocked ' #2383 container.
[12:45:18]	Alex Palovichov closed the 'Padlocked ' #2383 container.
[12:45:25]	Alex Palovichov opened the '' #2384 container.
[12:45:32]	Alex Palovichov closed the '' #2384 container.
[12:45:36]	Alex Palovichov opened the 'Padlocked ' #2383 container.
[12:45:41]	Alex Palovichov closed the 'Padlocked ' #2383 container.
[12:45:44]	Alex Palovichov opened the '' #2387 container.
[12:45:49]	Alex Palovichov closed the '' #2387 container.
[12:45:50]	Robbert Garth ran 'View' on item 'Paper' (#25193)
[12:46:00]	CCA.C17-UNION.i5.07722 ran 'View' on item 'Paper' (#25193)
[12:46:09]	Robbert Garth used command '/CharFallOver 0.1'.
[12:46:29]	Robbert Garth has gained a 'Old Newspaper' #25243.
[12:46:30]	Robbert Garth opened the '' #253 container.
[12:46:36]	Robbert Garth closed the '' #253 container.
[12:46:55]	CCA.C17-UNION.i5.07722 ran 'use' on item '9mm Pistol Magazine' (#25134)
[12:47:28]	Alex Palovichov ran 'Equip' on item 'CWU Leadership Suit' (#24484)
[12:47:34]	CCA.C17-UNION.i5.07722 used command '/Radio Unit 07722 going 10-7.'.
[12:47:39]	Robbert Garth opened the '' #239 container.
[12:47:41]	Robbert Garth closed the '' #239 container.
[12:47:46]	CCA.C17-UNION.i5.07722 used the 'Ration Dispenser' vendor.
[12:47:48]	CCA.C17-UNION.i5.07722 has gained 0 tokens.
[12:47:48]	CCA.C17-UNION.i5.07722 has gained a 'CCA Grade Beverage (Lemon-Lime Flavor)' #25244.
[12:47:50]	CCA.C17-UNION.i5.07722 ran 'Consume' on item 'CCA Grade Beverage (Lemon-Lime Flavor)' (#25244)
[12:47:51]	CCA.C17-UNION.i5.07722 used the 'Ration Dispenser' vendor.
[12:47:53]	CCA.C17-UNION.i5.07722 has gained 0 tokens.
[12:47:53]	CCA.C17-UNION.i5.07722 has gained a 'CCA Grade Food Product (Beef Jerky Flavor)' #25244.
[12:47:58]	CCA.C17-UNION.i5.07722 ran 'Consume' on item 'CCA Grade Food Product (Beef Jerky Flavor)' (#25244)
[12:48:23]	CCA.C17-UNION.i5.07722 used command '/Radio Unit 07722 10-8. Moving to plaza.'.
[12:48:33]	[Y] Alex Palovichov: Hello?
[12:49:37]	[ME] Jackson Steere: he sort of facepalms for a moment
[12:49:40]	CCA.C17-UNION.i5.07722 used command '/Radio Unit 07722 going on 10-50. Standard route. Reporting viscon.'.
[12:49:43]	[Y] Jackson Steere: Hey Rob!
[12:49:46]	[Y] Jackson Steere: Get over here.
[12:49:49]	[Y] Jackson Steere: Hey, over here!
[12:49:57]	CCA.C17-UNION.i5.07722 has gained 10 tokens.
[12:49:58]	[ME] Jackson Steere: he sort of folds his arms
[12:50:28]	[ME] Jackson Steere: he sort of leans in close to whisper something
[12:50:36]	[W] Jackson Steere: Y'think like- uhh.... I should tell em'?
[12:50:53]	[W] Robbert Garth: Yeah...this aint a place for that.
[12:51:00]	[W] Robbert Garth: Im not doing anything about it.
[12:51:07]	Alex Palovichov ran 'View' on item 'Notepad' (#25186)
[12:51:16]	[ME] Jackson Steere: awkwardly laughs, "Hah... hahha-.... Yeah..."
[12:51:39]	CCA.C17-UNION.i5.07722 used command '/Radio 10-50 complete. No viscon. Returning to plaza.'.
[12:51:41]	Jackson Steere ran 'View' on item 'Paper' (#24266)
[12:51:41]	Alex Palovichov ran 'View' on item 'Paper' (#24266)
[12:52:07]	Alex Palovichov used command '/ru Bullshit!'.
[12:52:07]	[Y] Jackson Steere: Because it has a Television!
[12:52:16]	Alex Palovichov ran 'EquipUn' on item 'CWU Leadership Suit' (#24484)
[12:52:23]	Alex Palovichov ran 'EquipUn' on item 'Respirator' (#24885)
[12:52:23]	Alex Palovichov has taken 1 damage from worldspawn.
[12:52:24]	Alex Palovichov ran 'Equip' on item 'Respirator' (#24885)
[12:54:48]	[ME] CCA.C17-UNION.i5.07722: reaches under the desk and pulls out a broom.
[12:54:57]	CCA.C17-UNION.i5.07722 has gained 10 tokens.
[12:55:11]	[ME] Alex Palovichov: Grabs the broom
[12:55:14]	[OOC] Jackson Steere: backrooms
[12:55:19]	[ME] CCA.C17-UNION.i5.07722: hands the man a broom
[12:55:41]	[ME] Alex Palovichov: Begins to sweep the streets, making a small pile of whatever is on the ground
[12:56:03]	[OOC] Alex Palovichov: We really need a broom Swep
[12:56:13]	[OOC] CCA.C17-UNION.i5.07722: rp it for now
[12:56:17]	[OOC] Alex Palovichov: Well no shit.
[12:56:38]	[ME] Alex Palovichov: Sweeps whatever on the ground into a small pile 
[12:56:38]	[OOC] CCA.C17-UNION.i5.07722: you want a malcompliance verdict???
[12:56:43]	[OOC] Jackson Steere: yes
[12:56:44]	[OOC] CCA.C17-UNION.i5.07722: i will hit you
[12:56:49]	[OOC] CCA.C17-UNION.i5.07722: *slaps*
[12:56:55]	[ME] Alex Palovichov: /me dodges
[12:56:59]	[OOC] Alex Palovichov: /me dodges
[12:57:15]	[OOC] Alex Palovichov: /me Brutalizes CP with crowbar
[12:57:30]	[OOC] CCA.C17-UNION.i5.07722: me pulls out his usp and blows multiple bullets into the mans skull
[12:57:37]	[OOC] Alex Palovichov: /me dodges
[12:57:46]	[OOC] Alex Palovichov: rolled 100 out of 100
[12:57:59]	[OOC] CCA.C17-UNION.i5.07722: /me rolls 101 out of 100
[12:58:06]	[OOC] CCA.C17-UNION.i5.07722: ded
[12:58:06]	[OOC] Alex Palovichov: rolled 1000 out of 1000
[12:58:11]	Alex Palovichov rolled 418 out of 1000.
[12:58:11]	Alex Palovichov used command '/Roll 1000'.
[12:58:21]	[OOC] CCA.C17-UNION.i5.07722: /me rolls 1000000 out of 100
[12:58:22]	[OOC] Jackson Steere: funny for you... I have an RB of +40
[12:58:27]	[OOC] Jackson Steere: In strength!
[12:58:40]	[OOC] CCA.C17-UNION.i5.07722: i have a gun and a fly swatter
[12:59:19]	[LOOC] CCA.C17-UNION.i5.07722: since im a nice guy
[12:59:22]	[ME] Alex Palovichov: Continues to sweep, making smaller piles which he then puts into a small garbage bag
[12:59:29]	[LOOC] CCA.C17-UNION.i5.07722: i will give you 2 lp instead of one
[12:59:29]	twitch_subbot has connected.
[12:59:51]	[ME] Alex Palovichov: Continues to sweep, making smaller piles which he then puts into a small garbage bag
[12:59:57]	CCA.C17-UNION.i5.07722 has gained 10 tokens.
[13:00:09]	twitch_subbot loaded the character 'Matthew Freeman'
[13:00:26]	[ME] CCA.C17-UNION.i5.07722: checks the ground looking for spots he may have missed, will he find anything?
[13:00:31]	CCA.C17-UNION.i5.07722 rolled 78 out of 100.
[13:00:31]	CCA.C17-UNION.i5.07722 used command '/Roll'.
[13:00:41]	Alex Palovichov rolled 40 out of 100.
[13:00:41]	Alex Palovichov used command '/Roll'.
[13:00:42]	Matthew Freeman used command '/CharFallOver'.
[13:00:46]	[LOOC] Alex Palovichov: fuck...
[13:00:48]	Matthew Freeman used command '/CharGetUp'.
[13:01:06]	[OOC] Matthew Freeman: im stuck at the trainstation, hey cps can you come shoot me down i cant do shit
[13:01:11]	[ME] CCA.C17-UNION.i5.07722: points to the ground where some dirt is.
[13:01:13]	[ME] Alex Palovichov: Sweeps the spot up, placing whatever on the ground into a bag
[13:01:24]	[LOOC] Robbert Garth: Fix em
[13:01:32]	Dilly_ loaded the character 'CCA.C17-UNION.i1.93347'
[13:01:40]	[OOC] CCA.C17-UNION.i1.93347: k boss
[13:01:51]	[ME] Alex Palovichov: Continues to sweep, making smaller piles which he then puts into a small garbage bag
[13:02:23]	Matthew Freeman has taken 72 damage from CCA.C17-UNION.i1.93347.
[13:02:23]	Matthew Freeman has taken 72 damage from CCA.C17-UNION.i1.93347.
[13:02:23]	CCA.C17-UNION.i1.93347 has killed Matthew Freeman with weapon_pistol.
[13:02:37]	Matthew Freeman ran 'Equip' on item 'Green Citizen Suit' (#23440)
[13:02:57]	CCA.C17-UNION.i5.07722 used command '/Radio Shots fired?'.
[13:03:05]	CCA.C17-UNION.i1.93347 used command '/rooc void, they're ooc'.
[13:03:12]	[LOOC] Matthew Freeman: did you kill me
[13:03:15]	CCA.C17-UNION.i5.07722 used command '/rooc void'.
[13:03:16]	Dilly_ loaded the character 'Jackson Steere'
[13:03:17]	[LOOC] Matthew Freeman: i thank you
[13:03:21]	Alex Palovichov used the 'Infestation Control Storage' vendor.
[13:03:23]	[LOOC] CCA.C17-UNION.i5.07722: nope
[13:03:27]	Alex Palovichov has gained 0 tokens.
[13:03:27]	Alex Palovichov has gained a 'Health Kit' #25244.
[13:03:30]	[LOOC] Matthew Freeman: you freed me from my prison of perpentual torture, WAIT WHAT?? YOU DIDNT KILL ME?
[13:03:35]	Alex Palovichov ran 'Equip' on item 'CWU Leadership Suit' (#24484)
[13:03:37]	[LOOC] Matthew Freeman: I HOPE YOU DIE BY YOUR OWN GRENADE!!!
[13:03:38]	[LOOC] CCA.C17-UNION.i5.07722: the i1 did
[13:03:48]	[LOOC] CCA.C17-UNION.i5.07722: i dont have one
[13:04:32]	Alex Palovichov ran 'combine' on item 'Thermobag' (#25180)
[13:04:32]	[LOOC] CCA.C17-UNION.i5.07722: someone got stuck in a wall or somthin
[13:04:36]	[LOOC] Alex Palovichov: bruh
[13:04:48]	Alex Palovichov used command '/Apply'.
[13:04:57]	CCA.C17-UNION.i5.07722 has gained 10 tokens.
[13:05:11]	[ME] CCA.C17-UNION.i5.07722: holsters his stunstick and takes out his PDA, he types in it for a while.
[13:05:19]	Robbert Garth used command '/CharFallOver 0.1'.
[13:05:22]	Jackson Steere used command '/CharFallOver 1'.
[13:05:28]	CCA.C17-UNION.i5.07722 used command '/ViewData Alex Palovichov'.
[13:05:31]	Jackson Steere used command '/CharFallOver 1'.
[13:05:54]	Jackson Steere used command '/CharFallOver 1'.
[13:06:02]	Jackson Steere used command '/CharFallOver 1'.
[13:06:09]	Jackson Steere used command '/CharFallOver 1'.
[13:06:12]	Jackson Steere used command '/CharFallOver 1'.
[13:06:15]	Jackson Steere used command '/CharFallOver 1'.
[13:06:19]	Jackson Steere used command '/CharFallOver 1'.
[13:06:27]	Jackson Steere used command '/CharFallOver 1'.
[13:06:27]	Robbert Garth used command '/CharFallOver 0.1'.
[13:06:27]	Robbert Garth has taken 50 damage from prop_ragdoll.
[13:06:31]	Jackson Steere used command '/CharFallOver 1'.
[13:06:32]	Robbert Garth used command '/CharFallOver 0.1'.
[13:06:35]	Jackson Steere used command '/CharFallOver 1'.
[13:06:36]	Robbert Garth used command '/CharFallOver 0.1'.
[13:06:37]	Jackson Steere has taken 50 damage from prop_ragdoll.
[13:06:37]	Jackson Steere has taken 100 damage from prop_ragdoll.
[13:06:37]	prop_ragdoll has killed Jackson Steere.
[13:06:37]	Robbert Garth has taken 50 damage from prop_ragdoll.
[13:06:37]	prop_ragdoll has killed Robbert Garth.
[13:06:44]	Jackson Steere has killed Jackson Steere.
[13:07:44]	CCA.C17-UNION.i5.07722 used command '/rooc how do i give a civvie a armband?'.
[13:08:41]	Alex Palovichov ran 'take' on item 'Rusty Can' (#24000)
[13:08:41]	Alex Palovichov has gained a 'Rusty Can' #24000.
[13:09:05]	Alex Palovichov ran 'drop' on item 'Rusty Can' (#24000)
[13:09:05]	Alex Palovichov has lost a 'Rusty Can' #24000.
[13:09:08]	Alex Palovichov ran 'take' on item 'Rusty Can' (#24000)
[13:09:08]	Alex Palovichov has gained a 'Rusty Can' #24000.
[13:09:35]	Alex Palovichov opened the '' #253 container.
[13:09:43]	Alex Palovichov has gained a 'Empty Consulate Water Can' #24366.
[13:09:44]	Alex Palovichov closed the '' #253 container.
[13:09:49]	Alex Palovichov opened the '' #253 container.
[13:09:52]	Alex Palovichov closed the '' #253 container.
[13:09:57]	CCA.C17-UNION.i5.07722 has gained 10 tokens.
[13:11:10]	Alex Palovichov used command '/Request Someone just ran into the Construction Zone through this store'.
[13:11:20]	Alex Palovichov opened the '' #240 container.
[13:11:20]	Alex Palovichov closed the '' #240 container.
[13:11:21]	Alex Palovichov opened the '' #240 container.
[13:11:25]	Alex Palovichov has gained a 'Graphics Card' #25237.
[13:11:26]	Alex Palovichov closed the '' #240 container.
[13:13:08]	[ME] CCA.C17-UNION.i5.07722: presses some buttons and locks the door.
[13:14:57]	CCA.C17-UNION.i5.07722 has gained 10 tokens.
[13:15:42]	[OOC] Matthew Freeman: there is nothing to do..
[13:15:47]	[OOC] Alex Palovichov: Yes there is!
[13:16:02]	[OOC] Alex Palovichov: Passive RP! Ask CPs for work...ask ME for work
[13:16:23]	[OOC] Matthew Freeman: FUCK, YOU! I WISH TO MAKE A BASE, START THE RESISTANCE KILL SCROMBINE! AND DO PASSIVE RP AS A REBEL WITH MY FELLOW REBELS I DONT WANNA BE A BOOT LICKER!
[13:16:34]	[OOC] Alex Palovichov: Well...do that then
[13:16:49]	[OOC] Matthew Freeman: I CANT, I CANT CRAFT SHIT, I CANT MAKE A BASE, THERE IS NO ADMINS!!
[13:17:13]	[OOC] Alex Palovichov: Well this server is quite new...
[13:17:24]	[OOC] Alex Palovichov: I'm sure it'll be fixed shortly!
[13:17:34]	[OOC] Matthew Freeman: yes, i know that and im not saying its bad, i just need 1 admin to do everything and im waiting for 1 admin
[13:17:43]	[OOC] Alex Palovichov: Well Q is on rn
[13:17:44]	[OOC] Matthew Freeman: its unique 
[13:17:45]	[OOC] Alex Palovichov: But idk
[13:17:49]	Alex Palovichov ran 'combine' on item 'Thermobag' (#25180)
[13:17:50]	[OOC] Matthew Freeman: q..?
[13:17:50]	Alex Palovichov ran 'combine' on item 'Thermobag' (#25180)
[13:17:56]	[OOC] CCA.C17-UNION.i5.07722: q is with some friends i think
[13:17:57]	[OOC] Jackson Steere: q is on but AFK, uhhh
[13:18:05]	[OOC] Alex Palovichov: Q is the owner
[13:18:05]	[OOC] Jackson Steere: matt saton 
[13:18:10]	[OOC] CCA.C17-UNION.i5.07722: q is the owner
[13:18:12]	[OOC] Jackson Steere: that's the fellow 
[13:18:19]	[OOC] Jackson Steere: however he's at work rn, afk on server lol
[13:18:22]	[OOC] Matthew Freeman: i was banned from the discord so uhm
[13:18:27]	[OOC] Jackson Steere: yeaaa... 
[13:18:35]	[OOC] CCA.C17-UNION.i5.07722: what was your dizzy name?
[13:18:36]	[OOC] Matthew Freeman: idk how to get any admins on, does
[13:18:43]	[OOC] Matthew Freeman: twitch_subbot#5541
[13:18:51]	[OOC] Matthew Freeman: does anyone know?
[13:18:52]	[ME] Alex Palovichov: Reaches into a bag and takes out a clipboard
[13:19:02]	Alex Palovichov ran 'View' on item 'Notepad' (#25186)
[13:19:03]	Global Defence Initiative (STEAM_0:0:49504081) has disconnected.
[13:19:27]	[ME] Alex Palovichov: Hands over the clipboard
[13:19:29]	Alex Palovichov ran 'drop' on item 'Notepad' (#25186)
[13:19:29]	Alex Palovichov has lost a 'Notepad' #25186.
[13:19:32]	CCA.C17-UNION.i5.07722 ran 'take' on item 'Notepad' (#25186)
[13:19:32]	CCA.C17-UNION.i5.07722 has gained a 'Notepad' #25186.
[13:19:41]	[ME] CCA.C17-UNION.i5.07722: takes the clipboard and reads it.
[13:19:43]	CCA.C17-UNION.i5.07722 ran 'View' on item 'Notepad' (#25186)
[13:19:57]	CCA.C17-UNION.i5.07722 has gained 10 tokens.
[13:20:04]	[ME] CCA.C17-UNION.i5.07722: hands back the clipboard.
[13:20:06]	CCA.C17-UNION.i5.07722 ran 'drop' on item 'Notepad' (#25186)
[13:20:06]	CCA.C17-UNION.i5.07722 has lost a 'Notepad' #25186.
[13:20:09]	[ME] Alex Palovichov: Takes the clipboard
[13:20:11]	Alex Palovichov ran 'take' on item 'Notepad' (#25186)
[13:20:11]	Alex Palovichov has gained a 'Notepad' #25186.
[13:20:15]	Dilly_ (STEAM_0:0:52468151) has disconnected.
[13:20:23]	Global Defence Initiative has connected.
[13:21:28]	Global Defence Initiative loaded the character 'Robbert Garth'
[13:22:15]	Alex Palovichov ran 'take' on item 'Combine Hazmat Worker Suit' (#24126)
[13:22:15]	Alex Palovichov has gained a 'Combine Hazmat Worker Suit' #24126.
[13:22:17]	Alex Palovichov ran 'take' on item 'Suitcase' (#24123)
[13:22:17]	Alex Palovichov has gained a 'Suitcase' #24123.
[13:22:19]	Alex Palovichov ran 'View' on item 'Notepad' (#24470)
[13:22:23]	Alex Palovichov ran 'take' on item 'Notepad' (#24470)
[13:22:23]	Alex Palovichov has gained a 'Notepad' #24470.
[13:22:24]	Alex Palovichov ran 'take' on item 'Medical Case' (#25161)
[13:22:35]	Alex Palovichov ran 'combine' on item 'Thermobag' (#25180)
[13:22:36]	Matthew Freeman ran 'drop' on item '4.6x30 Rounds' (#2026)
[13:22:36]	Matthew Freeman has lost a '4.6x30 Rounds' #2026.
[13:22:37]	Alex Palovichov ran 'drop' on item 'Suitcase' (#24123)
[13:22:37]	Alex Palovichov has lost a 'Suitcase' #24123.
[13:22:38]	Alex Palovichov ran 'View' on item 'Notepad' (#25186)
[13:22:40]	Alex Palovichov ran 'View' on item 'Notepad' (#24470)
[13:22:42]	Alex Palovichov ran 'drop' on item 'Notepad' (#24470)
[13:22:42]	Alex Palovichov has lost a 'Notepad' #24470.
[13:22:45]	Alex Palovichov ran 'drop' on item 'Graphics Card' (#25237)
[13:22:45]	Alex Palovichov has lost a 'Graphics Card' #25237.
[13:22:48]	Matthew Freeman ran 'drop' on item 'AA Battery' (#19386)
[13:22:48]	Matthew Freeman has lost a 'AA Battery' #19386.
[13:22:49]	Matthew Freeman ran 'drop' on item 'AA Battery' (#23728)
[13:22:49]	Matthew Freeman has lost a 'AA Battery' #23728.
[13:22:52]	execution_hurt_2 destroyed a 'Graphics Card' #25237.
[13:22:52]	execution_hurt_2 destroyed a 'Notepad' #24470.
[13:22:52]	execution_hurt_2 destroyed a 'Suitcase' #24123.
[13:22:55]	Alex Palovichov ran 'take' on item 'Medical Case' (#25161)
[13:23:00]	[ME] CCA.C17-UNION.i5.07722: would press multiple buttons.
[13:23:14]	Alex Palovichov ran 'take' on item 'Small Thermos' (#25177)
[13:23:14]	Alex Palovichov has gained a 'Small Thermos' #25177.
[13:23:16]	Alex Palovichov ran 'take' on item 'Cyclopic Citizen Suit' (#24121)
[13:23:16]	Alex Palovichov has gained a 'Cyclopic Citizen Suit' #24121.
[13:23:23]	CCA.C17-UNION.i5.07722 ran 'take' on item 'Medical Case' (#25161)
[13:23:23]	CCA.C17-UNION.i5.07722 has gained a 'Medical Case' #25161.
[13:23:23]	CCA.C17-UNION.i5.07722 has gained a 'Blood Sample' #24772.
[13:23:23]	CCA.C17-UNION.i5.07722 has gained a 'Blood Sample' #24886.
[13:23:23]	CCA.C17-UNION.i5.07722 has gained a 'Blood Sample' #24887.
[13:23:26]	Alex Palovichov ran 'take' on item 'Notepad' (#24722)
[13:23:26]	Alex Palovichov has gained a 'Notepad' #24722.
[13:23:28]	CCA.C17-UNION.i5.07722 ran 'drop' on item 'Medical Case' (#25161)
[13:23:28]	CCA.C17-UNION.i5.07722 has lost a 'Medical Case' #25161.
[13:23:28]	CCA.C17-UNION.i5.07722 has lost a 'Blood Sample' #24772.
[13:23:28]	CCA.C17-UNION.i5.07722 has lost a 'Blood Sample' #24886.
[13:23:28]	CCA.C17-UNION.i5.07722 has lost a 'Blood Sample' #24887.
[13:23:34]	Alex Palovichov ran 'take' on item 'CWU Commerce Shirt' (#24125)
[13:23:34]	Alex Palovichov has gained a 'CWU Commerce Shirt' #24125.
[13:23:42]	Matthew Freeman ran 'drop' on item 'Relocation Coupon' (#17649)
[13:23:42]	Matthew Freeman has lost a 'Relocation Coupon' #17649.
[13:23:44]	Matthew Freeman destroyed a 'Relocation Coupon' #17649.
[13:23:55]	Alex Palovichov ran 'take' on item 'Blood Sample' (#24768)
