[00:00:35]	[OOC] Alex Palovichov: brb
[12:13:11]	Henry Blackwoods ran 'take' on item 'Minimum Grade Food Product (Fish Flavor)' (#30972)
[12:13:11]	Henry Blackwoods has gained a 'Minimum Grade Food Product (Fish Flavor)' #30972.
[12:13:16]	Henry Blackwoods ran 'Consume' on item 'Consulate Water' (#30979)
[12:13:17]	Henry Blackwoods ran 'Consume' on item 'Minimum Grade Food Product (Fish Flavor)' (#30972)
[12:13:19]	Jonathan Jackson ran 'take' on item 'Broken Keyboard' (#29411)
[12:13:19]	Jonathan Jackson has gained a 'Broken Keyboard' #29411.
[12:13:19]	Jonathan Jackson opened the 'Dumpster' #2736 container.
[12:13:23]	Jonathan Jackson closed the 'Dumpster' #2736 container.
[12:13:27]	Henry Blackwoods ran 'take' on item 'Consulate Water' (#30978)
[12:13:27]	Henry Blackwoods has gained a 'Consulate Water' #30978.
[12:13:30]	Henry Blackwoods ran 'Consume' on item 'Consulate Water' (#30978)
[12:13:32]	Henry Blackwoods ran 'take' on item 'Consulate Water' (#30980)
[12:13:32]	Henry Blackwoods has gained a 'Consulate Water' #30980.
[12:13:34]	Henry Blackwoods ran 'Consume' on item 'Consulate Water' (#30980)
[12:13:37]	Jonathan Jackson ran 'take' on item 'Boot' (#30926)
[12:13:37]	Jonathan Jackson has gained a 'Boot' #30926.
[12:13:38]	Henry Blackwoods ran 'take' on item 'Minimum Grade Food Product (Fish Flavor)' (#30974)
[12:13:38]	Henry Blackwoods has gained a 'Minimum Grade Food Product (Fish Flavor)' #30974.
[12:13:40]	Henry Blackwoods ran 'Consume' on item 'Minimum Grade Food Product (Fish Flavor)' (#30974)
[12:13:47]	Henry Blackwoods ran 'take' on item 'Minimum Grade Food Product (Beet Flavor)' (#30973)
[12:13:47]	Henry Blackwoods has gained a 'Minimum Grade Food Product (Beet Flavor)' #30973.
[12:13:47]	[OOC] Jonathan Jackson: Oh you're here
[12:13:54]	Henry Blackwoods ran 'Consume' on item 'Minimum Grade Food Product (Beet Flavor)' (#30973)
[12:14:03]	[OOC] Jonathan Jackson: I'll do that thing with you in a sec
[12:14:04]	Jonathan Jackson opened the 'Dumpster' #2736 container.
[12:14:05]	Jonathan Jackson closed the 'Dumpster' #2736 container.
[12:14:05]	Jonathan Jackson opened the 'Dumpster' #2736 container.
[12:14:10]	Jonathan Jackson closed the 'Dumpster' #2736 container.
[12:20:16]	Painevan loaded the character 'CCA.C17-HELIX.i4.08874'
[12:20:30]	CCA.C17-HELIX.i4.08874 used command '/Radio is 10-8'.
[12:25:16]	CCA.C17-HELIX.i4.08874 has gained 10 tokens.
[12:25:27]	CCA.C17-HELIX.i4.08874 ran 'Use' on item 'Zip Tie' (#29976)
[12:25:45]	[ME] CCA.C17-HELIX.i4.08874: places a blindfold over his eyes.
[12:26:13]	[ME] CCA.C17-HELIX.i4.08874: then grabs him by his right arm and pulls him off the wall.
[12:26:48]	[LOOC] CCA.C17-HELIX.i4.08874: wrong area
[12:26:53]	[LOOC] CCA.C17-HELIX.i4.08874: I have no idea where I am lol
[12:26:55]	[LOOC] Henry Blackwoods: rip.
[12:28:04]	[ME] CCA.C17-HELIX.i4.08874: pushes him in.
[12:28:43]	[ME] CCA.C17-HELIX.i4.08874: takes off his blindfold.
[12:30:16]	CCA.C17-HELIX.i4.08874 has gained 10 tokens.
[12:31:15]	CCA.C17-HELIX.i4.08874 used command '/Radio Copy.'.
[12:31:34]	CCA.C17-HELIX.i4.08874 used command '/Radio 10-4 prosecuting.'.
[12:31:40]	Henry Blackwoods has taken 12 damage from CCA.C17-HELIX.i4.08874.
[12:31:42]	Henry Blackwoods has taken 12 damage from CCA.C17-HELIX.i4.08874.
[12:31:43]	Henry Blackwoods has taken 12 damage from CCA.C17-HELIX.i4.08874.
[12:31:45]	Henry Blackwoods has taken 12 damage from CCA.C17-HELIX.i4.08874.
[12:31:46]	Henry Blackwoods has taken 12 damage from CCA.C17-HELIX.i4.08874.
[12:31:59]	[ME] Henry Blackwoods: Collapsed on the floor, groaning in pain
[12:32:19]	[ME] CCA.C17-HELIX.i4.08874: grabs him by the arm and hits him over the head, knocking them out.
[12:32:25]	Henry Blackwoods has taken 12 damage from CCA.C17-HELIX.i4.08874.
[12:32:34]	Henry Blackwoods used command '/CharFallOver'.
[12:32:46]	[ME] CCA.C17-HELIX.i4.08874: grabs and drags the body.
[12:33:02]	CCA.C17-HELIX.i4.08874 used command '/Radio Re-education administered.'.
[12:33:33]	[LOOC] Henry Blackwoods: Time to go to the Gulag
[12:34:26]	[ME] CCA.C17-HELIX.i4.08874: drags them in and drops them.
[12:34:33]	[LOOC] Henry Blackwoods: Tell me when I can wake up.
[12:34:41]	[LOOC] CCA.C17-HELIX.i4.08874: In two mins
[12:35:02]	CCA.C17-HELIX.i4.08874 used command '/Radio Malignant will recieve four cycles.'.
[12:35:16]	CCA.C17-HELIX.i4.08874 has gained 10 tokens.
[12:35:40]	[LOOC] CCA.C17-HELIX.i4.08874: 4 cycles is 20 minutes, that's what it says in the doc anyways
[12:35:41]	[LOOC] Henry Blackwoods: How much is 1 cycle again?
[12:35:45]	[LOOC] Henry Blackwoods: oh
[12:35:47]	[LOOC] CCA.C17-HELIX.i4.08874: One is 5 minutes
[12:36:06]	[LOOC] CCA.C17-HELIX.i4.08874: I have a timer set
[12:36:12]	CCA.C17-HELIX.i4.08874 used command '/ActLean'.
[12:36:55]	CCA.C17-HELIX.i4.08874 used command '/Radio pickup 647e'.
[12:37:10]	CCA.C17-HELIX.i4.08874 used command '/Radio 10-2'.
[12:38:43]	[ME] Henry Blackwoods: Slowly woke up
[12:39:14]	[ME] Henry Blackwoods: Began standing up, coughing up some blood while doing so
[12:39:15]	Henry Blackwoods used command '/CharGetUp'.
[12:39:19]	CCA.C17-HELIX.i4.08874 used command '/Radio Uhhh...'.
[12:39:24]	CCA.C17-HELIX.i4.08874 used command '/Radio 603'.
[12:39:54]	CCA.C17-HELIX.i4.08874 used command '/ViewData henry'.
[12:40:16]	CCA.C17-HELIX.i4.08874 has gained 10 tokens.
[12:40:31]	[ME] Henry Blackwoods: Began limping towards a seat
[12:43:24]	CCA.C17-HELIX.i4.08874 used command '/Radio Sociostable'.
[12:45:16]	CCA.C17-HELIX.i4.08874 has gained 10 tokens.
[12:46:19]	[LOOC] CCA.C17-HELIX.i4.08874: I figure it is better to do it now too
[12:46:24]	[LOOC] CCA.C17-HELIX.i4.08874: Since nobody is on
[12:46:41]	CCA.C17-HELIX.i4.08874 used command '/ViewData henry'.
[12:47:36]	[LOOC] Henry Blackwoods: I was once on hl2rp server, and once the big bad cops found me, they interrogated me and then sent me to a horde of zombies, while I my zipties were on
[12:47:57]	[LOOC] Henry Blackwoods: *had
[12:48:07]	[LOOC] Henry Blackwoods: shit my grammar is bad now.
[12:48:12]	[LOOC] Henry Blackwoods: anyways
[12:48:28]	[LOOC] CCA.C17-HELIX.i4.08874: lol
[12:48:33]	[LOOC] CCA.C17-HELIX.i4.08874: That should be a punishment
[12:48:49]	[LOOC] Henry Blackwoods: Eh, I survived, after avoiding a million zombies.
[12:49:11]	[LOOC] CCA.C17-HELIX.i4.08874: They are slow
[12:49:51]	[LOOC] Henry Blackwoods: I mean, there were  poison zombies in an inclosed space
[12:50:02]	[LOOC] Henry Blackwoods: almost shit my pants
[12:50:16]	CCA.C17-HELIX.i4.08874 has gained 10 tokens.
[12:50:43]	[LOOC] Henry Blackwoods: anyways, how much time is there left?
[12:50:50]	[LOOC] CCA.C17-HELIX.i4.08874: uhh
[12:50:57]	[LOOC] CCA.C17-HELIX.i4.08874: 3 mins
[12:51:38]	[LOOC] Henry Blackwoods: alright, nice.
[12:54:18]	[ME] CCA.C17-HELIX.i4.08874: stands up straight.
[12:54:19]	CCA.C17-HELIX.i4.08874 used command '/ExitAct'.
[12:54:45]	[ME] CCA.C17-HELIX.i4.08874: places a blindfold on the man.
[12:54:55]	[ME] CCA.C17-HELIX.i4.08874: grabs him by the arm.
[12:55:16]	CCA.C17-HELIX.i4.08874 has gained 10 tokens.
[12:56:25]	[ME] CCA.C17-HELIX.i4.08874: cuts his retraints before throwing him onto the ground.
[12:57:08]	Painevan loaded the character 'Harold George'
[12:57:26]	Henry Blackwoods ran 'View' on item 'Paper' (#26870)
[12:58:05]	Henry Blackwoods has gained a 'AA Battery' #30985.
[12:58:08]	Henry Blackwoods ran 'drop' on item 'AA Battery' (#30985)
[12:58:08]	Henry Blackwoods has lost a 'AA Battery' #30985.
[12:58:23]	Henry Blackwoods opened the 'Dumpster' #2736 container.
[12:58:23]	Henry Blackwoods closed the 'Dumpster' #2736 container.
[12:58:24]	Henry Blackwoods opened the 'Dumpster' #2736 container.
[12:58:29]	Henry Blackwoods closed the 'Dumpster' #2736 container.
[12:58:53]	Harold George ran 'EquipUn' on item 'Green Citizen Suit' (#30353)
[12:58:53]	Harold George has taken 1 damage from worldspawn.
[12:58:53]	Henry Blackwoods ran 'take' on item 'Sparkling Consulate Water' (#30501)
[12:58:53]	Henry Blackwoods has gained a 'Sparkling Consulate Water' #30501.
[12:58:54]	Harold George has taken 1 damage from worldspawn.
[12:58:55]	Harold George has taken 1 damage from worldspawn.
[12:58:55]	Harold George ran 'Equip' on item 'Cyclopic Citizen Suit' (#30054)
[12:59:01]	Henry Blackwoods ran 'Consume' on item 'Sparkling Consulate Water' (#30501)
[13:02:23]	Henry Blackwoods has gained a 'Small Thermos' #30986.
[13:02:27]	Henry Blackwoods ran 'drop' on item 'Small Thermos' (#30986)
[13:02:27]	Henry Blackwoods has lost a 'Small Thermos' #30986.
[13:02:35]	Henry Blackwoods has gained a 'Empty Flavored Consulate Water Can' #30987.
[13:02:38]	Henry Blackwoods ran 'drop' on item 'Empty Flavored Consulate Water Can' (#30987)
[13:02:38]	Henry Blackwoods has lost a 'Empty Flavored Consulate Water Can' #30987.
[13:02:50]	Henry Blackwoods ran 'take' on item 'Box of Matches' (#30110)
[13:02:50]	Henry Blackwoods has gained a 'Box of Matches' #30110.
[13:03:14]	Henry Blackwoods has gained a 'Silicone Tube' #30988.
[13:03:17]	Henry Blackwoods ran 'drop' on item 'Silicone Tube' (#30988)
[13:03:17]	Henry Blackwoods has lost a 'Silicone Tube' #30988.
[13:03:28]	Henry Blackwoods has gained a 'Empty Soda Bottle' #30989.
[13:03:31]	Henry Blackwoods ran 'drop' on item 'Empty Soda Bottle' (#30989)
[13:03:31]	Henry Blackwoods has lost a 'Empty Soda Bottle' #30989.
[13:03:37]	Henry Blackwoods has gained a 'Empty Pill Bottle' #30990.
[13:03:40]	Henry Blackwoods ran 'drop' on item 'Empty Pill Bottle' (#30990)
[13:03:40]	Henry Blackwoods has lost a 'Empty Pill Bottle' #30990.
[13:04:04]	Henry Blackwoods has gained a 'Consul Poster' #30991.
[13:04:17]	Henry Blackwoods ran 'view' on item 'Consul Poster' (#30991)
[13:04:19]	Henry Blackwoods ran 'drop' on item 'Consul Poster' (#30991)
[13:04:19]	Henry Blackwoods has lost a 'Consul Poster' #30991.
[13:04:38]	Henry Blackwoods has gained a 'Power Supply Unit' #30992.
[13:04:40]	Henry Blackwoods opened the 'Item Crate' #2851 container.
[13:04:43]	Henry Blackwoods ran 'drop' on item 'Power Supply Unit' (#30992)
[13:04:43]	Henry Blackwoods has lost a 'Power Supply Unit' #30992.
[13:04:44]	Henry Blackwoods closed the 'Item Crate' #2851 container.
[13:05:05]	Henry Blackwoods has gained a 'Pin' #30993.
[13:05:30]	Henry Blackwoods has gained a 'Capacitors' #30994.
[13:05:32]	Henry Blackwoods ran 'drop' on item 'Capacitors' (#30994)
[13:05:32]	Henry Blackwoods has lost a 'Capacitors' #30994.
[13:05:53]	[Y] Henry Blackwoods: You there.
[13:06:11]	Henry Blackwoods has gained a 'Spark Plug' #30995.
[13:06:14]	Henry Blackwoods ran 'drop' on item 'Spark Plug' (#30995)
[13:06:14]	Henry Blackwoods has lost a 'Spark Plug' #30995.
[13:06:49]	Henry Blackwoods has gained a 'Armor Scraps' #30996.
[13:07:09]	Henry Blackwoods has gained a 'Empty Sparkling Consulate Water Can' #30997.
[13:07:15]	Henry Blackwoods ran 'drop' on item 'Empty Sparkling Consulate Water Can' (#30997)
[13:07:15]	Henry Blackwoods has lost a 'Empty Sparkling Consulate Water Can' #30997.
[13:07:34]	Harold George has taken 5 damage from npc_headcrab.
[13:07:36]	Harold George has taken 5 damage from npc_headcrab.
[13:07:41]	Henry Blackwoods has gained a 'Empty Glass Bottle' #30998.
[13:07:44]	Henry Blackwoods ran 'Equip' on item 'Empty Glass Bottle' (#30998)
[13:07:47]	Harold George ran 'Consume' on item 'Standard Grade Food Product (Milk Flavor)' (#30190)
[13:08:24]	Henry Blackwoods ran 'take' on item 'Empty Paint Can' (#30999)
[13:08:24]	Henry Blackwoods has gained a 'Empty Paint Can' #30999.
[13:08:26]	Henry Blackwoods ran 'drop' on item 'Empty Paint Can' (#30999)
[13:08:26]	Henry Blackwoods has lost a 'Empty Paint Can' #30999.
[13:08:28]	Henry Blackwoods has gained a 'Small First Aid Kit' #31000.
[13:08:53]	[ME] Henry Blackwoods: Opened the small medkit and began applying it to himself
[13:08:55]	Henry Blackwoods ran 'AHealSelf' on item 'Small First Aid Kit' (#31000)
[13:09:16]	Harold George used the 'Shopkeeper Jim' vendor.
[13:09:21]	Henry Blackwoods has gained a 'Empty Chinese Takeout' #31000.
[13:09:21]	Harold George has lost 8 tokens.
[13:09:21]	Harold George has gained a 'UU Brand Bandage' #31001.
[13:09:22]	Harold George has lost 8 tokens.
[13:09:22]	Harold George has gained a 'UU Brand Bandage' #31002.
[13:09:25]	Harold George ran 'AHealSelf' on item 'UU Brand Bandage' (#31002)
[13:09:28]	Henry Blackwoods ran 'drop' on item 'Box of Matches' (#30110)
[13:09:28]	Henry Blackwoods has lost a 'Box of Matches' #30110.
[13:09:28]	Harold George ran 'AHealSelf' on item 'UU Brand Bandage' (#31001)
[13:09:33]	Henry Blackwoods has gained a 'Empty Soda Bottle' #31001.
[13:09:36]	Henry Blackwoods ran 'drop' on item 'Empty Soda Bottle' (#31001)
[13:09:36]	Henry Blackwoods has lost a 'Empty Soda Bottle' #31001.
[13:10:18]	[OOC] CCA.C17-GRID.i3.10945: hey uh
[13:10:19]	[OOC] CCA.C17-GRID.i3.10945: lynch
[13:10:21]	[OOC] CCA.C17-GRID.i3.10945: you should be in jail
[13:10:27]	[OOC] Harold George: He got his verdict
[13:10:31]	[OOC] CCA.C17-GRID.i3.10945: oh shit? from who?
[13:10:37]	Henry Blackwoods ran 'take' on item 'Scrap Metal' (#31002)
[13:10:37]	Henry Blackwoods has gained a 'Scrap Metal' #31002.
[13:10:41]	[OOC] Harold George: Me, DRD said I could go ahead with it
[13:10:46]	[OOC] CCA.C17-GRID.i3.10945: oh alright sweet
[13:10:51]	[OOC] CCA.C17-GRID.i3.10945: drd did not tell me that
[13:11:07]	[OOC] Harold George: Yeah he told me that yesterday when he went in a VC with me and Bean
[13:11:34]	[OOC] CCA.C17-GRID.i3.10945: oh
[13:11:47]	Henry Blackwoods ran 'take' on item 'Cloth Scrap' (#31003)
[13:11:47]	Henry Blackwoods has gained a 'Cloth Scrap' #31003.
[13:12:05]	CCA.C17-GRID.i3.10945 used command '/CharSetThirst grid 100'.
[13:12:19]	Henry Blackwoods ran 'take' on item 'Wires' (#31004)
[13:12:19]	Henry Blackwoods has gained a 'Wires' #31004.
[13:12:34]	Henry Blackwoods has gained a 'Rubber Tire' #31005.
[13:12:38]	Henry Blackwoods ran 'drop' on item 'Rubber Tire' (#31005)
[13:12:38]	Henry Blackwoods has lost a 'Rubber Tire' #31005.
[13:12:52]	CCA.C17-GRID.i3.10945 has gained 10 tokens.
[13:13:56]	Harold George has taken 1 damage from worldspawn.
[13:13:56]	Harold George has taken 1 damage from worldspawn.
[13:13:57]	Harold George has taken 1 damage from worldspawn.
[13:13:58]	Harold George has taken 1 damage from worldspawn.
[13:13:59]	Harold George has taken 1 damage from worldspawn.
[13:13:59]	Harold George ran 'equip' on item 'Citizen Filter' (#30220)
[13:14:22]	[ME] Harold George: takes another step forward.
[13:15:02]	[ME] Harold George: leaps at him, taking tackling them to the ground.
[13:15:32]	[ME] Henry Blackwoods: Attempts to smash his bottle at the man's head whilst he is leaping
[13:15:50]	[LOOC] Harold George: Roll constitution
[13:16:00]	Harold George rolled 28 (20 + 8) out of 100 on Agility.
[13:16:00]	Harold George used command '/RollAttribute agility'.
[13:16:01]	Henry Blackwoods rolled 83 (78 + 5) out of 100 on Constitution.
[13:16:01]	Henry Blackwoods used command '/RollAttribute constitution'.
[13:16:24]	[ME] Harold George: misses, and beats the bottle cracked over his forehead.
[13:16:27]	[LOOC] Harold George: hit me once
[13:16:30]	Harold George has taken 8 damage from Henry Blackwoods.
[13:16:38]	[LOOC] Henry Blackwoods: Wait, would my bottle break?
[13:16:49]	[LOOC] Harold George: Yeah, but it was blunt on this attack.
[13:17:04]	[LOOC] Henry Blackwoods: Well, if it does, then it's a shiv I guess?
[13:17:17]	[ME] Harold George: looks towards them, "You'll wish you wouldn't done that you little shit."
[13:17:47]	[ME] Harold George: grabs him by the throat in his other hand and swings his crowbar right into the mans arm.
[13:18:37]	[ME] Henry Blackwoods: Attempts to kick the man in the chest before he could grab him
[13:18:44]	Harold George rolled 52 out of 100.
[13:18:44]	Harold George used command '/Roll Roll agility then'.
[13:18:48]	Henry Blackwoods rolled 83 out of 100.
[13:18:48]	Henry Blackwoods used command '/Roll 100'.
[13:18:54]	Harold George rolled 34 (26 + 8) out of 100 on Strength.
[13:18:54]	Harold George used command '/RollAttribute strength'.
[13:18:58]	[LOOC] Harold George: Roll agility then
[13:19:07]	Henry Blackwoods rolled 71 (66 + 5) out of 100 on Agility.
[13:19:07]	Henry Blackwoods used command '/RollAttribute agility'.
[13:19:17]	[LOOC] Harold George: Okay roll out of 3
[13:19:24]	Henry Blackwoods rolled 2 out of 3.
[13:19:24]	Henry Blackwoods used command '/Roll 3'.
[13:19:30]	[LOOC] Harold George: Hit me twice
[13:19:40]	[LOOC] Henry Blackwoods: with the bottle or hands?
[13:19:50]	[LOOC] Harold George: Hands if it is a kick
[13:19:57]	Harold George has taken 5 damage from Henry Blackwoods.
[13:19:58]	Harold George has taken 5 damage from Henry Blackwoods.
[13:20:09]	[ME] Harold George: gets knocked back.
[13:20:14]	[LOOC] Henry Blackwoods: my turn?
[13:20:27]	[LOOC] Harold George: Yeah,
[13:20:43]	[LOOC] Harold George: I'm gonna do a roll to get out of  being stunned.
[13:20:47]	[ME] Henry Blackwoods: Leaped towards the man, attempting to push him down
[13:20:52]	Harold George rolled 13 (7 + 6) out of 100 on Constitution.
[13:20:52]	Harold George used command '/RollAttribute constitution'.
[13:20:58]	[LOOC] Harold George: I failed, still stunned
[13:21:04]	[LOOC] Harold George: You win automatically
[13:21:22]	[ME] Harold George: falls onto the ground on his back.
[13:21:30]	Harold George used command '/CharFallOver'.
[13:21:32]	[ME] Henry Blackwoods: Charges down the container, attempting to jump on him
[13:21:38]	[LOOC] Henry Blackwoods: is it a roll?
[13:21:43]	[ME] Harold George: tries to get up and and get away.
[13:21:51]	[LOOC] Harold George: Yeah, agility
[13:21:57]	Harold George rolled 41 (35 + 6) out of 100 on Constitution.
[13:21:57]	Harold George used command '/RollAttribute constitution'.
[13:21:57]	Henry Blackwoods rolled 90 (85 + 5) out of 100 on Agility.
[13:21:57]	Henry Blackwoods used command '/RollAttribute agility'.
[13:22:01]	[LOOC] Harold George: You win
[13:22:07]	[LOOC] Harold George: my rolls are bad :p
[13:22:12]	[ME] Henry Blackwoods: Would jump on his stomach
[13:22:23]	[LOOC] Henry Blackwoods: I'm sure that my luck is gonna be shit soon
[13:22:23]	[ME] Harold George: pushes them off.
[13:22:35]	Harold George rolled 52 (44 + 8) out of 100 on Strength.
[13:22:35]	Harold George used command '/RollAttribute strength'.
[13:22:50]	[ME] Henry Blackwoods: Attempts to stab the man near his neck
[13:23:09]	[LOOC] Henry Blackwoods: Well not a stab
[13:23:11]	[LOOC] Henry Blackwoods: a hit
[13:23:14]	[LOOC] Harold George: Probably just strength
[13:23:18]	[LOOC] Harold George: so roll that too
[13:23:30]	Henry Blackwoods rolled 92 (82 + 10) out of 100 on Strength.
[13:23:30]	Henry Blackwoods used command '/RollAttribute strength'.
[13:23:34]	[LOOC] Harold George: brUH
[13:23:42]	[LOOC] Henry Blackwoods: tf, this is rigged (but i'm not gonna complain (:
[13:23:49]	[ME] Harold George: gets hit in the neck and groans.
[13:23:59]	[LOOC] Henry Blackwoods: Did my bottle break?
[13:24:15]	[LOOC] Harold George: I mean at this point yeah
[13:24:20]	[LOOC] Harold George: Your turn btw
[13:24:46]	[ME] Henry Blackwoods: Attempted to stab the man in the throat
[13:25:10]	[ME] Harold George: attempts to push him off again.
[13:25:18]	[LOOC] Harold George: Agility
[13:25:24]	Henry Blackwoods rolled 52 (47 + 5) out of 100 on Agility.
[13:25:24]	Henry Blackwoods used command '/RollAttribute agility'.
[13:25:26]	Harold George used command '/RollAttribute agilitity'.
[13:25:31]	Harold George rolled 18 (10 + 8) out of 100 on Agility.
[13:25:31]	Harold George used command '/RollAttribute agility'.
[13:25:37]	[LOOC] Harold George: I am going to fucking cry
[13:25:49]	[LOOC] Henry Blackwoods: I am going to fucking cry in happiness
[13:26:33]	[LOOC] Harold George: roll out of 3
[13:26:37]	Henry Blackwoods rolled 2 out of 3.
[13:26:37]	Henry Blackwoods used command '/Roll 3'.
[13:26:42]	[IT] Harold George: As you stab him in the neck, you feel it hit the skin but some of the glass doesn't seem to penetrate the suit the man is wearing.
[13:26:46]	[LOOC] Harold George: Hit twice
[13:26:54]	[LOOC] Henry Blackwoods: stand up
[13:26:59]	[LOOC] Harold George: You can hit the chest
[13:27:03]	[LOOC] Harold George: head hitbox no work
[13:27:04]	[LOOC] Henry Blackwoods: oh
[13:27:06]	Harold George has taken 10 damage from Henry Blackwoods.
[13:27:07]	Harold George has taken 10 damage from Henry Blackwoods.
[13:27:10]	[LOOC] Henry Blackwoods: there.
[13:27:30]	[ME] Harold George: gurgles, but attempts again to push the man off of him.
[13:27:48]	Harold George rolled 61 (53 + 8) out of 100 on Agility.
[13:27:48]	Harold George used command '/RollAttribute agility'.
[13:27:52]	CCA.C17-GRID.i3.10945 has gained 10 tokens.
[13:27:56]	[LOOC] Harold George: please for the love of god
[13:27:58]	[ME] Henry Blackwoods: attempts to stab the man in the throat once again
[13:28:11]	Henry Blackwoods rolled 27 (22 + 5) out of 100 on Agility.
[13:28:11]	Henry Blackwoods used command '/RollAttribute agility'.
[13:28:16]	[LOOC] Harold George: YES
[13:28:18]	[LOOC] Henry Blackwoods: finally
[13:28:23]	[ME] Harold George: pushes them off, and gets back up.
[13:28:24]	Harold George used command '/CharGetUp'.
[13:28:49]	[ME] Harold George: runs off, disengaging from the fight.
[13:29:01]	[LOOC] Harold George: You want to counter or just let me go?
[13:29:11]	[LOOC] Henry Blackwoods: hmm
[13:29:19]	[LOOC] Harold George: Your choice
[13:29:25]	[ME] Henry Blackwoods: Attempts to throw the bottle at the man's head
[13:29:52]	[LOOC] Harold George: Roll inteligence, since you have to predict where he's going idk, or agility either one
[13:29:59]	[LOOC] Harold George: I just feel like int doesn't get used lol
[13:30:07]	[LOOC] Henry Blackwoods: Sure
[13:30:10]	Harold George rolled 29 (21 + 8) out of 100 on Agility.
[13:30:10]	Harold George used command '/RollAttribute agility'.
[13:30:10]	[LOOC] Henry Blackwoods: big brain move
[13:30:19]	Henry Blackwoods rolled 46 (41 + 5) out of 100 on Agility.
[13:30:19]	Henry Blackwoods used command '/RollAttribute agility'.
[13:30:23]	[LOOC] Harold George: roll out of one
[13:30:34]	Henry Blackwoods rolled 1 out of 1.
[13:30:34]	Henry Blackwoods used command '/Roll 1'.
[13:30:42]	[LOOC] Harold George: throw it then
[13:30:49]	[LOOC] Henry Blackwoods: Do I just hit you?
[13:30:56]	[LOOC] Harold George: You can throw it by using r I think
[13:31:04]	[LOOC] Harold George: Or e
[13:31:11]	[LOOC] Harold George: Something because I know it can be thrown
[13:31:23]	[LOOC] Harold George: Try right clicking
[13:31:33]	[LOOC] Harold George: hold on give it to me for a sec
[13:31:39]	Henry Blackwoods ran 'EquipUn' on item 'Empty Glass Bottle' (#30998)
[13:31:40]	Henry Blackwoods ran 'drop' on item 'Empty Glass Bottle' (#30998)
[13:31:40]	Henry Blackwoods has lost a 'Empty Glass Bottle' #30998.
[13:31:42]	Harold George ran 'take' on item 'Empty Glass Bottle' (#30998)
[13:31:42]	Harold George has gained a 'Empty Glass Bottle' #30998.
[13:31:43]	Harold George ran 'drop' on item 'Crowbar' (#29672)
[13:31:43]	Harold George has lost a 'Crowbar' #29672.
[13:31:49]	Harold George ran 'take' on item 'Crowbar' (#29672)
[13:31:49]	Harold George has gained a 'Crowbar' #29672.
[13:31:51]	Harold George ran 'Equip' on item 'Empty Glass Bottle' (#30998)
[13:31:57]	Harold George ran 'EquipUn' on item 'Empty Glass Bottle' (#30998)
[13:31:58]	Harold George ran 'drop' on item 'Empty Glass Bottle' (#30998)
[13:31:58]	Harold George has lost a 'Empty Glass Bottle' #30998.
[13:32:00]	Henry Blackwoods ran 'take' on item 'Empty Glass Bottle' (#30998)
[13:32:00]	Henry Blackwoods has gained a 'Empty Glass Bottle' #30998.
[13:32:01]	[LOOC] Harold George: right click
[13:32:04]	Harold George ran 'Equip' on item 'Crowbar' (#29672)
[13:32:05]	Henry Blackwoods ran 'Equip' on item 'Empty Glass Bottle' (#30998)
[13:32:17]	[ME] Harold George: doesn't get phased.
[13:32:27]	Henry Blackwoods has gained a 'Empty Combine Air Tank' #31007.
[13:32:31]	Henry Blackwoods ran 'drop' on item 'Empty Combine Air Tank' (#31007)
[13:32:31]	Henry Blackwoods has lost a 'Empty Combine Air Tank' #31007.
[13:32:43]	Henry Blackwoods has gained a 'Capacitors' #31008.
[13:32:46]	Henry Blackwoods ran 'drop' on item 'Capacitors' (#31008)
[13:32:46]	Henry Blackwoods has lost a 'Capacitors' #31008.
[13:33:10]	Henry Blackwoods has gained a 'Scrap Electronics' #31009.
[13:33:13]	Henry Blackwoods ran 'drop' on item 'Scrap Electronics' (#31009)
[13:33:13]	Henry Blackwoods has lost a 'Scrap Electronics' #31009.
[13:33:24]	[OOC] Harold George: bruh that was AWFUL
[13:33:30]	Henry Blackwoods has gained a 'Nylon Cord' #31010.
[13:33:32]	[OOC] Harold George: I lost so many rolls there
[13:33:32]	Henry Blackwoods ran 'drop' on item 'Nylon Cord' (#31010)
[13:33:32]	Henry Blackwoods has lost a 'Nylon Cord' #31010.
[13:33:44]	[OOC] Henry Blackwoods: You pretty much won 1 I think.
[13:33:53]	Henry Blackwoods has gained a 'Silicone Tube' #31011.
[13:33:53]	[OOC] Harold George: Only once
[13:33:57]	Henry Blackwoods ran 'drop' on item 'Silicone Tube' (#31011)
[13:33:57]	Henry Blackwoods has lost a 'Silicone Tube' #31011.
[13:34:00]	[OOC] Henry Blackwoods: Yeah.
[13:34:05]	Henry Blackwoods has gained a 'Empty Pill Bottle' #31012.
[13:34:09]	Henry Blackwoods ran 'drop' on item 'Empty Pill Bottle' (#31012)
[13:34:09]	Henry Blackwoods has lost a 'Empty Pill Bottle' #31012.
[13:34:22]	[OOC] Harold George: Q you here?
[13:34:25]	Henry Blackwoods has gained a 'Empty Flavored Consulate Water Can' #31013.
[13:34:27]	Henry Blackwoods ran 'drop' on item 'Empty Flavored Consulate Water Can' (#31013)
[13:34:27]	Henry Blackwoods has lost a 'Empty Flavored Consulate Water Can' #31013.
[13:34:34]	Harold George ran 'EquipUn' on item 'Cyclopic Citizen Suit' (#30054)
