[02:39:56]	guswagner937 has connected.
[19:43:01]	[ME] CCA.C14-HELIX.i4.50299: grabs the lock and attaches it to the door
[19:43:02]	[LOOC] CCA.C14-GRID.i4.36307: i used this
[19:43:08]	CCA.C14-HELIX.i4.50299 ran 'take' on item 'Combine Lock' (#22311)
[19:43:08]	CCA.C14-HELIX.i4.50299 has gained a 'Combine Lock' #22311.
[19:43:14]	CCA.C14-HELIX.i4.50299 ran 'Place' on item 'Combine Lock' (#22311)
[19:43:21]	CCA.C14-HELIX.i4.50299 entered observer.
[19:43:23]	CCA.C14-HELIX.i4.50299 exited observer at their location.
[19:43:27]	[LOOC] CCA.C14-GRID.i4.36307: its glitched
[19:44:12]	CCA.C14-HELIX.i4.50299 ran 'Place' on item 'Combine Lock' (#22311)
[19:44:13]	[OOC] CCA.C14-GRID.i4.36307: what the fuck
[19:44:14]	CCA.C14-HELIX.i4.50299 ran 'drop' on item 'Combine Lock' (#22311)
[19:44:14]	CCA.C14-HELIX.i4.50299 has lost a 'Combine Lock' #22311.
[19:44:34]	CCA.C14-GRID.i4.36307 has gained 10 tokens.
[19:44:38]	[OOC] Journey Robertson: I need to make a loyalist, bet
[19:44:48]	[LOOC] CCA.C14-GRID.i4.36307: i know how to lock ot
[19:45:00]	Jimmy 'Watcher 3' John opened the '' #1924 container.
[19:45:01]	CCA.C14-HELIX.i4.50299 used command '/Radio Unit going to medbay.'.
[19:45:02]	Jimmy 'Watcher 3' John closed the '' #1924 container.
[19:45:15]	CCA.C14-HELIX.i4.50299 entered observer.
[19:45:26]	CCA.C14-HELIX.i4.50299 has gained 10 tokens.
[19:45:29]	CCA.C14-HELIX.i4.50299 exited observer at their location.
[19:45:42]	[CGN] Painevan loaded the character 'Sarah Mundorff'
[19:45:42]	[OOC] Jimmy 'Watcher 3' John: i need you to get back in character lol
[19:45:44]	Sarah Mundorff entered observer.
[19:46:02]	[OOC] Sarah Mundorff: What the hell did you dum dums do?
[19:46:18]	FB|| light ROOM created the character 'George Temberly'
[19:46:18]	George Temberly has gained a 'Suitcase' #26021.
[19:46:18]	George Temberly has gained a 'Relocation Coupon' #26022.
[19:46:22]	FB|| light ROOM loaded the character 'George Temberly'
[19:46:30]	[OOC] George Temberly: Bet
[19:46:34]	[OOC] George Temberly: I didn't do anything
[19:46:40]	[OOC] Sarah Mundorff: Who is george
[19:46:50]	[OOC] Jimmy 'Watcher 3' John: george is george ok
[19:47:01]	[OOC] Sarah Mundorff: eagh
[19:47:05]	[OOC] George Temberly: It's Colonel Cornelius Cornwall you dum dum
[19:47:34]	[OOC] Sarah Mundorff: grid id
[19:47:49]	[OOC] Jimmy 'Watcher 3' John: ok i kinda need you to switch back because right before you switched i was trying to talk to you lol
[19:47:54]	[OOC] George Temberly: Bruh
[19:48:01]	[OOC] Sarah Mundorff: grid afk anyways
[19:48:03]	[OOC] Jimmy 'Watcher 3' John: just a quick second m8
[19:48:03]	[OOC] George Temberly: BET
[19:48:07]	FB|| light ROOM loaded the character 'Journey Robertson'
[19:49:24]	[OOC] CCA.C14-GRID.i4.36307: e
[19:49:27]	Sarah Mundorff used command '/CharSetBodygroup mundorff torso 8'.
[19:49:32]	Sarah Mundorff exited observer at their location.
[19:49:34]	CCA.C14-GRID.i4.36307 has gained 10 tokens.
[19:49:36]	Sarah Mundorff entered observer.
[19:50:02]	[OOC] CCA.C14-GRID.i4.36307: [OOC] Sarah Mundorff: grid afk anyways"
[19:50:06]	[OOC] CCA.C14-GRID.i4.36307: what you want?
[19:50:13]	[OOC] Sarah Mundorff: a man needed an id
[19:50:21]	[OOC] Sarah Mundorff: but its not there anymore
[19:50:32]	[OOC] CCA.C14-GRID.i4.36307: oh
[19:50:32]	Sarah Mundorff exited observer at their location.
[19:50:41]	Sarah Mundorff entered observer.
[19:50:42]	Sarah Mundorff exited observer at their location.
[19:50:43]	[LOOC] Jimmy 'Watcher 3' John: f3 me please?
[19:50:48]	[LOOC] Journey Robertson: BET
[19:50:59]	[Y] Sarah Mundorff: Hey both of you.
[19:51:22]	[Y] Sarah Mundorff: A combine patrol is coming through down here, you got 5 minutes to head out or hide.
[19:51:46]	[Y] Sarah Mundorff: Yeah follow me.
[19:52:07]	[LOOC] Journey Robertson: Bruh
[19:52:14]	[LOOC] Jimmy 'Watcher 3' John: mans got that AR15
[19:52:18]	[OOC] CCA.C14-GRID.i4.36307: ugh i left ,my phone somewhere brb
[19:52:18]	[LOOC] Journey Robertson: I know right
[19:52:45]	[OOC] CCA.C14-GRID.i4.36307: back
[19:53:00]	Sarah Mundorff has gained a 'Flashlight' #26023.
[19:53:00]	Sarah Mundorff used command '/CharGiveItem mundorff flashlight 1'.
[19:54:34]	CCA.C14-GRID.i4.36307 has gained 10 tokens.
[19:55:30]	Sarah Mundorff entered observer.
[19:55:33]	Sarah Mundorff exited observer at their location.
[19:55:42]	[CGN] Painevan loaded the character 'OTA.C14-ECHO.OWC.22527'
[19:56:24]	[ME] Journey Robertson: holds out a box of pistol ammo for the boi
[19:56:24]	OTA.C14-ECHO.OWC.22527 used command '/Radio Unit is 10-8, heading to sewers for daily patrol.'.
[19:56:27]	Journey Robertson ran 'drop' on item '9mm Pistol Magazine' (#25785)
[19:56:27]	Journey Robertson has lost a '9mm Pistol Magazine' #25785.
[19:56:34]	CCA.C14-GRID.i4.36307 used command '/Radio 10-4'.
[19:56:40]	[LOOC] Journey Robertson: Shine your flashlight on it
[19:56:46]	Journey Robertson ran 'take' on item '9mm Pistol Magazine' (#25785)
[19:56:46]	Journey Robertson has gained a '9mm Pistol Magazine' #25785.
[19:56:55]	[OOC] Journey Robertson: Pain i need you for a moment
[19:57:06]	[LOOC] Jimmy 'Watcher 3' John: you just picked it up
[19:57:08]	[OOC] OTA.C14-ECHO.OWC.22527: sure
[19:57:08]	OTA.C14-ECHO.OWC.22527 entered observer.
[19:57:08]	[LOOC] Jimmy 'Watcher 3' John: did you not
[19:57:27]	[ME] Journey Robertson: takes out a full pair of armored clothing
[19:57:45]	[ME] Journey Robertson: begins putting it on.
[19:58:02]	[LOOC] Journey Robertson: Bet
[19:58:04]	Journey Robertson ran 'drop' on item 'CWU Armor Shirt' (#25579)
[19:58:04]	Journey Robertson has lost a 'CWU Armor Shirt' #25579.
[19:58:04]	Journey Robertson ran 'drop' on item 'Armor Pant' (#25580)
[19:58:04]	Journey Robertson has lost a 'Armor Pant' #25580.
[19:58:06]	OTA.C14-ECHO.OWC.22527 ran 'take' on item 'Armor Pant' (#25580)
[19:58:06]	OTA.C14-ECHO.OWC.22527 has gained a 'Armor Pant' #25580.
[19:58:12]	OTA.C14-ECHO.OWC.22527 ran 'take' on item 'CWU Armor Shirt' (#25579)
[19:58:12]	OTA.C14-ECHO.OWC.22527 has gained a 'CWU Armor Shirt' #25579.
[19:58:15]	[LOOC] Journey Robertson: I'll need them back once this is done (If i make it
[19:58:32]	[LOOC] Journey Robertson: TRULY
[19:58:52]	OTA.C14-ECHO.OWC.22527 used command '/CharSetBodygroup rob torso 10'.
[19:59:07]	OTA.C14-ECHO.OWC.22527 used command '/CharSetBodygroup rob torso 13'.
[19:59:30]	[OOC] Jimmy 'Watcher 3' John: >CP violation plays in background
[19:59:34]	CCA.C14-GRID.i4.36307 has gained 10 tokens.
[19:59:34]	[OOC] Journey Robertson: Yes
[19:59:40]	OTA.C14-ECHO.OWC.22527 used command '/CharSetBodygroup rob legs 3'.
[20:00:09]	[OOC] Journey Robertson: My shirt is still wrong.
[20:00:19]	[OOC] Journey Robertson: Oh wait, yeah i forgot
[20:00:23]	[OOC] Journey Robertson: Sorry
[20:00:30]	Journey Robertson used command '/CharDesc'.
[20:00:43]	Journey Robertson used command '/CharDesc A rather tall man standing at 6'4, He has brown hair and brown eyes. Wearing armored CWU clothing.'.
[20:01:10]	[LOOC] Jimmy 'Watcher 3' John: you know if you just press l it brings up the menu, or maybe i binded l to that
[20:02:06]	[LOOC] Journey Robertson: k
[20:02:26]	[ME] Jimmy 'Watcher 3' John: would dig into his backpack, retrieving said MP7.
[20:02:29]	Jimmy 'Watcher 3' John ran 'drop' on item 'MP7U' (#6361)
[20:02:29]	Jimmy 'Watcher 3' John has lost a 'MP7U' #6361.
[20:02:31]	Journey Robertson ran 'take' on item 'MP7U' (#6361)
[20:02:37]	[LOOC] Journey Robertson: Fucking space
[20:02:38]	[CGN] Painevan loaded the character 'Dispatch'
[20:02:39]	Dispatch entered observer.
[20:02:41]	Journey Robertson ran 'drop' on item 'Corrugated Hose' (#25908)
[20:02:41]	Journey Robertson has lost a 'Corrugated Hose' #25908.
[20:02:42]	Journey Robertson ran 'drop' on item 'UU Brand Cigarette Pack' (#19106)
[20:02:42]	Journey Robertson has lost a 'UU Brand Cigarette Pack' #19106.
[20:02:43]	Journey Robertson ran 'take' on item 'MP7U' (#6361)
[20:02:43]	Journey Robertson has gained a 'MP7U' #6361.
[20:02:45]	Journey Robertson ran 'Equip' on item 'MP7U' (#6361)
[20:02:47]	Journey Robertson ran 'Equip' on item 'MP7U' (#6361)
[20:02:48]	Journey Robertson ran 'EquipUn' on item 'Pipe' (#25942)
[20:02:48]	Journey Robertson ran 'Equip' on item 'MP7U' (#6361)
[20:02:49]	Journey Robertson ran 'Equip' on item 'Pipe' (#25942)
[20:03:35]	Dispatch used command '/Dispatch Citizen reminder, entering or exiting the sewers is a clear sign of Anti-Citizen behavior, report all Anti-Citizens to Civil Protection imediately.'.
[20:03:45]	Dispatch exited observer at their location.
[20:03:45]	[ME] Journey Robertson: Tosses the Mp7 back to the boi
[20:03:47]	Journey Robertson ran 'drop' on item 'MP7U' (#6361)
[20:03:47]	Journey Robertson has lost a 'MP7U' #6361.
[20:03:50]	[ME] Jimmy 'Watcher 3' John: would take the MP7, stuffing it back into his bag
[20:03:52]	Jimmy 'Watcher 3' John ran 'take' on item 'MP7U' (#6361)
[20:03:52]	Jimmy 'Watcher 3' John has gained a 'MP7U' #6361.
[20:03:53]	Journey Robertson ran 'take' on item 'Corrugated Hose' (#25908)
[20:03:53]	Journey Robertson has gained a 'Corrugated Hose' #25908.
[20:03:58]	Dispatch entered observer.
[20:04:08]	Dispatch has spawned a 'NPC [820][npc_zombie]'.
[20:04:09]	Dispatch has spawned a 'NPC [2712][npc_zombie]'.
[20:04:15]	Dispatch has spawned a 'NPC [3204][npc_zombie]'.
[20:04:16]	Dispatch has spawned a 'NPC [3225][npc_zombie]'.
[20:04:18]	Dispatch has spawned a 'NPC [3226][npc_poisonzombie]'.
[20:04:22]	Madeline Wuntch (STEAM_0:0:193599766) has disconnected.
[20:04:24]	Dispatch has spawned a 'NPC [3192][npc_zombie]'.
[20:04:27]	[OOC] Dispatch: f
[20:04:31]	[ME] Jimmy 'Watcher 3' John: would take a knee, holding his gun low.
[20:04:35]	[CGN] Painevan loaded the character 'OTA.C14-ECHO.OWC.22527'
[20:04:54]	OTA.C14-ECHO.OWC.22527 entered observer.
[20:04:57]	OTA.C14-ECHO.OWC.22527 exited observer at their location.
[20:05:48]	OTA.C14-ECHO.OWC.22527 has taken 4 damage from monster_gonome.
[20:05:48]	OTA.C14-ECHO.OWC.22527 has taken 4 damage from monster_gonome.
[20:05:49]	OTA.C14-ECHO.OWC.22527 has taken 4 damage from monster_gonome.
[20:05:49]	OTA.C14-ECHO.OWC.22527 has taken 4 damage from monster_gonome.
[20:06:19]	[OOC] Jimmy 'Watcher 3' John: bring it on, boys
[20:06:41]	[OOC] Journey Robertson: Weird thing to say, coming from the ammoless Watcher.
[20:06:56]	[OOC] Jimmy 'Watcher 3' John: who said i didn't have ammo for my other guns? METABAIT
[20:07:05]	[OOC] Journey Robertson: Imagine
[20:07:21]	OTA.C14-ECHO.OWC.22527 has taken 5 damage from npc_headcrab.
[20:08:03]	[W] Jimmy 'Watcher 3' John: I hear 'em.
[20:08:08]	[ME] Jimmy 'Watcher 3' John: would ready himself, aiming at the door.
[20:09:14]	OTA.C14-ECHO.OWC.22527 used command '/Radio Unit reporting in, tunnels are clear, moving to Metro QZ entrance.'.
[20:09:19]	Madeline Wuntch has connected.
[20:09:27]	[OOC] Jimmy 'Watcher 3' John: big W
[20:09:45]	[OOC] Journey Robertson: This is really fucking cool, and also tense.
[20:10:32]	Madeline Wuntch loaded the character 'CCA.C14-SCN.49218'
[20:10:36]	[OOC] Jimmy 'Watcher 3' John: this is always the scariest part lol
[20:10:42]	[OOC] Journey Robertson: Exactly
[20:10:49]	[OOC] CCA.C14-SCN.49218: guess im a crawling scanner
[20:10:54]	[OOC] Journey Robertson: And also, might have to go AFK.
[20:10:58]	OTA.C14-ECHO.OWC.22527 used command '/Radio Sewers completely clear moving back to stasis.'.
[20:11:03]	OTA.C14-ECHO.OWC.22527 entered observer.
[20:11:04]	OTA.C14-ECHO.OWC.22527 exited observer at their location.
[20:11:06]	[OOC] Journey Robertson: yeah, brb. 
[20:11:24]	OTA.C14-ECHO.OWC.22527 entered observer.
[20:11:27]	OTA.C14-ECHO.OWC.22527 exited observer at their location.
[20:11:37]	[LOOC] Journey Robertson: Best excuse I could get
[20:11:52]	[ME] Journey Robertson: Simply kneels down and goes to sleep
[20:12:19]	[CGN] Painevan loaded the character 'Sarah Mundorff'
[20:12:19]	Sarah Mundorff entered observer.
[20:12:24]	[OOC] CCA.C14-SCN.49218: what the fuck am i
[20:12:36]	[OOC] Sarah Mundorff: Scanner?
[20:12:42]	[OOC] CCA.C14-SCN.49218: *look at me*
[20:12:51]	[OOC] Jimmy 'Watcher 3' John: so uhhhh, wheres the action lmaoo
[20:12:56]	CCA.C14-SCN.49218 used command '/CharFallOver'.
[20:13:05]	CCA.C14-SCN.49218 used command '/CharGetUp'.
[20:13:11]	Sarah Mundorff used command '/CharGiveFlag mundorff petr'.
[20:13:13]	CCA.C14-SCN.49218 used command '/ToggleRaise'.
[20:14:00]	Sarah Mundorff has spawned a 'Entity [2270][npc_wall_pounding_zombie]'.
[20:14:05]	Sarah Mundorff has spawned a 'Entity [2270][npc_wall_pounding_zombie]'.
[20:14:05]	[OOC] CCA.C14-SCN.49218: pill scanner beats helix scanner any time
[20:14:13]	[OOC] CCA.C14-SCN.49218: i can reverse!
[20:14:34]	[OOC] Sarah Mundorff: epic
[20:14:44]	Sarah Mundorff exited observer at their location.
[20:14:45]	Sarah Mundorff entered observer.
[20:14:50]	Sarah Mundorff exited observer at their location.
[20:14:52]	Sarah Mundorff entered observer.
[20:15:12]	[OOC] Journey Robertson: Back
[20:15:23]	[ME] Journey Robertson: wakes up because of the big boi Zombie sounds
[20:15:31]	[OOC] CCA.C14-SCN.49218: i have been blessed by lenin
[20:15:32]	CCA.C14-SCN.49218 has gained 10 tokens.
[20:15:36]	Sarah Mundorff has spawned a 'NPC [2270][npc_zombie]'.
[20:15:39]	Sarah Mundorff has spawned a 'NPC [3192][npc_zombie]'.
[20:15:40]	Sarah Mundorff has spawned a 'NPC [3211][npc_zombie]'.
[20:15:49]	Sarah Mundorff exited observer at their location.
[20:16:36]	[ME] Jimmy 'Watcher 3' John: kept his witts to himself, not really trusting this gal.
[20:16:54]	Sarah Mundorff entered observer.
[20:17:31]	[OOC] CCA.C14-SCN.49218: I JUST GOT ATTACKED BY A FYCJUBG PLANT
[20:17:36]	[OOC] Sarah Mundorff: lmao
[20:18:08]	[OOC] CCA.C14-SCN.49218: i think we should have a chaplain or something to be stationed in the qz
[20:18:15]	[OOC] CCA.C14-SCN.49218: because it's obviously hell there
[20:18:19]	[OOC] Sarah Mundorff: that would be cool
[20:18:47]	[ME] Journey Robertson: Chuckles a little
[20:19:07]	[OOC] CCA.C14-SCN.49218: turrets have horrid aim
[20:19:52]	[OOC] Sarah Mundorff: Also guys
[20:20:02]	[OOC] Journey Robertson: hm?
[20:20:03]	[OOC] Sarah Mundorff: I'm officially allowing the crafting of a bow and arrow
[20:20:07]	[OOC] Journey Robertson: YES
[20:20:09]	[OOC] Sarah Mundorff: Its simple
[20:20:11]	[OOC] Sarah Mundorff: And epic
[20:20:32]	CCA.C14-SCN.49218 has gained 10 tokens.
[20:20:36]	[OOC] CCA.C14-SCN.49218: is there a fucking combine bow on the server
[20:20:44]	Sarah Mundorff has spawned a 'NPC [2274][npc_headcrab_black]'.
[20:20:50]	Sarah Mundorff has spawned a 'NPC [3192][npc_headcrab_black]'.
[20:21:54]	Sarah Mundorff has spawned a 'NPC [3211][npc_barnacle]'.
[20:22:19]	Sarah Mundorff has spawned a 'NPC [3225][npc_zombie]'.
[20:22:20]	Sarah Mundorff has spawned a 'NPC [3227][npc_zombie]'.
[20:22:21]	Sarah Mundorff has spawned a 'NPC [3228][npc_zombie]'.
[20:22:22]	Sarah Mundorff has spawned a 'NPC [3229][npc_zombie]'.
[20:22:24]	Sarah Mundorff has spawned a 'NPC [3230][npc_zombie]'.
[20:22:26]	Sarah Mundorff has spawned a 'NPC [3231][npc_zombie]'.
[20:22:31]	Sarah Mundorff has spawned a 'NPC [3232][npc_zombine]'.
[20:22:31]	[OOC] Journey Robertson: I fucking saw you Spawn those
[20:23:13]	[ME] Journey Robertson: Begins searching the body real quick
[20:23:14]	Journey Robertson rolled 22 out of 100.
[20:23:14]	Journey Robertson used command '/Roll'.
[20:23:18]	[OOC] Journey Robertson: PAIN
[20:23:20]	[OOC] Journey Robertson: LootRP
[20:23:22]	[OOC] Journey Robertson: Now
[20:23:36]	Journey Robertson rolled 77 out of 100.
[20:23:36]	Journey Robertson used command '/Roll'.
[20:23:37]	[IT] Sarah Mundorff: The only thing left is scorching remains of a vest. Not even usable.
[20:23:40]	[LOOC] Journey Robertson: F
[20:23:42]	[LOOC] Journey Robertson: BET
[20:23:45]	[LOOC] Jimmy 'Watcher 3' John: loll
[20:23:47]	[LOOC] Journey Robertson: Good enough
[20:24:00]	Sarah Mundorff has spawned a 'NPC [2271][npc_poisonzombie]'.
[20:25:20]	Sarah Mundorff has spawned a 'NPC [3228][npc_zombie]'.
[20:25:32]	CCA.C14-SCN.49218 has gained 10 tokens.
[20:25:43]	Sarah Mundorff has spawned a 'NPC [3228][npc_barnacle]'.
[20:26:11]	Sarah Mundorff has spawned a 'NPC [3231][npc_zombie]'.
[20:26:42]	Journey Robertson has taken 10 damage from npc_poisonzombie.
[20:26:55]	Jimmy 'Watcher 3' John has taken 5 damage from npc_headcrab_poison.
[20:26:55]	Jimmy 'Watcher 3' John has taken 93 damage from npc_headcrab_poison.
[20:27:31]	[LOOC] Journey Robertson: Fuck*
[20:27:41]	[IT] Sarah Mundorff: The bite looks infected, he has to find a way to disinfect the wound.
[20:28:31]	[LOOC] Sarah Mundorff: if only
[20:28:51]	[LOOC] Journey Robertson: Bruh
[20:29:14]	Sarah Mundorff has spawned a 'NPC [2271][npc_antlion]'.
[20:30:31]	Jimmy 'Watcher 3' John opened the '' #1924 container.
[20:30:31]	Jimmy 'Watcher 3' John closed the '' #1924 container.
[20:30:32]	CCA.C14-SCN.49218 has gained 10 tokens.
[20:30:33]	Jimmy 'Watcher 3' John opened the '' #1924 container.
[20:30:40]	Jimmy 'Watcher 3' John closed the '' #1924 container.
[20:30:50]	[IT] Sarah Mundorff: The condition visibally worsens
[20:30:55]	[LOOC] Journey Robertson: Fucking
[20:31:16]	[OOC] Jimmy 'Watcher 3' John: dont do me dirty cuhhh
[20:31:34]	[LOOC] Journey Robertson: Bruh
[20:31:38]	[OOC] Journey Robertson: Lmao
[20:31:55]	[LOOC] Jimmy 'Watcher 3' John: hold on
[20:31:56]	Sarah Mundorff used command '/CharSetBodygroup mundorff torso 15'.
[20:31:58]	Sarah Mundorff exited observer at their location.
[20:32:00]	[OOC] Journey Robertson: It's just a infinite loop
[20:32:19]	Sarah Mundorff used command '/CharSetBodygroup mundorff torso 20'.
[20:32:20]	Sarah Mundorff entered observer.
[20:32:39]	[Y] Jimmy 'Watcher 3' John: WOMAN!
[20:32:44]	Sarah Mundorff used command '/CharSetBodygroup mundorff torso 14'.
[20:32:44]	Sarah Mundorff exited observer at their location.
[20:32:46]	Sarah Mundorff entered observer.
[20:33:06]	Sarah Mundorff used command '/PM rob Want me to give a h i n t?'.
[20:33:13]	Journey Robertson used command '/Reply No treally'.
[20:33:17]	Journey Robertson used command '/Reply Not really*'.
[20:33:21]	Sarah Mundorff used command '/PM rob ok sure'.
[20:33:22]	[LOOC] Journey Robertson: Thefuck
[20:33:31]	[LOOC] Jimmy 'Watcher 3' John: idek
[20:33:31]	[LOOC] Journey Robertson: Okay
[20:34:41]	[OOC] CCA.C14-SCN.49218: looks like scanners are waterproof
[20:34:45]	[OOC] Sarah Mundorff: yep
[20:35:32]	CCA.C14-SCN.49218 has gained 10 tokens.
[20:36:09]	[LOOC] Journey Robertson: Welp, XYZ you might be fucked
[20:36:13]	[LOOC] Journey Robertson: Sorry about that
[20:36:30]	[IT] Sarah Mundorff: The infection doesn't seem to go away, rather his bloodstreams seems to blacken, you guess he may only have an hour.
[20:36:38]	Sarah Mundorff used command '/PM rob I can always help'.
[20:36:46]	Journey Robertson used command '/Reply Go for it'.
[20:36:55]	Sarah Mundorff used command '/PM rob I mean in the form of a hint'.
[20:37:44]	[OOC] CCA.C14-SCN.49218: i am in the tow truck dimension
[20:38:05]	Sarah Mundorff used command '/PM rob Here is the hint, the Civil Hospital.'.
[20:38:15]	[OOC] Jimmy 'Watcher 3' John: cmon maneeee
[20:38:31]	[OOC] Sarah Mundorff: Ay I'm lookin out for both of yall
[20:38:52]	[Y] Jimmy 'Watcher 3' John: Oi.
[20:39:18]	[LOOC] Journey Robertson: ?*
[20:39:35]	Sarah Mundorff used command '/PM rob btw you have armored clothes on'.
[20:40:32]	CCA.C14-SCN.49218 has gained 10 tokens.
[20:41:07]	[LOOC] Sarah Mundorff: You both can take it off
[20:41:23]	[LOOC] Jimmy 'Watcher 3' John: i also have 3 guns on me so
[20:41:24]	[LOOC] Jimmy 'Watcher 3' John: lmao
[20:41:31]	[LOOC] Sarah Mundorff: true
[20:41:56]	[LOOC] Journey Robertson: Welp, fuck
[20:42:06]	[LOOC] CCA.C14-SCN.49218: nah im chilling
[20:43:47]	[IT] Sarah Mundorff: Your body trembles with pain as the dark infection spreads down your leg's blood viens
[20:44:08]	[OOC] Journey Robertson: Welp, hopefully you don't get fucked
[20:44:13]	Sarah Mundorff used command '/PM rob you fuck'.
[20:44:18]	Journey Robertson used command '/Reply Rude'.
[20:44:19]	Sarah Mundorff used command '/PM rob you can scout of all people'.
[20:44:25]	Journey Robertson used command '/Reply True'.
[20:44:39]	Journey Robertson used command '/Reply but he's also right on deaths door'.
[20:44:47]	Sarah Mundorff exited observer at their location.
[20:44:51]	[CGN] Painevan loaded the character 'Ben Chomizack'
[20:44:52]	Ben Chomizack entered observer.
[20:45:07]	Ben Chomizack exited observer at their location.
[20:45:08]	Journey Robertson used command '/Reply So taking the time to scout is just gonna lead with me coming back and him being dead'.
[20:45:12]	[CGN] Painevan loaded the character 'Sarah Mundorff'
[20:45:13]	Sarah Mundorff entered observer.
[20:45:32]	CCA.C14-SCN.49218 has gained 10 tokens.
[20:45:36]	Sarah Mundorff used command '/PM john if only he had scouted'.
[20:46:06]	Sarah Mundorff used command '/PM john Imma help you'.
[20:46:07]	[OOC] Journey Robertson: Seems like Watcher 3 is having a good time in the new city
[20:46:11]	[OOC] Jimmy 'Watcher 3' John: this is the CMB, right
[20:46:16]	[OOC] Journey Robertson: Already about to fuckin die
[20:46:20]	[OOC] Jimmy 'Watcher 3' John: everything looks the same
[20:46:24]	[OOC] Journey Robertson: It's kinda obvious.
[20:46:30]	Sarah Mundorff used command '/PM john its the thing past that forcefield behind the armored car'.
[20:46:39]	[OOC] Journey Robertson: And remember what I told you, "In front of a forcefield"
[20:46:41]	[ME] Jimmy 'Watcher 3' John: would hide, as he saw the scanner.
[20:46:54]	[OOC] Journey Robertson: That isn't Meta if I already told you at one point
[20:46:57]	Sarah Mundorff exited observer at their location.
[20:47:01]	[OOC] Journey Robertson: Right?
[20:47:11]	[OOC] Journey Robertson: Also, gonna take my shit off.
[20:47:14]	[LOOC] CCA.C14-SCN.49218: get FUCKED
[20:47:18]	[OOC] Journey Robertson: I'll just change the Desc
[20:47:21]	Journey Robertson used command '/CharDesc'.
[20:47:26]	Journey Robertson used command '/CharDesc A rather tall man standing at 6'4, He has brown hair and brown eyes.'.
[20:47:27]	Sarah Mundorff used command '/PM rob ok'.
[20:47:27]	Sarah Mundorff entered observer.
[20:47:33]	[OOC] Jimmy 'Watcher 3' John: im here... i dont see any buildings
[20:47:39]	[OOC] CCA.C14-SCN.49218: why cant scanners yse gates
[20:47:43]	[LOOC] Jimmy 'Watcher 3' John: ..
[20:47:47]	[OOC] Sarah Mundorff: stupid
[20:47:53]	[OOC] Jimmy 'Watcher 3' John: i dont see anything bruh
[20:47:59]	[OOC] Jimmy 'Watcher 3' John: THIS?!?
[20:48:00]	[ME] CCA.C14-SCN.49218: violently photographs the rebel
[20:48:10]	[ME] Jimmy 'Watcher 3' John: would aim up, trying to shoot the scanner down
[20:48:10]	[CGN] Painevan loaded the character 'CCA.C14-HELIX.i4.50299'
[20:48:11]	CCA.C14-HELIX.i4.50299 entered observer.
[20:48:24]	[ME] CCA.C14-SCN.49218: beeps angrily
[20:48:27]	[CGN] Painevan loaded the character 'Sarah Mundorff'
[20:48:28]	Sarah Mundorff entered observer.
[20:48:32]	[ME] Jimmy 'Watcher 3' John: would squeese down on the trigger, sending a rally of bullets towards the thing
[20:48:38]	[OOC] CCA.C14-SCN.49218: hold on
[20:48:41]	CCA.C14-SCN.49218 used command '/CharFallOver'.
[20:48:41]	CCA.C14-SCN.49218 has taken 50 damage from pill_ent_phys.
[20:48:41]	pill_ent_phys has killed CCA.C14-SCN.49218.
[20:48:48]	[OOC] CCA.C14-SCN.49218: i was gonna fall down
[20:48:59]	[ME] Jimmy 'Watcher 3' John: would rush in, holding his gun up
[20:49:09]	Madeline Wuntch loaded the character 'CCA.C14-GRID.i4.36307'
[20:49:12]	[Y] Jimmy 'Watcher 3' John: FUCKIN' HELP ME OR ALL OF YA' ARE DEAD!
[20:49:17]	Madeline Wuntch loaded the character 'Janet Fraiser'
[20:49:32]	[OOC] Journey Robertson: brb
[20:49:32]	Sarah Mundorff exited observer at their location.
[20:49:40]	Madeline Wuntch (STEAM_0:0:193599766) has disconnected.
[20:49:45]	[ME] Sarah Mundorff: raises hands
[20:50:12]	[CGN] Painevan loaded the character 'Ben Chomizack'
[20:50:13]	[LOOC] Jimmy 'Watcher 3' John: ight i gotchu
[20:50:14]	Ben Chomizack entered observer.
[20:50:19]	[CGN] Painevan loaded the character 'Sarah Mundorff'
[20:51:09]	[OOC] Journey Robertson: back, F he's gone
[20:52:00]	[ME] Jimmy 'Watcher 3' John: would sit on the table now, still clenching the pulse rifle tightly.
[20:52:08]	[LOOC] Jimmy 'Watcher 3' John: i wonder if 
[20:52:10]	Jimmy 'Watcher 3' John used command '/ActSit'.
[20:52:14]	[LOOC] Jimmy 'Watcher 3' John: yeaaaa
[20:52:36]	[OOC] Sarah Mundorff: Imagine being stupid and a cp
[20:52:47]	[OOC] Sarah Mundorff: Leaving an armored man with a gun in the streets
[20:52:59]	[ME] Jimmy 'Watcher 3' John: would aim his rifle at the door, taking all precautions.
[20:52:59]	[ME] Sarah Mundorff: grabs a small syringe from the table.
[20:53:11]	[OOC] Journey Robertson: Imagine, but I had to go AFK. I shall
[20:53:15]	Madeline Wuntch has connected.
[20:53:17]	FB|| light ROOM loaded the character 'CCA.C14-UNION.EpU.72633'
[20:53:41]	CCA.C14-UNION.EpU.72633 used command '/Radio Unit is 10-8, status is green. Responding to SCN unit.'.
[20:53:53]	[ME] Jimmy 'Watcher 3' John: would pull his sleeves back even more, taking it past his elbows.
[20:54:25]	Madeline Wuntch loaded the character 'CCA.C14-GRID.i4.36307'
