[00:00:01]	[LOOC] CCA.C17-UNION.i5.83253: ffs...
[17:25:05]	[OOC] Jacob Desmone: is on
[17:25:09]	[OOC] Jacob Desmone: Ill be back in idk a hour or two
[17:25:27]	Major-General Sir Issac Brock KB used the 'Shopkeeper Jim' vendor.
[17:25:28]	Qul'jal has gained a 'Powercord' #40061.
[17:25:29]	Weaponized Turtles (STEAM_0:0:69165544) has disconnected.
[17:26:00]	Ava Carter opened the 'Metal Cabinet' #2806 container.
[17:26:04]	Ava Carter closed the 'Metal Cabinet' #2806 container.
[17:26:07]	Qul'jal has gained a 'Empty Consulate Water Can' #40063.
[17:26:13]	Qul'jal ran 'drop' on item 'Empty Consulate Water Can' (#40063)
[17:26:13]	Qul'jal has lost a 'Empty Consulate Water Can' #40063.
[17:26:42]	DRD loaded the character 'CCA.C17-GRID.i1.23710'
[17:26:44]	Ava Carter has lost 5 tokens.
[17:26:45]	Ava Carter has lost 5 tokens.
[17:26:46]	Ava Carter has lost 5 tokens.
[17:26:48]	Ava Carter has lost 5 tokens.
[17:26:51]	CCA.C17-GRID.i1.23710 entered observer.
[17:26:52]	Ava Carter ran 'take' on item 'Consulate Water' (#40064)
[17:26:52]	Ava Carter has gained a 'Consulate Water' #40064.
[17:26:53]	Ava Carter ran 'take' on item 'Consulate Water' (#40065)
[17:26:53]	Ava Carter has gained a 'Consulate Water' #40065.
[17:26:54]	Ava Carter ran 'take' on item 'Consulate Water' (#40066)
[17:26:54]	Ava Carter has gained a 'Consulate Water' #40066.
[17:26:55]	Ava Carter ran 'take' on item 'Consulate Water' (#40067)
[17:26:55]	Ava Carter has gained a 'Consulate Water' #40067.
[17:27:01]	Qul'jal has gained a 'Minimum Grade Food Product (No Flavor)' #40068.
[17:27:03]	Qul'jal ran 'Consume' on item 'Minimum Grade Food Product (No Flavor)' (#40068)
[17:27:10]	Qul'jal ran 'take' on item 'Power Supply Unit' (#40013)
[17:27:10]	Qul'jal has gained a 'Power Supply Unit' #40013.
[17:27:25]	Qul'jal has gained a 'Pan' #40068.
[17:27:41]	CCA.C17-GRID.i1.23710 exited observer at their location.
[17:27:41]	CCA.C17-GRID.i1.23710 entered observer.
[17:27:41]	CCA.C17-GRID.i1.23710 exited observer at their location.
[17:27:57]	Ava Carter ran 'Consume' on item 'Consulate Water' (#40064)
[17:27:57]	Ava Carter ran 'Consume' on item 'Consulate Water' (#40067)
[17:27:57]	Ava Carter has gained a 'Empty Consulate Water Can' #40070.
[17:27:58]	Ava Carter ran 'Consume' on item 'Consulate Water' (#40066)
[17:27:58]	Ava Carter has gained a 'Empty Consulate Water Can' #40071.
[17:27:59]	Ava Carter ran 'Consume' on item 'Consulate Water' (#40065)
[17:27:59]	Ava Carter has gained a 'Empty Consulate Water Can' #40072.
[17:28:03]	Ava Carter ran 'drop' on item 'Empty Consulate Water Can' (#40070)
[17:28:03]	Ava Carter has lost a 'Empty Consulate Water Can' #40070.
[17:28:04]	Ava Carter ran 'drop' on item 'Empty Consulate Water Can' (#40071)
[17:28:04]	Ava Carter has lost a 'Empty Consulate Water Can' #40071.
[17:28:05]	Ava Carter ran 'drop' on item 'Empty Consulate Water Can' (#40072)
[17:28:05]	Ava Carter has lost a 'Empty Consulate Water Can' #40072.
[17:28:13]	wendigo loaded the character 'Sona la Rona'
[17:28:20]	wendigo loaded the character 'Anomaly'
[17:28:29]	[MEY] Qul'jal: knocks on the door
[17:28:41]	[ME] Anomaly: meows
[17:28:45]	CCA.C17-GRID.i1.23710 used command '/ToggleRaise'.
[17:28:50]	Qul'jal used command '/PM grid Could you open the base door rq.'.
[17:29:03]	CCA.C17-GRID.i1.23710 used command '/ToggleRaise'.
[17:29:07]	Qul'jal used command '/PM grid i need to get off and eat'.
[17:29:11]	CCA.C17-GRID.i1.23710 entered observer.
[17:29:21]	Qul'jal used command '/PM grid danksha'.
[17:29:23]	Lildirtyharry04 (STEAM_0:0:247487472) has disconnected.
[17:29:30]	CCA.C17-GRID.i1.23710 exited observer at their location.
[17:29:35]	CCA.C17-GRID.i1.23710 used command '/ToggleRaise'.
[17:29:42]	CCA.C17-GRID.i1.23710 used command '/PM anomal change your description'.
[17:29:51]	CCA.C17-GRID.i1.23710 used command '/ToggleRaise'.
[17:29:55]	Anomaly used command '/PM grid k'.
[17:29:59]	Anomaly used command '/CharDesc'.
[17:30:07]	Anomaly used command '/CharDesc A bird covered in this Pure Black substance can somtimes be mistaken for a crow'.
[17:30:09]	CCA.C17-GRID.i1.23710 used command '/ToggleRaise'.
[17:30:14]	Anomaly has taken 4 damage from CCA.C17-GRID.i1.23710.
[17:30:56]	CCA.C17-GRID.i1.23710 used command '/ToggleRaise'.
[17:31:05]	CCA.C17-GRID.i1.23710 used command '/ToggleRaise'.
[17:31:10]	CCA.C17-GRID.i1.23710 used command '/ToggleRaise'.
[17:31:42]	CCA.C17-GRID.i1.23710 has gained 10 tokens.
[17:31:53]	wendigo (STEAM_0:1:429480781) has disconnected.
[17:32:04]	CCA.C17-GRID.i1.23710 entered observer.
[17:32:48]	DRD (STEAM_0:0:193599766) has disconnected.
[17:35:59]	FB|| light ROOM has connected.
[17:37:23]	FB|| light ROOM loaded the character 'Ethan King'
[17:37:27]	[OOC] Ethan King: balling 
[17:39:28]	wendigo has connected.
[17:40:21]	wendigo loaded the character 'Ava Carter'
[17:40:49]	[OOC] Ava Carter: ethan imma find u
[17:40:52]	[OOC] Ethan King: wha 
[17:41:11]	Lildirtyharry04 has connected.
[17:41:42]	[OOC] Ethan King: DRD do be  getting on :D
[17:41:55]	Lildirtyharry04 loaded the character 'Qul'jal'
[17:42:06]	[LOOC] Ava Carter: bro just teleported infront of meh
[17:42:15]	[LOOC] Qul'jal: im a vort. I have my ways
[17:42:32]	Qul'jal ran 'drop' on item 'Power Supply Unit' (#40013)
[17:42:32]	Qul'jal has lost a 'Power Supply Unit' #40013.
[17:42:33]	Qul'jal ran 'drop' on item 'Powercord' (#40061)
[17:42:33]	Qul'jal has lost a 'Powercord' #40061.
[17:42:35]	Qul'jal ran 'Equip' on item 'Pan' (#40068)
[17:42:37]	Qul'jal ran 'EquipUn' on item 'Pan' (#40068)
[17:42:38]	Ava Carter ran 'EquipUn' on item 'CCA JUDGE i5 Armor' (#39295)
[17:42:39]	Qul'jal opened the 'Metal Cabinet' #2420 container.
[17:42:42]	Qul'jal closed the 'Metal Cabinet' #2420 container.
[17:42:54]	DRD has connected.
[17:43:01]	Ava Carter ran 'Equip' on item 'CCA JUDGE i5 Armor' (#39295)
[17:43:23]	[ME] Qul'jal: would meditate.... seemingly listening to the vortessence
[17:43:46]	[ME] Qul'jal: would listen.... and only listen....
[17:43:54]	DRD loaded the character 'Paul-Henri Cartier'
[17:43:55]	Paul-Henri Cartier entered observer.
[17:44:05]	[ME] Ethan King: nodded, taking out his Radio from the pouch along his chest rig. He'd look over it's lit screen, announcing the words.
[17:44:10]	Paul-Henri Cartier exited observer at their location.
[17:44:14]	Paul-Henri Cartier used command '/ToggleRaise'.
[17:44:18]	Paul-Henri Cartier used command '/ToggleRaise'.
[17:44:35]	Ava Carter ran 'Frequency' on item 'Handheld Radio' (#39922)
[17:44:39]	Ava Carter used command '/SetFreq 250.5'.
[17:44:47]	Ava Carter used command '/Radio testing testing'.
[17:44:51]	Ethan King used command '/Radio Hard copy.'.
[17:44:59]	[ME] Qul'jal: would think back... attempting regain semblence of lost knowledge.
[17:45:06]	[LOOC] Ethan King: LMAO 
[17:45:10]	[LOOC] Ava Carter: lol
[17:45:15]	[LOOC] Paul-Henri Cartier: fixed
[17:45:36]	[LOOC] Ethan King: doing a thing 
[17:47:31]	[ME] Qul'jal: nods
[17:47:39]	[LOOC] Paul-Henri Cartier: qui be like
[17:47:42]	[LOOC] Paul-Henri Cartier: :flushed:
[17:48:01]	Lynch has connected.
[17:49:10]	Lynch loaded the character 'PVT Nathan Pierce'
[17:49:49]	[ME] Qul'jal: nds
[17:49:51]	[ME] Qul'jal: nods
[17:51:57]	[ME] Qul'jal: would ponder for a moment.
[17:53:47]	[OOC] PVT Nathan Pierce: What's up with the red sociostability?
[17:53:53]	[ME] Ethan King: chuckled, crossing his arms as he looked over the Vortigaunt before him. - "Oh, I'm sure he has."
[17:53:54]	[OOC] Ethan King: yo 
[17:53:59]	[OOC] Ethan King: and uh, events from last night 
[17:54:32]	[LOOC] Paul-Henri Cartier: yoda sounding ass
[17:55:12]	[LOOC] Ethan King: sorry waws afk 
[17:55:20]	[ME] Qul'jal: would gesture to Paul and Ethan.
[17:55:45]	[LOOC] Qul'jal: intriuge*
[17:55:51]	[LOOC] Ethan King: bruh moment 
[17:56:01]	[ME] Paul-Henri Cartier: would glance at Ethan, "Yes. I'm sure it does."
[17:56:02]	[LOOC] Qul'jal: Q literally was giving me RP last night about this lol
[17:56:08]	[LOOC] Paul-Henri Cartier: based
[17:56:18]	[LOOC] Qul'jal: I pm'ed him about objects in the room and you 2 brought the most attention
[17:56:24]	[ME] Ethan King: glanced over at Paul, nodding softly, understandably in a way. - "I'm... sure it does, yeah."
[17:57:34]	[OOC] PVT Nathan Pierce: Nice chit chat..
[17:57:36]	Bean has connected.
[17:57:41]	[OOC] Ava Carter: YOO BEAN
[17:57:44]	[OOC] Ethan King: Passive RP going on 
[17:57:46]	[OOC] Ethan King: smh 
[17:57:48]	[OOC] Paul-Henri Cartier: I HATE BEAN
[17:57:54]	[LOOC] Ethan King: I can really*
[17:57:55]	[OOC] Paul-Henri Cartier: I FUCKING HATE BEAN. KILL BEAN. DIE BEAN.
[17:57:59]	[OOC] Ava Carter: all my homies love and hate bean
[17:58:07]	Bean loaded the character 'Daniel J. Cutter'
[17:58:10]	Daniel J. Cutter ran 'EquipUn' on item 'CCA JUDGE i5 Armor' (#34262)
[17:58:12]	Daniel J. Cutter ran 'Equip' on item 'CCA JUDGE i5 Armor' (#34262)
[17:58:24]	[ME] Qul'jal: would nod, before turning to go sit down and meditate. Thinking about the many questions about the artifact
[17:58:46]	[OOC] Ethan King: afk 
[17:58:53]	Ava Carter ran 'Frequency' on item 'Handheld Radio' (#39922)
[17:59:01]	Daniel J. Cutter ran 'Frequency' on item 'Handheld Radio' (#30696)
[17:59:05]	Daniel J. Cutter used command '/SetFreq 250.5'.
[17:59:14]	[ME] Qul'jal: would begin to mutter in vortigese. Continung his practice...
[17:59:27]	Paul-Henri Cartier entered observer.
[17:59:28]	[OOC] PVT Nathan Pierce: Can a CP flag on, I am very scared.
[17:59:33]	[OOC] Ava Carter: >:)
[17:59:39]	[OOC] Ephraim 'Loew' Harris: you should be
[17:59:40]	[OOC] PVT Nathan Pierce: Shiver me timbers.
[17:59:44]	Ephraim 'Loew' Harris exited observer at their location.
[17:59:46]	Paul-Henri Cartier exited observer at their location.
[17:59:47]	Paul-Henri Cartier entered observer.
[17:59:50]	Paul-Henri Cartier exited observer at their location.
[17:59:50]	Paul-Henri Cartier entered observer.
[17:59:51]	Paul-Henri Cartier exited observer at their location.
[17:59:51]	[OOC] Qul'jal: Qui will not bully thou
[17:59:51]	Paul-Henri Cartier entered observer.
[17:59:52]	Paul-Henri Cartier exited observer at their location.
[17:59:52]	Paul-Henri Cartier entered observer.
[17:59:52]	Paul-Henri Cartier exited observer at their location.
[17:59:53]	Paul-Henri Cartier entered observer.
[17:59:53]	Paul-Henri Cartier exited observer at their location.
[17:59:53]	Paul-Henri Cartier entered observer.
[17:59:53]	Paul-Henri Cartier exited observer at their location.
[17:59:53]	Paul-Henri Cartier entered observer.
[17:59:54]	Paul-Henri Cartier exited observer at their location.
[17:59:54]	Paul-Henri Cartier entered observer.
[18:00:05]	[OOC] PVT Nathan Pierce: paranormal shit going on
[18:00:07]	Paul-Henri Cartier exited observer at their location.
[18:00:07]	Paul-Henri Cartier entered observer.
[18:00:11]	Paul-Henri Cartier exited observer at their location.
[18:00:11]	Paul-Henri Cartier entered observer.
[18:00:13]	Paul-Henri Cartier exited observer at their location.
[18:00:13]	Paul-Henri Cartier entered observer.
[18:00:14]	Paul-Henri Cartier exited observer at their location.
[18:00:14]	Paul-Henri Cartier entered observer.
[18:00:22]	[LOOC] Paul-Henri Cartier: THE SLOW TURN
[18:00:24]	Paul-Henri Cartier exited observer at their location.
[18:00:24]	Paul-Henri Cartier entered observer.
[18:00:28]	Paul-Henri Cartier exited observer at their location.
[18:00:28]	Paul-Henri Cartier entered observer.
[18:00:30]	Paul-Henri Cartier exited observer at their location.
[18:00:30]	Paul-Henri Cartier entered observer.
[18:00:36]	[ME] Qul'jal: would mutter in vort
[18:00:43]	Paul-Henri Cartier exited observer at their location.
[18:00:43]	Paul-Henri Cartier entered observer.
[18:00:45]	Paul-Henri Cartier exited observer at their location.
[18:00:45]	Paul-Henri Cartier entered observer.
[18:00:47]	Paul-Henri Cartier exited observer at their location.
[18:00:47]	Paul-Henri Cartier entered observer.
[18:00:48]	Paul-Henri Cartier exited observer at their location.
[18:00:48]	Paul-Henri Cartier entered observer.
[18:00:49]	Paul-Henri Cartier exited observer at their location.
[18:00:49]	Paul-Henri Cartier entered observer.
[18:00:50]	Paul-Henri Cartier exited observer at their location.
[18:00:50]	Paul-Henri Cartier entered observer.
[18:00:52]	[LOOC] PVT Nathan Pierce: HAH
[18:00:56]	[LOOC] PVT Nathan Pierce: caught you lackin'
[18:00:57]	[LOOC] Paul-Henri Cartier: booo
[18:01:03]	Paul-Henri Cartier has spawned 'models/props_c17/FurnitureDrawer001a.mdl'.
[18:01:07]	Paul-Henri Cartier has spawned 'models/props_c17/fence03a.mdl'.
[18:01:11]	Paul-Henri Cartier has spawned 'models/props_c17/fence03a.mdl'.
[18:01:25]	DRD loaded the character 'CCA.C17-GRID.i1.23710'
[18:01:27]	CCA.C17-GRID.i1.23710 entered observer.
[18:01:37]	[VORTIGESE] Qul'jal: The cords I reach. The cords I climb. The cords I listen. The cords reside. Speak in truth. Speak in name. Memories of my kin, please answer me....
[18:01:38]	CCA.C17-GRID.i1.23710 exited observer at their location.
[18:01:40]	[OOC] PVT Nathan Pierce: Am I supposed to hear this big ass chit chat or nah?
[18:01:41]	CCA.C17-GRID.i1.23710 entered observer.
[18:01:43]	[OOC] Qul'jal: No
[18:01:47]	[OOC] CCA.C17-GRID.i1.23710: you're not, no
[18:01:50]	[OOC] Ava Carter: what big ass chit chat?
[18:01:57]	[OOC] Qul'jal: unless you hear /y's then you hear nothing
[18:01:57]	[OOC] CCA.C17-GRID.i1.23710: its just they're right below you
[18:01:58]	[OOC] PVT Nathan Pierce: Once I blow up the fucking grizzly grotto nobody will chit chat
[18:02:13]	DRD loaded the character 'Paul-Henri Cartier'
[18:02:15]	Paul-Henri Cartier entered observer.
[18:02:25]	[OOC] PVT Nathan Pierce: I'm tired of this goofy aah named " the exiles " group. Pedophiles.
[18:02:26]	[OOC] Ava Carter: nathan remember you cant hear anything under the GG it's just pure concrete underground
[18:02:27]	Paul-Henri Cartier exited observer at their location.
[18:02:42]	[OOC] Qul'jal: yelling you can hear, other than that, nothing. /vort is loud but not RP loud enough unless I use my vortfar Vortfar is hella loud.
[18:02:47]	[OOC] Daniel J. Cutter: Even yelling would be hard to hear...there is a fuck ton of concrete...
[18:02:55]	[OOC] Qul'jal: welll
[18:02:56]	[OOC] PVT Nathan Pierce: Want me to blow up the concrete?
[18:03:00]	[OOC] Qul'jal: I guess thats true.
[18:03:08]	[OOC] Ava Carter: unless you're in the sewers and you hear the /y next to the entrance
[18:03:11]	[OOC] Ethan King: imagine not being apart of an unnamed Rebel Group filled with time travelers 
[18:03:50]	Paul-Henri Cartier ran 'Eat' on item 'UU Brand Bread' (#32471)
[18:03:58]	[OOC] PVT Nathan Pierce: Anyways, I'm going to Nexus to watch something!!
[18:04:06]	[OOC] Ava Carter: ez kill
[18:04:14]	[OOC] PVT Nathan Pierce: bye bye rebels
[18:04:15]	FB|| light ROOM loaded the character 'CCA.C17-UNION.OfC.56321'
[18:04:20]	[OOC] CCA.C17-UNION.OfC.56321: balling 
[18:04:22]	[ME] Qul'jal: continues to listen.... Opening his ears and inner eyes to the possibilties
[18:04:25]	Paul-Henri Cartier entered observer.
[18:04:48]	Bean loaded the character 'CCA.C17-UNION.i5.83253'
[18:04:50]	CCA.C17-UNION.i5.83253 entered observer.
[18:04:50]	CCA.C17-UNION.i5.83253 exited observer at their location.
[18:04:57]	[LOOC] CCA.C17-UNION.i5.83253: void the i5...
[18:05:01]	[LOOC] CCA.C17-UNION.OfC.56321: RcT then?
[18:05:02]	[LOOC] CCA.C17-UNION.i5.83253: Idk why I have it as i5
[18:05:07]	[LOOC] CCA.C17-UNION.i5.83253: Yeah...
[18:05:25]	[LOOC] CCA.C17-UNION.OfC.56321: right, let me do a /me real quick, we can assume you were here from the beginning 
[18:05:37]	DRD loaded the character 'Major-General Sir Issac Brock KB'
[18:05:38]	[LOOC] CCA.C17-UNION.i5.83253: Alr
[18:05:40]	Major-General Sir Issac Brock KB entered observer.
[18:05:43]	[OOC] PVT Nathan Pierce: I am seriously going to bring C4 or something and blow a hole into the hideout.
[18:06:03]	[OOC] Major-General Sir Issac Brock KB: bro you dont know there IS a hideout
[18:06:07]	[ME] CCA.C17-UNION.i5.83253: Would tap his foot against the floor, looking around
[18:06:07]	Major-General Sir Issac Brock KB exited observer at their location.
[18:06:16]	Major-General Sir Issac Brock KB entered observer.
[18:06:16]	[OOC] CCA.C17-UNION.i5.83253: Nor have the nearest idea of there being one..
[18:06:17]	[ME] Qul'jal: would enter stasis. Listening to the vortessence. Communing with the spacial time around him
[18:06:18]	Major-General Sir Issac Brock KB exited observer at their location.
[18:06:18]	Major-General Sir Issac Brock KB entered observer.
[18:06:20]	Major-General Sir Issac Brock KB exited observer at their location.
[18:06:21]	Major-General Sir Issac Brock KB entered observer.
[18:06:21]	Major-General Sir Issac Brock KB exited observer at their location.
[18:06:26]	Lildirtyharry04 loaded the character 'Richard Barley'
[18:06:27]	[OOC] Ava Carter: you're just insaine smh
[18:06:29]	[OOC] PVT Nathan Pierce: but I am SUSPECTING that there is a hideout below grizzly grotto, so fuck yeah just incase.
[18:06:32]	Major-General Sir Issac Brock KB has spawned a 'Entity [3053][gmod_sent_vehicle_fphysics_base]'.
[18:06:34]	[OOC] Richard Barley: Okay. I can stop talking like yoda.
[18:06:36]	[OOC] CCA.C17-UNION.i5.83253: But...Why
[18:06:38]	Major-General Sir Issac Brock KB entered observer.
[18:06:42]	[OOC] PVT Nathan Pierce: because i want to
[18:06:45]	[OOC] Ava Carter: nathan you cant just suspect lmao
[18:06:51]	[OOC] CCA.C17-UNION.i5.83253: I suspect that there is a vending machien meta base 
[18:06:52]	[OOC] Ava Carter: you need an actual reason lmao
[18:06:52]	[ME] CCA.C17-UNION.OfC.56321: stepped into the room, his blue visors searching the area before locking onto the Recruit before him. He'd roll his shoulders, dusting off sections of his mostly well kept Officer uniform, he'd clear his throat, announcing outwards through a hefty vocoder. - "Recruit 832! stand at attention! your trainer is here!"
[18:06:56]	[OOC] Richard Barley: Vort RP will have you talking like yoda IRL if you stay too long 
[18:06:58]	[OOC] PVT Nathan Pierce: nothing can stop me from suspecting.
[18:07:03]	[OOC] PVT Nathan Pierce: cry about it :troll:
[18:07:13]	[OOC] Major-General Sir Issac Brock KB: i can
[18:07:16]	[ME] CCA.C17-UNION.i5.83253: Would quickly glance over at the OfC, quickly moving into a "attention stance"
[18:07:18]	[OOC] Ava Carter: L
[18:07:36]	[OOC] Richard Barley: Don't cry about it. Because 1/2 of the server will waiting for him in that hideout lol
[18:07:39]	Major-General Sir Issac Brock KB exited observer at their location.
[18:07:40]	Major-General Sir Issac Brock KB entered observer.
[18:07:40]	Major-General Sir Issac Brock KB exited observer at their location.
[18:07:41]	Major-General Sir Issac Brock KB entered observer.
[18:07:47]	[OOC] CCA.C17-UNION.i5.83253: You legit wouldn't last a second if you find it...
[18:08:01]	[OOC] CCA.C17-UNION.i5.83253: Like deadass...
[18:08:08]	[OOC] PVT Nathan Pierce: I have 10 grenades strapped to myself, I will jump into the hideout.
[18:08:09]	Major-General Sir Issac Brock KB used command '/ToggleRaise'.
[18:08:14]	[OOC] CCA.C17-UNION.i5.83253: And then die
[18:08:15]	[OOC] Ava Carter: imagine getting a facefull of bullets
[18:08:15]	Major-General Sir Issac Brock KB entered observer.
[18:08:25]	[OOC] Richard Barley: we will just matrix dodge the shrapnel
[18:08:27]	[OOC] CCA.C17-UNION.i5.83253: As you blow up the ladder and lead to no otehr damage
[18:08:28]	[ME] CCA.C17-UNION.OfC.56321: stepped over, his jackboots clicking harshly against the concrete ground as he inspected the unit before him, his blue visors covering him in a light blueish hue as he grunted lightly. - "83253, our newest UNION unit, have you been filled in on  what you'll have to expect of your service under the Civil Authority."
[18:08:34]	[OOC] Ava Carter: nathan YOU DONT EVEN KNOW WHERE THE HIDEOUT IS
[18:08:36]	[OOC] PVT Nathan Pierce: Nah, I will hop in.
[18:08:43]	[OOC] PVT Nathan Pierce: Cry about it :troll:
[18:08:51]	[OOC] Ava Carter: your plan makes no since
[18:08:51]	[OOC] Richard Barley: /me shoots grenade and chest, causing him to explode
[18:08:56]	Major-General Sir Issac Brock KB used command '/ToggleRaise'.
[18:09:07]	Major-General Sir Issac Brock KB used command '/ToggleRaise'.
[18:09:08]	[OOC] PVT Nathan Pierce: sense*
[18:09:09]	[OOC] Richard Barley: grenade on. GOD DAMN vort talk is hurting my brain.
[18:09:15]	CCA.C17-UNION.OfC.56321 has gained 10 tokens.
[18:09:18]	Richard Barley opened the 'Metal Cabinet' #2824 container.
[18:09:22]	[OOC] Ava Carter: i cant inglish
[18:09:26]	Richard Barley closed the 'Metal Cabinet' #2824 container.
[18:09:26]	Richard Barley opened the 'Metal Cabinet' #2825 container.
[18:09:28]	[OOC] Ava Carter: :]
[18:09:29]	Richard Barley closed the 'Metal Cabinet' #2825 container.
[18:09:31]	[OOC] CCA.C17-UNION.i5.83253: You're legit talking to a conscript, nothing in their mind works right
[18:09:35]	[OOC] CCA.C17-UNION.i5.83253: Its all mush
[18:09:48]	CCA.C17-UNION.i5.83253 has gained 10 tokens.
[18:09:51]	[OOC] PVT Nathan Pierce: I am fed 10 tons of crack daily, no problem.
[18:09:57]	Richard Barley has gained a 'Empty Flavored Consulate Water Can' #40074.
[18:10:00]	[OOC] CCA.C17-UNION.i5.83253: You're proving my point
[18:10:02]	Richard Barley ran 'drop' on item 'Empty Flavored Consulate Water Can' (#40074)
[18:10:02]	Richard Barley has lost a 'Empty Flavored Consulate Water Can' #40074.
[18:10:05]	[OOC] Ava Carter: at least he's high as a kite when he dies
[18:10:15]	[OOC] PVT Nathan Pierce: high as a space station
[18:10:25]	Major-General Sir Issac Brock KB has spawned a 'NPC [3061][npc_crow]'.
[18:10:34]	Major-General Sir Issac Brock KB has spawned a 'NPC [3061][npc_antlion]'.
[18:10:44]	[ME] CCA.C17-UNION.OfC.56321: stood over him, inspecting the unit like a hawk as he allowed every word to sink in from the unit. Noting his fearful nature, he'd grasp upon the units mask, inspecting his gear to see if it was pristine. After finding whatever he was looking for through the exterior of the units helmet, he'd let go, speaking out in a domineering tone. - "As of today you'll be beginning your recruitment training under my authority. Congratulations 832, I trust you've read over the guide whilst waiting, yes?"
[18:10:45]	Major-General Sir Issac Brock KB has spawned a 'NPC [3756][npc_antlion]'.
[18:10:46]	[OOC] PVT Nathan Pierce: I really want to RDM the civies so badly...
[18:10:49]	Major-General Sir Issac Brock KB used command '/ToggleRaise'.
[18:10:53]	[OOC] CCA.C17-UNION.OfC.56321: wha 
[18:10:53]	[OOC] Richard Barley: im old. That illegal
[18:11:07]	Major-General Sir Issac Brock KB has spawned a 'NPC [3061][npc_antlion]'.
[18:11:15]	Major-General Sir Issac Brock KB used command '/ToggleRaise'.
[18:11:25]	Major-General Sir Issac Brock KB used command '/ToggleRaise'.
[18:11:47]	[OOC] PVT Nathan Pierce: what happened in that interrogation that Painevan did, I missed it
[18:11:47]	Major-General Sir Issac Brock KB used command '/ToggleRaise'.
[18:12:03]	[OOC] Ava Carter: paine got pk'd
[18:12:08]	[OOC] Ava Carter: :)
[18:12:15]	[OOC] PVT Nathan Pierce: your father
[18:12:15]	Major-General Sir Issac Brock KB used command '/ToggleRaise'.
[18:12:23]	Major-General Sir Issac Brock KB used command '/ToggleRaise'.
[18:12:34]	[OOC] Richard Barley: basically Jacob took the L for someone elses work
[18:12:41]	[OOC] Richard Barley: but he is still alive.
[18:12:48]	Major-General Sir Issac Brock KB used command '/ToggleRaise'.
[18:13:09]	Major-General Sir Issac Brock KB used command '/ToggleRaise'.
[18:13:15]	Major-General Sir Issac Brock KB used command '/ToggleRaise'.
[18:13:27]	Major-General Sir Issac Brock KB used command '/ToggleRaise'.
[18:13:38]	Major-General Sir Issac Brock KB used command '/ToggleRaise'.
[18:13:57]	[OOC] PVT Nathan Pierce: How am I supposed to be promoted if there are no other conscripts alive
[18:13:58]	Major-General Sir Issac Brock KB used command '/ToggleRaise'.
[18:14:03]	Major-General Sir Issac Brock KB used command '/ToggleRaise'.
[18:14:14]	[OOC] CCA.C17-UNION.OfC.56321: I will promo on my Gunnery Sergeant 
[18:14:15]	CCA.C17-UNION.OfC.56321 has gained 10 tokens.
[18:14:18]	[OOC] CCA.C17-UNION.OfC.56321: ez 
[18:14:32]	Major-General Sir Issac Brock KB used command '/ToggleRaise'.
[18:14:37]	Major-General Sir Issac Brock KB used command '/ToggleRaise'.
[18:14:38]	[OOC] PVT Nathan Pierce: The black man was behind it all.
[18:14:41]	Major-General Sir Issac Brock KB used command '/ToggleRaise'.
[18:14:48]	[OOC] Richard Barley: Its kinda like vorts. Do good RP and you will get promoted eventually.
[18:14:59]	Major-General Sir Issac Brock KB exited observer at their location.
[18:15:00]	Major-General Sir Issac Brock KB has taken 294 damage from worldspawn.
[18:15:04]	[OOC] PVT Nathan Pierce: I am doing highRP.
[18:15:05]	Major-General Sir Issac Brock KB has killed Major-General Sir Issac Brock KB.
[18:15:12]	Major-General Sir Issac Brock KB entered observer.
[18:15:13]	[OOC] PVT Nathan Pierce: everyday.
[18:15:20]	[OOC] PVT Nathan Pierce: IT'S NOT HELPING.
[18:15:42]	[ME] CCA.C17-UNION.OfC.56321: grunted lightly, giving a solid 3 seconds of deafening silence as he thought. He'd huff, speaking out of his vocoder once more. - "Slow, but that's close enough. Then how about we go for the basics, hm? explain the division UNION to me, if you've read over the field guide."
[18:16:29]	Major-General Sir Issac Brock KB exited observer at their location.
[18:16:31]	Major-General Sir Issac Brock KB entered observer.
[18:16:31]	Major-General Sir Issac Brock KB exited observer at their location.
[18:16:33]	Major-General Sir Issac Brock KB entered observer.
[18:16:33]	Major-General Sir Issac Brock KB exited observer at their location.
[18:16:35]	Major-General Sir Issac Brock KB entered observer.
[18:16:35]	Major-General Sir Issac Brock KB exited observer at their location.
[18:16:37]	Major-General Sir Issac Brock KB entered observer.
[18:16:44]	Richard Barley has gained a 'Empty Chinese Takeout' #40075.
[18:16:48]	Richard Barley ran 'drop' on item 'Empty Chinese Takeout' (#40075)
[18:16:48]	Richard Barley has lost a 'Empty Chinese Takeout' #40075.
[18:16:49]	Major-General Sir Issac Brock KB exited observer at their location.
[18:17:04]	Major-General Sir Issac Brock KB entered observer.
[18:17:08]	Major-General Sir Issac Brock KB exited observer at their location.
[18:17:08]	Major-General Sir Issac Brock KB entered observer.
[18:17:09]	Major-General Sir Issac Brock KB exited observer at their location.
[18:17:44]	[ME] CCA.C17-UNION.i5.83253: Would let out a exhale of breath, biting his lower lip
