[00:02:50]	Bean has connected.
[07:26:28]	[OOC] Douglas Hudson: gotta click da button
[07:26:30]	[OOC] Ashley Adams: let me look in there
[07:26:34]	[OOC] CCA.C17-HELIX.i3.39867: what button is it
[07:26:41]	[OOC] Ashley Adams: try that?
[07:26:57]	CCA.C17-HELIX.i3.39867 has gained 10 tokens.
[07:27:03]	Dilly_ loaded the character 'CCA.C17-UNION.EpU.93347'
[07:27:09]	[OOC] Ashley Adams: hn
[07:27:14]	[OOC] CCA.C17-HELIX.i3.39867: that is weird
[07:27:17]	[OOC] Ashley Adams: gotta wait till Q comes then
[07:27:25]	[ME] Denford F. MacMillian: continued to slam his head onto the bar slowly and softly, his patience was decreasing...
[07:27:35]	CCA.C17-UNION.EpU.93347 used command '/ViewData Macmillian'.
[07:28:03]	[LOOC] CCA.C17-UNION.EpU.93347: nothin on ya yet
[07:28:06]	[Y] Denford F. MacMillian: Oi.
[07:28:37]	Dilly_ loaded the character 'Douglas Hudson'
[07:28:44]	[OOC] Douglas Hudson: cool door fixed ree
[07:28:50]	[OOC] CCA.C17-HELIX.i3.39867: what was it?
[07:29:03]	[OOC] Douglas Hudson: button on the top floor / inside nexus
[07:29:07]	[OOC] CCA.C17-HELIX.i3.39867: owhh
[07:30:16]	[OOC] Denford F. MacMillian: Am I in a cell because I'm just a convict irl? (Australian moment).
[07:30:26]	[OOC] Ashley Adams: man Q is taking a while.
[07:30:28]	[OOC] Douglas Hudson: YIKES
[07:30:38]	[OOC] Douglas Hudson: think the dude is sleeping gents
[07:30:40]	[OOC] Denford F. MacMillian: Bro I just came on to RP, not to be locked in a cell for no reason!
[07:31:01]	[OOC] CCA.C17-HELIX.i3.39867: there is
[07:31:07]	[OOC] CCA.C17-HELIX.i3.39867: a reason
[07:31:10]	[OOC] Denford F. MacMillian: Is it a good one?>
[07:31:13]	[OOC] Denford F. MacMillian: A valid one?
[07:31:16]	[OOC] CCA.C17-HELIX.i3.39867: yes, a very good and valid one
[07:31:20]	Denford F. MacMillian used command '/PM douglas Cap.'.
[07:31:26]	[OOC] Douglas Hudson: maybe someone reported ya or somethin
[07:31:28]	Denford F. MacMillian used command '/PM douglas PLEASE get on your EpU and deal with this, please.'.
[07:31:35]	[OOC] CCA.C17-HELIX.i3.39867: you're a suspect in a decently large investigation with a lot of evidence
[07:31:35]	[OOC] Denford F. MacMillian: Then why wasn't it logged or on my record.
[07:31:41]	[OOC] CCA.C17-HELIX.i3.39867: thats all i can say
[07:31:48]	[OOC] Denford F. MacMillian: I call cap!
[07:31:57]	CCA.C17-HELIX.i3.39867 has gained 10 tokens.
[07:31:57]	[OOC] CCA.C17-HELIX.i3.39867: you can call cap icly 
[07:32:06]	[OOC] CCA.C17-HELIX.i3.39867: but the reason is more than valid
[07:32:09]	[OOC] Denford F. MacMillian: I can't, because nobody's near me and I came on to RP, not be locked in a cell.
[07:32:12]	[OOC] Douglas Hudson: what we waiting for then
[07:32:16]	[OOC] Ashley Adams: Q
[07:32:17]	[OOC] CCA.C17-HELIX.i3.39867: q 
[07:32:23]	[OOC] Douglas Hudson: dude's not gonna be on likely
[07:32:24]	[OOC] Denford F. MacMillian: What the fuck did I do though?
[07:32:51]	Denford F. MacMillian used command '/PM douglas How much do you wanna bet it's for a minor charge LMFAO.'.
[07:32:56]	[OOC] CCA.C17-HELIX.i3.39867: your character is detained and theres a good reason for it, i can't do anything right now, im sorry, if you make a new character i can process you through
[07:32:58]	[OOC] CCA.C17-HELIX.i3.39867: for now
[07:33:12]	[OOC] Denford F. MacMillian: I don't want to do that though since I only focus on one character at a time.
[07:33:15]	[OOC] CCA.C17-HELIX.i3.39867: i cant really let you out, but i cant interrogate you on my own either
[07:33:25]	[OOC] Denford F. MacMillian: But what did I do? Like Jesus Christ you could at least tell me.
[07:33:32]	Douglas Hudson used command '/PM MacMillian Honestly couldn't tell ya... seems to be somethin else that I don't know about; or a incident or somethin'.
[07:33:48]	Denford F. MacMillian used command '/PM douglas Bro if it's something very minor or just false, and I fucked my sleep for this?'.
[07:33:50]	[OOC] Douglas Hudson: I'm guessin this was from yesterday eh?
[07:33:51]	Denford F. MacMillian used command '/PM douglas I'm leaving.'.
[07:33:52]	[OOC] CCA.C17-HELIX.i3.39867: it involves harassment, contraband, 404 zones among some other things
[07:34:06]	[OOC] Denford F. MacMillian: I don't re-call most of that.
[07:34:28]	Denford F. MacMillian used command '/PM douglas Yeah no.'.
[07:34:40]	Denford F. MacMillian used command '/PM douglas I'm leaving if I'm being accused and left in a cell.'.
[07:34:43]	Denford F. MacMillian used command '/PM douglas This shit isn't fun.'.
[07:34:49]	Douglas Hudson used command '/PM MacMillian couldn't blame you'.
[07:35:04]	Denford F. MacMillian ran 'EquipUn' on item 'Green Citizen Suit' (#26635)
[07:35:04]	Denford F. MacMillian has taken 1 damage from worldspawn.
[07:35:05]	Denford F. MacMillian has taken 1 damage from worldspawn.
[07:35:05]	Denford F. MacMillian has taken 1 damage from worldspawn.
[07:35:06]	Denford F. MacMillian has taken 1 damage from worldspawn.
[07:35:07]	Denford F. MacMillian has taken 1 damage from worldspawn.
[07:35:08]	Denford F. MacMillian has taken 1 damage from worldspawn.
[07:35:08]	Denford F. MacMillian has taken 1 damage from worldspawn.
[07:35:09]	Denford F. MacMillian has taken 1 damage from worldspawn.
[07:35:09]	[OOC] CCA.C17-HELIX.i3.39867: well then maybe it was cap, but i cant exactly let you free. if it was a false thats for us to figure out icly 
[07:35:10]	Denford F. MacMillian has taken 1 damage from worldspawn.
[07:35:11]	Denford F. MacMillian has taken 1 damage from worldspawn.
[07:35:11]	Denford F. MacMillian has taken 1 damage from worldspawn.
[07:35:12]	Denford F. MacMillian has taken 1 damage from worldspawn.
[07:35:13]	Denford F. MacMillian has taken 1 damage from worldspawn.
[07:35:14]	Denford F. MacMillian has taken 1 damage from worldspawn.
[07:35:14]	Denford F. MacMillian has taken 1 damage from worldspawn.
[07:35:15]	Denford F. MacMillian has taken 1 damage from worldspawn.
[07:35:16]	Denford F. MacMillian has taken 1 damage from worldspawn.
[07:35:17]	Denford F. MacMillian has taken 1 damage from worldspawn.
[07:35:17]	Denford F. MacMillian has taken 1 damage from worldspawn.
[07:35:18]	Denford F. MacMillian has taken 1 damage from worldspawn.
[07:35:19]	Denford F. MacMillian has taken 1 damage from worldspawn.
[07:35:19]	Denford F. MacMillian ran 'Equip' on item 'Green Citizen Suit' (#26635)
[07:35:20]	[OOC] CCA.C17-HELIX.i3.39867: and again i cant do anything about it, we have evidence and accounts
[07:35:23]	Douglas Hudson used command '/PM Macmillian even if they did have a good reason, they could atleast wait to detain you until Q / someone else gets on'.
[07:35:30]	Denford F. MacMillian used command '/PM douglas Still.'.
[07:35:36]	Ashley Adams used command '/PM helix Yea, Its not cap, hes done that.'.
[07:35:39]	Denford F. MacMillian used command '/PM douglas I just fucked my sleep so I can RP with people.'.
[07:35:43]	Denford F. MacMillian used command '/PM douglas Guess not.'.
[07:35:55]	Denford F. MacMillian ran 'EquipUn' on item 'Green Citizen Suit' (#26635)
[07:35:55]	Denford F. MacMillian has taken 1 damage from worldspawn.
[07:35:56]	Denford F. MacMillian has taken 1 damage from worldspawn.
[07:35:57]	[OOC] Douglas Hudson: shouldn't need to wait for a Judge to do interrogations, would be recommended but 
[07:35:57]	Denford F. MacMillian has taken 1 damage from worldspawn.
[07:35:58]	Denford F. MacMillian has taken 1 damage from worldspawn.
[07:35:58]	Denford F. MacMillian has taken 1 damage from worldspawn.
[07:35:59]	Denford F. MacMillian has taken 1 damage from worldspawn.
[07:36:00]	Denford F. MacMillian has taken 1 damage from worldspawn.
[07:36:01]	Denford F. MacMillian has taken 1 damage from worldspawn.
[07:36:01]	Denford F. MacMillian has taken 1 damage from worldspawn.
[07:36:02]	Denford F. MacMillian has taken 1 damage from worldspawn.
[07:36:03]	Denford F. MacMillian has taken 1 damage from worldspawn.
[07:36:04]	Denford F. MacMillian has taken 1 damage from worldspawn.
[07:36:04]	Denford F. MacMillian has taken 1 damage from worldspawn.
[07:36:05]	Denford F. MacMillian has taken 1 damage from worldspawn.
[07:36:06]	Denford F. MacMillian has taken 1 damage from worldspawn.
[07:36:06]	[OOC] Ashley Adams: agreed
[07:36:06]	[OOC] Douglas Hudson: to speed things up 
[07:36:07]	Denford F. MacMillian has taken 1 damage from worldspawn.
[07:36:08]	Denford F. MacMillian has taken 1 damage from worldspawn.
[07:36:08]	Denford F. MacMillian has taken 1 damage from worldspawn.
[07:36:09]	Denford F. MacMillian has taken 1 damage from worldspawn.
[07:36:10]	Denford F. MacMillian ran 'Equip' on item 'Green Citizen Suit' (#26635)
[07:36:27]	[OOC] Denford F. MacMillian: Please do.
[07:36:27]	[OOC] Ashley Adams: ALso is Q the only judge?
[07:36:33]	[OOC] CCA.C17-HELIX.i3.39867: i dont want toconduct it by myself as a helix i3
[07:36:39]	[OOC] Denford F. MacMillian: THEN LET THE EPU DO IT!
[07:36:45]	[OOC] CCA.C17-HELIX.i3.39867: dilly?
[07:36:46]	[OOC] Douglas Hudson: works with me
[07:36:47]	[OOC] Denford F. MacMillian: Yes!
[07:36:52]	[OOC] CCA.C17-HELIX.i3.39867: alright
[07:36:56]	[OOC] Denford F. MacMillian: Because I don't want to be in a cell after fucking my sleep to just RP.
[07:36:57]	CCA.C17-HELIX.i3.39867 has gained 10 tokens.
[07:36:59]	Dilly_ loaded the character 'CCA.C17-UNION.EpU.93347'
[07:37:02]	[OOC] Denford F. MacMillian: I just came on to RP, not be locked in a fucking cell.
[07:37:29]	Denford F. MacMillian used command '/PM EPU About to have a fucking mirgrane if she says a stupid response.'.
[07:37:45]	[OOC] CCA.C17-HELIX.i3.39867: actually
[07:38:02]	CCA.C17-UNION.EpU.93347 used command '/Radio 10-8OT Five cycles. Stand by.'.
[07:38:14]	CCA.C17-HELIX.i3.39867 used command '/PM union since i want to get into judge should i do the interrogation'.
[07:38:22]	CCA.C17-HELIX.i3.39867 used command '/PM union will that help'.
[07:38:30]	CCA.C17-UNION.EpU.93347 used command '/PM HELIX up to you ye, I dont mind'.
[07:40:34]	[OOC] Ashley Adams: afk
[07:41:37]	CCA.C17-UNION.EpU.93347 used command '/PM Macmillian Figured it out'.
[07:41:41]	[ME] CCA.C17-HELIX.i3.39867: slides open the cell door, forcefully gripping the citizen and pulling them along,
[07:41:42]	Denford F. MacMillian used command '/PM EpU What was it/'.
[07:41:49]	CCA.C17-UNION.EpU.93347 used command '/PM Macmillian ID'.
[07:41:53]	Denford F. MacMillian used command '/PM EPU What about it?'.
[07:41:57]	CCA.C17-HELIX.i3.39867 has gained 10 tokens.
[07:41:59]	CCA.C17-UNION.EpU.93347 has gained 10 tokens.
[07:42:09]	CCA.C17-UNION.EpU.93347 used command '/PM Macmillian this didn't come from me tho'.
[07:42:20]	Denford F. MacMillian used command '/PM Epu What do you mean by ID?'.
[07:42:35]	[ME] CCA.C17-HELIX.i3.39867: would slide the CID cards and transfer cards along the table, laying them out.
[07:42:44]	CCA.C17-HELIX.i3.39867 used command '/ViewData denford'.
[07:43:19]	[ME] Denford F. MacMillian: sounded confident and calm, his hands were in the open and on the table as he stared at the CP unit...He didn't appear to be lying, but facial expression is key.
[07:43:31]	[LOOC] CCA.C17-UNION.EpU.93347: barricade is unlocked / not there anymore soo... lol
[07:43:39]	[LOOC] Denford F. MacMillian: I found them and reported it to Q first lmfao.
[07:43:52]	[LOOC] Denford F. MacMillian: Some left on the floor, I took it to hand it in.
[07:46:57]	CCA.C17-HELIX.i3.39867 has gained 10 tokens.
[07:46:59]	CCA.C17-UNION.EpU.93347 has gained 10 tokens.
[07:47:42]	Denford F. MacMillian used command '/PM epu Chad Citizen trolling Virgin CP.'.
[07:48:30]	Denford F. MacMillian used command '/PM epu This mf thinks he can get me.'.
[07:48:39]	[OOC] Ashley Adams: back
[07:48:48]	Denford F. MacMillian used command '/PM ashley They're trying to make me confess.'.
[07:48:53]	Denford F. MacMillian used command '/PM ashley Little do they know, I'm a mastermind.'.
[07:49:00]	Denford F. MacMillian used command '/PM ashley At stalling and making the mangry.'.
[07:49:03]	CCA.C17-UNION.EpU.93347 used command '/PM Macmillian I'd be more on the defensive'.
[07:49:14]	Denford F. MacMillian used command '/PM epu Defensive means guilty, and I kept asking for proof.'.
[07:49:19]	Denford F. MacMillian used command '/PM epu They aint' showing it.'.
[07:49:28]	CCA.C17-UNION.EpU.93347 used command '/PM Macmillian tru tru tru'.
[07:50:05]	[ME] CCA.C17-HELIX.i3.39867: would step around the table
[07:50:06]	Denford F. MacMillian used command '/PM Epu Shots fired :troll:'.
[07:51:02]	[ME] CCA.C17-HELIX.i3.39867: would flick the stunstick onto low, before jamming it into the citizen's gut, holding it there for several seconds.
[07:51:04]	CCA.C17-HELIX.i3.39867 used command '/ToggleRaise'.
[07:51:07]	Denford F. MacMillian has taken 5 damage from CCA.C17-HELIX.i3.39867.
[07:51:42]	[Y] CCA.C17-HELIX.i3.39867: <:: You're lying and we both know it. ::>
[07:51:45]	[ME] Denford F. MacMillian: would feel a painful stun as he fell onto the table, he would try to catch his breathe but had struggle for a brief moment...He wouldn't get onto his feet for a bit, coughing from the pain towards his precious Australian gut.
[07:51:57]	CCA.C17-HELIX.i3.39867 has gained 10 tokens.
[07:51:59]	CCA.C17-UNION.EpU.93347 has gained 10 tokens.
[07:52:47]	[ME] Denford F. MacMillian: Salutes the higher ranking individual, even if he doesn't want too.
[07:52:50]	[LOOC] Denford F. MacMillian: void.
[07:53:04]	Denford F. MacMillian used command '/PM epu I have the perfect counter if they're trying to use Ash as a card.'.
[07:54:07]	[ME] Denford F. MacMillian: walked around the table, he seemed...Confident, direct.
[07:54:13]	[LOOC] Denford F. MacMillian: gonna stop me?
[07:54:33]	[ME] CCA.C17-HELIX.i3.39867: grips the citizen and pulls him back, before delivering another swing in the same place.
[07:55:33]	[ME] Denford F. MacMillian: would get pulled back and hit again, the same reaction as before but a little bit worse...He would smile under the mask, but it wasn't quite clear.
[07:56:19]	Denford F. MacMillian used command '/PM epu Do you find this entertaining?'.
[07:56:31]	CCA.C17-UNION.EpU.93347 used command '/PM Macmillian lowkey yes lol'.
[07:56:39]	CCA.C17-UNION.EpU.93347 used command '/PM Macmillian gonna have to have a talk'.
[07:56:40]	Denford F. MacMillian used command '/PM epu The CITIZEN is taking over this interrogation.'.
[07:56:47]	[LOOC] Denford F. MacMillian: *Yes.
[07:56:57]	CCA.C17-HELIX.i3.39867 has gained 10 tokens.
[07:57:00]	CCA.C17-UNION.EpU.93347 used command '/PM Macmillian though I can't see this going well for you? maybe... ?'.
[07:57:14]	CCA.C17-UNION.EpU.93347 used command '/PM Macmillian Atleast with my CP here now'.
[07:57:18]	Denford F. MacMillian used command '/PM epu If they continue to beat me and get nothing, they'll look like an ass.'.
[07:57:26]	CCA.C17-UNION.EpU.93347 used command '/PM Macmillian he aint gonna let something like this slide'.
[07:57:39]	[ME] CCA.C17-HELIX.i3.39867: stops his boot into the citizen's right foot, pressing down. 
[07:57:54]	[ME] Denford F. MacMillian: would tense up, he didn't do anything but stare at the CP...Then chuckled.
[07:58:50]	[ME] CCA.C17-HELIX.i3.39867: would stomp down into his foot.
[07:59:01]	[ME] Denford F. MacMillian: moved his foot to the right, smiling.
[07:59:39]	Denford F. MacMillian used command '/PM EPU I prefer to talk with you on God.'.
[07:59:48]	Denford F. MacMillian used command '/PM EPU Because this HELIX doesn't know SHIT about interrogations.'.
[07:59:55]	[ME] CCA.C17-HELIX.i3.39867: would set the stunstick onto medium, before deliver a blow just above the man's ear, near his temple area.
[07:59:58]	CCA.C17-HELIX.i3.39867 used command '/ToggleRaise'.
[07:59:59]	CCA.C17-HELIX.i3.39867 used command '/ToggleRaise'.
[08:00:06]	[LOOC] CCA.C17-HELIX.i3.39867: this would probably make you go unconscious so
[08:00:07]	Denford F. MacMillian has taken 5 damage from CCA.C17-HELIX.i3.39867.
[08:00:08]	Denford F. MacMillian has taken 5 damage from CCA.C17-HELIX.i3.39867.
[08:00:09]	Denford F. MacMillian has taken 5 damage from CCA.C17-HELIX.i3.39867.
[08:00:10]	Denford F. MacMillian has taken 5 damage from CCA.C17-HELIX.i3.39867.
[08:00:10]	Denford F. MacMillian has taken 5 damage from CCA.C17-HELIX.i3.39867.
[08:00:11]	Denford F. MacMillian has taken 5 damage from CCA.C17-HELIX.i3.39867.
[08:00:13]	[LOOC] Denford F. MacMillian: stop.
[08:00:14]	[LOOC] Denford F. MacMillian: stop.
[08:00:19]	[LOOC] Denford F. MacMillian: ACTUALLY TURN ON THE STUN THING.
[08:00:19]	CCA.C17-UNION.EpU.93347 used command '/PM Macmillian I was, but they insisted on taking over'.
[08:00:25]	Denford F. MacMillian used command '/PM epu They're bad at it.'.
[08:00:26]	[LOOC] CCA.C17-HELIX.i3.39867: what's the key
[08:00:32]	[LOOC] Denford F. MacMillian: I think E + Left chick.
[08:00:33]	[LOOC] CCA.C17-UNION.EpU.93347: alt+left
[08:00:34]	[LOOC] Denford F. MacMillian: *Click.
[08:00:35]	[LOOC] Denford F. MacMillian: Or that.
[08:00:46]	Denford F. MacMillian used command '/CharFallOver'.
[08:00:48]	[LOOC] CCA.C17-UNION.EpU.93347: R to set 
[08:00:49]	[LOOC] Denford F. MacMillian: Just to make it easier.
[08:00:59]	Denford F. MacMillian used command '/PM epu Denford is innocent..Not really but still.'.
[08:01:05]	[ME] CCA.C17-HELIX.i3.39867: drags the man out.
[08:01:13]	[ME] Denford F. MacMillian: was fucking KO'ed.
[08:01:25]	Denford F. MacMillian used command '/CharGetUp'.
[08:01:27]	CCA.C17-UNION.EpU.93347 used command '/PM MacMillian with crimes? no... with being a bit pushy... yes'.
[08:01:38]	[OOC] CCA.C17-HELIX.i3.39867: i need to go for a while
[08:01:41]	[OOC] Denford F. MacMillian: Kk.
[08:01:46]	[LOOC] CCA.C17-HELIX.i3.39867: wait a sec
[08:01:49]	[LOOC] CCA.C17-UNION.EpU.93347: al lgood
[08:01:57]	CCA.C17-HELIX.i3.39867 has gained 10 tokens.
[08:01:59]	CCA.C17-UNION.EpU.93347 has gained 10 tokens.
[08:02:20]	Denford F. MacMillian used command '/PM EPU Bro, funniest thing is Denford knows these tactics because his dad was a former cop.'.
[08:03:05]	Denford F. MacMillian ran 'Edit' on item 'Paper' (#27419)
[08:03:16]	Denford F. MacMillian ran 'drop' on item 'Paper' (#27419)
[08:03:16]	Denford F. MacMillian has lost a 'Paper' #27419.
[08:03:20]	Denford F. MacMillian ran 'take' on item 'Paper' (#27419)
[08:03:20]	Denford F. MacMillian has gained a 'Paper' #27419.
[08:03:22]	Denford F. MacMillian ran 'Edit' on item 'Paper' (#27419)
[08:03:28]	cytoplasm (STEAM_0:0:38537787) has disconnected.
[08:03:39]	[Y] Denford F. MacMillian: Is anyone still there?
[08:03:57]	[OOC] Denford F. MacMillian: So I'm just staying in the cell?
[08:05:52]	[Y] Denford F. MacMillian: I can write.
[08:05:56]	Denford F. MacMillian ran 'View' on item 'Paper' (#27419)
[08:05:58]	Denford F. MacMillian ran 'Edit' on item 'Paper' (#27419)
[08:06:07]	[LOOC] CCA.C17-UNION.EpU.93347: wait are you still restrained?
[08:06:18]	[LOOC] Denford F. MacMillian: No lmao, they let me die in a cell because they left me tied.
[08:06:22]	[LOOC] Denford F. MacMillian: when I needed to apply my filter.
[08:06:22]	[LOOC] CCA.C17-UNION.EpU.93347: WTF
[08:06:24]	[LOOC] CCA.C17-UNION.EpU.93347: WTFFFFF
[08:06:26]	[LOOC] CCA.C17-UNION.EpU.93347: AAAAAAAAAAAAAAAAAAAA
[08:06:59]	CCA.C17-UNION.EpU.93347 has gained 10 tokens.
[08:07:04]	[OOC] CCA.C17-UNION.EpU.93347: wtf the shop aint open
[08:07:04]	CCA.C17-UNION.EpU.93347 used the 'Shopkeeper' vendor.
[08:07:11]	[OOC] Denford F. MacMillian: Just unlock the door :sadge:
[08:07:13]	CCA.C17-UNION.EpU.93347 has lost 50 tokens.
[08:07:13]	CCA.C17-UNION.EpU.93347 has gained a 'Respirator' #27421.
[08:07:17]	[OOC] Denford F. MacMillian: Go to the back and open it up.
[08:07:28]	Ashley Adams used the 'Shopkeeper' vendor.
[08:07:33]	[OOC] CCA.C17-UNION.EpU.93347: nah the window was closed n stuff
[08:07:38]	Ashley Adams has lost 3 tokens.
[08:07:38]	Ashley Adams has gained a 'UU Brand Chips' #27422.
[08:07:44]	[OOC] Denford F. MacMillian: So you're saying I'm fucked?
[08:07:46]	Ashley Adams ran 'Consume' on item 'UU Brand Chips' (#27422)
[08:07:52]	[OOC] CCA.C17-UNION.EpU.93347: lol no I can open it
[08:07:56]	[OOC] Denford F. MacMillian: Nice.
[08:08:00]	[OOC] CCA.C17-UNION.EpU.93347: just that if I wasn't er everyone would die
[08:08:10]	[OOC] CCA.C17-UNION.EpU.93347: oxygen go brr
[08:08:19]	Denford F. MacMillian used command '/Apply'.
[08:08:33]	[ME] CCA.C17-UNION.EpU.93347: he raises one of his arms and starts typin away at his PDA
[08:08:38]	CCA.C17-UNION.EpU.93347 used command '/ViewData Macmillian'.
[08:09:03]	[LOOC] CCA.C17-UNION.EpU.93347: oh fuck
[08:09:06]	[LOOC] Denford F. MacMillian: Hm?
[08:09:07]	[LOOC] CCA.C17-UNION.EpU.93347: I dont have access to em
[08:09:10]	[LOOC] Denford F. MacMillian: LMFAO.
[08:09:10]	[LOOC] CCA.C17-UNION.EpU.93347: like the CID 
[08:09:12]	[LOOC] CCA.C17-UNION.EpU.93347: helix does
[08:09:18]	[LOOC] CCA.C17-UNION.EpU.93347: mutha fucka 
[08:09:26]	[LOOC] Denford F. MacMillian: It was 6 CIDs, 4 transfer coupons.
[08:09:30]	[LOOC] CCA.C17-UNION.EpU.93347: I can't continue this without 
[08:09:31]	[LOOC] Denford F. MacMillian: The HELIX FUCKING DESTROYED THE SUIT CASE.
[08:09:32]	[LOOC] CCA.C17-UNION.EpU.93347: reeee
[08:09:39]	[LOOC] Denford F. MacMillian: Plus I have the suitcase.
[08:09:42]	[LOOC] Denford F. MacMillian: *CID.
[08:09:43]	[LOOC] Denford F. MacMillian: fuck.
[08:10:09]	[ME] Denford F. MacMillian: places his hands onto it.
[08:10:35]	[ME] CCA.C17-UNION.EpU.93347: he opens the gate and tosses something in it
[08:10:41]	CCA.C17-UNION.EpU.93347 ran 'drop' on item 'Respirator' (#27421)
[08:10:41]	CCA.C17-UNION.EpU.93347 has lost a 'Respirator' #27421.
[08:10:45]	Denford F. MacMillian ran 'take' on item 'Respirator' (#27421)
[08:10:45]	Denford F. MacMillian has gained a 'Respirator' #27421.
[08:10:46]	[LOOC] CCA.C17-UNION.EpU.93347: on the ground*
[08:10:48]	Denford F. MacMillian ran 'Equip' on item 'Respirator' (#27421)
[08:10:49]	Denford F. MacMillian ran 'EquipUn' on item 'Green Citizen Suit' (#26635)
[08:11:59]	CCA.C17-UNION.EpU.93347 has gained 10 tokens.
[08:12:22]	[LOOC] CCA.C17-UNION.EpU.93347: prob am gonna have to wait until that dude gets back
[08:12:25]	[LOOC] Denford F. MacMillian: True.
[08:12:27]	[LOOC] CCA.C17-UNION.EpU.93347: either way
[08:12:33]	[LOOC] CCA.C17-UNION.EpU.93347: gonna get into shit
[08:12:36]	[LOOC] Denford F. MacMillian: Alright.
[08:12:36]	[LOOC] CCA.C17-UNION.EpU.93347: that person
[08:12:37]	[LOOC] CCA.C17-UNION.EpU.93347: I guess
[08:12:42]	[LOOC] Denford F. MacMillian: Is he in the wrong lmfao.
[08:12:45]	[LOOC] CCA.C17-UNION.EpU.93347: Until Q arrives
[08:12:55]	[LOOC] CCA.C17-UNION.EpU.93347: realistically ye, we don't really have much right now
[08:12:58]	[LOOC] Denford F. MacMillian: True.
[08:16:59]	CCA.C17-UNION.EpU.93347 has gained 10 tokens.
[08:18:43]	[ME] CCA.C17-UNION.EpU.93347: he raises one of his arms and begins typing once again on his PDA, he tilts his head and pauses, "Hm?"
[08:19:40]	CCA.C17-UNION.EpU.93347 used command '/ViewObjectives'.
[08:21:37]	[ME] Denford F. MacMillian: would comply with the EpU because he has too, he showed utter compliance...Could he be innocent?
[08:21:38]	[LOOC] Denford F. MacMillian: No.
[08:21:40]	[LOOC] Denford F. MacMillian: The answer is no.
[08:21:50]	[ME] CCA.C17-UNION.EpU.93347: he grabs the individual's wrists and ties them up with a ziptie
[08:21:59]	CCA.C17-UNION.EpU.93347 ran 'Use' on item 'Zip Tie' (#25859)
[08:22:11]	[LOOC] CCA.C17-UNION.EpU.93347: just gotta wait for that *helix* now
[08:22:12]	[LOOC] Denford F. MacMillian: AH-
[08:22:29]	[LOOC] CCA.C17-UNION.EpU.93347: void
[08:22:31]	[LOOC] Denford F. MacMillian: void.
[08:22:33]	[LOOC] Denford F. MacMillian: lmfao.
[08:22:44]	[LOOC] Denford F. MacMillian: I could wait the few hours.
[08:22:46]	[LOOC] CCA.C17-UNION.EpU.93347: it's the waiting game fuuuuuuuuuuuuuuuuuuuuuuuuuuuu
[08:22:46]	[LOOC] Denford F. MacMillian: Or, OR.
[08:22:49]	[LOOC] Denford F. MacMillian: I could go to bed.
[08:23:00]	[LOOC] CCA.C17-UNION.EpU.93347: you should, it's what like 12 there?
[08:23:07]	[LOOC] Denford F. MacMillian: 11:22PM/
[08:23:12]	[LOOC] Denford F. MacMillian: It's why I complained.
[08:23:18]	[LOOC] CCA.C17-UNION.EpU.93347: yeeesh I gotta go to work soon ffs
[08:23:26]	[LOOC] Denford F. MacMillian: Alright, yeah probably best we hop off.
[08:23:29]	[LOOC] Denford F. MacMillian: Cya around nerd.
[08:23:34]	[LOOC] CCA.C17-UNION.EpU.93347: you on in the morn?
[08:23:41]	[LOOC] Denford F. MacMillian:  I think so, yeah.
[08:23:48]	[LOOC] CCA.C17-UNION.EpU.93347: sweet I'll be up n around then
[08:23:49]	[LOOC] Denford F. MacMillian: But you're a life saviour.
[08:23:52]	[LOOC] CCA.C17-UNION.EpU.93347: prob continue this
[08:23:57]	[LOOC] Denford F. MacMillian: yep.
[08:24:01]	[LOOC] CCA.C17-UNION.EpU.93347: no worries pal 
[08:24:05]	[LOOC] CCA.C17-UNION.EpU.93347: void
[08:24:19]	[Y] Denford F. MacMillian: Tell the HELIX unit they suck.
[08:24:22]	[DG] Roach (STEAM_0:0:170921441) has disconnected.
[08:24:27]	[OOC] Ashley Adams: Damn
[08:24:30]	[OOC] CCA.C17-UNION.EpU.93347: f
[08:24:37]	[OOC] Ashley Adams: what happened?
[08:24:39]	[OOC] CCA.C17-UNION.EpU.93347: ye lotta folks are hoppin' off 
[08:24:51]	[OOC] CCA.C17-UNION.EpU.93347: interrogations gone *WRONG* 
[08:24:59]	[OOC] Ashley Adams: oh now Im intrieged
[08:25:11]	[OOC] CCA.C17-UNION.EpU.93347: I can't do anything because uhhh... no evidence; it's all leaning towards the HELIX 
[08:25:21]	[OOC] CCA.C17-UNION.EpU.93347: So we're just waitin but they had to go
[08:25:23]	[OOC] Ashley Adams: Yea the helix has a shit ton
[08:25:43]	[OOC] Ashley Adams: Im also waiting On Q to accept my CCA app
[08:25:49]	[OOC] Ashley Adams: and my CWU
[08:26:01]	[OOC] CCA.C17-UNION.EpU.93347: I know Q's got work today but uhhh this weekend should be pretty nice
[08:26:12]	[OOC] CCA.C17-UNION.EpU.93347: atleast from what he's said on discord
[08:26:33]	[OOC] Ashley Adams: isnt it already this weekend?
[08:26:37]	[OOC] CCA.C17-UNION.EpU.93347: ye
[08:26:59]	CCA.C17-UNION.EpU.93347 has gained 10 tokens.
[08:27:09]	[OOC] CCA.C17-UNION.EpU.93347: prob doesn't have work tomorrow tho so we'll have more peeps on 
[08:27:18]	[OOC] Ashley Adams: god i hope
