[13:34:03]	Bullhuss has connected.
[19:44:26]	Jacob Desmone closed the 'Padlocked Locker' #2847 container.
[19:44:30]	Jacob Desmone opened the 'Padlocked Locker' #2846 container.
[19:44:35]	Jacob Desmone has gained a 'Empty Flavored Consulate Water Can' #35060.
[19:44:36]	Jacob Desmone has gained a 'Consulate Water' #35131.
[19:44:41]	Jacob Desmone has gained a 'Empty Consulate Water Can' #34695.
[19:44:42]	Jacob Desmone closed the 'Padlocked Locker' #2846 container.
[19:44:51]	John Reece ran 'drop' on item 'Small Thermos' (#35099)
[19:44:51]	John Reece has lost a 'Small Thermos' #35099.
[19:44:51]	Jacob Desmone has gained a 'Scrap Metal' #35874.
[19:44:52]	Jacob Desmone has gained a 'Scrap Metal' #35875.
[19:44:52]	Jacob Desmone has gained a 'Scrap Metal' #35876.
[19:44:53]	Jacob Desmone has gained a 'Scrap Metal' #35877.
[19:44:59]	John Reece ran 'take' on item 'Small Thermos' (#35099)
[19:44:59]	John Reece has gained a 'Small Thermos' #35099.
[19:45:03]	Sona la Rona has taken 1 damage from worldspawn.
[19:45:03]	Sona la Rona has taken 1 damage from worldspawn.
[19:45:04]	Sona la Rona has taken 1 damage from worldspawn.
[19:45:07]	Jacob Desmone opened the 'Padlocked Locker' #2846 container.
[19:45:08]	Sona la Rona ran 'Equip' on item 'Green Citizen Suit' (#35831)
[19:45:11]	Jacob Desmone has gained a 'Empty Flavored Consulate Water Can' #34619.
[19:45:12]	Jacob Desmone has gained a 'Empty Flavored Consulate Water Can' #34508.
[19:45:12]	Jacob Desmone closed the 'Padlocked Locker' #2846 container.
[19:45:18]	Jacob Desmone has gained a 'Scrap Metal' #35878.
[19:45:18]	Jacob Desmone has gained a 'Scrap Metal' #35879.
[19:45:30]	Jacob Desmone ran 'Consume' on item 'Consulate Water' (#35131)
[19:45:30]	Jacob Desmone has gained a 'Empty Consulate Water Can' #35880.
[19:45:33]	Jacob Desmone has gained a 'Scrap Metal' #35880.
[19:45:39]	Jacob Desmone has gained a 'Weapon Parts' #35880.
[19:45:45]	Jacob Desmone ran 'drop' on item 'Insulating Tape' (#34445)
[19:45:45]	Jacob Desmone has lost a 'Insulating Tape' #34445.
[19:45:53]	Jacob Desmone has gained a 'Weapon Parts' #35881.
[19:45:54]	Jacob Desmone opened the 'Padlocked Locker' #2846 container.
[19:45:57]	Jacob Desmone closed the 'Padlocked Locker' #2846 container.
[19:46:06]	Jacob Desmone ran 'drop' on item 'Scrap Metal' (#35879)
[19:46:06]	Jacob Desmone has lost a 'Scrap Metal' #35879.
[19:46:09]	Jacob Desmone opened the 'Padlocked Locker' #2846 container.
[19:46:11]	Jacob Desmone closed the 'Padlocked Locker' #2846 container.
[19:46:14]	Jacob Desmone opened the 'Padlocked Locker' #2846 container.
[19:46:17]	Jacob Desmone closed the 'Padlocked Locker' #2846 container.
[19:46:40]	[LOOC] Sona la Rona: i could so easily steal that rn
[19:47:02]	[Y] Sona la Rona: SIR!
[19:47:24]	Jacob Desmone ran 'drop' on item 'Electric Drill' (#34592)
[19:47:24]	Jacob Desmone has lost a 'Electric Drill' #34592.
[19:47:25]	Jacob Desmone ran 'drop' on item 'Pliers' (#24429)
[19:47:25]	Jacob Desmone has lost a 'Pliers' #24429.
[19:47:33]	Jacob Desmone ran 'take' on item 'Pliers' (#24429)
[19:47:33]	Jacob Desmone has gained a 'Pliers' #24429.
[19:47:49]	[OOC] Jacob Desmone: uhh my drill is stuck
[19:47:52]	[OOC] Jacob Desmone: nvm lmao
[19:47:54]	Jacob Desmone ran 'take' on item 'Electric Drill' (#34592)
[19:47:54]	Jacob Desmone has gained a 'Electric Drill' #34592.
[19:47:59]	[OOC] Sona la Rona: wha- huh
[19:48:03]	Jacob Desmone ran 'Equip' on item 'Crowbar' (#35164)
[19:48:05]	CCA.C17-HELIX.i3.08874 has gained 10 tokens.
[19:48:11]	Jacob Desmone ran 'drop' on item 'Pliers' (#24429)
[19:48:11]	Jacob Desmone has lost a 'Pliers' #24429.
[19:48:12]	Jacob Desmone ran 'drop' on item 'Electric Drill' (#34592)
[19:48:12]	Jacob Desmone has lost a 'Electric Drill' #34592.
[19:48:13]	Jacob Desmone ran 'drop' on item 'RF Transmitter' (#35196)
[19:48:13]	Jacob Desmone has lost a 'RF Transmitter' #35196.
[19:49:26]	[OOC] Jacob Desmone: its a error for me
[19:49:29]	[OOC] Jacob Desmone: what are u holding
[19:49:34]	[OOC] Sona la Rona: an axe
[19:49:38]	[OOC] Jacob Desmone: fr?
[19:49:42]	[OOC] Sona la Rona: maybe
[19:50:07]	[ME] CCA.C17-HELIX.i3.08874: picks it up and slings it.
[19:50:09]	CCA.C17-HELIX.i3.08874 ran 'take' on item 'Axe' (#33892)
[19:50:09]	CCA.C17-HELIX.i3.08874 has gained a 'Axe' #33892.
[19:50:14]	[LOOC] Jacob Desmone: its a error
[19:50:17]	[LOOC] Jacob Desmone: I can't see it
[19:50:38]	CCA.C17-HELIX.i3.08874 used command '/Radio Additional piece recovered.'.
[19:51:32]	Sona la Rona used command '/Apply'.
[19:51:39]	Jacob Desmone used command '/Request it seems I found some kind of meat in a alleyway it doesn't look human'.
[19:51:43]	Jacob Desmone used command '/Request should I be worried?'.
[19:52:20]	Jacob Desmone used command '/Request I found it outisde the grizzly grotto in the alleyway if I should dispose of it but it looks diseased of some kind'.
[19:52:42]	CCA.C17-HELIX.i3.08874 used command '/ViewData sona'.
[19:53:05]	CCA.C17-HELIX.i3.08874 has gained 10 tokens.
[19:53:39]	Jacob Desmone has gained a 'Empty Consulate Water Can' #35882.
[19:53:44]	Jacob Desmone has gained a 'Scrap Metal' #35882.
[19:55:12]	[OOC] Sona la Rona: 5 lp les go (i think)
[19:55:45]	CCA.C17-HELIX.i3.08874 used command '/Radio Investing possible xenogen outbreak.'.
[19:56:37]	Sona la Rona has gained a 'Old Newspaper' #35883.
[19:56:45]	Sona la Rona has gained a 'Broken Clock' #35884.
[19:56:47]	Sona la Rona ran 'drop' on item 'Broken Clock' (#35884)
[19:56:47]	Sona la Rona has lost a 'Broken Clock' #35884.
[19:56:48]	Sona la Rona ran 'drop' on item 'Old Newspaper' (#35883)
[19:56:48]	Sona la Rona has lost a 'Old Newspaper' #35883.
[19:56:58]	Sona la Rona opened the 'Dumpster' #239 container.
[19:57:00]	Sona la Rona closed the 'Dumpster' #239 container.
[19:57:37]	Jacob Desmone ran 'take' on item 'Raw Antlion Meat' (#34403)
[19:57:37]	Jacob Desmone has gained a 'Raw Antlion Meat' #34403.
[19:57:47]	[LOOC] Jacob Desmone: I can't drop it
[19:58:00]	Jacob Desmone ran 'drop' on item 'Raw Antlion Meat' (#34403)
[19:58:00]	Jacob Desmone has lost a 'Raw Antlion Meat' #34403.
[19:58:05]	CCA.C17-HELIX.i3.08874 has gained 10 tokens.
[19:58:08]	Sona la Rona has gained a 'Empty Cooking Oil Bottle' #35885.
[19:58:08]	[ME] Jacob Desmone: Sets it down with the fryingpan
[19:58:10]	Sona la Rona ran 'drop' on item 'Empty Cooking Oil Bottle' (#35885)
[19:58:10]	Sona la Rona has lost a 'Empty Cooking Oil Bottle' #35885.
[19:58:40]	[ME] CCA.C17-HELIX.i3.08874: puts on a sanitized rubber glove over one hand and grabs it.
[19:58:41]	CCA.C17-HELIX.i3.08874 ran 'take' on item 'Raw Antlion Meat' (#34403)
[19:59:02]	Jacob Desmone ran 'take' on item 'Empty Consulate Water Can' (#35862)
[19:59:02]	Jacob Desmone has gained a 'Empty Consulate Water Can' #35862.
[19:59:02]	Sona la Rona ran 'take' on item 'Locker Door' (#35074)
[19:59:54]	execution_hurt destroyed a 'Raw Antlion Meat' #34403.
[20:00:48]	[ME] CCA.C17-HELIX.i3.08874: sighs into the vocoder
[20:00:50]	CCA.C17-HELIX.i3.08874 used the 'Box of Posters' vendor.
[20:00:54]	CCA.C17-HELIX.i3.08874 has gained 0 tokens.
[20:00:54]	CCA.C17-HELIX.i3.08874 has gained a 'Human Science Eye Poster' #35886.
[20:00:56]	CCA.C17-HELIX.i3.08874 has gained 0 tokens.
[20:00:56]	CCA.C17-HELIX.i3.08874 has gained a 'Report the Vort Poster' #35887.
[20:00:58]	CCA.C17-HELIX.i3.08874 has gained 0 tokens.
[20:00:58]	CCA.C17-HELIX.i3.08874 has gained a 'Cremator Poster' #35888.
[20:01:03]	[LOOC] Sona la Rona: "poor officer" lol
[20:01:09]	[LOOC] Jacob Desmone: he work hard
[20:01:11]	CCA.C17-HELIX.i3.08874 ran 'drop' on item 'Cremator Poster' (#35888)
[20:01:11]	CCA.C17-HELIX.i3.08874 has lost a 'Cremator Poster' #35888.
[20:01:13]	CCA.C17-HELIX.i3.08874 ran 'drop' on item 'Human Science Eye Poster' (#35886)
[20:01:13]	CCA.C17-HELIX.i3.08874 has lost a 'Human Science Eye Poster' #35886.
[20:01:15]	CCA.C17-HELIX.i3.08874 ran 'drop' on item 'Report the Vort Poster' (#35887)
[20:01:15]	CCA.C17-HELIX.i3.08874 has lost a 'Report the Vort Poster' #35887.
[20:01:16]	Sona la Rona ran 'take' on item 'Human Science Eye Poster' (#35886)
[20:01:16]	Sona la Rona has gained a 'Human Science Eye Poster' #35886.
[20:01:17]	Sona la Rona ran 'take' on item 'Report the Vort Poster' (#35887)
[20:01:17]	Sona la Rona has gained a 'Report the Vort Poster' #35887.
[20:01:19]	CCA.C17-HELIX.i3.08874 ran 'drop' on item 'Axe' (#33892)
[20:01:19]	CCA.C17-HELIX.i3.08874 has lost a 'Axe' #33892.
[20:01:20]	Sona la Rona ran 'take' on item 'Cremator Poster' (#35888)
[20:01:20]	Sona la Rona has gained a 'Cremator Poster' #35888.
[20:01:29]	[LOOC] Jacob Desmone: yay errors
[20:01:43]	[LOOC] Jacob Desmone: I need to download source
[20:01:45]	[LOOC] Sona la Rona: you sure you have the content installed?
[20:01:48]	[LOOC] Jacob Desmone: yea
[20:01:54]	[LOOC] Jacob Desmone: I just need source
[20:02:06]	Sona la Rona ran 'place' on item 'Human Science Eye Poster' (#35886)
[20:02:25]	[OOC] Jacob Desmone: he gave you work
[20:02:28]	[OOC] Jacob Desmone: and you walked away lmao
[20:02:33]	[OOC] CCA.C17-HELIX.i3.08874: He got the posteres
[20:02:35]	[OOC] Sona la Rona: yeah im putting up posters
[20:02:36]	[OOC] Jacob Desmone: ohhh
[20:02:36]	[OOC] CCA.C17-HELIX.i3.08874: Posteres
[20:02:43]	CCA.C17-GRID.i3.10945 has gained 10 tokens.
[20:03:05]	CCA.C17-HELIX.i3.08874 has gained 10 tokens.
[20:03:21]	Sona la Rona ran 'take' on item 'Empty Tin Can' (#35848)
[20:03:21]	Sona la Rona has gained a 'Empty Tin Can' #35848.
[20:03:24]	Sona la Rona ran 'place' on item 'Report the Vort Poster' (#35887)
[20:03:40]	Sona la Rona ran 'place' on item 'Cremator Poster' (#35888)
[20:04:53]	Jacob Desmone opened the 'Trash Bin' #2551 container.
[20:04:55]	Jacob Desmone closed the 'Trash Bin' #2551 container.
[20:04:57]	Sona la Rona used command '/Apply'.
[20:05:05]	Jacob Desmone opened the 'Dumpster' #2736 container.
[20:05:06]	CCA.C17-HELIX.i3.08874 used command '/ViewData rona'.
[20:05:12]	Jacob Desmone closed the 'Dumpster' #2736 container.
[20:05:22]	Jacob Desmone opened the 'Metal Cabinet' #2810 container.
[20:05:24]	Jacob Desmone closed the 'Metal Cabinet' #2810 container.
[20:05:24]	Jacob Desmone opened the 'Metal Cabinet' #2811 container.
[20:05:26]	Jacob Desmone closed the 'Metal Cabinet' #2811 container.
[20:05:28]	Jacob Desmone opened the 'Large Refrigerator' #2808 container.
[20:05:34]	Jacob Desmone closed the 'Large Refrigerator' #2808 container.
[20:07:02]	Sona la Rona opened the 'Dumpster' #2736 container.
[20:07:06]	Sona la Rona has gained a 'Empty Consulate Water Can' #35862.
[20:07:07]	Sona la Rona closed the 'Dumpster' #2736 container.
[20:07:55]	Sona la Rona has gained a 'Circuit Board' #35886.
[20:08:05]	CCA.C17-HELIX.i3.08874 has gained 10 tokens.
[20:08:19]	Sona la Rona has gained a 'Military Circuit Board' #35887.
[20:08:54]	[OOC] CCA.C17-GRID.i3.10945: FUCKING A
[20:08:56]	[OOC] CCA.C17-GRID.i3.10945: I am back back
[20:08:57]	[OOC] CCA.C17-GRID.i3.10945: sorry
[20:08:59]	[OOC] CCA.C17-HELIX.i3.08874: welcome
[20:09:00]	[OOC] Jacob Desmone: hi
[20:09:03]	[OOC] CCA.C17-HELIX.i3.08874: my man wants to become a slave
[20:09:08]	[OOC] CCA.C17-HELIX.i3.08874: *consented*
[20:09:09]	[OOC] Jacob Desmone: yea
[20:09:10]	[OOC] CCA.C17-GRID.i3.10945: holy mother of fuck my UI looks uigly w9th my cheap monitor
[20:09:11]	CCA.C17-GRID.i3.10945 entered observer.
[20:09:13]	Sona la Rona ran 'drop' on item 'Military Circuit Board' (#35887)
[20:09:13]	Sona la Rona has lost a 'Military Circuit Board' #35887.
[20:09:14]	Sona la Rona ran 'drop' on item 'Circuit Board' (#35886)
[20:09:14]	Sona la Rona has lost a 'Circuit Board' #35886.
[20:09:19]	[OOC] Jacob Desmone: also did you check out the other apps
[20:09:22]	[OOC] Jacob Desmone: or just his rn
[20:09:24]	Sona la Rona ran 'take' on item 'Cables' (#35486)
[20:09:24]	Sona la Rona has gained a 'Cables' #35486.
[20:09:25]	Sona la Rona ran 'take' on item 'Scrap Electronics' (#35744)
[20:09:25]	Sona la Rona has gained a 'Scrap Electronics' #35744.
[20:09:33]	Sona la Rona has gained a 'Flashlight' #35888.
[20:09:35]	[OOC] CCA.C17-GRID.i3.10945: i looked at yours and i need to reply to it
[20:09:38]	[OOC] Jacob Desmone: ok
[20:09:42]	[OOC] CCA.C17-HELIX.i3.08874: you fai
[20:09:44]	[OOC] CCA.C17-GRID.i3.10945: they're fast to reply to, let me handle reece making a new char
[20:09:50]	[OOC] Jacob Desmone: Ik its kinda shit but I haven't played hl2 in a while
[20:09:51]	CCA.C17-GRID.i3.10945 used command '/PlyWhitelist reece cac'.
[20:10:04]	[OOC] Sona la Rona: I MADE A MAKESHIFT FLASHLIGHT LES GO
[20:10:13]	[OOC] Jacob Desmone: but I used the handbook and other stuff as resources
[20:10:13]	[OOC] CCA.C17-HELIX.i3.08874: 8 tokens was too much
[20:10:32]	[OOC] Sona la Rona: 8 TOKENS FOR A FLASHLIGHT, duh it's too much
[20:10:42]	[OOC] Jacob Desmone: you get stats anyway
[20:10:47]	[OOC] Sona la Rona: ikr
[20:10:47]	[OOC] CCA.C17-HELIX.i3.08874: I HATE THE ECONOMY I HATE THE ECONOMY
[20:10:50]	[OOC] Jacob Desmone: its easy to make flashlight thats how I got like 52 engineering
[20:10:58]	Sona la Rona has gained a 'Empty Chinese Takeout' #35889.
[20:11:01]	Sona la Rona ran 'drop' on item 'Empty Chinese Takeout' (#35889)
[20:11:01]	Sona la Rona has lost a 'Empty Chinese Takeout' #35889.
[20:11:01]	[OOC] Jacob Desmone: yea 50 engineering and 49 fabrication
[20:11:28]	[OOC] Sona la Rona: 1 token flashlight when?
[20:11:35]	[OOC] CCA.C17-HELIX.i3.08874: poor
[20:11:38]	[OOC] Sona la Rona: ikr
[20:11:46]	[OOC] Jacob Desmone: L
[20:11:48]	[OOC] Jacob Desmone: make money
[20:11:50]	[OOC] Jacob Desmone: like me
[20:11:52]	[OOC] Jacob Desmone: a good citizen
[20:12:17]	[OOC] Sona la Rona: well how do i just ask the cp to give me fuckinmg money
[20:12:20]	[ME] CCA.C17-GRID.i3.10945: takes out their datapad and types a couple things in.
[20:12:21]	[OOC] Jacob Desmone: rations give money
[20:12:24]	[OOC] CCA.C17-GRID.i3.10945: beg them for ar aiton cycel
[20:12:28]	[OOC] Jacob Desmone: take your loan from me your local meth dealer
[20:12:31]	[OOC] CCA.C17-GRID.i3.10945: i'll do it once reece is done making his char
[20:12:40]	[OOC] Jacob Desmone: a cycle was like 20 mins ago
[20:12:43]	CCA.C17-GRID.i3.10945 has gained 10 tokens.
[20:12:47]	[OOC] CCA.C17-GRID.i3.10945: nevermind
[20:12:47]	CCA.C17-GRID.i3.10945 used command '/ToggleRaise'.
[20:12:49]	CCA.C17-GRID.i3.10945 used command '/ToggleRaise'.
[20:12:51]	[OOC] Jacob Desmone: he just didn't show up or wasn't here
[20:12:52]	[OOC] CCA.C17-GRID.i3.10945: no cycle, get less poor
[20:12:54]	[OOC] CCA.C17-GRID.i3.10945: idiot
[20:12:56]	[OOC] Jacob Desmone: L
[20:13:05]	CCA.C17-HELIX.i3.08874 has gained 10 tokens.
[20:13:05]	[OOC] Jacob Desmone: my brothers new kitten
[20:13:09]	[OOC] Jacob Desmone: watches me play hl2
[20:13:12]	[OOC] Jacob Desmone: this server
[20:13:20]	[OOC] Jacob Desmone: and attacks me everytime a CP is on the screen
[20:13:25]	[OOC] Sona la Rona: the cat is learning
[20:13:28]	[OOC] Jacob Desmone: shes based like that
[20:13:40]	[OOC] CCA.C17-GRID.i3.10945: anti-authoritarian cat
[20:13:43]	Lildirtyharry04 created the character 'AWAITING ASSIGNMENT'
[20:13:47]	Lildirtyharry04 loaded the character 'AWAITING ASSIGNMENT'
[20:13:51]	[OOC] AWAITING ASSIGNMENT: there we go
[20:13:56]	[OOC] CCA.C17-HELIX.i3.08874: you are orang
[20:13:59]	[OOC] AWAITING ASSIGNMENT: Yes
[20:14:01]	[OOC] Sona la Rona: my cat just lays on my leg while i play
[20:14:02]	CCA.C17-GRID.i3.10945 used command '/CharSetClass awa vortigaunt'.
[20:14:05]	[OOC] Jacob Desmone: L cat
[20:14:09]	[OOC] Jacob Desmone: not attacking you if there is a CP
[20:14:49]	CCA.C17-GRID.i3.10945 used command '/PM vortipode for now, the character creation involves a staff member setting your class'.
[20:14:52]	Sona la Rona ran 'equip' on item 'Citizen Filter' (#35842)
[20:15:11]	CAC.C17-VORTIPODE.20311 used command '/PM 10945 Alrighty. Any items I need?'.
[20:15:19]	CCA.C17-GRID.i3.10945 used command '/PM vortipode i paln to fix that in a future because i found a way to not make it be like that easily but for now that's how we're doing it for now.'.
[20:15:30]	[OOC] Jacob Desmone: broom he needs broom
[20:15:35]	CCA.C17-GRID.i3.10945 used command '/PM vortipode no, you're good to go.'.
[20:15:43]	[OOC] Sona la Rona: HE NEEDS A DAMN BROOM GET HIM ONE
[20:15:47]	[OOC] Jacob Desmone: BROOM
[20:15:50]	[OOC] Jacob Desmone: FOR SWEEP
[20:15:50]	[OOC] CAC.C17-VORTIPODE.20311: hmmm
[20:15:53]	[OOC] Sona la Rona: broooooooooooooooooooooooom
[20:15:54]	[OOC] CAC.C17-VORTIPODE.20311: I can't enter the city
[20:15:58]	CCA.C17-GRID.i3.10945 exited observer at their location.
[20:15:59]	[LOOC] CCA.C17-GRID.i3.10945: huh
[20:15:59]	[OOC] CAC.C17-VORTIPODE.20311: forgot about thta
[20:16:02]	[LOOC] CCA.C17-GRID.i3.10945: let me look at the thging
[20:16:24]	[OOC] CCA.C17-HELIX.i3.08874: i have a brain injury
[20:16:26]	[OOC] CCA.C17-HELIX.i3.08874: ow
[20:16:36]	[OOC] Sona la Rona: skill issue frfr
[20:16:49]	CCA.C17-HELIX.i3.08874 used command '/ActLean'.
[20:17:04]	[LOOC] CCA.C17-GRID.i3.10945: try walking into it
[20:17:08]	[LOOC] CCA.C17-GRID.i3.10945: it sohuld give you a notificaiton
[20:17:15]	[LOOC] CAC.C17-VORTIPODE.20311: No notification, but it works
[20:17:35]	[OOC] CCA.C17-HELIX.i3.08874: I'm gonna rp in a sec just brb
[20:17:42]	[LOOC] CCA.C17-GRID.i3.10945: oh sweet. weird
[20:17:43]	CCA.C17-GRID.i3.10945 has gained 10 tokens.
[20:17:45]	[LOOC] CCA.C17-GRID.i3.10945: aqlright cool
[20:17:50]	[LOOC] CCA.C17-GRID.i3.10945: if you cna walk through it you're goiod to go
[20:17:54]	[OOC] Jacob Desmone: he got da 2 intellegence vort
[20:17:55]	[LOOC] CAC.C17-VORTIPODE.20311: kk. Thx
[20:17:58]	[OOC] Sona la Rona: i could easily just kill paine rn
[20:18:05]	CCA.C17-GRID.i3.10945 entered observer.
[20:18:05]	CCA.C17-HELIX.i3.08874 has gained 10 tokens.
[20:18:05]	[OOC] Sona la Rona: since he's afk
[20:18:08]	[OOC] CAC.C17-VORTIPODE.20311: Don't need intelligence when Im guided by faith and spirit
[20:18:10]	[OOC] Jacob Desmone: shut up your dumb 
[20:18:19]	[OOC] Jacob Desmone: ur so dumb u got enslaved
[20:18:25]	[OOC] Sona la Rona: ikr
[20:18:34]	[OOC] Jacob Desmone: he started typing then stoppede
[20:18:36]	[OOC] CAC.C17-VORTIPODE.20311: true. Maybe that was my plan though.
[20:18:40]	[OOC] Jacob Desmone: there is no plan
[20:18:46]	[OOC] Jacob Desmone: im not freeing you with the hex key
[20:18:52]	[OOC] Jacob Desmone: im freeing the cremator
[20:19:17]	[OOC] Sona la Rona: nah free the synths
[20:19:32]	[OOC] Jacob Desmone: facts yo
[20:20:04]	[OOC] Sona la Rona: I SEE VORT
[20:20:12]	[OOC] Jacob Desmone: look at general
[20:20:14]	[OOC] Jacob Desmone: he vibing
[20:20:32]	[OOC] Sona la Rona: bitch got away
[20:20:53]	[OOC] Sona la Rona: nvm found him again
[20:21:41]	[ME] CAC.C17-VORTIPODE.20311: would look around with his small eyes before speaking
[20:22:38]	CCA.C17-GRID.i3.10945 used command '/Radio HELIX, would you like to form a PT?'.
[20:22:43]	CCA.C17-GRID.i3.10945 has gained 10 tokens.
[20:22:53]	[ME] CAC.C17-VORTIPODE.20311: would continue to nervously look around at his surrondings.
[20:23:05]	CCA.C17-HELIX.i3.08874 has gained 10 tokens.
[20:23:17]	CCA.C17-GRID.i3.10945 used command '/PM helix you there?>'.
[20:23:27]	CCA.C17-GRID.i3.10945 exited observer at their location.
[20:23:37]	[ME] CAC.C17-VORTIPODE.20311: would stop
[20:23:40]	CCA.C17-GRID.i3.10945 used command '/PM helix nvm i saw your message'.
[20:24:04]	[ME] CAC.C17-VORTIPODE.20311: would shut his eyes... muttering under his breath
[20:24:21]	CCA.C17-HELIX.i3.08874 used command '/PM grid back'.
[20:24:27]	CCA.C17-HELIX.i3.08874 used command '/Radio What?'.
[20:24:28]	CCA.C17-HELIX.i3.08874 used command '/ExitAct'.
[20:24:33]	CCA.C17-GRID.i3.10945 used command '/Radio Form a PT?'.
[20:24:36]	CCA.C17-HELIX.i3.08874 used command '/Radio I didn't catch that.'.
[20:24:39]	[ME] Jacob Desmone: Looks at the poster
[20:24:41]	CCA.C17-HELIX.i3.08874 used command '/Radio Ah, sure.'.
[20:24:48]	CCA.C17-HELIX.i3.08874 used command '/Radio 10-20?'.
[20:25:05]	CCA.C17-GRID.i3.10945 used command '/Radio In front of the RDT, intersection of collation and distribution.'.
[20:25:13]	CCA.C17-HELIX.i3.08874 used command '/Radio Got it.'.
[20:25:42]	[ME] CAC.C17-VORTIPODE.20311: would walk off
[20:25:43]	CCA.C17-GRID.i3.10945 ran 'create' on item 'Squad Identification Device' (#34082)
[20:26:10]	[ME] CCA.C17-GRID.i3.10945: looks over at the HELIX and quickly utters 'Forming PT Hero".
[20:26:18]	[ME] CAC.C17-VORTIPODE.20311: mutters under his breath.
[20:26:19]	CCA.C17-HELIX.i3.08874 ran 'join' on item 'Squad Identification Device' (#29965)
[20:27:13]	[W] Sona la Rona: Wouldn't say that.
[20:27:13]	CCA.C17-GRID.i3.10945 used command '/rooc if you don't like our names being replaced by our squad position you can disable it in your settings'.
[20:27:16]	CCA.C17-GRID.i3.10945 used command '/rooc just a heads up'.
[20:27:20]	[LOOC] CCA.C17-GRID.i3.10945: fucking
[20:27:24]	[LOOC] CCA.C17-GRID.i3.10945: not used to this new keyboard
[20:27:27]	[LOOC] CCA.C17-GRID.i3.10945: i hit space at the drop of a hat
[20:27:27]	CCA.C17-HELIX.i3.08874 used command '/rooc I know I'm keeping it on.'.
[20:27:30]	CCA.C17-GRID.i3.10945 used command '/rooc dope'.
[20:27:32]	[LOOC] Sona la Rona: fucking like SEX?
[20:27:33]	CCA.C17-GRID.i3.10945 used command '/rooc and based'.
[20:27:43]	CCA.C17-GRID.i3.10945 has gained 10 tokens.
[20:27:44]	[LOOC] CCA.C17-GRID.i3.10945: bad
[20:27:46]	[LOOC] Jacob Desmone: SMH 
[20:27:49]	[LOOC] Jacob Desmone: BREAKING HIS OWN RULES
[20:28:03]	[LOOC] Sona la Rona: ikr so horrible
[20:28:05]	CCA.C17-HELIX.i3.08874 has gained 10 tokens.
[20:28:20]	[LOOC] CCA.C17-GRID.i3.10945: FUCK
[20:28:31]	[LOOC] Sona la Rona: lmao
[20:28:40]	[ME] CAC.C17-VORTIPODE.20311: would mutter an insult
[20:28:46]	[LOOC] Sona la Rona: you gonna void that or not
[20:28:47]	[ME] Jacob Desmone: motions towards that way
[20:29:05]	Sona la Rona ran 'View' on item 'Notepad' (#30984)
[20:29:25]	CCA.C17-GRID.i3.10945 used command '/ToggleRaise'.
[20:30:11]	CCA.C17-GRID.i3.10945 set chatMax to '749'.
[20:30:12]	CCA.C17-GRID.i3.10945 set chatMax to '1015'.
[20:30:15]	CCA.C17-GRID.i3.10945 set chatMax to '750'.
[20:30:27]	CCA.C17-HELIX.i3.08874 used command '/ActLean'.
[20:30:50]	[W] CCA.C17-HELIX.i3.08874: <:: The grunts. ::>
[20:30:56]	[W] CCA.C17-GRID.i3.10945: <:: I figured. ::>
[20:30:57]	[ME] Sona la Rona: would begin to walk down the stairs like an IDIOT and fall down them like a DUMBASS
[20:31:14]	[Y] Sona la Rona: FUCK.
[20:31:17]	[Y] CCA.C17-GRID.i3.10945: <:: Watch your step. ::>
[20:31:32]	[MEY] CAC.C17-VORTIPODE.20311: would turn around at the yell.
[20:32:10]	[OOC] CAC.C17-VORTIPODE.20311: I don't got access to voicelines as vort
[20:32:13]	[OOC] CAC.C17-VORTIPODE.20311: This iss sad
[20:32:21]	[OOC] Sona la Rona: smh bro
[20:32:29]	[OOC] CCA.C17-GRID.i3.10945: oh shit i know why actually
[20:32:43]	CCA.C17-GRID.i3.10945 has gained 10 tokens.
[20:32:58]	[OOC] Sona la Rona: /me would be in a silly goofy mood and start attacking the CPs
[20:33:05]	CCA.C17-HELIX.i3.08874 has gained 10 tokens.
[20:33:50]	[OOC] Sona la Rona: k imma get off by
[20:33:53]	wendigo (STEAM_0:1:429480781) has disconnected.
[20:33:54]	[OOC] CCA.C17-GRID.i3.10945: take care, thanks for bieng on
[20:34:04]	[OOC] Jacob Desmone: I got like 30 minutes befoire I gotta dip
[20:34:09]	[OOC] Jacob Desmone: but im still here for those minutes
[20:34:10]	[OOC] Jacob Desmone: 30-40 mins
[20:34:27]	[LOOC] CCA.C17-HELIX.i3.08874: Mispelt it but fuck you
[20:35:11]	CAC.C17-VORTIPODE.20311 ran 'View' on item 'Notepad' (#27712)
[20:35:15]	CAC.C17-VORTIPODE.20311 ran 'View' on item 'Notepad' (#27713)
[20:36:53]	[ME] CCA.C17-HELIX.i3.08874: yawns into the vocoder.
[20:37:43]	CCA.C17-GRID.i3.10945 has gained 10 tokens.
[20:38:05]	CCA.C17-HELIX.i3.08874 has gained 10 tokens.
[20:38:31]	[ME] CAC.C17-VORTIPODE.20311: turns toward the man
[20:38:40]	[ME] Jacob Desmone: Hands out a bag with some UU branded chips
[20:38:42]	CCA.C17-HELIX.i3.08874 used command '/ExitAct'.
[20:39:06]	[W] CCA.C17-GRID.i3.10945: <:: If you give a mouse a cookie... ::>
[20:39:08]	[ME] CAC.C17-VORTIPODE.20311: hesitantly looks toward the bag... He reaches his claws out, taking the bag.
