[00:22:58]	Ollie Garner has connected.
[15:48:16]	[ME] Roach Shepherd: would continue to clean the streets with the broom, sweeping it properly while humming the Australian Anthem.
[15:48:21]	[OOC] CCA.C14-GRID.i2.36307: roll a nat o
[15:48:22]	[ME] Christopher Landry: attaches one of the posters to the wall with the tape.
[15:48:25]	Roach Shepherd rolled 30 out of 100.
[15:48:25]	Roach Shepherd used command '/Roll'.
[15:48:27]	[OOC] Roach Shepherd: fuck
[15:48:28]	[OOC] CCA.C14-GRID.i2.36307: get impaled by whatever your using
[15:48:30]	[OOC] Roach Shepherd: I got 30
[15:48:31]	[OOC] CCA.C14-GRID.i2.36307: 0*
[15:48:37]	[OOC] CCA.C14-GRID.i2.36307: just
[15:48:37]	[OOC] CCA.C14-JUDGE.i5.22767: /me sweeps *rolls a 100*, *floor gets mopped, swept, and buffed all at once somehow*
[15:48:38]	[OOC] Roach Shepherd: Let me try again.
[15:48:40]	Roach Shepherd rolled 90 out of 100.
[15:48:40]	Roach Shepherd used command '/Roll'.
[15:48:47]	[ME] Christopher Landry: attaches one of the posters to the wall with the tape.
[15:48:52]	CCA.C14-JUDGE.i5.22767 used command '/Radio Unit going 10-7.'.
[15:48:56]	CCA.C14-GRID.i2.36307 used command '/Radio Copy'.
[15:49:03]	[ME] Christopher Landry: attaches one of the posters to the wall with the tape.
[15:49:05]	[ME] Roach Shepherd: would start to sweep the side walks, then sees some trash on the floor, and picks it up.
[15:49:13]	[ME] Angela Aleinikova: puts the bucket on ground, she pushes in the bucket the rag with both hands making it drench with water then she pulls out it and wrings it, then she starts removing all dirt and dust away from white wall
[15:49:14]	[ME] Roach Shepherd: would throw the trash into the bin.
[15:49:20]	Christopher Landry used command '/ToggleRaise'.
[15:49:22]	Christopher Landry used command '/ToggleRaise'.
[15:49:26]	[ME] Christopher Landry: attaches one of the posters to the wall with the tape.
[15:49:32]	[ME] Roach Shepherd: would pick up the broom and would continue to clean the street by sweeping.
[15:50:22]	CCA.C14-GRID.i2.36307 has gained 10 tokens.
[15:50:23]	[ME] Angela Aleinikova: brings the bucket near lamp post, she again pushes in the rag shakes it in water by hand, pulls out wrings up and continues cleaning till she reaches other building
[15:50:37]	[ME] Roach Shepherd: would continue to sweep the streets, humming the Australian Anthem and smiling.
[15:50:41]	Christopher Landry has lost 7 tokens.
[15:50:45]	Christopher Landry ran 'take' on item 'Flavored Breen's Water' (#29791)
[15:50:45]	Christopher Landry has gained a 'Flavored Breen's Water' #29791.
[15:51:05]	[ME] Christopher Landry: attaches one of the posters to the wall with the tape.
[15:51:20]	[ME] Christopher Landry: attaches one of the posters to the wall with the tape.
[15:51:30]	CCA.C14-GRID.i2.36307 used command '/Radio Updating 10-20 to rooftop lookout tower, plaza'.
[15:51:31]	[ME] Christopher Landry: attaches one of the posters to the wall with the tape.
[15:51:52]	Christopher Landry ran 'View' on item 'Notepad' (#28146)
[15:52:00]	[ME] Angela Aleinikova: brings and puts the bucket near her's when she reached other building, she pushes used rag into bucket shakes off all dirt from it. Takes out the drenched rag and wrings it by twisting motions with both hands and start cleaning the other building
[15:52:03]	[ME] Roach Shepherd: would continue to sweep the streets with the broom, trying to remove all the dust and mess and such.
[15:52:26]	[ME] Christopher Landry: attaches one of the posters to the wall with the tape.
[15:52:32]	[ME] Christopher Landry: attaches one of the posters to the wall with the tape.
[15:52:39]	[ME] Christopher Landry: attaches one of the posters to the wall with the tape.
[15:52:48]	[ME] Angela Aleinikova: brings the bucket near lamp post, she again pushes in the rag shakes it in water by hand, pulls out wrings up and continues cleaning till she reaches building end
[15:53:15]	CCA.C14-JUDGE.i5.22767 has gained 10 tokens.
[15:53:20]	[ME] Roach Shepherd: would continue to sweep, smiling and humming.
[15:53:23]	[ME] Christopher Landry: sticks the last poster to the wall with the tape.
[15:54:01]	[ME] Angela Aleinikova: she puts the rag on side of the bucket and goes accross whole main street to other side, and puts the bucket there, then she takes out the rag from the bucket wrings it and cleans the other buildin
[15:54:59]	[ME] Roach Shepherd: would continue to sweep, smiling and humming, while looking around the streets.
[15:55:22]	CCA.C14-GRID.i2.36307 has gained 10 tokens.
[15:55:26]	[ME] Angela Aleinikova: brings the bucket to Souvenirs store, and puts on sidewalk, then she pushes in the rag, shakes it and wrings up when it is pulled out from bucket. Then she by swiping with rag on wall cleans the wall away from all dirt and dust
[15:56:03]	[ME] Roach Shepherd: continues to sweep the street, smiling and humming while doing so.
[15:56:29]	[LOOC] CCA.C14-GRID.i2.36307: w h a t
[15:56:46]	[ME] Angela Aleinikova: comes at laundromat's building, puts the bucket then puts the rag into the bucket, shakes the rag there, wrings up the rag and cleans pinkish wall from all dirt
[15:56:49]	[ME] Roach Shepherd: continues to sweep the street, smiling and humming while doing so.
[15:56:53]	CCA.C14-GRID.i2.36307 used command '/OldViewData angela'.
[15:56:55]	[ME] Roach Shepherd: continues to sweep the street, smiling and humming while doing so.
[15:57:02]	[LOOC] Christopher Landry: what
[15:57:10]	[LOOC] CCA.C14-GRID.i2.36307: /apply
[15:57:15]	Christopher Landry used command '/Apply'.
[15:57:26]	CCA.C14-GRID.i2.36307 used command '/OldViewData chris'.
[15:57:57]	[ME] Angela Aleinikova: on finnal she cleans the last building by same procedure: makes the rag drenched, wrings it up and swipes with rag onto wall to make it clean. When she finishes she brings the bucket near work table.
[15:58:12]	Roach Shepherd used command '/Apply'.
[15:58:15]	CCA.C14-JUDGE.i5.22767 has gained 10 tokens.
[15:58:16]	CCA.C14-GRID.i2.36307 used command '/OldViewData roach'.
[15:58:19]	[ME] Roach Shepherd: would put the broom onto the table softly.
[15:59:02]	CCA.C14-JUDGE.i5.22767 used command '/Radio Unit is 10-8.'.
[15:59:08]	[OOC] CCA.C14-JUDGE.i5.22767: i hath returned
[15:59:09]	[ME] Angela Aleinikova: puts the bucket on table and on bucket side is visible soacked rag
[15:59:11]	CCA.C14-GRID.i2.36307 used command '/Radio Copy'.
[15:59:14]	Angela Aleinikova used command '/Apply'.
[15:59:18]	Christopher Landry ran 'View' on item 'Notepad' (#27928)
[15:59:20]	CCA.C14-GRID.i2.36307 used command '/OldViewData angela'.
[15:59:32]	[OOC] Roach Shepherd: Can I bully the CPs-
[15:59:39]	[OOC] CCA.C14-GRID.i2.36307: technically yes
[15:59:43]	[OOC] CCA.C14-JUDGE.i5.22767: yes, however it's not suggested
[16:00:03]	[OOC] CCA.C14-GRID.i2.36307: *I* can bully the other cp a little tho
[16:00:07]	[OOC] CCA.C14-GRID.i2.36307: i think?
[16:00:08]	Roach Shepherd has lost 10 tokens.
[16:00:14]	Roach Shepherd ran 'Consume' on item 'Sparkling Breen's Water' (#29792)
[16:00:20]	Roach Shepherd ran 'Eat' on item 'Standard Grade Citizen Food Product' (#29790)
[16:00:22]	CCA.C14-GRID.i2.36307 has gained 10 tokens.
[16:00:27]	[OOC] Angela Aleinikova: Oh wait Grid is outranking the Judge :O
[16:00:29]	[OOC] CCA.C14-JUDGE.i5.22767: you kind of can, though again not suggested
[16:00:41]	[OOC] CCA.C14-GRID.i2.36307: gonna give you a wegie
[16:00:50]	Angela Aleinikova opened the '' #2112 container.
[16:00:51]	[ME] Christopher Landry: Strips weapons | Comms | Suicidal Devices |Tracking Devices | All equipment | Pills.
[16:00:51]	[OOC] CCA.C14-GRID.i2.36307: give me your lunch money nerd
[16:00:55]	Angela Aleinikova closed the '' #2112 container.
[16:01:00]	[OOC] CCA.C14-JUDGE.i5.22767: *JUDGE OfC rocks up* fuck you said to my only other judge unit
[16:01:03]	[OOC] Christopher Landry: just hit a bind
[16:01:05]	[OOC] Christopher Landry: fuck
[16:01:17]	[OOC] CCA.C14-GRID.i2.36307: well shit
[16:01:50]	Angela Aleinikova ran 'take' on item 'Chunk of Plastic' (#29773)
[16:01:50]	Angela Aleinikova has gained a 'Chunk of Plastic' #29773.
[16:01:57]	Angela Aleinikova ran 'take' on item 'Empty Can' (#29772)
[16:01:57]	Angela Aleinikova has gained a 'Empty Can' #29772.
[16:02:02]	CCA.C14-GRID.i2.36307 used command '/PM chris 4'.
[16:02:19]	CCA.C14-GRID.i2.36307 has spawned 'models/props_junk/watermelon01.mdl'.
[16:02:41]	Angela Aleinikova opened the '' #2112 container.
[16:02:47]	Angela Aleinikova closed the '' #2112 container.
[16:02:56]	[ME] Christopher Landry: places the tape down
[16:02:58]	Christopher Landry used command '/Apply'.
[16:03:06]	CCA.C14-JUDGE.i5.22767 used command '/OldViewData christopher'.
[16:03:15]	CCA.C14-JUDGE.i5.22767 has gained 10 tokens.
[16:03:37]	[ME] Angela Aleinikova: sits on bench
[16:03:47]	[OOC] CCA.C14-GRID.i2.36307: why is the /me range so big now
[16:04:01]	[LOOC] Angela Aleinikova: ah wait we dont have animations lol
[16:04:03]	[OOC] Christopher Landry: I dont know i guess I just stole everyone's shit when I hit that bind
[16:04:10]	[OOC] CCA.C14-GRID.i2.36307: well fuckj
[16:04:10]	[OOC] CCA.C14-JUDGE.i5.22767: guess so
[16:04:16]	[OOC] CCA.C14-GRID.i2.36307: doughnut we gotta drop our inv
[16:04:23]	[OOC] CCA.C14-JUDGE.i5.22767: oh well
[16:05:07]	[OOC] CCA.C14-JUDGE.i5.22767: someone from the future gave chris another lp, cause i see one saying that he got one in like 40 min
[16:05:13]	[LOOC] CCA.C14-GRID.i2.36307: gonna get on my scanner)
[16:05:21]	[OOC] CCA.C14-GRID.i2.36307: i did
[16:05:22]	CCA.C14-GRID.i2.36307 has gained 10 tokens.
[16:05:32]	[OOC] CCA.C14-GRID.i2.36307: im in a different timezone than you
[16:05:36]	[OOC] CCA.C14-JUDGE.i5.22767: then why did you say for me to give him another LP?
[16:05:37]	[OOC] CCA.C14-GRID.i2.36307: then
[16:05:44]	[OOC] CCA.C14-GRID.i2.36307: I said gave him an LP
[16:05:46]	[OOC] CCA.C14-GRID.i2.36307: as in
[16:05:49]	[OOC] CCA.C14-GRID.i2.36307: I gave him an LP
[16:06:07]	[OOC] CCA.C14-GRID.i2.36307: might dc, will rejoin
[16:06:14]	[OOC] CCA.C14-JUDGE.i5.22767: bruh i though it said "Give him his LP" not gace
[16:06:20]	CCA.C14-JUDGE.i5.22767 used command '/OldViewData christopher'.
[16:06:20]	Madeline Wuntch loaded the character 'CCA.C14-SCN.49218'
[16:06:30]	[OOC] CCA.C14-SCN.49218: OH NO
[16:06:38]	[OOC] CCA.C14-JUDGE.i5.22767: ?
[16:06:41]	[OOC] CCA.C14-SCN.49218: nvm
[16:06:56]	[LOOC] CCA.C14-SCN.49218: help
[16:07:08]	[LOOC] Angela Aleinikova: oh cat
[16:07:13]	[OOC] CCA.C14-JUDGE.i5.22767: adn awayyyy he goes!
[16:07:17]	[OOC] CCA.C14-SCN.49218: help
[16:07:21]	[OOC] CCA.C14-JUDGE.i5.22767: ?
[16:07:22]	[OOC] Angela Aleinikova: flying cat ;3
[16:07:32]	[OOC] CCA.C14-SCN.49218: ex-fucking-cuse me?
[16:07:33]	[OOC] CCA.C14-JUDGE.i5.22767: what's wrong?
[16:07:42]	[OOC] CCA.C14-SCN.49218: i got caught on an invisible wall
[16:07:50]	[OOC] CCA.C14-JUDGE.i5.22767: oh
[16:07:57]	[OOC] CCA.C14-SCN.49218: FIRST SCANNER IN SPACE
[16:08:08]	CCA.C14-JUDGE.i5.22767 used command '/Radio Disbanding PT-Kilo'.
[16:08:08]	[OOC] CCA.C14-SCN.49218: GOD SAID NO
[16:08:10]	[OOC] Angela Aleinikova: Union Space Program
[16:08:12]	CCA.C14-JUDGE.i5.22767 ran 'leave' on item 'Squad Identification Device' (#26719)
[16:08:14]	CCA.C14-JUDGE.i5.22767 ran 'join' on item 'Squad Identification Device' (#26719)
[16:08:15]	CCA.C14-JUDGE.i5.22767 has gained 10 tokens.
[16:08:38]	[OOC] CCA.C14-JUDGE.i5.22767: fly my child FLY!
[16:09:19]	[ME] CCA.C14-SCN.49218: would photograph the citizen
[16:09:36]	[ME] CCA.C14-SCN.49218: would photograph the citizen
[16:09:36]	CCA.C14-JUDGE.i5.22767 ran 'Open' on item 'Civil Protection Functionary Grade Ration' (#29787)
[16:09:36]	CCA.C14-JUDGE.i5.22767 has gained a 'Civil Protection Functionary Grade Food Product' #29793.
[16:09:36]	CCA.C14-JUDGE.i5.22767 has gained a 'Civil Protection Functionary Grade Supplements' #29794.
[16:09:36]	CCA.C14-JUDGE.i5.22767 has gained a 'Civil Protection Functionary Grade Drink' #29795.
[16:09:37]	CCA.C14-JUDGE.i5.22767 ran 'Eat' on item 'Civil Protection Functionary Grade Food Product' (#29793)
[16:09:38]	CCA.C14-JUDGE.i5.22767 ran 'Consume' on item 'Civil Protection Functionary Grade Supplements' (#29794)
[16:09:38]	CCA.C14-JUDGE.i5.22767 ran 'Consume' on item 'Civil Protection Functionary Grade Drink' (#29795)
[16:09:42]	[OOC] Angela Aleinikova: wait if CP would jump on scanner, he will become the airwatch? :D
[16:09:51]	[OOC] CCA.C14-JUDGE.i5.22767: BET!
[16:09:53]	Christopher Landry has lost 5 tokens.
[16:09:57]	Christopher Landry ran 'Consume' on item 'Breen's Water' (#29793)
[16:09:58]	[OOC] CCA.C14-SCN.49218: that cp would get injured
[16:10:01]	Christopher Landry has lost 10 tokens.
[16:10:03]	[OOC] CCA.C14-JUDGE.i5.22767: nahhhhh
[16:10:03]	Christopher Landry ran 'take' on item 'Sparkling Breen's Water' (#29794)
[16:10:03]	Christopher Landry has gained a 'Sparkling Breen's Water' #29794.
[16:10:04]	[OOC] CCA.C14-SCN.49218: lets try tho
[16:10:10]	Christopher Landry ran 'Consume' on item 'Flavored Breen's Water' (#29791)
[16:10:11]	Christopher Landry ran 'Consume' on item 'Sparkling Breen's Water' (#29794)
[16:10:19]	[ME] Angela Aleinikova: covers the eyes after she get flashed by scanner's camera
[16:10:28]	Christopher Landry opened the '' #1810 container.
[16:10:32]	Christopher Landry closed the '' #1810 container.
[16:10:37]	Christopher Landry ran 'View' on item 'Notepad' (#18954)
[16:10:45]	Christopher Landry ran 'View' on item 'Notepad' (#18952)
[16:10:57]	CCA.C14-JUDGE.i5.22767 ran 'take' on item 'Civil Protection Functionary Grade Ration' (#29794)
[16:10:57]	CCA.C14-JUDGE.i5.22767 has gained a 'Civil Protection Functionary Grade Ration' #29794.
[16:11:20]	CCA.C14-SCN.49218 has gained 10 tokens.
[16:11:34]	[LOOC] CCA.C14-JUDGE.i5.22767: weak scanner
[16:11:41]	Angela Aleinikova has lost 5 tokens.
[16:11:45]	Angela Aleinikova ran 'Consume' on item 'Breen's Water' (#29795)
[16:11:51]	Christopher Landry opened the '' #1818 container.
[16:11:53]	[LOOC] CCA.C14-SCN.49218: carry me
[16:11:53]	Christopher Landry closed the '' #1818 container.
[16:11:55]	[LOOC] CCA.C14-SCN.49218: now
[16:12:06]	[LOOC] CCA.C14-JUDGE.i5.22767: damn
[16:12:18]	Christopher Landry opened the '' #2243 container.
[16:12:20]	Christopher Landry closed the '' #2243 container.
[16:12:20]	CCA.C14-JUDGE.i5.22767 entered observer.
[16:12:22]	[OOC] CCA.C14-SCN.49218: mission failure
[16:12:31]	[OOC] CCA.C14-SCN.49218: what if
[16:12:33]	[OOC] CCA.C14-JUDGE.i5.22767: scanners are to weak to carry my chunky ass
[16:12:40]	[OOC] CCA.C14-SCN.49218: we send a city scanner at warp 10
[16:12:44]	[OOC] CCA.C14-JUDGE.i5.22767: bruh
[16:12:51]	[OOC] Angela Aleinikova: ENGAGE
[16:12:56]	CCA.C14-JUDGE.i5.22767 exited observer at their location.
[16:13:01]	[OOC] CCA.C14-JUDGE.i5.22767: warp speed scanners
[16:13:15]	[OOC] Angela Aleinikova: suicide rockets
[16:13:16]	CCA.C14-JUDGE.i5.22767 has gained 10 tokens.
[16:13:33]	[OOC] CCA.C14-JUDGE.i5.22767: why does suicide scanners sound like a metal band?
[16:14:03]	Weaponized Autism has connected.
[16:14:06]	[RS] Cayde-7 (STEAM_0:1:51616733) has disconnected.
[16:14:08]	[OOC] Angela Aleinikova: You right
[16:14:21]	[OOC] CCA.C14-JUDGE.i5.22767: ah yes my favorite weapon, weaponized autism
[16:14:23]	Madeline Wuntch loaded the character 'CCA.C14-GRID.i2.36307'
[16:14:37]	[OOC] Angela Aleinikova: Banana peel mine
[16:14:44]	[OOC] CCA.C14-JUDGE.i5.22767: beg pardon?
[16:15:00]	The Emperor has connected.
[16:15:06]	[OOC] CCA.C14-GRID.i2.36307: OH SHI
[16:15:11]	[OOC] CCA.C14-JUDGE.i5.22767: ?
[16:15:15]	[OOC] CCA.C14-GRID.i2.36307: PEOPLE
[16:15:18]	[OOC] CCA.C14-JUDGE.i5.22767: mhm
[16:15:21]	[OOC] Angela Aleinikova: step on banana peel and look you have concussion
[16:15:40]	[LOOC] CCA.C14-GRID.i2.36307: my inventory went fucky
[16:15:44]	[LOOC] CCA.C14-JUDGE.i5.22767: oof
[16:15:44]	[LOOC] CCA.C14-GRID.i2.36307: kill me pls
[16:15:52]	CCA.C14-GRID.i2.36307 has killed CCA.C14-GRID.i2.36307.
[16:15:53]	[LOOC] CCA.C14-GRID.i2.36307: it'll fix it
[16:15:54]	[LOOC] CCA.C14-GRID.i2.36307: ty
[16:15:56]	The Emperor created the character 'Johnny Sins'
[16:15:56]	Johnny Sins has gained a 'Suitcase' #29796.
[16:15:56]	Johnny Sins has gained a 'Relocation Coupon' #29797.
[16:15:56]	The Emperor loaded the character 'Johnny Sins'
[16:15:57]	[OOC] Angela Aleinikova: LOl
[16:16:00]	[OOC] CCA.C14-JUDGE.i5.22767: void the grid death
[16:16:09]	[OOC] CCA.C14-JUDGE.i5.22767: his inventory did a fucky wucky
[16:16:16]	[OOC] Angela Aleinikova: That scream in whole street xD
[16:16:17]	[OOC] Johnny Sins: I hunger for roleplay......
[16:16:26]	[OOC] CCA.C14-JUDGE.i5.22767: obviously with a name like that
[16:16:41]	[OOC] CCA.C14-GRID.i2.36307: his only sin is lust
[16:16:43]	[OOC] Johnny Sins: actually I do, i'm just memeing, also waiting for the transfer duty thing
[16:16:51]	[OOC] CCA.C14-JUDGE.i5.22767: mhm im comin
[16:16:51]	CCA.C14-GRID.i2.36307 used command '/OldViewData joh'.
[16:17:10]	Johnny Sins ran 'drop' on item 'Relocation Coupon' (#29797)
[16:17:10]	Johnny Sins has lost a 'Relocation Coupon' #29797.
[16:17:16]	CCA.C14-JUDGE.i5.22767 ran 'take' on item 'Relocation Coupon' (#29797)
[16:17:16]	CCA.C14-JUDGE.i5.22767 has gained a 'Relocation Coupon' #29797.
[16:17:19]	Weaponized Autism created the character 'Nurbika Varayeva'
[16:17:19]	Nurbika Varayeva has gained a 'Suitcase' #29798.
[16:17:19]	Nurbika Varayeva has gained a 'Relocation Coupon' #29799.
[16:17:19]	Weaponized Autism loaded the character 'Nurbika Varayeva'
[16:17:36]	Johnny Sins used command '/Content'.
[16:17:37]	[OOC] Nurbika Varayeva: Oh
[16:17:41]	[LOOC] Angela Aleinikova: pew pew pew
[16:17:48]	CCA.C14-GRID.i2.36307 used command '/Radio CITIZEN ON THE LMG HARDPOINT'.
[16:17:53]	CCA.C14-JUDGE.i5.22767 ran 'take' on item 'Citizen ID' (#29800)
[16:17:53]	CCA.C14-JUDGE.i5.22767 has gained a 'Citizen ID' #29800.
[16:18:00]	CCA.C14-JUDGE.i5.22767 used command '/Radio Get them away from it then'.
[16:18:07]	[ME] CCA.C14-JUDGE.i5.22767: pulls out PDA
[16:18:08]	CCA.C14-GRID.i2.36307 used command '/Radio Duh, I'm not dumb.'.
[16:18:13]	CCA.C14-JUDGE.i5.22767 used command '/OldViewData johnny'.
[16:18:16]	CCA.C14-JUDGE.i5.22767 has gained 10 tokens.
[16:18:34]	[OOC] Johnny Sins: johnny sins shall became a CMU
[16:18:38]	[OOC] CCA.C14-JUDGE.i5.22767: bet
[16:18:48]	[OOC] Johnny Sins: personal sessions
[16:18:57]	[OOC] Nurbika Varayeva: What year did black mesa and 7 hour war happen just so I don't fuck up the date of birth smh
[16:19:08]	[LOOC] Johnny Sins: late 90's
[16:19:10]	[OOC] CCA.C14-GRID.i2.36307: its 2006 in game
[16:19:15]	[LOOC] Johnny Sins: ffs
[16:19:22]	[OOC] CCA.C14-JUDGE.i5.22767: 11 year old johnny sins headass
[16:19:23]	CCA.C14-GRID.i2.36307 has gained 10 tokens.
[16:19:25]	[LOOC] Angela Aleinikova: it is 2002
[16:19:32]	[LOOC] CCA.C14-GRID.i2.36307: it is 2006
[16:19:40]	[LOOC] Angela Aleinikova: look on menu
[16:19:42]	[OOC] Nurbika Varayeva: 2006 in game, how many years have passed?
[16:19:42]	CCA.C14-JUDGE.i5.22767 used command '/OldViewData johnny'.
[16:19:51]	[OOC] Johnny Sins: sugma, every server has custom lore, how am I supposed to know what year it is from joining 5 seconds ago lol
[16:19:52]	[OOC] Angela Aleinikova: it is 2002
[16:20:10]	[OOC] CCA.C14-JUDGE.i5.22767: it's whatever he gave a sufficient age second time around
[16:20:10]	[OOC] CCA.C14-GRID.i2.36307: 2006
[16:20:12]	CCA.C14-JUDGE.i5.22767 used command '/OldViewData johnny'.
[16:20:32]	[OOC] Johnny Sins: I swear to god, the CBT you will receive will be monumental topped with a machete to the dome.
[16:20:34]	[OOC] Nurbika Varayeva: imma just go on a whym here and say shit happened 1996?
[16:20:37]	CCA.C14-JUDGE.i5.22767 used command '/OldViewData johnny'.
[16:20:39]	[OOC] Angela Aleinikova: go to the menu and press "You" will say 2002
[16:20:45]	CCA.C14-JUDGE.i5.22767 ran 'drop' on item 'Citizen ID' (#29800)
[16:20:45]	CCA.C14-JUDGE.i5.22767 has lost a 'Citizen ID' #29800.
[16:20:50]	[OOC] CCA.C14-GRID.i2.36307: the owner said 2006 so
[16:20:50]	[OOC] Johnny Sins: sorry, I can't read
[16:20:57]	[OOC] CCA.C14-JUDGE.i5.22767: the owner said many things
[16:21:01]	[ME] Johnny Sins: picks up the error
[16:21:03]	[OOC] Nurbika Varayeva: the owner doesnt have a lore smh
[16:21:03]	[OOC] CCA.C14-GRID.i2.36307: q is many things
[16:21:27]	[LOOC] Johnny Sins: wtf
[16:21:30]	[LOOC] CCA.C14-GRID.i2.36307: what
[16:21:31]	Johnny Sins ran 'take' on item 'Citizen ID' (#29800)
[16:21:31]	Johnny Sins has gained a 'Citizen ID' #29800.
[16:21:34]	[LOOC] Johnny Sins: ok thanks
[16:21:40]	[LOOC] Johnny Sins: it's an error so it's hard to pick it up
[16:21:49]	CCA.C14-GRID.i2.36307 used command '/PM sins /content'.
[16:22:10]	[OOC] Johnny Sins: question
[16:22:17]	[OOC] CCA.C14-JUDGE.i5.22767: what's up?
[16:22:21]	[OOC] Johnny Sins: how does combat go
[16:22:30]	[OOC] CCA.C14-GRID.i2.36307: usually by turns
[16:22:35]	[ME] Nurbika Varayeva: nods, ruffling around her chest pocket, tossing onto the counter a relocation coupon, though it looks odd for some reason. Perhaps a bit of suspicion on the validity of the coupon?
[16:22:38]	[ME] CCA.C14-GRID.i2.36307: breaths
[16:22:41]	[LOOC] CCA.C14-GRID.i2.36307: oops
[16:22:46]	[LOOC] CCA.C14-GRID.i2.36307: meant to //
[16:22:52]	[OOC] CCA.C14-JUDGE.i5.22767: usually it's done through /me's and such, but there are times where it's just fight till someone dies
[16:22:59]	[ME] Johnny Sins: takes reigns of the guns because the CPs are too smart to place a turret in a sensible position.
[16:22:59]	[LOOC] Angela Aleinikova: you did good :D
[16:23:09]	[LOOC] Johnny Sins: lol
[16:23:10]	[LOOC] CCA.C14-GRID.i2.36307: it's biolocked
[16:23:12]	[LOOC] CCA.C14-JUDGE.i5.22767: there should be an actual one in your inventory
[16:23:14]	[LOOC] Johnny Sins: ah ok
[16:23:16]	CCA.C14-JUDGE.i5.22767 has gained 10 tokens.
[16:23:18]	[LOOC] CCA.C14-JUDGE.i5.22767: press tab
[16:23:20]	[LOOC] Nurbika Varayeva: you right
[16:23:22]	Nurbika Varayeva ran 'drop' on item 'Relocation Coupon' (#29799)
[16:23:22]	Nurbika Varayeva has lost a 'Relocation Coupon' #29799.
[16:23:24]	[LOOC] Johnny Sins: but why can gordon freeman use it
[16:23:24]	CCA.C14-JUDGE.i5.22767 ran 'take' on item 'Relocation Coupon' (#29799)
[16:23:24]	CCA.C14-JUDGE.i5.22767 has gained a 'Relocation Coupon' #29799.
[16:23:25]	[LOOC] CCA.C14-GRID.i2.36307: you want to void you stepping up there
[16:23:28]	[LOOC] Johnny Sins: sure
[16:23:30]	[LOOC] CCA.C14-GRID.i2.36307: freeman is freeman
[16:23:37]	[LOOC] Johnny Sins: but freeman is just a scientist lol
[16:23:41]	[LOOC] CCA.C14-GRID.i2.36307: true
[16:23:49]	[LOOC] CCA.C14-GRID.i2.36307: but game mechanics dotn always make sense
[16:23:52]	[LOOC] CCA.C14-JUDGE.i5.22767: ugh it gave me the wrong one one second
[16:23:56]	CCA.C14-JUDGE.i5.22767 opened the '' #2269 container.
[16:23:56]	[LOOC] Nurbika Varayeva: np
[16:24:02]	[LOOC] Johnny Sins: ok
[16:24:02]	CCA.C14-JUDGE.i5.22767 closed the '' #2269 container.
[16:24:07]	[LOOC] Johnny Sins: well
[16:24:10]	[LOOC] Johnny Sins: combine guns are biolocked
[16:24:13]	[LOOC] Johnny Sins: lets go webul
[16:24:15]	[LOOC] Johnny Sins: :((
[16:24:21]	CCA.C14-JUDGE.i5.22767 ran 'take' on item 'Citizen ID' (#29801)
[16:24:21]	CCA.C14-JUDGE.i5.22767 has gained a 'Citizen ID' #29801.
[16:24:22]	[OOC] Nurbika Varayeva: Where do I find a gun? (Im fucking joking)
[16:24:23]	CCA.C14-GRID.i2.36307 has gained 10 tokens.
[16:24:24]	[LOOC] Angela Aleinikova: well he had upgraded Mark V suit...so maybe the gloves was made from MPF glove parts since Barney have easy access to it
[16:24:26]	[ME] CCA.C14-JUDGE.i5.22767: pulls out pda
[16:24:32]	[LOOC] Johnny Sins: i'm sorry what
[16:24:36]	CCA.C14-JUDGE.i5.22767 used command '/OldViewData nurb'.
[16:24:37]	[LOOC] CCA.C14-GRID.i2.36307: biolocked not glove locked
[16:24:39]	[LOOC] Johnny Sins: the only suit in existence is made out of mpf glove parts
[16:24:53]	[LOOC] Angela Aleinikova: mean by bio-imprint signature
[16:25:02]	[LOOC] Johnny Sins: actually
[16:25:04]	[LOOC] CCA.C14-GRID.i2.36307: here all the cca and ota have a little chip in them that lets them use the shit i think
[16:25:07]	[LOOC] Johnny Sins: how does biolocking work
[16:25:18]	[ME] Nurbika Varayeva: scratches her neck a bit, she clearly didn't fully understand the question before saying in a slightly thick, Russian accent "Somewhere around June of uh-nine-teen-eighty-eight?"
[16:25:29]	[LOOC] Johnny Sins: so technically speaking
[16:25:31]	CCA.C14-JUDGE.i5.22767 used command '/OldViewData nurb'.
[16:25:32]	[LOOC] Johnny Sins: you're a transhuman
[16:25:34]	[LOOC] Johnny Sins: /cyborg
[16:25:36]	[LOOC] Johnny Sins: :PPP
[16:25:41]	[LOOC] Angela Aleinikova: well then lets say "rebel magic" gordon used
[16:25:43]	[LOOC] CCA.C14-GRID.i2.36307: it's like an rfid chip
[16:25:49]	[LOOC] CCA.C14-GRID.i2.36307: i think
[16:25:55]	[LOOC] Johnny Sins: gordon had the power of gman himself
[16:26:02]	[LOOC] Johnny Sins: he bends time and space to his will
[16:26:05]	CCA.C14-JUDGE.i5.22767 used command '/OldViewData nurb'.
[16:26:06]	[LOOC] CCA.C14-GRID.i2.36307: the g in g-man stands for gordon
[16:26:07]	[LOOC] Johnny Sins: speedruns through whole beaches
[16:26:31]	[LOOC] Johnny Sins: how do you kill someone
[16:26:35]	[LOOC] Johnny Sins: not saying i'll do it
[16:26:37]	[LOOC] Johnny Sins: just you know
