[05:57:53]	MegamanNick has connected.
[14:09:31]	CCA.C17-GRID.i2.36307 has gained 10 tokens.
[14:09:33]	Ronald "Ron" Broadbet has taken 1 damage from Ronald "Ron" Broadbet.
[14:09:33]	Ronald "Ron" Broadbet has taken 2 damage from Ronald "Ron" Broadbet.
[14:09:47]	[OOC] Theban 'Simmons' Revolt: Go give him food and drinks GRID.
[14:09:49]	Ronald "Ron" Broadbet has taken 1 damage from Ronald "Ron" Broadbet.
[14:09:49]	Ronald "Ron" Broadbet has taken 2 damage from Ronald "Ron" Broadbet.
[14:09:57]	[OOC] Ronald "Ron" Broadbet: also im supposed to have the suit item
[14:10:03]	[OOC] Ronald "Ron" Broadbet: why is it just a model
[14:10:04]	Ronald "Ron" Broadbet has taken 1 damage from Ronald "Ron" Broadbet.
[14:10:04]	Ronald "Ron" Broadbet has taken 2 damage from Ronald "Ron" Broadbet.
[14:10:06]	[OOC] Theban 'Simmons' Revolt: Weird
[14:10:14]	[OOC] CCA.C17-GRID.i2.36307: what suit
[14:10:14]	[OOC] Theban 'Simmons' Revolt: Might have been because it was fucking up at one point.
[14:10:19]	Ronald "Ron" Broadbet has taken 1 damage from Ronald "Ron" Broadbet.
[14:10:19]	Ronald "Ron" Broadbet has taken 2 damage from Ronald "Ron" Broadbet.
[14:10:21]	[OOC] Ronald "Ron" Broadbet: the hazmat suit for the qz
[14:10:28]	[LOOC] CCA.C17-GRID.i2.36307: you have it on
[14:10:29]	[LOOC] Ronald "Ron" Broadbet: this isnt in rp this suit
[14:10:30]	[LOOC] CCA.C17-GRID.i2.36307: is that ic
[14:10:33]	[LOOC] Ronald "Ron" Broadbet: im supposed to have an item
[14:10:34]	Ronald "Ron" Broadbet has taken 1 damage from Ronald "Ron" Broadbet.
[14:10:34]	Ronald "Ron" Broadbet has taken 2 damage from Ronald "Ron" Broadbet.
[14:10:37]	[LOOC] CCA.C17-GRID.i2.36307: uh
[14:10:40]	[LOOC] Ronald "Ron" Broadbet: the suit is supposed to be an item i cant take it off
[14:10:43]	[LOOC] CCA.C17-GRID.i2.36307: follow me
[14:10:44]	[LOOC] Ronald "Ron" Broadbet: its not in my inventory
[14:10:49]	Ronald "Ron" Broadbet has taken 1 damage from Ronald "Ron" Broadbet.
[14:10:49]	Ronald "Ron" Broadbet has taken 2 damage from Ronald "Ron" Broadbet.
[14:10:55]	CCA.C17-GRID.i2.36307 has lost 60 tokens.
[14:10:55]	CCA.C17-GRID.i2.36307 used command '/DropTokens 60'.
[14:10:57]	Ronald "Ron" Broadbet has gained 60 tokens.
[14:10:58]	[LOOC] CCA.C17-GRID.i2.36307: get some food
[14:11:04]	Ronald "Ron" Broadbet has taken 1 damage from Ronald "Ron" Broadbet.
[14:11:04]	Ronald "Ron" Broadbet has taken 2 damage from Ronald "Ron" Broadbet.
[14:11:15]	Ronald "Ron" Broadbet used the 'General Store Vendor' vendor.
[14:11:19]	Ronald "Ron" Broadbet has taken 1 damage from Ronald "Ron" Broadbet.
[14:11:19]	Ronald "Ron" Broadbet has taken 2 damage from Ronald "Ron" Broadbet.
[14:11:22]	[LOOC] CCA.C17-GRID.i2.36307: i'll gog et you a suit
[14:11:26]	Theban 'Simmons' Revolt ran 'Equip' on item 'Combat Knife' (#22008)
[14:11:28]	Klaus Ludwig ran 'Equip' on item 'Pipe' (#31103)
[14:11:30]	Ronald "Ron" Broadbet has lost 3 tokens.
[14:11:30]	Ronald "Ron" Broadbet has gained a 'UU-Brand Chips' #35472.
[14:11:31]	Ronald "Ron" Broadbet has lost 3 tokens.
[14:11:31]	Ronald "Ron" Broadbet has gained a 'UU-Brand Chips' #35473.
[14:11:31]	Ronald "Ron" Broadbet has lost 3 tokens.
[14:11:31]	Ronald "Ron" Broadbet has gained a 'UU-Brand Chips' #35474.
[14:11:34]	Ronald "Ron" Broadbet has taken 1 damage from Ronald "Ron" Broadbet.
[14:11:34]	Ronald "Ron" Broadbet has taken 2 damage from Ronald "Ron" Broadbet.
[14:11:35]	Ronald "Ron" Broadbet ran 'Consume' on item 'UU-Brand Chips' (#35474)
[14:11:36]	Ronald "Ron" Broadbet ran 'Consume' on item 'UU-Brand Chips' (#35472)
[14:11:36]	Theban 'Simmons' Revolt ran 'drop' on item 'Bullet Casings' (#35448)
[14:11:36]	Theban 'Simmons' Revolt has lost a 'Bullet Casings' #35448.
[14:11:37]	Ronald "Ron" Broadbet ran 'Consume' on item 'UU-Brand Chips' (#35473)
[14:11:40]	Ronald "Ron" Broadbet used the 'General Store Vendor' vendor.
[14:11:58]	Klaus Ludwig ran 'take' on item 'Graphics Card' (#35420)
[14:11:58]	Klaus Ludwig has gained a 'Graphics Card' #35420.
[14:12:05]	Theban 'Simmons' Revolt ran 'drop' on item 'Wooden Piece' (#35427)
[14:12:05]	Theban 'Simmons' Revolt has lost a 'Wooden Piece' #35427.
[14:12:15]	Klaus Ludwig ran 'drop' on item 'Graphics Card' (#35420)
[14:12:15]	Klaus Ludwig has lost a 'Graphics Card' #35420.
[14:12:15]	[OOC] Ronald "Ron" Broadbet: why is there snow only in this corner of the map
[14:12:19]	[OOC] Theban 'Simmons' Revolt: yes
[14:12:25]	[OOC] Theban 'Simmons' Revolt: The mod is bad for this map.
[14:12:28]	CCA.C17-GRID.i2.36307 opened the '' #1621 container.
[14:12:29]	Klaus Ludwig ran 'drop' on item 'Gray Jacket and Sweater' (#33192)
[14:12:29]	Klaus Ludwig has lost a 'Gray Jacket and Sweater' #33192.
[14:12:31]	CCA.C17-GRID.i2.36307 closed the '' #1621 container.
[14:12:32]	[OOC] Douglas Hudson: Just a lot
[14:12:32]	CCA.C17-GRID.i2.36307 opened the 'Padlocked Cabinet' #1622 container.
[14:12:39]	CCA.C17-GRID.i2.36307 closed the 'Padlocked Cabinet' #1622 container.
[14:12:43]	CCA.C17-GRID.i2.36307 used the 'Charred Metal Storage' vendor.
[14:12:51]	CCA.C17-GRID.i2.36307 opened the '' #1621 container.
[14:12:54]	CCA.C17-GRID.i2.36307 closed the '' #1621 container.
[14:12:55]	CCA.C17-GRID.i2.36307 opened the 'Padlocked Cabinet' #1622 container.
[14:12:59]	CCA.C17-GRID.i2.36307 closed the 'Padlocked Cabinet' #1622 container.
[14:12:59]	Klaus Ludwig ran 'take' on item 'Gray Jacket and Sweater' (#33192)
[14:12:59]	Klaus Ludwig has gained a 'Gray Jacket and Sweater' #33192.
[14:13:01]	Klaus Ludwig ran 'drop' on item 'Gray Jacket and Sweater' (#33192)
[14:13:01]	Klaus Ludwig has lost a 'Gray Jacket and Sweater' #33192.
[14:13:03]	Klaus Ludwig ran 'take' on item 'Red and Black Coat' (#32988)
[14:13:03]	Klaus Ludwig has gained a 'Red and Black Coat' #32988.
[14:13:06]	Klaus Ludwig ran 'drop' on item 'Red and Black Coat' (#32988)
[14:13:06]	Klaus Ludwig has lost a 'Red and Black Coat' #32988.
[14:13:08]	CCA.C17-GRID.i2.36307 opened the '' #1621 container.
[14:13:10]	Theban 'Simmons' Revolt ran 'take' on item 'Comfortable Blue Shirt' (#33944)
[14:13:10]	Theban 'Simmons' Revolt has gained a 'Comfortable Blue Shirt' #33944.
[14:13:10]	CCA.C17-GRID.i2.36307 closed the '' #1621 container.
[14:13:14]	Theban 'Simmons' Revolt ran 'EquipUn' on item 'Red and Black Coat' (#35423)
[14:13:14]	Theban 'Simmons' Revolt ran 'Equip' on item 'Comfortable Blue Shirt' (#33944)
[14:13:24]	[OOC] Ronald "Ron" Broadbet: did u get it grid/
[14:13:24]	Klaus Ludwig ran 'take' on item 'Combine Hazmat Worker Suit' (#33393)
[14:13:24]	Klaus Ludwig has gained a 'Combine Hazmat Worker Suit' #33393.
[14:13:29]	[OOC] CCA.C17-GRID.i2.36307: they're all gone
[14:13:33]	Klaus Ludwig ran 'take' on item 'Camera Lens' (#35416)
[14:13:33]	Klaus Ludwig has gained a 'Camera Lens' #35416.
[14:13:34]	[OOC] Ronald "Ron" Broadbet: wtf
[14:13:35]	Klaus Ludwig ran 'drop' on item 'Camera Lens' (#35416)
[14:13:35]	Klaus Ludwig has lost a 'Camera Lens' #35416.
[14:14:23]	Ronald "Ron" Broadbet used command '/ToggleRaise'.
[14:14:31]	CCA.C17-GRID.i2.36307 has gained 10 tokens.
[14:14:40]	Ronald "Ron" Broadbet used command '/ToggleRaise'.
[14:14:50]	Theban 'Simmons' Revolt ran 'Equip' on item 'Combine Hazmat Worker Suit' (#35445)
[14:14:55]	Klaus Ludwig ran 'Equip' on item 'Combine Hazmat Worker Suit' (#33393)
[14:14:56]	Douglas Hudson ran 'Equip' on item 'Empty Glass Bottle' (#34012)
[14:15:00]	Ronald "Ron" Broadbet used command '/ToggleRaise'.
[14:15:01]	Douglas Hudson ran 'EquipUn' on item 'Empty Glass Bottle' (#34012)
[14:15:23]	Ronald "Ron" Broadbet used command '/ToggleRaise'.
[14:15:26]	[LOOC] Douglas Hudson: I'm missing something
[14:15:32]	[LOOC] Theban 'Simmons' Revolt: Bruh
[14:15:32]	[LOOC] Douglas Hudson: I'm missing something really big
[14:15:33]	[LOOC] Douglas Hudson: lmao
[14:16:06]	[LOOC] Theban 'Simmons' Revolt: and*
[14:16:11]	[LOOC] Theban 'Simmons' Revolt: I just had a stroke
[14:16:12]	[LOOC] Theban 'Simmons' Revolt: Void it
[14:16:20]	Madeline Wuntch (STEAM_0:0:193599766) has disconnected (timed out).
[14:16:30]	[OOC] Theban 'Simmons' Revolt: NO CP'S RAID THE NEXUS
[14:17:49]	[ME] Ronald "Ron" Broadbet: points towards the houndeye
[14:21:41]	[LOOC] Theban 'Simmons' Revolt: Outlands federation MK2
[14:21:46]	[LOOC] Theban 'Simmons' Revolt: Shit
[14:22:16]	[LOOC] Theban 'Simmons' Revolt: The i4 was the smartest one.
[14:22:19]	[LOOC] Theban 'Simmons' Revolt: gonna be real here.
[14:22:27]	Ronald "Ron" Broadbet ran 'drop' on item 'Dead Pigeon' (#22629)
[14:22:27]	Ronald "Ron" Broadbet has lost a 'Dead Pigeon' #22629.
[14:22:39]	Klaus Ludwig ran 'take' on item 'Dead Pigeon' (#22629)
[14:22:39]	Klaus Ludwig has gained a 'Dead Pigeon' #22629.
[14:22:50]	Douglas Hudson ran 'Equip' on item 'Empty Glass Bottle' (#34012)
[14:22:54]	Douglas Hudson ran 'EquipUn' on item 'Empty Glass Bottle' (#34012)
[14:22:55]	Ronald "Ron" Broadbet ran 'drop' on item 'The Telltale Heart' (#22212)
[14:22:55]	Ronald "Ron" Broadbet has lost a 'The Telltale Heart' #22212.
[14:23:03]	Klaus Ludwig ran 'take' on item 'The Telltale Heart' (#22212)
[14:23:03]	Klaus Ludwig has gained a 'The Telltale Heart' #22212.
[14:23:07]	Klaus Ludwig ran 'Read' on item 'The Telltale Heart' (#22212)
[14:23:10]	Ronald "Ron" Broadbet ran 'drop' on item 'Blacksmith Tongs' (#19138)
[14:23:10]	Ronald "Ron" Broadbet has lost a 'Blacksmith Tongs' #19138.
[14:23:16]	Ronald "Ron" Broadbet ran 'take' on item 'Blacksmith Tongs' (#19138)
[14:23:16]	Ronald "Ron" Broadbet has gained a 'Blacksmith Tongs' #19138.
[14:24:52]	[ME] Theban 'Simmons' Revolt: Chuckles a bit.
[14:25:21]	[ME] Theban 'Simmons' Revolt: Holsters his Handcannon.
[14:25:32]	[ME] Theban 'Simmons' Revolt: Holds out his hand for the man on the right.
[14:25:45]	[LOOC] Theban 'Simmons' Revolt: Gonna shake my hand?
[14:26:02]	[ME] Douglas Hudson: reaches out with his right hand, shaking the man's hand with a girm grip
[14:26:15]	[ME] Theban 'Simmons' Revolt: Holds out his hand for the other man.
[14:26:26]	[ME] Douglas Hudson: tucks both of his hands into is pockets
[14:26:29]	[ME] Ronald "Ron" Broadbet: shakes hand
[14:27:24]	[LOOC] Theban 'Simmons' Revolt: LMAO
[14:28:17]	Madeline Wuntch has connected.
[14:28:45]	[ME] Theban 'Simmons' Revolt: takes off his suit to reveal his identity.
[14:28:47]	Theban 'Simmons' Revolt ran 'EquipUn' on item 'Combine Hazmat Worker Suit' (#35445)
[14:28:58]	[ME] Ronald "Ron" Broadbet: cant physically take off his suit because the item is broken
[14:29:06]	[IT] Ronald "Ron" Broadbet: aka i dont have it in my inventory
[14:29:07]	[IT] Ronald "Ron" Broadbet: anymore
[14:29:12]	[ME] Klaus Ludwig: unzips the top part, and takes off the mask.
[14:29:15]	Klaus Ludwig ran 'EquipUn' on item 'Combine Hazmat Worker Suit' (#33393)
[14:29:15]	[LOOC] Theban 'Simmons' Revolt: I have an idea.
[14:29:19]	Theban 'Simmons' Revolt ran 'drop' on item 'Combine Hazmat Worker Suit' (#35445)
[14:29:19]	Theban 'Simmons' Revolt has lost a 'Combine Hazmat Worker Suit' #35445.
[14:29:21]	Ronald "Ron" Broadbet ran 'take' on item 'Combine Hazmat Worker Suit' (#35445)
[14:29:21]	Ronald "Ron" Broadbet has gained a 'Combine Hazmat Worker Suit' #35445.
[14:29:25]	Ronald "Ron" Broadbet ran 'Equip' on item 'Combine Hazmat Worker Suit' (#35445)
[14:29:26]	Ronald "Ron" Broadbet ran 'EquipUn' on item 'Combine Hazmat Worker Suit' (#35445)
[14:29:26]	[LOOC] Theban 'Simmons' Revolt: Equip and un-equip that
[14:29:28]	Ronald "Ron" Broadbet ran 'drop' on item 'Combine Hazmat Worker Suit' (#35445)
[14:29:28]	Ronald "Ron" Broadbet has lost a 'Combine Hazmat Worker Suit' #35445.
[14:29:29]	[LOOC] Theban 'Simmons' Revolt: Worked
[14:29:30]	Theban 'Simmons' Revolt ran 'take' on item 'Combine Hazmat Worker Suit' (#35445)
[14:29:30]	Theban 'Simmons' Revolt has gained a 'Combine Hazmat Worker Suit' #35445.
[14:29:37]	[LOOC] Ronald "Ron" Broadbet: yea but how will i get it back
[14:30:04]	Madeline Wuntch loaded the character 'Janet 'Carolina' Fraiser'
[14:30:23]	Janet 'Carolina' Fraiser ran 'take' on item 'Gray Jacket and Sweater' (#33192)
[14:30:23]	Janet 'Carolina' Fraiser has gained a 'Gray Jacket and Sweater' #33192.
[14:30:28]	Janet 'Carolina' Fraiser ran 'Equip' on item 'Gray Jacket and Sweater' (#33192)
[14:30:30]	Janet 'Carolina' Fraiser ran 'EquipUn' on item 'Teal and Black Coat' (#33179)
[14:30:32]	Janet 'Carolina' Fraiser ran 'Equip' on item 'Gray Jacket and Sweater' (#33192)
[14:30:35]	Janet 'Carolina' Fraiser ran 'EquipUn' on item 'Gray Jacket and Sweater' (#33192)
[14:30:38]	Janet 'Carolina' Fraiser ran 'Equip' on item 'Gray Jacket and Sweater' (#33192)
[14:30:42]	Janet 'Carolina' Fraiser ran 'EquipUn' on item 'Gray Jacket and Sweater' (#33192)
[14:30:43]	Janet 'Carolina' Fraiser ran 'Equip' on item 'Teal and Black Coat' (#33179)
[14:30:45]	[LOOC] Theban 'Simmons' Revolt: members*
[14:30:46]	Janet 'Carolina' Fraiser ran 'drop' on item 'Gray Jacket and Sweater' (#33192)
[14:30:46]	Janet 'Carolina' Fraiser has lost a 'Gray Jacket and Sweater' #33192.
[14:30:56]	Janet 'Carolina' Fraiser ran 'EquipUn' on item 'Teal and Black Coat' (#33179)
[14:30:59]	Janet 'Carolina' Fraiser ran 'take' on item 'Comfortable Blue Shirt' (#33945)
[14:30:59]	Janet 'Carolina' Fraiser has gained a 'Comfortable Blue Shirt' #33945.
[14:31:04]	Janet 'Carolina' Fraiser ran 'Equip' on item 'Comfortable Blue Shirt' (#33945)
[14:31:14]	Janet 'Carolina' Fraiser ran 'EquipUn' on item 'Comfortable Blue Shirt' (#33945)
[14:31:17]	Janet 'Carolina' Fraiser ran 'Equip' on item 'Comfortable Blue Shirt' (#33945)
[14:31:23]	Janet 'Carolina' Fraiser ran 'drop' on item 'Comfortable Blue Shirt' (#33945)
[14:31:23]	Janet 'Carolina' Fraiser has lost a 'Comfortable Blue Shirt' #33945.
[14:31:24]	Janet 'Carolina' Fraiser ran 'Equip' on item 'Teal and Black Coat' (#33179)
[14:31:45]	Janet 'Carolina' Fraiser ran 'take' on item 'Suitcase' (#35451)
[14:31:45]	Janet 'Carolina' Fraiser has gained a 'Suitcase' #35451.
[14:31:51]	[LOOC] Theban 'Simmons' Revolt: Communism, splitting gear.
[14:32:02]	[LOOC] Theban 'Simmons' Revolt: This is a Communist group now
[14:32:08]	[OOC] Janet 'Carolina' Fraiser: h
[14:33:31]	[ME] Klaus Ludwig: zips his suit back up and puts the mask back on
[14:33:33]	Janet 'Carolina' Fraiser opened the '' #2460 container.
[14:33:34]	Klaus Ludwig ran 'Equip' on item 'Combine Hazmat Worker Suit' (#33393)
[14:33:35]	Janet 'Carolina' Fraiser closed the '' #2460 container.
[14:33:36]	[LOOC] Theban 'Simmons' Revolt: Do you want to wear a suit?
[14:33:38]	[LOOC] Ronald "Ron" Broadbet: yes
[14:33:42]	[ME] Ronald "Ron" Broadbet: puts his suit back on
[14:33:47]	[LOOC] Theban 'Simmons' Revolt: Shit, I have an idea
[14:33:52]	[LOOC] Ronald "Ron" Broadbet: yea?
[14:34:18]	[LOOC] Theban 'Simmons' Revolt: IC you don't have a suit considering you were brought over to City 17.
[14:34:22]	[LOOC] Theban 'Simmons' Revolt: And i'll do this.
[14:34:28]	[LOOC] Theban 'Simmons' Revolt: Actualyl....
[14:34:46]	[LOOC] Theban 'Simmons' Revolt: Nevermind, you'll have to ask Q or another admin actually.
[14:34:47]	[LOOC] Theban 'Simmons' Revolt: Sorry ;-;
[14:35:07]	[LOOC] Theban 'Simmons' Revolt: I would give away one but we have a limited supplies
[14:35:18]	[ME] Theban 'Simmons' Revolt: Puts back on his spooky suit.
[14:35:20]	Theban 'Simmons' Revolt ran 'Equip' on item 'Combine Hazmat Worker Suit' (#35445)
[14:35:27]	Klaus Ludwig used command '/ToggleRaise'.
[14:35:33]	[OOC] Theban 'Simmons' Revolt: Gonna go AFK for a bit.
[14:35:39]	[OOC] Theban 'Simmons' Revolt: void my existence for now
[14:36:13]	Douglas Hudson ran 'Equip' on item 'Wrench' (#35464)
[14:36:42]	Ronald "Ron" Broadbet used the 'General Store Vendor' vendor.
[14:36:52]	Ronald "Ron" Broadbet has lost 7 tokens.
[14:36:52]	Ronald "Ron" Broadbet has gained a 'Green Shirt' #35472.
[14:37:02]	[ME] Klaus Ludwig: hands the man a bar of soap.
[14:37:03]	Ronald "Ron" Broadbet has lost 6 tokens.
[14:37:03]	Ronald "Ron" Broadbet has gained a 'Sweatpants' #35473.
[14:37:04]	Klaus Ludwig ran 'drop' on item 'A Bar of Soap' (#31325)
[14:37:04]	Klaus Ludwig has lost a 'A Bar of Soap' #31325.
[14:37:04]	Ronald "Ron" Broadbet has lost 13 tokens.
[14:37:04]	Ronald "Ron" Broadbet has gained a 'Teal and Black Coat' #35474.
[14:37:09]	Ronald "Ron" Broadbet ran 'Equip' on item 'Teal and Black Coat' (#35474)
[14:37:13]	Ronald "Ron" Broadbet ran 'Equip' on item 'Sweatpants' (#35473)
[14:37:14]	[ME] Douglas Hudson: would look at him with a puzzled expression
[14:37:22]	Janet 'Carolina' Fraiser has taken 5 damage from worldspawn.
[14:37:23]	Ronald "Ron" Broadbet ran 'drop' on item 'Green Shirt' (#35472)
[14:37:23]	Ronald "Ron" Broadbet has lost a 'Green Shirt' #35472.
[14:37:30]	Douglas Hudson ran 'take' on item 'A Bar of Soap' (#31325)
[14:37:30]	Douglas Hudson has gained a 'A Bar of Soap' #31325.
[14:37:31]	Ronald "Ron" Broadbet used the 'General Store Vendor' vendor.
[14:37:36]	Ronald "Ron" Broadbet has lost 5 tokens.
[14:37:36]	Ronald "Ron" Broadbet has gained a 'Blue Beanie' #35475.
[14:37:42]	Ronald "Ron" Broadbet ran 'Equip' on item 'Blue Beanie' (#35475)
[14:37:45]	Ronald "Ron" Broadbet ran 'EquipUn' on item 'Blue Beanie' (#35475)
[14:37:48]	Ronald "Ron" Broadbet ran 'drop' on item 'Blue Beanie' (#35475)
[14:37:48]	Ronald "Ron" Broadbet has lost a 'Blue Beanie' #35475.
[14:37:49]	Ronald "Ron" Broadbet used the 'General Store Vendor' vendor.
[14:37:51]	Ronald "Ron" Broadbet has lost 5 tokens.
[14:37:51]	Ronald "Ron" Broadbet has gained a 'Brown Beanie' #35476.
[14:37:52]	Douglas Hudson ran 'EquipUn' on item 'Wrench' (#35464)
[14:37:54]	Ronald "Ron" Broadbet ran 'Equip' on item 'Brown Beanie' (#35476)
[14:37:56]	Ronald "Ron" Broadbet ran 'EquipUn' on item 'Brown Beanie' (#35476)
[14:38:14]	Janet 'Carolina' Fraiser ran 'take' on item '.9mm Pistol' (#26731)
[14:38:14]	Janet 'Carolina' Fraiser has gained a '.9mm Pistol' #26731.
[14:38:17]	Janet 'Carolina' Fraiser ran 'Equip' on item '.9mm Pistol' (#26731)
[14:38:20]	Janet 'Carolina' Fraiser ran 'EquipUn' on item '.9mm Pistol' (#26731)
[14:38:21]	Janet 'Carolina' Fraiser ran 'drop' on item '.9mm Pistol' (#26731)
[14:38:21]	Janet 'Carolina' Fraiser has lost a '.9mm Pistol' #26731.
[14:39:05]	[ME] Klaus Ludwig: carefully and quietly unzips his suit.
[14:39:08]	Klaus Ludwig ran 'EquipUn' on item 'Combine Hazmat Worker Suit' (#33393)
[14:39:21]	Janet 'Carolina' Fraiser ran 'take' on item 'Gunpowder' (#35444)
[14:39:21]	Janet 'Carolina' Fraiser has gained a 'Gunpowder' #35444.
[14:39:24]	Ronald "Ron" Broadbet ran 'EquipUn' on item 'Empty Glass Bottle' (#25840)
[14:39:25]	Janet 'Carolina' Fraiser ran 'take' on item 'Gunpowder' (#33967)
[14:39:25]	Janet 'Carolina' Fraiser has gained a 'Gunpowder' #33967.
[14:39:28]	Janet 'Carolina' Fraiser ran 'drop' on item 'Gunpowder' (#33967)
[14:39:28]	Janet 'Carolina' Fraiser has lost a 'Gunpowder' #33967.
[14:39:29]	Ronald "Ron" Broadbet ran 'drop' on item 'Brown Beanie' (#35476)
[14:39:29]	Ronald "Ron" Broadbet has lost a 'Brown Beanie' #35476.
[14:39:29]	Janet 'Carolina' Fraiser ran 'drop' on item 'Gunpowder' (#35444)
[14:39:29]	Janet 'Carolina' Fraiser has lost a 'Gunpowder' #35444.
[14:39:37]	Janet 'Carolina' Fraiser ran 'drop' on item 'The Human Body' (#31323)
[14:39:37]	Janet 'Carolina' Fraiser has lost a 'The Human Body' #31323.
[14:39:41]	Ronald "Ron" Broadbet ran 'Equip' on item 'Empty Glass Bottle' (#25840)
[14:39:43]	Ronald "Ron" Broadbet ran 'EquipUn' on item 'Empty Glass Bottle' (#25840)
[14:39:48]	Janet 'Carolina' Fraiser has spawned 'models/props_c17/FurnitureFireplace001a.mdl'.
[14:39:59]	Ronald "Ron" Broadbet has lost 5 tokens.
[14:40:02]	Ronald "Ron" Broadbet ran 'take' on item 'Breen's Water' (#35477)
[14:40:02]	Ronald "Ron" Broadbet has gained a 'Breen's Water' #35477.
[14:40:03]	Ronald "Ron" Broadbet has lost 5 tokens.
[14:40:05]	Ronald "Ron" Broadbet ran 'take' on item 'Breen's Water' (#35478)
[14:40:05]	Ronald "Ron" Broadbet has gained a 'Breen's Water' #35478.
[14:42:22]	Klaus Ludwig ran 'drop' on item 'Combine Hazmat Worker Suit' (#33393)
[14:42:22]	Klaus Ludwig has lost a 'Combine Hazmat Worker Suit' #33393.
[14:42:28]	Klaus Ludwig ran 'drop' on item 'The Telltale Heart' (#22212)
[14:42:28]	Klaus Ludwig has lost a 'The Telltale Heart' #22212.
[14:42:50]	Janet 'Carolina' Fraiser ran 'Read' on item 'The Telltale Heart' (#22212)
[14:43:27]	Madeline Wuntch (STEAM_0:0:193599766) has disconnected.
[14:46:29]	Dilly_ (STEAM_0:0:52468151) has disconnected.
[14:49:31]	Madeline Wuntch has connected.
[14:50:59]	Madeline Wuntch loaded the character 'CCA.C17-GRID.i2.36307'
[14:53:24]	[OOC] Theban 'Simmons' Revolt: Back
[14:53:34]	Theban 'Simmons' Revolt ran 'EquipUn' on item 'Combine Hazmat Worker Suit' (#35445)
[14:55:59]	CCA.C17-GRID.i2.36307 has gained 10 tokens.
[14:57:01]	Theban 'Simmons' Revolt ran 'take' on item 'Green Beanie' (#33187)
[14:57:01]	Theban 'Simmons' Revolt has gained a 'Green Beanie' #33187.
[14:57:05]	Theban 'Simmons' Revolt ran 'Equip' on item 'Green Beanie' (#33187)
[14:59:56]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/furnitureStove001a.mdl'.
[15:00:03]	CCA.C17-GRID.i2.36307 used command '/ToggleRaise'.
[15:00:20]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/furnitureStove001a.mdl'.
[15:00:21]	CCA.C17-GRID.i2.36307 has taken 500 damage from CCA.C17-GRID.i2.36307.
[15:00:21]	CCA.C17-GRID.i2.36307 has killed CCA.C17-GRID.i2.36307.
[15:00:40]	[OOC] CCA.C17-GRID.i2.36307: brb grabbing supper
[15:00:46]	[OOC] Theban 'Simmons' Revolt: Alright
[15:00:59]	CCA.C17-GRID.i2.36307 has gained 10 tokens.
[15:02:45]	Theban 'Simmons' Revolt ran 'take' on item 'Scrap Metal' (#34365)
[15:02:45]	Theban 'Simmons' Revolt has gained a 'Scrap Metal' #34365.
[15:03:00]	Theban 'Simmons' Revolt ran 'take' on item 'Gunpowder' (#35444)
[15:03:00]	Theban 'Simmons' Revolt has gained a 'Gunpowder' #35444.
[15:03:04]	Theban 'Simmons' Revolt has lost a 'Gunpowder' #35444.
[15:03:04]	Theban 'Simmons' Revolt has lost a 'Scrap Metal' #34365.
[15:03:04]	Theban 'Simmons' Revolt has lost a 'Paper' #35450.
[15:03:04]	Theban 'Simmons' Revolt has gained a 'Handcannon Packing' #35479.
[15:03:04]	Theban 'Simmons' Revolt has gained a 'Handcannon Packing' #35480.
[15:03:20]	Theban 'Simmons' Revolt ran 'take' on item 'Scrap Metal' (#34360)
[15:03:20]	Theban 'Simmons' Revolt has gained a 'Scrap Metal' #34360.
[15:03:26]	Theban 'Simmons' Revolt ran 'take' on item 'Gunpowder' (#33960)
[15:03:26]	Theban 'Simmons' Revolt has gained a 'Gunpowder' #33960.
[15:04:38]	[OOC] Theban 'Simmons' Revolt: Shit, GRID you might have to hand me your pistol because IC Achille took the i4's pistol but OOC we forgot to ask him to give it to us.
[15:04:48]	[OOC] Theban 'Simmons' Revolt: Or philip can hop on his i4 and do that.
[15:05:49]	Theban 'Simmons' Revolt used the 'General Store Vendor' vendor.
[15:05:59]	CCA.C17-GRID.i2.36307 has gained 10 tokens.
[15:06:04]	Theban 'Simmons' Revolt has lost 2 tokens.
[15:06:04]	Theban 'Simmons' Revolt has gained a 'Paper' #35481.
[15:06:04]	Theban 'Simmons' Revolt has lost 2 tokens.
[15:06:04]	Theban 'Simmons' Revolt has gained a 'Paper' #35482.
[15:06:05]	Theban 'Simmons' Revolt has lost 2 tokens.
[15:06:05]	Theban 'Simmons' Revolt has gained a 'Paper' #35483.
[15:06:21]	Theban 'Simmons' Revolt used the 'General Store Vendor' vendor.
[15:06:51]	Theban 'Simmons' Revolt has lost 17 tokens.
[15:06:51]	Theban 'Simmons' Revolt has gained a 'Gray Jacket and Sweater' #35484.
[15:07:13]	Theban 'Simmons' Revolt used the 'General Store Vendor' vendor.
[15:07:23]	Theban 'Simmons' Revolt has lost 2 tokens.
[15:07:23]	Theban 'Simmons' Revolt has gained a 'Paper' #35485.
[15:07:23]	Theban 'Simmons' Revolt has lost 2 tokens.
[15:07:23]	Theban 'Simmons' Revolt has gained a 'Paper' #35486.
[15:10:22]	[OOC] CCA.C17-GRID.i2.36307: back
[15:10:26]	[OOC] CCA.C17-GRID.i2.36307: you want my pistol?
