[15:09:21]	hnbug01 has connected.
[17:22:40]	Skott has taken 1 damage from worldspawn.
[17:22:41]	Skott has taken 1 damage from worldspawn.
[17:22:42]	Skott has taken 1 damage from worldspawn.
[17:22:42]	Skott has taken 1 damage from worldspawn.
[17:22:43]	Skott has taken 1 damage from worldspawn.
[17:22:44]	Skott has taken 1 damage from worldspawn.
[17:22:45]	Skott has taken 1 damage from worldspawn.
[17:22:45]	Skott ran 'Equip' on item 'Green Citizen Suit' (#12493)
[17:22:45]	Skott has taken 1 damage from worldspawn.
[17:22:46]	Skott ran 'equip' on item 'Citizen Filter' (#12494)
[17:22:50]	[OOC] Skott: OH
[17:22:53]	[OOC] Skott: thank you
[17:22:54]	[OOC] John Smith: this is a beta HL2 RP server
[17:22:58]	[OOC] Victor: yepyep, no problem
[17:23:00]	[OOC] Skott: right sorry
[17:23:03]	[OOC] Victor: you're good!
[17:23:15]	[OOC] Victor: you caught us in the middle of an event, so things are a bit weird right now.
[17:23:21]	[OOC] John Smith: we're in the middle of an event so you came at an akward time
[17:23:26]	[OOC] Skott: i am slightly rusty on beta  y'know? i got into fallout recently and i drooped my knowledge 
[17:23:31]	[OOC] Skott: how can i help with the event?
[17:23:36]	Skott ran 'drop' on item 'Suitcase' (#12491)
[17:23:36]	Skott has lost a 'Suitcase' #12491.
[17:23:46]	Skott ran 'EquipUn' on item 'Green Citizen Suit' (#12493)
[17:23:46]	Skott has taken 1 damage from worldspawn.
[17:23:47]	Skott has taken 1 damage from worldspawn.
[17:23:47]	Skott ran 'Equip' on item 'Green Citizen Suit' (#12493)
[17:23:59]	[OOC] Skott: where do i go?
[17:24:08]	[OOC] Victor: well, right now, we're walking around and observing all the weird stuff around us. We're looking for a synth factory so we can destroy it in this area.
[17:24:11]	[OOC] Victor: let me TP you...
[17:24:18]	[OOC] Skott: thank god
[17:24:19]	[OOC] Victor: what do you want your last name to be?
[17:24:27]	[OOC] Skott: nothing, irp im a orphan
[17:24:30]	[OOC] Skott: street boy
[17:24:32]	[OOC] Victor: my name is only Victor because i'm a special event character
[17:25:00]	[OOC] Skott: Tell me, do you do IC faction applications?
[17:25:10]	[OOC] Victor: well you have to have a last name. Solo? Smith? The combine would want you to have one.
[17:25:12]	[OOC] Victor: we do!
[17:25:19]	[OOC] Skott: thank god hehe
[17:25:26]	[OOC] Skott: ima do that after this man i swear 
[17:25:48]	[OOC] Skott: i suppose my last name could be skott keil, sounds cool
[17:25:56]	Victor used command '/CharSetName skott Skott Keil'.
[17:26:07]	[OOC] Victor: alrighty
[17:26:11]	[OOC] Victor: let's continue this bad boy
[17:26:13]	[OOC] Skott Keil: can i have a gun?
[17:26:24]	[OOC] John Smith: no :)
[17:26:24]	[OOC] Victor: if we need a gun you can have one, right now you're fine
[17:26:32]	[OOC] Skott Keil: ok
[17:26:49]	[OOC] Skott Keil: many errors :(
[17:26:57]	[OOC] Victor: oh, make sure you have the content in /content
[17:26:59]	Skott Keil opened the '' #1356 container.
[17:26:59]	[OOC] John Smith: oh yeah, you need the content
[17:27:01]	Skott Keil closed the '' #1356 container.
[17:27:03]	Skott Keil opened the '' #1357 container.
[17:27:05]	Skott Keil closed the '' #1357 container.
[17:27:10]	[OOC] Victor: and then make sure you've got CSS, EP1, and EP2 mounted.
[17:27:11]	[OOC] Skott Keil: after
[17:27:19]	[OOC] Victor: alright
[17:27:31]	[OOC] John Smith: if you unmount CSS then it'ts not that immersion breaking
[17:27:42]	[OOC] Skott Keil: im not buying css 
[17:27:53]	[OOC] Victor: you can download the textures from online
[17:28:41]	Skott Keil opened the '' #1360 container.
[17:28:43]	Skott Keil closed the '' #1360 container.
[17:28:44]	Skott Keil opened the '' #1359 container.
[17:28:47]	Skott Keil closed the '' #1359 container.
[17:29:05]	Skott Keil ran 'EquipUn' on item 'Green Citizen Suit' (#12493)
[17:29:16]	Victor entered observer.
[17:29:24]	Cameron Nixon opened the '' #1362 container.
[17:29:25]	Victor used command '/PlyWhitelist victor osa'.
[17:29:27]	Cameron Nixon closed the '' #1362 container.
[17:29:40]	[OOC] John Smith: skott, put on your hazmat suit, and if you hace it on it's not showing
[17:29:47]	matt saton created the character 'AWAITING ASSIGNMENT'
[17:29:48]	Skott Keil has taken 1 damage from worldspawn.
[17:29:48]	Skott Keil has taken 1 damage from worldspawn.
[17:29:49]	Skott Keil has taken 1 damage from worldspawn.
[17:29:50]	Skott Keil has taken 1 damage from worldspawn.
[17:29:51]	Skott Keil has taken 1 damage from worldspawn.
[17:29:51]	Skott Keil has taken 1 damage from worldspawn.
[17:29:52]	[OOC] Skott Keil: i can breath
[17:29:52]	matt saton loaded the character 'AWAITING ASSIGNMENT'
[17:29:52]	AWAITING ASSIGNMENT has taken 1 damage from worldspawn.
[17:29:52]	Skott Keil has taken 1 damage from worldspawn.
[17:29:53]	AWAITING ASSIGNMENT has taken 1 damage from worldspawn.
[17:29:53]	Skott Keil has taken 1 damage from worldspawn.
[17:29:53]	AWAITING ASSIGNMENT has taken 1 damage from worldspawn.
[17:29:53]	Skott Keil ran 'Equip' on item 'Green Citizen Suit' (#12493)
[17:29:54]	AWAITING ASSIGNMENT has taken 1 damage from worldspawn.
[17:29:55]	AWAITING ASSIGNMENT has taken 1 damage from worldspawn.
[17:29:56]	AWAITING ASSIGNMENT has taken 1 damage from worldspawn.
[17:29:56]	AWAITING ASSIGNMENT has taken 1 damage from worldspawn.
[17:29:57]	[OOC] Skott Keil: nevermind
[17:29:57]	[OOC] John Smith: no you cant
[17:29:57]	AWAITING ASSIGNMENT has taken 1 damage from worldspawn.
[17:29:58]	AWAITING ASSIGNMENT has taken 1 damage from worldspawn.
[17:29:59]	AWAITING ASSIGNMENT has taken 1 damage from worldspawn.
[17:30:00]	AWAITING ASSIGNMENT has taken 1 damage from worldspawn.
[17:30:00]	AWAITING ASSIGNMENT has taken 1 damage from worldspawn.
[17:30:01]	AWAITING ASSIGNMENT has taken 1 damage from worldspawn.
[17:30:02]	AWAITING ASSIGNMENT has taken 1 damage from worldspawn.
[17:30:03]	AWAITING ASSIGNMENT has taken 1 damage from worldspawn.
[17:30:03]	AWAITING ASSIGNMENT entered observer.
[17:30:03]	AWAITING ASSIGNMENT exited observer at their location.
[17:30:03]	AWAITING ASSIGNMENT has taken 1 damage from worldspawn.
[17:30:04]	AWAITING ASSIGNMENT has taken 1 damage from worldspawn.
[17:30:05]	AWAITING ASSIGNMENT has taken 1 damage from worldspawn.
[17:30:06]	AWAITING ASSIGNMENT has taken 1 damage from worldspawn.
[17:30:06]	AWAITING ASSIGNMENT has taken 1 damage from worldspawn.
[17:30:07]	AWAITING ASSIGNMENT has taken 1 damage from worldspawn.
[17:30:08]	AWAITING ASSIGNMENT has taken 1 damage from worldspawn.
[17:30:09]	AWAITING ASSIGNMENT has taken 1 damage from worldspawn.
[17:30:09]	AWAITING ASSIGNMENT has taken 1 damage from worldspawn.
[17:30:10]	AWAITING ASSIGNMENT used command '/PlyTransfer assignment ota'.
[17:30:10]	AWAITING ASSIGNMENT entered observer.
[17:30:11]	AWAITING ASSIGNMENT exited observer at their location.
[17:30:20]	Unknown Synth used command '/CharSetName assignment Unknown Synth'.
[17:30:44]	Unknown Synth used command '/CharSetModel synth models/synth/elite_brown_pm.mdl'.
[17:30:44]	Unknown Synth entered observer.
[17:30:46]	[OOC] Skott Keil: yeah im going
[17:30:49]	Skott Keil used command '/Content'.
[17:30:55]	Unknown Synth exited observer at their location.
[17:31:14]	Liberty prime (STEAM_0:1:172190965) has disconnected.
[17:31:16]	[IT] Unknown Synth: The creature suddenly jolts up from its previous lying pose.
[17:31:27]	[IT] Unknown Synth: It just sits up, not doing anything.
[17:31:48]	[IT] Unknown Synth: You see its head move from the left to the right, almost as if it's scanning, or... something.
[17:32:20]	[IT] Unknown Synth: It doesn't seem to even acknowledge the citizens speaking.
[17:32:36]	[IT] Unknown Synth: The creature turns and gets off of the left side of the bed.
[17:32:48]	[IT] Unknown Synth: It just stands there, effectively motionless.
[17:33:04]	Unknown Synth used command '/CharSetModel synth models/synth/elite_brown.mdl'.
[17:33:13]	Unknown Synth used command '/CharSetModel synth models/synth/elite_brown_pm.mdl'.
[17:33:24]	[IT] Unknown Synth: The thing turns to its right.
[17:33:39]	[IT] Unknown Synth: It affixes its gaze upon the citizen with the shockroach.
[17:33:53]	[ME] Cameron Nixon: *he'd have his Hand Raised, affixed at the Synths Chest.*
[17:34:17]	[IT] Unknown Synth: The synth doesn't seem to acknowledge it, or really be aware of it.
[17:34:53]	[OOC] John Smith: thank you dispatch
[17:34:54]	[IT] Unknown Synth: You hear the sound of some kind of radio sound, like an overwatch soldier or a CCA unit.
[17:35:39]	[IT] Unknown Synth: You hear the most moist-sounding robotic speech you swear you've ever heard. It doesn't speak like a person or with any inflection. It's almost robotic. The voice is comparable to a suppressor underwater.
[17:36:16]	[OOC] John Smith: "moist-sounding" can be taken out of context in so many ways
[17:36:21]	[OOC] Unknown Synth: yes
[17:36:41]	[IT] Unknown Synth: The radio sounds as if its listening is closed.
[17:36:59]	[ME] Cameron Nixon: *he'd peer over at the other Denizen*
[17:37:12]	[ME] Unknown Synth: doesn't react to the speech.
[17:37:31]	[IT] Unknown Synth: The synth would begin to move to its right, towards the doors. It doesn't seem to pay mind to the citizen.
[17:37:46]	[ME] Unknown Synth: continues moving.
[17:37:53]	[ME] Cameron Nixon: *he'd motion over to the Left, slightly with his hand affixed.*
[17:38:02]	[ME] Unknown Synth: would ignore the citizen.
[17:38:15]	[ME] Unknown Synth: would open the right door and turn to its right.
[17:38:17]	[ME] Cameron Nixon: *he'd subsiquently fire off Ten Rounds of Plasma at the Synthetic Creature.*
[17:38:20]	Unknown Synth has taken 16 damage from Cameron Nixon.
[17:38:20]	Unknown Synth has taken 16 damage from Cameron Nixon.
[17:38:21]	Unknown Synth has taken 16 damage from Cameron Nixon.
[17:38:21]	Unknown Synth has taken 16 damage from Cameron Nixon.
[17:38:22]	[ME] Unknown Synth: would be shot.
[17:38:22]	Unknown Synth has taken 16 damage from Cameron Nixon.
[17:38:30]	Liberty prime has connected.
[17:38:43]	matt saton loaded the character 'Victor'
[17:38:44]	[Y] Cameron Nixon: I dont know!
[17:38:44]	Victor entered observer.
[17:38:52]	Victor has spawned 'models/synth/elite_brown_pm.mdl'.
[17:38:57]	Victor has spawned 'models/synth/elite_brown_pm.mdl'.
[17:38:58]	[ME] Cameron Nixon: *the other 5 Shots would be shot at its "*Corpse*"
[17:39:24]	Liberty prime loaded the character 'Skott Keil'
[17:39:32]	[OOC] Skott Keil: finally
[17:40:38]	[ME] Cameron Nixon: *he'd hop over.*
[17:40:44]	[ME] John Smith: would pick up the Synth by the torso
[17:45:59]	matt saton (STEAM_0:1:53097688) has disconnected.
[17:46:16]	bruh moment has connected.
[17:46:30]	[OOC] John Smith: bruh q left wtf
[17:46:43]	[ME] Skott Keil: starts whistling all star 
[17:47:02]	[OOC] Cameron Nixon: He is reconnecting, do not worry.
[17:47:45]	[ME] Skott Keil: whistles the tune
[17:48:48]	[ME] Skott Keil: pats the mans shoulder
[17:48:55]	matt saton has connected.
[17:49:29]	matt saton loaded the character 'Unknown Synth'
[17:49:29]	Unknown Synth entered observer.
[17:49:38]	[OOC] Unknown Synth: are you tired of being nice?
[17:49:40]	[OOC] Unknown Synth: don't you just wanna go....
[17:49:42]	[OOC] Unknown Synth: apeshit?
[17:49:51]	[OOC] Cameron Nixon: open the door and apeshit will proceed.
[17:49:56]	bruh moment created the character 'John Man'
[17:49:56]	John Man has gained a 'Suitcase' #12494.
[17:49:56]	John Man has gained a 'Relocation Coupon' #12495.
[17:49:56]	John Man has gained a 'Green Citizen Suit' #12496.
[17:49:56]	John Man has gained a 'Citizen Filter' #12497.
[17:49:56]	bruh moment loaded the character 'John Man'
[17:49:56]	John Man has taken 1 damage from worldspawn.
[17:49:57]	John Man has taken 1 damage from worldspawn.
[17:49:57]	John Man has taken 1 damage from worldspawn.
[17:49:58]	John Man has taken 1 damage from worldspawn.
[17:49:59]	John Man has taken 1 damage from worldspawn.
[17:50:00]	John Man has taken 1 damage from worldspawn.
[17:50:00]	John Man has taken 1 damage from worldspawn.
[17:50:01]	John Man has taken 1 damage from worldspawn.
[17:50:02]	John Man has taken 1 damage from worldspawn.
[17:50:03]	[OOC] Unknown Synth: Welcome!
[17:50:03]	John Man has taken 1 damage from worldspawn.
[17:50:04]	John Man has taken 1 damage from worldspawn.
[17:50:04]	John Man has taken 1 damage from worldspawn.
[17:50:05]	John Man has taken 1 damage from worldspawn.
[17:50:06]	John Man has taken 1 damage from worldspawn.
[17:50:07]	John Man has taken 1 damage from worldspawn.
[17:50:07]	[LOOC] Unknown Synth: i'm here
[17:50:07]	John Man has taken 1 damage from worldspawn.
[17:50:08]	John Man has taken 1 damage from worldspawn.
[17:50:09]	John Man has taken 1 damage from worldspawn.
[17:50:09]	[ME] Skott Keil: begins to splice it
[17:50:10]	John Man has taken 1 damage from worldspawn.
[17:50:10]	John Man has taken 1 damage from worldspawn.
[17:50:11]	John Man has taken 1 damage from worldspawn.
[17:50:12]	Skott Keil rolled 65 out of 100.
[17:50:12]	Skott Keil used command '/Roll'.
[17:50:12]	John Man has taken 1 damage from worldspawn.
[17:50:13]	John Man has taken 1 damage from worldspawn.
[17:50:13]	John Man has taken 1 damage from worldspawn.
[17:50:14]	John Man has taken 1 damage from worldspawn.
[17:50:15]	John Man has taken 1 damage from worldspawn.
[17:50:16]	John Man has taken 1 damage from worldspawn.
[17:50:16]	John Man has taken 1 damage from worldspawn.
[17:50:17]	[LOOC] Skott Keil: what happens?
[17:50:17]	John Man has taken 1 damage from worldspawn.
[17:50:18]	John Man has taken 1 damage from worldspawn.
[17:50:19]	John Man has taken 1 damage from worldspawn.
[17:50:19]	John Man has taken 1 damage from worldspawn.
[17:50:20]	John Man has taken 1 damage from worldspawn.
[17:50:21]	John Man has taken 1 damage from worldspawn.
[17:50:22]	John Man has taken 1 damage from worldspawn.
[17:50:22]	John Man has taken 1 damage from worldspawn.
[17:50:23]	John Man has taken 1 damage from worldspawn.
[17:50:23]	John Man ran 'drop' on item 'Citizen Filter' (#12497)
[17:50:23]	John Man has lost a 'Citizen Filter' #12497.
[17:50:24]	[OOC] Unknown Synth: You're gonna want to put on your suit and filter, they're both in your inventory.
[17:50:24]	John Man has taken 1 damage from worldspawn.
[17:50:25]	John Man has taken 1 damage from worldspawn.
[17:50:25]	John Man has taken 1 damage from worldspawn.
[17:50:26]	John Man has taken 1 damage from worldspawn.
[17:50:27]	John Man has taken 1 damage from worldspawn.
[17:50:28]	John Man has taken 1 damage from worldspawn.
[17:50:28]	John Man has taken 1 damage from worldspawn.
[17:50:29]	John Man has taken 1 damage from worldspawn.
[17:50:30]	[LOOC] Unknown Synth: i'm sorry, what do you mean by splice it?
[17:50:30]	John Man ran 'take' on item 'Citizen Filter' (#12497)
[17:50:30]	John Man has gained a 'Citizen Filter' #12497.
[17:50:30]	[OOC] Skott Keil: i rolled
[17:50:30]	John Man has taken 1 damage from worldspawn.
[17:50:31]	John Man has taken 1 damage from worldspawn.
[17:50:32]	John Man has taken 1 damage from worldspawn.
[17:50:32]	John Man has taken 1 damage from worldspawn.
[17:50:33]	John Man has taken 1 damage from worldspawn.
[17:50:34]	John Man has taken 1 damage from worldspawn.
[17:50:35]	John Man has taken 1 damage from worldspawn.
[17:50:35]	John Man has taken 1 damage from worldspawn.
[17:50:36]	John Man has taken 1 damage from worldspawn.
[17:50:37]	John Man has taken 1 damage from worldspawn.
[17:50:38]	John Man has taken 1 damage from worldspawn.
[17:50:38]	John Man has taken 1 damage from worldspawn.
[17:50:39]	John Man has taken 1 damage from worldspawn.
[17:50:40]	John Man has taken 1 damage from worldspawn.
[17:50:41]	John Man has taken 1 damage from worldspawn.
[17:50:41]	John Man has taken 1 damage from worldspawn.
[17:50:42]	John Man has taken 1 damage from worldspawn.
[17:50:43]	John Man has taken 1 damage from worldspawn.
[17:50:44]	John Man has taken 1 damage from worldspawn.
[17:50:44]	John Man has taken 1 damage from worldspawn.
[17:50:45]	John Man has taken 1 damage from worldspawn.
[17:50:46]	[LOOC] Skott Keil: as in i try to disect its mechanical parts, find data, get a gun maybe
[17:50:46]	John Man has taken 1 damage from worldspawn.
[17:50:47]	John Man has taken 1 damage from worldspawn.
[17:50:47]	John Man has taken 1 damage from worldspawn.
[17:50:48]	[LOOC] Skott Keil: ammo
[17:50:48]	John Man has taken 1 damage from worldspawn.
[17:50:49]	John Man has taken 1 damage from worldspawn.
[17:50:50]	John Man has taken 1 damage from worldspawn.
[17:50:50]	[LOOC] Skott Keil: etc
[17:50:50]	John Man has taken 1 damage from worldspawn.
[17:50:51]	John Man has taken 1 damage from worldspawn.
[17:50:52]	John Man has taken 1 damage from worldspawn.
[17:50:52]	[LOOC] Unknown Synth: using what exactly
[17:50:53]	John Man has taken 1 damage from worldspawn.
[17:50:54]	John Man has taken 1 damage from worldspawn.
[17:50:54]	John Man has taken 1 damage from worldspawn.
[17:50:55]	John Man has taken 1 damage from worldspawn.
[17:50:56]	John Man has taken 1 damage from worldspawn.
[17:50:57]	John Man has taken 1 damage from worldspawn.
[17:50:57]	John Man has taken 1 damage from worldspawn.
[17:50:58]	John Man used command '/CharDesc'.
[17:50:58]	John Man has taken 1 damage from worldspawn.
[17:50:59]	John Man has taken 1 damage from worldspawn.
[17:51:00]	John Man has taken 1 damage from worldspawn.
[17:51:00]	John Man has taken 1 damage from worldspawn.
[17:51:01]	[LOOC] Skott Keil: my hands and some tools 
[17:51:01]	John Man has taken 1 damage from worldspawn.
[17:51:02]	John Man has taken 1 damage from worldspawn.
[17:51:03]	John Man has taken 1 damage from worldspawn.
[17:51:03]	John Man has taken 1 damage from worldspawn.
[17:51:04]	John Man has taken 1 damage from worldspawn.
[17:51:05]	John Man has taken 1 damage from worldspawn.
[17:51:06]	John Man has taken 1 damage from worldspawn.
[17:51:06]	John Man has taken 1 damage from worldspawn.
[17:51:07]	John Man has taken 1 damage from worldspawn.
[17:51:08]	John Man has taken 1 damage from worldspawn.
[17:51:09]	John Man has taken 1 damage from worldspawn.
[17:51:09]	John Man has taken 1 damage from worldspawn.
[17:51:10]	[LOOC] John Smith: what tools
[17:51:10]	[LOOC] Skott Keil: i rolled 65 out of 100
[17:51:10]	John Man has taken 1 damage from worldspawn.
[17:51:11]	John Man has taken 1 damage from worldspawn.
[17:51:11]	worldspawn has killed John Man.
[17:51:21]	[LOOC] Skott Keil: pliers and a small screwdriver 
[17:51:26]	[LOOC] Unknown Synth: where'd those come from
[17:51:29]	[LOOC] Skott Keil: work
[17:51:36]	[OOC] Unknown Synth: ..work?
[17:51:36]	[OOC] John Man: how do putting on gas mask?
[17:51:41]	[LOOC] John Smith: you don't have them in your inventory IC
[17:51:45]	[LOOC] Unknown Synth: what john said
[17:51:56]	[LOOC] Skott Keil: their not in rp their items i have, *sigh*
[17:51:58]	John Man ran 'take' on item 'Suitcase' (#12491)
[17:51:58]	John Man has gained a 'Suitcase' #12491.
[17:52:04]	[LOOC] Skott Keil: its not big deal
[17:52:05]	[OOC] Unknown Synth: Go into your inventory with tab, and right click on your suit, then hit equip.
[17:52:07]	[OOC] Unknown Synth: Same with the filter.
[17:52:12]	John Man has taken 1 damage from worldspawn.
[17:52:12]	John Man has taken 1 damage from worldspawn.
[17:52:13]	John Man has taken 1 damage from worldspawn.
[17:52:14]	John Man has taken 1 damage from worldspawn.
[17:52:15]	John Man has taken 1 damage from worldspawn.
[17:52:15]	John Man has taken 1 damage from worldspawn.
[17:52:16]	John Man has taken 1 damage from worldspawn.
[17:52:17]	John Man has taken 1 damage from worldspawn.
[17:52:18]	John Man ran 'Equip' on item 'Green Citizen Suit' (#12496)
[17:52:18]	John Man has taken 1 damage from worldspawn.
[17:52:18]	John Man has taken 1 damage from worldspawn.
[17:52:19]	John Man has taken 1 damage from worldspawn.
[17:52:20]	John Man has taken 1 damage from worldspawn.
[17:52:20]	[OOC] Skott Keil: so what happens with the synth?
[17:52:21]	John Man ran 'equip' on item 'Citizen Filter' (#12497)
[17:52:23]	[LOOC] Unknown Synth: it is, that's called asspulling my guy. tools are illegal, we can't just assume you have those
[17:52:29]	John Man ran 'EquipUn' on item 'Green Citizen Suit' (#12496)
[17:52:33]	[LOOC] Skott Keil: i used my hands then
[17:52:37]	John Man ran 'Equip' on item 'Green Citizen Suit' (#12496)
[17:52:42]	John Man ran 'EquipUn' on item 'Green Citizen Suit' (#12496)
[17:52:50]	[IT] Unknown Synth: You fail, because you can't break apart the synth with your bare hands.,
[17:52:57]	[LOOC] Skott Keil: cool
[17:53:01]	[ME] Skott Keil: kicks it
[17:53:06]	[OOC] John Smith: it's a synth, unless you're on steriods you can't pry it open
[17:53:21]	John Man has taken 1 damage from worldspawn.
[17:53:22]	John Man has taken 1 damage from worldspawn.
[17:53:22]	John Man has taken 1 damage from worldspawn.
[17:53:23]	John Man has taken 1 damage from worldspawn.
[17:53:24]	John Man has taken 1 damage from worldspawn.
[17:53:25]	John Man has taken 1 damage from worldspawn.
[17:53:25]	John Man ran 'Equip' on item 'Green Citizen Suit' (#12496)
[17:53:28]	matt saton loaded the character 'Victor'
[17:53:29]	Victor entered observer.
[17:53:42]	Victor exited observer at their location.
[17:53:46]	[OOC] Cameron Nixon: How does the door react to the Synth's Presence.
[17:53:50]	[OOC] Victor: it doesn't
[17:54:33]	[ME] Cameron Nixon: *he'd pet his Shock-Roach*
[17:55:13]	[LOOC] Skott Keil: sorry 
[17:55:15]	bruh moment (STEAM_0:1:80710079) has disconnected.
[17:55:18]	[LOOC] Skott Keil: i was testing
[17:57:24]	Victor entered observer.
[17:57:25]	Victor exited observer at their location.
[17:57:45]	Victor used command '/ToggleRaise'.
[17:58:31]	[Y] Victor: What did-
[17:58:37]	[IT] Victor: The synth wakes up and stands there.
[17:58:43]	[OOC] John Smith: skott picked it up
[17:58:59]	[OOC] John Smith: brb gotta piss AGAIN
[17:59:48]	[LOOC] Victor: that's.. not it either
[18:00:23]	[LOOC] Skott Keil: jeeeeeeeeeeeeeeeeeeeeeeeeeeeesus
[18:01:22]	[IT] Victor: This one doesn't seem quite as in touch as the other. It does a twitch to its left and hits its arm on the wall, then does a full body twitch.
[18:02:18]	[IT] Victor: Upon hearing the voice, the synth unit twists its head around in a full spin.
[18:02:59]	[ME] Cameron Nixon: *he'd blast Five Pulse Orbs at the Synth.*
[18:03:07]	Victor has spawned 'models/synth/elite_brown_pm.mdl'.
[18:03:14]	[IT] Victor: The synth falls, seemingly deactivated.
[18:03:28]	[OOC] John Smith: i saw dat physgun bitch
[18:04:45]	[ME] Victor: would plant a hand on it, just to see if anything happens.
[18:04:51]	[IT] Victor: The terminal reacts.
[18:05:34]	[ME] Victor: slings his AR1 and begins typing, trying to find anything of note on the device.
[18:06:47]	[OOC] John Smith: sohuld we jsut void skott IC, because he is a fucking degenerate IC
[18:06:56]	[OOC] Skott Keil: what
[18:07:00]	[ME] Victor: puts his card in the terminal. It seems to accept it.
[18:07:00]	[OOC] Skott Keil: im having fun 
[18:07:13]	[OOC] John Smith: this is a serious RP server
[18:07:16]	[OOC] Skott Keil: im aware
[18:07:25]	[OOC] Skott Keil: is rping as my character not serious
[18:08:16]	Cameron Nixon has taken 1 damage from worldspawn.
[18:08:17]	Cameron Nixon has taken 1 damage from worldspawn.
[18:08:18]	Cameron Nixon has taken 1 damage from worldspawn.
[18:08:19]	Cameron Nixon has taken 1 damage from worldspawn.
[18:08:20]	Cameron Nixon has taken 1 damage from worldspawn.
[18:08:20]	Cameron Nixon has taken 1 damage from worldspawn.
[18:08:20]	Cameron Nixon ran 'equip' on item 'Citizen Filter' (#12272)
[18:08:24]	Cameron Nixon ran 'ApplySelf' on item 'Bandage' (#12366)
[18:08:56]	[ME] Victor: scrolls progressively as he reads what's on the screen.
[18:09:19]	[ME] Skott Keil: stretches against the wall and sighs in relief.
[18:10:04]	Liberty prime (STEAM_0:1:172190965) has disconnected.
[18:10:13]	[ME] Victor: downloads whatever relevant information is on the terminal to the datachip.
[18:10:29]	Victor used command '/ToggleRaise'.
[18:10:49]	Victor used command '/ToggleRaise'.
[18:11:29]	[ME] Victor: raises his AR1 to the synth's head.
[18:11:43]	[ME] Victor: pulls the trigger, shooting a round directly into the synth's head.
[18:11:54]	Victor used command '/ToggleRaise'.
[18:11:57]	Victor used command '/ToggleRaise'.
[18:11:59]	Victor used command '/ToggleRaise'.
[18:12:33]	[ME] Victor: inserts his card into the terminal.
[18:13:36]	[LOOC] Victor: explosives.*
[18:14:39]	[IT] Victor: A button is over the top of the shelf, next to the bed.
[18:14:42]	[OOC] John Smith: thank you consul
[18:14:48]	[IT] Victor: It reads "Test fire."
[18:15:21]	[ME] Victor: takes out his combat knife and cuts the cord running from the button to the scanner.
[18:19:56]	Victor used command '/ToggleRaise'.
[18:20:43]	[ME] Cameron Nixon: *he'd Slump over the Edge, sliding over.*
[18:21:55]	[ME] Cameron Nixon: *he softly places it down, making sure to not knock the Button or any sensitive Devices; he'd motion over the the back door, opening it and loading the Synth in*
[18:22:14]	[IT] Victor: The button was in the other location, so don't worry, you're fine.
[18:22:26]	[LOOC] Victor: oh my bad
[18:22:31]	[LOOC] Cameron Nixon: Oh I interpreted it as it being on the creature lmao
[18:22:49]	[ME] Cameron Nixon: *he'd grab the Synth, rolling it into the Pit of his arm.*
[18:23:21]	[ME] Cameron Nixon: *he'd pop out the back with the Synth*
[18:23:27]	Victor has spawned 'models/wscanner_single.mdl'.
[18:23:29]	Victor has spawned 'models/orion_hl2_beta/wscanner_single.mdl'.
[18:23:32]	Victor has spawned 'models/wscanner_single.mdl'.
[18:24:31]	Victor used command '/PlySearch'.
[18:24:33]	[ME] Cameron Nixon: *he'd prop it up on the Static Ground, away from sources of Metal to focus the Charge.*
[18:25:12]	[ME] Cameron Nixon: *Syncs up the Interconnected Cables on the Back of the Creature leading through some kind of odd.. Ventilage System; synapsing to the "Weapon" on the Creature.*
[18:25:36]	[ME] Cameron Nixon: *he'd then stand clear, aiming his Shock-Roach at the Being, and firing upon the Electric Synth.*
[18:25:51]	Victor entered observer.
[18:25:56]	Victor used command '/ToggleRaise'.
[18:26:00]	Victor has spawned a 'Entity [248][item_ammo_smg1_grenade]'.
[18:26:03]	Victor exited observer at their location.
[18:26:03]	Victor has spawned a 'Entity [248][item_ammo_smg1_grenade]'.
[18:26:04]	[ME] Cameron Nixon: *he'd hunch over slightly*
[18:26:05]	Victor entered observer.
[18:26:12]	Victor exited observer at their location.
[18:26:17]	[Y] Victor: IT WORKED!
[18:27:08]	Victor used command '/ToggleRaise'.
[18:27:19]	Victor has spawned a 'Entity [249][item_ammo_smg1_grenade]'.
[18:27:33]	Victor entered observer.
[18:27:33]	Victor used command '/ToggleRaise'.
[18:27:35]	Victor has spawned a 'Entity [248][item_ammo_smg1_grenade]'.
[18:27:40]	[ME] Cameron Nixon: *pets Tazer, then squeezes his hand.*
[18:27:48]	Victor has spawned a 'Entity [248][item_ammo_smg1_grenade]'.
[18:27:50]	Victor exited observer at their location.
[18:27:51]	[LOOC] Victor: wtf
[18:27:52]	Victor has spawned a 'Entity [248][item_ammo_smg1_grenade]'.
[18:27:53]	Victor entered observer.
[18:27:58]	Victor exited observer at their location.
[18:27:59]	Victor used command '/ToggleRaise'.
[18:28:37]	[LOOC] Victor: not blinking for me
[18:29:23]	[ME] Victor: would insert the datachip. It works.
[18:30:40]	Victor entered observer.
[18:30:41]	Victor exited observer at their location.
[18:31:17]	Victor entered observer.
[18:43:25]	[OOC] John Smith: q read the sentence that you typed about city 42 and tell me you don't see something wrong
[18:43:33]	[OOC] Victor: i have brain rot oaky
[18:47:47]	[ME] Victor: presses a button.
