[03:18:23]	Bonkusgoosus has connected.
[15:00:26]	Major-General Sir Issac Brock KB used command '/CharGiveItem brock water'.
[15:00:27]	Finan O'Conall used command '/CharDesc | Short Brown Hair | Brown Beard | Green Eyes | Tall: 6'2 | Large, Burly Build | Irish Accent | Kevlar Vest | Resistance Uniform with an Exiles Armband | Crowbar on back (Or in hand) | Pistol holstered on hip |'.
[15:00:28]	PVT Nathan Pierce ran 'Consume' on item 'Consulate Water' (#38625)
[15:00:28]	PVT Nathan Pierce has gained a 'Empty Consulate Water Can' #38627.
[15:00:28]	Major-General Sir Issac Brock KB ran 'drop' on item 'Consulate Water' (#38626)
[15:00:28]	Major-General Sir Issac Brock KB has lost a 'Consulate Water' #38626.
[15:00:30]	Major-General Sir Issac Brock KB has gained a 'Consulate Water' #38628.
[15:00:30]	Major-General Sir Issac Brock KB used command '/CharGiveItem brock water'.
[15:00:30]	PVT Nathan Pierce ran 'take' on item 'Consulate Water' (#38626)
[15:00:30]	PVT Nathan Pierce has gained a 'Consulate Water' #38626.
[15:00:32]	Major-General Sir Issac Brock KB ran 'drop' on item 'Consulate Water' (#38628)
[15:00:32]	Major-General Sir Issac Brock KB has lost a 'Consulate Water' #38628.
[15:00:33]	PVT Nathan Pierce ran 'Consume' on item 'Consulate Water' (#38626)
[15:00:33]	PVT Nathan Pierce has gained a 'Empty Consulate Water Can' #38629.
[15:00:33]	Major-General Sir Issac Brock KB has gained a 'Consulate Water' #38630.
[15:00:33]	Major-General Sir Issac Brock KB used command '/CharGiveItem brock water'.
[15:00:33]	PVT Nathan Pierce ran 'drop' on item 'Empty Consulate Water Can' (#38627)
[15:00:33]	PVT Nathan Pierce has lost a 'Empty Consulate Water Can' #38627.
[15:00:35]	Major-General Sir Issac Brock KB ran 'drop' on item 'Consulate Water' (#38630)
[15:00:35]	Major-General Sir Issac Brock KB has lost a 'Consulate Water' #38630.
[15:00:36]	PVT Nathan Pierce ran 'take' on item 'Empty Consulate Water Can' (#38627)
[15:00:36]	PVT Nathan Pierce has gained a 'Empty Consulate Water Can' #38627.
[15:00:38]	PVT Nathan Pierce ran 'take' on item 'Consulate Water' (#38628)
[15:00:38]	PVT Nathan Pierce has gained a 'Consulate Water' #38628.
[15:00:42]	PVT Nathan Pierce ran 'Consume' on item 'Consulate Water' (#38630)
[15:00:42]	PVT Nathan Pierce has gained a 'Empty Consulate Water Can' #38631.
[15:00:56]	[LOOC] PVT Nathan Pierce: Okay thanks.
[15:00:59]	Major-General Sir Issac Brock KB has spawned 'models/humans/group03/male_09.mdl'.
[15:01:03]	[OOC] Richard Barley: lol
[15:01:09]	[OOC] Richard Barley: frog is giving food out
[15:01:23]	[OOC] PVT Nathan Pierce: easy 2000 tokens
[15:01:28]	[LOOC] Major-General Sir Issac Brock KB: lemme find the model
[15:01:35]	Major-General Sir Issac Brock KB has spawned 'models/humans/group02/male_09.mdl'.
[15:01:41]	Major-General Sir Issac Brock KB has spawned 'models/humans/group01/male_09.mdl'.
[15:01:47]	Major-General Sir Issac Brock KB has spawned 'models/player/zelpa/male_09.mdl'.
[15:01:54]	Richard Barley used command '/PM brock but yee. Can you train for CWU? QIncarnate — Today at 10:40 AMno but i'll delegate bean to itor DRD'.
[15:02:08]	Major-General Sir Issac Brock KB has spawned 'models/props/de_prodigy/wood_pallet_debris_09.mdl'.
[15:02:10]	Major-General Sir Issac Brock KB has spawned 'models/player/zelpa/male_09_extended.mdl'.
[15:02:15]	[LOOC] Finan O'Conall: models/Humans/Group03/male_09.mdl
[15:02:21]	Major-General Sir Issac Brock KB used command '/CharSetModel finan models/player/zelpa/male_09_extended.mdl'.
[15:02:21]	Finan O'Conall has gained a 'Notepad' #38632.
[15:02:27]	Finan O'Conall ran 'drop' on item 'Notepad' (#38632)
[15:02:27]	Finan O'Conall has lost a 'Notepad' #38632.
[15:02:30]	[LOOC] Major-General Sir Issac Brock KB: mask off for a sec
[15:02:35]	Finan O'Conall ran 'EquipUn' on item 'Respirator' (#28615)
[15:02:35]	Finan O'Conall has taken 1 damage from worldspawn.
[15:02:36]	Major-General Sir Issac Brock KB has spawned a 'Entity [4361][ix_airvent]'.
[15:02:41]	Major-General Sir Issac Brock KB used command '/CharSetModel finan models/player/zelpa/male_09_extended.mdl'.
[15:02:45]	[LOOC] Major-General Sir Issac Brock KB: there you go
[15:02:55]	Major-General Sir Issac Brock KB has spawned 'models/player/zelpa/male_09_extended.mdl'.
[15:02:59]	[LOOC] Finan O'Conall: so uh i kinda met something else
[15:03:06]	Lildirtyharry04 (STEAM_0:0:247487472) has disconnected.
[15:03:10]	[LOOC] Major-General Sir Issac Brock KB: the rebel shirt
[15:03:14]	[LOOC] Major-General Sir Issac Brock KB: it's a bodygroup
[15:03:38]	[LOOC] Finan O'Conall: yk how bean has that "resistance" fit? Yeah I had an engineer transform my kevlar shirt into soomething like that then bean got super busy and never did it
[15:03:53]	[LOOC] Major-General Sir Issac Brock KB: okay hold still
[15:03:57]	Major-General Sir Issac Brock KB used command '/CharEditBodygroup finan'.
[15:04:04]	Major-General Sir Issac Brock KB has changed Finan O'Conall's bodygroups.
[15:04:11]	[LOOC] Major-General Sir Issac Brock KB: do you want green or blue shirt
[15:04:19]	[LOOC] Finan O'Conall: I'll do green
[15:04:23]	Major-General Sir Issac Brock KB used command '/CharEditBodygroup finan'.
[15:04:32]	Major-General Sir Issac Brock KB used command '/CharEditBodygroup finan'.
[15:04:34]	Major-General Sir Issac Brock KB has changed Finan O'Conall's bodygroups.
[15:04:35]	Major-General Sir Issac Brock KB has changed Finan O'Conall's bodygroups.
[15:04:40]	[LOOC] Finan O'Conall: *tips cap* blessings to u froggy
[15:04:49]	Major-General Sir Issac Brock KB entered observer.
[15:04:55]	Major-General Sir Issac Brock KB exited observer at their location.
[15:05:04]	Major-General Sir Issac Brock KB entered observer.
[15:05:07]	Finan O'Conall has taken 1 damage from worldspawn.
[15:05:08]	Finan O'Conall has taken 1 damage from worldspawn.
[15:05:09]	Finan O'Conall has taken 1 damage from worldspawn.
[15:05:09]	Finan O'Conall has taken 1 damage from worldspawn.
[15:05:10]	Finan O'Conall has taken 1 damage from worldspawn.
[15:05:11]	Finan O'Conall has taken 1 damage from worldspawn.
[15:05:11]	[OOC] Finan O'Conall: woah witcherr gate
[15:05:12]	Finan O'Conall has taken 1 damage from worldspawn.
[15:05:12]	Finan O'Conall has taken 1 damage from worldspawn.
[15:05:13]	[LOOC] Major-General Sir Issac Brock KB: OH
[15:05:13]	Finan O'Conall has taken 1 damage from worldspawn.
[15:05:13]	Finan O'Conall ran 'Equip' on item 'Respirator' (#28615)
[15:05:14]	[LOOC] Major-General Sir Issac Brock KB: MASK
[15:05:42]	Finan O'Conall used command '/CharDesc | Short Brown Hair | Brown Beard | Green Eyes | Tall: 6'2 | Large, Burly Build | Irish Accent | Kevlar Vest | Resistance Uniform with an Exiles Armband | Backpack on back | Crowbar on back (Or in hand) | Pistol holstered on hip |'.
[15:05:45]	Major-General Sir Issac Brock KB ran 'Edit' on item 'Notepad' (#38632)
[15:05:53]	[OOC] Major-General Sir Issac Brock KB: yeah
[15:05:58]	[OOC] Major-General Sir Issac Brock KB: PRs actually a witcher rp
[15:06:04]	[OOC] Major-General Sir Issac Brock KB: but only staff can take part
[15:06:08]	[OOC] Major-General Sir Issac Brock KB: i play as yennefer
[15:06:16]	[OOC] Finan O'Conall: of course you do..
[15:06:37]	[OOC] Finan O'Conall: who wouldn't wanna be yennefer
[15:06:45]	[OOC] Major-General Sir Issac Brock KB: nah im lying, i play as Płotka
[15:06:55]	[OOC] Finan O'Conall: plotka bad
[15:06:59]	[OOC] Major-General Sir Issac Brock KB: why
[15:07:06]	[OOC] Major-General Sir Issac Brock KB: Płotka is the MAIN CHARACTER
[15:07:11]	[OOC] Finan O'Conall: not a fan of their character development
[15:07:12]	[OOC] Major-General Sir Issac Brock KB: i love roach
[15:07:15]	[OOC] Major-General Sir Issac Brock KB: roach loves me
[15:07:40]	[OOC] Major-General Sir Issac Brock KB: Płotka is Roach, their character arc is ON FLEEK
[15:07:54]	[OOC] Finan O'Conall: I've yet to watch season 2
[15:08:13]	[OOC] Major-General Sir Issac Brock KB: have you never played the games
[15:08:33]	Major-General Sir Issac Brock KB exited observer at their location.
[15:08:37]	Major-General Sir Issac Brock KB entered observer.
[15:08:37]	[OOC] Finan O'Conall: unfortunately not but I hear they are quite good, it just seems like i'm too farr behind already
[15:09:27]	Finan O'Conall has gained a 'Empty Bleach Bottle' #38633.
[15:09:31]	Finan O'Conall ran 'drop' on item 'Empty Bleach Bottle' (#38633)
[15:09:31]	Finan O'Conall has lost a 'Empty Bleach Bottle' #38633.
[15:09:54]	Finan O'Conall ran 'Edit' on item 'Notepad' (#36208)
[15:09:58]	Finan O'Conall opened the 'Padlocked Crate' #2900 container.
[15:09:58]	Finan O'Conall closed the 'Padlocked Crate' #2900 container.
[15:09:59]	Finan O'Conall opened the 'Padlocked Crate' #2900 container.
[15:10:02]	Finan O'Conall closed the 'Padlocked Crate' #2900 container.
[15:10:05]	Finan O'Conall opened the 'Padlocked Crate' #2900 container.
[15:10:05]	Finan O'Conall closed the 'Padlocked Crate' #2900 container.
[15:10:18]	Finan O'Conall has gained a 'Empty Soda Bottle' #38634.
[15:10:22]	Finan O'Conall ran 'drop' on item 'Empty Soda Bottle' (#38634)
[15:10:22]	Finan O'Conall has lost a 'Empty Soda Bottle' #38634.
[15:11:12]	Finan O'Conall has gained a 'Graphics Card' #38635.
[15:11:15]	Finan O'Conall ran 'drop' on item 'Graphics Card' (#38635)
[15:11:15]	Finan O'Conall has lost a 'Graphics Card' #38635.
[15:11:44]	Finan O'Conall ran 'Equip' on item 'Green Citizen Suit' (#28598)
[15:11:49]	Finan O'Conall ran 'drop' on item 'Cloth Scrap' (#38574)
[15:11:49]	Finan O'Conall has lost a 'Cloth Scrap' #38574.
[15:12:05]	Finan O'Conall has gained a 'AA Battery' #38636.
[15:12:08]	Finan O'Conall ran 'drop' on item 'AA Battery' (#38636)
[15:12:08]	Finan O'Conall has lost a 'AA Battery' #38636.
[15:12:35]	Lildirtyharry04 has connected.
[15:12:46]	Finan O'Conall ran 'Open' on item 'Standard Grade Ration' (#38188)
[15:12:46]	Finan O'Conall has gained a 'Standard Grade Food Product (Potato Flavor)' #38637.
[15:12:46]	Finan O'Conall has gained a 'Standard Grade Supplements (Milk Flavor)' #38638.
[15:12:46]	Finan O'Conall has gained a 'Consulate Water' #38639.
[15:12:46]	Finan O'Conall has gained 10 tokens.
[15:12:48]	Finan O'Conall ran 'Consume' on item 'Loyalist Grade Food Product (Butter Flavor)' (#38124)
[15:12:49]	Finan O'Conall ran 'Consume' on item 'Loyalist Grade Supplements (Garlic Flavor)' (#38125)
[15:12:50]	Finan O'Conall ran 'Consume' on item 'Loyalist Grade Food Product (Onion Flavor)' (#37059)
[15:12:58]	Finan O'Conall ran 'Consume' on item 'Consulate Water' (#38639)
[15:13:00]	Finan O'Conall ran 'Consume' on item 'Standard Grade Supplements (Milk Flavor)' (#38638)
[15:13:01]	Finan O'Conall ran 'Consume' on item 'Standard Grade Food Product (Potato Flavor)' (#38637)
[15:13:04]	Finan O'Conall ran 'Take' on item 'UU Brand Cigarette Pack' (#29419)
[15:13:04]	Finan O'Conall has gained a 'UU Brand Cigarette' #38641.
[15:13:06]	Finan O'Conall ran 'Smoke' on item 'UU Brand Cigarette' (#38641)
[15:13:15]	Lildirtyharry04 (STEAM_0:0:247487472) has disconnected.
[15:14:38]	Lildirtyharry04 has connected.
[15:15:22]	Lildirtyharry04 loaded the character 'Qul'jal'
[15:15:29]	[OOC] Qul'jal: okay. My game did not error out
[15:15:32]	Major-General Sir Issac Brock KB exited observer at their location.
[15:15:43]	Major-General Sir Issac Brock KB entered observer.
[15:15:50]	Major-General Sir Issac Brock KB exited observer at their location.
[15:15:53]	[OOC] Qul'jal: I see the swep. All it has is a throw option
[15:16:03]	Major-General Sir Issac Brock KB used command '/CharSetClass qul free'.
[15:16:05]	Major-General Sir Issac Brock KB entered observer.
[15:16:14]	Painevan has connected.
[15:16:17]	[LOOC] Major-General Sir Issac Brock KB: you have to die
[15:16:17]	Major-General Sir Issac Brock KB used command '/ToggleRaise'.
[15:16:19]	Qul'jal has taken 100 damage from Major-General Sir Issac Brock KB.
[15:16:19]	Major-General Sir Issac Brock KB has killed Qul'jal with weapon_crossbow.
[15:16:27]	Major-General Sir Issac Brock KB exited observer at their location.
[15:16:32]	Major-General Sir Issac Brock KB entered observer.
[15:16:37]	[LOOC] Qul'jal: hey
[15:16:46]	[LOOC] Qul'jal: Its a huge ass error when I switch to abilties
[15:16:49]	Major-General Sir Issac Brock KB exited observer at their location.
[15:17:00]	Major-General Sir Issac Brock KB entered observer.
[15:17:16]	Qul'jal used command '/PM brock Come into general 2 RQ. Idk if this is coding error or a content error'.
[15:17:25]	Qul'jal used command '/PM brock it is being hella goofy'.
[15:17:42]	Painevan loaded the character 'OTA.C17-ECHO.OHZ.74152'
[15:17:53]	[OOC] OTA.C17-ECHO.OHZ.74152: Good day gentlement
[15:17:54]	Lynch (STEAM_0:1:626926779) has disconnected (timed out).
[15:18:04]	Nums loaded the character 'Élisabeth Morel'
[15:18:17]	Major-General Sir Issac Brock KB used command '/PM echo get off ota please <3'.
[15:18:28]	OTA.C17-ECHO.OHZ.74152 used command '/PM Issac I'm only on to get my stuff back'.
[15:18:35]	Major-General Sir Issac Brock KB exited observer at their location.
[15:18:35]	Major-General Sir Issac Brock KB entered observer.
[15:18:37]	Major-General Sir Issac Brock KB exited observer at their location.
[15:18:39]	Major-General Sir Issac Brock KB entered observer.
[15:18:40]	Major-General Sir Issac Brock KB exited observer at their location.
[15:18:41]	Major-General Sir Issac Brock KB entered observer.
[15:19:55]	Major-General Sir Issac Brock KB used command '/ToggleRaise'.
[15:20:07]	OTA.C17-ECHO.OHZ.74152 used the 'Armory Supply' vendor.
[15:20:09]	Major-General Sir Issac Brock KB used command '/ToggleRaise'.
[15:20:13]	OTA.C17-ECHO.OHZ.74152 has gained 0 tokens.
[15:20:13]	OTA.C17-ECHO.OHZ.74152 has gained a '4.6x30 Rounds' #38641.
[15:20:13]	OTA.C17-ECHO.OHZ.74152 has gained 0 tokens.
[15:20:13]	OTA.C17-ECHO.OHZ.74152 has gained a '4.6x30 Rounds' #38642.
[15:20:13]	OTA.C17-ECHO.OHZ.74152 has gained 0 tokens.
[15:20:13]	OTA.C17-ECHO.OHZ.74152 has gained a '4.6x30 Rounds' #38643.
[15:20:14]	OTA.C17-ECHO.OHZ.74152 has gained 0 tokens.
[15:20:14]	OTA.C17-ECHO.OHZ.74152 has gained a '4.6x30 Rounds' #38644.
[15:20:15]	OTA.C17-ECHO.OHZ.74152 has gained 0 tokens.
[15:20:15]	OTA.C17-ECHO.OHZ.74152 has gained a '4.6x30 Rounds' #38645.
[15:20:15]	OTA.C17-ECHO.OHZ.74152 has gained 0 tokens.
[15:20:15]	OTA.C17-ECHO.OHZ.74152 has gained a '4.6x30 Rounds' #38646.
[15:20:19]	OTA.C17-ECHO.OHZ.74152 ran 'use' on item '4.6x30 Rounds' (#38641)
[15:20:19]	OTA.C17-ECHO.OHZ.74152 ran 'use' on item '4.6x30 Rounds' (#38642)
[15:20:20]	OTA.C17-ECHO.OHZ.74152 ran 'use' on item '4.6x30 Rounds' (#38643)
[15:20:21]	OTA.C17-ECHO.OHZ.74152 ran 'use' on item '4.6x30 Rounds' (#38646)
[15:20:21]	OTA.C17-ECHO.OHZ.74152 ran 'use' on item '4.6x30 Rounds' (#38645)
[15:20:22]	OTA.C17-ECHO.OHZ.74152 ran 'use' on item '4.6x30 Rounds' (#38644)
[15:20:23]	OTA.C17-ECHO.OHZ.74152 used the 'Armory Supply' vendor.
[15:20:27]	Major-General Sir Issac Brock KB exited observer at their location.
[15:20:32]	OTA.C17-ECHO.OHZ.74152 used the 'Armory Supply' vendor.
[15:20:39]	Major-General Sir Issac Brock KB has taken 9999999 damage from Qul'jal.
[15:20:39]	Qul'jal has killed Major-General Sir Issac Brock KB with weapon_vortswep.
[15:20:42]	OTA.C17-ECHO.OHZ.74152 has gained 0 tokens.
[15:20:42]	OTA.C17-ECHO.OHZ.74152 has gained a '4.6x30 Rounds' #38641.
[15:20:43]	OTA.C17-ECHO.OHZ.74152 has gained 0 tokens.
[15:20:43]	OTA.C17-ECHO.OHZ.74152 has gained a '4.6x30 Rounds' #38642.
[15:20:43]	OTA.C17-ECHO.OHZ.74152 has gained 0 tokens.
[15:20:43]	OTA.C17-ECHO.OHZ.74152 has gained a '4.6x30 Rounds' #38643.
[15:20:46]	OTA.C17-ECHO.OHZ.74152 ran 'use' on item '4.6x30 Rounds' (#38641)
[15:20:46]	OTA.C17-ECHO.OHZ.74152 ran 'use' on item '4.6x30 Rounds' (#38642)
[15:20:47]	OTA.C17-ECHO.OHZ.74152 ran 'use' on item '4.6x30 Rounds' (#38643)
[15:20:48]	OTA.C17-ECHO.OHZ.74152 used the 'Armory Supply' vendor.
[15:20:49]	Major-General Sir Issac Brock KB entered observer.
[15:20:51]	OTA.C17-ECHO.OHZ.74152 has gained 0 tokens.
[15:20:51]	OTA.C17-ECHO.OHZ.74152 has gained a '9mm Pistol Magazine' #38641.
[15:20:52]	OTA.C17-ECHO.OHZ.74152 has gained 0 tokens.
[15:20:52]	OTA.C17-ECHO.OHZ.74152 has gained a '9mm Pistol Magazine' #38642.
[15:20:52]	OTA.C17-ECHO.OHZ.74152 has gained 0 tokens.
[15:20:52]	OTA.C17-ECHO.OHZ.74152 has gained a '9mm Pistol Magazine' #38643.
[15:20:53]	OTA.C17-ECHO.OHZ.74152 has gained 0 tokens.
[15:20:53]	OTA.C17-ECHO.OHZ.74152 has gained a '9mm Pistol Magazine' #38644.
[15:20:54]	OTA.C17-ECHO.OHZ.74152 has gained 0 tokens.
[15:20:54]	OTA.C17-ECHO.OHZ.74152 has gained a '9mm Pistol Magazine' #38645.
[15:20:54]	OTA.C17-ECHO.OHZ.74152 has gained 0 tokens.
[15:20:54]	OTA.C17-ECHO.OHZ.74152 has gained a '9mm Pistol Magazine' #38646.
[15:20:57]	OTA.C17-ECHO.OHZ.74152 ran 'use' on item '9mm Pistol Magazine' (#38641)
[15:20:58]	OTA.C17-ECHO.OHZ.74152 ran 'use' on item '9mm Pistol Magazine' (#38642)
[15:20:59]	OTA.C17-ECHO.OHZ.74152 ran 'use' on item '9mm Pistol Magazine' (#38643)
[15:21:00]	OTA.C17-ECHO.OHZ.74152 ran 'use' on item '9mm Pistol Magazine' (#38646)
[15:21:01]	OTA.C17-ECHO.OHZ.74152 ran 'use' on item '9mm Pistol Magazine' (#38645)
[15:21:01]	OTA.C17-ECHO.OHZ.74152 ran 'use' on item '9mm Pistol Magazine' (#38644)
[15:21:06]	OTA.C17-ECHO.OHZ.74152 used the 'Armory Supply' vendor.
[15:21:11]	Major-General Sir Issac Brock KB exited observer at their location.
[15:21:14]	Major-General Sir Issac Brock KB entered observer.
[15:21:14]	Major-General Sir Issac Brock KB exited observer at their location.
[15:21:17]	Major-General Sir Issac Brock KB entered observer.
[15:21:18]	Major-General Sir Issac Brock KB exited observer at their location.
[15:21:21]	Major-General Sir Issac Brock KB entered observer.
[15:21:21]	Major-General Sir Issac Brock KB exited observer at their location.
[15:21:24]	Major-General Sir Issac Brock KB entered observer.
[15:21:24]	Major-General Sir Issac Brock KB exited observer at their location.
[15:21:26]	Major-General Sir Issac Brock KB entered observer.
[15:21:27]	Major-General Sir Issac Brock KB exited observer at their location.
[15:21:27]	Major-General Sir Issac Brock KB entered observer.
[15:21:27]	Major-General Sir Issac Brock KB exited observer at their location.
[15:21:29]	Major-General Sir Issac Brock KB entered observer.
[15:21:32]	Major-General Sir Issac Brock KB used command '/ToggleRaise'.
[15:21:40]	OTA.C17-ECHO.OHZ.74152 used command '/PM issac Can you give me a single grenade and a stimshot? It says in the OTA thing I can have those'.
[15:22:09]	OTA.C17-ECHO.OHZ.74152 used the 'Armory Supply' vendor.
[15:22:10]	Major-General Sir Issac Brock KB entered observer.
[15:22:28]	OTA.C17-ECHO.OHZ.74152 has gained 0 tokens.
[15:22:28]	OTA.C17-ECHO.OHZ.74152 has gained a 'Small Items Case' #38641.
[15:22:33]	Nums (STEAM_0:1:196547442) has disconnected.
[15:23:08]	Major-General Sir Issac Brock KB used command '/PM ohz busy'.
[15:23:17]	OTA.C17-ECHO.OHZ.74152 used command '/PM issac hekking'.
[15:23:20]	OTA.C17-ECHO.OHZ.74152 has gained a 'Stimshot' #38642.
[15:23:20]	Major-General Sir Issac Brock KB used command '/CharGiveItem ohz stimshot'.
[15:23:23]	OTA.C17-ECHO.OHZ.74152 has gained a 'Grenade' #38643.
[15:23:23]	Major-General Sir Issac Brock KB used command '/CharGiveItem ohz grenade'.
[15:23:29]	OTA.C17-ECHO.OHZ.74152 used command '/PM issac Thanks'.
[15:23:50]	Major-General Sir Issac Brock KB exited observer at their location.
[15:24:04]	Major-General Sir Issac Brock KB entered observer.
[15:24:15]	DRD (STEAM_0:0:193599766) has disconnected.
[15:24:51]	Painevan loaded the character 'Jonathan Jackson'
[15:24:52]	Lildirtyharry04 (STEAM_0:0:247487472) has disconnected.
[15:25:02]	Jonathan Jackson opened the 'Padlocked Crate' #2726 container.
[15:25:02]	Jonathan Jackson closed the 'Padlocked Crate' #2726 container.
[15:25:32]	Jonathan Jackson ran 'drop' on item 'A Roll of Toilet Paper' (#29278)
[15:25:32]	Jonathan Jackson has lost a 'A Roll of Toilet Paper' #29278.
[15:26:19]	Jonathan Jackson used the 'Shopkeeper Jim' vendor.
[15:26:23]	Jonathan Jackson has lost 15 tokens.
[15:26:23]	Jonathan Jackson has gained a 'Padlock' #38644.
[15:26:24]	Jonathan Jackson has lost 15 tokens.
[15:26:24]	Jonathan Jackson has gained a 'Padlock' #38645.
[15:26:25]	Jonathan Jackson has lost 15 tokens.
[15:26:25]	Jonathan Jackson has gained a 'Padlock' #38646.
[15:26:45]	Jonathan Jackson destroyed a 'Empty Chinese Takeout' #38444.
[15:27:14]	Jonathan Jackson ran 'Use' on item 'Padlock' (#38644)
[15:27:26]	Jonathan Jackson ran 'Use' on item 'Padlock' (#38645)
[15:27:42]	Jonathan Jackson ran 'Use' on item 'Padlock' (#38646)
[15:28:20]	Jonathan Jackson destroyed a 'Cinderblock' #38408.
[15:28:22]	Jonathan Jackson destroyed a 'Power Supply Unit' #38370.
[15:28:27]	Jonathan Jackson destroyed a 'Broken Keyboard' #38455.
[15:28:29]	Jonathan Jackson destroyed a 'Graphics Card' #38456.
[15:28:47]	Jonathan Jackson opened the 'Large Refrigerator' #2808 container.
[15:28:51]	Jonathan Jackson closed the 'Large Refrigerator' #2808 container.
[15:28:53]	Jonathan Jackson ran 'EquipUn' on item 'Gray Jeans' (#32445)
[15:28:54]	Jonathan Jackson ran 'EquipUn' on item 'CWU Commerce Shirt' (#32446)
[15:28:55]	Jonathan Jackson opened the 'Large Refrigerator' #2808 container.
[15:28:57]	Jonathan Jackson closed the 'Large Refrigerator' #2808 container.
[15:28:59]	Jonathan Jackson ran 'Equip' on item 'CWU Commerce Shirt' (#32446)
[15:29:00]	Jonathan Jackson ran 'EquipUn' on item 'CWU Commerce Shirt' (#32446)
[15:29:01]	Jonathan Jackson ran 'Equip' on item 'Gray Jeans' (#32445)
[15:29:01]	Jonathan Jackson ran 'EquipUn' on item 'Gray Jeans' (#32445)
[15:29:02]	Jonathan Jackson opened the 'Large Refrigerator' #2808 container.
[15:29:08]	Jonathan Jackson has gained a 'Reinforced Citizen Shirt' #33609.
[15:29:23]	Jonathan Jackson closed the 'Large Refrigerator' #2808 container.
[15:29:24]	Jonathan Jackson opened the 'Metal Cabinet' #2811 container.
[15:29:27]	Jonathan Jackson closed the 'Metal Cabinet' #2811 container.
[15:29:28]	Jonathan Jackson opened the 'Metal Cabinet' #2810 container.
[15:29:30]	Jonathan Jackson closed the 'Metal Cabinet' #2810 container.
[15:29:32]	Jonathan Jackson ran 'Equip' on item 'Reinforced Citizen Shirt' (#33609)
[15:30:39]	Jonathan Jackson opened the 'Cash Register' #148 container.
[15:30:43]	Jonathan Jackson closed the 'Cash Register' #148 container.
[15:30:46]	Jonathan Jackson opened the 'Crate' #3062 container.
[15:30:48]	Jonathan Jackson closed the 'Crate' #3062 container.
[15:31:17]	Jonathan Jackson destroyed a 'Spark Plug' #38369.
[15:31:43]	Jonathan Jackson ran 'Equip' on item 'Green Citizen Suit' (#28351)
[15:32:29]	Jonathan Jackson opened the 'Padlocked Cash Register' #2821 container.
[15:32:32]	Jonathan Jackson closed the 'Padlocked Cash Register' #2821 container.
[15:32:42]	Jonathan Jackson opened the 'Padlocked Metal Cabinet' #2820 container.
[15:32:46]	Jonathan Jackson closed the 'Padlocked Metal Cabinet' #2820 container.
[15:32:59]	Jonathan Jackson opened the 'Reinforced Padlocked Crate' #2905 container.
[15:33:05]	Jonathan Jackson closed the 'Reinforced Padlocked Crate' #2905 container.
[15:33:18]	Jonathan Jackson destroyed a 'Pack of Nails' #38513.
[15:33:26]	Jonathan Jackson destroyed a 'Empty Glass Bottle' #38426.
[15:34:01]	Jonathan Jackson has taken 1 damage from npc_fastzombie.
[15:34:11]	Jonathan Jackson has gained 10 tokens.
[15:34:14]	Jonathan Jackson has taken 1 damage from npc_headcrab.
[15:34:21]	Jonathan Jackson has taken 1 damage from npc_headcrab.
[15:34:56]	Jonathan Jackson destroyed a 'Blue Pre-War Shirt' #38644.
[15:36:24]	Jonathan Jackson ran 'take' on item 'Padlock' (#38518)
[15:36:24]	Jonathan Jackson has gained a 'Padlock' #38518.
[15:36:53]	Jonathan Jackson opened the 'Cash Register' #2418 container.
[15:36:53]	Jonathan Jackson closed the 'Cash Register' #2418 container.
[15:36:59]	Jonathan Jackson destroyed a 'Spark Plug' #34454.
[15:37:00]	Jonathan Jackson opened the 'Cash Register' #2418 container.
[15:37:07]	Jonathan Jackson closed the 'Cash Register' #2418 container.
[15:37:15]	Jonathan Jackson ran 'View' on item 'Notepad' (#36068)
[15:37:19]	Jonathan Jackson opened the 'Dumpster' #2756 container.
[15:37:21]	Jonathan Jackson closed the 'Dumpster' #2756 container.
[15:38:14]	Jonathan Jackson has gained 10 tokens.
[15:39:43]	Jonathan Jackson ran 'take' on item 'Reinforced Padlock' (#38403)
[15:39:43]	Jonathan Jackson has gained a 'Reinforced Padlock' #38403.
[15:39:54]	Jonathan Jackson has taken 1 damage from npc_antlion.
[15:39:55]	Jonathan Jackson has taken 1 damage from npc_antlion.
[15:39:56]	Jonathan Jackson has taken 1 damage from npc_antlion.
[15:39:57]	Jonathan Jackson has taken 1 damage from npc_antlion.
[15:39:59]	Jonathan Jackson has taken 1 damage from npc_antlion.
[15:40:00]	Painevan loaded the character 'CCA.C17-HELIX.i3.08874'
[15:40:04]	Painevan loaded the character 'Jonathan Jackson'
[15:40:05]	Jonathan Jackson has taken 1 damage from npc_antlion.
[15:40:31]	Jonathan Jackson has spawned 'models/props_lab/blastdoor001c.mdl'.
[15:40:32]	Jonathan Jackson has spawned 'models/props_lab/blastdoor001c.mdl'.
[15:40:33]	Jonathan Jackson has spawned 'models/props_lab/blastdoor001c.mdl'.
[15:40:43]	Painevan loaded the character 'CCA.C17-HELIX.i3.08874'
[15:40:46]	Painevan loaded the character 'Jonathan Jackson'
[15:40:56]	Jonathan Jackson ran 'View' on item 'Paper' (#33709)
[15:41:03]	Jonathan Jackson ran 'View' on item 'Notepad' (#29210)
[15:41:28]	Jonathan Jackson ran 'Consume' on item 'Flavored Consulate Water' (#37201)
[15:41:28]	Jonathan Jackson has gained a 'Empty Flavored Consulate Water Can' #38644.
