[00:00:03]	[LOOC] Amahle Osthuizen: SAME
[17:18:48]	[LOOC] CCA.C08-GRID.i3.69192: i'll try it out
[17:18:51]	Dr. Walter Bennett has connected.
[17:18:54]	[LOOC] CCA.C08-GRID.i3.69192: i'm not the biggest fan of trenches personally
[17:18:56]	[LOOC] CCA.C08-GRID.i3.69192: but that's just me
[17:19:07]	[LOOC] CCA.C08-UNION.i3.98240 [X]: me neither but it seems alot of people like them
[17:19:07]	[LOOC] CCA.C08-GRID.i3.69192: that's just kinda how i was raised with HL2RP
[17:19:11]	[LOOC] CCA.C08-GRID.i3.69192: yeah
[17:19:16]	[LOOC] CCA.C08-GRID.i3.69192: they seem to be disputed a lot to be honest
[17:19:26]	[LOOC] CCA.C08-GRID.i3.69192: damnit sprays are enabled again
[17:19:29]	CCA.C08-GRID.i3.69192 has taken 5 damage from prop_ragdoll.
[17:19:29]	CCA.C08-GRID.i3.69192 has taken 5 damage from prop_ragdoll.
[17:19:42]	CCA.C08-GRID.i3.69192 has spawned 'models/dpfilms/metropolice/reticetrench.mdl'.
[17:20:01]	CCA.C08-UNION.i3.98240 [X] has gained 10 tokens.
[17:20:03]	[LOOC] CCA.C08-GRID.i3.69192: hmm
[17:20:04]	CCA.C08-GRID.i3.69192 has spawned 'models/dpfilms/metropolice/reticetrench.mdl'.
[17:20:16]	[LOOC] CCA.C08-GRID.i3.69192: may be on to something
[17:20:33]	[OOC] CCA.C08-UNION.i3.98240 [X]: UNION seems to be the least normal out of the bunch.
[17:20:37]	CCA.C08-GRID.i3.69192 has gained 10 tokens.
[17:20:40]	[LOOC] CCA.C08-GRID.i3.69192: yeah it does
[17:20:44]	[LOOC] CCA.C08-GRID.i3.69192: but once we do helix it'll blend in
[17:20:47]	[LOOC] CCA.C08-GRID.i3.69192: i noticed lmao
[17:21:03]	[LOOC] CCA.C08-GRID.i3.69192: so what do we use for the DvL
[17:21:13]	[LOOC] CCA.C08-GRID.i3.69192: so what od we use for SqL
[17:21:14]	CCA.C08-UNION.i3.98240 [X] has spawned 'models/dpfilms/metropolice/blaice_bt.mdl'.
[17:21:18]	[LOOC] CCA.C08-GRID.i3.69192: i mean i can try to sub it and find an alternative
[17:21:22]	CCA.C08-GRID.i3.69192 used command '/CharGiveFlag judge per'.
[17:21:28]	CCA.C08-UNION.i3.98240 [X] has spawned 'models/dpfilms/metropolice/playermodels/pm_rtb_police.mdl'.
[17:21:31]	[OOC] CCA.C08-UNION.i3.98240 [X]: Q
[17:21:35]	CCA.C08-GRID.i3.69192 has spawned 'models/dpfilms/metropolice/playermodels/pm_steampunk_police.mdl'.
[17:21:36]	[OOC] CCA.C08-GRID.i3.69192: yeah
[17:21:48]	[OOC] CCA.C08-UNION.i3.98240 [X]: Wanna use this for UNION DvL?
[17:21:52]	CCA.C08-JUDGE.i1.91412 has spawned 'models/metropolice/c08.mdl'.
[17:21:54]	CCA.C08-GRID.i3.69192 entered observer.
[17:21:56]	CCA.C08-GRID.i3.69192 exited observer at their location.
[17:22:03]	[LOOC] CCA.C08-GRID.i3.69192: euhhhueuhuhuhuh i relaly wanna say noo :(((
[17:22:07]	[LOOC] CCA.C08-UNION.i3.98240 [X]: I keep coming back to it
[17:22:15]	CCA.C08-JUDGE.i1.91412 has gained 10 tokens.
[17:22:16]	[LOOC] CCA.C08-UNION.i3.98240 [X]: F
[17:22:22]	[LOOC] CCA.C08-GRID.i3.69192: yeah, i'm trying to get over my circlejekr
[17:22:24]	CCA.C08-GRID.i3.69192 used command '/ToggleRaise'.
[17:22:35]	[LOOC] CCA.C08-GRID.i3.69192: yeah
[17:22:43]	[LOOC] CCA.C08-GRID.i3.69192: and a combine soldier vest too lmao
[17:22:53]	CCA.C08-GRID.i3.69192 used command '/ToggleRaise'.
[17:23:08]	[LOOC] CCA.C08-GRID.i3.69192: my whole thing was the fact that it's because he would be holding a lot more tool shit
[17:23:14]	[LOOC] CCA.C08-GRID.i3.69192: but hte helmet never really occured ot me
[17:23:20]	[LOOC] CCA.C08-GRID.i3.69192: that was just my explanation for the bulkiness
[17:23:22]	CCA.C08-UNION.i3.98240 [X] has spawned 'models/dpfilms/metropolice/rtb_police.mdl'.
[17:23:26]	[LOOC] CCA.C08-UNION.i3.98240 [X]: The fuck
[17:23:30]	[LOOC] CCA.C08-GRID.i3.69192: yeah
[17:23:44]	[LOOC] CCA.C08-UNION.i3.98240 [X]: Their's literally too different variants of it and I don't see a difference
[17:23:46]	CCA.C08-UNION.i3.98240 [X] has spawned 'models/dpfilms/metropolice/rtb_police.mdl'.
[17:23:48]	[LOOC] CCA.C08-GRID.i3.69192: i could with customizable metropolice but icky
[17:23:51]	CCA.C08-GRID.i3.69192 entered observer.
[17:23:51]	CCA.C08-UNION.i3.98240 [X] has spawned 'models/dpfilms/metropolice/playermodels/pm_rtb_police.mdl'.
[17:23:58]	[LOOC] CCA.C08-UNION.i3.98240 [X]: What is the difference?
[17:23:59]	CCA.C08-GRID.i3.69192 exited observer at their location.
[17:24:02]	[LOOC] CCA.C08-UNION.i3.98240 [X]: Oh
[17:24:02]	[LOOC] CCA.C08-GRID.i3.69192: their animations
[17:24:04]	CCA.C08-GRID.i3.69192 entered observer.
[17:24:05]	CCA.C08-GRID.i3.69192 exited observer at their location.
[17:24:10]	[LOOC] CCA.C08-UNION.i3.98240 [X]: Gross
[17:24:40]	[LOOC] CCA.C08-UNION.i3.98240 [X]: By the way, How did you get you're shotgun on you're back?
[17:24:45]	[LOOC] CCA.C08-GRID.i3.69192: that's just how it works
[17:24:49]	[LOOC] CCA.C08-UNION.i3.98240 [X]: F
[17:24:52]	[LOOC] CCA.C08-GRID.i3.69192: i added pac3 data to the shotgun
[17:25:00]	Dr. Walter Bennett (STEAM_0:1:420881022) deleted character 'CCA.C08-UNION.i5.19267'
[17:25:01]	CCA.C08-UNION.i3.98240 [X] has gained 10 tokens.
[17:25:05]	[LOOC] CCA.C08-GRID.i3.69192: yeah
[17:25:08]	Dr. Walter Bennett loaded the character 'Joshua Stevens'
[17:25:11]	[LOOC] CCA.C08-GRID.i3.69192: they're inspired by the same thing
[17:25:13]	[LOOC] CCA.C08-GRID.i3.69192: i love that mask
[17:25:17]	[OOC] Joshua Stevens: yo
[17:25:17]	[LOOC] CCA.C08-GRID.i3.69192: sup joshua
[17:25:21]	[OOC] CCA.C08-UNION.i3.98240 [X]: Yo
[17:25:27]	[LOOC] CCA.C08-GRID.i3.69192: i don't pick it so it looks like a skull
[17:25:31]	[LOOC] CCA.C08-GRID.i3.69192: i just thin kit blends in with the rest
[17:25:36]	[LOOC] CCA.C08-GRID.i3.69192: yes
[17:25:37]	CCA.C08-GRID.i3.69192 has gained 10 tokens.
[17:25:44]	[OOC] Joshua Stevens: Holy that ratio...
[17:25:50]	[OOC] CCA.C08-UNION.i3.98240 [X]: We're doin shit
[17:26:01]	[LOOC] CCA.C08-GRID.i3.69192: but that's customizable metropolice
[17:26:08]	[LOOC] CCA.C08-GRID.i3.69192: no tis' not
[17:26:12]	[LOOC] CCA.C08-GRID.i3.69192: it's its own pack
[17:26:16]	[LOOC] CCA.C08-GRID.i3.69192: metropolice high command pack
[17:26:23]	[LOOC] CCA.C08-GRID.i3.69192: yeah
[17:26:25]	[LOOC] CCA.C08-GRID.i3.69192: it's custom models
[17:26:26]	CCA.C08-UNION.i3.98240 [X] has spawned 'models/dpfilms/metropolice/troice_bt.mdl'.
[17:26:31]	CCA.C08-UNION.i3.98240 [X] has spawned 'models/dpfilms/metropolice/bioice_bt.mdl'.
[17:26:33]	[LOOC] CCA.C08-GRID.i3.69192: that's where your trench comes from lmao
[17:26:34]	CCA.C08-UNION.i3.98240 [X] has spawned 'models/dpfilms/metropolice/biote_police.mdl'.
[17:26:36]	CCA.C08-UNION.i3.98240 [X] has spawned 'models/dpfilms/metropolice/blaice_bt.mdl'.
[17:26:38]	CCA.C08-UNION.i3.98240 [X] has spawned 'models/dpfilms/metropolice/blate_police.mdl'.
[17:26:54]	[LOOC] CCA.C08-GRID.i3.69192: we could try it with the hunter armor
[17:26:57]	CCA.C08-GRID.i3.69192 has spawned 'models/dpfilms/metropolice/hunte_police.mdl'.
[17:26:59]	[LOOC] CCA.C08-GRID.i3.69192: affirmative
[17:26:59]	CCA.C08-GRID.i3.69192 entered observer.
[17:27:02]	[LOOC] CCA.C08-UNION.i3.98240 [X]: I like the hunter armor
[17:27:05]	CCA.C08-GRID.i3.69192 exited observer at their location.
[17:27:13]	[LOOC] CCA.C08-GRID.i3.69192: i have mixed opinions
[17:27:15]	CCA.C08-JUDGE.i1.91412 has gained 10 tokens.
[17:27:21]	[LOOC] CCA.C08-GRID.i3.69192: yeah
[17:27:24]	CCA.C08-GRID.i3.69192 has spawned 'models/dpfilms/metropolice/hunice_bt.mdl'.
[17:27:38]	CCA.C08-JUDGE.i1.91412 entered observer.
[17:27:39]	CCA.C08-JUDGE.i1.91412 exited observer at their location.
[17:28:02]	[LOOC] CCA.C08-GRID.i3.69192: we did ubt it was metropolice pack
[17:28:08]	[LOOC] CCA.C08-GRID.i3.69192: i mean customziable metropolice
[17:28:17]	[LOOC] CCA.C08-GRID.i3.69192: is that better
[17:28:27]	CCA.C08-JUDGE.i1.91412 has spawned 'models/dpfilms/metropolice/reticetrench.mdl'.
[17:28:28]	Joshua Stevens ran 'Equip' on item '.9mm Pistol' (#13747)
[17:28:31]	CCA.C08-JUDGE.i1.91412 has spawned 'models/dpfilms/metropolice/urbicetrench.mdl'.
[17:28:33]	CCA.C08-JUDGE.i1.91412 has spawned 'models/dpfilms/metropolice/zomice_bt.mdl'.
[17:28:36]	CCA.C08-JUDGE.i1.91412 has spawned 'models/dpfilms/metropolice/trite_police.mdl'.
[17:28:43]	CCA.C08-JUDGE.i1.91412 has spawned 'models/dpfilms/metropolice/police_bt.mdl'.
[17:28:44]	CCA.C08-GRID.i3.69192 has spawned 'models/dpfilms/metropolice/frgicetrench.mdl'.
[17:28:45]	[OOC] Joshua Stevens: o shit
[17:28:52]	[LOOC] CCA.C08-GRID.i3.69192: the BT ones?
[17:28:54]	[LOOC] CCA.C08-GRID.i3.69192: yeah those are cool
[17:29:01]	[LOOC] CCA.C08-GRID.i3.69192: the BT mask is dope
[17:29:06]	[LOOC] CCA.C08-GRID.i3.69192: right now that's the CMD model but we coul change it
[17:29:10]	CCA.C08-GRID.i3.69192 has spawned 'models/dpfilms/metropolice/phoice_bt.mdl'.
[17:29:11]	[OOC] Joshua Stevens: i forgot i died trying to save civs yesterday during the event shiieieet
[17:29:14]	[LOOC] CCA.C08-GRID.i3.69192: problem is
[17:29:16]	[OOC] CCA.C08-UNION.i3.98240 [X]: Lmao
[17:29:18]	[LOOC] CCA.C08-GRID.i3.69192: i hate the red stripe
[17:29:20]	CCA.C08-JUDGE.i1.91412 entered observer.
[17:29:29]	CCA.C08-JUDGE.i1.91412 exited observer at their location.
[17:29:29]	[OOC] Joshua Stevens: welp
[17:29:34]	CCA.C08-GRID.i3.69192 used command '/DoorSetHidden true'.
[17:29:38]	[LOOC] CCA.C08-GRID.i3.69192: it's the phoenix police vest
[17:29:40]	[LOOC] CCA.C08-GRID.i3.69192: CMD
[17:29:45]	[OOC] Joshua Stevens: gae
[17:29:46]	CCA.C08-JUDGE.i1.91412 has spawned 'models/dpfilms/metropolice/phote_police.mdl'.
[17:29:51]	Dr. Walter Bennett loaded the character 'CCA.C08-UNION.i5.65473'
[17:29:57]	CCA.C08-GRID.i3.69192 has spawned 'models/dpfilms/metropolice/phoenix_police.mdl'.
[17:30:01]	CCA.C08-UNION.i3.98240 [X] has gained 10 tokens.
[17:30:22]	CCA.C08-UNION.i5.65473 used command '/Radio hahahahha on duty be like 10-8 bruh moment'.
[17:30:31]	CCA.C08-UNION.i3.98240 [X] used command '/Radio // No u'.
[17:30:37]	CCA.C08-GRID.i3.69192 has gained 10 tokens.
[17:31:08]	[LOOC] CCA.C08-GRID.i3.69192: that doesn't look bad
[17:31:11]	[OOC] CCA.C08-UNION.i5.65473: tp
[17:31:12]	[LOOC] CCA.C08-GRID.i3.69192: it's not hte city phoenix i'm sure
[17:31:30]	[LOOC] CCA.C08-GRID.i3.69192: you thin kthis owuld look good you're sayig?
[17:31:31]	[LOOC] CCA.C08-GRID.i3.69192: or bad
[17:31:38]	[LOOC] CCA.C08-GRID.i3.69192: tight
[17:31:42]	[LOOC] CCA.C08-GRID.i3.69192: oh i agree
[17:31:45]	[LOOC] CCA.C08-GRID.i3.69192: the vests shouldbe exclusive
[17:31:50]	[LOOC] CCA.C08-GRID.i3.69192: i just wish it didn't have the DAMN RED STRIPE
[17:31:58]	CCA.C08-GRID.i3.69192 entered observer.
[17:31:58]	CCA.C08-GRID.i3.69192 exited observer at their location.
[17:31:59]	CCA.C08-GRID.i3.69192 entered observer.
[17:32:00]	CCA.C08-GRID.i3.69192 exited observer at their location.
[17:32:00]	CCA.C08-JUDGE.i1.91412 entered observer.
[17:32:00]	CCA.C08-JUDGE.i1.91412 exited observer at their location.
[17:32:03]	CCA.C08-JUDGE.i1.91412 entered observer.
[17:32:07]	CCA.C08-JUDGE.i1.91412 exited observer at their location.
[17:32:11]	CCA.C08-JUDGE.i1.91412 has spawned 'models/dpfilms/metropolice/medice_bt.mdl'.
[17:32:13]	[OOC] CCA.C08-GRID.i3.69192: it might be with how the color blue translates to glowing
[17:32:15]	CCA.C08-JUDGE.i1.91412 has gained 10 tokens.
[17:32:18]	[OOC] CCA.C08-GRID.i3.69192: that or the modeler wasn' tthat good
[17:32:27]	[LOOC] CCA.C08-GRID.i3.69192: what
[17:32:28]	CCA.C08-JUDGE.i1.91412 has spawned 'models/dpfilms/metropolice/steice_bt.mdl'.
[17:32:39]	[LOOC] CCA.C08-GRID.i3.69192: it looks pretty sweet
[17:32:40]	[LOOC] CCA.C08-GRID.i3.69192: yeah
[17:32:45]	CCA.C08-JUDGE.i1.91412 has spawned 'models/dpfilms/metropolice/trote_police.mdl'.
[17:32:47]	CCA.C08-GRID.i3.69192 has spawned 'models/dpfilms/metropolice/zomte_police.mdl'.
[17:32:58]	[LOOC] CCA.C08-GRID.i3.69192: judge epu be like
[17:32:59]	CCA.C08-JUDGE.i1.91412 has spawned 'models/dpfilms/metropolice/hunte_police.mdl'.
[17:33:00]	CCA.C08-JUDGE.i1.91412 entered observer.
[17:33:02]	[LOOC] CCA.C08-UNION.i3.98240 [X]: Lmao
[17:33:03]	CCA.C08-JUDGE.i1.91412 exited observer at their location.
[17:33:03]	CCA.C08-JUDGE.i1.91412 entered observer.
[17:33:05]	CCA.C08-JUDGE.i1.91412 exited observer at their location.
[17:33:05]	[OOC] CCA.C08-UNION.i5.65473: afk
[17:33:21]	CCA.C08-JUDGE.i1.91412 has spawned 'models/dpfilms/metropolice/hunice_bt.mdl'.
[17:33:21]	[LOOC] CCA.C08-GRID.i3.69192: hmm
[17:33:22]	CCA.C08-JUDGE.i1.91412 has spawned 'models/dpfilms/metropolice/hunicetrench.mdl'.
[17:33:25]	[LOOC] CCA.C08-GRID.i3.69192: i dunno i like the blacop a little
[17:33:32]	[LOOC] CCA.C08-GRID.i3.69192: am i jsut fucking crazy
[17:33:35]	[LOOC] CCA.C08-UNION.i3.98240 [X]: I want the Hunter models for UNION honestly.
[17:33:38]	CCA.C08-UNION.i3.98240 [X] has spawned 'models/dpfilms/metropolice/c08ice_bt.mdl'.
[17:33:38]	CCA.C08-UNION.i3.98240 [X] has spawned 'models/dpfilms/metropolice/blate_police.mdl'.
[17:33:39]	CCA.C08-GRID.i3.69192 has spawned 'models/dpfilms/metropolice/playermodels/pm_policetrench.mdl'.
[17:33:44]	CCA.C08-UNION.i3.98240 [X] has spawned 'models/dpfilms/metropolice/blate_police.mdl'.
[17:34:01]	[LOOC] CCA.C08-GRID.i3.69192: but like
[17:34:04]	[LOOC] CCA.C08-GRID.i3.69192: because that's the pack
[17:34:09]	[LOOC] CCA.C08-UNION.i3.98240 [X]: It's not that big a change?
[17:34:17]	[LOOC] CCA.C08-GRID.i3.69192: it adds trenches, epu helms, and BT masks to all of them
[17:34:22]	[LOOC] CCA.C08-GRID.i3.69192: that's literally the point of hte pack
[17:34:26]	CCA.C08-UNION.i3.98240 [X] has spawned 'models/dpfilms/metropolice/blaicetrench.mdl'.
[17:34:27]	CCA.C08-GRID.i3.69192 has spawned 'models/dpfilms/metropolice/betice_bt.mdl'.
[17:34:27]	CCA.C08-UNION.i3.98240 [X] has spawned 'models/dpfilms/metropolice/blaice_bt.mdl'.
[17:34:37]	CCA.C08-JUDGE.i1.91412 has spawned 'models/dpfilms/metropolice/c08te_police.mdl'.
[17:34:43]	[OOC] CCA.C08-GRID.i3.69192: i just relaized the old metropolice seemed kinda nazi inspired
[17:34:45]	CCA.C08-JUDGE.i1.91412 has spawned 'models/dpfilms/metropolice/bioice_bt.mdl'.
[17:34:50]	[OOC] CCA.C08-GRID.i3.69192: the red and tan ones
[17:34:51]	CCA.C08-JUDGE.i1.91412 has spawned 'models/dpfilms/metropolice/bette_police.mdl'.
[17:34:51]	CCA.C08-UNION.i5.65473 has gained 10 tokens.
[17:35:01]	CCA.C08-UNION.i3.98240 [X] has gained 10 tokens.
[17:35:09]	CCA.C08-JUDGE.i1.91412 has spawned 'models/dpfilms/metropolice/arcte_police.mdl'.
[17:35:14]	[LOOC] CCA.C08-GRID.i3.69192: fuck gross icky
[17:35:16]	CCA.C08-GRID.i3.69192 has spawned 'models/dpfilms/metropolice/hdite_police.mdl'.
[17:35:18]	[LOOC] CCA.C08-UNION.i3.98240 [X]: Lmao
[17:35:21]	[LOOC] CCA.C08-GRID.i3.69192: it looks bad
[17:35:30]	[LOOC] CCA.C08-GRID.i3.69192: i mena not even that
[17:35:30]	[OOC] CCA.C08-UNION.i3.98240 [X]: Brb
[17:35:33]	[LOOC] CCA.C08-GRID.i3.69192: i just hate how the designs blend
[17:35:34]	CCA.C08-JUDGE.i1.91412 has spawned 'models/dpfilms/metropolice/arcicetrench.mdl'.
[17:35:37]	CCA.C08-GRID.i3.69192 has gained 10 tokens.
[17:35:40]	CCA.C08-JUDGE.i1.91412 has spawned 'models/dpfilms/metropolice/zomte_police.mdl'.
[17:35:51]	CCA.C08-JUDGE.i1.91412 has spawned 'models/dpfilms/metropolice/blaice_bt.mdl'.
[17:36:01]	CCA.C08-JUDGE.i1.91412 has spawned 'models/dpfilms/metropolice/blaicetrench.mdl'.
[17:36:07]	[OOC] CCA.C08-GRID.i3.69192: i dunno man, i'm vibing with blacop a lot for dvl
[17:36:18]	[LOOC] CCA.C08-GRID.i3.69192: i was gonna give jduge the urban camo for i5-i4
[17:36:24]	[LOOC] CCA.C08-GRID.i3.69192: then move it up to a trench for i3 maybe
[17:36:26]	[LOOC] CCA.C08-GRID.i3.69192: i dunno
[17:36:39]	CCA.C08-GRID.i3.69192 has spawned 'models/dpfilms/metropolice/steicetrench.mdl'.
[17:37:13]	[OOC] CCA.C08-GRID.i3.69192: the issuew ith using trenches lower in grid is that it makes them seem less special higfher in grid
[17:37:15]	CCA.C08-JUDGE.i1.91412 has gained 10 tokens.
[17:37:19]	[OOC] CCA.C08-GRID.i3.69192: it loses all significance
[17:37:25]	CCA.C08-GRID.i3.69192 entered observer.
[17:37:28]	CCA.C08-GRID.i3.69192 exited observer at their location.
[17:37:31]	[LOOC] CCA.C08-GRID.i3.69192: true
[17:37:44]	[LOOC] CCA.C08-GRID.i3.69192: yeah
[17:37:58]	[LOOC] CCA.C08-GRID.i3.69192: i feel like it's hard to find a secondary model design for grid and level that up. like it's easy for uynion to do the blue eyed and then done
[17:38:05]	[LOOC] CCA.C08-GRID.i3.69192: once you hit i3 at grid it gets weird
[17:38:25]	CCA.C08-JUDGE.i1.91412 has spawned 'models/dpfilms/metropolice/props/biopolice_oxygen_tank.mdl'.
[17:38:29]	CCA.C08-JUDGE.i1.91412 has spawned 'models/dpfilms/metropolice/playermodels/pm_skull_police.mdl'.
[17:38:32]	CCA.C08-JUDGE.i1.91412 has spawned 'models/dpfilms/metropolice/playermodels/pm_zombie_police.mdl'.
[17:38:38]	CCA.C08-JUDGE.i1.91412 has spawned 'models/dpfilms/metropolice/blaicetrench.mdl'.
[17:38:45]	[LOOC] CCA.C08-GRID.i3.69192: yeah iit s
[17:38:48]	[LOOC] CCA.C08-GRID.i3.69192: that's the blacop one
[17:38:52]	[LOOC] CCA.C08-GRID.i3.69192: yeah
[17:39:03]	[OOC] CCA.C08-GRID.i3.69192: look at the name
[17:39:12]	[LOOC] CCA.C08-GRID.i3.69192: blae
[17:39:15]	CCA.C08-GRID.i3.69192 has spawned 'models/dpfilms/metropolice/playermodels/pm_black_police.mdl'.
[17:39:25]	[LOOC] CCA.C08-GRID.i3.69192: this is the standard model
[17:39:40]	[LOOC] CCA.C08-GRID.i3.69192: see i don't hate that design on the regular mask, but it needs the lgihts
[17:39:48]	[LOOC] CCA.C08-GRID.i3.69192: it needs the lgihts
[17:39:51]	CCA.C08-UNION.i5.65473 has gained 10 tokens.
[17:39:55]	[LOOC] CCA.C08-GRID.i3.69192: i mean on the regular asmk
[17:39:58]	[LOOC] CCA.C08-GRID.i3.69192: on the regular metropolice mask
[17:40:01]	[LOOC] CCA.C08-GRID.i3.69192: i think it needs lgihts
[17:40:01]	CCA.C08-UNION.i3.98240 [X] has gained 10 tokens.
[17:40:12]	[LOOC] CCA.C08-GRID.i3.69192: yeah
[17:40:17]	CCA.C08-JUDGE.i1.91412 has spawned 'models/dpfilms/metropolice/playermodels/pm_rtb_police.mdl'.
[17:40:17]	CCA.C08-GRID.i3.69192 has spawned 'models/dpfilms/metropolice/blate_police.mdl'.
[17:40:29]	CCA.C08-JUDGE.i1.91412 has spawned 'models/dpfilms/metropolice/triicetrench.mdl'.
[17:40:31]	CCA.C08-JUDGE.i1.91412 has spawned 'models/dpfilms/metropolice/troice_bt.mdl'.
[17:40:35]	[LOOC] CCA.C08-GRID.i3.69192: maybe their idea behind it was to be undercover?
[17:40:37]	CCA.C08-GRID.i3.69192 has gained 10 tokens.
[17:40:44]	[LOOC] CCA.C08-GRID.i3.69192: not underocver, sorry
[17:40:45]	[LOOC] CCA.C08-GRID.i3.69192: i mean stealth
[17:40:50]	[LOOC] CCA.C08-GRID.i3.69192: like for the high commadn creators
[17:41:01]	[LOOC] CCA.C08-GRID.i3.69192: the creators of the high command pack, maybe that's how they saw it
[17:41:06]	[LOOC] CCA.C08-GRID.i3.69192: yeah
[17:41:09]	CCA.C08-GRID.i3.69192 has spawned 'models/dpfilms/metropolice/eliicetrench.mdl'.
[17:41:18]	[LOOC] CCA.C08-GRID.i3.69192: this shit ugly
[17:41:25]	[LOOC] CCA.C08-GRID.i3.69192: it's BT but with the regular helmet
[17:41:28]	CCA.C08-JUDGE.i1.91412 has spawned 'models/dpfilms/metropolice/eliicetrench.mdl'.
[17:41:29]	[LOOC] CCA.C08-GRID.i3.69192: it's HC pack
[17:41:38]	[LOOC] CCA.C08-GRID.i3.69192: the red eyes
[17:41:41]	[LOOC] CCA.C08-GRID.i3.69192: make it look
[17:41:42]	[LOOC] CCA.C08-GRID.i3.69192: so gross
[17:41:53]	[LOOC] CCA.C08-GRID.i3.69192: i feel like if it were just regular lenses, i think it'd look tight
[17:41:56]	[LOOC] CCA.C08-GRID.i3.69192: yeah exactly
[17:42:01]	[LOOC] CCA.C08-GRID.i3.69192: it works because of the rest of their color scheme
[17:42:10]	CCA.C08-JUDGE.i1.91412 has spawned 'models/dpfilms/metropolice/blaicetrench.mdl'.
[17:42:11]	[LOOC] CCA.C08-GRID.i3.69192: you know what i fucking ahte
[17:42:13]	CCA.C08-JUDGE.i1.91412 has spawned 'models/dpfilms/metropolice/blaicetrench.mdl'.
[17:42:14]	CCA.C08-JUDGE.i1.91412 has spawned 'models/dpfilms/metropolice/blate_police.mdl'.
[17:42:14]	[LOOC] CCA.C08-GRID.i3.69192: tron police
[17:42:15]	CCA.C08-JUDGE.i1.91412 has gained 10 tokens.
[17:42:17]	[LOOC] CCA.C08-GRID.i3.69192: i fucking hate tron police
[17:42:17]	CCA.C08-JUDGE.i1.91412 has spawned 'models/dpfilms/metropolice/blaicetrench.mdl'.
[17:42:35]	[OOC] CCA.C08-UNION.i5.65473: yo back take me to where yall at
[17:42:37]	matt saton (STEAM_0:1:53097688) has disconnected.
[17:42:40]	[OOC] CCA.C08-UNION.i3.98240 [X]: F
[17:42:52]	CCA.C08-JUDGE.i1.91412 has spawned 'models/dpfilms/metropolice/blaice_bt.mdl'.
[17:43:34]	CCA.C08-JUDGE.i1.91412 entered observer.
[17:43:35]	[LOOC] CCA.C08-UNION.i3.98240 [X]: I'm not a fan of it
[17:43:36]	CCA.C08-JUDGE.i1.91412 exited observer at their location.
[17:43:46]	matt saton has connected.
[17:43:59]	CCA.C08-JUDGE.i1.91412 has spawned 'models/dpfilms/metropolice/blate_police.mdl'.
[17:44:09]	CCA.C08-UNION.i3.98240 [X] has spawned 'models/dpfilms/metropolice/hunte_police.mdl'.
[17:44:14]	CCA.C08-UNION.i3.98240 [X] has spawned 'models/dpfilms/metropolice/hunice_bt.mdl'.
[17:44:25]	CCA.C08-JUDGE.i1.91412 has spawned 'models/dpfilms/metropolice/blacop.mdl'.
[17:44:30]	CCA.C08-JUDGE.i1.91412 entered observer.
[17:44:32]	CCA.C08-JUDGE.i1.91412 exited observer at their location.
[17:44:41]	CCA.C08-JUDGE.i1.91412 has spawned 'models/dpfilms/metropolice/props/badass_aviators.mdl'.
[17:44:45]	CCA.C08-JUDGE.i1.91412 has spawned 'models/dpfilms/metropolice/playermodels/pm_urban_police.mdl'.
[17:44:51]	CCA.C08-UNION.i5.65473 has gained 10 tokens.
[17:44:53]	CCA.C08-JUDGE.i1.91412 entered observer.
[17:44:53]	[LOOC] CCA.C08-UNION.i3.98240 [X]: I like this one
[17:45:01]	CCA.C08-UNION.i3.98240 [X] has gained 10 tokens.
[17:45:11]	CCA.C08-JUDGE.i1.91412 exited observer at their location.
[17:45:11]	[LOOC] CCA.C08-UNION.i3.98240 [X]: Maybe I'm just big Dumb
[17:45:14]	matt saton loaded the character 'Joseph Kimsler'
[17:45:18]	[OOC] Joseph Kimsler: i think i'm gonna go take a nap
[17:45:20]	[OOC] Joseph Kimsler: i am like
[17:45:20]	CCA.C08-JUDGE.i1.91412 has spawned 'models/dpfilms/metropolice/playermodels/pm_urban_police.mdl'.
[17:45:21]	[OOC] Joseph Kimsler: painfully tired
[17:45:22]	Joseph Kimsler entered observer.
[17:45:24]	Joseph Kimsler exited observer at their location.
[17:45:26]	[OOC] CCA.C08-UNION.i5.65473: remove skull squad.
[17:45:28]	[OOC] CCA.C08-UNION.i3.98240 [X]: Go for it bruh
[17:45:31]	[OOC] CCA.C08-JUDGE.i1.91412: skull squad bad
[17:45:41]	[OOC] Joseph Kimsler: skull squad bad, blacop decent
[17:45:46]	[OOC] CCA.C08-JUDGE.i1.91412: both bad
[17:45:52]	CCA.C08-UNION.i3.98240 [X] has spawned 'models/dpfilms/metropolice/blaice_bt.mdl'.
[17:45:53]	[OOC] CCA.C08-JUDGE.i1.91412: HC blacop not bad
[17:46:04]	CCA.C08-JUDGE.i1.91412 has spawned 'models/dpfilms/metropolice/urbicetrench.mdl'.
[17:46:06]	CCA.C08-JUDGE.i1.91412 has spawned 'models/dpfilms/metropolice/urbice_bt.mdl'.
[17:46:11]	CCA.C08-JUDGE.i1.91412 has spawned 'models/dpfilms/metropolice/urbicetrench.mdl'.
[17:46:13]	CCA.C08-UNION.i5.65473 ran 'Equip' on item 'Dual .9mm Pistols' (#17594)
[17:46:14]	CCA.C08-JUDGE.i1.91412 has spawned 'models/dpfilms/metropolice/urbte_police.mdl'.
